,https://roic.ai/company/WRB,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,390000000,390000000,602000000,593000000,568000000,569000000,561000000,853000000,1017000000,1418000000,1111000000,1371000000,1271000000,1595000000,1743000000,1744000000,2115000000,2032000000,2455587000,2184941000,2488225000,2497270000,2789519000,2626279000,2767495000,3284538000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25046958920,28703222000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2679070000,3181202000,3627635000,4098371000,4162738000,4309297000,4677618000,5677475000,7613975000,9295180000,11307896000,12290715000,13226899000,13069478000,13726650000,13818691000,14471779000,15820430000,16182402000,17092557000,17097759000,18283710000,18848754000,19416179000,20525086000,22281116000,25418684000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4854000,4854000,7281000,7281000,7281000,7281000,8661000,13934000,20901000,20901000,31351000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,47024000,70535000,70535000,70535000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424261000,490338000,569160000,601908000,551401000,574345000,467185000,623651000,939911000,1354489000,1873953000,2542744000,3248762000,3514531000,3785187000,4194684000,4546232000,4817807000,5265015000,5732410000,6178070000,6595987000,6956882000,7558619000,7932372000,8348381000,9015135000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104603000,119977000,112055000,24903000,111613000,53201000,-228959000,163207000,276563000,354851000,465631000,189391000,183550000,-66698000,55568000,68541000,-510470000,-257299000,-62172000,-281955000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510499000,396870000,395208000,275871000,63371000,131147000,480045000,593011000,601773000,622257000,636870000,633778000,220788000,-286277000,-399351000,-815395000,-939681000,-1024245000,-1165395000,-1373039000,-1558150000,-1651371000,-1661103000,-1657322000,-1670669000,-2045942000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,939614000,892062000,971649000,885060000,622053000,712773000,955891000,1335199000,1682562000,2109702000,2567077000,3335159000,3569775000,3046319000,3596067000,3702876000,4008426000,4306217000,4336035000,4589945000,4600246000,5047208000,5411344000,5437851000,6074939000,6310802000,6653011000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3618684000,4073264000,4599284000,4983431000,4784791000,5022070000,5633509000,7012674000,9296537000,11404882000,13874973000,15625874000,16796674000,16115797000,17322717000,17521567000,18480205000,20126647000,20518437000,21682502000,21698005000,23330918000,24260098000,24854030000,26600025000,28591918000,32071695000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18649000,38148000,46151000,21314000,30615000,35496000,5361000,5879000,6980000,7526000,29249000,33359000,34189000,32962000,33926000,39819000,41947000,43403000,-28588885139,14719000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3618684000,4073264000,4599284000,4983431000,4784791000,5022070000,5633509000,7031323000,9334685000,11451033000,13896287000,15656489000,16832170000,16121158000,17328596000,17528547000,18487731000,20155896000,20551796000,21716691000,21730967000,23364844000,24299917000,24895977000,26643428000,3032861,32086414000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/11544/000091403996000065/0000914039-96-000065-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403997000076/0000914039-97-000076-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403998000117/0000914039-98-000117-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403999000106/0000914039-99-000106-index.html,- -,https://www.sec.gov/Archives/edgar/data/11544/000091403901000093/0000914039-01-000093-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403902000118/0000914039-02-000118-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012303003655/0000950123-03-003655-index.html,- -,https://www.sec.gov/Archives/edgar/data/11544/000095012305003028/y06585e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012306003047/y18323e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012307003012/y30637e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012308002324/y50287e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012309003653/0000950123-09-003653-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012310018092/0000950123-10-018092-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012311019708/y88683e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154412000021/0000011544-12-000021-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154413000018/0000011544-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154414000012/wrb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154415000010/wrb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154416000086/0000011544-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154417000009/0000011544-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154418000012/0000011544-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154419000016/0000011544-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154420000016/0000011544-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154421000013/0000011544-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154422000007/0000011544-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,55800000,36100000,46600000,52400000,51600000,35100000,60882000,90263000,99047000,58760000,-34048000,36238000,-91546000,175045000,337220000,438105000,544892000,699518000,743646000,281141000,309057000,449287000,394803000,510592000,499925000,648884000,503694000,601916000,549094000,640749000,681944000,530670000,1022490000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,10000000,12800000,15000000,14286000,8590000,11852000,22658000,23598000,21700000,17625000,17254000,20324000,55034000,63854000,65674000,73697000,83953000,78875000,82867000,88012000,103419000,103090000,88836000,85139000,86051000,112956000,131108000,113387000,135065000,129682000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,-1400000,- -,- -,- -,- -,- -,-38769000,-48059000,-91000,-35554000,-17225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24139000,24465000,27407000,27175000,26763000,23784000,28068000,32123000,37174000,40490000,36591000,49274000,49658000,46680000
77,Change in Working Capital,- -,- -,- -,- -,- -,-10700000,- -,- -,- -,- -,- -,-2370000000,3449557000,57754000,112591000,-270369000,79759000,258360000,384162000,631058000,572199000,844985000,445222000,439178000,-685384000,887788000,263386000,-5726576000,-361995000,-840413000,3544211000,-422991000,450231000,403560000,-17718272000,17279360000,-1706555801,1287257000
