,https://roic.ai/company/WSO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,7142857,7619048,7272727,7142857,7407407,8333333,9354839,12941176,14000000,15208333,20645161,25045872,27096774,28640777,26549211,25946110,25558000,25086000,25507000,26049000,26150000,26297000,26453000,28521000,32449425,33005341,34521310,34727121,35006621,35311493,35530403,37228715,37461643,38242319,38569957,38569957
28,Weighted Average Shares Outstanding Diluted,- -,7142857,7619048,7272727,7894737,8000000,9090909,10000000,13750000,14411765,15793269,21098901,26764706,28314607,29797980,27793032,27251051,26674000,26037000,26931000,27769000,27829000,27824000,27736000,28521000,32449425,33005341,34521310,34727121,35006621,35311493,35530403,37228715,37461643,38242319,38569957,38569957
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105016/000102140803005436/0001021408-03-005436-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312504042160/0001193125-04-042160-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312505052728/0001193125-05-052728-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312506056680/0001193125-06-056680-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312507044058/0001193125-07-044058-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312508043545/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312509040910/0001193125-09-040910-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312510043122/0001193125-10-043122-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312511051303/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312512087592/0001193125-12-087592-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312513084635/0001193125-13-084635-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312514072668/d633852d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312515060230/d841239d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312516484870/0001193125-16-484870-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312517049156/0001193125-17-049156-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312518067229/0001193125-18-067229-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312519057858/0001193125-19-057858-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312520056004/0001193125-20-056004-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312521060167/0001193125-21-060167-index.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312522054394/0001193125-22-054394-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,5000000,7900000,6700000,7500000,4781000,9132000,25880000,36339000,85144000,27650000,34340000,9405000,41444000,58093000,126498000,15673000,73770000,19478000,24447000,35229000,56010000,80496000,82894000,74454000,146067000,118268000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97847000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,5000000,7900000,6700000,7500000,4781000,9132000,25880000,36339000,85144000,27650000,34340000,9405000,41444000,58093000,126498000,15673000,73770000,19478000,24447000,35229000,56010000,80496000,82894000,74454000,243914000,118268000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43600000,59500000,101700000,137700000,165000000,163770000,143301000,129396000,137678000,145213000,191747000,180968000,178415000,151317000,266284000,305088000,327664000,377655000,399565000,434234000,451079000,475974000,478133000,501908000,533810000,535288000,698456000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59700000,87600000,173300000,202600000,223900000,205805000,185943000,176407000,194267000,218704000,266543000,291024000,288149000,250914000,410078000,391925000,465349000,546083000,583154000,677990000,673967000,685011000,761314000,837129000,920786000,781299000,1115469000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,6900000,35200000,24000000,18700000,18179000,18823000,13878000,9244000,8638000,8051000,11476000,11259000,13028000,20843000,14493000,19491000,17943000,18905000,20664000,20990000,23161000,17454000,19875000,17680000,-76056000,29207000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112400000,159000000,318100000,371000000,415100000,392535000,357199000,345561000,377528000,457699000,493991000,517808000,487228000,456703000,755298000,838004000,828177000,1015451000,1021102000,1157335000,1181265000,1240156000,1337397000,1441806000,1546730000,1484445000,1961400000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,16200000,21900000,30500000,31400000,30258000,30703000,25850000,22066000,15093000,17244000,21476000,26904000,24209000,33118000,31221000,39455000,42842000,45418000,53480000,62715000,90502000,91198000,91046000,321892000,98225000,379547000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163686000,161107000,217129000,219810000,303257000,303703000,319440000,397262000,392610000,387311000,378310000,379737000,382729000,391998000,411217000,412486000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,23600000,77400000,106300000,131600000,128656000,124737000,125536000,130412000,132165000,- -,- -,- -,- -,58566000,56627000,75366000,219501000,203843000,186476000,160481000,158564000,161065000,147851000,172004000,169929000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,23600000,77400000,106300000,131600000,128656000,124737000,125536000,130412000,132165000,163686000,161107000,217129000,219810000,361823000,360330000,394806000,616763000,596453000,573787000,538791000,538301000,543794000,539849000,583221000,582415000,744914000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94833000,97847000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,4800000,8600000,24200000,10800000,12021000,8181000,6772000,5089000,3332000,3810000,10980000,16908000,15339000,10374000,7672000,5710000,6999000,6558000,6465000,5671000,5690000,74488000,88332000,9485000,-97847000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32500000,44600000,107900000,161000000,173800000,170935000,163621000,158158000,157567000,150590000,184740000,193563000,260941000,259358000,405315000,399223000,439971000,666604000,648429000,633732000,607177000,634493000,709480000,719227000,1009431000,680640000,1124461000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144900000,203600000,426000000,532000000,588900000,563470000,520820000,503719000,535095000,608289000,678731000,711371000,748169000,716061000,1160613000,1237227000,1268148000,1682055000,1669531000,1791067000,1788442000,1874649000,2046877000,2161033000,2556161000,2165085000,3085861000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,17300000,43800000,60700000,90000000,86108000,58127000,59965000,76526000,94704000,100829000,103210000,88596000,63850000,145825000,182185000,127359000,184957000,141104000,173360000,145162000,185482000,230476000,200229000,239666000,251553000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46900000,800000,1000000,1000000,5900000,1887000,429000,272000,172000,10056000,10079000,10084000,275000,268000,151000,72000,20000000,4000,107000,169000,184000,200000,244000,246000,69421000,- -,84501000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73103000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,10900000,15500000,19500000,26900000,26099000,28985000,26215000,31305000,42399000,68390000,42897000,40493000,43706000,77950000,83748000,75680000,97397000,102295000,113493000,124955000,129206000,185757000,157091000,152630000,162489000,642221000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71200000,29000000,60300000,81200000,122800000,114094000,87541000,86452000,108003000,147159000,179298000,156191000,129364000,107824000,223926000,266005000,223039000,282358000,243506000,287022000,270301000,314888000,416477000,357566000,461717000,487145000,726722000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,51700000,137200000,172300000,159400000,140878000,101900000,80233000,60153000,50000000,40000000,30000000,54000000,20783000,13429000,10000000,- -,316196000,230557000,303885000,245814000,235642000,22085000,135752000,157709000,- -,276024000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,900000,2900000,3900000,5000000,4334000,8959000,7833000,6070000,8237000,8594000,- -,13806000,16794000,28450000,32310000,43399000,61461000,68076000,68121000,68606000,72371000,57338000,66002000,67697000,- -,85700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,155000,189000,8794000,1042000,- -,- -,16000,- -,- -,- -,- -,- -,- -,- -,- -,154271000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,52700000,140100000,176200000,164400000,145212000,110859000,88066000,66223000,58392000,48783000,38794000,68848000,37577000,41879000,42326000,43399000,377657000,298633000,372006000,314420000,308013000,79423000,201754000,379677000,- -,361724000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154271000,144338000,187024000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78500000,81700000,200400000,257400000,287200000,259306000,198400000,174518000,174226000,205551000,228081000,194985000,198212000,145401000,265805000,308331000,266438000,660015000,542139000,659028000,584721000,622901000,495900000,559320000,841394000,- -,1088446000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,14796000,15052000,15501000,15869000,16150000,16627000,16934000,17117000,17349000,19255000,19410000,19688000,20446000,20549000,20689000,20841000,20951000,21050000,21167000,21533000,18851000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31100000,40800000,56700000,79300000,106000000,122348000,143487000,169649000,199340000,237342000,290383000,346375000,375207000,386225000,372454000,387186000,404360000,251475000,339362000,420879000,495276000,550482000,594556000,627969000,632507000,636373000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11300000,-15000000,-14200000,-25000000,-35400000,-41210000,-44290000,-12466000,-14369000,-22211000,-36372000,-126000,-431000,-1125000,-821000,-593000,-352000,-2102000,-11474000,-23747000,-46904000,-43530000,-34221000,-45968000,-39050000,-34867000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46600000,96100000,183100000,220300000,216500000,208230000,208171000,156517000,160029000,171457000,180012000,153203000,158064000,168211000,347138000,358458000,379094000,478395000,491959000,466139000,488097000,477925000,716568000,744681000,820437000,866321000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66400000,121900000,225600000,274600000,301700000,304164000,322420000,329201000,360869000,402738000,450650000,516386000,549957000,570660000,738026000,764461000,802790000,748214000,840396000,883960000,957310000,1005828000,1297953000,1347849000,1435427000,1486678000,1664948000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144900000,203600000,426000000,532000000,588900000,563470000,520820000,503719000,535095000,608289000,678731000,711371000,748169000,716061000,1003831000,1072792000,1069228000,1408229000,1382535000,1542988000,1542031000,1628729000,1793853000,1907169000,2276821000,1486678000,2753394000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156782000,164435000,198920000,273826000,286996000,248079000,246411000,245920000,253024000,253864000,279340000,678407000,332467000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144900000,203600000,426000000,532000000,588900000,563470000,520820000,503719000,535095000,608289000,678731000,711371000,748169000,716061000,1160613000,1237227000,1268148000,1682055000,1669531000,1791067000,1788442000,1874649000,2046877000,2161033000,2556161000,2165085000,3085861000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105016/000102140803005436/0001021408-03-005436-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312504042160/0001193125-04-042160-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312505052728/0001193125-05-052728-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312506056680/0001193125-06-056680-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312507044058/0001193125-07-044058-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312508043545/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312509040910/0001193125-09-040910-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312510043122/0001193125-10-043122-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312511051303/d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312512087592/0001193125-12-087592-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312513084635/0001193125-13-084635-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312514072668/d633852d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312515060230/d841239d10k.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312516484870/0001193125-16-484870-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312517049156/0001193125-17-049156-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312518067229/0001193125-18-067229-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312519057858/0001193125-19-057858-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312520056004/0001193125-20-056004-index.html,https://www.sec.gov/Archives/edgar/data/105016/000119312521060167/0001193125-21-060167-index.htm,https://www.sec.gov/Archives/edgar/data/105016/000119312522054394/0001193125-22-054394-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,2000000,2900000,5000000,5800000,7300000,13000000,18300000,25200000,29500000,19114000,24441000,28536000,34895000,48105000,70019000,82364000,65577000,60369000,43314000,80760000,90450000,103334000,127723000,151387000,172929000,182810000,208221000,242932000,245950000,323172000,418945000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1800000,1900000,1800000,2300000,3000000,4200000,4800000,8400000,11200000,12260000,12083000,8111000,7418000,7767000,8717000,5908000,6420000,7071000,8533000,10771000,11725000,15911000,17706000,17927000,19117000,20066000,22033000,22095000,24512000,25908000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-200000,-500000,-200000,- -,-400000,-700000,-300000,1100000,1241000,-1838000,1351000,1817000,3883000,197000,-535000,4117000,447000,1972000,12725000,8310000,6724000,8589000,289000,4687000,2720000,-10735000,8290000,1278000,40000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6454000,5264000,5175000,6663000,7939000,9967000,11473000,12596000,12319000,13293000,15508000,17032000,22129000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-5300000,- -,- -,- -,41200000,88800000,127800000,32000000,2500000,-13859000,-8783000,-10549000,10416000,41015000,4153000,46924000,-3753000,-8985000,182493000,40627000,33139000,127955000,44503000,92717000,40651000,14304000,-4348000,163320000,773000,-87713000,-201693000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23416000,67243000,-41250000,11987000,-5752000,-25846000,-41068000,-26121000,-26941000,-1676000,-28831000,8457000,-3559000,-130414000
79,Inventory,- -,- -,- -,- -,- -,- -,-1700000,1000000,1500000,-300000,600000,-16000000,-30400000,-12300000,-11400000,12970000,19534000,10211000,-9554000,-23412000,-33271000,-18026000,46416000,37153000,1204000,21447000,-22489000,-26652000,-40575000,-98741000,-3652000,-9729000,-73403000,-78954000,-15525000,139929000,-243660000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46386000,28088000,-98611000,- -,- -,- -,- -,- -,- -,- -,- -,- -,182819000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41200000,130000000,257800000,289800000,292300000,278441000,269658000,259109000,269525000,310540000,314693000,361617000,357864000,348879000,531372000,571999000,605138000,733093000,777596000,870313000,910964000,925268000,920920000,1084240000,1085013000,997300000,-10438000
