,https://roic.ai/company/MOV,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,55500000,59400000,72300000,87200000,103600000,117700000,138800000,157820000,169658000,157799000,-133590000,165525000,215072000,238283000,270624000,285905000,284242000,220965000,195099000,222782000,228536000,237519000,238495000,246823000,240836000,254878000,307161000,331898000,256707000,301574000
11,COGS and Expenses,121600000,128000000,145100000,167800000,194700000,211100000,245200000,279298000,286709000,273452000,-17683000,295433000,383890000,422904000,480546000,508773000,457467000,414822000,392050000,434554000,456132000,502513000,515493000,524816000,498771000,524753000,617370000,657975000,492605000,614902000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2132000,111000,319000,199000,144000,86000,166000,127000,219000,452000,307000,86000,45000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2915000,4533000,2247000,1277000,434000,436000,489000,1109000,1464000,1510000,771000,930000,1959000,-688000
14,Depreciation and Amortization,2200000,2400000,3100000,2900000,3900000,4100000,5400000,5189000,6341000,7550000,8369000,9973000,12603000,16780000,16580000,16684000,18457000,18698000,13705000,11408000,10608000,12233000,12469000,13156000,11507000,13457000,14165000,16381000,14112000,12463000
15,EBITDA,5700000,5900000,14500000,16500000,19500000,24600000,32700000,20338000,34030000,28299000,36229000,41710000,45693000,61716000,69608000,68018000,24423000,-17841000,-20176000,45284000,59313000,80919000,83998000,82719000,64347000,57109000,76722000,75134000,-126635000,129108000
16,EBITDA ratio,0.0425,0.0415,0.0901,0.0888,0.0907,0.1038,0.1177,0.0689,0.1061,0.0944,0.1207,0.1263,0.1091,0.1310,0.1306,0.1216,0.0530,-0.0471,-0.0528,0.0967,0.1173,0.1419,0.1431,0.1390,0.1164,0.1006,0.1129,0.1072,-0.2501,0.1763
17,Operating Income,12600000,14200000,15800000,18100000,20400000,25900000,32600000,15769000,34132000,26273000,317760000,34781000,35076000,48037000,52319000,50777000,3390000,-36426000,-9860000,33563000,49346000,67742000,71487000,70107000,53981000,43200000,62197000,42991000,-142127000,117491000
18,Operating Income ratio,0.0939,0.0999,0.0982,0.0974,0.0948,0.1093,0.1174,0.0534,0.1064,0.0877,1.0589,0.1053,0.0837,0.1020,0.0982,0.0907,0.0074,-0.0963,-0.0258,0.0717,0.0976,0.1188,0.1218,0.1178,0.0977,0.0761,0.0915,0.0613,-0.2807,0.1604
19,Total Other Income Expenses (Gains),-9100000,-7500000,-4400000,-4500000,-4800000,-5400000,-5300000,-620000,-6443000,-5415000,-289900000,-3044000,-1986000,-3101000,842000,1194000,-102000,-4422000,-1928000,-331000,-290000,1176000,-323000,-982000,-2527000,-1058000,-464000,14512000,-255000,-158000
20,Income Before Tax,3500000,6700000,11400000,13600000,15600000,20500000,27300000,15149000,27689000,20858000,27860000,31737000,33090000,44936000,53161000,51971000,3288000,-40848000,-11788000,33232000,49056000,68918000,71164000,69125000,51454000,42142000,61733000,57503000,-142382000,117333000
21,Income Before Tax Ratio,0.0261,0.0471,0.0709,0.0732,0.0725,0.0865,0.0983,0.0513,0.0863,0.0696,0.0928,0.0961,0.0790,0.0954,0.0998,0.0929,0.0071,-0.1080,-0.0308,0.0710,0.0970,0.1209,0.1212,0.1162,0.0931,0.0742,0.0908,0.0820,-0.2812,0.1602
22,Income Tax expense (Gain),200000,-100000,-2500000,3900000,3900000,4700000,6300000,1428000,6922000,3735000,7801000,8886000,6783000,18319000,2890000,-9471000,736000,13553000,8792000,604000,-8812000,17373000,19264000,23360000,16315000,57367000,162000,15124000,-31188000,24774000
23,Net Income,3300000,3600000,13900000,9700000,11700000,15800000,21000000,13721000,20767000,17014000,20059000,22851000,26307000,26617000,50138000,60805000,2315000,-54625000,-44920000,31995000,57083000,50877000,51776000,45094000,35061000,-15225000,61624000,42699000,-111518000,92559000
24,Net Income ratio,0.0246,0.0253,0.0864,0.0522,0.0544,0.0667,0.0756,0.0465,0.0647,0.0568,0.0668,0.0692,0.0628,0.0565,0.0941,0.1087,0.0050,-0.1444,-0.1175,0.0683,0.1129,0.0892,0.0882,0.0758,0.0634,-0.0268,0.0907,0.0609,-0.2202,0.1264
25,EPS,0.27,0.23,0.62,0.43,0.52,0.68,0.81,0.55,0.89,0.73,0.84,0.95,1.06,1.05,1.95,2.33,0.09,-2.23,-1.81,1.28,2.22,1.97,2.02,1.90,1.51,-0.66,2.68,1.85,-4.81,3.99
26,EPS Diluted,0.27,0.23,0.62,0.43,0.52,0.65,0.79,0.53,0.88,0.71,0.82,0.92,1.03,1.02,1.87,2.23,0.09,-2.23,-1.81,1.27,2.22,1.97,2.02,1.90,1.51,-0.66,2.61,1.83,-4.81,3.98
27,Weighted Average Shares Outstanding,12452830,16000000,22419355,22558140,22545000,23407407,25766871,24947273,23302000,23366000,23740000,24100000,24708000,25273000,25670000,26049000,24782000,24541000,24753000,24926000,25713063,25825888,25631683,23733684,23219205,23068182,23020030,23019665,23196159,23196159
28,Weighted Average Shares Outstanding Diluted,12452830,16000000,22419355,22558140,22933333,24496124,26582278,25888679,23732000,24014000,24380000,24878000,25583000,26180000,26794000,27293000,25554000,24541000,24753000,25141000,25713063,25849000,25631683,23774000,23267000,23073000,23600000,23297000,23239000,23239000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72573/000095012300003842/0000950123-00-003842-index.html,https://www.sec.gov/Archives/edgar/data/72573/000095012301501463/0000950123-01-501463-index.html,https://www.sec.gov/Archives/edgar/data/72573/000095012302004412/0000950123-02-004412-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72573/000007257308000003/form10-k.htm,https://www.sec.gov/Archives/edgar/data/72573/000007257309000006/0000072573-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/72573/000007257310000003/0000072573-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312511091029/0001193125-11-091029-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312512142656/0001193125-12-142656-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312513126699/0001193125-13-126699-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459014001041/mov-10k_20140131.htm,https://www.sec.gov/Archives/edgar/data/72573/000156459015002252/mov-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/72573/000156459016015742/0001564590-16-015742-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459017004788/0001564590-17-004788-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459018007083/0001564590-18-007083-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459019009741/0001564590-19-009741-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459020013004/0001564590-20-013004-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459021015296/0001564590-21-015296-index.htm,https://www.sec.gov/Archives/edgar/data/72573/000095017022004491/0000950170-22-004491-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,3200000,4900000,3800000,4900000,10900000,5600000,26615000,23059000,16971000,38365000,82083000,63782000,123625000,133011000,169551000,86621000,70975000,103016000,182201000,167889000,157659000,199852000,228188000,256279000,214811000,189911000,185872000,223811000,277128000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33099000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2600000,3200000,4900000,3800000,4900000,10900000,5600000,26615000,23059000,16971000,38365000,82083000,63782000,123625000,133011000,169551000,86621000,70975000,103016000,182201000,167889000,190758000,199852000,228188000,256279000,214811000,189911000,185872000,223811000,277128000
34,Net Receivables,49500000,56600000,66700000,75300000,75700000,92400000,109100000,103795000,98797000,92014000,94438000,88800000,102622000,109852000,111417000,94328000,76710000,67206000,59768000,61235000,64300000,68683000,74106000,71030000,66847000,83098000,84026000,78388000,101781000,99499000
35,Inventory,70900000,73600000,83800000,89100000,87200000,98200000,104000000,77075000,95863000,98589000,111736000,121678000,187890000,198582000,193342000,205129000,228884000,204096000,179516000,163680000,164354000,181305000,170788000,162465000,153167000,151676000,165311000,171406000,152580000,160283000
36,Other Current Assets,6100000,7400000,12300000,12600000,16900000,18100000,43700000,19341000,23501000,19467000,36646000,27932000,32758000,28989000,35109000,50317000,47863000,38014000,30597000,25516000,37556000,44564000,40532000,27352000,28487000,32015000,28898000,28888000,23479000,16974000
37,Total Current Assets,129100000,140800000,167700000,180800000,184700000,219600000,262400000,226826000,241220000,227041000,281185000,320493000,387052000,461048000,472879000,519325000,440078000,380291000,372897000,432632000,434099000,485310000,485278000,489035000,504780000,481600000,468146000,464554000,501651000,553884000
38,PP&E,9500000,10300000,11700000,11800000,15100000,18900000,23000000,27593000,32906000,38726000,39939000,42112000,50283000,52168000,56823000,68513000,66749000,47394000,38525000,36290000,44501000,47796000,46673000,38553000,34173000,24671000,26067000,118761000,98419000,88069000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60269000,136033000,136366000,- -,- -
40,Intangible Assets,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23124000,48183000,42359000,17081000,13507000
41,Intangible Assets,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83393000,184216000,178725000,17081000,13507000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14959000,22749000,14891000,13550000,20323000,24837000,6443000,24503000,25403000,42507000,42596000
44,Other Non-Current Assets,3400000,5900000,7500000,7800000,8600000,10600000,11000000,12767000,16279000,24909000,24030000,28362000,39615000,36676000,47916000,58378000,57163000,41692000,30686000,22162000,25013000,30613000,37522000,37259000,44012000,49273000,56769000,59865000,59599000,63104000
45,Total Non-Current Assets,15000000,16200000,19200000,19600000,23700000,29500000,34000000,40360000,49185000,63635000,63969000,70474000,89898000,88844000,104739000,126891000,123912000,89086000,69211000,73411000,92263000,93300000,97745000,96135000,103022000,163780000,291555000,382754000,217606000,207276000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,144100000,157000000,186900000,200400000,208400000,249100000,296400000,267186000,290405000,290676000,345154000,390967000,476950000,549892000,577618000,646216000,563990000,469377000,442108000,506043000,526362000,578610000,583023000,585170000,607802000,645380000,759701000,847308000,719257000,761160000
48,Accounts Payable,18200000,12200000,22400000,22000000,25300000,25300000,25200000,17562000,28819000,23824000,22712000,23631000,38488000,35529000,32901000,38397000,20794000,22661000,21487000,33080000,22075000,33598000,27767000,27308000,27192000,24364000,38650000,35488000,28187000,46011000
49,Short-Term Debt,- -,- -,- -,- -,12800000,10000000,12200000,18500000,13800000,11500000,- -,10000000,- -,5000000,5000000,10000000,25000000,- -,- -,- -,- -,- -,- -,5000000,5000000,25000000,- -,- -,15861000,13693000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14452000,7941000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4851000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13000000,20000000,23900000,26100000,19900000,27200000,30200000,32034000,43964000,37785000,34202000,43892000,44868000,51292000,51556000,51296000,88116000,35702000,41062000,53313000,51411000,49995000,38305000,45874000,39210000,50932000,74033000,73812000,83623000,91762000
53,Total Current Liabilities,31200000,32200000,46300000,48100000,58000000,62500000,67600000,68096000,86583000,73109000,61765000,77523000,83356000,91821000,89457000,99693000,133910000,58363000,62549000,86393000,73486000,83593000,66072000,78182000,71402000,100296000,112683000,109300000,127671000,151466000
54,Long-Term Debt,64500000,40000000,40000000,40000000,40000000,35000000,55000000,45000000,40000000,35000000,35000000,25000000,45000000,104955000,75196000,50895000,- -,10000000,- -,- -,- -,- -,- -,35000000,25000000,- -,50280000,51910000,89642000,62730000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19614000
56,Deferred Tax Liabilities,7500000,7700000,4000000,3900000,3500000,3500000,5700000,5105000,3517000,1513000,4229000,2282000,14827000,11947000,11054000,6363000,6856000,7874000,6960000,7291000,5637000,3518000,3470000,2640000,3322000,33063000,29242000,25419000,21895000,19614000
57,Other Non-Current Liabilities,5100000,4600000,3700000,3600000,3000000,2600000,1700000,1170000,835000,8584000,7948000,11449000,17209000,19491000,23087000,24205000,22459000,21688000,17869000,18285000,21547000,25509000,29196000,28201000,34085000,41686000,70841000,133435000,52715000,30650000
58,Total Non-Current Liabilities,77100000,52300000,47700000,47500000,46500000,41100000,62400000,51275000,44352000,45097000,47177000,38731000,77036000,136393000,109337000,81463000,29315000,39562000,24829000,25576000,27184000,29027000,32666000,65841000,62407000,74749000,150363000,210764000,164252000,132608000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96960000,84273000,- -
61,Total Liabilities,108300000,84500000,94000000,95600000,104500000,103600000,130000000,119371000,130935000,118206000,108942000,116254000,160392000,228214000,198794000,181156000,163225000,97925000,87378000,111969000,100670000,112620000,98738000,144023000,133809000,175045000,263046000,320064000,291923000,284074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,130000,131000,133000,135000,143000,294000,300000,305000,309000,312000,317000,325000,327000,330000,332000,334000,336000,338000,339000,342000,344000,346000,351000
64,Retained Earnings,42000000,37700000,51200000,60300000,71300000,86200000,106100000,118615000,138176000,153830000,172287000,192601000,214953000,236515000,280495000,325296000,320481000,265856000,220936000,251695000,272094000,316334000,358006000,392788000,415919000,388739000,431180000,455479000,341641000,413587000
65,Other Comprehensive Income/Loss,-10000000,-12200000,-14700000,-17700000,-19900000,-23200000,-22700000,-24253000,-27378000,-28500000,-37212000,-46860000,49000000,28000000,32000000,66000000,44000000,67000000,93000000,98000000,102000000,104000000,99000000,69000000,77000000,100000000,81000000,85000000,92540000,85295000
66,Other Total Stockholders Equity,3800000,47000000,56400000,62200000,52500000,82500000,83000000,53323000,48541000,47007000,101002000,128829000,52311000,56863000,65581000,71590000,34167000,36395000,38189000,41344000,49266000,42638000,24869000,-21572000,-19264000,-18743000,-15867000,-14286000,-9263000,- -
67,Total Stockholders Equity,35800000,72500000,92900000,104800000,103900000,145500000,166400000,147815000,159470000,172470000,236212000,274713000,316558000,321678000,378381000,463195000,398960000,369568000,352450000,391366000,423690000,463304000,482209000,440552000,473993000,470335000,496655000,526537000,425264000,474775000
68,Total Liabilities And Stockholders Equity,144100000,157000000,186900000,200400000,208400000,249100000,296400000,267186000,290405000,290676000,345154000,390967000,476950000,549892000,577175000,644351000,562185000,467493000,439828000,503335000,524360000,575924000,580947000,584575000,607802000,645380000,759701000,846601000,717187000,758849000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443000,1865000,1805000,1884000,2280000,2708000,2002000,2686000,2076000,595000,- -,- -,- -,707000,2070000,2311000
70,Total Liabilities & Equity,144100000,157000000,186900000,200400000,208400000,249100000,296400000,267186000,290405000,290676000,345154000,390967000,476950000,549892000,577618000,646216000,563990000,469377000,442108000,506043000,526362000,578610000,583023000,585170000,607802000,645380000,759701000,847308000,719257000,761160000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72573/000095012300003842/0000950123-00-003842-index.html,https://www.sec.gov/Archives/edgar/data/72573/000095012301501463/0000950123-01-501463-index.html,https://www.sec.gov/Archives/edgar/data/72573/000095012302004412/0000950123-02-004412-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72573/000007257308000003/form10-k.htm,https://www.sec.gov/Archives/edgar/data/72573/000007257309000006/0000072573-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/72573/000007257310000003/0000072573-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312511091029/0001193125-11-091029-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312512142656/0001193125-12-142656-index.html,https://www.sec.gov/Archives/edgar/data/72573/000119312513126699/0001193125-13-126699-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459014001041/mov-10k_20140131.htm,https://www.sec.gov/Archives/edgar/data/72573/000156459015002252/mov-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/72573/000156459016015742/0001564590-16-015742-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459017004788/0001564590-17-004788-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459018007083/0001564590-18-007083-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459019009741/0001564590-19-009741-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459020013004/0001564590-20-013004-index.html,https://www.sec.gov/Archives/edgar/data/72573/000156459021015296/0001564590-21-015296-index.htm,https://www.sec.gov/Archives/edgar/data/72573/000095017022004491/0000950170-22-004491-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3300000,3600000,13900000,9700000,11700000,15800000,21000000,13721000,20767000,17014000,20059000,22851000,26307000,26617000,50138000,60805000,2315000,-54625000,-44920000,31995000,57083000,50877000,51776000,45094000,35061000,-15225000,61624000,42699000,-111518000,92559000
74,Depreciation and Amortization,2200000,2400000,3100000,2900000,3900000,4100000,5400000,5189000,6341000,7550000,8369000,9973000,12603000,16780000,16580000,16684000,18457000,18698000,13705000,11408000,10608000,12233000,12469000,13156000,11507000,13457000,14165000,16381000,14112000,12463000
75,Deferred Income Tax,100000,- -,-4800000,-400000,200000,500000,1800000,-1636000,-1342000,-1174000,2399000,731000,8132000,-4575000,-10655000,-8717000,327000,18618000,3715000,-8691000,-16161000,4169000,6316000,-1817000,-3753000,461000,-11388000,4352000,-18292000,-208000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000,929000,1530000,1675000,2888000,3787000,5753000,6123000,7281000,4874000,6042000,6373000,5089000,4952000
77,Change in Working Capital,2500000,10700000,12800000,11300000,-6000000,30400000,37700000,-36070000,-4093000,-705000,65488000,23550000,60726000,65531000,14195000,36210000,-113464000,15760000,-11580000,35891000,14374000,41104000,17489000,-8353000,22525000,-52074000,-25841000,-209000,18726000,28438000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10549000,10446000,7775000,-1446000,-1139000,-7304000,-9334000,-354000,2878000,-9286000,-2640000,5908000,2424000,4795000
79,Inventory,8100000,-2700000,-10200000,-2800000,-3800000,-13000000,-19900000,14609000,-20043000,-5372000,-4815000,-6248000,-29587000,-18282000,7627000,666000,-36068000,26283000,26907000,20803000,-1998000,-19077000,4523000,-3133000,7442000,6624000,-4234000,-5549000,21596000,4795000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16922000,1104000,-1636000,11780000,-11728000,11581000,-5357000,774000,-401000,-4006000,6082000,-3642000,-7811000,18269000
81,Other Working Capital,97900000,108600000,121400000,132700000,126700000,157100000,194800000,158730000,154637000,153932000,219420000,242970000,303696000,369227000,383422000,419632000,306168000,321928000,310348000,346239000,360613000,401717000,419206000,410853000,433378000,381304000,355463000,355254000,373980000,402418000
82,Other Non-Cash Items,1000000,-16500000,-18200000,-19600000,-6000000,-56900000,-78800000,47071000,3598000,-6139000,-63009000,-5458000,-77578000,-75910000,-2424000,-21348000,71272000,35340000,77914000,13784000,-30011000,-57654000,-34207000,20387000,-14203000,103231000,41568000,-37526000,160293000,-7390000
83,Cash Provided by Operating Activities,9100000,200000,6800000,3900000,3800000,-6100000,-12900000,28275000,25271000,16546000,33306000,51647000,30190000,28443000,67834000,83634000,-20867000,34720000,40364000,86062000,38781000,54516000,59596000,74590000,58418000,54724000,86170000,32070000,68410000,130814000
84,CAPEX,-1700000,-2200000,-4400000,-2000000,-6600000,-7600000,-11700000,-10125000,-10833000,-13902000,-6525000,-10830000,-14947000,-16367000,-20889000,-28033000,-23532000,-5480000,-7601000,-8373000,-16263000,-16992000,-11250000,-8720000,-6248000,-6366000,-11127000,-12968000,-3182000,-5656000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78991000,-97882000,-639000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33099000,-1200000,-435000,-152000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34043000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-300000,-400000,-700000,-300000,-300000,-1500000,800000,27654000,-852000,-807000,-514000,-653000,-1000000,3202000,1791000,- -,-22526000,-5480000,-7701000,-7208000,-16263000,-14796000,-11250000,-8720000,-7404000,-5348000,-11127000,-12728000,-1865000,-7914000
89,Cash Used for Investing Activites,-2000000,-2600000,-5100000,-2300000,-6900000,-9100000,-10900000,17529000,-11685000,-14709000,-7039000,-11483000,-59472000,-13165000,-19098000,-28033000,-22526000,-5480000,-7701000,-7208000,-16263000,-47895000,21593000,-9155000,-7556000,-84339000,-109009000,-13367000,-1865000,-7914000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36175000,-104838000,-40000000,- -,- -,- -,- -,-10000000,-13000000,-5000000,-25000000,- -,-64465000,-21140000
91,Common Stock Issued,- -,33100000,- -,200000,200000,30000000,600000,499000,840000,1780000,2172000,589000,3830000,2156000,2894000,4301000,522000,1160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,- -,- -,-2900000,-17593000,-7329000,- -,-135000,- -,-1127000,- -,- -,-4665000,-37871000,- -,- -,- -,- -,-10488000,-26382000,-48748000,-3864000,-3631000,-7418000,-4199000,- -,- -
93,Dividends Paid,- -,-200000,-500000,-600000,-700000,-900000,-1000000,-1247000,-1206000,-1360000,-1602000,-2537000,-3955000,-5055000,-6158000,-8327000,-5909000,-1220000,- -,-2985000,-36684000,-6637000,-10104000,-10312000,-11930000,-11934000,-18469000,-18400000,- -,-21973000
94,Other Financing Activites,-5500000,-30000000,400000,-2200000,4900000,-7800000,21900000,-3769000,-9700000,-7300000,-11500000,- -,4813000,64955000,-29544000,-20948000,39551000,52634000,30402000,1460000,-1691000,610000,306000,45338000,1119000,-321000,54575000,-1266000,30082000,-23501000
95,Cash Used/Provided by Financing Activities,-5500000,2900000,-100000,-2700000,4400000,21300000,18600000,-22110000,-17395000,-6880000,-11065000,-1948000,3561000,62056000,-32808000,-29639000,-39882000,-52264000,-9598000,-1525000,-38375000,-16515000,-36180000,-23722000,-27675000,-20886000,3688000,-23865000,-34383000,-66614000
96,Effect of Forex Changes on Cash,- -,- -,100000,100000,-200000,-100000,- -,-2705000,253000,-1045000,6192000,5502000,7420000,-17491000,-6542000,10578000,345000,7378000,8976000,1856000,1545000,-336000,-2816000,-13377000,4904000,9033000,-5801000,1141000,5823000,-2993000
97,Net Change In Cash,-5500000,2900000,-100000,-2700000,4400000,21300000,18600000,20989000,-3556000,-6088000,21394000,43718000,-18301000,59843000,9386000,36540000,-82930000,-15646000,32041000,79185000,-14312000,-10230000,42193000,28336000,28091000,-41468000,-24952000,-4021000,37985000,53293000
