,https://roic.ai/company/JEF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070200000,3143637000,2577239000,2541778000,4397164000,2574253000,3032269000,3937615000,6406489000,4331855000,6210890000,8364708000,8009710000,6827852000,17184632000,19323472000,19330595000,20256930000,19667308000,40462400000,18344769000,36850116000,39048840000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070200000,3143637000,2577239000,2541778000,4397164000,3339446000,5260884000,5303824000,8126622000,5198493000,6762364000,9350298000,9263189000,9349118000,47866781000,52623908000,46339812000,45071307000,47169108000,40996249000,49460234000,53118352000,60404110000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37406000,259778000,127739000,41877000,35104000,40431000,18166000,88328000,82439000,1721934000,10516491000,7107081000,7373708000,7167666000,71980000,8179013000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23956000,964631000,175664000,184815000,132405000,248713000,312592000,142659000,122387000,555928000,12000000,12000000,310659000,525842000,436215000,9030561000,548490000,9080984000,8667962000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7363000,6908000,5268000,9485000,9522000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86993000,98453000,82000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15021000,38954000,14099000,198675000,180646000,189958000,587015000,666417000,642112000,13881113000,8904592000,6840430000,8388619000,8454965000,18690854000,10532460000,10388072000,13612367000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23956000,1017058000,474396000,326653000,459950000,562916000,624981000,747840000,877132000,1280479000,15615047000,19433083000,14258170000,16288169000,16058846000,27793395000,19259963000,19469056000,22280329000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483300000,374523000,343276000,233073000,1154878000,- -,986718000,974646000,2004145000,1832743000,1657779000,1548469000,1875571000,918126000,8180865000,8527929000,7407594000,7380443000,7885783000,9276834000,8337061000,8936846000,9674040000
