,https://roic.ai/company/PNW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,850900000,837500000,948400000,1000800000,1025900000,1048500000,1079421000,1212528000,1427650000,1473617000,1443886000,1584434000,1531592000,1469210000,1357717000,1435874000,1492946000,1485407000,570490000,587869000,592536000,671166000,655869000,725125000,804700000,815396000,846501000,891907000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151600000,1107300000,1273900000,1437400000,1563400000,1844600000,3014204000,3876746000,2121232000,2335798000,2393466000,2472666000,2782878000,2904369000,2836530000,2716875000,2539761000,2494871000,2450049000,2608305000,2680390000,2640841000,2642698000,2630869000,2917560000,2799249000,2798830000,2998525000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7602000,1660000,3255000,1850000,1239000,1629000,1010000,493000,884000,3497000,8647000,10377000,12210000,6726000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197470000,223114000,227635000,223637000,199645000,187027000,185493000,178705000,185750000,197684000,218285000,216723000,228971000,233262000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390358000,404331000,414555000,493784000,481262000,492322000,496487000,571664000,565011000,610629000,650955000,664140000,686253000,719141000
15,EBITDA,279500000,234200000,268400000,4200000,-551400000,97300000,-186800000,156400000,189300000,323600000,316000000,309800000,386200000,407500000,336000000,526184000,525701000,287508000,346139000,372052000,303159000,483673000,458063000,895360000,733602000,1156564000,1240498000,1299766000,1316014000,1300280000,1425346000,1429206000,1555041000,1514189000,1403410000,1543956000,1681209000
16,EBITDA ratio,0.2380,0.1874,0.2044,0.0029,-0.3657,0.0609,-0.1267,0.0926,0.1102,0.1920,0.1892,0.1704,0.1936,0.1913,0.1386,0.1426,0.1155,0.1090,0.1228,0.1283,0.1015,0.1422,0.1300,0.2659,0.2225,0.3544,0.3827,0.3937,0.3809,0.3724,0.4078,0.4085,0.4362,0.4102,0.4043,0.4304,0.4420
17,Operating Income,1174500000,1249900000,1313400000,1442000000,1507900000,1596600000,1474600000,1689600000,1718500000,533900000,562500000,543900000,557700000,567200000,578800000,675971000,674627000,516047000,482054000,506259000,515289000,618870000,619251000,477296000,321773000,723884000,746508000,851755000,846323000,811242000,854602000,855984000,934427000,773687000,671960000,788152000,805310000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,0.3369,0.2992,0.2795,0.2662,0.2388,0.1832,0.1482,0.1957,0.1711,0.1746,0.1725,0.1819,0.1757,0.1418,0.0976,0.2218,0.2303,0.2580,0.2450,0.2323,0.2445,0.2447,0.2621,0.2096,0.1936,0.2197,0.2117
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-210300000,-234900000,-204300000,-171500000,-159700000,-140900000,-149787000,-133725000,-162794000,-145918000,-142184000,-165234000,-145309000,-169551000,-198332000,-216715000,-208965000,-207270000,-195445000,-175766000,-166841000,-160692000,-158046000,-168206000,-109245000,-129920000,-139927000,-59280000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,323600000,327600000,339600000,386200000,407500000,437900000,526184000,540902000,353253000,336136000,364075000,350055000,473561000,449700000,278964000,105058000,514919000,539238000,656310000,670557000,644401000,693910000,697938000,766221000,664442000,542040000,648225000,746030000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1920,0.1962,0.1868,0.1936,0.1913,0.1807,0.1426,0.1188,0.1339,0.1193,0.1256,0.1172,0.1392,0.1276,0.0829,0.0319,0.1578,0.1664,0.1988,0.1941,0.1846,0.1985,0.1995,0.2149,0.1800,0.1562,0.1807,0.1961
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,128000000,128500000,150300000,164600000,168100000,223852000,213535000,138100000,105560000,128857000,126892000,156418000,150920000,65407000,37827000,164321000,183604000,237317000,230591000,220705000,237720000,236411000,258272000,133902000,-15773000,78173000,110086000
23,Net Income,279500000,234200000,268400000,4200000,-551400000,97300000,-186800000,156400000,189300000,200600000,188000000,181300000,235900000,242900000,167900000,302332000,312166000,149408000,240579000,243195000,176267000,327255000,307143000,242125000,68330000,350053000,339473000,381542000,406074000,397595000,437257000,442034000,488456000,511047000,538320000,550559000,618720000
24,Net Income ratio,0.2380,0.1874,0.2044,0.0029,-0.3657,0.0609,-0.1267,0.0926,0.1102,0.1190,0.1126,0.0997,0.1182,0.1140,0.0693,0.0819,0.0686,0.0567,0.0854,0.0839,0.0590,0.0962,0.0872,0.0719,0.0207,0.1073,0.1047,0.1156,0.1175,0.1139,0.1251,0.1263,0.1370,0.1384,0.1551,0.1535,0.1627
25,EPS,3.88,3.04,3.21,0.05,-6.36,1.12,-2.15,1.80,2.17,2.30,2.15,2.07,2.76,2.87,1.98,3.57,3.68,1.76,2.64,2.66,1.83,3.29,3.06,2.40,0.68,3.28,3.11,3.48,3.69,3.59,3.94,3.97,4.37,4.56,4.79,4.89,5.63
26,EPS Diluted,3.88,3.04,3.21,0.05,-6.36,1.12,-2.15,1.80,2.16,2.30,2.15,2.07,2.74,2.85,1.97,3.56,3.68,1.76,2.63,2.66,1.82,3.27,3.05,2.40,0.67,3.27,3.09,3.45,3.66,3.58,3.92,3.95,4.35,4.54,4.77,4.87,5.62
27,Weighted Average Shares Outstanding,60592784,77039474,73333333,84000000,86698113,86875000,86883721,86888889,87235023,87410967,87419300,87441515,85502909,84774218,84717135,84733000,84718000,84903000,91265000,91397000,96484000,99417000,100256000,100691000,101161000,106573000,109053000,109510000,109984000,110626000,111026000,111409000,111839000,112129000,112443000,112666000,112923000
28,Weighted Average Shares Outstanding Diluted,60592784,77039474,73333333,84000000,86698113,86875000,86883721,86888889,87638889,87410967,87419300,87441515,86094891,85345946,85008527,84935000,84930000,84964000,91405000,91532000,96590000,100010000,100835000,100965000,101264000,107138000,109864000,110527000,110806000,111178000,111552000,112046000,112367000,112550000,112758000,112942000,113217000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095014795000046/0000950147-95-000046-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095014796000117/0000950147-96-000117-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095014701500557/0000950147-01-500557-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095015304000639/p68820e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015305000539/p70328e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015306000633/p71939e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015307000444/p73495e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015308000407/p75022e10vk.htm,https://www.sec.gov/Archives/edgar/data/7286/000095013409003359/0000950134-09-003359-index.html,https://www.sec.gov/Archives/edgar/data/7286/000095012310014366/0000950123-10-014366-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095012311015421/c09734e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000110465912012301/0001104659-12-012301-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465913012982/0001104659-13-012982-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465914012068/a13-25897_110k.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462215000013/pnw12311410-k.htm,https://www.sec.gov/Archives/edgar/data/7286/000076462216000087/0000764622-16-000087-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462217000010/0000764622-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462218000018/0000764622-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462219000019/0000764622-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462220000017/0000764622-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462221000013/0000764622-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462222000014/0000764622-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,34700000,79500000,26700000,27500000,20500000,20700000,10363000,28619000,77707000,228779000,163366000,154003000,87210000,56321000,105245000,145378000,110188000,33583000,26202000,9526000,7604000,39488000,8881000,13892000,5766000,10283000,59968000,9969000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1485866000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,34700000,79500000,26700000,27500000,20500000,20700000,10363000,28619000,77707000,228779000,163366000,154003000,87210000,56321000,105245000,145378000,110188000,33583000,26202000,9526000,7604000,39488000,8881000,13892000,5766000,10283000,1545834000,9969000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,191500000,184900000,224700000,242100000,301600000,317500000,588388000,443372000,447910000,365732000,362967000,497702000,496031000,451225000,389388000,432738000,422001000,412140000,371153000,529014000,398277000,368395000,359154000,415068000,400988000,408147000,432783000,508063000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,125600000,100000000,88000000,80200000,83100000,91900000,91371000,108238000,119837000,124466000,121845000,133394000,147775000,177551000,253692000,218547000,202989000,226387000,249430000,259710000,255986000,279931000,282587000,289270000,294094000,345920000,334297000,367167000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,83800000,66100000,110900000,99300000,51600000,68700000,103791000,147176000,167234000,250070000,488952000,1106293000,743646000,262350000,134157000,132074000,196752000,284360000,358941000,245359000,311568000,202702000,171597000,298058000,224143000,265680000,-1114595000,665901000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,435600000,430500000,450300000,449100000,456800000,498800000,793913000,727405000,812688000,969047000,1137130000,1891392000,1474662000,947447000,882482000,928737000,931930000,956470000,1005726000,1043609000,973435000,890516000,822219000,1016288000,924991000,1030030000,1198319000,1551100000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4624100000,4647100000,4655100000,4677600000,4730600000,4778500000,5133193000,5907315000,6479398000,7480090000,7430001000,7486167000,7785828000,8330643000,8784936000,9093436000,9042817000,9791687000,10234243000,10731296000,11074575000,11684969000,12624254000,13188077000,13766668000,14377787000,15381704000,16603798000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131722000,164380000,184952000,170571000,- -,- -,- -,- -,- -,- -,- -,- -,282570000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105486000,90916000,96100000,105746000,131722000,164380000,184952000,170571000,162150000,157689000,119755000,123975000,90022000,257189000,262902000,290564000,282570000,273693000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391000000,526000000,533000000,909958000,673511000,625134000,513733000,570625000,642007000,713866000,735196000,779586000,871000000,1087235000,1255870000,1392944000,1653167000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1850100000,1919500000,1883900000,1723700000,1637300000,1331200000,1222045000,1347028000,1133720000,1087241000,1224130000,1463170000,1573353000,1326876000,910995000,948091000,1577870000,1678557000,1406871000,934085000,1431901000,1593602000,1688172000,1686528000,1622406000,1524996000,1764884000,1921464000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6474200000,6566600000,6539000000,6401300000,6367900000,6109700000,6355238000,7254343000,7613118000,8567331000,8759617000,9431253000,9981281000,10296265000,10737611000,10879418000,11430773000,12154548000,12373889000,12465077000,13340097000,14137742000,15182034000,16002794000,16739211000,17449217000,18822102000,20452122000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6909800000,6997100000,6989300000,6850400000,6824700000,6608500000,7149151000,7981748000,8425806000,9536378000,9896747000,11322645000,11455943000,11243712000,11620093000,11808155000,12362703000,13111018000,13379615000,13508686000,14313532000,15028258000,16004253000,17019082000,17664202000,18479247000,20020421000,22003222000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,126800000,115000000,184100000,117400000,155800000,186500000,375805000,269124000,356305000,293427000,373526000,377107000,346047000,323346000,261029000,240637000,236354000,326987000,221312000,284516000,295211000,297480000,264631000,256442000,277336000,346448000,318585000,393083000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000000,186600000,173200000,239500000,346800000,153100000,546244000,531902000,383206000,511561000,688195000,400620000,37346000,504434000,848115000,431408000,648479000,477435000,215003000,693549000,530970000,357580000,302200000,177400000,576400000,914675000,169000000,542443000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168645000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72176000,79689000,76101000,72307000,73073000,82520000,70388000,91174000,64908000,48340000,42293000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,195300000,202900000,193300000,166800000,137600000,155900000,269249000,289903000,315604000,345986000,564175000,1494346000,1075167000,557187000,396784000,411115000,425903000,466107000,567538000,564478000,660655000,714184000,643595000,693622000,704054000,752334000,824508000,779050000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,532100000,504500000,550600000,523700000,640200000,495500000,1191298000,1090929000,1055115000,1150974000,1625896000,2272073000,1458560000,1384967000,1505928000,1083160000,1310736000,1342705000,1083542000,1618644000,1559143000,1442317000,1292946000,1197852000,1648964000,2078365000,1360433000,1756869000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2588500000,2510700000,2372100000,2244200000,2049000000,2206100000,1955083000,2673078000,2881695000,2897725000,2584985000,2608455000,3232633000,3127125000,3031603000,3370524000,2948991000,2953507000,3199088000,2796465000,3031215000,3462391000,4021785000,4789713000,4638232000,4832558000,6314266000,7642136000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116805000,109359000,114480000,123052000,115609000,88672000,113996000,137153000,215330000,221032000,257151000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418700000,1425800000,1433700000,1414400000,1370800000,1187700000,1143040000,1064993000,1209074000,1329253000,1227553000,1225253000,1225798000,1243743000,1403318000,1496095000,1833566000,1925388000,2151371000,2504243000,2761243000,2910505000,3155394000,1896380000,2007826000,2188807000,2326775000,2498432000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,326800000,406500000,443200000,469400000,506200000,514200000,476877000,652929000,594231000,1329022000,1508462000,1792292000,2092569000,1956132000,2233079000,2512696000,2494184000,2842027000,2733966000,2134394000,2319777000,2377979000,2509544000,3885411000,3883322000,3610999000,4045122000,3827174000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4334000000,4343000000,4249000000,4128000000,3926000000,3908000000,3575000000,4391000000,4685000000,5556000000,5321000000,5626000000,6551000000,6327000000,6668000000,7379315000,7276741000,7837727000,8193784000,7549582000,8235287000,8866484000,9775395000,10685500000,10666533000,10847694000,12907195000,14224893000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8498700000,8256100000,- -,- -,7150139000,8782496000,- -,- -,- -,- -,13102267000,12654134000,13336186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65547000,- -,- -,- -,- -,- -,- -,- -,64585000,436121000,828844000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4864800000,4847400000,4800300000,4651800000,4566100000,4402800000,4766437000,5482425000,5739653000,6706599000,6946551000,7897681000,8009827000,7712101000,8174114000,8462475000,8587477000,9180432000,9277326000,9168226000,9794430000,10308801000,11068341000,11883352000,12315497000,12926059000,14267628000,15981762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1641200000,1638700000,1636400000,1553800000,1550600000,1537400000,1532831000,1531038000,1737258000,1744354000,1769047000,2067377000,- -,- -,- -,- -,- -,- -,2466923000,2491558000,2512970000,2541668000,2596030000,2614805000,2634265000,2659561000,2677482000,2702743000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,135200000,242400000,334000000,473700000,612700000,668300000,849883000,1032850000,1044537000,1127699000,1204122000,1193712000,1319747000,1413741000,1444208000,1298213000,1423961000,1534483000,1624102000,1785273000,1926065000,2092803000,2255547000,2442511000,2641183000,2837610000,3025106000,3264719000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2203000000,-2231600000,-2426100000,-2620600000,-2814800000,-3026200000,-3188302000,-3378089000,-3474325000,-3218728000,-3365954000,165000000,12000000,-16000000,-147000000,-132000000,-160000000,-152000000,-114000000,-78000000,-68000000,-45000000,-44000000,-45000000,-48000000,-57000000,-63000000,-54861000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2471600000,2500200000,2644700000,2791700000,2910100000,3026200000,3188302000,3313524000,3378683000,3176454000,3342981000,-1125000,2114369000,2133870000,2148771000,2149896000,2419366000,2439367000,-4219000,-4361000,-3542000,-5554000,-3955000,-5626000,-4533000,-9523000,-6085000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2045000000,2149700000,2189000000,2198600000,2258600000,2205700000,2382714000,2499323000,2686153000,2829779000,2950196000,3424964000,3446116000,3531611000,3445979000,3316109000,3683327000,3821850000,3972806000,4194470000,4367493000,4583917000,4803622000,5006690000,5222915000,5430648000,5633503000,5906200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6909800000,6997100000,6989300000,6850400000,6824700000,6608500000,7149151000,7981748000,8425806000,9536378000,9896747000,11322645000,11455943000,11243712000,11620093000,11778584000,12270804000,13002282000,13250132000,13362696000,14161923000,14892718000,15871963000,16890042000,17538412000,18356707000,19901131000,21887962000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29571000,91899000,108736000,129483000,145990000,151609000,135540000,132290000,129040000,125790000,122540000,119290000,115260000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6909800000,6997100000,6989300000,6850400000,6824700000,6608500000,7149151000,7981748000,8425806000,9536378000,9896747000,11322645000,11455943000,11243712000,11620093000,11808155000,12362703000,13111018000,13379615000,13508686000,14313532000,15028258000,16004253000,17019082000,17664202000,18479247000,20020421000,22003222000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/764622/000095014795000046/0000950147-95-000046-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095014796000117/0000950147-96-000117-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095014701500557/0000950147-01-500557-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764622/000095015304000639/p68820e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015305000539/p70328e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015306000633/p71939e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015307000444/p73495e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000095015308000407/p75022e10vk.htm,https://www.sec.gov/Archives/edgar/data/7286/000095013409003359/0000950134-09-003359-index.html,https://www.sec.gov/Archives/edgar/data/7286/000095012310014366/0000950123-10-014366-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095012311015421/c09734e10vk.htm,https://www.sec.gov/Archives/edgar/data/764622/000110465912012301/0001104659-12-012301-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465913012982/0001104659-13-012982-index.html,https://www.sec.gov/Archives/edgar/data/764622/000110465914012068/a13-25897_110k.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462215000013/pnw12311410-k.htm,https://www.sec.gov/Archives/edgar/data/7286/000076462216000087/0000764622-16-000087-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462217000010/0000764622-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462218000018/0000764622-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462219000019/0000764622-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/7286/000076462220000017/0000764622-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764622/000076462221000013/0000764622-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/764622/000076462222000014/0000764622-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,200600000,188000000,181300000,235900000,242900000,167900000,302332000,312166000,149408000,240579000,243195000,176267000,327255000,307143000,242125000,68330000,350053000,339473000,381542000,406074000,397595000,437257000,442034000,488456000,511047000,538320000,550559000,618720000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390358000,404331000,414555000,493784000,481262000,492322000,496487000,571664000,565011000,610629000,650955000,664140000,686253000,719141000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,78800000,61100000,13400000,24800000,41300000,-17400000,-8973000,-16939000,196324000,81756000,-113850000,-23806000,27738000,-58027000,158024000,105492000,260411000,176192000,228602000,301838000,185269000,245292000,229952000,243577000,112185000,-5417000,64373000,112669000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18883000,20502000,19547000,18376000,18292000,18460000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5900000,22500000,-26300000,25700000,-108800000,186700000,-400685000,33861000,121097000,60500000,-306839000,108085000,396783000,-453622000,-185926000,469023000,-224383000,-7429000,308419000,-497219000,-10673000,33907000,81074000,289163000,-542409000,-324362000,886221000,-372149000
