,https://roic.ai/company/NOC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0609,0.0126,0.0276,0.0043,0.0044,0.0531,0.0617,0.0413,0.0433,0.0297,0.0786,0.0815,0.0961,0.0849,0.1077,0.1441,0.0741,0.0808,0.0587,0.0684,0.0709,0.0814,0.0939,-0.0033,0.0736,0.0883,0.1240,0.1241,0.1266,0.1333,0.1307,0.1303,0.1279,0.1256,0.1173,0.1105,0.1584
19,Total Other Income Expenses (Gains),40300000,-21300000,-29800000,-79100000,-134800000,20900000,-74300000,-49000000,-49000000,-134000000,-127000000,-274000000,-229000000,-444000000,-207000000,-123000000,-305000000,-382000000,-407000000,-426000000,-134000000,-178000000,-320000000,-257000000,-217000000,-475000000,-193000000,-165000000,-260000000,-259000000,-286000000,-270000000,-250000000,-38000000,-1421000000,-337000000,3287000000
20,Income Before Tax,348100000,49500000,137400000,-53900000,-111500000,312500000,277200000,180000000,170000000,65000000,409000000,384000000,651000000,312000000,762000000,975000000,699000000,1009000000,1131000000,1615000000,2044000000,2276000000,2686000000,-368000000,2266000000,2595000000,3083000000,2965000000,2863000000,2937000000,2790000000,2923000000,3049000000,3742000000,2548000000,3728000000,8938000000
21,Income Before Tax Ratio,0.0688,0.0088,0.0227,-0.0093,-0.0212,0.0569,0.0487,0.0324,0.0336,0.0097,0.0600,0.0476,0.0711,0.0350,0.0847,0.1280,0.0516,0.0586,0.0432,0.0541,0.0665,0.0755,0.0839,-0.0109,0.0671,0.0747,0.1167,0.1176,0.1161,0.1225,0.1186,0.1193,0.1182,0.1243,0.0753,0.1013,0.2506
22,Income Tax expense (Gain),133700000,8300000,43200000,-23000000,-31000000,102100000,9000000,59000000,74000000,30000000,157000000,150000000,244000000,118000000,279000000,350000000,272000000,312000000,323000000,522000000,661000000,709000000,883000000,913000000,693000000,557000000,997000000,987000000,911000000,868000000,800000000,723000000,1034000000,513000000,300000000,539000000,1933000000
23,Net Income,214400000,41200000,94200000,-30900000,-80500000,210400000,268200000,121000000,96000000,35000000,252000000,234000000,407000000,194000000,467000000,608000000,427000000,64000000,866000000,1084000000,1400000000,1542000000,1790000000,-1262000000,1686000000,2053000000,2118000000,1978000000,1952000000,2069000000,1990000000,2200000000,2015000000,3229000000,2248000000,3189000000,7005000000
24,Net Income ratio,0.0424,0.0073,0.0156,-0.0053,-0.0153,0.0383,0.0471,0.0218,0.0190,0.0052,0.0370,0.0290,0.0445,0.0218,0.0519,0.0798,0.0315,0.0037,0.0330,0.0363,0.0456,0.0511,0.0559,-0.0372,0.0499,0.0591,0.0802,0.0784,0.0792,0.0863,0.0846,0.0898,0.0781,0.1073,0.0664,0.0867,0.1964
25,EPS,2.31,0.45,1.00,-0.33,-0.85,2.24,2.85,1.28,1.02,0.46,2.40,2.11,3.05,1.42,3.37,4.30,2.42,0.17,2.34,3.01,3.93,4.46,5.24,-3.77,5.28,6.91,7.65,7.96,8.50,9.91,10.51,12.30,11.55,18.59,13.28,19.08,43.84
26,EPS Diluted,2.31,0.45,1.00,-0.33,-0.85,2.24,2.85,1.28,1.00,0.46,2.35,2.08,2.99,1.40,3.35,4.29,2.40,0.17,2.32,2.97,3.85,4.37,5.12,-3.77,5.21,6.82,7.52,7.81,8.35,9.75,10.39,12.19,11.47,18.49,13.22,19.03,43.67
27,Weighted Average Shares Outstanding,92613391,92584270,93731343,95076923,94152047,93928571,94270650,94531250,94117647,76086957,105219207,110900474,133442623,137102473,138781575,141160000,169000000,231000000,365260000,359700000,356500000,345700000,341700000,334500000,319200000,296900000,276800000,248600000,229600000,208800000,189400000,178900000,174400000,173700000,169300000,167100000,159800000
28,Weighted Average Shares Outstanding Diluted,92613391,92584270,93731343,95076923,94152047,93928571,94270650,94531250,95522388,76923077,107006369,112771084,136120401,139068100,139611360,141760000,170520000,234860000,368360000,365000000,363200000,358600000,354300000,334500000,323300000,301100000,281600000,253400000,233900000,212100000,191600000,180500000,175600000,174600000,170000000,167600000,160400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133421/000089843002000975/0000898430-02-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000089843003002012/0000898430-03-002012-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312504038360/0001193125-04-038360-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312505041833/0001193125-05-041833-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312506034521/0001193125-06-034521-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012407000990/0000950124-07-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012408000713/0000950124-08-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095013409002265/0000950134-09-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012310010126/0000950123-10-010126-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/0000950123-11-010835-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/0001193125-12-045323-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/0001133421-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342114000006/0001133421-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/0001133421-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342116000065/0001133421-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342117000008/0001133421-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342118000005/0001133421-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342119000007/0001133421-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342120000006/0001133421-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342121000006/0001133421-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342122000004/0001133421-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000000,1412000000,342000000,1230000000,1605000000,1015000000,963000000,1504000000,3275000000,3701000000,3002000000,3862000000,5150000000,3863000000,2319000000,2541000000,11225000000,1579000000,2245000000,4907000000,3530000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464000000,1412000000,342000000,1230000000,1605000000,1015000000,963000000,1504000000,3275000000,3701000000,3002000000,3862000000,5150000000,3863000000,2319000000,2541000000,11225000000,1579000000,2245000000,4907000000,3530000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2735000000,2889000000,3198000000,3546000000,3656000000,3566000000,3813000000,3904000000,3394000000,4057000000,2964000000,2858000000,2685000000,2806000000,2841000000,3299000000,3976000000,6474000000,6660000000,6641000000,6959000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226000000,1091000000,1147000000,1061000000,1174000000,1178000000,1045000000,1003000000,1170000000,1185000000,873000000,798000000,698000000,742000000,807000000,816000000,780000000,654000000,783000000,759000000,811000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,10443000000,1058000000,1070000000,1114000000,960000000,951000000,778000000,796000000,961000000,907000000,874000000,955000000,773000000,367000000,200000000,368000000,973000000,997000000,3037000000,1126000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4589000000,15835000000,5745000000,6907000000,7549000000,6719000000,6772000000,7189000000,8635000000,9904000000,7746000000,8392000000,9488000000,8184000000,6334000000,6856000000,16349000000,9680000000,10685000000,15344000000,12426000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2767000000,3605000000,4036000000,4210000000,4404000000,4531000000,4715000000,4810000000,4868000000,5042000000,3047000000,2887000000,2806000000,2991000000,3064000000,3588000000,4225000000,6372000000,8423000000,8604000000,9549000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17219000000,17672000000,947000000,13517000000,13517000000,12374000000,12431000000,12438000000,12466000000,12460000000,12450000000,12455000000,18672000000,18708000000,17518000000,17515000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9807000000,18210000000,19043000000,18659000000,18656000000,1139000000,1074000000,14518000000,873000000,779000000,155000000,- -,- -,- -,- -,- -,- -,1372000000,1040000000,783000000,578000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9807000000,18210000000,19043000000,18659000000,18656000000,18358000000,18746000000,15465000000,14390000000,14296000000,12529000000,12431000000,12438000000,12466000000,12460000000,12450000000,12455000000,20044000000,19748000000,18301000000,18093000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000000,- -,28000000,- -,- -,- -,- -,1010000000,612000000,900000000,1542000000,209000000,1622000000,1409000000,1462000000,475000000,94000000,508000000,311000000,200000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3723000000,4442000000,4185000000,3557000000,3605000000,2401000000,3140000000,2733000000,1349000000,1567000000,1189000000,1291000000,1440000000,1309000000,1187000000,1258000000,1413000000,1463000000,1725000000,1909000000,2311000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16297000000,26431000000,27264000000,26454000000,26665000000,25290000000,26601000000,23008000000,21617000000,21517000000,17665000000,18151000000,16893000000,18388000000,18120000000,18758000000,18568000000,27973000000,30404000000,29125000000,30153000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20886000000,42266000000,33009000000,33361000000,34214000000,32009000000,33373000000,30197000000,30252000000,31421000000,25411000000,26543000000,26381000000,26572000000,24454000000,25614000000,34917000000,37653000000,41089000000,44469000000,42579000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019000000,1427000000,1491000000,1750000000,1767000000,1686000000,1901000000,1943000000,1921000000,1846000000,1481000000,1392000000,1229000000,1305000000,1282000000,1554000000,1661000000,2182000000,2226000000,1806000000,2197000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,225000000,471000000,42000000,1264000000,170000000,137000000,501000000,103000000,784000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,742000000,6000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1969000000,1777000000,1759000000,1722000000,1713000000,1537000000,1471000000,1617000000,1917000000,2237000000,2517000000,3026000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3655000000,9721000000,4399000000,4431000000,4943000000,4897000000,4394000000,4980000000,4961000000,3787000000,2864000000,2905000000,2864000000,2874000000,2638000000,2605000000,3687000000,4175000000,4971000000,4515000000,4301000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5132000000,11373000000,6361000000,6223000000,7974000000,6753000000,6432000000,7424000000,6985000000,8386000000,6135000000,6056000000,5815000000,5892000000,5457000000,5630000000,6965000000,8274000000,9434000000,9580000000,9530000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5033000000,9398000000,5410000000,5116000000,3881000000,3992000000,3918000000,3443000000,4191000000,4045000000,3935000000,3930000000,5928000000,5925000000,6416000000,7058000000,14399000000,13883000000,12770000000,15604000000,14367000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669000000,- -,509000000,506000000,595000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,- -,- -,490000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2539000000,7034000000,4931000000,4816000000,4936000000,4649000000,5336000000,7410000000,6389000000,5433000000,5005000000,7043000000,4018000000,7520000000,7059000000,7667000000,6505000000,7201000000,10066000000,8706000000,5266000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8241000000,16432000000,10850000000,10438000000,9412000000,8641000000,9254000000,10853000000,10580000000,9478000000,8940000000,10973000000,9946000000,13445000000,13475000000,14725000000,20904000000,21192000000,22836000000,24310000000,20123000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1308000000,1343000000,1590000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13373000000,27805000000,17211000000,16661000000,17386000000,15394000000,15686000000,18277000000,17565000000,17864000000,15075000000,17029000000,15761000000,19337000000,18932000000,20355000000,27869000000,29466000000,32270000000,33890000000,29653000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4451000000,12511000000,12433000000,364000000,347000000,346000000,338000000,327000000,307000000,291000000,254000000,239000000,218000000,199000000,181000000,175000000,174000000,171000000,168000000,167000000,156000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3011000000,2870000000,3431000000,4014000000,5055000000,6183000000,7387000000,5590000000,6737000000,8245000000,9699000000,11138000000,12538000000,12392000000,10661000000,10630000000,11548000000,8068000000,8748000000,10482000000,12913000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1173000000,-1391000000,-1744000000,-2189000000,-145000000,-1260000000,-699000000,-3642000000,-3014000000,-2757000000,-3490000000,-4787000000,-2984000000,-5356000000,-5320000000,-5546000000,1000000,-52000000,-97000000,-128000000,-143000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102000000,332000000,1665000000,14511000000,11571000000,11346000000,10661000000,9645000000,8657000000,7778000000,3873000000,2924000000,848000000,- -,- -,- -,-4675000000,- -,- -,58000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7391000000,14322000000,15785000000,16700000000,16828000000,16615000000,17687000000,11920000000,12687000000,13557000000,10336000000,9514000000,10620000000,7235000000,5522000000,5259000000,7048000000,8187000000,8819000000,10579000000,12926000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20764000000,42127000000,32996000000,33361000000,34214000000,32009000000,33373000000,30197000000,30252000000,31421000000,25411000000,26543000000,26381000000,26572000000,24454000000,25614000000,34917000000,37653000000,41089000000,44469000000,42579000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,139000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20886000000,42266000000,33009000000,33361000000,34214000000,32009000000,33373000000,30197000000,30252000000,31421000000,25411000000,26543000000,26381000000,26572000000,24454000000,25614000000,34917000000,37653000000,41089000000,44469000000,42579000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1133421/000089843002000975/0000898430-02-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000089843003002012/0000898430-03-002012-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312504038360/0001193125-04-038360-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312505041833/0001193125-05-041833-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312506034521/0001193125-06-034521-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012407000990/0000950124-07-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012408000713/0000950124-08-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095013409002265/0000950134-09-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012310010126/0000950123-10-010126-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/0000950123-11-010835-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/0001193125-12-045323-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/0001133421-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342114000006/0001133421-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/0001133421-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342116000065/0001133421-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342117000008/0001133421-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342118000005/0001133421-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342119000007/0001133421-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342120000006/0001133421-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342121000006/0001133421-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342122000004/0001133421-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-80500000,210400000,268200000,121000000,96000000,35000000,252000000,234000000,407000000,194000000,467000000,608000000,427000000,64000000,866000000,1084000000,1400000000,1542000000,1790000000,-1262000000,1686000000,2053000000,2118000000,1978000000,1952000000,2069000000,1990000000,2200000000,2015000000,3229000000,2248000000,3189000000,7005000000
74,Depreciation and Amortization,- -,- -,- -,- -,220600000,186600000,171300000,158000000,211000000,267000000,280000000,367000000,418000000,393000000,389000000,381000000,645000000,525000000,635000000,717000000,755000000,691000000,719000000,761000000,585000000,738000000,544000000,510000000,495000000,462000000,467000000,456000000,475000000,800000000,1018000000,1267000000,1239000000
75,Deferred Income Tax,- -,- -,- -,- -,-34000000,93300000,-20300000,48000000,26000000,78000000,84000000,126000000,188000000,112000000,230000000,345000000,174000000,-1513000000,1022000000,91000000,105000000,183000000,175000000,183000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-509000000,210000000,603000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,136000000,140000000,183000000,144000000,134000000,99000000,93000000,94000000,86000000,127000000,90000000,94000000
