,https://roic.ai/company/WMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1444900000,2268600000,2691000000,3451000000,6737300000,7730600000,8627900000,8613800000,4644400000,15656000000,11227000000,11351300000,10774000000,632000000,653000000,693000000,695000000,512000000,1622000000,1643000000,2108000000,2645000000,2445000000,2273000000,2143000000,2034000000,1326000000,2120000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1444900000,2268600000,2691000000,3451000000,6737300000,7730600000,8627900000,8613800000,4644400000,15656000000,11227000000,11351300000,10774000000,8711000000,9809000000,6774000000,7880000000,6062000000,5874000000,5485000000,6300000000,6162000000,5933000000,6309000000,6712000000,5814000000,5517000000,7994000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,51000000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653000000,594000000,585000000,632000000,598000000,509000000,510000000,747000000,1044000000,1179000000,1083000000,1112000000,1186000000,1172000000,1179000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1721000000,1842000000
15,EBITDA,31600000,-249300000,90300000,98000000,52500000,77000000,110000000,138200000,231800000,328400000,1420200000,545400000,449400000,237900000,382600000,1078300000,152500000,-949700000,-455800000,295000000,527500000,514800000,2167000000,2725000000,1229000000,-495000000,1098000000,1728000000,1341000000,4110000000,74000000,730000000,1283000000,1095000000,2371000000,3170000000,5049000000
16,EBITDA ratio,0.0101,-0.1341,0.0507,0.0586,0.0306,0.0423,0.0523,0.0565,0.0951,0.1875,0.4973,0.1545,0.1019,0.0311,0.0445,0.1037,0.0138,-0.1693,-0.0271,0.0237,0.0419,0.0436,0.2052,0.2206,0.1489,-0.0515,0.1385,0.2308,0.1955,0.5382,0.0101,0.0973,0.1598,0.1261,0.2891,0.4107,0.4751
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,306200000,587100000,840200000,958600000,921000000,862500000,1770100000,2420900000,964000000,1178100000,1234300000,1232300000,1038900000,1865000000,2625000000,1481000000,44000000,1867000000,1612000000,1375000000,1569000000,226000000,700000000,904000000,768000000,1921000000,2202000000,2631000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1749,0.2056,0.2379,0.2174,0.1203,0.1004,0.1702,0.2194,0.1719,0.0700,0.0991,0.0979,0.0879,0.1766,0.2125,0.1794,0.0046,0.2354,0.2153,0.2004,0.2054,0.0307,0.0933,0.1126,0.0884,0.2342,0.2853,0.2476
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-59600000,-185700000,-294800000,-430100000,-664000000,-539500000,-342900000,-955300000,-1660500000,-1126500000,-1009800000,-701000000,-499800000,-494000000,-578000000,-538000000,-990000000,-665000000,-323000000,-295000000,2015000000,-1939000000,-1075000000,-369000000,-437000000,-857000000,-1925000000,-558000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,246600000,401400000,545400000,528500000,257000000,323000000,1427200000,1465600000,-696500000,51600000,224500000,531300000,539100000,1371000000,2047000000,943000000,-946000000,1202000000,1289000000,1080000000,3584000000,-1713000000,-375000000,535000000,331000000,1064000000,277000000,2073000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1408,0.1406,0.1545,0.1199,0.0336,0.0376,0.1373,0.1328,-0.1242,0.0031,0.0180,0.0422,0.0456,0.1299,0.1657,0.1142,-0.0984,0.1516,0.1722,0.1574,0.4693,-0.2327,-0.0500,0.0666,0.0381,0.1297,0.0359,0.1951
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,81700000,102000000,183100000,178000000,110400000,161200000,554000000,630200000,-195000000,36400000,131300000,213900000,206300000,524000000,713000000,359000000,-30000000,124000000,360000000,401000000,1249000000,-399000000,-25000000,-1974000000,138000000,335000000,79000000,511000000
23,Net Income,31600000,-249300000,90300000,98000000,52500000,77000000,110000000,138200000,231800000,246700000,1318200000,362300000,271400000,127500000,221400000,524300000,-477700000,-754700000,-492200000,163700000,313600000,308500000,990000000,1418000000,285000000,-1097000000,376000000,859000000,430000000,2114000000,-571000000,-424000000,2174000000,-155000000,850000000,198000000,1517000000
24,Net Income ratio,0.0101,-0.1341,0.0507,0.0586,0.0306,0.0423,0.0523,0.0565,0.0951,0.1409,0.4616,0.1026,0.0615,0.0166,0.0258,0.0504,-0.0433,-0.1346,-0.0292,0.0131,0.0249,0.0261,0.0938,0.1148,0.0345,-0.1141,0.0474,0.1147,0.0627,0.2768,-0.0776,-0.0565,0.2707,-0.0178,0.1036,0.0257,0.1427
25,EPS,0.16,-1.22,0.43,0.42,0.20,0.27,0.40,0.46,0.72,1.16,6.38,1.08,0.81,0.28,0.50,1.18,-0.96,-1.63,-1.01,0.31,0.55,0.52,1.66,2.44,0.49,-1.88,0.64,1.26,0.63,2.83,-0.74,-0.57,2.63,-0.13,0.70,0.17,1.25
26,EPS Diluted,0.16,-1.22,0.43,0.42,0.20,0.27,0.40,0.46,0.72,1.16,6.24,1.07,0.80,0.28,0.50,1.17,-0.96,-1.63,-1.01,0.31,0.53,0.51,1.63,2.40,0.49,-1.88,0.63,1.26,0.62,2.83,-0.74,-0.57,2.62,-0.16,0.70,0.17,1.25
27,Weighted Average Shares Outstanding,197500000,204344262,210000000,233333333,224000000,242222222,246000000,268913043,305555556,205086207,295927711,324331797,322962963,430000000,434800000,444322034,497604167,518282209,516534653,528064516,570420000,595053000,596174000,581342000,581121000,585000000,588553000,681000000,683000000,747000000,749000000,750000000,826000000,1210000000,1212037000,1213631000,1213631000
28,Weighted Average Shares Outstanding Diluted,197500000,204344262,210000000,233333333,224000000,242222222,246000000,268913043,305555556,205086207,306259352,328878505,327000000,430000000,434800000,448119658,502842105,518282209,516534653,528064516,605847000,608627000,609866000,592719000,589385000,585000000,598175000,681000000,687185000,747000000,749271000,750673000,828518000,1210000000,1214011000,1215165000,1215165000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107263/000095013495000291/0000950134-95-000291-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013496000927/0000950134-96-000927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107263/000095013402001868/0000950134-02-001868-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013403004171/0000950134-03-004171-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013404003499/0000950134-04-003499-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013405004772/0000950134-05-004772-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013406004636/d33568e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013407004337/d43810e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013408003448/d54039e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013409003632/0000950134-09-003632-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012310017267/0000950123-10-017267-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/c61448e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000119312512082513/0001193125-12-082513-index.html,https://www.sec.gov/Archives/edgar/data/107263/000119312513080025/0001193125-13-080025-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726314000003/wmb_20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726315000003/wmb_20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726316000021/0000107263-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726317000003/0000107263-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726318000006/0000107263-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726319000007/0000107263-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726320000005/0000107263-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726321000006/0000107263-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726322000007/0000107263-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,90400000,115300000,81300000,503300000,1092000000,1210700000,1301100000,1728300000,2315700000,930000000,1597200000,2360200000,1699000000,1439000000,1867000000,795000000,889000000,839000000,681000000,240000000,100000000,170000000,899000000,168000000,289000000,142000000,1680000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5159000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,90400000,115300000,81300000,503300000,1092000000,1210700000,1301100000,1728300000,2315700000,930000000,1597200000,2360200000,1699000000,1439000000,1867000000,795000000,889000000,839000000,681000000,240000000,100000000,170000000,899000000,168000000,289000000,5301000000,1680000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,452300000,677300000,1070600000,1330900000,1724600000,2508200000,3580500000,3133900000,2524400000,1638400000,1422800000,1613800000,1212900000,1192000000,941000000,829000000,859000000,637000000,688000000,674000000,1139000000,1041000000,938000000,976000000,992000000,996000000,1000000000,1978000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,112300000,189000000,204600000,300500000,497500000,631500000,848500000,813800000,443100000,245800000,261100000,272600000,241400000,209000000,260000000,222000000,303000000,169000000,175000000,194000000,231000000,127000000,138000000,113000000,130000000,125000000,136000000,379000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,856100000,387100000,499600000,543200000,806700000,2284900000,9837000000,7689200000,8190300000,4595100000,3429700000,6213700000,2507500000,2438000000,1771000000,875000000,573000000,199000000,222000000,134000000,280000000,259000000,216000000,191000000,174000000,170000000,-5008000000,512000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1456800000,1343800000,1890100000,2255900000,3532100000,6516600000,15476700000,12938000000,12886100000,8795000000,6043600000,9697300000,6322000000,5538000000,4411000000,3793000000,2530000000,1894000000,1924000000,1683000000,1890000000,1527000000,1462000000,2179000000,1464000000,1580000000,1429000000,4549000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3124000000,8014700000,9386300000,10055600000,12604600000,15155500000,19667800000,17719200000,14717700000,12079100000,11886800000,12409200000,14180700000,15981000000,18065000000,18644000000,20272000000,12580000000,15467000000,18210000000,28081000000,29579000000,28428000000,28211000000,27504000000,29200000000,28929000000,29258000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011000000,1011000000,1011000000,8000000,- -,649000000,646000000,1120000000,47000000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1704000000,1644000000,10453000000,9970000000,9663000000,8791000000,7767000000,7959000000,7444000000,7402000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435200000,583600000,435600000,- -,1180600000,1082500000,1014500000,1014500000,1014500000,1011400000,1011000000,1011000000,1011000000,8000000,- -,2353000000,2290000000,11573000000,10017000000,9663000000,8791000000,7767000000,7959000000,7444000000,7402000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,901000000,971000000,886000000,1344000000,1391000000,3987000000,4360000000,8400000000,7336000000,6701000000,6552000000,7821000000,6235000000,5159000000,5127000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,645300000,1136300000,1142400000,1132300000,1927000000,3180800000,5052500000,7068400000,6302200000,5133200000,5048100000,6321600000,3888300000,1630000000,1548000000,946000000,818000000,637000000,596000000,599000000,619000000,561000000,581000000,619000000,746000000,1066000000,-5159000000,1276000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3769300000,9151000000,10528700000,11623100000,15115200000,18771900000,24720300000,25968200000,22102400000,18226800000,17949400000,19745300000,19080400000,19523000000,21595000000,21487000000,22442000000,14608000000,22403000000,25459000000,48673000000,47493000000,45373000000,44173000000,43838000000,44460000000,36373000000,43063000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5226100000,10494800000,12418800000,13879000000,18647300000,25288500000,40197000000,38906200000,34988500000,27021800000,23993000000,29442600000,25402400000,25061000000,26006000000,25280000000,24972000000,16502000000,24327000000,27142000000,50563000000,49020000000,46835000000,46352000000,45302000000,46040000000,37802000000,47612000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,222500000,472000000,683300000,886300000,1158200000,2049900000,3439400000,2896700000,2027500000,1238300000,1043200000,1360600000,1148500000,1131000000,1059000000,934000000,918000000,691000000,920000000,960000000,865000000,744000000,623000000,978000000,662000000,552000000,482000000,1746000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,890000000,319900000,329100000,734100000,1443300000,1574800000,3710000000,2461300000,2017600000,939700000,250100000,122600000,392100000,143000000,196000000,17000000,508000000,353000000,1000000,226000000,802000000,675000000,878000000,501000000,47000000,2161000000,921000000,2048000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,388000000,- -,- -,24000000,- -,- -,- -,- -,- -,63000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,94000000,338000000,361000000,244000000,158000000,1923000000,134000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,361400000,1258000000,1186900000,1407000000,1837700000,2147500000,9654100000,8136500000,7263400000,4092100000,3852600000,6967000000,3153000000,3157000000,2264000000,1526000000,1148000000,631000000,628000000,797000000,818000000,984000000,1110000000,806000000,858000000,1097000000,-1007000000,1044000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1473900000,2049900000,2199300000,3027400000,4439200000,5772200000,16803500000,13494500000,11308500000,6270100000,5145900000,8450200000,4693600000,4431000000,3519000000,2477000000,2574000000,1675000000,1549000000,1983000000,2567000000,2497000000,2949000000,2646000000,1811000000,3968000000,2319000000,4972000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1307800000,2874000000,4376900000,4565300000,6366400000,9235300000,10342400000,9500700000,11896400000,11039800000,7711900000,7590500000,7622000000,7757000000,7683000000,8259000000,8600000000,8369000000,10735000000,11353000000,20888000000,23812000000,22624000000,20434000000,22367000000,20148000000,893000000,21650000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,933000000,1485000000,1441000000,1588000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,662900000,1568200000,1626600000,1718900000,2060800000,2581900000,2828100000,3689900000,3353600000,2453400000,2470100000,2508900000,2879900000,2996000000,3390000000,3656000000,3448000000,1660000000,2841000000,3529000000,4712000000,4218000000,4238000000,3147000000,1524000000,1782000000,- -,2453000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,276300000,815800000,795500000,995800000,1523800000,2113800000,4330500000,6176400000,3381000000,3156800000,3709000000,5465600000,4133100000,2569000000,1489000000,428000000,143000000,1715000000,1775000000,1356000000,2224000000,2268000000,2978000000,3950000000,3603000000,3778000000,- -,4436000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2247000000,5258000000,6799000000,7280000000,9951000000,13931000000,17501000000,19367000000,18631000000,16650000000,13891000000,15565000000,14635000000,14255000000,14047000000,13784000000,13779000000,11744000000,15351000000,16238000000,27824000000,30298000000,29840000000,27531000000,27494000000,25708000000,893000000,28539000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30970000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,28000000,23000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3720600000,7307700000,8997800000,10190200000,13881600000,19141800000,32674700000,32661200000,29515800000,22835600000,18937400000,23801000000,18248400000,18686000000,17566000000,16261000000,16353000000,13419000000,16900000000,18221000000,30391000000,32795000000,32789000000,30177000000,29305000000,29676000000,32396000000,33511000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,35000000,35000000,35000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,104400000,105300000,160200000,325100000,432300000,444500000,447900000,518900000,519900000,521400000,561200000,579100000,602800000,608000000,613000000,618000000,620000000,626000000,716000000,718000000,782000000,784000000,785000000,861000000,1245000000,1247000000,1248000000,1250000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,716500000,1915600000,2119500000,2209400000,2849500000,2807200000,3065700000,199600000,-884300000,-1426800000,-1306500000,-1135900000,-1034000000,-293000000,874000000,903000000,-478000000,-5820000000,-5695000000,-6248000000,-5548000000,-7960000000,-9649000000,-8434000000,-10002000000,-11002000000,- -,-13237000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1187100000,-1464000000,-1826000000,-2228800000,-3621000000,-4094300000,-4921700000,-5556200000,3500000,-149000000,-266100000,-302300000,-60100000,-121000000,-80000000,-168000000,-82000000,-389000000,-362000000,-164000000,-341000000,-442000000,-339000000,-238000000,-270000000,-199000000,-96000000,-33000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1871700000,2630200000,2967300000,3383100000,5104900000,6989300000,8930400000,11082700000,5138600000,5156500000,5967300000,6286600000,6564500000,6181000000,7033000000,7094000000,7228000000,7376000000,10093000000,10558000000,13884000000,13766000000,13846000000,17467000000,23652000000,23282000000,10582000000,23408000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1505500000,3187100000,3421000000,3688800000,4765700000,6146700000,7522300000,6245000000,5049000000,4102100000,4955900000,5427500000,6073200000,6375000000,8440000000,8447000000,7288000000,1793000000,4752000000,4864000000,8777000000,6148000000,4643000000,9656000000,14660000000,13363000000,11769000000,11423000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5226100000,10494800000,12418800000,13879000000,18647300000,25288500000,40197000000,38906200000,34564800000,26937700000,23893300000,29228500000,24321600000,25061000000,26006000000,24708000000,23641000000,15212000000,21652000000,23085000000,39168000000,38943000000,37432000000,39833000000,43965000000,43039000000,44165000000,44934000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423700000,84100000,99700000,214100000,1080800000,- -,- -,572000000,1331000000,1290000000,2675000000,4057000000,11395000000,10077000000,9403000000,6519000000,1337000000,3001000000,-6363000000,2678000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5226100000,10494800000,12418800000,13879000000,18647300000,25288500000,40197000000,38906200000,34988500000,27021800000,23993000000,29442600000,25402400000,25061000000,26006000000,25280000000,24972000000,16502000000,24327000000,27142000000,50563000000,49020000000,46835000000,46352000000,45302000000,46040000000,37802000000,47612000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/107263/000095013495000291/0000950134-95-000291-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013496000927/0000950134-96-000927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107263/000095013402001868/0000950134-02-001868-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013403004171/0000950134-03-004171-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013404003499/0000950134-04-003499-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013405004772/0000950134-05-004772-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095013406004636/d33568e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013407004337/d43810e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013408003448/d54039e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000095013409003632/0000950134-09-003632-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012310017267/0000950123-10-017267-index.html,https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/c61448e10vk.htm,https://www.sec.gov/Archives/edgar/data/107263/000119312512082513/0001193125-12-082513-index.html,https://www.sec.gov/Archives/edgar/data/107263/000119312513080025/0001193125-13-080025-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726314000003/wmb_20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726315000003/wmb_20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726316000021/0000107263-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726317000003/0000107263-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726318000006/0000107263-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726319000007/0000107263-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726320000005/0000107263-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/107263/000010726321000006/0000107263-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726322000007/0000107263-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,246700000,1318200000,362300000,271400000,127500000,221400000,524300000,-477700000,-754700000,-492200000,163700000,313600000,308500000,990000000,1418000000,285000000,-1097000000,376000000,859000000,430000000,2114000000,-571000000,-424000000,2174000000,-155000000,850000000,198000000,1517000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1721000000,1842000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,25800000,125400000,72400000,81800000,42900000,455100000,351500000,346200000,-122100000,66600000,123000000,-45300000,169200000,- -,- -,- -,- -,-179000000,206000000,424000000,1264000000,-337000000,-26000000,-2012000000,220000000,376000000,108000000,509000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,- -,36000000,37000000,53000000,82000000,73000000,78000000,55000000,57000000,- -,81000000
