,https://roic.ai/company/SCOR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.3564,-0.0925,0.0151,0.1510,0.1897,0.1358,0.1402,0.0640,0.0167,0.0584,0.0968,0.0342,-0.1670,-0.1586,-0.5583,-0.2121,-0.6835,0.0845,-0.0015
17,Operating Income,-14333000,34894000,-3846000,5587000,10658000,10988000,9540000,-1459000,-18040000,-7801000,3093000,-14780000,-75095000,-131842000,-295503000,-138936000,-310467000,-21275000,-28865000
18,Operating Income ratio,-0.6137,1.0000,-0.0765,0.0843,0.1223,0.0936,0.0747,-0.0083,-0.0776,-0.0306,0.0108,-0.0449,-0.2773,-0.3301,-0.7323,-0.3312,-0.7988,-0.0598,-0.0786
19,Total Other Income Expenses (Gains),-595000,- -,-318000,132000,1136000,-697000,367000,-294000,-724000,-1614000,-1000000,-438000,-2643000,10662000,11393000,-16626000,-29536000,-25741000,-20313000
20,Income Before Tax,-14928000,- -,-4164000,5719000,11794000,10291000,9907000,-1753000,-18764000,-9415000,2093000,-15218000,-77738000,-121180000,-284110000,-155562000,-340003000,-47016000,-49178000
21,Income Before Tax Ratio,-0.6392,- -,-0.0828,0.0863,0.1353,0.0877,0.0776,-0.0100,-0.0807,-0.0369,0.0073,-0.0462,-0.2871,-0.3034,-0.7040,-0.3708,-0.8748,-0.1321,-0.1340
22,Income Tax expense (Gain),- -,- -,-182000,50000,-7522000,-14895000,5938000,-177000,-2974000,2374000,4426000,-5315000,484000,-4007000,-2717000,3706000,-1007000,902000,859000
23,Net Income,-14928000,-3226000,-4422000,5669000,19316000,25186000,3969000,-1576000,-15790000,-11789000,-2333000,-9903000,-78222000,-117173000,-281393000,-159268000,-338996000,-47918000,-50037000
24,Net Income ratio,-0.6392,-0.0925,-0.0880,0.0855,0.2216,0.2146,0.0311,-0.0090,-0.0679,-0.0462,-0.0081,-0.0301,-0.2889,-0.2933,-0.6973,-0.3797,-0.8723,-0.1346,-0.1363
25,EPS,-6.96,-1.88,-2.30,0.29,0.99,0.88,0.13,-0.05,-0.49,-0.35,-0.07,-0.29,-0.18,-2.10,-4.90,-2.76,-5.33,-0.67,-0.61
26,EPS Diluted,-6.96,-1.88,-2.30,0.29,0.88,0.83,0.13,-0.05,-0.49,-0.35,-0.07,-0.29,-0.18,-2.10,-4.90,-2.76,-5.33,-0.67,-0.61
27,Weighted Average Shares Outstanding,2690288,2871713,3130194,19236064,16139365,28691216,30014085,31070018,32289877,33244798,34443126,33689660,37879091,55728090,57485755,57700603,63590882,71181496,82185009
28,Weighted Average Shares Outstanding Diluted,2690288,2871713,3130194,19236064,18377563,30232714,30970642,31070018,32289877,33244798,34443126,33689660,37879091,55728090,57485755,57700603,63590882,71181496,82185009
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000095013308001016/0000950133-08-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095013309000757/0000950133-09-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012310024216/0000950123-10-024216-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012311025611/0000950123-11-025611-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000119312512072772/0001193125-12-072772-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817213000004/0001158172-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817214000004/0001158172-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817215000020/0001158172-15-000020-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000115817218000050/0001158172-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817219000017/0001158172-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817220000021/0001158172-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817221000021/0001158172-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817222000011/0001158172-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,5124000,5032000,68368000,34297000,58284000,33736000,38071000,61764000,67795000,43015000,146986000,84111000,37859000,44096000,46590000,31126000,21854000
32,Short-Term Investments,- -,- -,4050000,11000000,28449000,37164000,29833000,- -,- -,- -,- -,- -,- -,28412000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,9174000,16032000,96817000,71461000,88117000,33736000,38071000,61764000,67795000,43015000,146986000,112523000,37859000,44096000,46590000,31126000,21854000
34,Net Receivables,- -,- -,10328000,14123000,23446000,29947000,34922000,54269000,64429000,68348000,90040000,98185000,88788000,96230000,119261000,75609000,71853000,69379000,72059000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,15482000,- -,1290000,1338000,3181000,15175000,13368000,15092000,16873000,18817000,20964000,37683000,36321000,23680000,22434000,26074000,35540000,36525000,15194000
37,Total Current Assets,15482000,- -,20792000,31493000,123444000,116583000,136407000,103097000,119373000,148929000,178799000,178883000,272095000,232433000,179554000,145779000,153983000,137030000,109107000
38,PP&E,- -,- -,4480000,6980000,6867000,17697000,17302000,28637000,28272000,31418000,37995000,42365000,45199000,42001000,28893000,27339000,68382000,59932000,65637000
39,Goodwill,- -,- -,1064000,1364000,1364000,39114000,42014000,86217000,102338000,102900000,103314000,103525000,108590000,639897000,642424000,641191000,416418000,418327000,435711000
40,Intangible Assets,- -,- -,2355000,983000,17000,8805000,8745000,50260000,53114000,40759000,32938000,15793000,103943000,194168000,159777000,126945000,79559000,52340000,39945000
41,Intangible Assets,- -,- -,3419000,2347000,1381000,47919000,50759000,136477000,155452000,143659000,136252000,119318000,212533000,834065000,802201000,768136000,495977000,470667000,475656000
42,Investments,- -,- -,- -,- -,- -,- -,2809000,2819000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,7888000,13736000,9938000,11316000,16613000,12065000,9244000,12369000,32486000,5117000,4532000,3991000,2374000,2741000,2811000
44,Other Non-Current Assets,6672000,- -,786000,1267000,8092000,3628000,193000,733000,347000,414000,1123000,1017000,929000,7176000,7259000,8898000,2979000,7600000,10263000
45,Total Non-Current Assets,6672000,- -,8685000,10594000,24228000,82980000,81001000,179982000,200684000,187556000,184614000,175069000,291147000,888359000,842885000,808364000,569712000,540940000,554367000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22154000,- -,29477000,42087000,147672000,199563000,217408000,283079000,320057000,336485000,363413000,353952000,563242000,1120792000,1022439000,954143000,723695000,677970000,663474000
48,Accounts Payable,- -,- -,1048000,1353000,1140000,1755000,2009000,5588000,10300000,7229000,3378000,3421000,5659000,7204000,27889000,29836000,44804000,36640000,23575000
49,Short-Term Debt,- -,- -,1618000,1726000,900000,977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12644000,7538000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,19588000,22776000,33045000,42779000,48140000,70611000,68726000,80824000,86607000,92013000,79802000,99412000,98367000,70877000,68044000,71006000,65624000
52,Other Current Liabilities,15515000,- -,4966000,7025000,6992000,10481000,9961000,21029000,33364000,33253000,44988000,56176000,56217000,69261000,124234000,68223000,77389000,63985000,68634000
53,Total Current Liabilities,15515000,- -,27220000,32880000,42077000,55992000,60110000,97228000,112390000,121306000,134973000,151610000,141678000,175877000,250490000,168936000,190237000,184275000,165371000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177342000,196538000,192895000,52055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,8210000,8019000,1709000,1715000,2859000,2063000,1445000,2733000,2053000,- -,- -,4156000,- -
56,Deferred Tax Liabilities,- -,- -,174000,77000,- -,- -,- -,744000,183000,130000,595000,1182000,533000,7688000,3641000,5527000,287000,627000,2103000
57,Other Non-Current Liabilities,96558000,- -,104377000,108687000,2973000,8691000,1149000,11256000,15208000,17691000,26184000,23832000,25709000,29641000,109763000,50771000,77659000,67027000,220769000
58,Total Non-Current Liabilities,96558000,- -,104551000,108764000,2973000,8691000,9359000,20019000,17100000,19536000,29638000,27077000,27687000,40062000,115457000,233640000,274484000,264705000,274927000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1283000,2261000,977000,- -,1034000,12618000,12981000,14498000,23681000,26425000,33039000,20907000,8351000,3603000,49261000,43151000,43593000
61,Total Liabilities,112073000,- -,131771000,141644000,45050000,64683000,69469000,117247000,129490000,140842000,164611000,178687000,169365000,215939000,365947000,402576000,464721000,448980000,440298000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,4000,28000,29000,30000,32000,34000,36000,36000,36000,40000,60000,60000,59000,70000,73000,90000
64,Retained Earnings,- -,- -,-102267000,-99486000,-80840000,-55654000,-51685000,-53261000,-69051000,-80840000,-83173000,-93076000,-99838000,-327698000,-609091000,-769095000,-1108137000,-1156055000,-1218715000
65,Other Comprehensive Income/Loss,- -,- -,-15915000,-12929000,-14190000,-1000000,-14387000,2000000,1000000,2000000,2000000,-6000000,- -,-12000000,-6000000,-11000000,-12000000,-7030000,-12098000
66,Other Total Stockholders Equity,- -,- -,15885000,12854000,197624000,191505000,213981000,217061000,258584000,274447000,279939000,274305000,493675000,1244491000,1271523000,1331603000,1379041000,1392002000,1453899000
67,Total Stockholders Equity,-89919000,- -,-102294000,-99557000,102622000,134880000,147939000,165832000,190567000,195643000,198802000,175265000,393877000,904853000,656492000,551567000,258974000,228990000,223176000
68,Total Liabilities And Stockholders Equity,22154000,- -,29477000,42087000,147672000,199563000,217408000,283079000,320057000,336485000,363413000,353952000,563242000,1120792000,1022439000,954143000,723695000,677970000,663474000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22154000,- -,29477000,42087000,147672000,199563000,217408000,283079000,320057000,336485000,363413000,353952000,563242000,1120792000,1022439000,954143000,723695000,677970000,663474000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000095013308001016/0000950133-08-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095013309000757/0000950133-09-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012310024216/0000950123-10-024216-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012311025611/0000950123-11-025611-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000119312512072772/0001193125-12-072772-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817213000004/0001158172-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817214000004/0001158172-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817215000020/0001158172-15-000020-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000115817218000050/0001158172-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817219000017/0001158172-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817220000021/0001158172-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817221000021/0001158172-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817222000011/0001158172-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-14928000,- -,-4422000,5669000,19316000,25186000,3969000,-1576000,-15790000,-11789000,-2333000,-9903000,-78222000,-117173000,-281393000,-159268000,-338996000,-47918000,-50037000
74,Depreciation and Amortization,6604000,- -,5156000,4292000,4737000,5649000,8001000,12956000,22653000,23448000,24734000,25213000,31203000,57335000,58162000,50123000,42854000,41283000,40831000
75,Deferred Income Tax,- -,- -,-182000,-97000,-8142000,-15386000,5096000,-1938000,-4356000,896000,2381000,-13064000,-121000,-3997000,-3203000,2019000,-3727000,10000,-1719000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,9849000,17773000,21260000,24896000,27035000,41973000,46983000,46495000,17314000,37619000,16558000,10073000,13848000
77,Change in Working Capital,- -,- -,-6395000,5041000,82754000,-20776000,15706000,-70428000,1114000,20640000,16203000,-16553000,103144000,-73861000,-127492000,47779000,-13097000,-10991000,-23810000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-4491000,-15101000,-10184000,-4936000,-22560000,-16705000,1542000,4009000,14529000,4707000,2738000,2024000,-2081000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,11390000,-7840000,- -,- -,- -,- -,- -,- -,- -,- -,-4210000
81,Other Working Capital,-33000,- -,-6428000,-1387000,81367000,60591000,76297000,5869000,6983000,27623000,43826000,27273000,130417000,56556000,-70936000,-23157000,-36254000,-47245000,-10777000
82,Other Non-Cash Items,4412000,- -,10096000,-4000000,-77454000,37586000,-17590000,68623000,1869000,-13219000,-23446000,21831000,-43630000,35289000,280207000,-50847000,291772000,8260000,30743000
83,Cash Provided by Operating Activities,-3912000,- -,4253000,10905000,21211000,32259000,25031000,25410000,26750000,44872000,44574000,49497000,59357000,-55912000,-56405000,-72575000,-4636000,717000,9856000
84,CAPEX,-726000,- -,-1071000,-2314000,-3635000,-14252000,-6472000,-5119000,-7235000,-7590000,-4597000,-7649000,-4325000,-7106000,-10182000,-13814000,-14236000,-15555000,-15550000
85,Acquisitions Net,- -,- -,-1243000,-300000,- -,-44638000,-1296000,-68880000,-5162000,- -,- -,-3896000,-10117000,9758000,- -,- -,- -,- -,902000
86,Purchases of Investments,- -,- -,-8960000,-14900000,-56475000,-92288000,-50197000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,8810000,7950000,30920000,86118000,57973000,29976000,2591000,- -,- -,- -,- -,2188000,28436000,- -,3776000,- -,- -
88,Other Investing Activites,- -,- -,-41000,-9000,-1115000,1385000,- -,- -,- -,- -,160000,- -,-2535000,42980000,- -,-9608000,-11500000,-15078000,-14747000
89,Cash Used for Investing Activites,- -,- -,-2505000,-9573000,-30305000,-63675000,8000,-44023000,-9806000,-7590000,-4437000,-11545000,-16977000,47820000,18254000,-13814000,-10460000,-15555000,-14648000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1064000,-1727000,-5390000,-11292000,-14197000,-12081000,-16622000,-18838000,-17016000,-9006000,-4605000,-2121000,-220512000
91,Common Stock Issued,- -,- -,136000,241000,74088000,1027000,- -,- -,371000,238000,- -,- -,204741000,- -,- -,- -,19752000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1265000,-1573000,-5472000,-7392000,-7362000,-22421000,-52883000,-134076000,-27292000,-1514000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4760000
94,Other Financing Activites,- -,- -,-1228000,-1622000,-2109000,-900000,922000,1116000,108000,4131000,3733000,5865000,9423000,-5199000,11012000,102125000,16826000,25000,202820000
95,Cash Used/Provided by Financing Activities,- -,- -,-1092000,-1381000,71979000,-1138000,-1715000,-6083000,-12303000,-14285000,-32885000,-59099000,63466000,-51329000,-7518000,93119000,31973000,-2096000,-22452000
96,Effect of Forex Changes on Cash,- -,- -,-36000,-43000,451000,-1517000,663000,148000,-306000,696000,-1221000,-3633000,-1875000,776000,2453000,-1657000,-302000,902000,-1218000
97,Net Change In Cash,- -,- -,620000,-92000,63336000,-34071000,23987000,-24548000,4335000,23693000,6031000,-24780000,103971000,-58645000,-43216000,5073000,16575000,-16032000,-28462000
98,Cash at the End of Period,- -,- -,5124000,5032000,68368000,34297000,58284000,33736000,38071000,61764000,67795000,43015000,146986000,88341000,45125000,50198000,66773000,50741000,22279000
99,Cash at the Beginning of Period,- -,- -,4504000,5124000,5032000,68368000,34297000,58284000,33736000,38071000,61764000,67795000,43015000,146986000,88341000,45125000,50198000,66773000,50741000
100,Free Cash Flow,-4638000,- -,3182000,8591000,17576000,18007000,18559000,20291000,19515000,37282000,39977000,41848000,55032000,-63018000,-66587000,-86389000,-18872000,-14838000,-5694000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000095013308001016/0000950133-08-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095013309000757/0000950133-09-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012310024216/0000950123-10-024216-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000095012311025611/0000950123-11-025611-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000119312512072772/0001193125-12-072772-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817213000004/0001158172-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817214000004/0001158172-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817215000020/0001158172-15-000020-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1158172/000115817218000050/0001158172-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817219000017/0001158172-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817220000021/0001158172-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817221000021/0001158172-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1158172/000115817222000011/0001158172-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,
