,https://roic.ai/company/CENT,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.60,0.83,0.24,0.18,0.71,1.07,1.15,0.89,-0.63,-0.50,-4.50,1.73,1.99,2.50,2.85,0.45,-3.76,0.94,0.70,0.50,0.44,-0.04,0.18,0.64,0.87,1.52,2.32,1.61,2.20,2.75
27,Weighted Average Shares Outstanding,3500000,4819277,5833333,5789474,11702000,16293000,28502000,27328000,18786000,18402000,18581000,19327000,20036000,20813000,22611000,70824000,71117000,69499000,64272000,56217000,47622000,48094000,48880000,48562000,48964000,50230000,51716000,56770000,54008000,53914000
28,Weighted Average Shares Outstanding Diluted,3500000,4819277,5833333,6111111,11904000,19970000,33007000,27437000,18786000,18402000,23009000,20081000,20801000,21526000,23018000,72050000,71117000,70264000,65091000,56645000,48374000,48094000,49397000,49638000,51075000,51820000,53341000,57611000,54738000,55248000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887733/000102140800004564/0001021408-00-004564-index.html,https://www.sec.gov/Archives/edgar/data/887733/000101706201500950/0001017062-01-500950-index.html,https://www.sec.gov/Archives/edgar/data/887733/000102140802015127/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312503092114/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312504210315/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312505239086/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312506253349/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312507254894/0001193125-07-254894-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312508244611/0001193125-08-244611-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312509239261/0001193125-09-239261-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312510265032/0001193125-10-265032-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312511317404/0001193125-11-317404-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312512501706/0001193125-12-501706-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312513470429/0001193125-13-470429-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312514440182/0001193125-14-440182-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312515399914/0001193125-15-399914-index.html,https://www.sec.gov/Archives/edgar/data/887733/000162828016021764/0001628280-16-021764-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773317000014/0000887733-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773318000016/0000887733-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773319000016/0000887733-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773320000014/0000887733-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/887733/000088773321000016/0000887733-21-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,200000,100000,1300000,100100000,10300000,8000000,5685000,8300000,10900000,77600000,12200000,28800000,28406000,21100000,26900000,85700000,91500000,12000000,48500000,15200000,78700000,47584000,92982000,32397000,482106000,497749000,652712,426422000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,17800000,22700000,17800000,10000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,200000,200000,100000,1300000,100100000,10300000,8000000,5685000,8300000,10900000,77600000,12200000,28800000,28406000,21100000,26900000,85700000,106800000,29800000,71200000,33000000,88700000,47584000,92982000,32397000,482106000,497749000,652712,426422000
34,Net Receivables,25100000,29700000,36700000,41300000,62200000,85000000,142300000,149400000,151190000,141800000,131000000,146100000,184000000,184900000,239172000,247400000,260600000,206600000,192400000,195400000,202400000,194300000,193700000,207402000,201151000,237868000,275908000,300135000,391773,385384000
35,Inventory,79500000,90300000,106700000,69400000,169800000,218800000,292800000,316100000,242617000,217900000,193200000,217200000,237900000,270700000,332214000,378400000,349500000,284800000,286000000,329500000,330000000,391900000,326400000,335946000,362004000,382101000,427823000,466197000,439615,685237000
36,Other Current Assets,3400000,3800000,6100000,5800000,7200000,10500000,26900000,11300000,20658000,35800000,26000000,15200000,30800000,25900000,34910000,38600000,34800000,44400000,42700000,47900000,48200000,53500000,62800000,62888000,27159000,30690000,31461000,43112000,41183,46614000
37,Total Current Assets,108300000,124000000,149700000,116600000,240500000,414400000,472300000,484800000,420150000,403800000,361100000,456100000,464900000,510300000,634702000,685500000,671800000,621500000,627900000,602600000,651800000,672700000,671600000,653820000,683296000,683056000,1217298000,1307193000,1525283,1543657000
38,PP&E,4700000,9500000,10200000,12100000,11500000,22700000,86400000,94200000,111740000,108800000,100900000,101500000,105600000,110600000,162604000,201600000,174000000,164700000,165300000,176400000,191200000,188900000,166800000,162809000,158224000,180913000,217647000,245405000,244667,494173000
39,Goodwill,- -,- -,- -,- -,30000000,113000000,339400000,346500000,- -,372000000,222500000,222800000,338400000,364800000,557820000,598800000,201500000,207700000,207300000,210200000,210200000,205800000,208200000,209089000,231385000,256275000,281177000,286077000,289955,369391000
40,Intangible Assets,- -,- -,10600000,11000000,- -,- -,- -,- -,382294000,- -,- -,- -,- -,24800000,110548000,100300000,107400000,103400000,86800000,84500000,78900000,79900000,88000000,75460000,95865000,116100000,152265000,146137000,134924,134400000
41,Intangible Assets,- -,- -,10600000,11000000,30000000,113000000,339400000,346500000,382294000,372000000,222500000,222800000,338400000,389600000,668368000,699100000,308900000,311100000,294100000,294700000,289100000,285700000,296200000,284549000,327250000,372375000,433442000,432214000,424879,503791000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,1700000,1500000,20200000,21100000,- -,16900000,2000000,1600000,3700000,18500000,- -,44800000,7000000,4500000,4400000,9000000,28700000,36400000,39200000,51622000,29071000,70595000,49380000,57281000,- -,- -
44,Other Non-Current Assets,10100000,10200000,3500000,3000000,- -,7400000,10400000,9200000,33234000,15100000,45500000,47100000,47600000,27300000,68149000,15800000,97600000,49100000,39200000,10300000,-11300000,-22500000,-25100000,-21203000,-17158000,-33000,-10558000,-17073000,- -,575028000
45,Total Non-Current Assets,14800000,19700000,24300000,26100000,43200000,144600000,456400000,471000000,527268000,512800000,370900000,373000000,495300000,546000000,899121000,961300000,587500000,529400000,503000000,490400000,497700000,488500000,477100000,477777000,497387000,623850000,689911000,717827000,669546,1572992000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146015000
47,Total Assets,123100000,143700000,174000000,142700000,283700000,559000000,928700000,955800000,947418000,916600000,732000000,829100000,960200000,1056300000,1533823000,1646800000,1259300000,1150900000,1130900000,1093000000,1149500000,1161200000,1148700000,1131597000,1180683000,1306906000,1907209000,2025020000,2194829,3116680000
48,Accounts Payable,52200000,60300000,74200000,45100000,104000000,136200000,153700000,188100000,121705000,127900000,96800000,105100000,105900000,96500000,122960000,136000000,133400000,108800000,112600000,116500000,126700000,103600000,88400000,88889000,102413000,103283000,110259000,149246000,205234,245542000
49,Short-Term Debt,41500000,32200000,45000000,39700000,27900000,100000,7000000,95900000,134516000,119400000,60000000,1028000,1025000,2210000,3039000,3352000,3340000,3270000,165000,279000,331000,142000,291000,291000,463000,375000,122000,113000,33592000,41812000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47481000,48723000,51341000,25853000,- -,38659000,34686000,44425000,42733000,47772000,48149000,53484000,48488000,49731000,47759000,- -,49380000,57281000,40956,- -
52,Other Current Liabilities,4700000,4700000,9500000,6500000,12900000,24200000,33900000,31100000,42801000,45500000,2819000,-1651000,13634000,42237000,81305000,37289000,49574000,37705000,38702000,27349000,31320000,25074000,35921000,37993000,51584000,116549000,53203000,71885000,-33397928,234965000
53,Total Current Liabilities,98400000,97200000,128700000,91300000,144800000,160500000,194600000,315100000,299022000,292800000,207100000,153200000,171900000,166800000,207304000,215300000,221000000,194200000,194200000,191900000,206500000,182300000,173100000,176904000,202219000,220207000,212964000,278525000,440262,522319000
54,Long-Term Debt,6000000,8800000,7000000,11100000,7600000,115200000,125100000,123900000,148242000,151600000,145300000,249200000,304800000,320900000,565410000,607200000,519800000,404800000,400100000,435300000,449500000,472400000,449900000,396691000,394806000,395278000,692031000,693037000,97,1314808000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2400000,2100000,1900000,1800000,- -,- -,- -,- -,36207000,- -,- -,- -,- -,18500000,29583000,44802000,7037000,4526000,- -,8960000,30638000,39493000,46585000,52720000,62778000,54279000,67391000,79961000,40956,56012000
57,Other Non-Current Liabilities,- -,-100000,- -,100000,1700000,1500000,20200000,21100000,- -,16900000,2000000,1600000,3700000,- -,3000000,1798000,2763000,2274000,5900000,40000,-1038000,-1693000,-5585000,-4000,-32134000,- -,-17626000,-22510000,- -,- -
58,Total Non-Current Liabilities,8400000,10800000,8900000,13000000,9300000,116700000,145300000,145000000,184449000,168500000,147300000,250800000,308500000,339400000,597993000,653800000,529600000,411600000,406000000,444300000,479100000,510200000,490900000,449407000,425450000,449557000,741796000,750488000,41053,1370820000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120011000,170856000
61,Total Liabilities,106800000,108000000,137600000,104300000,154100000,277200000,339900000,460100000,483471000,461300000,354400000,404000000,480400000,506200000,805297000,869100000,750600000,605800000,600200000,636200000,685600000,692500000,664000000,626311000,627669000,669764000,954760000,1029013000,- -,1893139000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,200000,300000,300000,320000,300000,300000,300000,300000,400000,234000,700000,700000,700000,600000,500000,500000,500000,500000,499000,510000,518000,576000,561000,113,552000
64,Retained Earnings,7900000,11900000,13300000,10300000,18700000,36300000,70000000,94500000,82661000,73400000,-10300000,24400000,65700000,119500000,185031000,217300000,-50500000,12000000,45300000,59000000,79700000,77600000,86400000,115987000,160501000,239329000,362923000,421742000,510781,646082000
65,Other Comprehensive Income/Loss,-6500000,-8100000,-8900000,-9800000,-400000,-200000,-25800000,-35300000,-46806000,-61200000,-71600000,-83200000,136000,-4161000,1490000,5195000,3200000,1062000,944000,1019000,1539000,1442000,1232000,164000,-1294000,-951000,-1218000,-1676000,-1409000,-831000
66,Other Total Stockholders Equity,14900000,31900000,32000000,37900000,111200000,245500000,544300000,436200000,427772000,442800000,459100000,483596000,410660000,431439000,540604000,553778000,555358000,531323000,483852000,396257000,382198000,389136000,396591000,388636000,393297000,396790000,590168000,575380000,1077701106,- -
67,Total Stockholders Equity,16300000,35700000,36400000,38400000,129600000,281800000,588800000,495700000,463947000,455300000,377500000,425096000,476796000,547178000,727359000,776973000,508758000,545085000,530696000,456776000,463937000,468678000,484723000,505286000,553014000,635686000,952449000,996007000,1076803000,1222249000
68,Total Liabilities And Stockholders Equity,123100000,143700000,174000000,142700000,283700000,559000000,928700000,955800000,947418000,916600000,731900000,829096000,957196000,1053378000,1532656000,1646073000,1259358000,1150885000,1130896000,1092976000,1149537000,1161178000,1148723000,1131597000,1180683000,1305450000,1907209000,2025020000,1076803,3115388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,4000,3004000,2922000,1167000,727000,-58000,15000,4000,24000,-37000,22000,-23000,- -,- -,1456000,- -,- -,1118026,1292000
70,Total Liabilities & Equity,123100000,143700000,174000000,142700000,283700000,559000000,928700000,955800000,947418000,916600000,732000000,829100000,960200000,1056300000,1533823000,1646800000,1259300000,1150900000,1130900000,1093000000,1149500000,1161200000,1148700000,1131597000,1180683000,1306906000,1907209000,2025020000,2194829,3116680000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887733/000102140800004564/0001021408-00-004564-index.html,https://www.sec.gov/Archives/edgar/data/887733/000101706201500950/0001017062-01-500950-index.html,https://www.sec.gov/Archives/edgar/data/887733/000102140802015127/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312503092114/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312504210315/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312505239086/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312506253349/d10k.htm,https://www.sec.gov/Archives/edgar/data/887733/000119312507254894/0001193125-07-254894-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312508244611/0001193125-08-244611-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312509239261/0001193125-09-239261-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312510265032/0001193125-10-265032-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312511317404/0001193125-11-317404-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312512501706/0001193125-12-501706-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312513470429/0001193125-13-470429-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312514440182/0001193125-14-440182-index.html,https://www.sec.gov/Archives/edgar/data/887733/000119312515399914/0001193125-15-399914-index.html,https://www.sec.gov/Archives/edgar/data/887733/000162828016021764/0001628280-16-021764-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773317000014/0000887733-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773318000016/0000887733-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773319000016/0000887733-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/887733/000088773320000014/0000887733-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/887733/000088773321000016/0000887733-21-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,4000000,1400000,1100000,8400000,17600000,33500000,24200000,-11813000,-7100000,-83700000,34600000,41400000,53800000,65534000,32300000,-267300000,65900000,45800000,28300000,21200000,-1900000,8800000,31971000,44514000,78828000,123594000,92786000,121520000,151746000
74,Depreciation and Amortization,1700000,2600000,2500000,1800000,3100000,5400000,16100000,20500000,26035000,28362000,17616000,17878000,18516000,20436000,23957000,30717000,32517000,29155000,28869000,28566000,30425000,32968000,35781000,33703000,40001000,42719000,47199000,50828000,55359000,74727000
75,Deferred Income Tax,-700000,- -,-1000000,600000,600000,1000000,5900000,-1100000,-6338000,10251000,-26065000,9037000,7165000,4057000,5288000,16606000,-109717000,25713000,17420000,25289000,14411000,-3233000,5548000,15566000,3189000,10789000,-4833000,6659000,-6615000,-14744000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10646000,5556000,7447000,7510000,15892000,7678000,8315000,8356000,11115000,11602000,14662000,18982000,23127000
77,Change in Working Capital,-4100000,16900000,-5800000,4300000,70400000,158200000,23800000,-108000000,-48572000,-10128000,43000000,148900000,-9900000,50500000,83898000,42802000,-19400000,-23500000,6400000,-23000000,34600000,45100000,8100000,-21584000,4161000,-18228000,541485000,24334000,-1027582979,-43939000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6841000,8185000,2655000,-9093000,27444000,-32419000,-28741000,1485000,- -,- -
79,Inventory,-6900000,600000,-1300000,38200000,-89500000,-20800000,16600000,-20000000,12519000,25444000,24743000,-23997000,9421000,-21515000,-10704000,-51525000,29832000,62886000,-1227000,-31683000,-164000,-61697000,69698000,4403000,-6519000,-15885000,-15087000,-3696000,27351000,-132170000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24517000,2918000,7404000,9805000,-23866000,-16321000,-4757000,-2793000,-2143000,-1163000,30473000,52047000,24583000
81,Other Working Capital,9900000,26800000,21000000,25300000,95700000,253900000,277700000,169700000,121128000,111000000,154000000,302900000,293000000,343500000,427398000,470200000,450800000,427300000,433700000,410700000,445300000,490400000,498500000,476916000,481077000,462849000,1004334000,1028668000,1085021,- -
82,Other Non-Cash Items,300000,-17800000,10000000,2600000,-114900000,-172000000,-48500000,128000000,80764000,17429000,121962000,-159213000,7233000,-71134000,-83511000,-83890000,478928000,113724000,31184000,-15594000,-18977000,-117109000,60560000,19478000,51205000,-10914000,-604935000,15705000,1102609979,59927000
83,Cash Provided by Operating Activities,-700000,5700000,7100000,10400000,-32400000,10200000,30800000,63600000,40076000,38814000,72813000,51202000,64414000,57659000,95166000,38535000,115028000,221638000,135229000,51008000,89169000,-28282000,126467000,87449000,151426000,114309000,114112000,204974000,264273000,250844000
84,CAPEX,-1200000,-1800000,-800000,-2800000,-3000000,-4600000,-238800000,-32700000,-16663000,-13888000,-10907000,-17958000,-18264000,-18676000,-47589000,-60038000,-22349000,-16505000,-24190000,-31563000,-39592000,-25172000,-17173000,-22030000,-27622000,-44659000,-37845000,-31577000,-43055000,-80333000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-34406000,-18277000,- -,-4614000,-158947000,-62194000,-380690000,-34004000,-5010000,-6549000,-1756000,-25307000,- -,-4835000,-20282000,-38384000,-69001000,-116375000,-91244000,-41161000,- -,-818053000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15320000,-2500000,-4885000,- -,-10000000,-17000,- -,- -,-9048000,-2010000,-4439000,-500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4885000,17820000,9997000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-6400000,-13500000,-1300000,-31300000,-96800000,- -,- -,- -,- -,- -,- -,-14936000,15062000,558000,1582000,11953000,-13993000,- -,3133000,- -,- -,-5546000,580000,5428000,-3543000,-999000,-1515000,-612000,-473000
89,Cash Used for Investing Activites,-1200000,-8200000,-14300000,-4100000,-34300000,-101400000,-238800000,-32700000,-51069000,-32165000,-10907000,-22572000,-192147000,-65808000,-427721000,-92460000,-15406000,-20542000,-41266000,-56237000,-44477000,-25122000,-35181000,-49854000,-91195000,-164577000,-139136000,-76263000,-48106000,-899359000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-576129000,-417924000,-668335000,-339353000,-368332000,-301367000,-362289000,-819307000,-552463000,-23431000,-46193000,-200113000,-1288401000
91,Common Stock Issued,300000,- -,- -,1000000,81900000,128000000,203500000,2500000,1733000,618000,5885000,8070000,8242000,7926000,114297000,4393000,1432000,479000,1294000,1675000,2129000,613000,1165000,200000,324000,- -,195631000,- -,- -,- -
92,Common Stock Repurchased,- -,-700000,-800000,-100000,-400000,- -,-1100000,-121700000,-21704000,- -,- -,- -,- -,-754000,-10014000,- -,-6649000,-37821000,-66901000,-108727000,-24829000,-2731000,-2332000,-18497000,-10873000,-27556000,-13797000,-62974000,-59129000,-27892000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1500000,3100000,8100000,-7200000,-13700000,62000000,-84200000,86000000,28632000,-4660000,-65199000,30020000,53972000,17913000,227956000,42082000,-88718000,473542000,395364000,701390000,353478000,390759000,274775000,312216000,815691000,569627000,316380000,-1598000,198682000,1736768000
