,https://roic.ai/company/TITN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
46,Other Assets,4987000,5266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47572000,44668000,- -,105082317,138872083,239369466,410248195,514812000,648846000,1088072000,1444051000,1564648000,1349747000,1047875000,771422000,760308000,792438000,975343000,815789000,946667000
48,Accounts Payable,2835000,3316000,- -,5488024,4227830,9244064,18651610,12352000,15957000,28424000,28282000,23714000,17659000,16863000,17326000,15136000,16607000,16976000,20045000,25644000
49,Short-Term Debt,27908000,21860000,- -,63440432,87522384,111501488,174104885,257090000,325008000,557183000,699978000,752725000,634998000,446337000,234601000,248966000,324434000,401572000,188889000,5876000
50,Tax Payable,14000,61000,- -,- -,- -,- -,- -,- -,2093000,- -,5240000,6749000,8355000,3958000,3871000,6867000,6272000,5996000,19335000,4700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,49540000,47842000,62401000,38112000,32406000,28000000,32324000,46409000,40968000,59418000,134146000
52,Other Current Liabilities,3782000,5016000,- -,6306336,7273751,25447375,23466123,22844000,47089000,26735000,28833000,36197000,38838000,27819000,28899000,31863000,33002000,34647000,49148000,209055000
53,Total Current Liabilities,34525000,30192000,- -,75234792,99023965,146192927,216222618,292286000,388054000,661882000,804935000,875037000,729607000,523425000,308826000,328289000,420452000,494163000,317500000,374721000
54,Long-Term Debt,- -,- -,- -,17650178,23534434,14382795,14809663,21852000,33409000,57405000,182258000,224425000,199473000,172554000,126737000,97397000,25812000,37789000,118473000,130367000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,416000,925000,1865000,3503000,6356000,9012000,28592000,47411000,47329000,38996000,11135000,9500000,2275000,4955000,2055000,- -,- -
57,Other Non-Current Liabilities,7535000,9788000,- -,2088667,2010147,811689,1946042,3794000,3814000,2854000,9551000,6515000,3312000,2412000,5180000,10492000,5908000,96232000,8535000,6380000
58,Total Non-Current Liabilities,7535000,9788000,- -,20154845,26469581,17059484,20258705,32002000,46235000,88851000,239220000,278269000,241781000,186101000,141417000,110164000,36675000,136076000,127008000,136747000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2089000,104408000,96030000,- -
61,Total Liabilities,42060000,39980000,- -,95389637,125493546,163252411,236481323,324288000,434289000,750733000,1044155000,1153306000,971388000,709526000,450243000,438453000,457127000,630239000,444508000,136747000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,43,43,134,177,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,9348880,12863630,17937226,36012025,51749000,74091000,118251000,160724000,169575000,137418000,99526000,85347000,77046000,89228000,97717000,116869000,182916000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4292469,-5778767,-7966756,-11832562,-18523000,-25225000,-70000,-735000,339000,-1099000,-4461000,-4783000,-1700000,-2340000,-3220000,1499000,-2172000
66,Other Total Stockholders Equity,5512000,4688000,- -,4636226,6293631,66146451,149587232,157298000,165691000,218156000,236521000,238857000,240180000,242491000,240615000,246509000,248423000,250607000,- -,254455000
67,Total Stockholders Equity,5512000,4688000,- -,9692680,13378537,76117055,173766872,190524000,214557000,336337000,396510000,408771000,376499000,337556000,321179000,321855000,335311000,345104000,371281000,435199000
68,Total Liabilities And Stockholders Equity,47572000,44668000,- -,105082317,138872083,239369466,410248195,514812000,648846000,1087070000,1440665000,1562077000,1347887000,1047082000,771422000,760308000,792438000,975343000,815789000,571946000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1002000,3386000,2571000,1860000,793000,- -,- -,- -,- -,- -,374721000
70,Total Liabilities & Equity,47572000,44668000,- -,105082317,138872083,239369466,410248195,514812000,648846000,1088072000,1444051000,1564648000,1349747000,1047875000,771422000,760308000,792438000,975343000,815789000,946667000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1409171/000104746908005336/0001047469-08-005336-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746909004204/0001047469-09-004204-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746910003743/0001047469-10-003743-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746911003749/0001047469-11-003749-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746912004157/0001047469-12-004157-index.htm,https://www.sec.gov/Archives/edgar/data/1409171/000104746913004179/0001047469-13-004179-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000144530514001316/0001445305-14-001316-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917115000012/0001409171-15-000012-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917116000104/0001409171-16-000104-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917117000023/0001409171-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917118000024/0001409171-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917119000016/0001409171-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917120000015/0001409171-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917121000022/0001409171-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1409171/000140917122000020/0001409171-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2731865,3638311,5212698,18074799,15737000,22342000,44160000,42473000,8851000,-32157000,-37892000,-14179000,-7049000,12182000,13953000,19356000,66047000
74,Depreciation and Amortization,- -,- -,- -,1200456,1767684,2515353,4583091,7950000,8969000,15263000,23464000,30794000,31768000,28538000,26868000,25105000,23605000,28067000,23701000,22139000
75,Deferred Income Tax,- -,- -,- -,-23000,74000,-181052,967950,1850000,1675000,16029000,6108000,-4939000,-14837000,-9171000,-2841000,-8920000,2511000,-1663000,-3538000,4315000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,962000,1157000,1368000,1630000,2131000,2135000,2103000,2145000,3441000,2535000,2693000,2515000,2554000
77,Change in Working Capital,- -,- -,- -,4902511,5053709,40383164,67175890,24672863,8494000,92046000,128322000,24881000,-13466000,-64060000,-35778000,-28185000,-50417000,12943000,29351000,52874000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4469000,- -
79,Inventory,- -,- -,- -,-5365361,-285688,-3165080,-34841721,-61244000,-63108000,-261597000,-144021000,-182374000,171595000,196983000,211793000,20338000,4996000,-99469000,199245000,5799000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-6649000,23245000,36428000,-2739000,10173000,-29603000,-14318000,1824000,8445000,10688000,-1890000,36205000,- -
81,Other Working Capital,- -,- -,- -,21317374,26371083,66754247,133930137,158603000,167097000,259143000,387465000,412346000,398880000,334820000,299042000,270857000,220440000,233383000,262734000,315608000
82,Other Non-Cash Items,- -,- -,- -,1643,-4028289,-35470344,-86586272,-98832863,-77645000,-351051000,-317322000,-143961000,67615000,312366000,164782000,111420000,56189000,-55038000,101611000,10987000
83,Cash Provided by Operating Activities,- -,- -,- -,8813475,6505415,12459819,4215458,-47661000,-35008000,-182185000,-115325000,-82243000,41058000,231884000,140997000,95812000,46605000,955000,172996000,158916000
84,CAPEX,- -,- -,- -,-1219161,-1987258,-6504390,-42749368,-19660000,-49044000,-69870000,-71709000,-23858000,-17596000,-8411000,-12425000,-26115000,-11951000,-25016000,-20089000,-4525000
85,Acquisitions Net,- -,- -,- -,-2576014,-12088053,-10102968,-44993869,- -,- -,- -,- -,- -,- -,- -,- -,-3652000,-15299000,-13887000,-6790000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-915000,-23000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,44994000,- -,- -,- -,- -,5840000,337000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,21929,119674,269638,461976,396000,596000,3243000,7597000,16781000,17074000,7971000,3300000,5178000,1418000,2434000,6582000,-50673000
89,Cash Used for Investing Activites,- -,- -,- -,-3773246,-13955637,-16337720,-87281261,25730000,-48448000,-66627000,-64112000,-7077000,4403000,-126000,-9125000,-24589000,-25832000,-36469000,-20297000,-55198000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-19066000,-20777000,-30067000,-145509000,-133960000,-140728000,-116876000,-63212000,-65879000,-36141000,-50134000,-15942000,-18424000
91,Common Stock Issued,- -,- -,- -,301000,113000,42877898,78882552,- -,- -,74898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-441028,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2222400,6237802,-3328464,2428045,76135000,104160000,207742000,369736000,173763000,149732000,-152080000,-104764000,-5587000,19414000,73003000,-101997000,-16911000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,2523400,6350802,39108406,81310597,57069000,83383000,252573000,224227000,39803000,9004000,-268956000,-167976000,-71466000,-16727000,22869000,-117939000,-35335000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000,-272000,-601000,-1179000,-865000,-210000,488000,-697000,-379000,509000,-1224000
97,Net Change In Cash,- -,- -,- -,7563629,-1099420,35230505,-1755206,35138000,-73000,3730000,44518000,-50118000,53286000,-38063000,-36314000,245000,3349000,-13024000,35269000,67159000
98,Cash at the End of Period,- -,- -,- -,8671420,7572000,42802505,41047299,76185000,76112000,79842000,124360000,74242000,127528000,89465000,53151000,53396000,56745000,43721000,78990000,146149000
99,Cash at the Beginning of Period,- -,- -,- -,1107791,8671420,7572000,42802505,41047000,76185000,76112000,79842000,124360000,74242000,127528000,89465000,53151000,53396000,56745000,43721000,78990000
100,Free Cash Flow,- -,- -,- -,7594314,4518157,5955429,-38533910,-67321000,-84052000,-252055000,-187034000,-106101000,23462000,223473000,128572000,69697000,34654000,-24061000,152907000,154391000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1409171/000104746908005336/0001047469-08-005336-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746909004204/0001047469-09-004204-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746910003743/0001047469-10-003743-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746911003749/0001047469-11-003749-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000104746912004157/0001047469-12-004157-index.htm,https://www.sec.gov/Archives/edgar/data/1409171/000104746913004179/0001047469-13-004179-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000144530514001316/0001445305-14-001316-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917115000012/0001409171-15-000012-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917116000104/0001409171-16-000104-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917117000023/0001409171-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917118000024/0001409171-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917119000016/0001409171-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917120000015/0001409171-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1409171/000140917121000022/0001409171-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1409171/000140917122000020/0001409171-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
