,https://roic.ai/company/PBI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1060700000,1155100000,1287200000,1401200000,1486400000,1630300000,1687000000,1730400000,1727600000,1514300000,1584100000,1700200000,1757500000,1904800000,2040300000,1759391000,1503257000,1624749000,1367135000,1670866000,1850225000,1929628000,2092825000,2154093000,1982905000,1917048000,1880503000,1735194000,1542813000,1488331000,1390117000,1321633000,1367506000,1248704000,1055247000,1001707000,970940000
11,COGS and Expenses,1660100000,1769300000,2001500000,2125100000,2275800000,2528500000,2627200000,2723700000,2792100000,2540300000,2717200000,2977000000,3096700000,3207000000,3318200000,2885643000,3393872000,3611159000,3574225000,3911946000,4329254000,4569955000,4963580000,5132424000,4720929000,4507079000,4408044000,4167901000,3239973000,3169122000,2948708000,2836311000,3090175000,3141653000,2977386000,3407930000,3522503000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4949000,2587000,5795000,7982000,5472000,4403000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111269000,203911000,203061000,115228000,114740000,95291000,87583000,88970000,113497000,110900000,110910000,105753000,96886000
14,Depreciation and Amortization,103700000,122700000,142900000,166200000,194500000,220600000,238100000,250800000,263000000,268300000,271600000,278200000,300100000,361300000,412100000,321157000,317449000,264250000,288808000,306750000,331963000,363258000,383141000,379117000,338895000,303653000,272142000,255556000,211243000,198088000,173312000,178486000,182336000,203293000,159142000,160625000,162859000
15,EBITDA,327500000,384000000,438000000,536700000,462100000,554800000,707100000,534300000,837800000,760500000,1065900000,962600000,1103200000,1233900000,1373800000,1183423000,1057856000,921739000,1013169000,1006198000,1199087000,803609000,1030144000,1043839000,1113763000,1005713000,1137268000,984628000,570262000,758324000,876991000,511125000,578822000,550241000,451654000,91561000,247472000
16,EBITDA ratio,0.1788,0.1933,0.1946,0.2025,0.1607,0.1736,0.2122,0.1556,0.2365,0.2325,0.2998,0.2495,0.2690,0.2924,0.3099,0.3049,0.2566,0.2090,0.2214,0.2030,0.2183,0.1402,0.1681,0.1667,0.2000,0.1854,0.2155,0.2008,0.1474,0.1984,0.2451,0.1500,0.1631,0.1562,0.1409,0.0258,0.0674
17,Operating Income,171700000,217400000,249000000,524800000,599900000,667100000,705300000,710400000,750800000,730300000,837600000,881600000,1003800000,1013500000,1114400000,995225000,728602000,798599000,1002628000,1045494000,1162929000,1160063000,1166215000,1129881000,848242000,918175000,869930000,736114000,629428000,652382000,629352000,570264000,459773000,380727000,227739000,146145000,3507000
18,Operating Income ratio,0.0937,0.1094,0.1106,0.1980,0.2086,0.2088,0.2116,0.2069,0.2119,0.2233,0.2356,0.2285,0.2448,0.2401,0.2514,0.2564,0.1767,0.1811,0.2191,0.2109,0.2117,0.2025,0.1903,0.1804,0.1523,0.1692,0.1648,0.1501,0.1627,0.1707,0.1759,0.1674,0.1295,0.1081,0.0711,0.0411,0.0010
19,Total Other Income Expenses (Gains),46200000,42000000,46100000,-160600000,-338900000,-339500000,-243700000,-215000000,-176000000,-163800000,-218700000,-197200000,-200700000,-149400000,-129800000,-192377000,37782000,-179154000,-281537000,-346046000,-295805000,-245573000,-505504000,-416704000,-155066000,-383598000,-455649000,-131501000,-226251000,-221186000,-18527000,-323894000,-176784000,-168366000,-200597000,-331077000,-10922000
20,Income Before Tax,217900000,259400000,295100000,364200000,261000000,327600000,461600000,495400000,574800000,566500000,618900000,684400000,803100000,864100000,984600000,802848000,766384000,619445000,721091000,699448000,867124000,914490000,660711000,713177000,693176000,534577000,414281000,604613000,403177000,431196000,610825000,246370000,282989000,212361000,27142000,-184932000,-7415000
21,Income Before Tax Ratio,0.1190,0.1306,0.1311,0.1374,0.0908,0.1025,0.1385,0.1443,0.1622,0.1732,0.1741,0.1774,0.1959,0.2047,0.2221,0.2069,0.1859,0.1405,0.1576,0.1411,0.1579,0.1596,0.1078,0.1139,0.1245,0.0985,0.0785,0.1233,0.1042,0.1128,0.1707,0.0723,0.0797,0.0603,0.0085,-0.0520,-0.0020
22,Income Tax expense (Gain),73400000,93300000,95700000,127200000,80900000,121000000,173700000,183200000,221600000,218100000,211200000,215000000,277100000,296200000,325400000,239723000,252064000,181739000,226244000,218922000,340546000,335004000,280222000,244929000,240154000,205770000,44585000,150305000,83069000,112815000,189778000,131819000,21649000,12383000,-13007000,6727000,-10922000
23,Net Income,150400000,168000000,199400000,243300000,186700000,213200000,295300000,100300000,353200000,274100000,583100000,469400000,526000000,576400000,636300000,622543000,488343000,475750000,498117000,480526000,526578000,105347000,366781000,419793000,423445000,292379000,617480000,463539000,161210000,352130000,426318000,111850000,261340000,223665000,194609000,-181544000,-1351000
24,Net Income ratio,0.0821,0.0846,0.0886,0.0918,0.0649,0.0667,0.0886,0.0292,0.0997,0.0838,0.1640,0.1217,0.1283,0.1366,0.1436,0.1604,0.1185,0.1079,0.1088,0.0969,0.0959,0.0184,0.0598,0.0670,0.0760,0.0539,0.1170,0.0945,0.0417,0.0921,0.1191,0.0328,0.0736,0.0635,0.0607,-0.0511,-0.0004
25,EPS,0.06,0.14,0.16,0.19,0.15,0.17,0.23,0.15,1.11,0.87,1.92,1.56,0.91,2.10,2.38,2.43,1.99,1.99,2.13,2.08,2.30,0.47,1.68,2.01,2.05,1.42,3.06,2.22,0.71,1.65,2.04,0.51,1.40,1.19,1.10,-1.06,-0.01
26,EPS Diluted,0.06,0.14,0.16,0.19,0.15,0.17,0.23,0.15,1.11,0.87,1.92,1.56,0.90,2.06,2.34,2.41,1.97,1.97,2.11,2.05,2.27,0.47,1.66,2.00,2.04,1.41,3.05,2.21,0.70,1.64,2.03,0.50,1.39,1.19,1.10,-1.06,-0.01
27,Weighted Average Shares Outstanding,302184000,308128000,317740000,312068000,313460000,319046000,317528000,314350000,318018018,314827586,304490862,300897436,279674000,274380952,267226891,256190535,245398492,239024623,233807042,230973558,228906087,223957447,218273810,208811940,207322440,206752872,201790850,200523874,201176056,202275758,199972059,186868627,186671429,187953782,176917273,171267925,173914000
28,Weighted Average Shares Outstanding Diluted,302184000,308128000,317740000,312068000,313460000,319046000,317528000,314350000,318018018,314827586,304490862,300897436,279674000,279708738,271794872,258316598,247889848,241451269,236023223,234353659,231931278,223957447,220903614,209856000,207571078,207360993,202452459,201431222,204050000,203961446,200944874,188975198,187435080,188381647,177337161,171519000,179105000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000007881495000002/0000078814-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881496000002/0000078814-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000095013001001467/0000950130-01-001467-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000120677404000120/d13986.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677405000278/d16410.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677406000420/d18625_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677407000561/pitneybowes_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041308001359/c52528_10-k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041309001039/0000930413-09-001039-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041310001062/0000930413-10-001062-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041311001280/c64451_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041312001035/0000930413-12-001035-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881413000006/0000078814-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881414000003/pbi2013123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881415000006/pbi2014123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881416000040/0000078814-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881417000003/0000078814-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881418000004/0000078814-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881419000004/0000078814-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881420000009/0000078814-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881421000011/0000078814-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881422000004/0000078814-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62800000,68200000,94400000,45700000,61000000,79100000,113500000,71000000,54700000,75100000,85400000,135300000,137100000,125700000,254300000,198255000,231588000,315156000,293812000,316217000,243509000,239102000,377176000,376671000,412737000,484363000,856238000,913276000,907806000,1079145000,650557000,764522000,1009021000,867262000,924442000,921450000,732480000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,15250000,1790000,3491000,28000,3933000,56193000,62512000,63279000,21551000,14682000,30609000,12971000,36611000,31128000,32121000,117021000,38448000,48988000,59391000,115879000,18974000,14440000
33,Cash and Short-Term Investments,62800000,68200000,94400000,45700000,61000000,79100000,113500000,71000000,54700000,75100000,85400000,135300000,137100000,125700000,256700000,213505000,233378000,318647000,293840000,320150000,299702000,301614000,440455000,398222000,427419000,514972000,869209000,949887000,938934000,1111266000,767578000,802970000,1058009000,926653000,1040321000,940424000,746920000
34,Net Receivables,341600000,364500000,465000000,1061300000,1156600000,1280400000,1387800000,382000000,1406800000,422300000,1595200000,1680000000,1895300000,1783200000,2211900000,1906430000,2009603000,1850826000,1817797000,1968365000,2000644000,2148143000,2339558000,2275413000,2187770000,2217273000,2077276000,1968378000,1601655000,1454583000,1399081000,1360850000,1410866000,1251415000,1008679000,980509000,909204000
35,Inventory,289900000,341700000,381200000,372600000,440200000,381400000,342100000,344400000,394700000,430600000,311300000,281900000,249200000,266700000,257500000,167969000,163012000,210888000,209527000,206697000,220918000,237817000,197962000,161321000,156502000,168967000,178599000,179678000,103580000,84827000,88824000,92726000,89679000,41964000,68251000,65845000,78588000
36,Other Current Assets,20200000,17200000,22500000,39700000,40800000,58200000,92100000,1041300000,80500000,1155700000,109200000,124900000,181900000,333400000,616500000,338804000,150615000,172264000,192011000,197874000,221051000,231096000,341638000,197657000,199545000,107029000,134774000,114184000,194043000,109444000,64325000,68637000,77954000,104186000,118830000,120145000,157341000
37,Total Current Assets,714500000,791600000,963100000,1519300000,1698600000,1799100000,1935500000,1838700000,1936700000,2083700000,2101100000,2222100000,2463500000,2509000000,3342600000,2626708000,2556608000,2552625000,2513175000,2693086000,2742315000,2918670000,3319613000,3032613000,2971236000,3008241000,3259858000,3212127000,2838212000,2760120000,2319808000,2325183000,2636508000,2324218000,2236081000,2106923000,1892053000
38,PP&E,690200000,778400000,890300000,1017800000,1130400000,1193800000,1210900000,1152600000,555000000,578700000,1276200000,486000000,1289700000,1287800000,1306100000,1114456000,1008270000,1046935000,1070232000,1123481000,1646596000,1116551000,1063845000,972209000,875111000,726671000,662857000,626569000,471317000,485471000,510750000,502657000,564785000,588213000,618154000,631631000,672364000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1611786000,1791157000,2299858000,2251830000,2286904000,2306793000,2147088000,2136138000,1734871000,1672721000,1745957000,1571335000,1952444000,1766511000,1324179000,1152285000,1135103000
40,Intangible Assets,63400000,60900000,58500000,72400000,150400000,158100000,154800000,142100000,231300000,222400000,208700000,205800000,203400000,223000000,226800000,203447000,635873000,827241000,1162590000,1735118000,347414000,365192000,457188000,375822000,316417000,297443000,212603000,166214000,120387000,82173000,187378000,165172000,272186000,227137000,190640000,159839000,132442000
41,Intangible Assets,63400000,60900000,58500000,72400000,150400000,158100000,154800000,142100000,231300000,222400000,208700000,205800000,203400000,223000000,226800000,203447000,635873000,827241000,1162590000,1735118000,1959200000,2156349000,2757046000,2627652000,2603321000,2604236000,2359691000,2302352000,1855258000,1754894000,1933335000,1736507000,2224630000,1993648000,1514819000,1312124000,1267545000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1470000000,215000000,249000000,202000000,233359000,251006000,138271000,34546000,34410000,324439000,327282000,425732000,435612000,311417000,288963000,364212000,333052000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64387000,108260000,126754000,89992000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,294700000,396700000,519800000,2178900000,2631700000,2909500000,3079400000,3365400000,4070800000,4514900000,4258600000,5241800000,3936800000,3641200000,3347200000,3956655000,4117720000,4305513000,4145391000,4268895000,2803271000,2073850000,2160439000,1837570000,1742624000,1727115000,1636435000,1684297000,1573511000,1160769000,1050287000,847054000,817180000,755407000,808883000,805247000,793857000
45,Total Non-Current Assets,1048300000,1236000000,1468600000,3269100000,3912500000,4261400000,4445100000,4660100000,4857100000,5316000000,5743500000,5933600000,5429900000,5152000000,4880100000,5274558000,5761863000,6179689000,6378213000,7127494000,7879067000,5561750000,6230330000,5703818000,5562675000,5435782000,4887246000,4647764000,3934496000,3725573000,3821654000,3511950000,4042207000,3648685000,3230819000,3113214000,3066818000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1762800000,2027600000,2431700000,4788400000,5611100000,6060500000,6380600000,6498800000,6793800000,7399700000,7844600000,8155700000,7893400000,7661000000,8222700000,7901266000,8318471000,8732314000,8891388000,9820580000,10621382000,8480420000,9549943000,8736431000,8533911000,8444023000,8147104000,7859891000,6772708000,6485693000,6141462000,5837133000,6678715000,5972903000,5466900000,5220137000,4958871000
48,Accounts Payable,- -,- -,- -,- -,501100000,560700000,581700000,614900000,675600000,828400000,818100000,849800000,878800000,265100000,915800000,995283000,1425809000,1248337000,1392597000,295610000,306721000,891426000,1047779000,323959000,308505000,1465824000,1482072000,361169000,270067000,268527000,302113000,293538000,302101000,285592000,282125000,295173000,310993000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2626200000,2138100000,1911500000,1983000000,1259200000,1320300000,1277941000,1072057000,1647338000,728658000,1178946000,857742000,490540000,953767000,770501000,226022000,53494000,550000000,375000000,- -,324879000,461085000,614485000,271057000,199535000,20108000,39182000,65038000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9017000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465862000,540254000,- -,447786000,481900000,458425000,1150900000,1098273000,1048013000,1018364000,988650000,981376000,937926000,217809000,897524000,916870000
52,Other Current Liabilities,577600000,671800000,791400000,1853100000,1769800000,2328200000,2413700000,2481600000,2597800000,523900000,545400000,544000000,511400000,1197500000,636700000,608353000,585176000,454634000,525714000,1819921000,1746434000,899005000,1014639000,2148658000,1584134000,552361000,601365000,989968000,859415000,719204000,497489000,430946000,500459000,434087000,1049650000,638581000,435039000
53,Total Current Liabilities,577600000,671800000,791400000,1853100000,2270900000,2888900000,2995400000,3096500000,3273400000,3978500000,3501600000,3305300000,3373200000,2721800000,2872800000,2881577000,3083042000,3350309000,2646969000,3294477000,2910897000,2746833000,3556439000,3243118000,2566447000,2553579000,3091862000,2877037000,2227755000,2360623000,2279051000,2327619000,2054993000,1857140000,1569692000,1870460000,1727940000
54,Long-Term Debt,154800000,174300000,287800000,1101800000,1369300000,1099400000,1058800000,1015400000,847300000,779200000,1048500000,1300400000,1068400000,1712900000,1997800000,1881947000,2419150000,2316844000,2840943000,2798894000,3849623000,3847617000,3802075000,3934865000,4213640000,4239248000,3683909000,3642375000,3346295000,2927127000,2507912000,2750405000,3559278000,3066073000,2719614000,2348361000,2491191000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,227600000,268500000,314100000,564300000,465300000,444400000,489900000,336900000,409700000,453400000,612800000,720800000,905800000,920500000,1082000000,1226597000,1273593000,1535618000,1659226000,1771825000,1922258000,356310000,472240000,254353000,293459000,261118000,175944000,69222000,60667000,64839000,205668000,204289000,234643000,295808000,274435000,279451000,286445000
57,Other Non-Current Liabilities,20900000,168800000,9700000,6900000,77300000,38400000,35800000,397100000,391800000,443500000,410600000,590200000,373400000,347700000,334500000,316170000,341331000,366216000,346888000,665303000,636663000,830471000,1075886000,1491974000,1150332000,1190289000,938005000,1160626000,949588000,1055845000,970110000,658480000,641240000,514410000,617063000,655470000,340663000
58,Total Non-Current Liabilities,403300000,611600000,611600000,1673000000,1911900000,1582200000,1584500000,1749400000,1648800000,1676100000,2071900000,2611400000,2347600000,2981100000,3414300000,3424714000,4034074000,4218678000,4847057000,5236022000,6408544000,5034398000,5350201000,5681192000,5657431000,5690655000,4797858000,4872223000,4356550000,4047811000,3683690000,3613174000,4435161000,3876291000,3611112000,3283282000,3118299000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213771000,219474000,232391000
61,Total Liabilities,980900000,1283400000,1403000000,3526100000,4182800000,4471100000,4579900000,4845900000,4922200000,5654600000,5573500000,5916700000,5720800000,5702900000,6287100000,6306291000,7117116000,7568987000,7494026000,8530499000,9319441000,7781231000,8906640000,8924310000,8223878000,8244234000,7889720000,7749260000,6584305000,6408434000,5962741000,5940793000,6490154000,5733431000,5180804000,5153742000,4846239000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1456000,1334000,1271000,1175000,1075000,1010000,983000,872000,756000,663000,652000,595000,549000,506000,484000,442000,397000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323300000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000,323338000
64,Retained Earnings,589900000,706300000,846600000,1017900000,1188900000,1307400000,1494800000,1463100000,1674200000,1785500000,2187000000,2450300000,2744900000,3073800000,3437200000,3766995000,3658481000,3848562000,4057654000,4243404000,4485051000,4140128000,4133756000,4278804000,4305794000,4282316000,4600217000,4744802000,4698791000,4897708000,5155537000,5107734000,5229584000,5416777000,5438930000,5201195000,5169270000
65,Other Comprehensive Income/Loss,-548300000,-616400000,-722500000,-798800000,-927500000,-1064600000,-1205900000,-1246400000,-1399900000,-1454800000,-1412800000,-607500000,-1428500000,-1592200000,-1598500000,-1301417000,-1333581000,-1489445000,-1665663000,-1792592000,77000000,-132000000,89000000,-596000000,-460000000,-474000000,-662000000,-681000000,-575000000,-846000000,-889000000,-940000000,-792000000,-949000000,-840000000,-990508000,-780312000
66,Other Total Stockholders Equity,740300000,654300000,904600000,1043200000,1166900000,1346600000,1511800000,1436200000,1597300000,1414400000,1496900000,396200000,556200000,166400000,- -,- -,- -,-1830584000,-1629301000,-1485340000,-3584623000,-3633352000,-3903801000,-4195004000,-4156341000,-4228991000,-4301204000,-4277161000,-4259321000,-4298336000,-4411660000,-4595216000,-4572803000,-4552040000,-4636172000,-4467630000,- -
67,Total Stockholders Equity,781900000,744200000,1028700000,1262300000,1428300000,1589400000,1800700000,1652900000,1871600000,1745100000,2271100000,2239000000,1872600000,1648000000,1625600000,1284975000,891355000,853327000,1087362000,1290081000,1301941000,699189000,643303000,-187879000,13663000,-96581000,-38986000,110631000,188403000,77259000,178721000,-103660000,188561000,239472000,286096000,66395000,112632000
68,Total Liabilities And Stockholders Equity,1762800000,2027600000,2431700000,4788400000,5611100000,6060500000,6380600000,6498800000,6793800000,7399700000,7844600000,8155700000,7593400000,7350900000,7912700000,7591266000,8008471000,8422314000,8581388000,9820580000,10621382000,8480420000,9549943000,8736431000,8237541000,8147653000,7850734000,7859891000,6772708000,6485693000,6141462000,5837133000,6678715000,5972903000,5466900000,5220137000,4958871000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,310100000,310000000,310000000,310000000,310000000,310000000,- -,- -,- -,- -,- -,296370000,296370000,296370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1762800000,2027600000,2431700000,4788400000,5611100000,6060500000,6380600000,6498800000,6793800000,7399700000,7844600000,8155700000,7893400000,7661000000,8222700000,7901266000,8318471000,8732314000,8891388000,9820580000,10621382000,8480420000,9549943000,8736431000,8533911000,8444023000,8147104000,7859891000,6772708000,6485693000,6141462000,5837133000,6678715000,5972903000,5466900000,5220137000,4958871000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000007881495000002/0000078814-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881496000002/0000078814-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000095013001001467/0000950130-01-001467-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78814/000120677404000120/d13986.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677405000278/d16410.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677406000420/d18625_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000120677407000561/pitneybowes_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041308001359/c52528_10-k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041309001039/0000930413-09-001039-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041310001062/0000930413-10-001062-index.html,https://www.sec.gov/Archives/edgar/data/78814/000093041311001280/c64451_10k.htm,https://www.sec.gov/Archives/edgar/data/78814/000093041312001035/0000930413-12-001035-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881413000006/0000078814-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881414000003/pbi2013123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881415000006/pbi2014123110k.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881416000040/0000078814-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881417000003/0000078814-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881418000004/0000078814-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881419000004/0000078814-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881420000009/0000078814-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/78814/000007881421000011/0000078814-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/78814/000007881422000004/0000078814-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,186700000,213200000,295300000,100300000,353200000,274100000,583100000,469400000,526000000,576400000,636300000,622543000,488343000,475750000,498117000,480526000,526578000,105347000,366781000,419793000,423445000,292379000,617480000,463539000,161210000,352130000,426318000,111850000,261340000,223665000,194609000,-181544000,-1351000
