,https://roic.ai/company/PLD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,4195000,57464000,67505000,96258000,111414000,134663000,133514000,160026000,180304000,179977000,163726000,158596000,169363000,180331000,603884000,767459000,664007000,642461000,880373000,930985000,879140000,947214000,1139879000,1561969000,1577942000
15,EBITDA,22423000,170057000,243608000,218040000,249367000,258900000,267533000,285497000,438111000,404049000,477986000,242819000,247821000,337788000,920984000,1222022000,1478614000,1547757000,2060853000,2483168000,2846081000,2875803000,3014015000,3474148000,4634562000
16,EBITDA ratio,0.4000,0.4738,0.5435,0.4564,0.4150,0.4204,0.4350,0.4289,0.6480,0.5536,0.7138,0.3396,0.3910,0.5332,0.6007,0.6092,0.8447,0.8790,0.9380,0.9803,1.0871,1.0254,0.9049,0.7827,0.9738
17,Operating Income,22413000,193420000,247532000,249969000,294657000,295606000,268636000,276460000,268612000,260963000,196826000,11462000,138330000,119802000,127430000,108447000,304412000,319808000,380172000,668378000,771066000,847002000,1849766000,2118944000,3206996000
18,Operating Income ratio,0.3998,0.5389,0.5523,0.5233,0.4904,0.4800,0.4368,0.4153,0.3973,0.3575,0.2939,0.0160,0.2182,0.1891,0.0831,0.0541,0.1739,0.1816,0.1730,0.2639,0.2945,0.3020,0.5554,0.4774,0.6738
19,Total Other Income Expenses (Gains),- -,- -,53753000,14088000,36428000,8821000,27315000,-140324000,-64812000,139052000,227522000,-91247000,-139556000,19888000,-370113000,-198069000,31850000,393820000,568433000,678726000,1044502000,1039288000,-73403000,-371856000,115852000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242683000,-89622000,336262000,713628000,948605000,1347104000,1815568000,1886290000,1776363000,1747088000,3322848000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1583,-0.0447,0.1921,0.4053,0.4318,0.5318,0.6935,0.6726,0.5333,0.3936,0.6982
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1776000,3580000,106733000,-25656000,23090000,54564000,54609000,63330000,74517000,130458000,-174258000
23,Net Income,18228000,112593000,176103000,121782000,137953000,124237000,134019000,125471000,257807000,224072000,314260000,-49310000,-43001000,27119000,-153414000,-39720000,342921000,636183000,869439000,1209932000,1652325000,1649361000,1572959000,1481814000,3497106000
24,Net Income ratio,0.3251,0.3137,0.3929,0.2549,0.2296,0.2017,0.2179,0.1885,0.3813,0.3070,0.4693,-0.0690,-0.0678,0.0428,-0.1001,-0.0198,0.1959,0.3613,0.3957,0.4776,0.6311,0.5881,0.4723,0.3338,0.7348
25,EPS,1.39,1.27,1.94,1.35,1.49,1.39,1.50,1.44,2.98,2.39,3.04,-0.67,-0.34,0.06,-0.51,-0.18,0.65,1.25,1.66,2.29,3.10,2.90,2.48,2.02,4.73
26,EPS Diluted,1.38,1.26,1.94,1.35,1.47,1.37,1.47,1.39,2.85,2.30,2.96,-0.67,-0.37,0.06,-0.51,-0.18,0.64,1.24,1.64,2.27,3.06,2.87,2.46,2.01,4.57
27,Weighted Average Shares Outstanding,85875000,85876383,86271862,83697170,84174644,83310885,81096062,82133627,84048936,87710500,97189749,97339577,129859647,161988000,370534000,459895000,486076000,499583000,521241000,526103000,530400000,567367000,630580000,728323000,739439000
28,Weighted Average Shares Outstanding Diluted,85875000,86235176,86347487,84155306,85214066,84795987,82852528,85368626,87873399,91106893,99808455,97404000,134321000,161988000,370534000,459895000,491546000,506391000,533944000,546666000,552300000,590239000,654903000,754414000,764945000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1045609/000095014999000495/0000950149-99-000495-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014900000578/0000950149-00-000578-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014901000375/0000950149-01-000375-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014902000600/0000950149-02-000600-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095014903000562/0000950149-03-000562-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1045609/000095014905000067/0000950149-05-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013406004746/0000950134-06-004746-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013407003972/0000950134-07-003972-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013408003745/0000950134-08-003745-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013409004079/0000950134-09-004079-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095012310014699/0000950123-10-014699-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095012311015736/0000950123-11-015736-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312512087643/0001193125-12-087643-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312513081863/0001193125-13-081863-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312514070012/0001193125-14-070012-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312515062622/0001193125-15-062622-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459016012933/0001564590-16-012933-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459017001559/0001564590-17-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459018002228/0001564590-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459019002872/0001564590-19-002872-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459020004096/0001564590-20-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459021005312/0001564590-21-005312-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459022004436/0001564590-22-004436-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25137000,33312000,20358000,73071000,89332000,127678000,109392000,232881000,174763000,220224000,223936000,187169000,198424000,176072000,100810000,491129000,350692000,264080000,807316000,447046000,343856000,1088855000,598086000,556117000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,274381000,356194000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53005190000
33,Cash and Short-Term Investments,- -,25137000,33312000,20358000,73071000,89332000,127678000,109392000,232881000,449144000,576418000,223936000,187169000,198424000,176072000,100810000,491129000,350692000,264080000,807316000,447046000,343856000,1088855000,598086000,53561307000
34,Net Receivables,- -,- -,- -,69874000,158008000,87340000,131597000,122766000,178682000,133998000,184270000,160528000,155958000,167735000,147999000,504753000,461130000,236346000,452038000,273555000,239123000,239526000,242066000,380377000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-87214000,-13133000,- -,-13738000,- -,-274381000,-546226000,52572000,43791000,29991000,71992000,306965000,154981000,149027000,485423000,442500000,444239000,730869000,830361000,1209450000,- -
37,Total Current Assets,- -,- -,- -,- -,143865000,163539000,- -,218420000,411563000,308761000,214462000,437036000,386918000,396150000,396063000,912528000,1107240000,736065000,1201541000,1523371000,1130408000,1314251000,2161282000,2187913000,53561307000
38,PP&E,- -,3425706000,3327095000,4046276000,4422232000,4671313000,5029006000,5997838000,6270250000,6235373000,6677905000,6236508000,6271408000,- -,22629630000,90177000,85389000,86927000,94178000,102830000,109823000,112211000,593798000,610501000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267907000,202087000,450690000,314179000,726821000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267907000,202087000,450690000,314179000,726821000,- -
42,Investments,- -,- -,- -,- -,- -,64428000,52009000,55166000,- -,- -,- -,6673464000,6271408000,6763422000,2857755000,2195782000,4430239000,4824724000,4755620000,4230429000,5496450000,5745294000,6237371000,7602014000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31733000,19020000,7887000,14650000,14052000,13533000,8767000,4595000,5592000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6045360000,-6087776000,213323000,1840464000,24079925000,18930419000,20162620000,25328778000,24111343000,22528774000,30786451000,30720625000,44932164000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6864612000,6455040000,6976745000,27327849000,26397617000,23465067000,25082158000,30193226000,28726561000,28350667000,37103413000,37870568000,53877092000,- -
46,Other Assets,- -,3562885000,3621550000,4425626000,4617028000,4828955000,5420666000,6168523000,6391176000,6404751000,7047941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4924913000
47,Total Assets,- -,3562885000,3621550000,4425626000,4760893000,4992494000,5420666000,6386943000,6802739000,6713512000,7262403000,7301648000,6841958000,7372895000,27723912000,27310145000,24572307000,25818223000,31394767000,30249932000,29481075000,38417664000,40031850000,56065005000,58486220000
48,Accounts Payable,- -,- -,- -,- -,73310000,140503000,148019000,180923000,170307000,186807000,210447000,282771000,238718000,230519000,- -,611770000,641011000,627999000,712725000,556179000,702804000,760515000,704954000,1143372000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,920850000,477630000,- -,- -,888966000,725483000,- -,- -,35023000,317392000,50500000,184255000,171794000,17715054000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110169000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,430000000,522000000,822000000,799690000,932497000,- -,1278077000,1313693000,923193000,792553000,-917455000,-431589000,51400000,639490000,512835000,243584000,98558000,91397000,84554000,67069000,70803000,117682000,126383000,- -
53,Total Current Liabilities,- -,430000000,522000000,822000000,873000000,1073000000,- -,1459000000,1484000000,1110000000,1003000000,286166000,284759000,281919000,639490000,2013571000,1610078000,726557000,804122000,675756000,1087265000,881818000,1006891000,1441549000,17715054000
54,Long-Term Debt,- -,1368196000,1270037000,1836276000,2135664000,2235361000,2574257000,3257191000,3401561000,3437415000,3494844000,3990185000,3212596000,3331299000,11382408000,10901828000,8285733000,9380199000,11626831000,10573271000,9095239000,11039315000,11721622000,17164254000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52045000,165045000,103721000,91199000,106927000,111862000,87146000,96171000,118123000,167973000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-196000,-37000,-276000,336000,-361000,- -,-191000,439000,-415000,156000,59093000,53283000,57555000,1194495000,456365000,396322000,436669000,436051000,430903000,505684000,599472000,1113430000,966649000,3028956000
58,Total Non-Current Liabilities,- -,1368000000,1270000000,1836000000,2136000000,2235000000,2574257000,3257000000,3402000000,3437000000,3495000000,4049278000,3265879000,3388854000,12628948000,11523238000,8785776000,9908067000,12169809000,11116036000,9688069000,11734958000,12953175000,18298876000,3028956000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,5335609000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471634000,486972000,- -
61,Total Liabilities,- -,1472501000,1359408000,1983318000,2274265000,2417077000,2761352000,3519477000,3665305000,3709295000,3801040000,4335444000,3550638000,3670773000,13268438000,13536809000,10395854000,10634624000,12973931000,11791792000,10775334000,12616776000,13960066000,19740425000,20744010000
62,Preferred Stock,- -,- -,- -,- -,- -,95994000,103373000,103204000,175548000,223417000,223412000,223412000,223412000,223412000,582200000,582200000,100000000,78235000,78235000,78235000,68948000,68948000,68948000,63948000,- -
63,Common Stock,- -,859000,851000,841000,838000,820000,818000,832000,857000,895000,990000,981000,1489000,1684000,4594000,4618000,4988000,5095000,5245000,5287000,5322000,6296000,6318000,7394000,7398000
64,Retained Earnings,- -,- -,47089000,36066000,27640000,6572000,- -,- -,101124000,147274000,244688000,26869000,-29008000,-17695000,-3092162000,-3696093000,-3932664000,-3974493000,-3926483000,-3610007000,-2904461000,-2378467000,-2151168000,-2394690000,- -
65,Other Comprehensive Income/Loss,- -,-58404000,-103558000,-177467000,-265653000,-362540000,1505000,-615646000,-2000000,-2000000,11000000,22000000,4000000,-3000000,-182000000,-234000000,-436000000,-600000000,-791000000,-937000000,-902000000,-1085000000,-990000000,-1193739000,-878253000
66,Other Total Stockholders Equity,- -,1822905000,1884877000,1908490000,1989517000,1943304000,1561203000,2182750000,1640770000,1797071000,2283862000,2241845000,2740123000,3116322000,16349007000,16412292000,17974834000,18466672000,19301938000,19454566000,19363349000,25686316000,25719029000,35488634000,38613065000
67,Total Stockholders Equity,- -,1765360000,1829259000,1767930000,1752342000,1684150000,1666899000,1671140000,1916299000,2166657000,2763952000,2515107000,2940016000,3320723000,13661639000,13069017000,13711158000,13975509000,14667935000,14991081000,15631158000,22298093000,22653127000,31971547000,37742210000
68,Total Liabilities And Stockholders Equity,- -,3237861000,3188667000,3751248000,4026607000,4101227000,4428251000,5190617000,5581604000,5875952000,6564992000,6850551000,6490654000,6991496000,26930077000,26605826000,24107012000,24610133000,27641866000,26782873000,26406492000,34914869000,36613193000,51711972000,58486220000
69,Minority Interest,- -,325024000,432883000,674378000,734286000,891267000,992415000,1196326000,1221135000,837560000,697411000,451097000,351304000,381399000,793835000,704319000,465295000,1208090000,3752901000,3467059000,3074583000,3502795000,3418657000,4353033000,- -
70,Total Liabilities & Equity,- -,3562885000,3621550000,4425626000,4760893000,4992494000,5420666000,6386943000,6802739000,6713512000,7262403000,7301648000,6841958000,7372895000,27723912000,27310145000,24572307000,25818223000,31394767000,30249932000,29481075000,38417664000,40031850000,56065005000,58486220000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1045609/000095014999000495/0000950149-99-000495-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014900000578/0000950149-00-000578-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014901000375/0000950149-01-000375-index.html,https://www.sec.gov/Archives/edgar/data/1045609/000095014902000600/0000950149-02-000600-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095014903000562/0000950149-03-000562-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1045609/000095014905000067/0000950149-05-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013406004746/0000950134-06-004746-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013407003972/0000950134-07-003972-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013408003745/0000950134-08-003745-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095013409004079/0000950134-09-004079-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095012310014699/0000950123-10-014699-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000095012311015736/0000950123-11-015736-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312512087643/0001193125-12-087643-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312513081863/0001193125-13-081863-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312514070012/0001193125-14-070012-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000119312515062622/0001193125-15-062622-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459016012933/0001564590-16-012933-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459017001559/0001564590-17-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459018002228/0001564590-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459019002872/0001564590-19-002872-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459020004096/0001564590-20-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459021005312/0001564590-21-005312-index.htm,https://www.sec.gov/Archives/edgar/data/1045609/000156459022004436/0001564590-22-004436-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,18228000,112593000,176103000,121782000,137953000,124237000,134019000,125471000,257807000,224072000,314260000,-49310000,-43001000,27119000,-153414000,-39720000,342921000,636183000,869439000,1209932000,1652325000,1649361000,1572959000,1481814000,3497106000
74,Depreciation and Amortization,4195000,57464000,67505000,96258000,111414000,134663000,133514000,160026000,180304000,179977000,163726000,158596000,169363000,180331000,603884000,767459000,664007000,642461000,880373000,930985000,879140000,947214000,1139879000,1561969000,1577942000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19803000,-21967000,-20067000,-87240000,-5057000,-5525000,-5005000,1448000,12221000,744000,1322000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21467000,23049000,23941000,28920000,32138000,49239000,57478000,53665000,60341000,76640000,76093000,97557000,109831000,113028000
77,Change in Working Capital,-9572000,-439628000,-92000000,-300000000,92865000,-180326000,909461000,-1240580000,168143000,271198000,12701000,939408000,-48711000,12072000,-357658000,-857616000,598205000,512346000,387911000,450196000,-804472000,389290000,721958000,-408027000,35099889000
78,Accounts Receivable,-11900000,-9377000,5199000,-34142000,19753000,-8269000,-14603000,-1154000,-42379000,3276000,-82288000,27776000,17311000,-18328000,-40095000,-178387000,-12912000,-93000,-64749000,-106337000,37278000,-72955000,-108165000,-127619000,-328511000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2300000,20411000,-14934000,57671000,-6625000,6862000,7516000,944000,15073000,16969000,27103000,-7789000,-24091000,27042000,- -,-5923000,-80120000,-63871000,-7872000,26513000,36374000,30125000,115219000,94105000,176858000
81,Other Working Capital,9628000,-430000000,-522000000,-822000000,-729135000,-909461000,- -,-1240580000,-1072437000,-801239000,-788538000,150870000,102159000,114231000,-243427000,-1101043000,-502838000,9508000,397419000,847615000,43143000,432433000,1154391000,746364000,35846253000
82,Other Non-Cash Items,-571000,446751000,38783000,343135000,-53670000,210227000,-905458000,1249461000,-310439000,-339392000,-250144000,-769141000,141576000,9297000,105135000,583198000,-1149316000,-1056697000,-1222921000,-1228924000,-111382000,-1259847000,-1280540000,190674000,-37293245000
83,Cash Provided by Operating Activities,12280000,177180000,190391000,261175000,288562000,288801000,271536000,294378000,295815000,335855000,240543000,301020000,242276000,252760000,207064000,463492000,484989000,704531000,963410000,1417005000,1687246000,1803559000,2264034000,2937005000,2996042000
84,CAPEX,-226872000,-564304000,-579823000,-798979000,-624701000,-563091000,-761139000,-996202000,-1086648000,-1485881000,-1357900000,-1216373000,-402349000,-272919000,-1081496000,-80612000,-82610000,-78610000,-83351000,-101677000,-110635000,- -,- -,- -,- -
85,Acquisitions Net,-5935000,-67376000,-7789000,- -,- -,-355964000,- -,- -,- -,- -,- -,-77178000,4233000,- -,-1025251000,-238488000,-1487944000,-1085719000,-304395000,510599000,-415189000,199920000,113294000,-1823666000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18969000,-54334000,-52267000,-16415000,-413451000,-92755000,- -,- -,- -,-981000,- -,-5058000,-11703000,-30424000,-9034000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421647000,482515000,106749000,170158000,- -,- -,- -,129149000,79767000,7541000,29425000,23640000,2352000,- -
88,Other Investing Activites,- -,-164533000,651344000,72480000,261549000,600584000,413136000,267771000,1026241000,624290000,779994000,42403000,7145000,-7007000,1740577000,768103000,3821866000,597410000,-4472386000,661672000,955984000,-881438000,-791860000,-1243982000,-1990058000
89,Cash Used for Investing Activites,-232807000,-796213000,63732000,-726499000,-363152000,-318471000,-348003000,-728431000,-60407000,-880560000,-632240000,-881768000,75129000,-586628000,-233065000,529615000,2333922000,-488309000,-4648613000,1252038000,543278000,-663796000,-685350000,-3074330000,-1990058000
90,Debt Repayment,-181647000,-79380000,-595463000,-80000000,-504366000,-438368000,-641810000,-846210000,-1025151000,-1444045000,-1912253000,-2454721000,-2245692000,-1516296000,-1907273000,-1850699000,-6105508000,-4923175000,-3164264000,-2301647000,-3578889000,-4166088000,-3301827000,-6793265000,-2560174000
91,Common Stock Issued,317009000,- -,732000,2180000,4274000,84335000,200069000,27721000,48472000,153601000,656496000,- -,552319000,478847000,1156493000,30981000,1505791000,378247000,90258000,39470000,32858000,6891000,6082000,2217000,743000
92,Common Stock Repurchased,- -,- -,- -,- -,-32892000,-77432000,-265005000,- -,- -,-196160000,-258833000,-87706000,-322000,- -,- -,- -,-482500000,-27643000,- -,- -,-13182000,- -,- -,-42029000,- -
93,Dividends Paid,-16404000,-114698000,-160566000,-130680000,-141979000,-112085000,-152239000,-145951000,-154070000,-174266000,-211744000,-286483000,-158286000,-155812000,-414098000,-567834000,-573854000,-672190000,-804697000,-893455000,-942884000,-1123367000,-1345660000,-1722989000,-1872861000
94,Other Financing Activites,138444000,798280000,514576000,660870000,802266000,589481000,971007000,1374145000,1028893000,2144491000,2146359000,3410675000,1563432000,1522995000,1328196000,1316041000,3290449000,4906944000,7486917000,1030167000,1895513000,4050463000,3801806000,8183904000,3423967000
95,Cash Used/Provided by Financing Activities,257402000,604202000,-240721000,452370000,127303000,45931000,112022000,409705000,-101856000,483621000,420025000,581765000,-288549000,329734000,163318000,-1071511000,-2365622000,-337817000,3608214000,-2125465000,-2606584000,-1232101000,-839599000,-372162000,-1008325000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,2791000,6062000,-10063000,2966000,17133000,2695000,-65623000,15389000,1121000,3142000,-62970000,-18842000,-9623000,-342000,15790000,-10852000,5914000,18718000,-39628000
97,Net Change In Cash,36875000,-14831000,13402000,-12954000,52713000,16261000,38346000,-18286000,123489000,-58118000,45461000,3712000,-36767000,11255000,138438000,-75262000,390319000,-140437000,-86612000,543236000,-360270000,-103190000,744999000,-490769000,-41969000
98,Cash at the End of Period,39968000,25137000,33312000,20358000,73071000,89332000,127678000,109392000,232881000,174763000,220224000,223936000,187169000,198424000,176072000,100810000,491129000,350692000,264080000,807316000,447046000,343856000,1088855000,598086000,556117000
99,Cash at the Beginning of Period,3093000,39968000,19910000,33312000,20358000,73071000,89332000,127678000,109392000,232881000,174763000,220224000,223936000,187169000,37634000,176072000,100810000,491129000,350692000,264080000,807316000,447046000,343856000,1088855000,598086000
100,Free Cash Flow,-214592000,-387124000,-389432000,-537804000,-336139000,-274290000,-489603000,-701824000,-790833000,-1150026000,-1117357000,-915353000,-160073000,-20159000,-874432000,382880000,402379000,625921000,880059000,1315328000,1576611000,1803559000,2264034000,2937005000,2996042000
