,https://roic.ai/company/MTBC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),116669,94975,94010,-291576,-91330,-698948,-975191,243952,-746347,-439000,- -
20,Income Before Tax,713732,116994,-33506,-4332725,-4549592,-8599921,-5497351,-2295865,-679020,-8710000,- -
21,Income Before Tax Ratio,0.0707,0.0117,-0.0032,-0.2367,-0.1971,-0.3511,-0.1728,-0.0454,-0.0105,-0.0829,- -
22,Income Tax expense (Gain),243837,-4,144490,176525,137786,196802,67805,-157385,192780,103000,- -
23,Net Income,469895,116998,-177996,-4509250,-4687378,-8796723,-5565156,-2138480,-871800,-8813000,- -
24,Net Income ratio,0.0466,0.0117,-0.0170,-0.2464,-0.2031,-0.3591,-0.1749,-0.0423,-0.0135,-0.0838,- -
25,EPS,0.04,0.01,-0.22,-0.64,-0.50,-0.95,-0.69,-0.59,-0.60,-1.79,-0.77
26,EPS Diluted,0.04,0.01,-0.22,-0.64,-0.50,-0.95,-0.69,-0.59,-0.60,-1.79,-0.77
27,Weighted Average Shares Outstanding,10983000,10983000,10983000,7084630,9732806,10036988,11010432,11721232,12087947,12678845,14541061
28,Weighted Average Shares Outstanding Diluted,10983000,10983000,10983000,7084630,9732806,10036988,11010432,11721232,12087947,12678845,14541061
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582982/000114420415019947/v404808_10k.htm,https://www.sec.gov/Archives/edgar/data/1582982/000114420416090133/0001144204-16-090133-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315217003230/0001493152-17-003230-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315218003026/0001493152-18-003026-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315219003653/0001493152-19-003653-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315220003146/0001493152-20-003146-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315221004837/0001493152-21-004837-index.htm,https://www.sec.gov/Archives/edgar/data/1582982/000149315222006785/0001493152-22-006785-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,408416,268323,497944,1048660,8039562,3476880,4362232,14472483,19994134,20925000,9340000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,408416,268323,497944,1048660,8039562,3476880,4362232,14472483,19994134,20925000,9340000
34,Net Receivables,938209,954427,1009416,3007314,2211979,4330901,3879463,9940105,9380677,16194000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,444437,491088,399000,503000
36,Other Current Assets,423263,445214,280347,528726,634692,631701,688025,1216648,1136236,7301000,- -
37,Total Current Assets,1769888,1667964,1787707,4584700,10886233,8439482,8929720,26073673,31002135,44819000,- -
38,PP&E,605631,480993,505344,1444334,1372283,1588937,1385743,1832187,6433831,12664000,- -
39,Goodwill,- -,- -,344000,8560336,8971994,12178868,12263943,12593795,12633696,49291000,- -
40,Intangible Assets,266722,1084985,1534780,8377837,5379404,5833706,2509544,6634003,5977225,29978000,- -
41,Intangible Assets,266722,1084985,1878780,16938173,14351398,18012574,14773487,19227798,18610921,79269000,91964000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,123445,200031,253481,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,72277,50332,1347302,140053,66984,282713,436713,489703,356578,1247000,- -
45,Total Non-Current Assets,1068075,1816341,3984907,18522560,15790665,19884224,16595943,21549688,25401330,93180000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140848000
47,Total Assets,2837963,3484305,5772614,23107260,26676898,28323706,25525663,47623361,56403465,137999000,140848000
48,Accounts Payable,104443,245601,200469,1082342,370441,1905131,991859,2438267,3490834,6461000,- -
49,Short-Term Debt,175336,694593,916104,2281705,3082023,9848126,168718,277776,283675,401000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,60711,55857,56686,37508,73520,41666,62104,25355,20277,1173000,1085000
52,Other Current Liabilities,1150267,1176385,2235284,4742570,2232154,4062639,3099334,5416548,7383050,20989000,- -
53,Total Current Liabilities,1490757,2172436,3408543,8144125,5758138,15857562,4322015,8157946,11177836,29024000,- -
54,Long-Term Debt,414033,329813,1633696,48564,4902923,4199852,120899,222400,83275,41000,- -
55,Deferred Revenue,83462,64740,54736,42631,36082,26673,28615,18949,18745,305000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,171269,345530,372072,164346,244512,1087000,- -
57,Other Non-Current Liabilities,490041,511239,557142,551343,916536,827258,431642,189366,2040772,6297000,- -
58,Total Non-Current Liabilities,987536,905792,2245574,642538,6026810,5399313,953228,595061,2387304,7730000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42917000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3729544,11026000,- -
61,Total Liabilities,2478293,3078228,5654117,8786663,11784948,21256875,5275243,8753007,13565140,36754000,42917000
62,Preferred Stock,- -,- -,- -,- -,232,295,1087,2136,2539,5000,5000
63,Common Stock,590,590,5102,9712,10346,10793,12272,12571,12979,14000,- -
64,Retained Earnings,110119,227117,49121,-4460129,-9147507,-17944230,-23509386,-24203745,-25075545,-33889000,-31053000
65,Other Comprehensive Income/Loss,-1333773,-1508710,-1404118,-1710311,-2060253,-2595712,-1000000,-1000000,-1000000,-5141000,-1754000
66,Other Total Stockholders Equity,1582734,1687080,1468392,20481325,26089132,27595685,44746447,64059392,68898352,140256000,- -
67,Total Stockholders Equity,359670,406077,118497,14320597,14891950,7066831,20250420,38870354,42838325,101245000,97931000
68,Total Liabilities And Stockholders Equity,2837963,3484305,5772614,23107260,26676898,28323706,25525663,47623361,56403465,137999000,140848000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2837963,3484305,5772614,23107260,26676898,28323706,25525663,47623361,56403465,137999000,140848000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582982/000114420415019947/v404808_10k.htm,https://www.sec.gov/Archives/edgar/data/1582982/000114420416090133/0001144204-16-090133-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315217003230/0001493152-17-003230-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315218003026/0001493152-18-003026-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315219003653/0001493152-19-003653-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315220003146/0001493152-20-003146-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315221004837/0001493152-21-004837-index.htm,https://www.sec.gov/Archives/edgar/data/1582982/000149315222006785/0001493152-22-006785-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,469895,116998,-177996,-4509250,-4687378,-8796723,-5565156,-2138480,-871800,-8813000,- -
74,Depreciation and Amortization,545573,678732,948531,2791368,4598610,5108035,4299943,2913866,3070497,10134000,- -
75,Deferred Income Tax,27277,-63531,106988,153364,171269,174261,26542,-207726,80166,-84000,- -
76,Stock Based Compensation,- -,- -,- -,258878,628792,1877815,1487295,2463599,3215661,6502000,- -
77,Change in Working Capital,-741803,-783603,-1116364,-1938589,8687520,-12546175,12025785,13308022,1908572,-4029299,- -
78,Accounts Receivable,382214,-118598,-22164,-2167193,520121,-456468,41745,1479297,765079,394000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-137159,-46651,92000,- -
80,Accounts Payable,-1142348,-79788,189978,2283237,-1689662,1079048,-1541430,2149660,-1372239,-11878000,-10366000
81,Other Working Capital,279131,-504472,-1620836,-3559425,5128095,-7418080,4607705,17915727,19824299,15795000,- -
82,Other Non-Cash Items,87323,763832,1167809,544040,-11281594,13284945,-11992767,-9526807,214891,-4601701,- -
83,Cash Provided by Operating Activities,388265,712428,928968,-2700189,-1882781,-897842,281642,6812474,7617987,-892000,- -
84,CAPEX,-187362,-153073,-286505,-1116192,-421858,-463399,-697211,-1028249,-2558159,-7752000,- -
85,Acquisitions Net,- -,- -,- -,-12000000,- -,-3000000,- -,-13000000,-2000000,-24000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-377658,-356480,-706291,-652830,-602423,-833482,-902211,-628249,-2158159,-4880000,- -
89,Cash Used for Investing Activites,-377658,-356480,-706291,-12652830,-602423,-3833482,-902211,-13628249,-4158159,-31469000,- -
90,Debt Repayment,-4306624,-6639517,-5492258,-7178921,-12369779,-7389082,-18917383,-11741029,-430444,-20166000,- -
91,Common Stock Issued,- -,- -,- -,17167294,- -,- -,1972065,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-122031,-546145,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-47771,-709182,-1485727,-4102410,-6109087,-11382000,- -
94,Other Financing Activites,4426000,6311738,5525260,5890446,22042587,8801715,20275024,33499976,7961732,64970000,-2203000
95,Cash Used/Provided by Financing Activities,119376,-327779,33002,15878819,9503006,157306,1843979,17656537,1422201,33422000,- -
96,Effect of Forex Changes on Cash,-23872,-168262,-26058,24916,-26900,11336,-338058,-730511,639622,-130000,- -
97,Net Change In Cash,106111,-140093,229621,550716,6990902,-4562682,885352,10110251,5521651,931000,- -
98,Cash at the End of Period,408416,268323,497944,1048660,8039562,3476880,4362232,14472483,19994134,20925000,- -
99,Cash at the Beginning of Period,302305,408416,268323,497944,1048660,8039562,3476880,4362232,14472483,19994000,- -
100,Free Cash Flow,200903,559355,642463,-3816381,-2304639,-1361241,-415569,5784225,5059828,-8644000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582982/000114420415019947/v404808_10k.htm,https://www.sec.gov/Archives/edgar/data/1582982/000114420416090133/0001144204-16-090133-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315217003230/0001493152-17-003230-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315218003026/0001493152-18-003026-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315219003653/0001493152-19-003653-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315220003146/0001493152-20-003146-index.html,https://www.sec.gov/Archives/edgar/data/1582982/000149315221004837/0001493152-21-004837-index.htm,https://www.sec.gov/Archives/edgar/data/1582982/000149315222006785/0001493152-22-006785-index.htm
102,false,,,,,,,,,,,
