,https://roic.ai/company/MTW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000000,175000000,146700000,137100000,128400000,94000000,97000000,39600000,39200000,39100000,32700000,29100000,28900000
14,Depreciation and Amortization,13000000,6700000,6700000,4700000,5100000,5700000,6300000,6000000,6400000,6800000,11600000,12000000,15000000,17300000,18725000,36563000,39169000,50166000,57225000,65601000,73700000,89200000,97500000,131100000,125500000,120900000,106600000,103800000,103500000,104300000,48600000,38900000,36400000,35300000,37500000,46900000
15,EBITDA,-19400000,23400000,5400000,28900000,35400000,26200000,17900000,4700000,28900000,30000000,54100000,69800000,96400000,123300000,114845000,112928000,41268000,57784000,105698000,146173000,318300000,555300000,88300000,-457900000,251000000,273000000,383400000,410100000,350600000,258100000,-187100000,38000000,3600000,127000000,64600000,92900000
16,EBITDA ratio,-0.0873,0.1049,0.0313,0.1441,0.1568,0.1109,0.0726,0.0169,0.1049,0.0958,0.1081,0.1279,0.1387,0.1531,0.1315,0.1011,0.0293,0.0363,0.0538,0.0648,0.1085,0.1387,0.0196,-0.1211,0.0799,0.0748,0.0976,0.1013,0.0902,0.0751,-0.1160,0.0240,0.0019,0.0692,0.0448,0.0540
17,Operating Income,-600000,3000000,6700000,19800000,25300000,18300000,10500000,8400000,21100000,23100000,52100000,65000000,92600000,118900000,112652000,118379000,112786000,86538000,107897000,133290000,302400000,501900000,519800000,-511200000,206500000,221900000,281800000,364400000,298800000,132500000,-153300000,1100000,-19300000,108400000,38600000,46500000
18,Operating Income ratio,-0.0027,0.0134,0.0389,0.0987,0.1120,0.0775,0.0426,0.0302,0.0766,0.0738,0.1041,0.1191,0.1333,0.1476,0.1290,0.1060,0.0802,0.0543,0.0549,0.0591,0.1031,0.1253,0.1154,-0.1351,0.0657,0.0608,0.0718,0.0900,0.0769,0.0386,-0.0950,0.0007,-0.0105,0.0591,0.0267,0.0270
19,Total Other Income Expenses (Gains),-31800000,13700000,-8000000,4400000,5000000,2200000,1100000,500000,1400000,100000,-9600000,-7200000,-11200000,-12900000,-16532000,-38690000,-50006000,-63932000,-58768000,-59432000,-57500000,-38900000,-440600000,-194200000,-251100000,-184500000,-151500000,-139200000,-129400000,-75900000,-114800000,-40600000,-52400000,-49400000,-40600000,-29400000
20,Income Before Tax,-32400000,16700000,-1300000,24200000,30300000,20500000,11600000,8900000,22500000,23200000,42500000,57800000,81400000,106000000,96120000,79689000,62780000,22606000,49129000,73858000,244900000,463000000,79200000,-705400000,-44600000,37400000,130300000,225200000,169400000,56600000,-268100000,-39500000,-71700000,59000000,-2000000,17100000
21,Income Before Tax Ratio,-0.1458,0.0749,-0.0075,0.1206,0.1342,0.0868,0.0471,0.0319,0.0817,0.0741,0.0849,0.1059,0.1172,0.1316,0.1101,0.0714,0.0446,0.0142,0.0250,0.0328,0.0835,0.1156,0.0176,-0.1865,-0.0142,0.0102,0.0332,0.0556,0.0436,0.0165,-0.1662,-0.0250,-0.0388,0.0322,-0.0014,0.0099
22,Income Tax expense (Gain),-18600000,4900000,-1400000,7300000,9300000,5100000,3300000,2600000,8500000,8600000,16900000,21400000,30000000,39200000,35852000,30817000,22601000,4069000,9335000,14772000,78400000,129400000,1500000,-58800000,23900000,15900000,38000000,36100000,8600000,-6700000,100500000,-49500000,-4800000,12400000,17100000,6100000
23,Net Income,-13800000,11800000,100000,16900000,21000000,15400000,8300000,-3900000,14000000,14600000,25600000,36400000,51400000,66800000,60268000,45548000,-20502000,3549000,39138000,65800000,166200000,336700000,-10700000,-704200000,-73400000,-10500000,101700000,141800000,144500000,63500000,-375800000,9400000,-67100000,46600000,-19100000,11000000
24,Net Income ratio,-0.0621,0.0529,0.0006,0.0842,0.0930,0.0652,0.0337,-0.0140,0.0508,0.0466,0.0511,0.0667,0.0740,0.0829,0.0690,0.0408,-0.0146,0.0022,0.0199,0.0292,0.0567,0.0841,-0.0024,-0.1862,-0.0234,-0.0029,0.0259,0.0350,0.0372,0.0185,-0.2330,0.0059,-0.0363,0.0254,-0.0132,0.0064
25,EPS,-0.03,0.02,0.00,0.04,0.05,0.03,0.02,-0.01,0.48,0.56,0.99,1.41,1.98,2.57,2.42,1.87,-0.82,0.13,1.45,2.18,5.42,10.80,-0.32,-21.62,-2.20,-0.32,3.08,4.28,4.28,1.88,-10.92,0.26,-1.89,1.31,-0.55,0.31
26,EPS Diluted,-0.03,0.02,0.00,0.04,0.05,0.03,0.02,-0.01,0.48,0.56,0.99,1.39,1.97,2.55,2.40,1.86,-0.82,0.13,1.43,2.14,5.30,10.56,-0.32,-21.64,-2.20,-0.32,3.04,4.20,4.20,1.84,-10.92,0.26,-1.89,1.31,-0.55,0.31
27,Weighted Average Shares Outstanding,36639000,36627000,34844000,34781000,34781000,34781000,34781000,30826000,29486004,25901339,25900553,25876777,25959596,25992218,24904132,24357219,25002439,27300000,26991724,30183486,30664207,31175926,32482687,32567167,32645260,32620359,32861973,33223544,33733723,34009048,34441777,35111594,35513162,35487358,34691063,35029175
28,Weighted Average Shares Outstanding Diluted,36639000,36627000,34844000,34781000,34781000,34781000,34781000,30826000,29486004,25901339,25900553,26124402,26135593,26196078,25111667,24488172,25627500,27300000,27369231,30747664,31358491,31884470,32482687,32567167,32645260,32620359,33329262,33832548,34337827,34358453,34441777,35854902,35513162,35641800,34691063,35029175
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198696000011/0000061986-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198697000009/0000061986-97-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198699000003/0000061986-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198601500007/0000061986-01-500007-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198602000014/0000061986-02-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198603000016/0000061986-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465904007206/0001104659-04-007206-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465905011319/0001104659-05-011319-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465906012708/0001104659-06-012708-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465907015404/0001104659-07-015404-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465908014359/0001104659-08-014359-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465909013556/0001104659-09-013556-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465910010997/0001104659-10-010997-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465911011464/0001104659-11-011464-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465912014383/0001104659-12-014383-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198613000007/0000061986-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198614000009/0000061986-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198615000014/0000061986-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198616000073/0000061986-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198617000007/0000061986-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459018002976/0001564590-18-002976-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459019002823/0001564590-19-002823-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459020004745/0001564590-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459021005680/0001564590-21-005680-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000095017022001624/0000950170-22-001624-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,124300000,81900000,66900000,49900000,9100000,20100000,31900000,37300000,- -,15100000,14400000,11900000,10600000,10100000,13983000,23581000,28035000,44968000,176415000,229511000,173700000,363900000,173000000,105800000,83700000,68600000,73400000,54900000,68000000,63400000,69900000,119200000,140300000,199300000,128700000,75400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2044000,2151000,2371000,2220000,2248000,2310000,2400000,2500000,2600000,2600000,2700000,2700000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,124300000,81900000,66900000,49900000,9100000,20100000,31900000,37300000,- -,15100000,14400000,11900000,10600000,12000000,16027000,25732000,30406000,47188000,178663000,231821000,176100000,366400000,175600000,108400000,86400000,71300000,76100000,54900000,68000000,63400000,69900000,119200000,140300000,199300000,128700000,75400000
34,Net Receivables,23800000,36300000,36000000,50500000,36400000,43600000,56900000,61100000,- -,51000000,53900000,59200000,69500000,62800000,88231000,141211000,226091000,245010000,244335000,243193000,285200000,427100000,608200000,323200000,255100000,297000000,332700000,255500000,227400000,219500000,196800000,210300000,191200000,185700000,228700000,252800000
35,Inventory,26400000,34800000,37700000,55000000,76300000,84300000,64900000,34200000,- -,52900000,44000000,54700000,82000000,91400000,91178000,123056000,255218000,232877000,287036000,331453000,492400000,597700000,925300000,595500000,557000000,668700000,707600000,720800000,644500000,598500000,429000000,396100000,453100000,461400000,473100000,576800000
36,Other Current Assets,17800000,18100000,13500000,7300000,37700000,16900000,14100000,15400000,- -,16100000,15600000,19700000,28800000,24800000,28071000,41091000,135449000,121014000,135927000,146916000,189000000,184400000,425200000,232800000,262100000,202800000,211600000,231700000,246200000,132200000,54000000,73600000,58300000,26000000,35500000,36800000
37,Total Current Assets,192300000,171100000,154100000,162700000,159500000,164900000,167800000,148000000,- -,135100000,127900000,145500000,190900000,191000000,223507000,331090000,647164000,646089000,845961000,953383000,1142700000,1575600000,2134300000,1259900000,1160600000,1239800000,1328000000,1262900000,1186100000,1013600000,749700000,799200000,842900000,872400000,866000000,941800000
38,PP&E,62200000,58700000,55600000,53400000,52700000,53700000,53500000,57000000,- -,87700000,84700000,91200000,93600000,92000000,99940000,175384000,319301000,334618000,357568000,353917000,398900000,489500000,728800000,673700000,565800000,568200000,556100000,578800000,591000000,527000000,308800000,294900000,288900000,337500000,332200000,399400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,462100000,518800000,1890500000,1246800000,1173200000,1164800000,1210700000,1218600000,1198100000,1152300000,299600000,321300000,232800000,232500000,235100000,249700000
40,Intangible Assets,- -,- -,- -,1000000,600000,400000,- -,3000000,- -,92400000,92200000,147000000,184900000,232700000,308751000,525695000,507637000,530613000,606210000,569455000,160000000,200600000,1009000000,957400000,893500000,851800000,796400000,766200000,714700000,638800000,114100000,122100000,118100000,116300000,121600000,139600000
41,Intangible Assets,- -,- -,- -,1000000,600000,400000,- -,3000000,- -,92400000,92200000,147000000,184900000,232700000,308751000,525695000,507637000,530613000,606210000,569455000,622100000,719400000,2899500000,2204200000,2066700000,2016600000,2007100000,1984800000,1912800000,1791100000,413700000,443400000,350900000,348800000,356700000,389300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19662000,34491000,48490000,26683000,14300000,27600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5100000,1900000,1100000,- -,- -,- -,3800000,- -,- -,9700000,12900000,12700000,11600000,14500000,10332000,48643000,83359000,56770000,69907000,58339000,41500000,56600000,302800000,140900000,216200000,140600000,166100000,150100000,126700000,117200000,45600000,70300000,59200000,59000000,48600000,44700000
45,Total Non-Current Assets,67300000,60600000,56700000,54400000,53300000,54100000,57300000,60000000,- -,189800000,189800000,250900000,290100000,339200000,419023000,749722000,929959000,956492000,1082175000,1008394000,1076800000,1293100000,3931100000,3018800000,2848700000,2725400000,2729300000,2713700000,2630500000,2435300000,768100000,808600000,699000000,745300000,737500000,833400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,259600000,231700000,210800000,217100000,212800000,219000000,225100000,208000000,- -,324900000,317700000,396400000,481000000,530200000,642530000,1080812000,1577123000,1602581000,1928136000,1961777000,2219500000,2868700000,6065400000,4278700000,4009300000,3965200000,4057300000,3976600000,3816600000,3448900000,1517800000,1607800000,1541900000,1617700000,1603500000,1775200000
48,Accounts Payable,- -,- -,- -,- -,35800000,36900000,- -,52900000,- -,66000000,91000000,96500000,123500000,141900000,144713000,113098000,184786000,454394000,513504000,591771000,496900000,608900000,649200000,357300000,394400000,482200000,510200000,510600000,470000000,390200000,157700000,204900000,249200000,187100000,178100000,238800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,36900000,11100000,64500000,59500000,32800000,81270000,42048000,42632000,25216000,71605000,19374000,4100000,13100000,182300000,144900000,61800000,79100000,92800000,22700000,80300000,67600000,12400000,8200000,6400000,3800000,10500000,7300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48100000,55900000,49500000,40400000,29700000,35100000,53700000,59900000,42900000,30400000,21000000,12700000,9600000,25800000,25500000,28700000
52,Other Current Liabilities,74400000,45000000,35500000,36500000,5600000,5700000,43800000,5500000,- -,8000000,8200000,9800000,15100000,14600000,13507000,141015000,232980000,65614000,67571000,79109000,386300000,396700000,737100000,599600000,539600000,508200000,489200000,532200000,418100000,395400000,221700000,227200000,231400000,224200000,221700000,246200000
53,Total Current Liabilities,74400000,45000000,35500000,36500000,41400000,42600000,43800000,58400000,- -,110900000,110300000,170800000,198100000,189300000,239490000,296161000,460398000,545224000,652680000,690254000,935400000,1074600000,1618100000,1142200000,1025500000,1104600000,1145900000,1125400000,1011300000,883600000,412800000,453000000,496600000,440900000,435800000,521000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,101200000,76500000,66400000,79800000,79200000,137668000,446522000,623547000,567084000,512236000,474000000,264300000,217500000,2473000000,2027500000,1935600000,1810900000,1732000000,1504100000,1443200000,1346000000,269100000,266700000,266700000,308400000,300400000,429100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,27800000,34200000,37700000,37600000,37900000,33900000,20300000,20800000,25200000,30300000,32400000,22900000
56,Deferred Tax Liabilities,2600000,3300000,2100000,1100000,2700000,2600000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283700000,214800000,213300000,215800000,223000000,214300000,186200000,89400000,36600000,13000000,5700000,5500000,5900000,6500000
57,Other Non-Current Liabilities,15300000,12800000,19600000,18200000,7100000,6700000,12300000,30200000,- -,31100000,30600000,30600000,30500000,29500000,31603000,74334000,198063000,191849000,244291000,254195000,245300000,226700000,390800000,255200000,328600000,326200000,337400000,312900000,313900000,276500000,188500000,176800000,146400000,186700000,185500000,133300000
58,Total Non-Current Liabilities,17900000,16100000,21700000,19300000,9800000,9300000,15700000,30200000,- -,132300000,107100000,97000000,110300000,108700000,169271000,520856000,821610000,758933000,756527000,728195000,509600000,444200000,3147500000,2529300000,2505300000,2387100000,2330100000,2068900000,1981200000,1745800000,514500000,477300000,444000000,530900000,524200000,591800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37600000,28400000,29200000
61,Total Liabilities,92300000,61100000,57200000,55800000,51200000,51900000,59500000,88600000,- -,243200000,217400000,267800000,308400000,298000000,408761000,817017000,1282008000,1304157000,1409207000,1418449000,1445000000,1518800000,4765600000,3671500000,3530800000,3491700000,3476000000,3194300000,2992500000,2629400000,927300000,930300000,940600000,971800000,960000000,1112800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,367000,367000,367000,367000,397000,397000,700000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,400000,400000,400000
64,Retained Earnings,136000000,139100000,130700000,139300000,139700000,144800000,142700000,129100000,- -,132400000,150400000,179100000,222700000,281700000,334433000,372623000,344689000,340792000,372398000,429751000,587400000,903800000,882700000,188700000,104700000,113600000,222100000,353200000,486900000,539500000,247300000,256700000,189600000,236200000,216900000,227900000
65,Other Comprehensive Income/Loss,-82900000,-89400000,-94600000,-97600000,-101900000,-106100000,-106100000,-111100000,- -,-101100000,-104700000,-111600000,-117800000,-122300000,-137931000,-245562000,-280367000,-327768000,-348953000,17000000,48000000,115000000,69000000,62000000,10000000,-25000000,-29000000,-7000000,-131000000,-208000000,-163000000,-97000000,-117000000,-121000000,-98000000,-102400000
66,Other Total Stockholders Equity,114200000,120900000,117500000,119600000,123800000,128400000,129000000,101400000,- -,50400000,54600000,61100000,67700000,72400000,36900000,136367000,230426000,285033000,495087000,96180000,138400000,329700000,346700000,355800000,365800000,393400000,405800000,427900000,466800000,486600000,504800000,516400000,527300000,530300000,524200000,536500000
67,Total Stockholders Equity,167300000,170600000,153600000,161300000,161600000,167100000,165600000,119400000,- -,81700000,100300000,128600000,172600000,232200000,233769000,263795000,295115000,298424000,518929000,543328000,774500000,1349900000,1299800000,607900000,481900000,483400000,600300000,775500000,824100000,819500000,590500000,677500000,601300000,645900000,643500000,662400000
68,Total Liabilities And Stockholders Equity,259600000,231700000,210800000,217100000,212800000,219000000,225100000,208000000,- -,324900000,317700000,396400000,481000000,530200000,642530000,1080812000,1577123000,1602581000,1928136000,1961777000,2219500000,2868700000,6065400000,4279400000,4012700000,3975100000,4076300000,3969800000,3816600000,3448900000,1517800000,1607800000,1541900000,1617700000,1603500000,1775200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-3400000,-9900000,-19000000,6800000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,259600000,231700000,210800000,217100000,212800000,219000000,225100000,208000000,- -,324900000,317700000,396400000,481000000,530200000,642530000,1080812000,1577123000,1602581000,1928136000,1961777000,2219500000,2868700000,6065400000,4278700000,4009300000,3965200000,4057300000,3976600000,3816600000,3448900000,1517800000,1607800000,1541900000,1617700000,1603500000,1775200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/61986/000006198696000011/0000061986-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198697000009/0000061986-97-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198699000003/0000061986-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/61986/000006198601500007/0000061986-01-500007-index.html,https://www.sec.gov/Archives/edgar/data/61986/000006198602000014/0000061986-02-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198603000016/0000061986-03-000016-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465904007206/0001104659-04-007206-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465905011319/0001104659-05-011319-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465906012708/0001104659-06-012708-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465907015404/0001104659-07-015404-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465908014359/0001104659-08-014359-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465909013556/0001104659-09-013556-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465910010997/0001104659-10-010997-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465911011464/0001104659-11-011464-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000110465912014383/0001104659-12-014383-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198613000007/0000061986-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198614000009/0000061986-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198615000014/0000061986-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198616000073/0000061986-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000006198617000007/0000061986-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459018002976/0001564590-18-002976-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459019002823/0001564590-19-002823-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459020004745/0001564590-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000156459021005680/0001564590-21-005680-index.htm,https://www.sec.gov/Archives/edgar/data/61986/000095017022001624/0000950170-22-001624-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,21000000,15400000,8300000,-3900000,14000000,14600000,25600000,36400000,51400000,66800000,60268000,45548000,-20502000,3549000,39138000,65800000,166200000,336700000,-10700000,-704200000,-73400000,-10500000,101700000,141800000,144500000,63500000,-375800000,9400000,-67100000,46600000,-19100000,11000000
74,Depreciation and Amortization,- -,- -,- -,- -,5100000,5700000,6300000,6000000,6400000,6800000,11600000,12000000,15000000,17300000,18725000,36563000,39169000,50166000,57225000,65601000,73700000,89200000,97500000,131100000,125500000,120900000,106600000,103800000,103500000,104300000,48600000,38900000,36400000,35300000,37500000,46900000
75,Deferred Income Tax,- -,- -,- -,- -,2500000,-100000,800000,-1400000,-3000000,-800000,-4400000,-3200000,-5700000,-600000,7148000,1667000,-10561000,-2492000,-5163000,13980000,-3800000,4200000,6900000,-91500000,27200000,25500000,-8500000,-13400000,-6200000,-35900000,101400000,-44100000,-11100000,1500000,4800000,600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,1900000,9600000,-700000,8500000,7400000,10100000,6500000,7100000
77,Change in Working Capital,- -,- -,- -,- -,-3500000,4200000,1700000,-34400000,-65400000,-6600000,-42900000,18100000,8900000,-17683000,50912000,151837000,-85901000,92416000,69848000,-55829000,293700000,15200000,-398500000,17400000,100000,46900000,-44600000,37300000,-44800000,206900000,9300000,100000,85200000,-1300000,95800000,3100000
