,https://roic.ai/company/REX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000074418796000001/0000744187-96-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011702000900/0000950117-02-000900-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011706001735/a41777.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041307003503/0000930413-07-003503-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041308002363/0000930413-08-002363-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041309002072/0000930413-09-002072-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041310001955/0000930413-10-001955-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041311002755/0000930413-11-002755-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041312002109/c69053_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041313002135/0000930413-13-002135-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041314001685/0000930413-14-001685-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041315001585/c80752_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041316006190/0000930413-16-006190-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041317001219/0000930413-17-001219-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041318001149/0000930413-18-001149-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041319001085/0000930413-19-001085-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041320000944/0000930413-20-000944-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041321000765/0000930413-21-000765-index.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041322000653/0000930413-22-000653-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33200000,10300000,14300000,33600000,700000,5100000,900000,4100000,20400000,12700000,700000,4000000,16900000,11900000,25609000,687000,39441000,1380000,29026000,4671000,20096000,43008000,127716000,91991000,100398000,91019000,75013000,69073000,105149000,137697000,135765000,188576000,190988000,188531000,179658000,144501000,229846000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14975000,26073000,36194000,25877000
33,Cash and Short-Term Investments,33200000,10300000,14300000,33600000,700000,5100000,900000,4100000,20400000,12700000,700000,4000000,16900000,11900000,25609000,687000,39441000,1380000,29026000,4671000,20096000,43008000,127716000,91991000,100398000,91019000,75013000,69073000,105149000,137697000,135765000,188576000,190988000,203506000,205731000,180695000,255723000
34,Net Receivables,6300000,2000000,1000000,700000,500000,900000,2000000,900000,700000,1100000,1600000,1500000,2800000,2300000,2569000,4707000,2665000,10032000,5658000,7135000,5137000,10813000,2450000,11987000,21936000,18122000,14600000,12914000,16754000,11813000,18920000,12971000,19525000,19073000,18998000,25733000,25821000
35,Inventory,39100000,61400000,41700000,40600000,43600000,43900000,46400000,58300000,75000000,115300000,146600000,135000000,126500000,132000000,139267000,144150000,101017000,142063000,116755000,124188000,97371000,70078000,49933000,24374000,8698000,7819000,30349000,24919000,19370000,18062000,17178000,17057000,20755000,18477000,35634000,37880000,42225000
36,Other Current Assets,3500000,2700000,2700000,3200000,4100000,4600000,4800000,6200000,4300000,5900000,7100000,9400000,11600000,13300000,11934000,14010000,15168000,12917000,10184000,12159000,11413000,12107000,13091000,14293000,9066000,8889000,7077000,8021000,7537000,8173000,7497000,7913000,7766000,9565000,10772000,14442000,21398000
37,Total Current Assets,82100000,76400000,59700000,78100000,48900000,54500000,54100000,69500000,100400000,135000000,156000000,149900000,157800000,159500000,179379000,163554000,158291000,166392000,161623000,148153000,134017000,136006000,193190000,142645000,140098000,125849000,127039000,114927000,148810000,175745000,179360000,226517000,239034000,250621000,271135000,258750000,345167000
38,PP&E,22300000,36900000,43600000,46500000,3800000,4900000,10100000,13200000,25200000,50000000,70300000,89600000,93200000,98900000,113802000,135643000,139496000,134563000,131409000,129723000,125245000,122769000,136505000,235454000,246874000,169811000,240084000,223180000,202258000,194447000,189976000,182761000,197827000,182521000,179500000,165864000,148775000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,1322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,1322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47185000,68949000,63042000,59959000,71189000,80389000,38707000,37833000,34549000,32075000,32464000,29456000,30566000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6070000,14645000,27978000,30031000,- -,21929000,18697000,8468000,5206000,- -,- -,- -,- -,- -,- -,- -,5843000,17061000,24390000,3132000
44,Other Non-Current Assets,300000,- -,- -,- -,5400000,6300000,6900000,5900000,6700000,7600000,8300000,8500000,9500000,9900000,10855000,11688000,9542000,3897000,5734000,5097000,4575000,75111000,56032000,54492000,8880000,5907000,7884000,7264000,5611000,6366000,6642000,6913000,7454000,333000,342000,885000,22721000
45,Total Non-Current Assets,22600000,37700000,43600000,46500000,9200000,11200000,17000000,19100000,31900000,57600000,78600000,98100000,102700000,108800000,124657000,147331000,149038000,144530000,151788000,162798000,159851000,199202000,215788000,308643000,311407000,249873000,311010000,290403000,279058000,281202000,235325000,227507000,239830000,220772000,229367000,220595000,205194000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,104700000,114100000,103300000,124600000,58100000,65700000,71100000,88600000,132300000,192600000,234600000,248000000,260500000,268300000,304036000,310885000,307329000,310922000,313411000,310951000,293868000,335208000,408978000,451288000,451505000,375722000,438049000,405330000,427868000,456947000,414685000,454024000,478864000,471393000,500502000,479345000,550361000
48,Accounts Payable,- -,- -,- -,- -,11300000,13800000,13400000,21700000,28000000,33300000,39500000,31300000,49800000,52700000,46252000,47680000,32619000,27417000,32745000,32842000,19129000,23254000,27253000,25167000,6976000,2557000,6985000,4655000,6626000,9210000,10212000,9171000,8149000,7463000,18900000,16907000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,15200000,3000000,14600000,3303000,5665000,5078000,19108000,5258000,2897000,2389000,2678000,4101000,7474000,13306000,10014000,15222000,15623000,12226000,- -,- -,- -,- -,- -,- -,4875000,4600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1833000,6677000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10883000,11473000,14448000,11952000,7818000,3982000,1864000,627000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,26900000,28300000,20200000,32400000,8600000,12600000,12300000,15700000,17900000,23000000,25100000,23200000,26100000,14800000,29068000,26461000,28338000,26526000,25166000,24454000,13587000,10510000,15053000,13676000,10750000,8014000,13170000,10554000,13288000,10347000,9423000,13348000,13716000,9546000,12699000,8955000,45883000
53,Total Current Liabilities,26900000,28300000,20200000,32400000,19900000,26400000,25700000,37400000,45900000,56300000,76000000,69700000,78900000,82100000,78623000,79806000,66035000,73051000,63169000,60193000,45988000,47915000,60855000,58269000,38850000,24567000,37241000,31459000,32140000,19557000,19635000,22519000,21865000,17009000,31599000,30737000,50483000
54,Long-Term Debt,5100000,4700000,13800000,23000000,- -,- -,2900000,2900000,10900000,39200000,32600000,51100000,52700000,55500000,46200000,81262000,77203000,64426000,53548000,30501000,21462000,31236000,35224000,103939000,126689000,70973000,108527000,91306000,63500000,- -,- -,- -,- -,- -,- -,7439000,6390000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6396000,2416000,5194000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,1300000,1400000,1700000,- -,- -,- -,- -,- -,- -,16500000,18300000,17900000,- -,- -,- -,- -,- -,12762000,11703000,- -,- -,- -,- -,- -,- -,4642000,7141000,19613000,42768000,38304000,41135000,21706000,4185000,4334000,3713000,- -
