,https://roic.ai/company/DUK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51600000,14500000,-19800000,50000000,-6000000,-25000000,-375000000,-137000000,-137000000,190000000,433000000,-461000000,327000000,-783000000,928000000,1678000000,2326000000,1352000000,93000000,1872000000,342000000,-3078000000,-3512000000,-4029000000,-5327000000,-5589000000,-7623000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,373500000,525100000,814600000,990200000,1208000000,1455000000,-701000000,880000000,3001000000,5404000000,1578000000,1592000000,825000000,2149000000,-230000000,-1149000000,-192000000,312000000,1499000000,-2555000000,1577000000,2423000000,300000000,-1387000000,43000000,-1259000000,3973000000,4382000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035700000,1311700000,1482700000,2140100000,2369000000,2733000000,2225000000,4595000000,4530000000,3874000000,4178000000,2804000000,3726000000,3208000000,3328000000,3463000000,4511000000,3672000000,5244000000,6382000000,6586000000,6676000000,6798000000,6634000000,7186000000,8209000000,8856000000,8290000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-772500000,-713300000,-646500000,-1323200000,-2159000000,-5936000000,-5634000000,-5930000000,-4924000000,-2471000000,-2055000000,-2309000000,-3381000000,-3125000000,-4386000000,-4389000000,-4817000000,-4372000000,-5501000000,-5526000000,-5384000000,-6766000000,-7901000000,-8052000000,-9389000000,-11122000000,-9907000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1707000000,- -,- -,-294000000,-137000000,-66000000,-389000000,-124000000,- -,-51000000,-380000000,- -,-54000000,1634000000,-3360000000,-146000000,-238000000,-313000000,-237000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25900000,-704400000,-341000000,- -,- -,- -,-641000000,-290000000,-64594000000,-41437000000,-33436000000,-23639000000,-7353000000,-3150000000,-2218000000,-3244000000,-4725000000,-6223000000,-4200000000,-4300000000,-5460000000,-4071000000,-3762000000,-3348000000,-8011000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,17900000,54400000,- -,- -,- -,- -,- -,- -,- -,- -,65634000000,43645000000,32748000000,24613000000,7454000000,3058000000,2667000000,3181000000,4537000000,6315000000,4133000000,4040000000,5236000000,4098000000,3747000000,3343000000,7949000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197900000,-188000000,-166300000,33900000,24000000,2136000000,604000000,-351000000,463000000,1830000000,251000000,286000000,2878000000,66000000,63000000,-4276000000,-4872000000,-4320000000,-5629000000,-5070000000,-5252000000,-6651000000,-7949000000,-8331000000,-9807000000,-11639000000,-10305000000,-10935000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-952500000,-846900000,-838700000,-1993700000,-2476000000,-3800000000,-5030000000,-6281000000,-6809000000,-931000000,-764000000,-109000000,-1328000000,-2151000000,-4611000000,-4492000000,-4423000000,-4434000000,-6197000000,-4978000000,-5373000000,-5277000000,-11533000000,-8450000000,-10060000000,-11957000000,-10604000000,-10935000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2081000000,-1702000000,-278000000,-2498000000,-2761000000,-3601000000,-3960000000,-5451000000,-2997000000,-3188000000,-4253000000,-6653000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,176000000,162000000,230000000,1432000000,1323000000,277000000,1704000000,41000000,127000000,50000000,133000000,519000000,302000000,67000000,- -,- -,- -,- -,731000000,- -,1838000000,384000000,2745000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-100500000,-159000000,-249000000,-180000000,-20000000,-33000000,-33000000,-88000000,-38000000,-176000000,-1067000000,-512000000,- -,- -,- -,- -,- -,- -,-96000000,- -,-1500000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-443600000,-458000000,-466800000,-726400000,-814000000,-822000000,-828000000,-871000000,-938000000,-1051000000,-1065000000,-1105000000,-1488000000,-1089000000,-1143000000,-1259000000,-1284000000,-1329000000,-1752000000,-2188000000,-2234000000,-2254000000,-2332000000,-2450000000,-2471000000,-2668000000,-2812000000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,365500000,101700000,-27400000,757500000,896000000,2280000000,3345000000,826000000,2549000000,-1845000000,-3741000000,-586000000,-88000000,-288000000,2601000000,4406000000,2724000000,2742000000,4517000000,3718000000,5157000000,5136000000,11322000000,7229000000,6781000000,10267000000,8451000000,2609000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79600000,-456800000,-653200000,-203000000,78000000,1600000000,2714000000,1354000000,2846000000,-2657000000,-3278000000,-2717000000,-1961000000,-1327000000,1591000000,1585000000,40000000,1202000000,267000000,-1327000000,-678000000,-2578000000,4270000000,1782000000,2960000000,3730000000,1731000000,2609000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,8000000,-9300000,-56600000,-29000000,533000000,-91000000,-332000000,567000000,286000000,136000000,-22000000,437000000,-270000000,308000000,556000000,128000000,440000000,-686000000,77000000,535000000,-1179000000,9000000,-34000000,86000000,-18000000,-17000000,-36000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,37400000,45400000,36100000,109400000,80000000,613000000,622000000,290000000,857000000,1160000000,533000000,511000000,948000000,678000000,986000000,1542000000,1670000000,2110000000,1424000000,1501000000,2036000000,857000000,392000000,358000000,591000000,573000000,556000000,520000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,33800000,37400000,45400000,166000000,109000000,80000000,713000000,622000000,290000000,874000000,397000000,533000000,511000000,948000000,678000000,986000000,1542000000,1670000000,2110000000,1424000000,1501000000,2036000000,383000000,392000000,505000000,591000000,573000000,556000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,263200000,598400000,836200000,816900000,210000000,-3203000000,-3409000000,-1335000000,-394000000,1403000000,2123000000,495000000,345000000,83000000,-1058000000,-926000000,-306000000,-700000000,-257000000,856000000,1202000000,-90000000,-1103000000,-1418000000,-2203000000,-2913000000,-1051000000,8290000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20290/000119312507071402/0001193125-07-071402-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312508043884/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312509041096/0001193125-09-041096-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312510043083/0001193125-10-043083-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/d10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000119312512085533/0001193125-12-085533-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/duk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/duk-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000016/duk-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/0001326160-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.html,https://www.sec.gov/Archives/edgar/data/1326160/000132616021000063/0001326160-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616022000072/0001326160-22-000072-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
