,https://roic.ai/company/ELS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-21900000,-35400000,-50500000,78260000,90041000,159167000,178193000,180030000,182480000,194838000,93286000,291878000,324544000,242786000,180711000,427262000,92823000,102043000,160848000,187341000,153662000,160157000,164539000,171394000,172195000,191530000,164710000,216311000,324021000
11,COGS and Expenses,-21900000,-35400000,-50500000,78260000,90041000,159167000,178193000,180030000,182480000,222030000,125053000,333711000,382015000,297284000,211424000,451331000,356411000,357974000,439849000,517210000,496801000,526994000,552587000,583878000,615345000,657659000,650954000,739307000,884914000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3095000,- -,- -,- -,10009000,8260000,8347000,7030000,6845000,7580000,7525000,7207000,7154000,7016000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99430000,98311000,91151000,99668000,124524000,118522000,112295000,105731000,102030000,100570000,104993000,104223000,102771000,108718000
14,Depreciation and Amortization,7900000,11000000,17800000,17962000,22086000,31243000,36494000,36511000,37184000,38057000,44434000,53906000,61631000,65376000,68313000,76818000,76760000,76672000,84646000,150700000,112445000,115871000,117056000,121894000,124951000,138688000,153980000,157760000,191432000
15,EBITDA,18300000,26000000,35800000,42234000,50731000,60173000,64266000,68456000,69267000,74502000,71448000,57932000,59298000,82008000,100415000,194551000,209076000,206177000,220912000,344615000,347166000,356171000,362158000,397187000,423110000,456293000,537342000,488815000,562628000
16,EBITDA ratio,0.4357,0.3796,0.3646,0.4015,0.4107,0.3088,0.2989,0.3102,0.3067,0.2840,0.2672,0.1688,0.1534,0.1987,0.2429,0.2983,0.4155,0.4032,0.3808,0.4972,0.4872,0.4678,0.4486,0.4639,0.4640,0.4712,0.5497,0.4525,0.4465
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-300000,1300000,- -,- -,- -,- -,- -,8168000,1277000,2065000,1063000,-5102000,-84216000,-162833000,-71749000,2896000,-92759000,-97720000,-101407000,-97027000,-95947000,-104166000,-85270000,-86215000,-84241000,-30582000,-99545000,-5255000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60628000,42504000,74458000,118772000,138468000,150512000,187132000,210377000,226386000,295922000,241416000,276000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1186,0.0733,0.1074,0.1667,0.1819,0.1864,0.2185,0.2307,0.2338,0.3027,0.2235,0.2190
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,10400000,15000000,18000000,24272000,28645000,28930000,27772000,31945000,32083000,36445000,27014000,4026000,-2333000,16632000,32102000,18303000,34005000,38354000,36598000,69391000,116199000,128005000,139371000,173263000,197589000,212612000,279139000,228284000,262478000
24,Net Income ratio,0.2476,0.2190,0.1833,0.2307,0.2319,0.1485,0.1292,0.1448,0.1421,0.1389,0.1010,0.0117,-0.0060,0.0403,0.0776,0.0281,0.0676,0.0750,0.0631,0.1001,0.1631,0.1681,0.1726,0.2023,0.2167,0.2196,0.2856,0.2113,0.2083
25,EPS,0.17,0.17,0.18,0.24,0.29,0.28,0.28,0.37,0.38,0.42,0.30,0.04,-0.03,0.18,0.33,0.19,0.31,0.32,0.16,0.33,0.65,0.71,0.78,0.96,1.09,1.20,1.54,1.25,1.43
26,EPS Diluted,0.17,0.17,0.18,0.24,0.29,0.28,0.27,0.36,0.37,0.41,0.30,0.04,-0.03,0.17,0.33,0.18,0.30,0.31,0.16,0.33,0.64,0.70,0.77,0.96,1.08,1.19,1.54,0.35,1.36
27,Weighted Average Shares Outstanding,59428571,85714286,97297297,98772000,98756000,102504000,100896000,85876000,84144000,86468000,88308000,91396000,92324000,93776000,96356000,97864000,110328000,122068000,160016000,164696000,166036000,166724000,168062000,169556000,173994000,177928000,180805000,182230631,183469000
28,Weighted Average Shares Outstanding Diluted,60289855,85714286,97297297,98918919,115048000,127848000,125008000,109632000,108040000,110528000,112008000,117860000,119708000,120964000,121656000,98935135,111491803,122732800,161320000,181724000,182392000,183022000,169019481,170871875,175026728,177928000,180805000,192578000,192736000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895417/000095013707003132/0000950137-07-003132-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095013708002967/0000950137-08-002967-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095015209002039/0000950152-09-002039-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095012310016953/0000950123-10-016953-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095012311017755/0000950123-11-017755-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000119312512086486/0001193125-12-086486-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541713000009/0000895417-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541714000018/0000895417-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541715000014/0000895417-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541716000082/0000895417-16-000082-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541717000017/0000895417-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541718000011/0000895417-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541719000012/0000895417-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541720000019/0000895417-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541721000014/0000895417-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541722000009/0000895417-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,324000,909000,13657000,6676000,2847000,1354000,7270000,325740000,5305000,610000,1605000,5785000,45312000,145128000,12659000,70460000,37140000,58427000,73714000,80258000,56340000,31085000,65974000,28860000,24060000,123398000
32,Short-Term Investments,- -,- -,- -,1968000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4569000,- -,9442000,52266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2292000,909000,13657000,6676000,2847000,1354000,7270000,325740000,5305000,610000,1605000,10354000,45312000,154570000,64925000,70460000,37140000,58427000,73714000,80258000,56340000,31085000,65974000,28860000,24060000,123398000
34,Net Receivables,- -,- -,- -,872000,840000,724000,1338000,1440000,1966000,1735000,2385000,1469000,1619000,1294000,1156000,32839000,30373000,26145000,65394000,54378000,42990000,37137000,35463000,34520000,49477000,35041000,37558000,35844000,39955000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,33638000,31604000,50654000,59412000,70091000,63526000,12934000,2964000,3177000,2948000,1569000,2618000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65284000,- -,-1294000,-5725000,-32839000,11382000,- -,- -,45321000,61331000,53133000,37190000,51578000,45828000,35914000,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42643000,359729000,122712000,61641000,71696000,69311000,58246000,199289000,94247000,138802000,138408000,165366000,163984000,152911000,142438000,126390000,136929000,66418000,59904000,163353000
38,PP&E,- -,- -,- -,526169000,847110000,1119410000,1113586000,1036596000,1026260000,1057909000,1042599000,1712923000,1774242000,1901651000,1901904000,1929788000,1908447000,1884322000,3265447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19634000,18828000,43583000,46211000,14718000,4569000,9676000,- -,8446000,8557000,8420000,11583000,13512000,17741000,19369000,53080000,57755000,20074000,19726000,70312000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43583000,- -,- -,- -,- -,58583000,61380000,83295000,3251398000,3214690000,3268843000,3249409000,3317180000,3430562000,3731124000,4064783000,4339339000,5074206000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1763577000,- -,- -,- -,- -,1967030000,1954148000,3357299000,3259818000,3226273000,3282355000,3267150000,3336549000,3483642000,3788879000,4084857000,4359065000,5144518000
46,Other Assets,- -,- -,- -,567874000,864365000,1176841000,1160338000,1104304000,1099963000,1120207000,1114186000,- -,1887233000,1984135000,1964384000,2033401000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,567874000,864365000,1176841000,1160338000,1104304000,1099963000,1162850000,1473915000,1886289000,1948874000,2055831000,2033695000,2091647000,2166319000,2048395000,3496101000,3398226000,3391639000,3446339000,3420061000,3478987000,3610032000,3925808000,4151275000,4418969000,5307871000
48,Accounts Payable,- -,- -,- -,22798000,17288000,33646000,31812000,23822000,23000000,24595000,252511000,27252000,22959000,2251000,13695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124665000,129666000,172285000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1569403000,- -,- -,200000000,- -,- -,- -,- -,- -,30000000,- -,160000000,222000000,349000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47738000,- -,- -,- -,- -,- -,- -,- -,- -,- -,92587000,295135000
52,Other Current Liabilities,- -,- -,- -,32102000,71312000,81954000,191788000,192678000,192900000,200405000,139289000,174048000,255141000,289249000,289705000,-1218903000,62990000,17807000,-172320000,74284000,97326000,103639000,119074000,137654000,135178000,164230000,67617000,74339000,80061000
53,Total Current Liabilities,- -,- -,- -,54900000,88600000,115600000,223600000,216500000,215900000,225000000,391800000,201300000,278100000,291500000,303400000,350500000,62990000,65545000,27680000,74284000,97326000,103639000,119074000,137654000,165178000,164230000,352282000,518592000,896481000
54,Long-Term Debt,- -,- -,- -,255087000,495250000,750891000,725297000,719716000,708889000,760233000,1076296000,1653051000,1638281000,1717212000,1659392000,1662403000,1547901000,1412919000,2284683000,2269866000,2192368000,2212246000,2145713000,2091279000,2170017000,2348352000,2248458000,2444930000,2925219000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10611000,29493000,56991000,122396000,129774000,138740000,151427000,162583000,168207000,174795000,207532000,228647000,150692000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-87000,-50000,-91000,3000,-16000,11000,-33000,4000,49000,19000,-12000,8000,-10614000,271508000,52782000,262062000,- -,- -,- -,- -,- -,- -,12350000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,255000000,495200000,750800000,725300000,719700000,708900000,760200000,1076300000,1653100000,1638300000,1717200000,1659400000,1662400000,1848902000,1522692000,2669141000,2399640000,2331108000,2363673000,2308296000,2259486000,2344812000,2568234000,2477105000,2595622000,2925219000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,281282000,516337000,795932000,769540000,764938000,753666000,816730000,1341401000,1719674000,1706979000,1795919000,1744978000,1795413000,1911892000,1588237000,2696821000,2473924000,2428434000,2467312000,2427370000,2397140000,2509990000,2732464000,2829387000,3114214000,3821700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136144000,136144000,136144000,136144000,136144000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,249000,248000,262000,229000,210000,215000,218000,222000,224000,226000,229000,236000,238000,301000,310000,412000,416000,834000,838000,843000,854000,883000,896000,1812000,1813000,1913000
64,Retained Earnings,- -,- -,- -,-29651000,-33736000,-42328000,-53626000,-57622000,-63478000,-68713000,-256996000,-262518000,-267154000,-257594000,-240098000,-241609000,-238467000,-237002000,-270021000,-287652000,-264083000,-254209000,-250506000,-231276000,-211980000,-211034000,-154318000,-179523000,-183689000
65,Other Comprehensive Income/Loss,- -,- -,- -,-71481000,-89208000,-118021000,-150757000,-181580000,-211878000,-4498000,- -,-322867000,-378325000,-435809000,-494211000,-561233000,-629768000,-700665000,-2547000,-2590000,-927000,-381000,-553000,-227000,942000,2299000,-380000,- -,3524000
66,Other Total Stockholders Equity,- -,- -,- -,387475000,470724000,540996000,594952000,578358000,621438000,250612000,262572000,617005000,677769000,740292000,805014000,881317000,1086464000,1164387000,998483000,1012930000,1021365000,1029601000,1039140000,1103048000,1242109000,1329391000,1402696000,1411397000,1593362000
67,Total Stockholders Equity,- -,- -,- -,286592000,348028000,380909000,390798000,339366000,346297000,177619000,5798000,31844000,32516000,47118000,70941000,78713000,218530000,227030000,726327000,859248000,893333000,911993000,925068000,1008543000,1031954000,1121552000,1249810000,1233687000,1415110000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,567874000,864365000,1176841000,1160338000,1104304000,1099963000,994349000,1347199000,1751518000,1739495000,1843037000,1815919000,1874126000,2130422000,1815267000,3423148000,3333172000,3321767000,3379305000,3352438000,3405683000,3541944000,3854016000,4079197000,4347901000,5236810000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,168501000,126716000,134771000,209379000,212794000,217776000,217521000,35897000,233128000,72953000,65054000,69872000,67034000,67623000,73304000,68088000,71792000,72078000,71068000,71061000
70,Total Liabilities & Equity,- -,- -,- -,567874000,864365000,1176841000,1160338000,1104304000,1099963000,1162850000,1473915000,1886289000,1948874000,2055831000,2033695000,2091647000,2166319000,2048395000,3496101000,3398226000,3391639000,3446339000,3420061000,3478987000,3610032000,3925808000,4151275000,4418969000,5307871000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895417/000095013707003132/0000950137-07-003132-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095013708002967/0000950137-08-002967-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095015209002039/0000950152-09-002039-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095012310016953/0000950123-10-016953-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000095012311017755/0000950123-11-017755-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000119312512086486/0001193125-12-086486-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541713000009/0000895417-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541714000018/0000895417-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541715000014/0000895417-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541716000082/0000895417-16-000082-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541717000017/0000895417-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541718000011/0000895417-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541719000012/0000895417-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541720000019/0000895417-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541721000014/0000895417-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/895417/000089541722000009/0000895417-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10400000,15000000,18000000,24272000,28645000,28930000,27772000,31945000,32083000,36445000,27014000,4026000,-2333000,16632000,32102000,18303000,34005000,38354000,36598000,69391000,116199000,128005000,139371000,173263000,197589000,212612000,279139000,228284000,262478000
74,Depreciation and Amortization,7900000,11000000,17800000,17962000,22086000,31243000,36494000,36511000,37184000,38057000,44434000,53906000,61631000,65376000,68313000,76818000,76760000,76672000,84646000,150700000,112445000,115871000,117056000,121894000,124951000,138688000,153980000,157760000,191432000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782000,1907000,1900000,973000,6252000,10699000,11171000,7638000,13058000,12694000
77,Change in Working Capital,-4600000,- -,- -,-54900000,-33700000,-27000000,-108000000,7100000,600000,-9100000,-166800000,313212000,-199512000,58296000,-14285000,-58165000,428553000,-107597000,82420000,-46998000,3916000,-7695000,-26508000,-29053000,-43572000,11487000,-258563000,-172824000,119853000
78,Accounts Receivable,-1800000,-4100000,900000,100000,-2300000,-3200000,-1500000,-9491000,804000,-6909000,-367000,-27346000,-7147000,4280000,3120000,- -,- -,- -,- -,-3264000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1887000,1846000,-17855000,-8521000,-8059000,4516000,-5129000,2060000,3524000,2396000,1379000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-500000,2400000,3800000,5400000,2800000,5200000,2800000,898000,-1409000,1706000,-3085000,6770000,7641000,2188000,2655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15578000,3386000,30009000
81,Other Working Capital,- -,- -,- -,-54900000,-88600000,-115600000,-223600000,-216500000,-215900000,-225000000,-391800000,-78588000,-278100000,-219804000,-234089000,-292254000,136299000,28702000,111122000,64124000,68040000,60345000,33837000,4784000,-38788000,-27301000,-285864000,-458688000,40122000
82,Other Non-Cash Items,3000000,200000,5500000,62326000,37550000,38804000,116314000,-7555000,10841000,14774000,170515000,-324411000,230540000,-40847000,36661000,76934000,-388929000,155880000,-28023000,62584000,20882000,47664000,121990000,80992000,94823000,37126000,261326000,240259000,8595000
83,Cash Provided by Operating Activities,16700000,26200000,41300000,49660000,54581000,71977000,72580000,68001000,80708000,80176000,75163000,46733000,90326000,99457000,122791000,113890000,150389000,163309000,175641000,236459000,255349000,285745000,352882000,353348000,384490000,411084000,443520000,466537000,595052000
84,CAPEX,-45100000,-326700000,-8100000,-46531000,-262894000,-241076000,-30640000,-11680000,-40958000,-81022000,-27796000,-337975000,-71680000,-67236000,-53540000,-9029000,-8219000,-48629000,-713121000,-75260000,-64714000,-63721000,-93799000,-119437000,-126050000,-181622000,-257993000,-217082000,-290290000
85,Acquisitions Net,- -,- -,- -,- -,- -,-7584000,-2279000,-3758000,- -,-57206000,-6836000,-310893000,- -,- -,- -,-27983000,- -,- -,- -,- -,-2641000,-3489000,-4000000,-5134000,-33345000,-4497000,-983000,- -,-91464000
86,Purchases of Investments,-132200000,- -,- -,-300000,- -,- -,- -,- -,- -,-7824000,-1535000,- -,- -,-9158000,-3656000,- -,- -,-52266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,126700000,9600000,14000,18698000,399000,- -,- -,- -,- -,- -,- -,- -,1647000,152000,- -,- -,1176000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-800000,-22000000,1400000,-14137000,4751000,-14501000,-4949000,38540000,17891000,73079000,35569000,282214000,5434000,7661000,31440000,-1637000,-26537000,786000,11273000,-86565000,-35213000,-124396000,-116707000,-213688000,-277604000,-393568000,-351106000,-450379000,-822991000
89,Cash Used for Investing Activites,-178100000,-222000000,2900000,-60954000,-239445000,-262762000,-37868000,23102000,-23067000,-72973000,-598000,-366654000,-66246000,-67086000,-25604000,-33104000,-34756000,-98933000,-701848000,-86565000,-37854000,-127885000,-120707000,-218822000,-310949000,-398065000,-352089000,-450379000,-914455000
90,Debt Repayment,-173100000,-56500000,-14700000,-9084000,-272674000,-43298000,-139069000,-156149000,-94697000,-33813000,-242594000,-28848000,-617804000,-410451000,-280910000,-435642000,-274135000,-211656000,-125658000,-167552000,-470492000,-178040000,-456308000,-142731000,-371530000,-529335000,-276528000,-858778000,-861238000
91,Common Stock Issued,280200000,76500000,1000000,1014000,2658000,27936000,103029000,58737000,10112000,8296000,9581000,6221000,5156000,4744000,4617000,- -,146363000,- -,344049000,- -,- -,- -,- -,50000000,120698000,78755000,59319000,- -,140254000
92,Common Stock Repurchased,- -,- -,-2000000,- -,-7260000,- -,-99800000,-54595000,-41000,- -,- -,- -,-973000,-926000,-883000,- -,-1381000,-2054000,-1682000,-65143000,-1121000,-1870000,-3201000,-229000,-136314000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-33070000,-46886000,-46491000,-40445000,-56298000,-58111000,-58314000,-65687000,-237074000,-16632000,-23575000,-32013000,-38849000,-48109000,-58600000,-72420000,-110798000,-77474000,-120743000,-141773000,-161171000,-182329000,-202638000,-229218000,-256947000,-275717000
94,Other Financing Activites,81300000,150400000,-29600000,51998000,509611000,265386000,134592000,113373000,83603000,82544000,542605000,259187000,601478000,398832000,216182000,433232000,161445000,75465000,439719000,160279000,352893000,158080000,375651000,95687000,470679000,670542000,314882000,1094767000,1415442000
95,Cash Used/Provided by Financing Activities,188400000,170400000,-45300000,10858000,185449000,203533000,-41693000,-94932000,-59134000,-1287000,243905000,-514000,-28775000,-31376000,-93007000,-41259000,-15817000,-196845000,584008000,-183214000,-196194000,-142573000,-225631000,-158444000,-98796000,17324000,-131545000,-20958000,418741000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,188400000,170400000,-45300000,-436000,585000,12748000,-6981000,-3829000,-1493000,5916000,318470000,-320435000,-4695000,995000,4180000,39527000,99816000,-132469000,57801000,-33320000,21301000,15287000,6544000,-23918000,-25255000,30343000,-40114000,-4800000,99338000
98,Cash at the End of Period,- -,- -,- -,324000,909000,13657000,6676000,2847000,1354000,7270000,325740000,5305000,610000,1605000,5785000,45312000,145128000,12659000,70460000,37140000,58427000,73714000,80258000,56340000,31085000,65974000,28860000,24060000,123398000
99,Cash at the Beginning of Period,200000,27300000,1900000,760000,324000,909000,13657000,6676000,2847000,1354000,7270000,325740000,5305000,610000,1605000,5785000,45312000,145128000,12659000,70460000,37126000,58427000,73714000,80258000,56340000,35631000,68974000,28860000,24060000
100,Free Cash Flow,-28400000,-300500000,33200000,3129000,-208313000,-169099000,41940000,56321000,39750000,-846000,47367000,-291242000,18646000,32221000,69251000,104861000,142170000,114680000,-537480000,161199000,190635000,222024000,259083000,233911000,258440000,229462000,185527000,249455000,304762000
