,https://roic.ai/company/DBD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,66086957,65849057,66296296,66595745,67037037,66097561,67358491,66285714,68169014,68242500,69240506,69797980,69490000,69310000,69562000,71479000,71783000,72297000,72924000,72534000,70966000,66885000,66673000,66492000,66867000,65907000,64792000,63914000,63659000,65154000,65600000,69100000,75500000,76000000,76700000,77600000,77600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28823/000002882321000059/0000028823-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/28823/000002882322000058/0000028823-22-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,101500000,81800000,84200000,91600000,36500000,33600000,30000000,34400000,39000000,17300000,15700000,21900000,20300000,42500000,27300000,65184000,73768000,155446000,169951000,184045000,207900000,253814000,206334000,241436000,328426000,328658000,333920000,368792000,230709000,322017000,313600000,652700000,535200000,458400000,280900000,324500000,388900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57300000,61328000,51901000,7909000,6150000,31654000,52885000,99571000,104976000,121387000,177442000,273123000,286853000,261886000,242988000,136653000,39900000,64100000,81400000,33500000,10000000,37200000,34300000
33,Cash and Short-Term Investments,101500000,81800000,84200000,91600000,36500000,33600000,30000000,34400000,39000000,17300000,15700000,21900000,20300000,42500000,84600000,126512000,125669000,163355000,176101000,215699000,260785000,353385000,311310000,362823000,505868000,601781000,620773000,630678000,473697000,458670000,353500000,716800000,616600000,491900000,290900000,361700000,423200000
34,Net Receivables,93900000,78400000,105300000,109000000,117300000,106700000,118800000,120700000,129300000,153100000,197100000,256600000,316400000,286800000,345400000,412335000,393071000,403498000,558161000,583658000,676361000,610893000,544501000,447079000,424889000,424155000,429436000,504730000,468484000,489650000,431900000,921100000,903500000,737200000,619300000,646900000,595200000
35,Inventory,62800000,76600000,93100000,85400000,76800000,96000000,106100000,80800000,75000000,85500000,91000000,109400000,128100000,127900000,169800000,205567000,235923000,236614000,262039000,322293000,341614000,442804000,533619000,540971000,448243000,444575000,440900000,412996000,376462000,405173000,369300000,737700000,737000000,610100000,466500000,498200000,544200000
36,Other Current Assets,8600000,7300000,15900000,12600000,58700000,77000000,66500000,56500000,70000000,70200000,72400000,91700000,85000000,86300000,48100000,59949000,197763000,121421000,108858000,112982000,149120000,188599000,241102000,263245000,209085000,243525000,241246000,266453000,236707000,302037000,488900000,244000000,251300000,364200000,515300000,350500000,324700000
37,Total Current Assets,266800000,244100000,298500000,298600000,289300000,313300000,321400000,292400000,313300000,326100000,376200000,479600000,549800000,543500000,647900000,804363000,952426000,924888000,1105159000,1234632000,1427880000,1595681000,1630532000,1614118000,1588085000,1714036000,1732355000,1814857000,1555350000,1655530000,1643600000,2619600000,2508400000,2203400000,1892000000,1857300000,1887300000
38,PP&E,45800000,52400000,52000000,59600000,55900000,64600000,58400000,60600000,60700000,64700000,84100000,95900000,143900000,147100000,160700000,174946000,190198000,219633000,253155000,268090000,276966000,202535000,220056000,203594000,204820000,203462000,192694000,184345000,160895000,169506000,175300000,387000000,364500000,304100000,399000000,320800000,290600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460339000,465484000,408303000,450937000,269398000,253063000,272951000,179828000,171974000,161500000,998300000,1117100000,827100000,764000000,800400000,743600000
40,Intangible Assets,- -,14900000,22300000,23300000,27400000,33100000,32800000,46200000,53700000,- -,- -,- -,- -,- -,160100000,296101000,275685000,268606000,331646000,412625000,389134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772900000,773800000,624600000,502300000,448600000,347500000
41,Intangible Assets,- -,14900000,22300000,23300000,27400000,33100000,32800000,46200000,53700000,- -,- -,- -,- -,- -,160100000,296101000,275685000,268606000,331646000,412625000,389134000,460339000,465484000,408303000,450937000,269398000,253063000,272951000,179828000,171974000,161500000,1771200000,1890900000,1451700000,1266300000,1249000000,1091100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70914000,73989000,76138000,74869000,77101000,82591000,83625000,85200000,94700000,96800000,22400000,21400000,10300000,11000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2141000,2975000,7024000,- -,- -,- -,- -,69698000,32834000,49961000,91090000,76375000,39461000,86544000,65300000,309500000,293800000,243900000,120800000,97500000,95700000
44,Other Non-Current Assets,81300000,97700000,68800000,73200000,117000000,108900000,123000000,159700000,181300000,271100000,284900000,283600000,297400000,313600000,330100000,310017000,231463000,208979000,203518000,220205000,259213000,255724000,315054000,171309000,204200000,206795000,173372000,167358000,165366000,174957000,118400000,88300000,95800000,86400000,91100000,122500000,131600000
45,Total Non-Current Assets,127100000,165000000,143100000,156100000,200300000,206600000,214200000,266500000,295700000,335800000,369000000,379500000,441300000,460700000,650900000,781064000,699487000,700193000,795343000,900920000,925313000,918598000,1000594000,923818000,966780000,805754000,785088000,778130000,628141000,686606000,605700000,2650700000,2741800000,2108500000,1898600000,1800100000,1620000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,393900000,409100000,441600000,454700000,489600000,519900000,535600000,558900000,609000000,661900000,745200000,859100000,991100000,1004200000,1298800000,1585427000,1651913000,1625081000,1900502000,2135552000,2353193000,2514279000,2631126000,2537936000,2554865000,2519790000,2517443000,2592987000,2183491000,2342136000,2249300000,5270300000,5250200000,4311900000,3790600000,3657400000,3507200000
48,Accounts Payable,- -,- -,- -,- -,18200000,20300000,33500000,30900000,44600000,61000000,66900000,94700000,104000000,89900000,96400000,111055000,143421000,90713000,115133000,140324000,180725000,158388000,170632000,195483000,147496000,214288000,221964000,224973000,210399000,261708000,281700000,560500000,562200000,509500000,471500000,499900000,706300000
49,Short-Term Debt,1000000,1000000,1000000,1000000,1300000,1500000,1000000,- -,- -,- -,- -,- -,- -,- -,117500000,263609000,229703000,226259000,190172000,289510000,34472000,11324000,14807000,10596000,16915000,15038000,21722000,34212000,43791000,25575000,32000000,106900000,66700000,49500000,95300000,66400000,101600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81011000,- -,87881000,- -,136135000,170921000,301248000,195164000,200778000,205173000,241992000,222343000,234607000,275119000,229200000,404200000,437500000,378200000,320500000,346800000,322400000
52,Other Current Liabilities,79800000,75700000,87900000,73800000,70500000,94200000,81300000,86700000,93900000,94500000,119100000,133500000,138100000,145600000,168500000,192128000,203883000,247990000,225467000,298789000,228699000,258103000,263951000,334154000,377902000,375266000,338539000,357327000,404939000,465321000,412900000,752900000,733000000,631200000,712300000,736400000,619100000
53,Total Current Liabilities,80800000,76700000,88900000,74800000,90000000,116000000,115800000,117600000,138500000,155500000,186000000,228200000,242100000,235500000,382400000,566792000,658018000,564962000,618653000,728623000,580031000,598736000,750638000,735397000,743091000,809765000,824217000,838855000,893736000,1027723000,955800000,1824500000,1799400000,1568400000,1599600000,1649500000,1749400000
54,Long-Term Debt,8000000,7000000,6000000,5000000,4500000,3300000,2000000,- -,- -,- -,- -,- -,20800000,20800000,20800000,20800000,20800000,- -,- -,- -,454722000,665481000,609264000,594588000,540000000,550368000,606154000,617534000,480242000,479794000,613100000,1691400000,1787100000,2190000000,2215100000,2428800000,2348600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4900000,5200000,5700000,14100000,12700000,10300000,8300000,2000000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11579000,49035000,28412000,39393000,35307000,45060000,31126000,32029000,34250000,9150000,6527000,1900000,300600000,287100000,221600000,134500000,103400000,105500000
57,Other Non-Current Liabilities,100000,- -,-100000,- -,2900000,5200000,5300000,28900000,29700000,32200000,39200000,42200000,42700000,45100000,46800000,56509000,60603000,104973000,113258000,109343000,95010000,102898000,103240000,208386000,154688000,138717000,196783000,257037000,179548000,273203000,243000000,384900000,377700000,361100000,326800000,288200000,140700000
58,Total Non-Current Liabilities,13000000,12200000,11600000,19100000,20100000,18800000,15600000,30900000,31900000,32200000,39200000,42200000,63500000,65900000,67600000,77309000,81403000,104973000,113258000,120922000,598767000,796791000,751897000,838281000,739748000,720211000,834966000,908821000,668940000,759524000,858000000,2376900000,2451900000,2772700000,2676400000,2820400000,2594800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169200000,148800000,157500000
61,Total Liabilities,93800000,88900000,100500000,93900000,110100000,134800000,131400000,148500000,170400000,187700000,225200000,270400000,305600000,301400000,450000000,644101000,739421000,669935000,731911000,849545000,1178798000,1395527000,1502535000,1573678000,1482839000,1529976000,1659183000,1747676000,1562676000,1787247000,1813800000,4201400000,4251300000,4341100000,4276000000,4469900000,4344200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89400000,90024000,90245000,91237000,92244000,92792000,93408000,93932000,94474000,94752000,95116000,95456000,96051000,97076000,98273000,99048000,99600000,112400000,113200000,114200000,115300000,116900000,118300000
64,Retained Earnings,215300000,235400000,255100000,273500000,290900000,289200000,303800000,204500000,328700000,365500000,412400000,478700000,566700000,604200000,691400000,784063000,805182000,856808000,982342000,1113059000,1140468000,1169607000,1036824000,1054873000,1011448000,919296000,991210000,996834000,722743000,762214000,760300000,662700000,399000000,-168300000,-472300000,-742300000,-822400000
65,Other Comprehensive Income/Loss,-36800000,-41500000,-49200000,-58200000,-64900000,-70700000,-75500000,-80900000,-85700000,-86700000,-93500000,-107200000,-115700000,-131300000,-159900000,-188547000,-222855000,-108026000,-43396000,-10948000,-23724000,-4269000,128354000,-72924000,59279000,73626000,-40343000,-91039000,-54321000,-190525000,-318100000,-341300000,-196300000,-303700000,-375300000,-412900000,-378500000
66,Other Total Stockholders Equity,121600000,126300000,135200000,145500000,153500000,166600000,175900000,286800000,195600000,195400000,201100000,217200000,234500000,229900000,227900000,255786000,239920000,100804000,117048000,65572000,-57303000,-167869000,-144818000,-130100000,-119464000,-127223000,-219932000,-192908000,-169931000,-139133000,-129400000,157600000,154100000,171400000,202000000,211200000,237500000
67,Total Stockholders Equity,300100000,320200000,341100000,360800000,379500000,385100000,404200000,410400000,438600000,474200000,520000000,588700000,685500000,702800000,848800000,941326000,912492000,940823000,1148238000,1260475000,1152849000,1091401000,1114834000,946601000,1046379000,961155000,826986000,809963000,596764000,531604000,412400000,591400000,470000000,-186400000,-530300000,-827100000,-845100000
68,Total Liabilities And Stockholders Equity,393900000,409100000,441600000,454700000,489600000,519900000,535600000,558900000,609000000,661900000,745200000,859100000,991100000,1004200000,1298800000,1585427000,1651913000,1610758000,1880149000,2110020000,2331647000,2486928000,2617369000,2520279000,2529218000,2491131000,2486169000,2557639000,2159440000,2318851000,2226200000,4792800000,4721300000,4154700000,3745700000,3642800000,3499100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14323000,20353000,25532000,21546000,27351000,13757000,17657000,25647000,28659000,31274000,35348000,24051000,23285000,23100000,477500000,528900000,157200000,44900000,14600000,8100000
70,Total Liabilities & Equity,393900000,409100000,441600000,454700000,489600000,519900000,535600000,558900000,609000000,661900000,745200000,859100000,991100000,1004200000,1298800000,1585427000,1651913000,1625081000,1900502000,2135552000,2353193000,2514279000,2631126000,2537936000,2554865000,2519790000,2517443000,2592987000,2183491000,2342136000,2249300000,5270300000,5250200000,4311900000,3790600000,3657400000,3507200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28823/000002882321000059/0000028823-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/28823/000002882322000058/0000028823-22-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,36200000,27100000,35700000,23200000,48400000,63500000,76200000,97400000,122500000,76100000,128900000,136919000,66893000,99154000,174776000,183957000,96746000,86547000,39541000,88583000,26026000,-20252000,144815000,78454000,-181605000,114417000,73700000,-33000000,-233100000,-568700000,-341300000,-269100000,-78800000
74,Depreciation and Amortization,- -,- -,- -,- -,11900000,12600000,12800000,12500000,13600000,14200000,29500000,33000000,28500000,25600000,34700000,35901000,45453000,61296000,64301000,74983000,76239000,69810000,63380000,80470000,77693000,79253000,79855000,78644000,82594000,74072000,64000000,134800000,252200000,258700000,226100000,180400000,149100000
75,Deferred Income Tax,- -,- -,- -,- -,-1800000,-700000,-3100000,-4200000,-3000000,-13700000,-4500000,-5300000,1100000,-4200000,8500000,15305000,-27451000,12980000,-10166000,28486000,10063000,-38388000,9571000,-12547000,50379000,-47777000,- -,-10558000,-15125000,-11305000,-40100000,-94600000,16600000,-59600000,54200000,-27100000,-12600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12189000,11910000,12541000,14296000,13840000,15432000,21545000,12400000,22200000,33900000,36600000,24000000,14900000,13800000
77,Change in Working Capital,- -,- -,- -,- -,-2100000,4400000,-10900000,20200000,17500000,-9000000,-46100000,-53900000,-58400000,23500000,-7600000,-81847000,2176000,-55610000,-27099000,-62908000,-57140000,88252000,-23389000,90018000,87723000,70093000,-28391000,-42850000,77564000,-15307000,-82500000,151500000,-66700000,-56200000,115600000,-1700000,29400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10633000,123400000,-69377000,-22790000,-75275000,23983000,-58588000,-56400000,100900000,23200000,51000000,111500000,-19700000,16400000
79,Inventory,- -,- -,- -,- -,8700000,-4600000,-10100000,20200000,6400000,-10600000,-5500000,-18400000,-18700000,200000,-4600000,-7003000,-27498000,4688000,-10541000,-52430000,-23558000,-24768000,8955000,-53650000,76001000,3136000,-12602000,20955000,21337000,-53241000,-51200000,124300000,17700000,-5100000,104900000,-14800000,-84800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36480000,-54193000,65768000,11741000,2564000,-9659000,59278000,57600000,-112100000,-6300000,-34500000,-33100000,10600000,241400000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,-29798000,113888000,-40454000,64961000,-23283000,38115000,71730000,-129054000,162646000,-95309000,-2460000,19919000,28476000,40178000,143601000,-47700000,-73000000,-33600000,-38700000,-50800000,11100000,-99100000
82,Other Non-Cash Items,- -,- -,- -,- -,22300000,7700000,13900000,34800000,18100000,-13700000,16100000,22400000,17600000,56200000,24100000,39917000,67285000,45681000,8087000,8130000,-9043000,44203000,61157000,25978000,45607000,179495000,4822000,17978000,145364000,3484000,9200000,-152500000,34200000,285100000,57200000,120600000,22400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,66500000,51100000,48400000,86500000,94600000,41300000,71200000,93600000,111300000,177200000,188600000,146195000,154356000,163501000,209899000,232648000,116865000,250424000,150260000,284691000,299338000,273353000,215397000,135508000,124224000,186906000,36700000,28400000,37100000,-104100000,135800000,18000000,123300000
84,CAPEX,- -,- -,- -,- -,-9900000,-22200000,-9100000,-12000000,-18300000,-22600000,-35300000,-33600000,-67700000,-30800000,-199400000,-42694000,-68656000,-50338000,-72820000,-61238000,-62605000,-44277000,-43259000,-57932000,-44287000,-72176000,-54753000,-49742000,-35447000,-61453000,-52300000,-39500000,-69400000,-58500000,-42900000,-44700000,-51300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143332000,-36767000,-3682000,-10611000,-62224000,-27701000,-62156000,-18122000,-4461000,-5364000,1815000,2520000,-28292000,- -,-11749000,-59400000,-853300000,15300000,5200000,29900000,-37000000,1100000
86,Purchases of Investments,- -,- -,- -,- -,-120500000,-84700000,-104000000,-121000000,-140000000,- -,-66100000,-69500000,-44500000,-78300000,-142200000,-35642000,-65711000,-35033000,-56974000,-40157000,-61007000,-126887000,-50588000,-357091000,-241921000,-480506000,-356354000,-377070000,-537682000,-428652000,-125500000,-243500000,-329800000,-200200000,-222200000,-241300000,-288400000
