,https://roic.ai/company/POOL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5300000,7600000,9000000,10700000,18700000,29000000,43200000,59400000,79400000,97100000,116050000,158168000,182845000,227112000,257240000,292191000,372566000,396872000,399752000,361284000,370017000,406523000,415592000,425791000,454470000,459422000,485228000,520918000,556284000,583679000,659931000,786808000
11,COGS and Expenses,30000000,41000000,49700000,61600000,95800000,151600000,226000000,320100000,433100000,532000000,621517000,791528000,910559000,1067806000,1197259000,1412402000,1742380000,1794593000,1668207000,1451354000,1512501000,1668251000,1802159000,1914214000,2057692000,2146917000,2314944000,2503817000,2684208000,2858271000,3465652000,4465300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-100000,-300000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9667000,6619000,7964000,6469000,6748000,7485000,8072000,14481000,15189000,20896000,23772000,12353000,8639000
14,Depreciation and Amortization,- -,- -,- -,- -,1600000,2100000,2500000,2600000,3300000,4600000,5131000,8107000,6842000,8940000,10275000,9798000,12904000,13983000,13454000,11545000,11328000,11305000,12876000,14596000,15882000,17388000,21977000,25725000,27915000,29274000,29398000,30026000
15,EBITDA,-400000,2200000,4100000,5600000,3500000,5100000,9900000,14000000,25000000,38600000,50353000,66692000,74552000,92297000,120014000,145088000,166687000,126531000,108321000,71371000,112678000,136581000,158061000,180264000,204618000,233872000,278344000,310529000,342046000,370782000,493720000,863101000
16,EBITDA ratio,-0.0125,0.0503,0.0758,0.0832,0.0343,0.0317,0.0420,0.0418,0.0546,0.0677,0.0752,0.0779,0.0758,0.0799,0.0916,0.0934,0.0873,0.0656,0.0607,0.0464,0.0698,0.0762,0.0809,0.0867,0.0911,0.0990,0.1083,0.1114,0.1141,0.1159,0.1254,0.1630
17,Operating Income,2100000,2700000,4400000,5700000,6200000,9500000,9800000,14900000,24500000,37800000,48244000,64524000,72687000,88026000,113594000,140257000,167382000,133774000,115476000,88440000,101245000,125067000,144869000,165486000,188870000,216222000,255859000,284371000,313889000,341246000,464027000,832784000
18,Operating Income ratio,0.0654,0.0618,0.0813,0.0847,0.0608,0.0590,0.0416,0.0445,0.0535,0.0663,0.0720,0.0754,0.0739,0.0762,0.0867,0.0903,0.0876,0.0694,0.0647,0.0574,0.0627,0.0697,0.0741,0.0796,0.0841,0.0915,0.0995,0.1020,0.1047,0.1067,0.1179,0.1573
19,Total Other Income Expenses (Gains),-2400000,-200000,-200000,- -,-4300000,-5700000,-2400000,-3500000,-2800000,-3300000,-3022000,-5939000,-4977000,-4669000,-3855000,-6434000,-15196000,-22148000,-18912000,-9667000,-6619000,-7964000,-6469000,-6748000,-7485000,-8072000,-14481000,-15189000,-20896000,-23772000,-12353000,-8639000
20,Income Before Tax,-300000,2500000,4200000,5700000,1900000,3800000,7400000,11400000,21700000,34500000,45222000,58585000,67710000,83357000,109739000,133823000,152186000,111626000,96564000,78773000,94626000,117103000,138400000,158738000,181385000,208150000,241378000,269182000,292993000,317474000,451674000,824145000
21,Income Before Tax Ratio,-0.0093,0.0572,0.0776,0.0847,0.0186,0.0236,0.0314,0.0340,0.0474,0.0605,0.0675,0.0684,0.0689,0.0721,0.0837,0.0862,0.0797,0.0579,0.0541,0.0512,0.0586,0.0653,0.0708,0.0763,0.0807,0.0881,0.0939,0.0965,0.0977,0.0992,0.1147,0.1556
22,Income Tax expense (Gain),- -,- -,100000,- -,800000,1500000,2900000,4300000,8000000,12900000,17146000,23141000,26407000,32509000,42798000,51669000,58759000,43154000,37911000,30957000,37093000,45319000,56744000,61590000,70559000,80137000,92931000,77982000,58774000,56161000,85231000,173812000
23,Net Income,-300000,2500000,4200000,5700000,1100000,1500000,4500000,7100000,13700000,21100000,28076000,35444000,41303000,50848000,66941000,83621000,95024000,69394000,56956000,19202000,57638000,71993000,81972000,97330000,110692000,128275000,148955000,191633000,234461000,261575000,366738000,650624000
24,Net Income ratio,-0.0093,0.0572,0.0776,0.0847,0.0108,0.0093,0.0191,0.0212,0.0299,0.0370,0.0419,0.0414,0.0420,0.0440,0.0511,0.0539,0.0498,0.0360,0.0319,0.0125,0.0357,0.0401,0.0420,0.0468,0.0493,0.0543,0.0579,0.0687,0.0782,0.0818,0.0932,0.1229
25,EPS,-0.01,0.10,0.17,0.23,0.07,0.10,0.09,0.14,0.23,0.36,0.49,0.62,0.76,0.96,1.27,1.59,1.83,1.42,1.19,0.39,1.17,1.49,1.75,2.10,2.50,2.98,3.56,4.69,5.82,6.57,9.14,16.22
26,EPS Diluted,-0.01,0.10,0.17,0.23,0.07,0.10,0.09,0.14,0.23,0.35,0.47,0.59,0.72,0.91,1.19,1.50,1.74,1.37,1.18,0.39,1.15,1.47,1.71,2.05,2.44,2.90,3.47,4.51,5.62,6.40,8.97,15.99
27,Weighted Average Shares Outstanding,23800000,24700000,24700000,24700000,16117216,16095203,48102609,48736687,58856625,58274437,57341250,57206250,54519750,53058000,52838000,52445000,51866000,48887000,47758000,48649000,49469000,48158000,46937000,46282000,44281000,43105000,41872000,40838000,40311000,39833000,40106000,40101000
28,Weighted Average Shares Outstanding Diluted,23800000,24700000,24700000,24700000,16849716,17117151,49070812,50050406,60299437,60147562,59879250,60131250,57431250,55773000,56139000,55634000,54662000,50802000,48444000,49049000,50161000,48987000,48058000,47530000,45441000,44254000,42984000,42449000,41693000,40865000,40865000,40691000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584102000008/pool10k2001.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584103000005/pool10k2002.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584104000045/pool10k03.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584105000053/pool10kparen.htm,https://www.sec.gov/Archives/edgar/data/945841/000119312506047003/d10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584107000018/pool10k2006.htm,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584109000010/0000945841-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584110000036/0000945841-10-000036-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584111000020/pool201010k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584112000018/0000945841-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584113000019/0000945841-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584114000019/pool-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584115000034/pool-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584116000190/0000945841-16-000190-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584118000020/0000945841-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584119000013/0000945841-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584120000041/0000945841-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584121000022/0000945841-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584122000023/0000945841-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,900000,800000,2000000,4600000,22300000,4900000,4000000,3431000,3524000,5132000,12812000,21762000,26866000,16734000,15825000,15762000,15843000,9721000,17487000,12463000,8006000,14830000,13237000,21956000,29940000,16358000,28583000,34128000,24321000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,900000,800000,2000000,4600000,22300000,4900000,4000000,3431000,3524000,5132000,12812000,21762000,26866000,16734000,15825000,15762000,15843000,9721000,17487000,12463000,8006000,14830000,13237000,21956000,29940000,16358000,28583000,34128000,24321000
34,Net Receivables,- -,- -,- -,3000000,5300000,12100000,25300000,24800000,34600000,40900000,53255000,60231000,70142000,83824000,97589000,141785000,154937000,141117000,115584000,96364000,101543000,110555000,113859000,45138000,51014000,54173000,61437000,76597000,69493000,76648000,122252000,376571000
35,Inventory,- -,- -,- -,7100000,13300000,25200000,42100000,48300000,69400000,84300000,116849000,181462000,183720000,193905000,195787000,330575000,332069000,379663000,405914000,355528000,347439000,386924000,400308000,429197000,466962000,474275000,486116000,536474000,672579000,702274000,780989000,1339100000
36,Other Current Assets,- -,- -,- -,100000,300000,600000,1100000,1100000,3300000,3200000,4645000,5116000,4080000,5855000,8397000,13167000,15681000,17404000,19584000,23582000,17889000,23035000,16466000,95408000,104407000,120059000,126048000,139237000,156814000,166063000,184558000,29093000
37,Total Current Assets,- -,- -,- -,11100000,19700000,39900000,73100000,96500000,112200000,132400000,178180000,250333000,263074000,296396000,323535000,512393000,519421000,554009000,556844000,491317000,476592000,538001000,543096000,577749000,637213000,661744000,695557000,782248000,915244000,973568000,1121927000,1769085000
38,PP&E,- -,- -,- -,900000,1300000,3500000,4400000,4800000,5400000,6800000,9229000,15844000,20921000,24643000,18595000,25598000,33633000,34223000,33048000,31432000,30685000,41394000,46566000,52328000,56475000,69854000,83290000,100939000,106964000,288935000,314116000,420670000
39,Goodwill,- -,- -,- -,27300000,- -,- -,- -,- -,- -,- -,- -,73582000,- -,- -,- -,- -,154244000,155247000,169567000,176923000,178516000,177103000,169983000,171974000,173924000,172761000,184795000,189435000,188472000,188596000,268167000,- -
40,Intangible Assets,- -,- -,- -,- -,26700000,29700000,33000000,32600000,43900000,49700000,59744000,- -,115707000,126771000,117304000,162384000,18726000,14504000,13339000,13917000,12965000,11738000,11053000,10196000,11995000,11845000,13326000,13223000,12004000,11038000,12181000,- -
41,Intangible Assets,- -,- -,- -,27300000,26700000,29700000,33000000,32600000,43900000,49700000,59744000,73582000,115707000,126771000,117304000,162384000,172970000,169751000,182906000,190840000,191481000,188841000,181036000,182170000,185919000,184606000,198121000,202658000,200476000,199634000,280348000,1001178000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,33000000,- -,31000000,1006000,966000,980000,1160000,1243000,1244000,1231000,1172000,1127000,1213000,1227000,1292000,1231000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12742000,17275000,21324000,- -,- -,22457000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,3200000,3000000,2300000,2700000,2600000,2300000,5200000,4752000,8831000,2392000,2462000,21432000,6261000,2796000,39596000,5784000,28504000,28821000,6949000,8718000,10271000,12086000,18596000,15955000,14090000,16974000,19902000,21987000,37967000
45,Total Non-Current Assets,- -,- -,- -,31400000,31000000,35500000,40100000,40000000,51600000,61700000,73725000,98257000,139020000,153876000,157331000,224243000,255141000,260845000,274062000,251782000,251953000,260621000,237480000,246012000,255724000,274287000,298538000,318814000,325627000,509698000,617743000,1461046000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,42500000,50700000,75400000,113200000,136500000,163800000,194100000,251905000,348590000,402094000,450272000,480866000,736636000,774562000,814854000,830906000,743099000,728545000,798622000,780576000,823761000,892937000,936031000,994095000,1101062000,1240871000,1483266000,1739670000,3230131000
48,Accounts Payable,- -,- -,- -,3300000,6400000,12700000,15100000,20300000,34600000,51100000,68144000,95588000,93307000,118312000,113114000,174170000,177544000,194178000,173688000,178391000,169700000,177437000,199787000,214596000,236294000,246554000,230728000,245249000,237835000,261963000,266753000,398697000
49,Short-Term Debt,- -,- -,- -,- -,2000000,2900000,15400000,6700000,5000000,5000000,6250000,91000,885000,82668000,43945000,67007000,78636000,71766000,26903000,48236000,134000,22000,23000,9000,1529000,1700000,1105000,10835000,9168000,11745000,72802000,80842000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20676000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,2700000,2800000,3100000,7900000,6100000,10900000,12600000,14878000,17798000,24708000,24997000,38287000,76645000,35610000,37216000,61701000,33886000,41704000,53398000,48186000,49301000,54085000,56591000,64387000,65482000,58607000,117138000,143694000,264877000
53,Total Current Liabilities,- -,- -,- -,6000000,11200000,18700000,38400000,33100000,50500000,68700000,89272000,113477000,118900000,225977000,195346000,317822000,291790000,303160000,262292000,260513000,211538000,230857000,247996000,263906000,291908000,304845000,296220000,321566000,305610000,390846000,483249000,744416000
54,Long-Term Debt,- -,- -,- -,34600000,36000000,23600000,35900000,33100000,28700000,22800000,34741000,85000000,125175000,3607000,50420000,129100000,188157000,279525000,301000000,200700000,198700000,247300000,230882000,246418000,319309000,328015000,436937000,508815000,657593000,499662000,551037000,1346937000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,400000,800000,2100000,3600000,4000000,5100000,4697000,5541000,12536000,20958000,11625000,14600000,15023000,17714000,20032000,21920000,25593000,32993000,13453000,19108000,23504000,29808000,34475000,24585000,29399000,32598000,27653000,35840000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,- -,- -,100000,- -,-100000,- -,- -,3542000,4489000,3140000,2134000,1908000,5664000,5848000,7779000,7532000,7726000,6622000,8147000,13864000,17620000,21253000,22950000,24679000,149980000,38261000,31545000
58,Total Non-Current Liabilities,- -,- -,- -,34600000,36500000,24400000,38000000,36800000,32700000,27800000,39438000,90541000,141253000,29054000,65185000,145834000,205088000,302903000,326880000,230399000,231825000,288019000,250957000,273673000,356677000,375443000,492665000,556350000,711671000,682240000,616951000,1414322000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178335000,207821000,244429000
61,Total Liabilities,- -,- -,- -,40600000,47700000,43100000,76400000,69900000,83200000,96500000,128710000,204018000,260153000,255031000,260531000,463656000,496878000,606063000,589172000,490912000,443363000,518876000,498953000,537579000,648585000,680288000,788885000,877916000,1017281000,1073086000,1100200000,2158738000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,27000,23000,35000,52000,52000,50000,47000,48000,49000,49000,47000,46000,45000,44000,43000,41000,40000,40000,40000,40000,- -
64,Retained Earnings,- -,- -,- -,- -,1100000,2700000,7200000,14300000,28000000,49100000,77167000,112611000,78847000,126359000,141772000,176362000,129932000,29044000,54407000,47128000,67681000,34299000,5377000,-27278000,-90650000,-104709000,-183915000,-196316000,-218646000,-64740000,133870000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-400000,-1000000,-1600000,-2200000,-3300000,-4400000,-4393000,-10009000,-20113000,-25315000,-23812000,2000000,6000000,7704000,-2000000,2000000,1000000,2000000,-68256000,3000000,-4000000,-14000000,-14000000,-7000000,-11000000,-10000000,-14019000,-7484000
66,Other Total Stockholders Equity,- -,- -,- -,1900000,2300000,30600000,31200000,54500000,55900000,52900000,50404000,41943000,83184000,94162000,102323000,94566000,141702000,- -,189279000,203010000,216452000,243400000,344456000,310415000,338958000,374409000,403084000,426422000,453196000,484880000,519579000,- -
67,Total Stockholders Equity,- -,- -,- -,1900000,3000000,32300000,36800000,66600000,80600000,97600000,123195000,144572000,141941000,195241000,220335000,272980000,277684000,208791000,241734000,252187000,285182000,279746000,281623000,286182000,244352000,255743000,205210000,223146000,223590000,410180000,639470000,1071393000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,42500000,50700000,75400000,113200000,136500000,163800000,194100000,251905000,348590000,402094000,450272000,480866000,736636000,774562000,814854000,830906000,743099000,728545000,798622000,780576000,823761000,892937000,936031000,994095000,1101062000,1240871000,1483266000,1739670000,3230131000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,42500000,50700000,75400000,113200000,136500000,163800000,194100000,251905000,348590000,402094000,450272000,480866000,736636000,774562000,814854000,830906000,743099000,728545000,798622000,780576000,823761000,892937000,936031000,994095000,1101062000,1240871000,1483266000,1739670000,3230131000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584102000008/pool10k2001.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584103000005/pool10k2002.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584104000045/pool10k03.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584105000053/pool10kparen.htm,https://www.sec.gov/Archives/edgar/data/945841/000119312506047003/d10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584107000018/pool10k2006.htm,- -,https://www.sec.gov/Archives/edgar/data/945841/000094584109000010/0000945841-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584110000036/0000945841-10-000036-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584111000020/pool201010k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584112000018/0000945841-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584113000019/0000945841-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584114000019/pool-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584115000034/pool-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584116000190/0000945841-16-000190-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584118000020/0000945841-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584119000013/0000945841-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584120000041/0000945841-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/945841/000094584121000022/0000945841-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945841/000094584122000023/0000945841-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1100000,1500000,4500000,7100000,13700000,21100000,28076000,35444000,41303000,50848000,66941000,83621000,95024000,69394000,56956000,19202000,57638000,71993000,81972000,97330000,110692000,128275000,148955000,191633000,234461000,261575000,366738000,650624000
74,Depreciation and Amortization,- -,- -,- -,- -,1600000,2100000,2500000,2600000,3300000,4600000,5131000,8107000,6842000,8940000,10275000,9798000,12904000,13983000,13454000,11545000,11328000,11305000,12876000,14596000,15882000,17388000,21977000,25725000,27915000,29274000,29398000,30026000
75,Deferred Income Tax,- -,- -,- -,- -,300000,900000,1000000,1300000,-600000,100000,-988000,1380000,5937000,7456000,703000,-5096000,-4521000,-3747000,-2198000,- -,- -,- -,3168000,707000,6986000,4198000,3749000,-4636000,4661000,3723000,-2542000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6429000,7790000,8233000,8465000,8150000,9065000,9543000,9902000,12482000,12874000,13472000,14516000,15187000
77,Change in Working Capital,- -,- -,- -,- -,-3500000,12700000,13500000,28700000,-1700000,2000000,25208000,47948000,7318000,-73755000,57770000,66382000,33060000,23218000,43703000,-63748000,34250000,42090000,-12044000,18743000,31462000,11594000,42438000,61345000,148952000,-26912000,55956000,-392343000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-5600000,-3700000,4900000,-7100000,-8800000,-3100000,-23195000,-34912000,16635000,2030000,-2681000,-103579000,5882000,-48001000,-11098000,56676000,15951000,-35339000,-9232000,-27291000,-30409000,-10848000,-8050000,-35783000,-142170000,-14165000,-42447000,-525207000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1815000,-14417000,6402000,20253000,14007000,20090000,9956000,-17896000,5077000,-6567000,16860000,-9212000,114893000
81,Other Working Capital,- -,- -,- -,- -,8500000,21200000,34700000,63400000,61700000,63700000,88908000,136856000,144174000,70419000,128189000,194571000,227631000,250849000,294552000,230804000,265054000,307144000,295100000,313843000,345305000,356899000,399337000,460682000,609634000,582722000,638678000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,900000,-16400000,-13900000,-32400000,4700000,9500000,-39124000,-66126000,-2241000,84645000,-79737000,-116620000,-67457000,-31204000,-18633000,139822000,-17047000,-58518000,24641000,-34438000,-52272000,-24948000,-61643000,-111238000,-310207000,17644000,-66485000,9996000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,400000,800000,7600000,7300000,19400000,37300000,18303000,26753000,59159000,78134000,55952000,38085000,69010000,71644000,93282000,113250000,93959000,75103000,119078000,105088000,121815000,146050000,165378000,175311000,118656000,298776000,397581000,313490000
84,CAPEX,- -,- -,- -,- -,-400000,-900000,-800000,-1100000,-31700000,-29600000,-4289000,-6325000,-6430000,-8351000,-6063000,-8361000,-14777000,-10626000,-7003000,-7168000,-8078000,-19454000,-16271000,-18742000,-17328000,-29095000,-34352000,-39390000,-31580000,-33362000,-21702000,-37658000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24879000,-50684000,-45350000,-21772000,-644000,-89963000,-26662000,-2087000,-34301000,-10937000,-6173000,-5934000,-4699000,-1244000,-10648000,-4483000,-19730000,-12834000,-2578000,-8901000,-124587000,-811956000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6961000,-3539000,- -,- -,- -,- -,- -,-190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2100000,-10900000,-1600000,100000,900000,700000,27000,52000,14000,- -,- -,- -,- -,- -,- -,- -,-8078000,- -,-238000,125000,165000,-4215000,-1561000,4000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2500000,-11800000,-2400000,-1000000,-30800000,-28900000,-29141000,-56957000,-51766000,-30123000,-13668000,-101863000,-41439000,-12638000,-41304000,-18105000,-14251000,-25578000,-21208000,-19861000,-27811000,-37793000,-55643000,-52220000,-34158000,-42263000,-146289000,-849614000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-583491000,-506793000,-700898000,-624363000,-715410000,-766504000,-898354000,-1091594000,-1029580000,-1017296000,-1444274000,-1168564000,-993133000
91,Common Stock Issued,- -,- -,- -,- -,- -,20500000,- -,22700000,200000,2800000,1799000,3125000,1111000,4322000,6917000,19322000,7220000,7292000,6423000,4283000,6293000,13085000,20205000,21409000,13530000,18269000,11752000,11466000,13569000,18574000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6200000,-4377000,-16958000,-47505000,-3336000,-40823000,-32091000,-111112000,-139676000,-7718000,-1171000,-13683000,-76564000,-81761000,-96179000,-136466000,-99219000,-178414000,-146006000,-187469000,-23188000,-76199000,-138039000
