,https://roic.ai/company/NAII,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4062000,3810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11303000,4268000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276000,- -,- -,271000,- -,- -,1388000,1471000,1527000,1593000,1663000,2227000,2002000,- -,- -,196000,214000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,600000,500000,1000000,3100000,2382000,553000,219000,143000,198000,185000,182000,169000,160000,159000,195000,517000,560000,585000,951000,920000,899000,774000,734000,1019000,1106000,1571000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,7900000,8800000,11500000,15400000,17419000,14031000,12658000,10963000,11578000,16968000,27428000,19496000,13254000,14292000,13163000,13316000,12678000,11317000,11355000,10216000,18293000,20912000,20024000,22104000,41179000,39933000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,23600000,27700000,43000000,38600000,34875000,25068000,27510000,30724000,42468000,44138000,62453000,47380000,47010000,36439000,36148000,41144000,47197000,46640000,52258000,53816000,74175000,72611000,85207000,93490000,120203000,120281000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3700000,6900000,12300000,8300000,4422000,4149000,4927000,5001000,7567000,7973000,5221000,6330000,7245000,4327000,2049000,2232000,3918000,3539000,6418000,4647000,12821000,5116000,9649000,8634000,12509000,11893000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,300000,200000,100000,100000,5034000,1131000,587000,570000,831000,861000,11340000,1825000,2730000,669000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1721000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,700000,300000,800000,700000,405000,392000,613000,1869000,5024000,3938000,5292000,3513000,5671000,3254000,2583000,2715000,2918000,2403000,3182000,4446000,6384000,5154000,4631000,5616000,5297000,8458000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4700000,7400000,13200000,9100000,9861000,5672000,6127000,7440000,13422000,12772000,21853000,11668000,15646000,8250000,4632000,4947000,6836000,5942000,9600000,9093000,19205000,10270000,14280000,14250000,27806000,22072000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1300000,1100000,1000000,900000,3345000,3567000,1576000,2386000,3841000,2979000,4596000,2756000,- -,598000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16481000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054000,906000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,400000,500000,500000,600000,766000,- -,- -,- -,717000,- -,1260000,1620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532000,1018000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,2900000,417000,225000,199000,121000,360000,1470000,1453000,1314000,1362000,505000,- -,719000,493000,359000,220000,863000,1244000,1193000,2147000,2138000,21022000,1645000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1700000,1600000,2100000,4400000,4528000,3792000,1775000,2507000,4918000,4449000,7309000,5690000,1362000,2157000,906000,719000,493000,359000,220000,863000,1244000,1193000,2679000,3156000,21022000,18126000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18782000,16481000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,6400000,9000000,15300000,13500000,14389000,9464000,7902000,9947000,18340000,17221000,29162000,17358000,17008000,10407000,5538000,5666000,7329000,6301000,9820000,9956000,20449000,11463000,16959000,17406000,48828000,40198000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,60000,60000,61000,61000,60000,61000,67000,69000,71000,71000,72000,72000,72000,73000,74000,75000,77000,79000,85000,87000,87000,88000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,10900000,12000000,17900000,15000000,10498000,5609000,9488000,10593000,13593000,15792000,18462000,13177000,12806000,8726000,12853000,17939000,22097000,23667000,25661000,29007000,38553000,45788000,50839000,57380000,56181000,66949000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-4600000,-5800000,-7200000,-8700000,-10720000,-12977000,-15231000,-17083000,-18789000,-17797000,-20860000,-22573000,-24517000,-26310000,-28989000,-31100000,-31673000,-34059000,-35494000,-1000000,-1000000,-1000000,-1000000,-37032000,-1000000,-561000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,10900000,12500000,17000000,18700000,20648000,22912000,25290000,27206000,29264000,28861000,35622000,39349000,41642000,43545000,46674000,48567000,49372000,50658000,52197000,15778000,16096000,16281000,18324000,55649000,16107000,13607000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,17200000,18700000,27700000,25100000,20486000,15604000,19608000,20777000,24128000,26917000,33291000,30022000,30002000,26032000,30610000,35478000,39868000,40339000,42438000,43860000,53726000,61148000,68248000,76084000,71375000,80083000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,23600000,27700000,43000000,38600000,34875000,25068000,27510000,30724000,42468000,44138000,62453000,47380000,47010000,36439000,36148000,41144000,47197000,46640000,52258000,53816000,74175000,72611000,85207000,93490000,120203000,120281000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,23600000,27700000,43000000,38600000,34875000,25068000,27510000,30724000,42468000,44138000,62453000,47380000,47010000,36439000,36148000,41144000,47197000,46640000,52258000,53816000,74175000,72611000,85207000,93490000,120203000,120281000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/787253/000093639296000812/0000936392-96-000812-index.html,https://www.sec.gov/Archives/edgar/data/787253/000093639297001256/0000936392-97-001256-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/787253/000089843002003502/0000898430-02-003502-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312503050762/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312504156242/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312505182282/0001193125-05-182282-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312506191942/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312507218421/d10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000119312508199297/0001193125-08-199297-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312509198370/0001193125-09-198370-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312510212298/0001193125-10-212298-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312511254365/0001193125-11-254365-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312512399915/0001193125-12-399915-index.html,https://www.sec.gov/Archives/edgar/data/787253/000119312513371742/0001193125-13-371742-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774914017442/0001437749-14-017442-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774915017483/0001437749-15-017483-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774916038893/naii20160531_10k.htm,https://www.sec.gov/Archives/edgar/data/787253/000143774917016018/0001437749-17-016018-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774918017202/0001437749-18-017202-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774919018974/0001437749-19-018974-index.html,https://www.sec.gov/Archives/edgar/data/787253/000143774920019951/0001437749-20-019951-index.htm,https://www.sec.gov/Archives/edgar/data/787253/000143774921022419/0001437749-21-022419-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,300000,800000,1000000,1900000,2000000,3200000,1100000,5900000,-2900000,-4472000,-4889000,3879000,1105000,3000000,2199000,2670000,-5285000,-371000,-4080000,4127000,5086000,4158000,1570000,1994000,3346000,9546000,7235000,5051000,6541000,-1645000,10768000
74,Depreciation and Amortization,- -,- -,400000,500000,500000,800000,1100000,1100000,1300000,1500000,1600000,2182000,2487000,2407000,2477000,2676000,2559000,3138000,3582000,2960000,3143000,3346000,3224000,3018000,3036000,2905000,2431000,1772000,2384000,2908000,3465000,3959000,4338000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,100000,- -,-300000,- -,-1000000,-907000,2293000,- -,- -,-293000,-404000,-530000,169000,66000,-61000,- -,-2956000,598000,34000,199000,-93000,-197000,349000,2393000,212000,-893000,-214000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000,222000,202000,235000,390000,724000,1032000,1334000,1672000,1712000,1430000
77,Change in Working Capital,- -,- -,-300000,- -,- -,- -,- -,11000000,500000,6800000,-4200000,-6505000,-2230000,3360000,3596000,5147000,-3070000,-1226000,3044000,1894000,-4213000,4456000,4528000,4802000,1698000,1922000,3204000,2170000,4752000,9474000,6233000,-5918000,7058000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000,1054000,1409000,-5513000,2032000,-268000,-3067000,-3331000,4807000,-6211000,-1343000,-4319000,-813000
79,Inventory,- -,- -,- -,-500000,-100000,-1900000,-1800000,-1200000,700000,-5800000,1600000,249000,1426000,-3205000,26000,-5018000,-124000,-3279000,2955000,-788000,4815000,2010000,811000,-1856000,-1680000,-2805000,276000,-8204000,7039000,-9838000,-2436000,-1969000,966000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,11000000,11500000,18300000,14100000,7595000,5365000,8725000,12321000,17468000,14398000,13172000,16216000,18110000,13897000,18353000,22881000,27683000,29381000,31303000,34507000,36677000,41429000,50903000,57136000,51218000,58276000
82,Other Non-Cash Items,- -,- -,- -,-900000,300000,-4100000,300000,-14200000,1200000,-11000000,9600000,8053000,6723000,-4843000,-3883000,-7246000,1234000,-7868000,13548000,-1861000,10098000,-4841000,-1028000,-11068000,-2070000,-1908000,-6600000,-4730000,-1615000,-19327000,-11559000,6476000,-2574000
83,Cash Provided by Operating Activities,- -,- -,400000,400000,1800000,-1500000,3500000,1100000,3800000,3200000,3100000,-1649000,4384000,4803000,3295000,3284000,2518000,-3816000,15058000,2688000,4887000,7088000,9087000,1730000,4470000,5347000,2678000,9285000,14137000,1833000,6564000,3691000,20806000
84,CAPEX,- -,- -,-1100000,-500000,-1700000,-2000000,-1800000,-2600000,-2200000,-3500000,-5700000,-5161000,-960000,-1076000,-977000,-3322000,-7706000,-2295000,-2729000,-1372000,-4530000,-2533000,-1717000,-2259000,-1621000,-2679000,-1708000,-10441000,-5354000,-4081000,-5327000,-4541000,-5107000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-200000,-400000,- -,- -,- -,- -,- -,-300000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,300000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-200000,-300000,-100000,-100000,200000,100000,-100000,200000,-700000,-694000,-94000,395000,198000,7000,13000,- -,70000,-44000,-2337000,-1319000,-1672000,-2259000,36000,207000,90000,3000000,25000,-1472000,1519000,35000,68000
89,Cash Used for Investing Activites,- -,- -,-1300000,-1000000,-2100000,-1800000,-1600000,-2400000,-2300000,-3300000,-6700000,-5955000,-1054000,-681000,-779000,-3315000,-7693000,-7912000,-2659000,-1416000,-3036000,-1319000,-1672000,-2259000,-1585000,-2472000,-1618000,-7441000,-5329000,-5553000,-3808000,-4506000,-5039000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1463000,-1267000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,2300000,- -,2500000,- -,500000,400000,1600000,1100000,35000,35000,54000,33000,328000,428000,463000,1085000,194000,- -,50000,28000,- -,37000,- -,- -,- -,- -,- -,38000,- -,35000
