,https://roic.ai/company/SLGN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,193000000,252200000,271300000,248700000,298400000,262394000,268036000,254836000,355995000,- -
57,Other Non-Current Liabilities,30400000,74900000,82100000,97900000,90600000,83100000,85400000,92200000,139300000,195600000,225400000,237600000,279600000,269400000,342100000,331000000,307586000,259100000,228300000,177000000,169500000,162433000,175294000,220211000,216525000,419764000,487881000,926700000
58,Total Non-Current Liabilities,541200000,825800000,803700000,882900000,981600000,927000000,1071900000,979000000,1076000000,1149500000,1045300000,937100000,1208800000,1149000000,1068100000,1104300000,1198311000,1725600000,1837300000,1986900000,1899700000,1772282000,1818150000,2921107000,2618961000,2889208000,4067093000,4719900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,662300000,1079900000,1051500000,1117800000,1281400000,1234000000,1404200000,1296700000,1340900000,1500300000,1389700000,1257300000,1641800000,1639900000,1639300000,1528600000,1622419000,2321100000,2539900000,2607200000,2564200000,2553495000,2679975000,3879384000,3698029000,3907737000,5258713000,6208100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,400000,400000,400000,400000,400000,873000,900000,900000,900000,900000,876000,876000,1751000,1751000,1751000,1751000,- -
64,Retained Earnings,-191600000,-213400000,-208800000,-177900000,-131900000,-108000000,-76700000,-34900000,18900000,60900000,136800000,209500000,295400000,392100000,498200000,628200000,740923000,903000000,1020500000,1169800000,1313500000,1446193000,1558594000,1809845000,1997785000,2141302000,2395395000,- -
65,Other Comprehensive Income/Loss,-167700000,-206200000,-1600000,-1000000,-1400000,-600000,-3200000,-16000000,-41000000,-11400000,-1600000,-14000000,-16000000,15000000,-76000000,-56000000,-63026000,-115000000,-110000000,-38000000,-166000000,-209000000,-224000000,-189000000,-269000000,-260000000,-260953000,-259828000
66,Other Total Stockholders Equity,201300000,239600000,72200000,111500000,75800000,59700000,59300000,65800000,84992000,71105000,72036000,77450000,86740000,92583000,101978000,113162000,- -,-130906000,-157757000,-418857000,-438444000,-598885000,-866055000,-856531000,-849271000,-859731000,-883320000,- -
67,Total Stockholders Equity,-158000000,-179800000,-138000000,-67200000,-57300000,-48700000,-20400000,15100000,63092000,120805000,207436000,273350000,366540000,500083000,524578000,685762000,553599000,657994000,753643000,713843000,709956000,639184000,469415000,766065000,881265000,1023322000,1252873000,1562700000
68,Total Liabilities And Stockholders Equity,504300000,900100000,913500000,1050600000,1224100000,1185300000,1383800000,1311800000,1403992000,1621105000,1597136000,1530650000,2008340000,2139983000,2163878000,2214362000,2176018000,2979094000,3293543000,3321043000,3274156000,3192679000,3149390000,4645449000,4579294000,4931059000,6511586000,7770800000
69,Minority Interest,- -,-100000,- -,- -,-100000,- -,- -,- -,8000,-5000,64000,-50000,60000,17000,422000,38000,- -,6000,-43000,57000,-56000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,504300000,900000000,913500000,1050600000,1224000000,1185300000,1383800000,1311800000,1404000000,1621100000,1597200000,1530600000,2008400000,2140000000,2164300000,2214400000,2176018000,2979100000,3293500000,3321100000,3274100000,3192679000,3149390000,4645449000,4579294000,4931059000,6511586000,7770800000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/849869/000089605895000027/0000896058-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/849869/000089605896000029/0000896058-96-000029-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849869/000119312506053598/0001193125-06-053598-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000119312507043593/0001193125-07-043593-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000119312508042824/0001193125-08-042824-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000119312509042154/0001193125-09-042154-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000119312510043997/0001193125-10-043997-index.htm,- -,https://www.sec.gov/Archives/edgar/data/849869/000119312512088020/0001193125-12-088020-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000119312513083508/0001193125-13-083508-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986914000007/0000849869-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986915000010/0000849869-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986916000051/0000849869-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986917000009/0000849869-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986918000010/0000849869-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986919000009/0000849869-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986920000010/0000849869-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986921000033/0000849869-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/849869/000084986922000018/0000849869-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144646000,- -,- -,- -,- -,- -,- -,- -,- -,- -,308722000,359100000
74,Depreciation and Amortization,42467000,50300000,63800000,66500000,79100000,87600000,90627000,97206000,98303000,115202000,122410000,123443000,127411000,139331000,143964000,145265000,142949000,158801000,165015000,167644000,148089000,142192000,143058000,174062000,191737000,206483000,219098000,255900000
75,Deferred Income Tax,- -,- -,- -,-8100000,16100000,4600000,11749000,13852000,25219000,25742000,42535000,33027000,22394000,-11881000,19597000,15316000,21358000,23763000,-1499000,7125000,38756000,-13278000,45011000,-114969000,23740000,-20859000,24119000,59600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12077000,13018000,14639000,14923000,17078000,18780000,20900000
77,Change in Working Capital,-27101000,-2600000,-16200000,106600000,-65700000,-17000000,65800000,-27800000,114500000,-39900000,17000000,-11200000,84500000,-4500000,-12800000,222400000,-49513000,297813000,-62300000,-213800000,8800000,-206855000,-163692000,233292000,-122579000,177213000,219294000,-155100000
