,https://roic.ai/company/DZSI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,277244000,295649133,412595873,105539000,122207000,274715000,336539000,186793000,167185000,135194000,132930000,132002000,124104000,117800000,124576000,102504000,163657000,246392000,275168000,308000000,306693000,368413000
12,Interest Income ,- -,9675173,4044072,- -,- -,1433000,2328000,1813000,708000,47000,7000,3000,- -,- -,- -,- -,183000,129000,264000,456000,77000,107000
13,Interest Expense (Gain),- -,700615,734527,2552000,- -,3357000,2774000,2213000,1625000,1331000,996000,44000,102000,85000,68000,88000,830000,1019000,1738000,3981000,2035000,345000
14,Depreciation and Amortization,38082000,47092696,29564859,9341000,11288000,14251000,5383000,2660000,2204000,1834000,1585000,1810000,316000,367000,403000,767000,3173000,3817000,2702000,5115000,5143000,1182000
15,EBITDA,-158389000,-163195697,-382494610,-13060000,-24153000,-109068000,-134245000,-6835000,-88436000,-6691000,-2301000,-9812000,-8473000,4808000,-3592000,-974000,-9836000,3835000,8931000,-776000,-12403000,-29943000
16,EBITDA ratio,-1.9613,-2.1574,102.4917,-0.1571,-0.2486,-0.7184,-0.6908,-0.0390,-0.6051,-0.0529,-0.0178,-0.0788,-0.0734,0.0393,-0.0298,-0.0097,-0.0654,0.0155,0.0316,-0.0025,-0.0413,-0.0855
17,Operating Income,-196488000,-220003824,-416327831,-22401000,-33880000,-124230000,-142195000,-11345000,-91426000,-8693000,-3894000,-11736000,-8780000,4448000,-3994000,-1748000,-13049000,722000,7180000,-7029000,-12525000,-32252000
18,Operating Income ratio,-2.4331,-2.9084,111.5575,-0.2694,-0.3487,-0.8182,-0.7317,-0.0647,-0.6255,-0.0687,-0.0302,-0.0943,-0.0761,0.0364,-0.0331,-0.0173,-0.0868,0.0029,0.0254,-0.0229,-0.0417,-0.0921
19,Total Other Income Expenses (Gains),-1849000,40258,224290,-2552000,-1561000,-2446000,-207000,-363000,-839000,-1163000,-988000,70000,-111000,-92000,-69000,-81000,-792000,-1621000,-2620000,-2649000,-7056000,782000
20,Income Before Tax,-198337000,- -,- -,-24953000,-35441000,-126676000,-142402000,-11708000,-92265000,-9856000,-4882000,-11666000,-8891000,4356000,-4063000,-1829000,-13841000,-899000,4560000,-9678000,-19581000,-31470000
21,Income Before Tax Ratio,-2.4560,- -,- -,-0.3001,-0.3647,-0.8343,-0.7327,-0.0667,-0.6313,-0.0779,-0.0378,-0.0937,-0.0771,0.0356,-0.0337,-0.0182,-0.0921,-0.0036,0.0162,-0.0315,-0.0651,-0.0899
22,Income Tax expense (Gain),- -,- -,- -,-7778000,205000,215000,264000,394000,270000,171000,-101000,60000,124000,42000,68000,188000,1487000,-2072000,1724000,3585000,3501000,3213000
23,Net Income,-196471000,-210989008,-412793996,-17175000,-35646000,-126891000,-142666000,-12102000,-92535000,-10027000,-4781000,-11726000,-9015000,4314000,-4131000,-2017000,-15326000,1071000,2767000,-13457000,-23082000,-34683000
24,Net Income ratio,-2.4329,-2.7892,110.6106,-0.2066,-0.3668,-0.8358,-0.7341,-0.0690,-0.6331,-0.0793,-0.0371,-0.0942,-0.0781,0.0353,-0.0343,-0.0200,-0.1020,0.0043,0.0098,-0.0439,-0.0768,-0.0990
25,EPS,-1407.00,-745.00,-100.00,-46.75,-10.50,-28.25,-24.00,-2.00,-15.50,-1.75,-0.80,-1.90,-1.45,0.70,-0.65,-0.30,-1.20,0.07,0.12,-0.69,-1.07,-1.30
26,EPS Diluted,-1407.00,-745.00,-100.00,-46.75,-10.50,-28.25,-24.00,-2.00,-15.50,-1.75,-0.80,-1.90,-1.45,0.65,-0.65,-0.30,-1.20,0.07,0.12,-0.69,-1.07,-1.30
27,Weighted Average Shares Outstanding,141640,283547,4122865,638040,3429800,4480160,5949080,5984920,6013680,6039960,6078600,6134200,6194800,6285800,6476000,6585000,11636600,16383000,16482000,19403000,21588000,26692000
28,Weighted Average Shares Outstanding Diluted,141640,283547,4122865,3987209,3429800,4480160,5949080,5984920,6013680,6039960,6078600,6134200,6194800,6604200,6476000,6585000,11636600,16396000,16746000,19403000,21588000,26692000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1101680/000095013002002290/0000950130-02-002290-index.html,https://www.sec.gov/Archives/edgar/data/1101680/000095013003002634/0000950130-03-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312504030136/0001193125-04-030136-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312505052811/0001193125-05-052811-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312506051109/0001193125-06-051109-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312507049628/0001193125-07-049628-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312508048824/0001193125-08-048824-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312509055464/0001193125-09-055464-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312510058335/0001193125-10-058335-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312511067016/0001193125-11-067016-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312512117561/0001193125-12-117561-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312513109545/0001193125-13-109545-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168014000003/0001101680-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168015000005/0001101680-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168016000060/0001101680-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168017000056/0001101680-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168018000012/0001101680-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459019007382/0001564590-19-007382-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459020012549/0001564590-20-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459021012566/0001564590-21-012566-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459022009316/0001564590-22-009316-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,218708074,171019242,32547000,46604000,52166000,46973000,37804000,33251000,21460000,21174000,18190000,11119000,15686000,11528000,10113000,17893000,17475000,27709000,28747000,45219000,53474000
32,Short-Term Investments,- -,- -,- -,- -,18612000,18974000,17337000,12361000,2992000,306000,- -,- -,- -,- -,- -,- -,993000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,218708074,171019242,32547000,65216000,71140000,64310000,50165000,36243000,21766000,21174000,18190000,11119000,15686000,11528000,10113000,18886000,17475000,27709000,28747000,45219000,53474000
34,Net Receivables,- -,23923631,12938,76402000,19243000,35392000,31828000,33258000,23665000,37107000,29747000,31598000,25820000,33328000,29916000,28209000,63874000,74413000,95986000,121669000,112600000,98919000
35,Inventory,- -,52398123,13744549,24281000,37352000,48370000,45036000,44698000,40706000,30228000,31048000,27393000,21404000,19562000,19985000,14802000,31032000,25344000,33868000,35439000,39572000,56893000
36,Other Current Assets,- -,8107916,2289880,3905000,3949000,5811000,3852000,3804000,2654000,2098000,2514000,2672000,2590000,2269000,2863000,1914000,10781000,16077000,11188000,8831000,14532000,5690000
37,Total Current Assets,- -,303137744,187066609,137135000,125760000,160713000,145026000,131925000,103268000,91199000,84483000,79853000,60933000,70845000,64292000,55038000,124573000,133309000,168751000,194686000,211923000,214976000
38,PP&E,- -,65085402,40533504,22585000,22967000,24097000,23704000,20818000,20003000,18961000,5274000,608000,583000,718000,1165000,1358000,6288000,5873000,5518000,27238000,25629000,22482000
39,Goodwill,- -,58433967,- -,- -,- -,- -,70737000,70401000,- -,- -,- -,- -,- -,- -,- -,- -,3977000,3977000,3977000,3977000,3977000,6145000
40,Intangible Assets,- -,60200000,- -,113214000,175079000,194639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8767000,6785000,5649000,12381000,3377000,5115000
41,Intangible Assets,- -,118633967,- -,113214000,175079000,194639000,70737000,70401000,- -,- -,- -,- -,- -,- -,- -,- -,12744000,10762000,9626000,16358000,7354000,11260000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2954000,2752000,1622000,1405000,- -
44,Other Non-Current Assets,- -,66981419,753657,1635000,1421000,656000,715000,262000,178000,99000,354000,271000,208000,254000,255000,249000,1842000,6229000,3360000,6243000,5919000,8950000
45,Total Non-Current Assets,- -,250700788,41287161,137434000,199467000,219392000,95156000,91481000,20181000,19060000,5628000,879000,791000,972000,1420000,1607000,20874000,25818000,21256000,51461000,40307000,42692000
46,Other Assets,331984000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,331984000,553838532,228353770,274569000,325227000,380105000,240182000,223406000,123449000,110259000,90111000,80732000,61724000,71817000,65712000,56645000,145447000,159127000,190007000,246147000,252230000,257668000
48,Accounts Payable,- -,9683821,2977881,19998000,14155000,17912000,18893000,21276000,12719000,14914000,11864000,11797000,7229000,12689000,11719000,10053000,31111000,32792000,38608000,38427000,49250000,64258000
49,Short-Term Debt,- -,8601847,8072687,6151000,15878000,15670000,22173000,15265000,15380000,10411000,10000000,15000000,10000000,10000000,10000000,5000000,17599000,19790000,31762000,21685000,18281000,4097000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4736000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,619000,- -,- -,- -,- -,534000,1218000,1141000,809000,393000,1901000,3279000,8511000,3567000,4400000,6091000
52,Other Current Liabilities,- -,39873029,21922749,28685000,23938000,24610000,19469000,17888000,13162000,12031000,13217000,9495000,7618000,7724000,6860000,5349000,17143000,15162000,14590000,16122000,16707000,16032000
53,Total Current Liabilities,- -,58158697,32973317,54834000,53971000,58192000,61154000,54429000,41261000,37356000,35081000,36826000,26065000,31554000,29388000,20795000,67754000,71023000,93471000,79801000,88638000,90478000
54,Long-Term Debt,- -,583399,540000,32040000,39935000,28597000,19376000,19140000,18698000,18285000,- -,- -,- -,- -,- -,- -,6800000,9787000,14142000,19033000,45713000,12103000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674000,1883000,1801000,3230000,2471000,3044000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,357848,428083,816000,1537000,1527000,2048000,290000,4193000,2945000,5615000,4379000,3719000,2704000,1981000,1693000,2351000,2667000,2739000,37535000,21829000,20136000
58,Total Non-Current Liabilities,- -,941247,968083,32856000,41472000,30124000,21424000,19430000,22891000,21230000,5615000,4379000,3719000,2704000,1981000,1693000,10825000,14337000,18682000,59798000,70013000,35283000
59,Other Liabilities,499618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,124514,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22355000,20453000,16200000
61,Total Liabilities,499618000,59099944,33941400,87690000,95443000,88316000,82578000,73859000,64152000,58586000,40696000,41205000,29784000,34258000,31369000,22488000,78579000,85360000,112153000,139599000,158651000,125761000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,114496,116495,77000,94000,148000,149000,150000,151000,30000,30000,31000,31000,32000,32000,34000,16000,16000,16000,21000,22000,27000
64,Retained Earnings,- -,-367137978,-779931974,-595757000,-631403000,-758294000,-900960000,-913062000,-1005597000,-1015624000,-1020405000,-1032131000,-1041146000,-1036832000,-1040963000,-1042980000,-19923000,-18852000,-15777000,-29234000,-52316000,-86999000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5008000,-1168000,-1385000,98000,610000,250000,293000,277000,237000,216000,65000,-35000,-356000,-2815000,1871000,-192000,-3939000,-2124000,-4457000
66,Other Total Stockholders Equity,- -,861762070,974227849,787567000,862261000,1051320000,1058317000,1061849000,1064493000,1066974000,1069513000,1071390000,1072839000,1074294000,1075309000,1077459000,89174000,90198000,93192000,139700000,147997000,223336000
67,Total Stockholders Equity,-167634000,494738588,194412370,186879000,229784000,291789000,157604000,149547000,59297000,51673000,49415000,39527000,31940000,37559000,34343000,34157000,66452000,73233000,77239000,106548000,93579000,131907000
68,Total Liabilities And Stockholders Equity,331984000,553838532,228353770,274569000,325227000,380105000,240182000,223406000,123449000,110259000,90111000,80732000,61724000,71817000,65712000,56645000,145031000,158593000,189392000,246147000,252230000,257668000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000,534000,615000,- -,- -,- -
70,Total Liabilities & Equity,331984000,553838532,228353770,274569000,325227000,380105000,240182000,223406000,123449000,110259000,90111000,80732000,61724000,71817000,65712000,56645000,145447000,159127000,190007000,246147000,252230000,257668000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1101680/000095013002002290/0000950130-02-002290-index.html,https://www.sec.gov/Archives/edgar/data/1101680/000095013003002634/0000950130-03-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312504030136/0001193125-04-030136-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312505052811/0001193125-05-052811-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312506051109/0001193125-06-051109-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312507049628/0001193125-07-049628-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312508048824/0001193125-08-048824-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312509055464/0001193125-09-055464-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312510058335/0001193125-10-058335-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312511067016/0001193125-11-067016-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312512117561/0001193125-12-117561-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312513109545/0001193125-13-109545-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168014000003/0001101680-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168015000005/0001101680-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168016000060/0001101680-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168017000056/0001101680-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168018000012/0001101680-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459019007382/0001564590-19-007382-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459020012549/0001564590-20-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459021012566/0001564590-21-012566-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459022009316/0001564590-22-009316-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-210989008,-412793996,-17175000,-35646000,-126891000,-142666000,-12102000,-92535000,-10027000,-4781000,-11726000,-9015000,4314000,-4131000,-2017000,-15326000,1071000,2767000,-13457000,-23082000,-34683000
74,Depreciation and Amortization,- -,47092696,29564859,9341000,11288000,14251000,5383000,2660000,2204000,1834000,1585000,1810000,316000,367000,403000,767000,3173000,3817000,2702000,5115000,5143000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1408000,-2915000,202000,1130000,316000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2351000,2260000,2265000,1670000,1314000,424000,786000,1131000,336000,902000,2080000,3508000,4613000,- -
77,Change in Working Capital,- -,-26912040,-90885755,-71792292,-10512000,30732000,-18649000,-6376000,-15489000,-8164000,-4441000,-6375000,-8159000,4423000,-4387000,-661000,22576000,5467000,12994000,39605000,8400000,1213000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,6450000,-15222000,6599000,-3790000,3184000,-6082000,3769000,1842000,-2092000,-3132000,-10287000,-23072000,-18782000,- -
79,Inventory,- -,-17023012,21853574,-3032000,-7302000,2774000,3334000,338000,3992000,10478000,-820000,3655000,5989000,1842000,-423000,5183000,-1080000,6233000,-9359000,4802000,-6916000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-8557000,2195000,-3050000,-67000,-4568000,5460000,-970000,-1666000,4488000,-3576000,5702000,10340000,11136000,- -
81,Other Working Capital,- -,244979047,154093292,82301000,71789000,102521000,83872000,77496000,62007000,53843000,49402000,43027000,34868000,39291000,34904000,34243000,56819000,62286000,75280000,114885000,123285000,124498000
82,Other Non-Cash Items,- -,126520113,437460468,34488292,-12454000,60860000,139694000,1042000,86245000,5632000,7428000,7849000,13660000,-5340000,3892000,4483000,-8671000,-6440000,-32963000,-58603000,9674000,19144000
83,Cash Provided by Operating Activities,- -,-64288239,-36654424,-45138000,-47324000,-21048000,-16238000,-14776000,-17224000,-8465000,2056000,-6772000,-1884000,4188000,-3437000,3703000,3496000,1902000,-12218000,-22702000,5064000,-14326000
84,CAPEX,- -,-55001037,-5840857,-444000,-1816000,-3890000,-2004000,-1365000,-1436000,-794000,-3169000,-1380000,-359000,-502000,-850000,-818000,-1372000,-1162000,-1182000,-2314000,-2270000,- -
85,Acquisitions Net,- -,- -,- -,140649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7013000,1254000,- -,-4660000,- -,- -
86,Purchases of Investments,- -,- -,- -,-75983000,-208520000,-36969000,-37905000,-26992000,-10879000,-308000,- -,- -,- -,- -,- -,- -,-1034000,-429000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,10321000,255527000,36644000,40100000,32437000,20412000,2945000,306000,- -,- -,- -,- -,- -,- -,1463000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,5691000,12855000,43049000,10627000,7499000,4962000,65000,573000,- -,58000,- -,- -,- -,-1877000,-5946000,2000,- -,- -,-9483000
89,Cash Used for Investing Activites,- -,-55001037,-5840857,80234000,58046000,38834000,10818000,11579000,13059000,1908000,-2290000,-1380000,-301000,-502000,-850000,-818000,2791000,-4730000,-1180000,-6974000,-2270000,-9483000
90,Debt Repayment,- -,-3397149,-95611,- -,- -,- -,- -,- -,-327000,-5382000,-310000,- -,- -,- -,- -,-5000000,-27336000,-24447000,-49493000,-86232000,-29821000,- -
91,Common Stock Issued,- -,149796880,1047306,1289000,1492000,3095000,2311000,667000,294000,100000,274000,- -,- -,- -,- -,- -,- -,121000,914000,42509000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3422175,-6145246,-14458000,1819000,-15345000,-2168000,-7144000,- -,- -,- -,5208000,-4865000,1032000,229000,1021000,30069000,25834000,67582000,71767000,47445000,23778000
95,Cash Used/Provided by Financing Activities,- -,149821906,-5193551,-13169000,3311000,-12250000,143000,-6477000,-33000,-5282000,-36000,5208000,-4865000,1032000,229000,-3979000,2733000,1508000,19003000,28044000,17624000,23778000
96,Effect of Forex Changes on Cash,- -,- -,- -,6000,24000,26000,84000,505000,-355000,48000,-16000,-40000,-21000,-151000,-100000,-321000,-222000,902000,-1369000,-381000,534000,-917000
97,Net Change In Cash,- -,30532630,-47688832,21933000,14057000,5562000,-5193000,-9169000,-4553000,-11791000,-286000,-2984000,-7071000,4567000,-4158000,-1415000,8798000,-418000,4236000,-2013000,20952000,-948000
98,Cash at the End of Period,- -,218708074,171019242,32547000,46604000,52166000,46973000,37804000,33251000,21460000,21174000,18190000,11119000,15686000,11528000,10113000,17893000,17475000,35648000,33635000,54587000,53639000
99,Cash at the Beginning of Period,- -,188175444,218708074,10614000,32547000,46604000,52166000,46973000,37804000,33251000,21460000,21174000,18190000,11119000,15686000,11528000,9095000,17893000,31412000,35648000,33635000,54587000
100,Free Cash Flow,- -,-119289276,-42495281,-45582000,-49140000,-24938000,-18242000,-16141000,-18660000,-9259000,-1113000,-8152000,-2243000,3686000,-4287000,2885000,2124000,740000,-13400000,-25016000,2794000,-14326000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1101680/000095013002002290/0000950130-02-002290-index.html,https://www.sec.gov/Archives/edgar/data/1101680/000095013003002634/0000950130-03-002634-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312504030136/0001193125-04-030136-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312505052811/0001193125-05-052811-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312506051109/0001193125-06-051109-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312507049628/0001193125-07-049628-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312508048824/0001193125-08-048824-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312509055464/0001193125-09-055464-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312510058335/0001193125-10-058335-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312511067016/0001193125-11-067016-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312512117561/0001193125-12-117561-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000119312513109545/0001193125-13-109545-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168014000003/0001101680-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168015000005/0001101680-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168016000060/0001101680-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168017000056/0001101680-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000110168018000012/0001101680-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459019007382/0001564590-19-007382-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459020012549/0001564590-20-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459021012566/0001564590-21-012566-index.htm,https://www.sec.gov/Archives/edgar/data/1101680/000156459022009316/0001564590-22-009316-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
