,https://roic.ai/company/AMWD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,21200000,35300000,52500000,49600000,46500000,43800000,45800000,43100000,39900000,38200000,37600000,37314000,40907000,66088000,99021000,112489000,143711000,150376000,162393000,204514000,193944000,184887000,171411000,150199000,159389000,147954000,134019000,116075000,104648000,117409000,164484000,162045000,1280978000,1223896000,1297634000,1244434000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46200000,64000000,84700000,90800000,83700000,78900000,82300000,78500000,72300000,74400000,76300000,87157000,106481000,140609000,166656000,180368000,234222000,262728000,307051000,361168000,377543000,348695000,314799000,303737000,282433000,268370000,265121000,293993000,330064000,398904000,466693000,501273000,1645345000,1529931000,1622806000,1636514000
48,Accounts Payable,- -,- -,- -,- -,6700000,5800000,7300000,10100000,8800000,9500000,7700000,9312000,12414000,18919000,20195000,17038000,23059000,26850000,29145000,35752000,34329000,25604000,19708000,15070000,14035000,18569000,19492000,23306000,29175000,34288000,35011000,41312000,71096000,61277000,56342000,91622000
49,Short-Term Debt,3400000,3100000,4600000,2900000,3100000,7200000,14300000,11700000,5200000,2800000,2700000,2229000,2001000,1974000,1876000,2118000,3218000,932000,988000,1046000,1456000,854000,864000,859000,893000,928000,875000,1155000,1146000,1457000,1574000,1598000,4143000,2286000,21112000,28316000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10400000,13700000,12100000,15000000,8500000,6800000,6500000,7100000,8700000,9700000,12900000,14860000,19792000,24142000,23513000,26063000,38120000,36016000,45187000,45744000,47288000,41602000,35462000,42238000,34651000,31347000,38854000,44647000,46098000,49045000,55728000,58587000,95216000,86027000,78152000,100509000
53,Total Current Liabilities,13800000,16800000,16700000,17900000,18300000,19800000,28100000,28900000,22700000,22000000,23300000,26401000,34207000,45035000,45584000,45219000,64397000,63798000,75320000,82542000,83073000,68060000,56034000,58167000,49579000,50844000,59221000,69108000,76419000,84790000,92313000,101497000,170455000,149590000,155606000,220447000
54,Long-Term Debt,19600000,16400000,30100000,27500000,29000000,24600000,25100000,21500000,18300000,15500000,12900000,10637000,8717000,11435000,22009000,16819000,14398000,19016000,18028000,29217000,27761000,26908000,26043000,26475000,25582000,24655000,23790000,17010000,13480000,14980000,16887000,15279000,809897000,689205000,591450000,623078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2200000,3000000,4700000,4700000,4300000,4100000,2800000,2100000,2800000,3000000,2800000,2328000,2397000,3373000,4897000,7246000,9556000,8428000,11402000,13339000,16886000,9487000,8071000,- -,- -,- -,- -,- -,- -,- -,- -,- -,71563000,64749000,52935000,38348000
57,Other Non-Current Liabilities,-100000,- -,- -,-100000,800000,1700000,1600000,1800000,2100000,2100000,1500000,1493000,2023000,2429000,1554000,1571000,702000,11387000,9156000,20879000,8162000,18143000,10017000,15413000,31954000,38906000,52090000,61680000,49620000,69292000,76732000,32048000,11765000,6034000,122277000,11745000
58,Total Non-Current Liabilities,21700000,19400000,34800000,32100000,34100000,30400000,29500000,25400000,23200000,20600000,17200000,14458000,13137000,17237000,28460000,25636000,24656000,38831000,38586000,63435000,52809000,54538000,44131000,41888000,57536000,63561000,75880000,78690000,63100000,84272000,93619000,47327000,893225000,759988000,766662000,673171000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6584000,6973000,6518000,5591000,- -,- -,- -,137037000,131694000
61,Total Liabilities,35500000,36200000,51500000,50000000,52400000,50200000,57600000,54300000,45900000,42600000,40500000,40859000,47344000,62272000,74044000,70855000,89053000,102629000,113906000,145977000,135882000,122598000,100165000,100055000,107115000,114405000,135101000,147798000,139519000,169062000,185932000,148824000,1063680000,909578000,922268000,893618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18043000,18704000,21575000,22896000,24412000,33072000,33999000,43435000,51189000,- -,- -,- -,- -,- -,- -,- -,107165000,127371000,150001000,163290000,168835000,361158000,352424000,359430000,362524000
64,Retained Earnings,10200000,17000000,16500000,24000000,16100000,13500000,9500000,9000000,9000000,14300000,18200000,28255000,40433000,56762000,69716000,85101000,112378000,134406000,156993000,176303000,194071000,167506000,146288000,136074000,108643000,83495000,61422000,71180000,89154000,120698000,164756000,224031000,269576000,317420000,392281000,434940000
