,https://roic.ai/company/MGNX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,7986000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,730197,552096,1290016,2364000,2044000,1369000,1602000,6294000,24505000,23924000,- -
45,Total Non-Current Assets,4017880,3819892,6325248,9149000,16885000,27316000,51585000,63006000,72716000,66149000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335245000
47,Total Assets,62680584,53746900,125782381,173886000,359269000,311263000,373883000,332130000,312501000,378743000,335245000
48,Accounts Payable,11051456,3739125,3169034,1669000,2967000,3995000,2451000,4005000,4308000,8031000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3988000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,31652533,24123176,20267323,14248000,5866000,4261000,7202000,21721000,10700000,4456000,20646000
52,Other Current Liabilities,1585385,1865793,5385214,11177000,14455000,19046000,40102000,34214000,30159000,34198000,- -
53,Total Current Liabilities,44289374,29728094,28821571,27094000,23288000,27302000,49755000,59940000,45167000,50673000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,25260000,- -
55,Deferred Revenue,23237075,19956343,7135687,16472000,12631000,10045000,13637000,19001000,9153000,6926000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12638419,12299771,10910655,9034000,10013000,5165000,11253000,10312000,27553000,- -,- -
58,Total Non-Current Liabilities,35875494,32256114,18046342,25506000,22644000,15210000,24890000,29313000,36706000,32186000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95627000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,30573000,29248000,- -
61,Total Liabilities,80164868,61984208,46867913,52600000,45932000,42512000,74645000,89253000,81873000,82859000,95627000
62,Preferred Stock,2947202,2947202,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10490,10989,251775,280000,343000,349000,369000,424000,490000,562000,- -
64,Retained Earnings,-183834158,-175472403,-175733238,-214046000,-234186000,-292714000,-312340000,-490271000,-642082000,-771821000,- -
65,Other Comprehensive Income/Loss,-13379567,-14339497,-15532837,-17355000,-20190000,-25823000,-28919000,-37935000,-49725000,-7000,-61000
66,Other Total Stockholders Equity,176771749,178616401,269928768,352407000,567370000,586939000,640128000,770659000,921945000,1067150000,- -
67,Total Stockholders Equity,-17484284,-8237308,78914468,121286000,313337000,268751000,299238000,242877000,230628000,295884000,239618000
68,Total Liabilities And Stockholders Equity,62680584,53746900,125782381,173886000,359269000,311263000,373883000,332130000,312501000,378743000,335245000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,62680584,53746900,125782381,173886000,359269000,311263000,373883000,332130000,312501000,378743000,335245000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1125345/000119312514108048/0001193125-14-108048-index.htm,https://www.sec.gov/Archives/edgar/data/1125345/000119312515075224/d838054d10k.htm,https://www.sec.gov/Archives/edgar/data/1125345/000112534516000046/0001125345-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534517000041/0001125345-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534518000022/0001125345-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534519000046/0001125345-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534520000031/0001125345-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534521000035/0001125345-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1125345/000112534522000013/0001125345-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,6717120,8361755,-260835,-38313000,-20140000,-58528000,-19626000,-171453000,-151811000,-129739000,-202115000
74,Depreciation and Amortization,1147300,959930,1193340,1822000,2863000,7608000,7228000,8279000,10845000,11957000,11258000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2347439,838395,862162,3244000,7847000,12165000,14744000,16520000,19571000,20676000,23126000
77,Change in Working Capital,-1995084,5825584,70436648,47007438,181453000,-62451000,15898000,-63359000,-14566000,67303000,-56939000
78,Accounts Receivable,12551066,1351650,42200,-931000,1711000,-1540000,-10878000,-15941000,16839000,-10337000,12696000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6424000
80,Accounts Payable,-10271048,-7312331,-570091,-1500000,-163000,2232000,-1544000,1554000,787000,3723000,7125000
81,Other Working Capital,14373330,20198914,90635562,137643000,319096000,256645000,272543000,209184000,194618000,261921000,204982000
82,Other Non-Cash Items,-1459435,-22567653,-86403438,-46519438,-185684000,57527000,-3839000,56779000,1691000,-82095000,80840000
83,Cash Provided by Operating Activities,6757340,-6581989,-14172123,-32759000,-13661000,-43679000,14405000,-153234000,-134270000,-111898000,-143830000
84,CAPEX,-500213,-940043,-2960776,-3572000,-9197000,-11381000,-29403000,-24954000,-4289000,-5906000,-6201000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-142910000,-347762000,-135122000,-132750000,-264399000,-223745000,-231208000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,288894000,242401000,214348000,189330000,221866000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200800000
89,Cash Used for Investing Activites,-500213,-940043,-2960776,-3572000,-152107000,-70249000,77876000,56644000,-79358000,-7785000,-36609000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,70400,46826,85871153,76716000,203467000,- -,34244000,103259000,118657000,170456000,117818000
92,Common Stock Repurchased,- -,- -,- -,-19000,-29000,-39000,-40000,-260000,- -,-2012000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12014816,- -,- -,744000,911000,1893000,1144000,1992000,1315000,5898000,4959000
95,Cash Used/Provided by Financing Activities,12085216,46826,85871153,77441000,204349000,1854000,35348000,104991000,119972000,174342000,122777000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18342343,-7475206,68738254,41110000,38581000,-112074000,127629000,8401000,-93656000,54659000,-57662000
98,Cash at the End of Period,55218361,47743155,116481409,157591000,196172000,84098000,211727000,220128000,126472000,181131000,123469000
99,Cash at the Beginning of Period,36876018,55218361,47743155,116481000,157591000,196172000,84098000,211727000,220128000,126472000,181131000
100,Free Cash Flow,6257127,-7522032,-17132899,-36331000,-22858000,-55060000,-14998000,-178188000,-138559000,-117804000,-150031000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1125345/000119312514108048/0001193125-14-108048-index.htm,https://www.sec.gov/Archives/edgar/data/1125345/000119312515075224/d838054d10k.htm,https://www.sec.gov/Archives/edgar/data/1125345/000112534516000046/0001125345-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534517000041/0001125345-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534518000022/0001125345-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534519000046/0001125345-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534520000031/0001125345-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1125345/000112534521000035/0001125345-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1125345/000112534522000013/0001125345-22-000013-index.htm
102,false,,,,,,,,,,,
