,https://roic.ai/company/CACC,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,200000,300000,600000,900000,1369000,2550000,3793000,4697000,3727000,4652000,4718000,8679000,5781000,5209000,4624000,4105000,5342000,5139000,11080000,10049000,12200000,13200000,13200000,14200000,15300000,16400000,19500000,22400000,23800000,26300000
15,EBITDA,11300000,19500000,32200000,46400000,65004000,3853000,41318000,-11030000,39716000,53029000,53298000,52169000,93663000,117969000,95057000,88588000,155652000,266785000,312299000,363703000,418700000,476400000,490800000,564700000,644200000,720400000,931200000,1074500000,573300000,1287200000
16,EBITDA ratio,0.6075,0.6500,0.6216,0.6081,0.5245,0.0235,0.2903,-0.0950,0.3209,0.3601,0.3453,0.3578,0.5300,0.5861,0.4334,0.3692,0.4986,0.7008,0.7063,0.6925,0.6873,0.6984,0.6784,0.6842,0.6647,0.6490,0.7242,0.7216,0.3434,0.6938
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90646000,83112000,107037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4133,0.3464,0.3429,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-7500000,-12700000,-25400000,-39800000,27000,-41000,-116000,-66000,-11000,-37000,- -,-2767000,1650000,1812000,-6000,69000,-25000,-32399000,-47752000,-57236000,- -,- -,-21800000,- -,- -,- -,- -,-1800000,-7400000,900000
20,Income Before Tax,11100000,19200000,31600000,45500000,63635000,1303000,37525000,-15727000,35989000,48377000,48580000,43490000,87882000,108356000,90640000,83181000,107012000,229038000,253497000,296418000,343100000,398200000,420900000,474500000,531200000,583800000,755100000,855900000,549500000,1260900000
21,Income Before Tax Ratio,0.5968,0.6400,0.6100,0.5963,0.5135,0.0079,0.2636,-0.1355,0.2908,0.3285,0.3148,0.2983,0.4973,0.5384,0.4133,0.3467,0.3428,0.6017,0.5733,0.5644,0.5632,0.5838,0.5818,0.5749,0.5481,0.5259,0.5873,0.5748,0.3292,0.6796
22,Income Tax expense (Gain),2500000,6800000,11000000,15900000,22126000,-234000,12559000,-5041000,12339000,19174000,18879000,15309000,30557000,40159000,31793000,29567000,39944000,82992000,83390000,108374000,123400000,145100000,154700000,174800000,198400000,113600000,181100000,199800000,128500000,302600000
23,Net Income,8600000,12400000,20600000,29600000,41509000,1537000,24966000,-10686000,23650000,29203000,29701000,28181000,57325000,72601000,58640000,54916000,67177000,146255000,170077000,188044000,219700000,253100000,266200000,299700000,332800000,470200000,574000000,656100000,421000000,958300000
24,Net Income ratio,0.4624,0.4133,0.3977,0.3879,0.3349,0.0094,0.1754,-0.0921,0.1911,0.1983,0.1924,0.1933,0.3244,0.3607,0.2674,0.2289,0.2152,0.3842,0.3847,0.3580,0.3606,0.3711,0.3679,0.3631,0.3434,0.4236,0.4464,0.4406,0.2522,0.5165
25,EPS,0.24,0.30,0.50,0.70,0.89,0.03,0.54,-0.23,0.54,0.69,0.70,0.67,1.48,1.96,1.78,1.83,2.22,4.78,5.79,7.15,8.65,10.61,11.96,14.35,16.37,24.12,29.52,34.71,23.57,60.65
26,EPS Diluted,0.24,0.29,0.49,0.68,0.89,0.03,0.53,-0.23,0.53,0.68,0.68,0.65,1.40,1.85,1.66,1.76,2.16,4.62,5.67,7.07,8.58,10.54,11.92,14.28,16.31,24.04,29.39,34.57,23.47,60.52
27,Weighted Average Shares Outstanding,35833333,41333333,41200000,42285714,46623655,46081804,46190208,46222730,43879577,42140961,42438292,42195340,38617787,36991136,33035693,30053129,30249783,30590142,29393000,26302000,25409655,23850789,22257104,20891695,20331769,19497719,19446067,18900256,17858935,15795963
28,Weighted Average Shares Outstanding Diluted,35833333,42758621,42040816,43529412,46623655,46754713,46960290,46222730,44219876,43150804,43362741,43409007,41017205,39207680,35283478,31153688,31105043,31668895,29985000,26601000,25598956,24009593,22331401,20980753,20410116,19558936,19532312,18976560,17935779,15829166
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885550/000095012408001243/k24735e10vk.htm,https://www.sec.gov/Archives/edgar/data/885550/000095015209001948/0000950152-09-001948-index.html,https://www.sec.gov/Archives/edgar/data/885550/000095012310020548/0000950123-10-020548-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555011000019/cacc201010_k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555012000018/0000885550-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555013000018/0000885550-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555014000015/cacc_12311310k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555015000015/cacc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555016000083/0000885550-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555017000015/0000885550-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555018000014/0000885550-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555019000010/0000885550-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555020000021/0000885550-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555021000034/0000885550-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555022000009/0000885550-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,229000,349000,13775000,11122000,20726000,15773000,13466000,36044000,614000,7090000,8528000,712000,3154000,2170000,3792000,4657000,9000000,4200000,6400000,6300000,14600000,8200000,25700000,187400000,16000000,23300000
32,Short-Term Investments,8700000,2100000,1500000,2500000,6300000,10000000,10200000,11600000,751000,173000,173000,- -,928000,3345000,3564000,3290000,3345000,3121000,805000,810000,46100000,53600000,53200000,48300000,45300000,46100000,58600000,59300000,- -,- -
33,Cash and Short-Term Investments,8700000,2100000,1500000,2500000,6529000,10349000,23975000,22722000,21477000,15946000,13639000,36044000,1542000,10435000,12092000,4002000,6499000,5291000,4597000,5467000,55100000,57800000,59600000,54600000,59900000,54300000,84300000,246700000,16000000,23300000
34,Net Receivables,- -,- -,- -,- -,15493000,19800000,14071000,28178000,8457000,6446000,4450000,8244000,9444000,4022000,11734000,20712000,1017917000,- -,- -,- -,1934600000,2213900000,2514300000,3111500000,3888900000,4621800000,5771200000,6751400000,6934900000,6445500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,685184000,- -,-937584000,82456000,66536000,104679000,92400000,111300000,157600000,167400000,224700000,255600000,303600000,330300000,381300000,473000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709010000,- -,86832000,87747000,71133000,110146000,2082100000,2383000000,2731500000,3333500000,4173500000,4931700000,6159100000,7328400000,7332200000,6941800000
38,PP&E,800000,7300000,9400000,10300000,14958000,20839000,20627000,18243000,18418000,19646000,19951000,18503000,19706000,17992000,16203000,20124000,21049000,18735000,16311000,18472000,22200000,22300000,20900000,18900000,18200000,20500000,40200000,59700000,59400000,57300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17879000,4447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1031473000,1069754000,1256071000,1629980000,28900000,28100000,33000000,37000000,26300000,33400000,38100000,35100000,97400000,51800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16203000,- -,1052522000,1088489000,1272382000,1648452000,51100000,50400000,53900000,55900000,44500000,53900000,78300000,94800000,156800000,109100000
46,Other Assets,128200000,203000000,425900000,686400000,1074418000,1115610000,751929000,660240000,671034000,861434000,842325000,943780000,591313000,619394000,- -,942182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,128200000,203000000,425900000,686400000,1074418000,1115610000,751929000,660240000,671034000,861434000,842325000,943780000,591313000,619394000,725213000,942182000,1139354000,1176236000,1343515000,1758598000,2133200000,2433400000,2785400000,3389400000,4218000000,4985600000,6237400000,7423200000,7489000000,7050900000
48,Accounts Payable,- -,- -,- -,- -,33138000,26650000,25989000,34028000,- -,34209000,22247000,33117000,65059000,- -,- -,- -,83948000,77295000,- -,- -,105800000,113800000,114400000,127800000,143900000,151700000,186400000,206400000,186700000,175000000
49,Short-Term Debt,- -,- -,- -,- -,20200000,- -,- -,- -,- -,- -,43555000,- -,7700000,36300000,38400000,369439000,434826000,110677000,54573000,51614000,150200000,362000000,354300000,489700000,749600000,800100000,1048600000,1528500000,96700000,2600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6094000,- -,- -,- -,- -,- -,881000,- -,- -,1493000,6300000,19900000,2900000,- -,23600000,39900000,2500000,200000,200000,200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,647562000,661050000,310011000,241272000,340200000,409491000,388398000,447683000,31841000,99500000,122700000,-188539000,-372645000,-13377000,157424000,88144000,-100400000,-235500000,-231900000,-432000000,-726000000,-746300000,-874200000,-1528300000,200000,200000
53,Total Current Liabilities,- -,- -,- -,- -,700900000,687700000,336000000,275300000,340200000,443700000,454200000,480800000,104600000,135800000,161100000,180900000,146129000,174595000,211997000,139758000,155600000,240300000,236800000,185500000,167500000,205500000,360800000,206600000,283600000,177800000
54,Long-Term Debt,- -,4600000,79700000,95800000,284882000,387867000,215232000,150770000,149083000,202529000,107903000,105418000,183700000,137800000,392175000,532130000,580414000,409679000,548967000,953947000,1207300000,1285800000,1633000000,2026900000,2603700000,3056900000,3649000000,4538800000,4511900000,4613700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,8988000,14616000,11098000,9800000,10734000,10668000,11667000,22770000,31817000,43758000,44397000,64768000,75060000,93752000,108077000,123449000,148400000,157200000,213400000,248900000,273100000,187400000,236700000,322500000,391000000,435200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-166470000,-223583000,-86630000,-38570000,-91217000,-83897000,-55270000,-22788000,-29717000,-70958000,-82772000,-101098000,- -,- -,- -,1493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,4600000,79700000,95800000,127400000,178900000,139700000,122000000,68600000,129300000,64300000,105400000,185800000,110600000,353800000,495800000,655474000,503431000,657044000,1078889000,1355700000,1443000000,1846400000,2275800000,2876800000,3244300000,3885700000,4861300000,4902900000,5048900000
59,Other Liabilities,86000000,152900000,429900000,583200000,- -,357819000,- -,- -,137208000,- -,- -,210815000,371623000,- -,- -,991632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1938000,1049000,9847000,9105000,1800000,1696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,86000000,148300000,350200000,487400000,828275000,866619000,475666000,397265000,408808000,572995000,518477000,586215000,290423000,246368000,514866000,676732000,801603000,678026000,869041000,1218647000,1511300000,1683300000,2083200000,2461300000,3044300000,3449800000,4246500000,5067900000,5186500000,5226700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,458000,461000,463000,461000,425000,422000,423000,421000,369000,370000,302000,302000,306000,311000,273000,256000,200000,200000,200000,200000,200000,200000,200000,200000,200000,100000
64,Retained Earnings,12400000,24800000,45400000,75000000,116486000,118023000,142989000,132303000,155953000,185156000,214857000,227039000,271912000,344513000,209253000,261001000,328178000,474433000,443326000,500888000,568400000,686900000,613400000,827200000,1042000000,1390300000,1836100000,2196600000,2138800000,1626700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1404000,5027000,2969000,-37000,-36000,13000,-2562000,-904000,-110000,6000,-100000,-200000,-100000,-100000,-200000,-200000,-300000,800000,1600000,200000
66,Other Total Stockholders Equity,29800000,29900000,30300000,124000000,129199000,130507000,132811000,130211000,105848000,102861000,107164000,125078000,25640000,28180000,828000,4134000,11829000,24370000,30985000,38801000,53400000,63200000,88700000,100800000,131700000,145500000,154900000,157700000,161900000,197200000
67,Total Stockholders Equity,42200000,54700000,75700000,199000000,246143000,248991000,276263000,262975000,262226000,288439000,323848000,357565000,300890000,373026000,210347000,265450000,337751000,498210000,474474000,539951000,621900000,750100000,702200000,928100000,1173700000,1535800000,1990900000,2355300000,2302500000,1824200000
68,Total Liabilities And Stockholders Equity,128200000,203000000,425900000,686400000,1074418000,1115610000,751929000,660240000,671034000,861434000,842325000,943780000,591313000,619394000,725213000,942182000,1139354000,1176236000,1343515000,1758598000,2133200000,2433400000,2785400000,3389400000,4218000000,4985600000,6237400000,7423200000,7489000000,7050900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,128200000,203000000,425900000,686400000,1074418000,1115610000,751929000,660240000,671034000,861434000,842325000,943780000,591313000,619394000,725213000,942182000,1139354000,1176236000,1343515000,1758598000,2133200000,2433400000,2785400000,3389400000,4218000000,4985600000,6237400000,7423200000,7489000000,7050900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885550/000095012408001243/k24735e10vk.htm,https://www.sec.gov/Archives/edgar/data/885550/000095015209001948/0000950152-09-001948-index.html,https://www.sec.gov/Archives/edgar/data/885550/000095012310020548/0000950123-10-020548-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555011000019/cacc201010_k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555012000018/0000885550-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555013000018/0000885550-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555014000015/cacc_12311310k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555015000015/cacc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555016000083/0000885550-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555017000015/0000885550-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555018000014/0000885550-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555019000010/0000885550-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555020000021/0000885550-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/885550/000088555021000034/0000885550-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/885550/000088555022000009/0000885550-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8600000,12400000,20600000,29600000,41509000,1537000,24966000,-10686000,23650000,29203000,29701000,28181000,57325000,72601000,58640000,54916000,67177000,146255000,170077000,188044000,219700000,253100000,266200000,299700000,332800000,470200000,574000000,656100000,421000000,958300000
74,Depreciation and Amortization,200000,300000,600000,900000,1369000,2550000,3793000,4697000,3727000,4652000,4718000,8679000,5781000,5209000,4624000,4105000,5342000,5139000,11080000,10049000,12200000,13200000,13200000,14200000,15300000,16400000,19500000,22400000,23800000,26300000
75,Deferred Income Tax,500000,1200000,1300000,2800000,964000,5628000,-3518000,-1298000,934000,-66000,999000,12712000,12857000,11961000,636000,20346000,11777000,17740000,13863000,15309000,25000000,8800000,56100000,35600000,24200000,-85600000,49300000,85500000,68300000,44700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4309000,6805000,4127000,1881000,12200000,8500000,15300000,12400000,7400000,15400000,10300000,7600000,6200000,24800000
77,Change in Working Capital,4600000,- -,- -,- -,-700900000,13200000,351700000,60700000,-64900000,-103500000,-10500000,-26600000,376200000,-31200000,683710000,-728810000,121603000,-27551000,-54016000,111252000,1956112000,216200000,352000000,653300000,858000000,720200000,1072100000,1323500000,-73200000,7300000
78,Accounts Receivable,-200000,-300000,-2400000,-1000000,-200000,-21900000,13700000,-12500000,11775000,3000,981000,-7970000,621000,110000,-3425000,1248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2500000,1500000,8600000,8900000,16200000,-9200000,2600000,2500000,1191000,16705000,-10110000,1081000,11715000,7354000,22589000,1453000,- -,- -,-730000,20737000,10000000,8000000,600000,13000000,11800000,10300000,41600000,17300000,-18400000,-10700000
81,Other Working Capital,- -,- -,- -,- -,-700900000,-687700000,-336000000,-275300000,-340200000,-443700000,-454200000,-480800000,-104600000,-135800000,547910000,-180900000,-59297000,-86848000,-140864000,-29612000,1926500000,2142700000,2494700000,3148000000,4006000000,4726200000,5798300000,7121800000,7048600000,- -
82,Other Non-Cash Items,-500000,2800000,9900000,15000000,729989000,41704000,-321229000,-17730000,95973000,138499000,34712000,41083000,-368343000,46406000,-661436000,747335000,-54728000,4392000,55567000,-50887000,-1916612000,-174100000,-337600000,-611000000,-730500000,-570600000,-1021300000,-1282800000,539100000,8000000
83,Cash Provided by Operating Activities,13400000,16700000,32400000,48300000,72931000,64619000,55712000,35683000,59384000,68788000,59630000,64055000,83820000,104977000,86174000,97892000,155480000,152780000,200698000,275648000,308600000,325700000,365200000,404200000,507200000,566000000,703900000,812300000,985200000,1069400000
84,CAPEX,-300000,-6800000,-2800000,-1900000,-5985000,-8943000,-3581000,-4821000,-3902000,-5880000,-6439000,-3062000,-3567000,-2863000,-1536000,-7659000,-6341000,-2925000,-3440000,-6334000,-8800000,-5600000,-4300000,-4000000,-5500000,-8400000,-25100000,-26800000,-8500000,-7600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,16147000,- -,- -,- -,- -,- -,- -,- -,- -,-58503000,-44269000,-44220000,-85184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-8700000,- -,- -,-1100000,-3800000,-3653000,-218000,-1378000,- -,- -,- -,- -,-928000,-3239000,-32136000,-167833000,-281840000,-104886000,-101493000,-122729000,-57100000,-105700000,-65400000,-34100000,-39100000,-34500000,-43800000,-40100000,-43200000,-38800000
87,Sales/Maturities of Investments,- -,6600000,700000,- -,5000,- -,- -,- -,375000,- -,337157000,349105000,398019000,475809000,551792000,576543000,610954000,662907000,789521000,998343000,11600000,97800000,65500000,38500000,41700000,33400000,31200000,41000000,37800000,40500000
88,Other Investing Activites,45000000,84600000,131100000,186400000,278371000,367184000,132225000,14262000,-29940000,-111317000,-304114000,-384458000,-457805000,-520134000,-625706000,-641450000,-530560000,-535588000,-803618000,-1238091000,-346600000,-320100000,-359200000,-639900000,-932600000,-893200000,-1200600000,-998300000,-659600000,443200000
89,Cash Used for Investing Activites,36000000,84400000,129000000,183400000,268591000,354588000,128426000,24210000,-33467000,-117197000,26604000,-38415000,-64281000,-50427000,-107586000,-240399000,-266290000,-24761000,-163250000,-453995000,-400900000,-333600000,-363400000,-639500000,-935500000,-902700000,-1238300000,-1024200000,-673500000,437300000
90,Debt Repayment,-2700000,-106900000,-100000,-200000,-6600000,-20000000,-172635000,-162579000,-117264000,-218567000,-168828000,-103406000,-521121000,-418396000,-848888000,-1113608000,-1305816000,-1162635000,-1491256000,-3343254000,-3996400000,-3679600000,-4490600000,-2820200000,-3248900000,-5420700000,-4208800000,-6316300000,-8109100000,-3384900000
91,Common Stock Issued,- -,100000,500000,3300000,1528000,2874000,1430000,380000,79000,2033000,3615000,2037000,5022000,210000,12091000,2584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1510000,-18851000,-3262000,-7011000,-5316000,-107236000,- -,-247168000,-9530000,-66000,-541000,-202247000,-130886000,-152500000,-135200000,-343700000,-86500000,-121700000,-123500000,-129100000,-300400000,-480800000,-1471800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-43200000,4600000,-164000000,-234600000,-340358000,-400331000,-233000,102766000,114952000,264423000,76140000,100000000,605540000,371200000,1106800000,1255512000,1418856000,1034182000,1657680000,3653352000,4245500000,3817900000,4834700000,3141900000,3807200000,5874500000,4937800000,7017000000,8156700000,3388000000
95,Cash Used/Provided by Financing Activities,-45900000,-102200000,-163600000,-231500000,-345430000,-417457000,-171438000,-60943000,-21084000,44627000,-96084000,-6685000,-17795000,-46986000,22835000,134958000,112974000,-128994000,-35823000,179212000,96600000,3100000,400000,235200000,436600000,330300000,599900000,400300000,-433200000,-1468700000
96,Effect of Forex Changes on Cash,- -,- -,- -,-300000,4136000,-1630000,726000,-1603000,-5672000,-1761000,7543000,3623000,-2266000,-1088000,15000,-267000,278000,-9000,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,228000,120000,13426000,-2653000,-839000,-5543000,-2307000,22578000,-522000,6476000,1438000,-7816000,2442000,-984000,1622000,865000,4300000,-4800000,2200000,-100000,8300000,-6400000,65500000,188400000,-121500000,38000000
98,Cash at the End of Period,- -,- -,- -,- -,229000,349000,13775000,11122000,20726000,15773000,13466000,36044000,614000,7090000,8528000,712000,3154000,2170000,3792000,4657000,9000000,4200000,6400000,6300000,14600000,8200000,329300000,517700000,396200000,434200000
99,Cash at the Beginning of Period,- -,3500000,2300000,100000,1000,229000,349000,13775000,21565000,21316000,15773000,13466000,1136000,614000,7090000,8528000,712000,3154000,2170000,3792000,4700000,9000000,4200000,6400000,6300000,14600000,263800000,329300000,517700000,396200000
100,Free Cash Flow,13100000,9900000,29600000,46400000,66946000,55676000,52131000,30862000,55482000,62908000,53191000,60993000,80253000,102114000,84638000,90233000,149139000,149855000,197258000,269314000,299800000,320100000,360900000,400200000,501700000,557600000,678800000,785500000,976700000,1061800000
