,https://roic.ai/company/NKTR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,500000,1100000,1200000,2438000,3598000,7254000,10124000,40385000,18969000,18417000,19187000,26231000,32635000,28154000,22489000,14881000,16551000,14951000,14508000,14275000,12927000,12855000,15351000,14741000,10870000,13156000,14182000,14146000
15,EBITDA,-4800000,-6600000,-8800000,-7545000,-14758000,-31194000,-87279000,-209623000,-88499000,-28096000,-82862000,-159017000,-121298000,-3298000,-12653000,-75715000,-9332000,-107786000,-123395000,-104731000,-2744000,-28915000,-95117000,-40381000,736373000,-380544000,-392647000,-461821000
16,EBITDA ratio,-2.8235,-1.9412,-1.2754,-0.4643,-0.6771,-0.7542,-1.6905,-2.7059,-0.9331,-0.2644,-0.7251,-1.2593,-0.5571,-0.0121,-0.1403,-1.0526,-0.0587,-1.5079,-1.5198,-0.7033,-0.0137,-0.1253,-0.5749,-0.1312,0.6171,-3.3201,-2.5677,-4.5318
17,Operating Income,-5700000,-8800000,-11500000,-13724000,-21990000,-40484000,-66139000,-256963000,-100081000,-66185000,-73942000,-182633000,-159230000,-36148000,-82652000,-95132000,-28255000,-123937000,-141201000,-120130000,-16485000,-29371000,-112855000,-59642000,687932000,-440035000,-425111000,-446103000
18,Operating Income ratio,-3.3529,-2.5882,-1.6667,-0.8446,-1.0089,-0.9789,-1.2810,-3.3170,-1.0552,-0.6229,-0.6471,-1.4463,-0.7314,-0.1324,-0.9165,-1.3225,-0.1777,-1.7339,-1.7391,-0.8067,-0.0821,-0.1273,-0.6822,-0.1938,0.5765,-3.8392,-2.7800,-4.3776
19,Total Other Income Expenses (Gains),600000,1300000,1600000,- -,- -,-9890000,-41984000,-150455000,-996000,19672000,-28107000,-2615000,5297000,4696000,117794000,-7640000,-8802000,-9023000,-30248000,-39638000,-37943000,-51300000,-39793000,-36434000,-5207000,-19000,-18836000,-77177000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46513000,-102049000,-185248000,-153933000,-31452000,35142000,-102772000,-37057000,-132960000,-171449000,-159768000,-54428000,-80671000,-152648000,-96076000,682725000,-440054000,-443947000,-523280000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4377,-0.8931,-1.4670,-0.7070,-0.1152,0.3897,-1.4288,-0.2330,-1.8601,-2.1117,-1.0728,-0.2712,-0.3496,-0.9227,-0.3122,0.5721,-3.8393,-2.9032,-5.1349
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,169000,-163000,-137000,828000,1309000,-806000,-253000,881000,1018000,406000,2245000,-512000,506000,876000,616000,1412000,613000,493000,557000
23,Net Income,-5300000,-7700000,-10000000,-9983000,-18356000,-38448000,-97403000,-250008000,-107468000,-46682000,-101886000,-185111000,-154761000,-32761000,-34336000,-102519000,-37938000,-133978000,-171855000,-162013000,-53916000,-81177000,-153524000,-96692000,681313000,-440667000,-444440000,-523837000
24,Net Income ratio,-3.1176,-2.2647,-1.4493,-0.6144,-0.8422,-0.9296,-1.8866,-3.2272,-1.1331,-0.4393,-0.8916,-1.4659,-0.7108,-0.1200,-0.3807,-1.4252,-0.2385,-1.8743,-2.1167,-1.0879,-0.2686,-0.3517,-0.9280,-0.3142,0.5709,-3.8447,-2.9065,-5.1403
25,EPS,-0.43,-0.39,-0.44,-0.36,-0.58,-1.13,-2.32,-4.71,-1.94,-0.84,-1.30,-2.15,-1.72,-0.36,-0.37,-1.11,-0.40,-1.19,-1.50,-1.40,-0.42,-0.61,-1.10,-0.62,4.02,-2.52,-2.49,-2.86
26,EPS Diluted,-0.43,-0.39,-0.44,-0.36,-0.58,-1.13,-2.32,-4.71,-1.94,-0.84,-1.30,-2.15,-1.72,-0.36,-0.37,-1.11,-0.40,-1.19,-1.50,-1.40,-0.42,-0.61,-1.10,-0.62,3.78,-2.52,-2.49,-2.86
27,Weighted Average Shares Outstanding,12325581,19743590,22414000,27584000,31438000,34016000,41998000,53136000,55282000,55821000,78461000,85915000,89789000,91876000,92407000,92772000,94079000,112942000,114820000,115732000,126873000,132458000,139596000,155953000,169600000,174993000,178581000,183298000
28,Weighted Average Shares Outstanding Diluted,12325581,19743590,22414000,27584000,31438000,34016000,41998000,53136000,55282000,55821000,78461000,85915000,89789000,91876000,92407000,92772000,94079000,112942000,114820000,115732000,126873000,132458000,139596000,155953000,180119000,174993000,178581000,183298000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906709/000091205702012782/0000912057-02-012782-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000104746903010902/0001047469-03-010902-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000104746904006795/0001047469-04-006795-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312505048554/0001193125-05-048554-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312506056460/0001193125-06-056460-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312507044514/0001193125-07-044514-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312508043391/0001193125-08-043391-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000136231009003350/0001362310-09-003350-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000114420410011093/0001144204-10-011093-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000095012311020657/0000950123-11-020657-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312512089389/0001193125-12-089389-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312513085500/0001193125-13-085500-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312514073093/0001193125-14-073093-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312515063338/0001193125-15-063338-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459016013759/0001564590-16-013759-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459017003064/0001564590-17-003064-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459018004105/0001564590-18-004105-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459019005639/0001564590-19-005639-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670920000004/0000906709-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670921000005/0000906709-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670922000005/0000906709-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10500000,3800000,18600000,14948000,24916000,33430000,136012000,30814000,34879000,64050000,104414000,261273000,63760000,76293000,155584000,49597000,17755000,15312000,25437000,39067000,12365000,55570000,59640000,4762000,194905000,96363000,198955000,25218000
32,Short-Term Investments,- -,- -,- -,85225000,57946000,104755000,348829000,313542000,259090000,221917000,314326000,214928000,394880000,406060000,223410000,346614000,298177000,225856000,251757000,197959000,225459000,253374000,329462000,291370000,1140445000,1228499000,862941000,708737000
33,Cash and Short-Term Investments,10500000,3800000,18600000,100173000,82862000,138185000,484841000,344356000,293969000,285967000,418740000,476201000,458640000,482353000,378994000,396211000,315932000,241168000,277194000,237026000,237824000,308944000,389102000,296132000,1335350000,1324862000,1061896000,733955000
34,Net Receivables,- -,- -,- -,- -,- -,1756000,7234000,4487000,4370000,6153000,12842000,8205000,47148000,21637000,11161000,4801000,25102000,4938000,5805000,2229000,3607000,19947000,15678000,5014000,43213000,36802000,38889000,22492000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,3200000,6309000,8559000,10691000,18627000,14656000,12187000,9319000,6471000,7266000,12656000,18269000,13452000,12952000,11346000,11109000,10726000,11381000,12665000,15292000,15801000
36,Other Current Assets,4300000,16600000,18900000,752000,1678000,7377000,968000,8798000,6341000,5819000,12266000,16810000,14595000,7106000,6746000,6183000,5679000,17944000,13363000,5175000,33817000,9814000,10363000,14948000,47743000,47221000,21928000,23333000
37,Total Current Assets,14800000,20400000,37500000,100925000,84540000,147318000,493043000,360841000,310989000,306498000,454539000,519843000,535039000,523283000,406220000,413666000,353979000,276706000,314631000,257882000,288200000,350051000,426252000,326820000,1437687000,1421550000,1138005000,795581000
38,PP&E,2300000,2700000,3800000,18694000,49863000,63852000,110457000,142352000,143452000,149388000,151247000,142127000,133812000,114420000,73578000,78263000,89773000,78576000,72215000,66974000,70368000,71336000,65601000,47463000,48851000,199176000,186138000,177535000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78431000,78431000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,153833000,145590000,141083000,136576000,91883000,3626000,2680000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,153833000,145590000,141083000,136576000,91883000,82057000,81111000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000,76501000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173768000,- -,- -,- -,- -,- -,57088000,582889000,279119000,136662000,64828000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,100000,200000,143000,93000,15636000,26040000,10215000,6607000,19819000,2559000,104701000,17269000,6289000,4237000,7088000,972000,999000,34443000,33170000,6552000,4173000,517000,994000,4244000,1010000,1461000,2744000
45,Total Non-Current Assets,2400000,2800000,4000000,18837000,49956000,79488000,136497000,306400000,295649000,310290000,290382000,338711000,233138000,201820000,154316000,161852000,167246000,329844000,183159000,176645000,153421000,152010000,142619000,182046000,712485000,555806000,400762000,321608000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17200000,23200000,41500000,119762000,134496000,226806000,629540000,667241000,606638000,616788000,744921000,858554000,768177000,725103000,560536000,575518000,521225000,606550000,497790000,434527000,441621000,502061000,568871000,508866000,2150172000,1977356000,1538767000,1117189000
48,Accounts Payable,300000,700000,1100000,5975000,3678000,13374000,6501000,7685000,8655000,8074000,7141000,18895000,8160000,3589000,13832000,3066000,7194000,3019000,2863000,9115000,2703000,2363000,2816000,4782000,5854000,19234000,22139000,9747000
49,Short-Term Debt,- -,- -,200000,83000,64000,45000,1018000,807000,1008000,1629000,1547000,482000,103364000,2335000,- -,- -,- -,214955000,- -,- -,- -,- -,- -,- -,- -,248693000,248693000,17441000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,6686000,4359000,4811000,4913000,17073000,22040000,18719000,29890000,15487000,16409000,19620000,10010000,115563000,20584000,19643000,21896000,23664000,24473000,21428000,14352000,18949000,13892000,5517000,91000,- -
52,Other Current Liabilities,1100000,2000000,4900000,4370000,4655000,6849000,17771000,33634000,31962000,18435000,17075000,34731000,37381000,72548000,44532000,34387000,36330000,37915000,53778000,65442000,36871000,37455000,55054000,32432000,62256000,80449000,-155144000,58012000
53,Total Current Liabilities,1400000,2700000,6200000,17114000,12756000,25079000,30203000,59199000,63665000,46857000,55653000,69595000,165314000,98092000,68374000,153016000,64108000,275532000,78537000,98221000,64047000,61246000,72222000,56163000,82002000,353893000,115779000,85200000
54,Long-Term Debt,500000,400000,200000,5102000,4940000,113345000,303998000,299149000,299149000,31686000,173949000,417653000,315000000,315000000,214955000,214955000,214955000,- -,125000000,125000000,125000000,242115000,243464000,245207000,246950000,- -,- -,125736000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81836000,128915000,111466000,98955000,82384000,76911000,62426000,51887000,19021000,10744000,2554000,2464000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-100000,-100000,- -,453000,919000,1753000,17456000,38580000,37054000,374054000,47977000,44495000,60803000,97572000,87053000,23344000,22585000,21741000,148280000,218825000,139331000,129845000,113173000,100647000,92901000,215518000,343229000,226745000
58,Total Non-Current Liabilities,400000,300000,200000,5555000,5859000,115098000,321454000,337729000,336203000,405740000,221926000,462148000,375803000,412572000,302008000,320135000,366455000,133207000,372235000,426209000,341242000,434386000,408524000,364875000,350595000,218072000,345693000,352481000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,31862000,359988000,23568000,20276000,19759000,21632000,20347000,18800000,17014000,14582000,11607000,8049000,8651000,5829000,5131000,- -,- -,155246000,150288000,143177000
61,Total Liabilities,1800000,3000000,6400000,22669000,18615000,140177000,351657000,396928000,399868000,452597000,277579000,531743000,541117000,510664000,370382000,473151000,430563000,408739000,450772000,524430000,405289000,495632000,480746000,421038000,432597000,571965000,461472000,437681000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,135273000,2000,2000,5000,5000,6000,6000,8000,9000,9000,9000,9000,9000,9000,11000,11000,11000,13000,13000,15000,15000,17000,17000,18000,19000
64,Retained Earnings,-10100000,-17800000,-27700000,-37642000,-56018000,-94466000,-191869000,-441877000,-549345000,-596027000,-717121000,-902232000,-1056993000,-1089754000,-1124090000,-1226609000,-1264547000,-1398525000,-1570380000,-1732393000,-1786309000,-1867486000,-2021010000,-2117941000,-1424051000,-1864718000,-2309158000,-2832995000
65,Other Comprehensive Income/Loss,-900000,-1700000,-2800000,-5180000,-8595000,-15009000,-21726000,-37966000,-50329000,-59357000,-63668000,-2000000,-106598000,2000000,1000000,1000000,1000000,-1000000,-72666000,-1000000,-2000000,-2000000,-2000000,-2000000,-6000000,-1000000,-2295000,-4157000
66,Other Total Stockholders Equity,26400000,39700000,65600000,4642000,180492000,196102000,491473000,750151000,766438000,819569000,1248123000,1231034000,1390642000,1302184000,1313235000,1327967000,1354200000,1597325000,1690053000,1643479000,1824628000,1875902000,2111120000,2207754000,3147609000,3271092000,3388730000,3516641000
67,Total Stockholders Equity,15400000,20200000,35100000,97093000,115881000,86629000,277883000,270313000,206770000,164191000,467342000,326811000,227060000,214439000,190154000,102367000,90662000,197811000,47018000,-89903000,36332000,6429000,88125000,87828000,1717575000,1405391000,1077295000,679508000
68,Total Liabilities And Stockholders Equity,17200000,23200000,41500000,119762000,134496000,226806000,629540000,667241000,606638000,616788000,744921000,858554000,768177000,725103000,560536000,575518000,521225000,606550000,497790000,434527000,441621000,502061000,568871000,508866000,2150172000,1977356000,1538767000,1117189000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17200000,23200000,41500000,119762000,134496000,226806000,629540000,667241000,606638000,616788000,744921000,858554000,768177000,725103000,560536000,575518000,521225000,606550000,497790000,434527000,441621000,502061000,568871000,508866000,2150172000,1977356000,1538767000,1117189000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906709/000091205702012782/0000912057-02-012782-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000104746903010902/0001047469-03-010902-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000104746904006795/0001047469-04-006795-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312505048554/0001193125-05-048554-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312506056460/0001193125-06-056460-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312507044514/0001193125-07-044514-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312508043391/0001193125-08-043391-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000136231009003350/0001362310-09-003350-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000114420410011093/0001144204-10-011093-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000095012311020657/0000950123-11-020657-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312512089389/0001193125-12-089389-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312513085500/0001193125-13-085500-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312514073093/0001193125-14-073093-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000119312515063338/0001193125-15-063338-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459016013759/0001564590-16-013759-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459017003064/0001564590-17-003064-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459018004105/0001564590-18-004105-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000156459019005639/0001564590-19-005639-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670920000004/0000906709-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670921000005/0000906709-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/906709/000090670922000005/0000906709-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5300000,-7700000,-10000000,-9983000,-18356000,-38448000,-97403000,-250008000,-107468000,-46682000,-101886000,-185111000,-154761000,-32761000,-34336000,-102519000,-37938000,-133978000,-171855000,-162013000,-53916000,-81177000,-153524000,-96692000,681313000,-440667000,-444440000,-523837000
74,Depreciation and Amortization,500000,1100000,1200000,2438000,3598000,7254000,10124000,40385000,18969000,18417000,19187000,26231000,32635000,28154000,22489000,14881000,16551000,14951000,14508000,14275000,12927000,12855000,15351000,14741000,10870000,13156000,14182000,14146000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10326000,17399000,18885000,16199000,17708000,17017000,19669000,25850000,36615000,88101000,99795000,94261000,94674000
77,Change in Working Capital,400000,4300000,13600000,52511000,-12027000,50455000,340601000,-161198000,-54318000,12317000,139245000,51362000,-80523000,55466000,-87345000,-77196000,29221000,-288697000,234920000,-76433000,64492000,64652000,65225000,-83373000,1085028000,-288028000,-45431000,-23076000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6034000,-20301000,20164000,-867000,3576000,-1378000,-16340000,4269000,10664000,-25505000,6411000,1913000,12397000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3685000,-7420000,3971000,1503000,2868000,2848000,-795000,-5390000,-5613000,4817000,500000,1606000,237000,383000,-655000,-1284000,-2627000,-509000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8046000,4274000,-3384000,-122000,6199000,-6359000,-412000,518000,2074000,971000,12967000,2382000,-11690000
81,Other Working Capital,13400000,17700000,31300000,83811000,71784000,122239000,462840000,301642000,247324000,259641000,398886000,450248000,369725000,425191000,337846000,260650000,289871000,1174000,236094000,159661000,224153000,288805000,354030000,270657000,1355685000,1067657000,1022226000,2938000
82,Other Non-Cash Items,400000,-3000000,-10600000,-39987000,7562000,-34595000,-289064000,320047000,67842000,-60253000,-134688000,29520000,109934000,95443000,-46590000,194247000,-81104000,275097000,-223528000,167936000,-182526000,-89082000,-69926000,48295000,-1147098000,287063000,68141000,25433000
83,Cash Provided by Operating Activities,-4000000,-5300000,-5800000,4979000,-19223000,-15334000,-35742000,-50774000,-74975000,-76201000,-78142000,-77998000,-92715000,146302000,-145782000,39739000,-55871000,-113742000,-129756000,-38527000,-142006000,-73083000,-117024000,-80414000,718214000,-328681000,-313287000,-412660000
84,CAPEX,-1400000,-1300000,-2200000,-17261000,-34584000,-20502000,-53850000,-34321000,-16327000,-18746000,-27194000,-17955000,-22524000,-32796000,-18855000,-20702000,-31457000,-9722000,-10583000,-4091000,-9976000,-11195000,-6392000,-9676000,-14239000,-26285000,-7258000,-14989000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000000,- -,- -,115000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-22800000,-49300000,-59000000,-483247000,-219414000,-122481000,-462278000,-491725000,-280650000,-243013000,-400496000,-234991000,-502230000,-593118000,-479552000,-451918000,-443122000,-695371000,-164662000,-268068000,-297251000,-297608000,-334659000,-404425000,-2271250000,-1380865000,-987533000,-960689000
87,Sales/Maturities of Investments,22700000,37100000,57300000,415795000,247498000,75822000,219904000,531060000,333811000,265739000,338782000,316063000,407874000,593259000,658228000,328025000,491292000,593141000,313265000,322068000,269656000,269467000,258651000,385292000,902920000,1614036000,1491004000,1178455000
88,Other Investing Activites,- -,- -,100000,- -,- -,-15278000,-3524000,-82051000,3482000,92000,- -,286000,- -,- -,-169000,-440000,- -,- -,-25000000,- -,- -,25000000,- -,- -,2633000,- -,- -,- -
89,Cash Used for Investing Activites,-1500000,-13500000,-3800000,-84713000,-6500000,-82439000,-299748000,-77037000,40316000,4072000,-88908000,32403000,-116880000,-32655000,274652000,-149035000,16713000,-111952000,113020000,49909000,-37571000,-14336000,-82400000,-28809000,-1379936000,206886000,496213000,202777000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1285000,-1356000,-1978000,-174844000,-2992000,-3536000,-142687000,-5945000,-5131000,- -,- -,-250000000,- -
91,Common Stock Issued,14500000,12300000,24600000,71282000,36716000,1545000,17322000,6049000,40441000,2554000,211362000,42424000,22259000,3780000,384000,4820000,8891000,224313000,- -,- -,116536000,32208000,189276000,59522000,790231000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-100000,-200000,4832000,-181000,104742000,420750000,16564000,-1717000,98746000,-3948000,232425000,-10488000,-105548000,-50125000,- -,- -,- -,201645000,5208000,39984000,241262000,20287000,- -,61735000,23355000,169646000,36238000
95,Cash Used/Provided by Financing Activities,14300000,12200000,24400000,76114000,36535000,106287000,438072000,22613000,38724000,101300000,207414000,274849000,11771000,-101768000,-49741000,3535000,7535000,222335000,26801000,2216000,152984000,130783000,203618000,54391000,851966000,23355000,-80354000,36238000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000,311000,654000,162000,-226000,-219000,916000,60000,32000,-109000,-159000,-124000,-46000,-101000,-102000,20000,-92000
97,Net Change In Cash,- -,- -,- -,-3620000,10812000,8514000,102582000,-105198000,4065000,29171000,40364000,229209000,-197513000,12533000,79291000,-105987000,-31842000,-2443000,10125000,13630000,-26702000,43205000,4070000,-54878000,190143000,-98542000,102592000,-173737000
98,Cash at the End of Period,- -,- -,- -,14948000,24916000,33430000,136012000,30814000,34879000,64050000,104414000,261273000,63760000,76293000,155584000,49597000,17755000,15312000,25437000,39067000,12365000,55570000,59640000,4762000,194905000,96363000,198955000,25218000
99,Cash at the Beginning of Period,1700000,10500000,3800000,18568000,14104000,24916000,33430000,136012000,30814000,34879000,64050000,32064000,261273000,63760000,76293000,155584000,49597000,17755000,15312000,25437000,39067000,12365000,55570000,59640000,4762000,194905000,96363000,198955000
