,https://roic.ai/company/FCX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,33200000,36400000,45800000,69600000,85500000,146300000,203800000,184100000,309400000,314900000,310500000,365200000,363800000,354506000,343311000,328751000,276493000,209335000,355397000,352592000,293000000,561000000,411000000,381000000,686000000,694000000,933000000,837000000,774000000,691000000,829000000,637000000,623000000,579000000,529000000
11,COGS and Expenses,112800000,135000000,164300000,229600000,289900000,437900000,770900000,964700000,1241800000,1266800000,1336700000,1182800000,1304100000,1374277000,1295940000,1270325000,1354268000,1668290000,2001832000,2889704000,10211000000,13541000000,8460000000,9914000000,11606000000,12255000000,15570000000,20341000000,29298000000,18271000000,12851000000,14082000000,13728000000,12234000000,14559000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584000000,586000000,462000000,312000000,186000000,518000000,630000000,645000000,755000000,801000000,945000000,620000000,598000000,602000000
14,Depreciation and Amortization,23300000,20900000,24600000,35500000,38400000,65600000,67900000,75100000,124100000,174000000,213900000,277400000,293200000,283556000,283889000,272475000,246999000,214909000,259108000,232539000,1264000000,1899000000,1137000000,1128000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1528000000,1998000000
15,EBITDA,91200000,203900000,213200000,213700000,180200000,299200000,186300000,328700000,611700000,647400000,690300000,601800000,625400000,520116000,599893000,682647000,766712000,747856000,2169303000,2890223000,6641000000,-11428000000,6779000000,8909000000,7959000000,4737000000,4651000000,-314000000,-13485000000,-3189000000,3501000000,4538000000,891000000,3669000000,9205000000
16,EBITDA ratio,0.4800,0.6087,0.5795,0.4923,0.3855,0.4189,0.2012,0.2711,0.3335,0.3398,0.3450,0.3425,0.3314,0.2783,0.3262,0.3573,0.3466,0.3153,0.5191,0.4991,0.3921,-0.6422,0.4507,0.4693,0.3812,0.2630,0.2223,-0.0146,-0.8493,-0.2150,0.2134,0.2436,0.0619,0.2584,0.4029
17,Operating Income,- -,- -,203600000,204500000,177600000,276400000,155000000,247600000,592500000,638200000,664200000,574300000,583200000,494333000,542926000,640137000,823308000,703576000,2177286000,2868747000,6555000000,-12710000000,6503000000,9068000000,9140000000,5814000000,5351000000,97000000,-13382000000,-2792000000,3633000000,4754000000,1091000000,2437000000,8366000000
18,Operating Income ratio,- -,- -,0.5534,0.4711,0.3799,0.3870,0.1674,0.2042,0.3230,0.3350,0.3320,0.3268,0.3090,0.2645,0.2953,0.3351,0.3722,0.2966,0.5210,0.4954,0.3870,-0.7142,0.4324,0.4777,0.4377,0.3228,0.2558,0.0045,-0.8429,-0.1883,0.2215,0.2552,0.0758,0.1716,0.3662
19,Total Other Income Expenses (Gains),-9300000,-17000000,-15000000,-26300000,-30000000,-42800000,-26700000,6000000,-104900000,-164800000,-187800000,-249900000,-251000000,-257773000,-184150000,-226916000,-239533000,-129192000,-140348000,-42876000,-422000000,-599000000,-687000000,-556000000,-322000000,-327000000,-438000000,-521000000,-639000000,-680000000,-731000000,-862000000,-785000000,-640000000,-707000000
20,Income Before Tax,67900000,183000000,188600000,178200000,147600000,233600000,128300000,253600000,487600000,473400000,476400000,324400000,332200000,236560000,358776000,413221000,583775000,574384000,2036938000,2825871000,6133000000,-13309000000,5816000000,8512000000,8818000000,5487000000,4913000000,-424000000,-14021000000,-3472000000,2902000000,3892000000,306000000,1797000000,7659000000
21,Income Before Tax Ratio,0.3574,0.5463,0.5126,0.4105,0.3157,0.3270,0.1386,0.2092,0.2658,0.2485,0.2381,0.1846,0.1760,0.1266,0.1951,0.2163,0.2639,0.2422,0.4874,0.4880,0.3621,-0.7479,0.3867,0.4484,0.4223,0.3047,0.2348,-0.0198,-0.8831,-0.2341,0.1769,0.2089,0.0212,0.1266,0.3353
22,Income Tax expense (Gain),24500000,88800000,89900000,85600000,45600000,103700000,67600000,123400000,234000000,247200000,231300000,170600000,195700000,159573000,202979000,245518000,338053000,330680000,915068000,1201175000,2400000000,-2844000000,2307000000,2983000000,3087000000,1510000000,1475000000,324000000,-1935000000,371000000,883000000,991000000,510000000,944000000,2299000000
23,Net Income,43400000,94200000,98700000,92600000,96200000,129900000,50800000,130200000,253600000,226200000,245100000,153800000,136500000,76987000,113025000,164654000,181660000,202267000,995127000,1456509000,2977000000,-11067000000,2749000000,4336000000,4560000000,3041000000,2658000000,-1268000000,-12195000000,-4315000000,1817000000,2602000000,-239000000,599000000,4306000000
24,Net Income ratio,0.2284,0.2812,0.2683,0.2133,0.2058,0.1819,0.0549,0.1074,0.1383,0.1187,0.1225,0.0875,0.0723,0.0412,0.0615,0.0862,0.0821,0.0853,0.2381,0.2515,0.1757,-0.6219,0.1828,0.2284,0.2184,0.1689,0.1270,-0.0591,-0.7681,-0.2910,0.1108,0.1397,-0.0166,0.0422,0.1885
25,EPS,0.11,0.23,0.29,0.27,0.27,0.33,0.06,0.19,0.49,0.45,0.53,0.34,0.31,0.13,0.27,0.44,0.49,0.43,2.59,3.66,4.06,-14.86,3.05,4.67,4.81,3.20,2.65,-1.26,-11.31,-3.16,1.25,1.56,-0.16,0.41,2.96
26,EPS Diluted,0.11,0.23,0.29,0.27,0.27,0.33,0.06,0.19,0.49,0.45,0.53,0.34,0.30,0.13,0.27,0.43,0.48,0.42,2.33,3.31,3.75,-14.86,2.93,4.57,4.78,3.19,2.64,-1.26,-11.31,-3.16,1.25,1.55,-0.17,0.41,2.96
27,Weighted Average Shares Outstanding,412682927,412682927,339655172,342962963,363018868,372424242,396363636,411510000,408812000,393364000,392784000,350706000,327226000,307994000,287904000,289298000,311610000,364544000,360540000,381460000,682000000,764000000,828000000,916000000,947000000,949000000,1002000000,1039000000,1082000000,1318000000,1447000000,1449000000,1451000000,1458000000,1468473516
28,Weighted Average Shares Outstanding Diluted,412682927,412682927,339655172,342962963,363018868,372424242,396363636,411510000,408812000,393364000,395306000,350708000,329134000,309038000,289876000,292836000,318204000,369846000,440940000,442996000,794000000,764000000,938000000,948000000,955000000,954000000,1006000000,1039000000,1082000000,1318000000,1454000000,1458000000,1451000000,1461000000,1482000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831259/000083125904000007/0000831259-04-000007-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125905000021/0000831259-05-000021-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125906000004/0000831259-06-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125907000029/0000831259-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125908000026/0000831259-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125909000018/0000831259-09-000018-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125910000010/0000831259-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125911000014/0000831259-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125912000014/0000831259-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125913000014/0000831259-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125914000006/0000831259-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125915000016/0000831259-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125916000062/0000831259-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125917000012/0000831259-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125918000008/0000831259-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125919000009/0000831259-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/0000831259-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125921000009/0000831259-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/0000831259-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,44300000,26900000,37100000,9000000,5900000,6700000,7968000,7587000,7836000,463652000,551450000,763599000,907464000,1626000000,872000000,2656000000,3738000000,4822000000,3705000000,1985000000,464000000,224000000,4245000000,4447000000,4217000000,2020000000,3657000000,8068000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,44300000,26900000,37100000,9000000,5900000,6700000,7968000,7587000,7836000,463652000,551450000,763599000,907464000,1626000000,872000000,2656000000,3738000000,4822000000,3705000000,1985000000,464000000,224000000,4245000000,4447000000,4217000000,2020000000,3657000000,8068000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,234200000,256100000,236800000,129600000,228500000,172700000,149085000,118611000,190509000,196440000,435062000,687969000,485769000,1295000000,1212000000,1803000000,2425000000,1142000000,1629000000,2562000000,2563000000,2277000000,2094000000,1571000000,1322000000,1167000000,1412000000,1742000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,314000000,354800000,375700000,314800000,301400000,368100000,400607000,369188000,387247000,397027000,466712000,565019000,724248000,2885000000,2763000000,2870000000,3434000000,3869000000,4576000000,5018000000,5361000000,4788000000,3642000000,3893000000,4759000000,4073000000,3893000000,4497000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,10900000,15500000,11600000,9700000,10100000,17000000,11462000,52884000,52388000,43014000,6723000,5795000,33556000,97000000,386000000,104000000,254000000,214000000,387000000,407000000,657000000,173000000,454000000,868000000,422000000,655000000,341000000,523000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,603400000,653300000,661200000,463100000,545900000,564500000,569122000,548270000,637980000,1100133000,1459947000,2022382000,2151037000,5903000000,5233000000,7433000000,9851000000,10047000000,10297000000,9972000000,9045000000,7462000000,10435000000,10779000000,10720000000,7915000000,9303000000,14830000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,2360500000,2845600000,3088600000,3521700000,3474500000,3363300000,3248710000,3457277000,3320561000,3261697000,3199292000,3088931000,3098502000,25715000000,16002000000,16195000000,16785000000,20135000000,20999000000,47401000000,45494000000,34789000000,23310000000,22844000000,28010000000,29584000000,29818000000,30345000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6105000000,- -,- -,- -,- -,- -,1916000000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000000,364000000,347000000,328000000,325000000,334000000,380000000,334000000,- -,305000000,306000000,398000000,402000000,401000000,412000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6577000000,364000000,347000000,328000000,325000000,334000000,2296000000,334000000,317000000,305000000,306000000,398000000,402000000,401000000,412000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,- -,- -,142000000,- -,- -,- -,632000000,178000000,328000000,339000000,303000000,262000000,316000000,303000000,295000000,232000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,76300000,82800000,115700000,167400000,172200000,155100000,132909000,206382000,233652000,356536000,427756000,404893000,140263000,2466000000,1612000000,2021000000,2422000000,1563000000,2958000000,3624000000,3594000000,3670000000,2964000000,3111000000,2772000000,2605000000,2327000000,2203000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2436800000,2928400000,3204300000,3689100000,3646700000,3518400000,3381619000,3663659000,3554213000,3618233000,3627048000,3527824000,3238765000,34758000000,18120000000,18563000000,19535000000,22023000000,25143000000,53501000000,49750000000,39115000000,26882000000,26523000000,31496000000,32894000000,32841000000,33192000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,3040200000,3581700000,3865500000,4152200000,4192600000,4082900000,3950741000,4211929000,4192193000,4718366000,5086995000,5550206000,5389802000,40661000000,23353000000,25996000000,29386000000,32070000000,35440000000,63473000000,58795000000,46577000000,37317000000,37302000000,42216000000,40809000000,42144000000,48022000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,401800000,351500000,358300000,261900000,289300000,317300000,313208000,307526000,262310000,311948000,386590000,573560000,520212000,1195000000,1164000000,890000000,1272000000,1353000000,1568000000,2144000000,2439000000,2342000000,1540000000,1380000000,1661000000,1654000000,1473000000,2035000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,24100000,86900000,136600000,80900000,127800000,114800000,202294000,205420000,77112000,152396000,78214000,253350000,19116000,31000000,67000000,16000000,95000000,4000000,2000000,312000000,478000000,649000000,1232000000,1414000000,17000000,49000000,72000000,410000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,474000000,800000000,255000000,185000000,326000000,547000000,225000000,156000000,694000000,274000000,198000000,400000000,1605000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33422000,36754000,35335000,33021000,57184000,125763000,- -,- -,- -,180000000,69000000,94000000,115000000,105000000,48000000,82000000,91000000,35000000,- -,65000000,191000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,5700000,88400000,103000000,132900000,101400000,83000000,118410000,82059000,161697000,132103000,199737000,484884000,307358000,2643000000,1927000000,2096000000,2216000000,1514000000,1679000000,2202000000,2150000000,1268000000,1411000000,2153000000,1616000000,1506000000,1807000000,3256000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,431600000,526800000,597900000,475700000,518500000,515100000,633912000,628427000,537873000,631782000,697562000,1368978000,972449000,3869000000,3158000000,3002000000,3763000000,2940000000,3343000000,4773000000,5172000000,4307000000,4265000000,5038000000,3329000000,3209000000,3417000000,5892000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,525600000,1080300000,1426300000,2308100000,2329000000,2033400000,1987731000,2133180000,1961278000,2075934000,1873692000,1002598000,660999000,7180000000,7284000000,6330000000,4660000000,3533000000,3525000000,20394000000,18492000000,19779000000,14795000000,11703000000,11124000000,9821000000,9677000000,9359000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,292600000,305500000,359700000,403000000,471200000,553400000,599536000,671015000,706510000,885248000,932416000,902386000,800310000,7300000000,2339000000,2503000000,2873000000,3255000000,3597000000,7497000000,6466000000,4440000000,3935000000,3913000000,4262000000,4465000000,4669000000,4466000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,213000000,186200000,200600000,126000000,124000000,114700000,112831000,581908000,590019000,161859000,200228000,210259000,297915000,2839000000,3471000000,3404000000,3530000000,3789000000,3664000000,5578000000,6191000000,6007000000,5065000000,5352000000,5609000000,5866000000,5713000000,5286000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1031200000,1572000000,1986600000,2837100000,2924200000,2701500000,2700098000,3386103000,3257807000,3123041000,3006336000,2115243000,1759224000,17319000000,13094000000,12237000000,11063000000,10577000000,10786000000,33469000000,31149000000,30226000000,23795000000,20968000000,20995000000,20152000000,20059000000,19111000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248000000,228000000,319000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,1462800000,2098800000,2584500000,3312800000,3442700000,3216600000,3334010000,4014530000,3795680000,3754823000,3703898000,3484221000,2731673000,21188000000,16252000000,15239000000,14826000000,13517000000,14129000000,38242000000,36321000000,34533000000,28060000000,26006000000,24324000000,23361000000,23476000000,25003000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349990000,- -,1100000000,1100000000,1099985000,3975000000,3707000000,2875000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21900000,21876000,21889000,22008000,26000000,28496000,29696000,30993000,50000000,51000000,55000000,107000000,107000000,107000000,117000000,117000000,137000000,157000000,158000000,158000000,158000000,159000000,160000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,41900000,78600000,77500000,107700000,190600000,291400000,330901000,407397000,534447000,646933000,604680000,1086191000,1414817000,3601000000,-8267000000,-5805000000,-2590000000,546000000,2399000000,2742000000,128000000,-12387000000,-16540000000,-14722000000,-12041000000,-12280000000,-11681000000,-7375000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-525600000,-721200000,-888700000,-1091000000,-1339400000,-1605800000,-1878893000,-2123064000,10963000,8668000,11342000,10749000,-19854000,42000000,-305000000,-273000000,-323000000,-465000000,-506000000,-405000000,-544000000,-503000000,-548000000,-487000000,-605000000,-676000000,-583000000,-388000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2061100000,2125500000,2092200000,1822700000,1898700000,2158800000,2142847000,1891177000,-650582000,94383000,-580869000,-383642000,-80840000,10566000000,10587000000,12267000000,15310000000,15454000000,15543000000,18480000000,18586000000,20581000000,22982000000,23028000000,22286000000,22096000000,22279000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,1577400000,1482900000,1281000000,839400000,749900000,866300000,616731000,197399000,266826000,775984000,1163649000,1842994000,2445101000,18234000000,5773000000,9119000000,12504000000,15642000000,17543000000,20934000000,18287000000,7828000000,6051000000,7977000000,9798000000,9298000000,10174000000,13980000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,3040200000,3581700000,3865500000,4152200000,4192600000,4082900000,3950741000,4211929000,4062506000,4530807000,4867547000,5327215000,5176774000,39422000000,22025000000,24358000000,27330000000,29159000000,31672000000,59176000000,54608000000,42361000000,34111000000,33983000000,34122000000,32659000000,33650000000,38983000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129687000,187559000,219448000,222991000,213028000,1239000000,1328000000,1638000000,2056000000,2911000000,3768000000,4297000000,4187000000,4216000000,3206000000,3319000000,8094000000,8150000000,8494000000,9039000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,3040200000,3581700000,3865500000,4152200000,4192600000,4082900000,3950741000,4211929000,4192193000,4718366000,5086995000,5550206000,5389802000,40661000000,23353000000,25996000000,29386000000,32070000000,35440000000,63473000000,58795000000,46577000000,37317000000,37302000000,42216000000,40809000000,42144000000,48022000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831259/000083125904000007/0000831259-04-000007-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125905000021/0000831259-05-000021-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125906000004/0000831259-06-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125907000029/0000831259-07-000029-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125908000026/0000831259-08-000026-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125909000018/0000831259-09-000018-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125910000010/0000831259-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125911000014/0000831259-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125912000014/0000831259-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125913000014/0000831259-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125914000006/0000831259-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125915000016/0000831259-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125916000062/0000831259-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125917000012/0000831259-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125918000008/0000831259-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125919000009/0000831259-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/0000831259-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125921000009/0000831259-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125922000009/0000831259-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,98700000,92600000,96200000,129900000,50800000,130200000,253600000,226200000,245100000,153800000,136500000,76987000,113025000,164654000,181660000,202267000,995127000,1456509000,2977000000,-11067000000,2749000000,4336000000,4560000000,3041000000,2658000000,-1268000000,-12195000000,-4315000000,1817000000,2602000000,-239000000,599000000,4306000000
74,Depreciation and Amortization,- -,- -,24600000,35500000,38400000,65600000,67900000,75100000,124100000,174000000,213900000,277400000,293200000,283556000,283889000,272475000,246999000,214909000,259108000,232539000,1264000000,1899000000,1137000000,1128000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1528000000,- -
75,Deferred Income Tax,- -,- -,27900000,37200000,17100000,52200000,8500000,77500000,22700000,54200000,61700000,62200000,60100000,49154000,67086000,51476000,110653000,76253000,-32347000,15743000,-288000000,-4653000000,135000000,286000000,523000000,269000000,277000000,-929000000,-2039000000,239000000,-317000000,-527000000,59000000,167000000,-171000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,102000000,121000000,117000000,100000000,173000000,106000000,85000000,86000000,71000000,76000000,63000000,99000000,98000000
77,Change in Working Capital,- -,- -,-22500000,- -,- -,- -,- -,171800000,-45300000,-63200000,-75900000,40000000,22000000,-114190000,-15367000,180264000,368244000,294034000,-108981000,525184000,855412000,41000000,2356000000,1657000000,1019000000,-153000000,-1755000000,-1326000000,-718000000,3015000000,-429000000,1650000000,-2685000000,1180000000,755000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542000000,-962000000,-680000000,1246000000,-365000000,49000000,215000000,813000000,-175000000,427000000,649000000,119000000,132000000,-472000000
79,Inventory,- -,- -,-9100000,-26600000,-50100000,-10600000,-36700000,-60800000,-47300000,-6500000,52000000,6300000,-52900000,-39624000,20844000,-23793000,-30607000,-91744000,-108225000,-146188000,272000000,-478000000,-159000000,-593000000,-431000000,-729000000,-288000000,-249000000,379000000,117000000,-393000000,-631000000,259000000,42000000,-618000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000000,-359000000,-394000000,-217000000,-28000000,110000000,-106000000,-60000000,115000000,495000000
