,https://roic.ai/company/PHX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1600000,1400000,1700000,1700000,1500000,2300000,2500000,2500000,2900000,3502730,4208922,8109687,9141854,9148937,12051779,16607501,19169117,25382430,33746559,26400395,21732393,26469306,6811791,7519200,7387724,7171317,7441242,7342441,8565243,8024901,8207882
11,COGS and Expenses,2100000,1900000,2400000,2700000,2500000,3400000,4000000,3900000,4400000,5476404,6927757,11529107,13624650,13484000,17639115,22093227,26276642,25838373,42643794,36040259,31630902,37060813,40618962,43328894,48681271,45248971,38521759,39197759,39250251,30016006,27890245
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6946,- -,- -,- -,- -,462296,1550483,1344619,1275138,1748101,1995789,1286788,995127
14,Depreciation and Amortization,900000,800000,1000000,900000,700000,1400000,1500000,1400000,1700000,2052489,2519496,6962013,6475677,6957186,7738866,13152320,19053457,20311040,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7745804
15,EBITDA,1300000,1500000,1700000,2100000,1400000,3900000,4500000,2800000,2400000,5838416,8386882,7012072,14654299,16750011,22814652,28312539,27755921,52761111,-4966075,16320690,11685912,10644996,20690049,37283758,15707824,-16653265,5496071,3644770,-52230149,-30954249,1872643
16,EBITDA ratio,0.5200,0.5769,0.5484,0.5385,0.4375,0.6610,0.6429,0.5283,0.4706,0.6305,0.6554,0.5159,0.6526,0.6807,0.6850,0.7553,0.7093,0.7633,-0.1243,0.3612,0.2667,0.2219,0.3520,0.4652,0.2973,-0.5489,0.1432,0.0787,-1.3925,-1.2397,0.0852
17,Operating Income,400000,700000,700000,1200000,700000,2500000,3000000,1400000,700000,3783881,5868165,946056,8831388,11122609,15667608,15392453,9090437,42754368,-2686827,9149362,12190985,10910612,18152076,36823516,4150341,-14909250,-134246,7098526,-1742851,-5047623,-5918577
18,Operating Income ratio,0.1600,0.2692,0.2258,0.3077,0.2188,0.4237,0.4286,0.2642,0.1373,0.4086,0.4586,0.0696,0.3933,0.4520,0.4704,0.4106,0.2323,0.6186,-0.0672,0.2025,0.2782,0.2274,0.3089,0.4594,0.0786,-0.4914,-0.0035,0.1533,-0.0465,-0.2022,-0.2694
19,Total Other Income Expenses (Gains),- -,- -,100000,- -,- -,- -,- -,- -,- -,2046,-779,-895997,-699266,-1329784,-591822,-232234,-387973,-10304297,-2286194,7171328,-505073,-265616,2537973,-2054,10007000,-3088634,4355179,-5201857,-52483087,-27193414,-949711
20,Income Before Tax,400000,700000,- -,1200000,700000,2500000,3000000,1400000,- -,3785927,5867386,50059,8132122,9792825,15075786,15160219,8702464,32450071,-4973021,16320690,11685912,10644996,20690049,36821462,14157341,-17997884,4220933,1896669,-54225938,-32241037,-6868288
21,Income Before Tax Ratio,0.1600,0.2692,- -,0.3077,0.2188,0.4237,0.4286,0.2642,- -,0.4088,0.4585,0.0037,0.3621,0.3980,0.4526,0.4044,0.2224,0.4695,-0.1245,0.3612,0.2667,0.2219,0.3520,0.4594,0.2680,-0.5932,0.1100,0.0410,-1.4457,-1.2913,-0.3126
22,Income Tax expense (Gain),100000,100000,- -,100000,100000,500000,700000,100000,- -,925000,1600000,-293000,2217000,3063000,4591000,4586000,2359000,10894302,-2568000,4901000,3192000,3274000,6730000,11820000,4836000,-7711000,689000,-12739000,-13481000,-8289000,-651051
23,Net Income,300000,600000,700000,1100000,600000,2000000,2300000,1300000,700000,2860927,4267386,343059,5961622,6729825,10484786,10574219,6343464,21555769,-2405021,11419690,8493912,7370996,13960049,25001462,9321341,-10286884,3531933,14635669,-40744938,-23952037,-6217237
24,Net Income ratio,0.1200,0.2308,0.2258,0.2821,0.1875,0.3390,0.3286,0.2453,0.1373,0.3089,0.3335,0.0252,0.2655,0.2735,0.3148,0.2821,0.1621,0.3119,-0.0602,0.2527,0.1938,0.1537,0.2375,0.3119,0.1764,-0.3391,0.0920,0.3161,-1.0863,-0.9593,-0.2830
25,EPS,0.02,0.04,0.04,0.06,0.04,0.12,0.14,0.08,0.04,0.17,0.26,0.02,0.36,0.40,0.63,0.63,0.38,1.27,-0.14,0.68,0.51,0.44,0.83,1.49,0.56,-0.61,0.21,0.86,-2.43,-1.41,-0.24
26,EPS Diluted,0.02,0.04,0.04,0.06,0.04,0.12,0.14,0.08,0.04,0.17,0.26,0.02,0.35,0.40,0.62,0.63,0.38,1.27,-0.14,0.68,0.51,0.44,0.83,1.49,0.56,-0.61,0.21,0.86,-2.43,-1.41,-0.24
27,Weighted Average Shares Outstanding,16000000,17142857,16000000,17600000,16245936,16262064,16263048,16165803,16380056,16465767,16492313,16143953,16675866,16720062,16775658,16958812,16998466,16984756,16794674,16844774,16787780,16721862,16713808,16727183,16768904,16840856,16900185,16952664,16575160,17010934,25925536
28,Weighted Average Shares Outstanding Diluted,16000000,17142857,16000000,17600000,16245936,16470588,16470588,16250000,16511248,16585084,16653214,17152950,16852642,16930377,16910945,16958812,16998466,17027224,16794674,16844774,16787780,16721862,16713808,16727183,16768904,16840856,16900185,16952664,16575160,17010934,25925536
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315131/0000950134-95-003414-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315131/000095013402015912/0000950134-02-015912-index.html,- -,https://www.sec.gov/Archives/edgar/data/315131/000095013404019659/0000950134-04-019659-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013405023048/0000950134-05-023048-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013406023047/0000950134-06-023047-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013407025293/0000950134-07-025293-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013408022040/0000950134-08-022040-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095012309069440/0000950123-09-069440-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095012310112306/0000950123-10-112306-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000119312511334649/0001193125-11-334649-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000119312512498518/0001193125-12-498518-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156276213000418/0001562762-13-000418-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000031513114000033/0000315131-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000031513115000018/0000315131-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459016030114/0001564590-16-030114-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459017024841/0001564590-17-024841-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459018030818/0001564590-18-030818-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459019045877/0001564590-19-045877-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459020056736/0001564590-20-056736-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459021060165/0001564590-21-060165-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,800000,600000,1100000,400000,400000,900000,300000,200000,815912,98970,242836,593006,642343,1638833,434353,989360,895708,639908,5597258,3506999,1984099,2867171,509755,603915,471213,557791,532502,6160691,10690395,2438511
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,800000,600000,1100000,400000,400000,900000,300000,200000,815912,98970,242836,593006,642343,1638833,434353,989360,895708,639908,5597258,3506999,1984099,2867171,509755,603915,471213,557791,532502,6160691,10690395,2438511
34,Net Receivables,300000,400000,500000,400000,600000,800000,1000000,900000,1100000,1955590,1860675,2533249,3989877,4962992,6641447,8361259,8216132,19563124,8364225,9867122,8811404,8349865,14382812,16853465,8717489,5371103,8075430,7134794,5883088,6748447,8842924
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,-100000,- -,100000,3817,4552,5709,117422,239895,21520,- -,106916,646193,2003717,1894305,942655,1288881,555196,2005391,4462780,729937,1356154,578880,2433676,351088,942082
37,Total Current Assets,1700000,1200000,1100000,1500000,1000000,1200000,1800000,1200000,1400000,2775319,1964197,2781794,4700305,5845230,8301800,8795612,9312408,21105025,11007850,17358685,13261058,11622845,17805179,19368611,13784184,6572253,9989375,8246176,14477455,17789930,12223517
38,PP&E,4900000,5300000,5700000,5900000,6600000,9200000,10200000,11700000,11800000,13327292,19347744,40951502,43672485,47434576,52296311,61310193,68532915,99773187,96087214,86218548,96135963,121617055,127918127,225084293,222792090,191405651,196584358,198284401,111724911,81562264,104208904
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,682391,754208,667504,1034870,1574642,1936421,2248999,157322,170486,219109,205076,79308,308
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911960,- -,- -,- -,- -,- -,- -,- -,- -,-985101
44,Other Non-Current Assets,- -,100000,100000,100000,200000,100000,100000,100000,100000,107716,3967743,1103764,1029744,906556,643581,-156563,-305526,128971,772177,793398,1359668,- -,540482,251279,- -,- -,- -,- -,237505,590333,1563386
45,Total Non-Current Assets,4900000,5400000,5800000,6000000,6800000,9300000,10300000,11800000,11900000,13435008,23315487,42055266,44702229,48341132,52939892,62153630,69227389,100902158,97541782,87766154,98163135,123563885,130033251,227271993,225041089,191562973,196754844,198503510,112167492,82231905,104787497
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6600000,6600000,6900000,7500000,7800000,10500000,12100000,13000000,13300000,16210327,25279684,44837060,49402534,54186362,61241692,70949242,78539797,122007183,108549632,105124839,111424193,135186730,147838430,246640604,238825273,198135226,206744219,206749686,126644947,100021835,117011014
48,Accounts Payable,- -,100000,100000,100000,100000,200000,400000,600000,500000,703917,856594,653758,552201,825941,700242,1564176,1773255,15897565,4810687,5062806,4899593,6447692,8409634,7034773,2028746,2351623,1847230,881130,665160,997637,772717
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3996000,2000004,2000004,2000004,2000004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1750000,132287
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334050
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,400000,200000,400000,300000,300000,500000,400000,200000,200000,358596,63269,531493,812756,1077651,2131548,233718,348042,608456,2760471,2197018,1047369,1180050,1890957,2414801,2848001,2122170,1690789,4855996,2433466,1706413,14231375
53,Total Current Liabilities,400000,300000,500000,400000,400000,700000,800000,800000,700000,1062513,919863,5181251,3364961,3903596,4831794,3797898,2121297,16506021,7571158,7259824,5946962,7627742,10300591,9449574,4876747,4473793,3538019,5737126,3098626,4454050,15136379
54,Long-Term Debt,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,4050000,14024000,12666661,8516657,3166653,1166649,4661471,9704100,10384722,- -,- -,14874985,8262256,78000000,65000000,44500000,52222000,51000000,35425000,27000000,18289339
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343906
56,Deferred Tax Liabilities,900000,800000,600000,600000,700000,900000,1200000,1500000,1500000,1794000,3284000,8639000,10315000,12249000,13321750,15498750,16827750,25943750,24064650,22552650,24777650,26708907,31226907,37363907,39118907,30986907,31051007,18088007,5976007,1329007,343906
57,Other Non-Current Liabilities,- -,100000,100000,100000,100000,-100000,100000,-100000,100000,- -,30771,39515,528227,816594,1286145,1420248,1247908,1504411,2406759,1730369,1897264,2122950,2393190,2638470,2824944,2982707,3225654,3159348,2835781,4244852,4188745
58,Total Non-Current Liabilities,900000,900000,700000,700000,800000,1600000,1300000,1400000,1600000,1794000,7364771,22702515,23509888,21582251,17774548,18085647,22737129,37152261,36856131,24283019,26674914,43706842,41882353,118002377,106943851,78469614,86498661,72247355,44236788,32573859,23165896
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1048733,921626
61,Total Liabilities,1300000,1200000,1200000,1100000,1200000,2300000,2100000,2200000,2300000,2856513,8284634,27883766,26874849,25485847,22606342,21883545,24858426,53658282,44427289,31542843,32621876,51334584,52182944,127451951,111820598,82943407,90036680,77984481,47335414,37027909,38302275
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,68673,68881,69314,69637,69830,70091,140375,140524,140524,140524,140524,140524,140524,140524,280938,280938,280938,280938,281502,281509,377304,545956
64,Retained Earnings,4800000,4900000,5300000,6000000,6200000,7800000,9500000,10200000,10400000,12676861,16223221,15987337,21366162,27343835,36779962,45798166,50035998,69236604,64507547,73599733,79771563,84821395,96454449,118794188,125446473,112482284,113330216,125266945,81848301,56244100,48966420
65,Other Comprehensive Income/Loss,-8900000,-9700000,-10700000,-11600000,-12300000,-13700000,-15100000,-16600000,-18300000,-20390441,-22909937,-27860713,-31685848,-37755438,-43787403,-53654385,-68424645,-87661433,-112900027,-131983249,-146147514,-165199079,-186641291,-204731661,-228036803,-251707749,-246483979,-243257472,-259314590,-263590801,- -
66,Other Total Stockholders Equity,9400000,10200000,11100000,12000000,12700000,14100000,15600000,17200000,18800000,20998721,23612885,28757356,32777734,39042288,45572700,56781541,71929494,86633206,112374299,131824988,145037744,164089306,185701804,204845188,229314067,254136346,249580364,246474230,256494313,269963323,29196363
67,Total Stockholders Equity,5300000,5400000,5700000,6400000,6600000,8200000,10000000,10800000,11000000,13353814,16995050,16953294,22527685,28700515,38635350,49065697,53681371,68348901,64122343,73581996,78802317,83852146,95655486,119188653,127004675,115191819,116707539,128765205,79309533,62993926,78708739
68,Total Liabilities And Stockholders Equity,6600000,6600000,6900000,7500000,7800000,10500000,12100000,13000000,13300000,16210327,25279684,44837060,49402534,54186362,61241692,70949242,78539797,122007183,108549632,105124839,111424193,135186730,147838430,246640604,238825273,198135226,206744219,206749686,126644947,100021835,117011014
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6600000,6600000,6900000,7500000,7800000,10500000,12100000,13000000,13300000,16210327,25279684,44837060,49402534,54186362,61241692,70949242,78539797,122007183,108549632,105124839,111424193,135186730,147838430,246640604,238825273,198135226,206744219,206749686,126644947,100021835,117011014
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315131/0000950134-95-003414-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315131/000095013402015912/0000950134-02-015912-index.html,- -,https://www.sec.gov/Archives/edgar/data/315131/000095013404019659/0000950134-04-019659-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013405023048/0000950134-05-023048-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013406023047/0000950134-06-023047-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013407025293/0000950134-07-025293-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095013408022040/0000950134-08-022040-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095012309069440/0000950123-09-069440-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000095012310112306/0000950123-10-112306-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000119312511334649/0001193125-11-334649-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000119312512498518/0001193125-12-498518-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156276213000418/0001562762-13-000418-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000031513114000033/0000315131-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000031513115000018/0000315131-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459016030114/0001564590-16-030114-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459017024841/0001564590-17-024841-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459018030818/0001564590-18-030818-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459019045877/0001564590-19-045877-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459020056736/0001564590-20-056736-index.htm,https://www.sec.gov/Archives/edgar/data/315131/000156459021060165/0001564590-21-060165-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,600000,700000,1100000,600000,2000000,2300000,1300000,700000,2860927,4267386,343059,5961622,6729825,10484786,10574219,6343464,21555769,-2405021,11419690,8493912,7370996,13960049,25001462,9321341,-10286884,3531933,14635669,-40744938,-23952037,-6217237
74,Depreciation and Amortization,900000,800000,1000000,900000,700000,1400000,1500000,1400000,1700000,2052489,2519496,6962013,6475677,6957186,7738866,13152320,19053457,20311040,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7745804
75,Deferred Income Tax,-200000,-100000,-200000,-100000,100000,200000,400000,- -,- -,271000,1444000,-453000,1676000,1920000,1072750,2177000,1329000,9116000,-3814000,777000,- -,1802257,4767000,6610000,2672000,-9960000,375000,-12963000,-12112000,-4647000,-985101
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502499,658850,899781,1075212,992418,1000445,1080240,981637,910320,1037588,1144071,743897,801200
77,Change in Working Capital,- -,-400000,-300000,500000,-500000,-100000,500000,-600000,300000,1012806,-668472,-3443791,3734801,606290,1528372,1527708,2193397,-2592107,-1162312,6662169,-2784765,-3318993,3509485,2414449,-1011600,-6808977,4352896,-3942306,8869779,1957051,-16248742
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9620843,-1315445,251598,461539,-5370896,-2506708,8151379,2589146,-2298256,483856,2723983,1434426,-3485762
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287883,-24896,72119,585912,298191,252860,-343186,-811749,-103389,-140600,105217,1308731,-151875
81,Other Working Capital,1300000,900000,600000,1100000,600000,500000,1000000,400000,700000,1712806,1044334,-2399457,1335344,1941634,3470006,4997714,7191111,4599004,3436692,10098861,7314096,3995103,7504588,9919037,8907437,2098460,6451356,2509050,11378829,13335880,-2912862
82,Other Non-Cash Items,200000,400000,600000,-200000,600000,300000,- -,1400000,100000,-831156,1740555,4072914,-4649732,-698001,-3670603,-3694316,-812818,-8465983,44529698,8288766,22675001,18441724,14173157,17596246,33509033,40663941,11588043,28175943,63848772,37004384,18846163
83,Cash Provided by Operating Activities,1200000,1300000,1800000,2200000,1500000,3800000,4700000,3500000,2800000,5366066,9302965,7481195,13198368,15515300,17154171,23736931,28106500,39924719,37650864,27806475,29283929,25371196,37402109,52622602,45571014,14589717,20758192,26943894,21005684,11106295,3942087
84,CAPEX,-800000,-1300000,-1600000,-1300000,-1700000,-4100000,-2900000,-3400000,-2400000,-4089851,-9486994,-6967767,-9195916,-10946471,-14741637,-22624040,-27785431,-38747749,-39915051,-11308506,-27545348,-45291427,-27549535,-38669038,-30800625,-3986235,-25807897,-22917506,-9188876,-10691386,-21357519
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15229466,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-724118,-597149,-533580,50126,-23563,3354,-1648,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282000,- -,- -,- -,-254555,-46213,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-3860027,1472957,284628,382664,4982619,1520648,833472,1040754,-36263250,-9590961,-27154603,-18144839,-24856807,-121297596,-29054905,8564925,-25084197,-10504998,15989728,3825732,255428
89,Cash Used for Investing Activites,-800000,-1300000,-1600000,-1300000,-1800000,-4100000,-2900000,-3400000,-2400000,-4089851,-13347021,-20724276,-8911288,-10563807,-9759018,-21385392,-26940679,-37706995,-36263250,-9845516,-27200816,-38288960,-26364675,-121950995,-29588485,8615051,-25107760,-21829015,10325211,-6462518,-20368919
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48346603,-21184536,- -,-28600458,-18182381,-30108589,-38833116,-32839101,-20087185,-30239800,-32217481,-12736725,-37550000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8220726,11688137
92,Common Stock Repurchased,-100000,-100000,-100000,- -,- -,-100000,- -,- -,- -,- -,-1860,-4110,-778,- -,- -,- -,- -,-4998842,- -,-291383,-1851290,-1158957,-1214638,-122044,-242313,-117165,-601853,-1219228,-7454000,-7635,-2741
93,Dividends Paid,-500000,-500000,-300000,-400000,-400000,-500000,-500000,-600000,-600000,-602600,-721026,-578943,-582797,-752152,-1048659,-1556015,-2105632,-2355163,-2324036,-2327504,-2322082,-2321164,-2326995,-2661723,-2669056,-2677305,-2684001,-2698940,-2673706,-1652164,-1060448
94,Other Financing Activites,- -,- -,- -,- -,- -,800000,-800000,- -,- -,-70910,4050000,13970000,-3353335,-4150004,-5350004,-2000004,1494818,5042629,49027225,10799814,- -,43475443,11569652,99863333,25856116,12296101,27809185,29017800,16642481,6061725,35100000
95,Cash Used/Provided by Financing Activities,-600000,-600000,-400000,-400000,-400000,200000,-1300000,-600000,-600000,-673510,3327114,13386947,-3936910,-4902156,-6398663,-3556019,-610814,-2311376,-1643414,-13003609,-4173372,11394864,-10154362,66970977,-15888369,-23337470,4436146,-5140168,-25702706,-114073,8174948
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-600000,-600000,-400000,-400000,-400000,200000,-1300000,-600000,-100000,602705,-716942,143866,350170,49337,996490,-1204480,555007,-93652,-255800,4957350,-2090259,-1522900,883072,-2357416,94160,-132702,86578,-25289,5628189,4529704,-8251884
