,https://roic.ai/company/HIMX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0091,0.0296,0.1231,0.1372,0.1007,0.1318,0.0961,0.0887,0.0828,0.0494,0.1099,0.1242,0.1229,0.0741,0.0946,0.0722,0.0447,0.0201,0.0948,0.3684
17,Operating Income,992000,3381000,32883000,68000000,65566000,103905000,60182000,43537000,35358000,16608000,67060000,74343000,72725000,30672000,59235000,8150000,3385000,-18307000,57926000,545021000
18,Operating Income ratio,0.0176,0.0257,0.1095,0.1259,0.0881,0.1132,0.0723,0.0629,0.0550,0.0262,0.0910,0.0965,0.0865,0.0443,0.0738,0.0119,0.0047,-0.0272,0.0653,0.3523
19,Total Other Income Expenses (Gains),- -,-581000,1317000,2300000,3934000,5695000,3818000,163000,-58000,192000,-1160000,1057000,12769000,2195000,183000,21942000,3635000,2539000,-1054000,-429000
20,Income Before Tax,- -,2800000,34200000,70300000,69500000,109600000,64000000,43700000,35300000,16800000,65900000,75400000,85494000,32867000,59418000,30092000,7020000,-15768000,56872000,544592000
21,Income Before Tax Ratio,- -,0.0212,0.1139,0.1301,0.0934,0.1194,0.0768,0.0631,0.0549,0.0265,0.0894,0.0978,0.1017,0.0475,0.0740,0.0439,0.0097,-0.0235,0.0641,0.3520
22,Income Tax expense (Gain),- -,3300000,-1800000,8900000,-5446000,-1860000,-8700000,7915000,6228000,7301000,15748000,19476000,21591000,11405000,10671000,4520000,2193000,416000,11712000,110657000
23,Net Income,513000,-600000,36000000,61600000,75200000,112600000,76400000,39700000,33200000,10700000,51600000,61500000,66598000,25195000,50912000,27680000,8569000,-13614000,47134000,436896000
24,Net Income ratio,0.0091,-0.0046,0.1199,0.1140,0.1010,0.1226,0.0917,0.0573,0.0517,0.0169,0.0700,0.0798,0.0792,0.0364,0.0634,0.0404,0.0118,-0.0203,0.0531,0.2824
25,EPS,0.00,-0.00,0.21,0.35,0.39,0.57,0.40,0.22,0.19,0.06,0.30,0.36,0.39,0.15,0.30,0.16,0.05,-0.08,0.27,2.50
26,EPS Diluted,0.00,-0.00,0.21,0.34,0.39,0.57,0.40,0.22,0.19,0.06,0.30,0.36,0.39,0.15,0.30,0.16,0.05,-0.08,0.27,2.50
27,Weighted Average Shares Outstanding,177395000,177395000,171428571,175880000,192794872,197536842,191615000,184826000,177518500,176886000,170528000,170211000,171095000,171785000,172327000,172425000,172510000,172550000,172854000,174614000
28,Weighted Average Shares Outstanding Diluted,181091000,181091000,171428571,181052941,192794872,197536842,191877000,185114500,177845000,176914000,170762000,171809000,171999000,172066000,172362000,172452000,172534000,172550000,173383000,174867000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1342338/000095010307001576/dp06008e_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010308001636/dp10342_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010309001122/dp13452_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010310001648/dp17787_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010311001944/dp22435_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420412025136/v308212_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420413024864/v339709_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420414022737/v370783_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420415022980/v404440_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420416093972/v434436_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420417020070/v462091_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420418017279/0001144204-18-017279-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000114420419016665/0001144204-19-016665-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000110465920037959/0001104659-20-037959-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2697000,2529000,5600000,7100000,109800000,94800000,135200000,110900000,96800000,106200000,138700000,127300000,185466000,129829000,184452000,138023000,106437000,101055000,184938000,336024000
32,Short-Term Investments,- -,- -,7800000,4000000,8800000,15200000,13900000,10700000,8600000,200000,200000,800000,2377000,18511000,10157000,10879000,11229000,11049000,16481000,28358000
33,Cash and Short-Term Investments,2697000,2529000,13400000,11100000,118600000,110000000,149100000,121600000,105400000,106400000,138900000,128100000,187843000,148340000,194609000,148902000,117666000,112104000,201419000,364382000
34,Net Receivables,6423000,- -,66100000,149800000,229600000,294800000,155500000,202700000,176200000,181100000,209000000,200700000,219368000,177198000,198148000,192077000,192131000,166231000,244917000,411482000
35,Inventory,12056000,21088000,54100000,105000000,101300000,116600000,96900000,67800000,118000000,113000000,116700000,177400000,166105000,171374000,149748000,135200000,162561000,143774000,108707000,198600000
36,Other Current Assets,5709000,64628000,10800000,34200000,17200000,16900000,33200000,31700000,86300000,115200000,102500000,133500000,156260000,200923000,160460000,186442000,182057000,182559000,139368000,218380000
37,Total Current Assets,26885000,88245000,144400000,300100000,466700000,538300000,434700000,423800000,485900000,515700000,567100000,639700000,729576000,697835000,702965000,662621000,654415000,604668000,694411000,1192844000
38,PP&E,- -,- -,10500000,23600000,37500000,45300000,46000000,50400000,46200000,46100000,50700000,58600000,56150000,54461000,48172000,84575000,111067000,138938000,132074000,133236000
39,Goodwill,- -,- -,- -,- -,- -,26900000,26800000,26800000,26800000,26800000,28100000,28100000,28138000,28138000,28138000,28138000,28138000,28138000,28138000,28138000
40,Intangible Assets,- -,- -,100000,100000,400000,12700000,11000000,8900000,6700000,4500000,8100000,5200000,4281000,4161000,3170000,2899000,10778000,8750000,7876000,6617000
41,Intangible Assets,- -,- -,100000,100000,400000,39600000,37800000,35700000,33500000,31300000,36200000,33300000,32419000,32299000,31308000,31037000,38916000,36888000,36014000,34755000
42,Investments,- -,- -,1942000,1800000,800000,7100000,11619000,13299000,25663000,26211000,12971000,22067000,11313000,14859000,14604000,13861000,14623000,17955000,18691000,17380000
43,Tax Assets,- -,- -,- -,- -,- -,4500000,3200000,2200000,1200000,800000,400000,200000,162000,123000,60000,111000,1759000,1394000,15739000,7191000
44,Other Non-Current Assets,2538000,7914000,858000,1600000,13400000,18000000,32181000,25001000,27137000,24889000,7229000,5433000,3374000,2760000,2525000,10988000,15898000,18638000,12889000,217788000
45,Total Non-Current Assets,2538000,7914000,13400000,27100000,52100000,114500000,130800000,126600000,133700000,129300000,107500000,119600000,103418000,104502000,96669000,140572000,182263000,213813000,215407000,410350000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29423000,96159000,157800000,327200000,518800000,652800000,565500000,550400000,619600000,645000000,674600000,759300000,832994000,802337000,799634000,803193000,836678000,818481000,909818000,1603194000
48,Accounts Payable,5803000,22901000,38600000,105800000,120400000,147200000,53700000,88100000,115900000,134400000,135500000,151300000,179328000,124423000,142845000,139933000,150500000,114320000,173471000,248425000
49,Short-Term Debt,- -,- -,178000,27363000,- -,- -,- -,- -,57000000,84200000,73000000,105500000,130000000,180000000,138000000,147000000,184000000,221339000,113068000,157400000
50,Tax Payable,- -,- -,2773000,- -,- -,- -,15455000,14147000,9125000,3644000,9766000,16932000,19050000,12139000,14155000,6798000,6007000,2903000,13466000,96552000
51,Deferred Revenue,- -,- -,- -,- -,6744000,12684000,21446000,17491000,11977000,16217000,15374000,9974000,7740000,3306000,5065000,- -,- -,- -,6622000,37663000
52,Other Current Liabilities,5947000,20712000,13422000,27637000,26156000,25116000,14954000,15109000,20823000,10583000,18226000,37026000,38337000,45001000,38836000,56793000,56655000,45231000,59081000,157737000
53,Total Current Liabilities,11750000,43613000,52200000,160800000,153300000,185000000,90100000,120700000,205700000,245400000,242100000,303800000,355405000,352730000,324746000,343726000,391155000,380890000,352242000,601225000
54,Long-Term Debt,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52500000,46500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10221000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1138000,965000
57,Other Non-Current Liabilities,225000,257000,600000,600000,1600000,16500000,12300000,10300000,8000000,6100000,4600000,5700000,4965000,10903000,7155000,4144000,-1025000,4604000,18739000,72301000
58,Total Non-Current Liabilities,225000,257000,700000,600000,1600000,16500000,12300000,10300000,8000000,6100000,4600000,5700000,4965000,10903000,7155000,4144000,-1025000,4604000,72377000,129987000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3068000,- -
61,Total Liabilities,11975000,43870000,52900000,161400000,154900000,201500000,102400000,131000000,213700000,251500000,246700000,309500000,360370000,363633000,331901000,347870000,390130000,385494000,424619000,731212000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11000,- -,- -,- -,- -,- -,114100000,107400000,106200000,107000000,107000000,107000000,107010000,107010000,107010000,107010000,107010000,107010000,107010000,107010000
64,Retained Earnings,- -,- -,19300000,67300000,142500000,215400000,225000000,209100000,198200000,187700000,228600000,247700000,268266000,237375000,265860000,253210000,244157000,230543000,272937000,660300000
65,Other Comprehensive Income/Loss,- -,- -,7000,36000,-275000,-7000,-314000,4000,1204000,166000,-137000,-412000,-316000,-1879000,-2467000,-1430000,-549000,-952000,-548000,-666000
66,Other Total Stockholders Equity,17437000,52289000,90224000,106755000,223423000,262898000,124385000,102949000,100274000,98571000,92480000,95536000,97664000,96198000,97330000,97858000,95930000,96386000,100777000,103080000
67,Total Stockholders Equity,17448000,52289000,104860000,165831000,363927000,451309000,463171000,419453000,405878000,393437000,427943000,449824000,472624000,438704000,467733000,456648000,446548000,432987000,480176000,869724000
68,Total Liabilities And Stockholders Equity,29423000,96159000,157760000,327231000,518827000,652809000,565571000,550453000,619578000,644937000,674643000,759324000,832994000,802337000,799634000,804518000,836678000,818481000,904795000,1600936000
69,Minority Interest,- -,- -,40000,-31000,-27000,-9000,-71000,-53000,22000,63000,-43000,-24000,- -,- -,- -,-1325000,- -,- -,5023000,2258000
70,Total Liabilities & Equity,29423000,96159000,157800000,327200000,518800000,652800000,565500000,550400000,619600000,645000000,674600000,759300000,832994000,802337000,799634000,803193000,836678000,818481000,909818000,1603194000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1342338/000095010307001576/dp06008e_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010308001636/dp10342_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010309001122/dp13452_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010310001648/dp17787_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010311001944/dp22435_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420412025136/v308212_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420413024864/v339709_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420414022737/v370783_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420415022980/v404440_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420416093972/v434436_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420417020070/v462091_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420418017279/0001144204-18-017279-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000114420419016665/0001144204-19-016665-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000110465920037959/0001104659-20-037959-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,513000,-600000,36000000,61600000,75200000,112600000,76400000,39700000,33200000,10700000,51600000,61500000,66598000,25195000,50912000,27680000,8569000,-13614000,47134000,436896000
74,Depreciation and Amortization,- -,1200000,2761000,3613000,5221000,10260000,12318000,13795000,13626000,12795000,13299000,14309000,14592000,14164000,13756000,16680000,20327000,24399000,23596000,21342000
75,Deferred Income Tax,- -,- -,-4986000,-3371000,-8938000,-14618000,-12348000,1447000,4481000,6492000,8851000,7409000,3816000,4148000,-1978000,-1601000,994000,416000,11712000,110657000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,9086000,8553000,6311000,4190000,1936000,1840000,1929000,1818000,1186000,1098000,408000,457000,763000,700000
77,Change in Working Capital,- -,- -,-52022000,-57731000,-63194000,-51947000,12552000,-34000,-6186000,755000,-35161000,-39344000,12066000,-27240000,-2294000,-3003000,-35059000,-19268000,12485000,-168522000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,102192000,-47371000,26524000,-4887000,-27876000,8161000,-19211000,41656000,-14602000,-1998000,-794000,23992000,-78297000,-166395000
79,Inventory,- -,- -,-33004000,-50912000,-1502000,-29602000,1371000,14401000,-60777000,-4135000,-16104000,-71488000,3096000,-15054000,-1716000,2250000,-45085000,-6660000,24772000,-99341000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-93301000,34360000,27843000,18431000,1192000,15744000,28038000,-54905000,18422000,-2912000,10567000,-36180000,57335000,74954000
81,Other Working Capital,- -,- -,-761000,- -,- -,- -,- -,-697000,2840000,-3989000,-333000,229000,-5000,-516000,24000,-693000,-128000,6000,4705000,41262000
82,Other Non-Cash Items,-4397000,-2193000,9559000,8353000,21407000,20867000,38492000,10169000,6199000,8516000,11642000,5409000,-5282000,4444000,23090000,-11461000,8770000,15266000,6920000,-12797000
83,Cash Provided by Operating Activities,-3884000,-1593000,-8688000,12464000,29696000,77162000,136500000,73630000,57631000,43448000,52167000,51123000,93719000,22529000,84672000,29393000,4009000,7656000,102610000,388276000
84,CAPEX,- -,- -,- -,-14733000,-17829000,-18998000,-17490000,-10692000,-7172000,-18859000,-6560000,-18412000,-10931000,-9982000,-7902000,-39818000,-50597000,-46074000,-5873000,-8030000
85,Acquisitions Net,- -,- -,- -,- -,17000,6161000,-673000,286000,- -,- -,546000,- -,- -,-3188000,-1637000,-9175000,-6094000,-1229000,510000,-598000
86,Purchases of Investments,- -,- -,-47163000,-38048000,-33501000,-59092000,-75524000,-36130000,-43406000,-17490000,-19718000,-32140000,-24003000,-63355000,-30248000,-47215000,-31043000,-57331000,-23572000,-48779000
87,Sales/Maturities of Investments,- -,- -,66312000,42028000,28270000,46865000,71891000,39263000,33443000,25834000,25043000,21792000,42880000,48402000,39561000,57251000,52420000,54866000,18835000,37303000
88,Other Investing Activites,-7130000,-28915000,-8148000,-14610000,14116000,45000,32000,-82000,-57964000,318000,-6000,-1765000,2698000,-219000,-6901000,3869000,-3877000,1849000,-12352000,-213044000
89,Cash Used for Investing Activites,-7130000,-28915000,11001000,-25363000,-8927000,-25019000,-21764000,-7255000,-75099000,-10197000,-695000,-30525000,10644000,-28342000,-7127000,-35088000,-38266000,-47767000,-22365000,-232680000
90,Debt Repayment,- -,- -,-68000,- -,- -,- -,- -,-80000000,-160000000,-250000000,-315200000,-319820000,-393000000,-362303000,-272000000,-142161000,-94000000,-366963000,-607463000,-589868000
91,Common Stock Issued,- -,- -,- -,866000,148084000,11814000,1123000,1027000,1364000,53000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-38835000,-39345000,-8656000,-36596000,-10962000,-4627000,-8886000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-13558000,- -,-39710000,-66817000,-55496000,-44097000,-21224000,-10680000,-42394000,-46042000,-51364000,-22348000,-41281000,-17210000,- -,-4000,-47424000
94,Other Financing Activites,11644000,30341000,803000,27096000,-27363000,- -,- -,80000000,217000000,251783000,315835000,330111000,392838000,364059000,271633000,142228000,114011000,402224000,610728000,632805000
95,Cash Used/Provided by Financing Activities,11644000,30341000,735000,14404000,81886000,-67241000,-74350000,-91065000,3305000,-24015000,-18931000,-32103000,-46204000,-49608000,-22715000,-41214000,2801000,35261000,3261000,-4487000
96,Effect of Forex Changes on Cash,- -,- -,- -,4000,12000,125000,34000,414000,81000,86000,32000,88000,-13000,-216000,-207000,480000,-130000,-532000,377000,-23000
97,Net Change In Cash,11644000,30341000,3048000,1509000,102667000,-14973000,40420000,-24276000,-14082000,9322000,32573000,-11417000,58146000,-55637000,54623000,-46429000,-31586000,-5382000,83883000,151086000
98,Cash at the End of Period,- -,- -,5577000,7086000,109753000,94780000,135200000,110924000,96842000,106164000,138737000,127320000,185466000,129829000,184452000,138023000,106437000,101055000,184938000,336024000
99,Cash at the Beginning of Period,- -,- -,2529000,5577000,7086000,109753000,94780000,135200000,110924000,96842000,106164000,138737000,127320000,185466000,129829000,184452000,138023000,106437000,101055000,184938000
100,Free Cash Flow,-3884000,-1593000,-8688000,-2269000,11867000,58164000,119010000,62938000,50459000,24589000,45607000,32711000,82788000,12547000,76770000,-10425000,-46588000,-38418000,96737000,380246000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1342338/000095010307001576/dp06008e_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010308001636/dp10342_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010309001122/dp13452_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010310001648/dp17787_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000095010311001944/dp22435_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420412025136/v308212_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420413024864/v339709_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420414022737/v370783_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420415022980/v404440_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420416093972/v434436_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420417020070/v462091_20f.htm,https://www.sec.gov/Archives/edgar/data/1342338/000114420418017279/0001144204-18-017279-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000114420419016665/0001144204-19-016665-index.html,https://www.sec.gov/Archives/edgar/data/1342338/000110465920037959/0001104659-20-037959-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
