,https://roic.ai/company/FIZZ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,17300000,32000000,32600000,33500000,35200000,37300000,40400000,37500000,38500000,39600000,42600000,60300000,34400000,54557000,42100000,65600000,51500000,84100000,68600000,7372000,35600000,18300000,29900000,52456000,105577000,136372000,189864000,156200000,304518000,193589000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,17300000,32000000,32600000,33500000,35200000,37300000,40400000,37500000,38500000,39600000,42600000,60300000,34400000,54557000,42100000,65600000,54500000,84100000,68600000,7372000,35600000,18300000,29900000,52456000,105577000,136372000,189864000,156200000,304518000,193589000
34,Net Receivables,27900000,27900000,29700000,32100000,33700000,27300000,35800000,34600000,39100000,41100000,43000000,41000000,48800000,46135000,48200000,52000000,49200000,53700000,53800000,55912000,61600000,64100000,58200000,59951000,61046000,71319000,84360000,84841000,84921000,86442000
35,Inventory,25800000,21700000,24200000,22600000,23000000,23600000,23400000,25200000,29100000,31700000,31000000,28700000,29800000,29738000,34400000,44100000,38800000,39600000,34700000,33353000,40900000,39200000,43900000,42924000,47922000,53355000,60920000,70702000,63482000,71480000
36,Other Current Assets,5000000,7200000,8700000,10600000,10300000,8000000,7700000,6800000,7000000,7900000,7300000,6400000,8500000,9416000,11300000,11800000,14800000,8900000,7500000,9896000,8000000,9300000,11100000,12398000,9126000,7275000,17823000,9714000,7791000,13431000
37,Total Current Assets,76000000,88800000,95200000,98800000,102200000,96200000,107300000,104100000,113700000,120300000,123900000,136400000,121500000,139846000,136000000,173500000,157300000,186300000,164600000,106533000,146100000,130900000,143100000,167729000,223671000,268321000,352967000,321457000,460712000,364942000
38,PP&E,57600000,55300000,54300000,52100000,56200000,55400000,55900000,56100000,62400000,62200000,60700000,60400000,59500000,62879000,56000000,57400000,57600000,56100000,53400000,55337000,56700000,57300000,59500000,60182000,61932000,65150000,85807000,111316000,168511000,172703000
39,Goodwill,- -,- -,- -,- -,- -,10600000,10100000,9600000,10700000,13100000,13100000,13100000,13100000,- -,13100000,13100000,13100000,13100000,13100000,13145000,13100000,13100000,13100000,13145000,13145000,13145000,13145000,13145000,13145000,13145000
40,Intangible Assets,- -,13100000,11400000,11000000,15200000,4900000,4900000,4900000,5000000,2100000,2000000,2000000,1900000,15084000,1700000,1900000,1900000,1900000,1600000,1615000,1600000,1600000,1600000,1615000,1615000,1615000,1615000,1615000,1615000,1615000
41,Intangible Assets,- -,13100000,11400000,11000000,15200000,15500000,15000000,14500000,15700000,15200000,15100000,15100000,15000000,15084000,14800000,15000000,15000000,15000000,14700000,14760000,14700000,14700000,14700000,14760000,14760000,14760000,14760000,14760000,14760000,14760000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
