,https://roic.ai/company/HEP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1283140/000095013405003702/0000950134-05-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013406003490/0000950134-06-003490-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013407004025/0000950134-07-004025-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013408002891/0000950134-08-002891-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013409002883/0000950134-09-002883-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012310013220/0000950123-10-013220-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012311014599/0000950123-11-014599-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000119312512078370/0001193125-12-078370-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314013000014/0001283140-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314014000020/0001283140-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314015000012/0001283140-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314016000083/0001283140-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314017000011/0001283140-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314018000015/0001283140-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314019000007/0001283140-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314020000010/0001283140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314021000012/0001283140-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314022000009/0001283140-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,6694000,19100000,20600000,11600000,10300000,5300000,2500000,400000,3300000,5200000,6400000,2830000,15013000,3657000,7776000,3045000,13287000,21990000,14381000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25919000,25437000,25302000,25041000,24741000,24478000,79438000,165609000,85279000,83840000,134886000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,6694000,19100000,20600000,11600000,10300000,5300000,28419000,25837000,28602000,30241000,31141000,27308000,94451000,169266000,93055000,86885000,148173000,21990000,14381000
34,Net Receivables,- -,- -,22859000,30856000,2900000,6700000,10900000,12300000,14500000,18800000,22500000,34100000,38700000,34700000,40129000,41075000,50408000,64304000,59118000,68447000,62515000,68899000
35,Inventory,- -,- -,252000,248000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-100000,1400000,1100000,600000,500000,-23019000,-24637000,-22702000,-21341000,-20841000,-20095000,-74384000,-162721000,-82968000,-79529000,-127257000,9487000,11033000
37,Total Current Assets,- -,- -,23111000,37798000,22500000,28700000,23600000,23200000,20300000,24200000,23700000,40000000,47600000,45000000,47342000,61142000,56953000,74391000,66474000,89363000,93992000,94313000
38,PP&E,- -,- -,60073000,95826000,74600000,162300000,160500000,158600000,290300000,398000000,435000000,536400000,960500000,957800000,980479000,1293060000,1328395000,1569471000,1538655000,1470354000,1453664000,1331303000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,49100000,49100000,256500000,256500000,256500000,256498000,256498000,256498000,266716000,270336000,270336000,234684000,223650000
40,Intangible Assets,- -,- -,- -,- -,4700000,60900000,56800000,54300000,122400000,115400000,108500000,101500000,94600000,87700000,80703000,73805000,66856000,129463000,115329000,101322000,87315000,73307000
41,Intangible Assets,- -,- -,- -,6801000,4700000,60900000,56800000,54300000,122400000,164500000,157600000,358000000,351100000,344200000,337201000,330303000,323354000,396179000,385665000,371658000,321999000,296957000
42,Investments,- -,- -,5154000,- -,- -,- -,- -,- -,- -,25919000,25437000,25302000,25041000,24741000,24478000,79438000,165609000,85279000,83840000,254957000,286860000,425681000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,2000000,2900000,2700000,2800000,6700000,4181000,1563000,7298000,9859000,10759000,12055000,13703000,9926000,28794000,27906000,12900000,11050000,17613000
45,Total Non-Current Assets,- -,- -,65227000,102627000,81300000,226100000,220000000,215700000,419400000,592600000,619600000,927000000,1346500000,1337500000,1354213000,1716504000,1827284000,2079723000,2036066000,2109869000,2073573000,2071554000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,88338000,140425000,103800000,254800000,243600000,238900000,439700000,616800000,643300000,967000000,1394100000,1382500000,1401555000,1777646000,1884237000,2154114000,2102540000,2199232000,2167565000,2165867000
48,Accounts Payable,- -,- -,18013000,24067000,1700000,3000000,3800000,9000000,8000000,6200000,10200000,11400000,12000000,22900000,17881000,22583000,26942000,22272000,30657000,34555000,28280000,28577000
49,Short-Term Debt,- -,- -,- -,30082000,- -,- -,- -,- -,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4350000,4588000,4406000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2196000,2688000,2603000,2703000,3764000,5397000,4652000,1779000,3799000,3992000,4542000
51,Deferred Revenue,- -,- -,- -,- -,- -,1013000,5486000,3700000,15658000,8402000,10437000,4032000,8901000,13981000,12432000,12016000,11102000,9598000,8697000,10390000,11368000,14585000
52,Other Current Liabilities,- -,- -,2046000,1979000,1700000,5287000,4914000,5000000,5542000,5198000,10763000,12268000,14899000,14719000,13889000,14325000,26691000,23615000,18543000,19310000,35509000,29284000
53,Total Current Liabilities,- -,- -,20059000,56128000,3400000,9300000,14200000,17700000,58200000,19800000,31400000,27700000,35800000,51600000,44202000,48924000,64735000,55485000,57897000,68605000,79745000,76852000
54,Long-Term Debt,- -,- -,- -,- -,25000000,180700000,180700000,181400000,355800000,390800000,491600000,605900000,864700000,807600000,867579000,1008752000,1243912000,1507308000,1418900000,1532506000,1476126000,1399728000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11494000,21669000,29392000,39063000,47035000,47272000,48714000,- -,40581000,29662000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48714000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,961000,13800000,12700000,12400000,12000000,27800000,12400000,10900000,4000000,129506000,132231000,140020000,149114000,150321000,150090000,100880000,217018000,65755000,69076000
58,Total Non-Current Liabilities,- -,- -,- -,961000,38800000,193400000,193100000,193400000,383600000,403200000,502500000,609900000,1005700000,961500000,1036991000,1196929000,1441268000,1704670000,1617208000,1749524000,1582462000,1498466000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77307000,75111000,71085000
61,Total Liabilities,- -,- -,20059000,57089000,42200000,202700000,207300000,211100000,441800000,423000000,533900000,637600000,1041500000,1013100000,1081193000,1245853000,1506003000,1760155000,1675105000,1818129000,1662207000,1575318000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,84800000,145800000,130300000,122100000,105500000,297000000,261300000,482500000,502800000,516100000,468813000,428019000,510975000,393959000,427435000,381103000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-23320000,-93743000,36226000,-94239000,-12967000,-9141000,-10026000,-6464000,-4279000,-144000,-46000,190000,91000,-453761000,-531051000,-594455000,- -,- -
66,Other Total Stockholders Equity,- -,- -,68279000,- -,48000,3000,-130300000,-45000,-103402000,- -,- -,- -,- -,- -,- -,- -,- -,544867000,619177000,701110000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,61528000,52060000,36226000,27816000,-10869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,88338000,57089000,103728000,254760000,243526000,238916000,430931000,616864000,643272000,966977000,1494356000,1480034000,1496637000,1628954000,1977794000,2245220000,2190666000,2305887000,2167565000,1575318000
69,Minority Interest,- -,- -,- -,83336000,72000,40000,74000,-16000,8769000,-64000,28000,23000,-100256000,-97534000,-95082000,148692000,-93557000,-91106000,-88126000,-106655000,- -,590549000
70,Total Liabilities & Equity,- -,- -,88338000,140425000,103800000,254800000,243600000,238900000,439700000,616800000,643300000,967000000,1394100000,1382500000,1401555000,1777646000,1884237000,2154114000,2102540000,2199232000,2167565000,2165867000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1283140/000095013405003702/0000950134-05-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013406003490/0000950134-06-003490-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013407004025/0000950134-07-004025-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013408002891/0000950134-08-002891-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013409002883/0000950134-09-002883-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012310013220/0000950123-10-013220-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012311014599/0000950123-11-014599-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000119312512078370/0001193125-12-078370-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314013000014/0001283140-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314014000020/0001283140-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314015000012/0001283140-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314016000083/0001283140-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314017000011/0001283140-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314018000015/0001283140-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314019000007/0001283140-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314020000010/0001283140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314021000012/0001283140-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314022000009/0001283140-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,2423000,2670000,581000,32500000,26800000,27500000,39300000,25400000,66000000,58900000,78000000,90000000,79400000,103778000,134506000,147584000,195040000,178847000,224884000,170483000,214946000
74,Depreciation and Amortization,4940000,3740000,4475000,6453000,7224000,14408000,16257000,15757000,22889000,27597000,30682000,33150000,57461000,65423000,62166000,62852000,70428000,79278000,98492000,96705000,99578000,93800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2520000,3203000,2532000,2193000,2557000
77,Change in Working Capital,- -,- -,3052000,-21382000,37430000,300000,-10000000,-3900000,-43400000,42300000,-12100000,20000000,-500000,-18400000,9740000,9078000,-20000000,26688000,-10329000,12181000,-6511000,-13096000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-2166000,-4291000,-3741000,-11562000,-4132000,3984000,-5393000,-401000,-9801000,-8977000,5186000,-9329000,5932000,-6384000
79,Inventory,- -,- -,-14000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2805000,-1956000,2487000,642000,-10814000,7186000,-776000,4400000,-381000,-10674000,6168000,8338000,3591000,-5505000
81,Other Working Capital,- -,- -,3052000,-18330000,19100000,19400000,9400000,5500000,-37900000,4400000,-7700000,12300000,11800000,-6600000,3140000,12218000,-7782000,18906000,8577000,20758000,14247000,-1144000
82,Other Non-Cash Items,-5440000,4110000,-5926000,20257000,-61287000,1120000,12096000,7899000,58762000,-67702000,25686000,-38031000,14450000,56657000,10956000,26558000,44736000,-65039000,25000000,-39241000,49884000,-4112000
83,Cash Provided by Operating Activities,1600000,10273000,4271000,5909000,15867000,42628000,45853000,59056000,63651000,68195000,103168000,93119000,161411000,183080000,186640000,232994000,242748000,238487000,295213000,297061000,315627000,294095000
84,CAPEX,- -,- -,-6758000,-6771000,-2977000,-131795000,-9107000,-9957000,-213303000,-153744000,-60629000,-39337000,-42861000,-52101000,-79959000,-67016000,-103823000,-44810000,-47300000,-30112000,-59283000,-89995000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,31865000,- -,- -,- -,300000,263000,-82532000,-42627000,-245446000,-6841000,-17886000,-2438000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1600000,-10273000,2487000,-22526000,-3237000,- -,- -,325000,36000,- -,- -,- -,- -,2731000,- -,1473000,3420000,3983000,1798000,1738000,1971000,11530000
89,Cash Used for Investing Activites,-1600000,-10273000,-4271000,-29297000,-6214000,-131795000,-9107000,-9632000,-213267000,-147379000,-60629000,-39337000,-42861000,-49070000,-79696000,-148075000,-143030000,-286273000,-52343000,-46260000,-59750000,-78465000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233000000,-113000000,-154100000,-626235000,-368600000,-590488000,-832900000,-713000000,-819750000,-426000000,-325471000,-836602000,-557549000
91,Common Stock Issued,- -,- -,- -,- -,145460000,45100000,- -,- -,104000,133301000,- -,75815000,- -,73444000,- -,- -,125870000,52110000,114771000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-223000,-635000,-634000,-1082000,-795000,-882000,-2704000,-1641000,-4919000,-5634000,-3577000,-3555000,-3521000,-605000,-568000,-1893000,-1032000,-1958000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-43670000,-47974000,-54226000,-62688000,-84426000,-91506000,-383699000,-139486000,-154670000,-231063000,-510782000,-234575000,-264979000,-273225000,-174443000,-149432000
94,Other Financing Activites,- -,- -,- -,30082000,-142480000,46181000,-1470000,-1602000,199481000,239692000,155486000,120516000,895171000,307381000,638269000,994782000,990359000,1054725000,329175000,360030000,764903000,485700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,30082000,2757000,90646000,-45774000,-50658000,144564000,76423000,-44644000,-50916000,-119682000,-132895000,-110466000,-72736000,-111074000,51905000,-247601000,-240559000,-247174000,-223239000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,30082000,12410000,1479000,-9028000,-1234000,-5052000,-2761000,-2105000,2866000,-1132000,1115000,-3522000,12183000,-11356000,4119000,-4731000,10242000,8703000,-7609000
98,Cash at the End of Period,- -,- -,- -,6694000,19104000,20583000,11555000,10321000,5269000,2508000,403000,3269000,5237000,6352000,2830000,15013000,3657000,7776000,3045000,13287000,21990000,14381000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6694000,19104000,20583000,11555000,10321000,5269000,2508000,403000,6369000,5237000,6352000,2830000,15013000,3657000,7776000,3045000,13287000,21990000
100,Free Cash Flow,1600000,10273000,-2487000,-862000,12890000,-89167000,36746000,49099000,-149652000,-85549000,42539000,53782000,118550000,130979000,106681000,165978000,138925000,193677000,247913000,266949000,256344000,204100000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1283140/000095013405003702/0000950134-05-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013406003490/0000950134-06-003490-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013407004025/0000950134-07-004025-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013408002891/0000950134-08-002891-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095013409002883/0000950134-09-002883-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012310013220/0000950123-10-013220-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000095012311014599/0000950123-11-014599-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000119312512078370/0001193125-12-078370-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314013000014/0001283140-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314014000020/0001283140-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314015000012/0001283140-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314016000083/0001283140-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314017000011/0001283140-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314018000015/0001283140-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314019000007/0001283140-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314020000010/0001283140-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314021000012/0001283140-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283140/000128314022000009/0001283140-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
