,https://roic.ai/company/SR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-15500000,-17400000,-13700000,-17200000,-18700000,-38100000,-57515000,-27022000,-25131000,-26343000,-25179000,-28943000,-30671000,-30460000,-32199000,-28293000,-23732000,-25240000,-21673000,-26158000,-49500000,-73400000,-68600000,-82500000,-92000000,-83200000,-105400000,-110000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,34700000,30800000,50100000,50500000,42800000,40500000,40070000,45303000,34631000,53299000,55382000,60886000,72604000,74806000,83751000,96771000,81134000,93007000,88929000,70336000,116900000,199100000,213700000,239200000,187700000,219100000,101000000,340200000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0662,0.0713,0.0920,0.0838,0.0782,0.0824,0.0708,0.0452,0.0459,0.0507,0.0443,0.0381,0.0363,0.0370,0.0379,0.0511,0.0468,0.0580,0.0790,0.0692,0.0718,0.1007,0.1390,0.1374,0.0955,0.1122,0.0544,0.1522
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,9900000,17300000,18000000,14900000,14400000,14105000,14831000,12247000,18652000,19264000,20761000,23567000,25035000,26190000,32509000,27094000,29182000,26289000,17578000,32300000,62200000,69500000,77600000,-26500000,34500000,12400000,68500000
23,Net Income,29000000,29800000,22900000,24800000,22700000,16900000,20000000,18300000,25200000,22200000,20900000,32800000,32500000,27900000,26100000,25965000,30472000,22384000,34647000,36118000,40125000,49037000,49771000,77957000,64247000,54040000,63825000,62640000,52758000,84600000,136900000,144200000,161600000,214200000,184600000,88600000,271700000
24,Net Income ratio,0.0470,0.0543,0.0513,0.0513,0.0461,0.0359,0.0457,0.0438,0.0500,0.0424,0.0484,0.0602,0.0539,0.0510,0.0531,0.0459,0.0304,0.0296,0.0330,0.0289,0.0251,0.0245,0.0246,0.0353,0.0339,0.0311,0.0398,0.0557,0.0519,0.0520,0.0693,0.0938,0.0928,0.1090,0.0946,0.0478,0.1215
25,EPS,1.64,1.87,1.44,1.57,1.45,1.08,1.28,1.17,1.61,1.42,1.27,1.87,1.84,1.58,1.43,1.37,1.61,1.18,1.82,1.82,1.90,2.31,2.32,3.60,2.93,2.43,2.87,2.80,2.03,2.36,3.16,3.26,3.44,4.35,3.53,1.44,4.97
26,EPS Diluted,1.64,1.87,1.44,1.57,1.45,1.08,1.28,1.17,1.61,1.42,1.27,1.87,1.84,1.58,1.43,1.37,1.61,1.18,1.82,1.82,1.90,2.30,2.31,3.58,2.92,2.43,2.86,2.79,2.02,2.35,3.16,3.24,3.43,4.33,3.52,1.44,4.96
27,Weighted Average Shares Outstanding,17439024,15935829,15763889,15668790,15586207,15555556,15546875,15555556,15590062,15633803,16377953,17486631,17608696,17594937,18181818,18877987,18878000,18888000,19022000,19783000,21080000,21247000,21455000,21657000,21893000,21986000,22099000,22262000,25875000,35800000,43200000,44100000,46900000,49100000,50700000,51200000,51600000
28,Weighted Average Shares Outstanding Diluted,17439024,15935829,15763889,15668790,15586207,15555556,15546875,15555556,15590062,15633803,16377953,17486631,17608696,17594937,18181818,18877987,18878000,18888000,19022000,19783000,21080000,21299565,21527273,21763000,22024000,22039000,22171000,22340000,25952000,35900000,43300000,44300000,47000000,49300000,50800000,51300000,51700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126956/000106880002000370/0001068800-02-000370-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880003000679/0001068800-03-000679-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880004000659/0001068800-04-000659-index.html,- -,https://www.sec.gov/Archives/edgar/data/1126956/000112695606000040/form10k2006group.htm,https://www.sec.gov/Archives/edgar/data/1126956/000112695607000051/0001126956-07-000051-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695608000059/0001126956-08-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695609000012/0001126956-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695610000033/0001126956-10-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695611000074/0001126956-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695612000080/0001126956-12-000080-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695613000067/0001126956-13-000067-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695614000066/0001126956-14-000066-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695615000077/0001126956-15-000077-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695616000144/0001126956-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695617000063/0001126956-17-000063-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695618000065/0001126956-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459019044464/0001564590-19-044464-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459020054448/0001564590-20-054448-index.htm,https://www.sec.gov/Archives/edgar/data/1126956/000156459021057844/0001564590-21-057844-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,4400000,4500000,3700000,9400000,4215000,3223000,12870000,7291000,13854000,6013000,50778000,52746000,14899000,74591000,86919000,43277000,27457000,52981000,16100000,13800000,5200000,7400000,4400000,5800000,4100000,4300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,4400000,4500000,3700000,9400000,4215000,3223000,12870000,7291000,13854000,6013000,50778000,52746000,14899000,91769000,86919000,43277000,27457000,52981000,16100000,13800000,5200000,7400000,4400000,5800000,4100000,4300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,34400000,45600000,47900000,46100000,42000000,55207000,78491000,89478000,104334000,117683000,156644000,163142000,177669000,198959000,148339000,150552000,155172000,156219000,190057000,234900000,230500000,232000000,276700000,305500000,293900000,263300000,605500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,60600000,77000000,75000000,73400000,81500000,112479000,96267000,96197000,138434000,152295000,184608000,162834000,163196000,231479000,117318000,133068000,128360000,106472000,199151000,270200000,215400000,202300000,225800000,210300000,196600000,191500000,305000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,11200000,6400000,11900000,12800000,12500000,20695000,12555000,23810000,37831000,53804000,76861000,83092000,73724000,116571000,11357000,43656000,42325000,52868000,33691000,83700000,70400000,130100000,215600000,139400000,118200000,131700000,401700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,115300000,107800000,133400000,139300000,136000000,145400000,192596000,190536000,222355000,287890000,337636000,424126000,459846000,467335000,561908000,368783000,414195000,369134000,343016000,475880000,604900000,530100000,569600000,725500000,659600000,614500000,590600000,1316500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,434600000,457000000,476400000,497300000,524400000,545500000,575379000,602533000,641362000,621247000,646875000,691244000,777189000,805064000,826990000,859990000,884084000,933271000,1025338000,1784324000,2768900000,2941200000,3300900000,3717200000,4145000000,4829800000,5112400000,5526800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247078000,937800000,946000000,1164900000,1171600000,1171600000,1171600000,1171600000,1171600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27455000,28124000,28124000,28124000,33595000,33595000,- -,- -,- -,- -,- -,247078000,937800000,946000000,1164900000,1171600000,1171600000,1171600000,1171600000,1171600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44973000,50226000,50785000,50775000,58306000,60000000,59900000,62100000,64200000,68700000,72300000,71700000,83100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,58400000,71900000,79600000,84100000,110700000,140700000,163765000,182841000,190701000,264137000,252660000,241579000,299530000,335159000,383757000,488272000,491691000,429892000,461133000,559798000,702400000,813000000,979900000,868200000,798700000,931000000,1294900000,1258400000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,493000000,528900000,556000000,581400000,635100000,686200000,739144000,785374000,859518000,913508000,927659000,960947000,1110314000,1173818000,1210747000,1393235000,1426001000,1413948000,1537246000,2649506000,4469100000,4760100000,5507800000,5821200000,6184000000,7004700000,7650600000,8039900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,608300000,636700000,689400000,720700000,771100000,831600000,931740000,975910000,1081873000,1201398000,1265295000,1385073000,1570160000,1641153000,1772655000,1762018000,1840196000,1783082000,1880262000,3125386000,5074000000,5290200000,6077400000,6546700000,6843600000,7619200000,8241200000,9356400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,21100000,20600000,29600000,20700000,31700000,45660000,32087000,45707000,66001000,68366000,138404000,103274000,106829000,159580000,72765000,95595000,96561000,89503000,140234000,176700000,146500000,210900000,257100000,290100000,301500000,243300000,409900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186670000,218200000,96525000,110666000,207459000,251560000,216060000,129800000,154650000,46000000,65100000,74000000,287100000,418000000,648700000,577300000,729100000,783200000,708400000,727800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16809000,25278000,33711000,38798000,66200000,76400000,105100000,66900000,58200000,68200000,75900000,61000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,124200000,106700000,125600000,154800000,163000000,141700000,185444000,185609000,104420000,82075000,97739000,116490000,120149000,115276000,103564000,96575000,66870000,64095000,63810000,100146000,252800000,212900000,196600000,196600000,244300000,315900000,421600000,409600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,144300000,127800000,146200000,184400000,183700000,173400000,231104000,217696000,336797000,366276000,262630000,365560000,430882000,473665000,479204000,299140000,333924000,231934000,252124000,353178000,782800000,853800000,1161300000,1097900000,1321700000,1468800000,1449200000,1608300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,154200000,154300000,179300000,154400000,179200000,204300000,234408000,284459000,259545000,304625000,380336000,340433000,395441000,355522000,389181000,389240000,364298000,364357000,339416000,912712000,1851000000,1771500000,1833700000,1995000000,1900100000,2082600000,2423700000,2939100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,91600000,85800000,92300000,109800000,131400000,141211000,148463000,163007000,185914000,194636000,190914000,236585000,229268000,226734000,259950000,295929000,318731000,355509000,379114000,383800000,482100000,607300000,707500000,435800000,451400000,511400000,612300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35448000,44261000,70728000,120653000,103774000,153710000,190585000,296658000,310468000,294729000,331602000,434100000,548000000,609200000,706900000,755000000,930600000,1073400000,1334600000,1538500000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,239200000,245900000,265100000,246700000,289000000,335700000,375619000,432922000,458000000,534800000,645700000,652000000,735800000,738500000,806500000,945848000,970695000,977817000,1026527000,1725926000,2782800000,2862800000,3147900000,3457500000,3266500000,3607400000,4269700000,5089900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,506300000,525500000,565500000,530600000,617600000,709600000,791507000,901463000,916044000,- -,- -,1304040000,1471654000,1477036000,1613005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,411400000,407400000,446600000,468300000,512300000,547300000,646992000,686237000,794841000,901068000,908272000,1017600000,1166736000,1212201000,1285709000,1244988000,1304619000,1209751000,1278651000,2079104000,3565600000,3716600000,4309200000,4555400000,4588200000,5076200000,5718900000,6698200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1258000,1108000,948000,787000,627000,467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,242000000,242000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,19300000,19400000,19400000,19500000,20700000,20744000,20744000,18921000,19082000,20981000,21172000,21362000,21646000,21993000,22168000,22293000,22431000,22539000,32697000,43200000,43300000,45600000,48300000,50700000,51000000,51600000,51700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,173300000,173600000,184200000,193800000,198300000,199800000,200423000,205512000,202517000,211610000,220483000,231551000,250495000,268761000,312808000,342810000,361723000,389298000,414581000,420103000,437500000,494200000,550900000,614200000,715600000,775500000,720700000,843000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297900000,-311300000,-327800000,-325100000,-343100000,-357100000,-274859000,-382542000,-399636000,-409418000,-423647000,-8000000,4000000,2000000,4000000,-2000000,-7000000,-2000000,-4000000,-1000000,-2000000,-2000000,-4000000,3000000,6000000,-31000000,-2105200000,3600000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,347700000,367000000,364300000,384100000,420900000,338440000,445959000,465230000,477798000,538098000,121802000,126780000,135918000,147678000,154052000,158561000,163602000,168491000,594482000,1029700000,1038100000,1175700000,1325800000,1483100000,1505500000,3613200000,1517900000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,196900000,229300000,242800000,252400000,258800000,284300000,284748000,289673000,287032000,300330000,357023000,367473000,403424000,428952000,486946000,517030000,535577000,573331000,601611000,1046282000,1508400000,1573600000,1768200000,1991300000,2255400000,2543000000,2522300000,2658200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,608300000,636700000,689400000,720700000,771100000,831600000,931740000,975910000,1081873000,1201398000,1265295000,1385073000,1570160000,1641153000,1772655000,1762018000,1840196000,1783082000,1880262000,3125386000,5074000000,5290200000,6077400000,6546700000,6843600000,7619200000,8241200000,9356400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,608300000,636700000,689400000,720700000,771100000,831600000,931740000,975910000,1081873000,1201398000,1265295000,1385073000,1570160000,1641153000,1772655000,1762018000,1840196000,1783082000,1880262000,3125386000,5074000000,5290200000,6077400000,6546700000,6843600000,7619200000,8241200000,9356400000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126956/000106880002000370/0001068800-02-000370-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880003000679/0001068800-03-000679-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000106880004000659/0001068800-04-000659-index.html,- -,https://www.sec.gov/Archives/edgar/data/1126956/000112695606000040/form10k2006group.htm,https://www.sec.gov/Archives/edgar/data/1126956/000112695607000051/0001126956-07-000051-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695608000059/0001126956-08-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695609000012/0001126956-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695610000033/0001126956-10-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695611000074/0001126956-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695612000080/0001126956-12-000080-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695613000067/0001126956-13-000067-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695614000066/0001126956-14-000066-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695615000077/0001126956-15-000077-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695616000144/0001126956-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695617000063/0001126956-17-000063-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000112695618000065/0001126956-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459019044464/0001564590-19-044464-index.html,https://www.sec.gov/Archives/edgar/data/1126956/000156459020054448/0001564590-20-054448-index.htm,https://www.sec.gov/Archives/edgar/data/1126956/000156459021057844/0001564590-21-057844-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,22200000,20900000,32800000,32500000,27900000,26100000,25965000,30472000,22384000,34647000,36118000,40125000,49037000,49771000,77957000,64247000,54040000,63825000,62640000,52758000,84600000,136900000,144200000,161600000,214200000,184600000,88600000,271700000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36751000,37572000,39764000,41339000,49283000,83300000,130800000,137500000,154100000,168400000,181700000,197300000,213100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,9500000,-10600000,8700000,8900000,14500000,14295000,-3454000,5666000,15412000,15568000,424000,30822000,-16144000,5786000,17937000,32757000,23885000,30554000,22053000,31400000,65500000,68800000,77000000,-28700000,31800000,9000000,67000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,7200000,-32300000,-2600000,19700000,-10508000,11348000,-87282000,36056000,153392000,-16440000,-29602000,-35294000,89034000,-13061000,10628000,56929000,-46308000,31810000,-300602000,-145800000,-268000000,219300000,-289700000,-192200000,-4300000,566600000,-319300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78964000,-7594000,3106000,-9359000,-650000,-5300000,-4800000,-12300000,-63000000,-32700000,2700000,36200000,-343000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40110000,- -,- -,22167000,-780000,- -,102868000,-20263000,-1594000,22441000,-30626000,-15500000,54800000,16500000,-23500000,15500000,13600000,2600000,-111000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86184000,22457000,-4860000,-8790000,35445000,8600000,-30000000,30000000,51100000,12600000,-6400000,-43100000,177700000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-12800000,-45100000,-47700000,-28000000,-38508000,-27160000,-114442000,-78386000,75006000,58566000,28964000,-6330000,82704000,69643000,80271000,137200000,90892000,122702000,-177900000,-323700000,-591700000,-372400000,-662100000,-854300000,-858600000,-292000000,-51900000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,-9400000,51400000,15500000,-7600000,13008000,-48562000,98163000,19738000,-212480000,48871000,92145000,-52783000,-41370000,-107214000,99190000,-74383000,86021000,-38242000,340422000,69100000,257200000,-241500000,185300000,294900000,57100000,-391600000,17300000
