,https://roic.ai/company/WYNN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-10616000,-17726000,-31713000,-48892000,-205586000,-90836000,628728000,258148000,210206000,20654000,160127000,613371000,502036000,728652000,731554000,195290000,241975000,747181000,572430000,122985000,-2326946000,-755786000
24,Net Income ratio,-137.8701,-22.3531,-27.3624,-48.0275,-1054.2872,-0.1258,0.4390,0.0961,0.0704,0.0068,0.0383,0.1164,0.0974,0.1296,0.1346,0.0479,0.0542,0.1185,0.0852,0.0186,-1.1103,-0.2008
25,EPS,-0.28,-0.45,-0.68,-0.62,-2.37,-0.92,6.29,2.43,1.94,0.17,1.30,4.94,4.87,7.25,7.25,1.93,2.39,7.32,5.48,1.15,-19.37,-7.08
26,EPS Diluted,-0.28,-0.45,-0.68,-0.62,-2.37,-0.92,6.24,2.34,1.92,0.17,1.29,4.88,4.82,7.17,7.18,1.92,2.38,7.28,5.46,1.15,-19.37,-7.08
27,Weighted Average Shares Outstanding,37914286,39391111,46706000,79429000,86778000,98308000,99998000,106030000,108408000,119840000,122787000,124039000,103029000,100540000,100927000,101163000,101445000,102071000,106529000,106745000,106745000,106745000
28,Weighted Average Shares Outstanding Diluted,37914286,39391111,46706000,79429000,86778000,98308000,111627000,112685000,109441000,120185000,123939000,125667000,104249000,101641000,101931000,101671000,101855000,102598000,107032000,106985000,106745000,106745000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1174922/000095016803001027/0000950168-03-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312504040959/0001193125-04-040959-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312505051268/0001193125-05-051268-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312506055625/0001193125-06-055625-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312507044367/0001193125-07-044367-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312508036412/0001193125-08-036412-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312509041408/0001193125-09-041408-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312510043336/0001193125-10-043336-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312511050547/0001193125-11-050547-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312512089377/0001193125-12-089377-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312513087674/0001193125-13-087674-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312514077632/0001193125-14-077632-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492215000021/0001174922-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492216000144/0001174922-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492217000027/0001174922-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492218000019/0001174922-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492219000021/0001174922-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492220000024/0001174922-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492221000029/0001174922-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492222000031/0001174922-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,109644000,341552000,330261000,434289000,789407000,1275120000,1133904000,1991830000,1258499000,1262587000,1725219000,2435041000,2182164000,2080089000,2453122000,2804474000,2215001000,2351904000,3482032000,2522530000
32,Short-Term Investments,- -,- -,746490000,- -,- -,- -,- -,- -,- -,- -,- -,122066000,138887000,174399000,240140000,115297000,173437000,166773000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,856134000,341552000,330261000,434289000,789407000,1275120000,1133904000,1991830000,1258499000,1384653000,1864106000,2609440000,2422304000,2195386000,2626559000,2971247000,2215001000,2351904000,3482032000,2522530000
34,Net Receivables,- -,- -,184000,78000,227000,88468000,140232000,179059000,125196000,152879000,187464000,238490000,238573000,241932000,237957000,187887000,218968000,224128000,276644000,346429000,- -,199463000
35,Inventory,- -,- -,212000,204000,757000,39884000,64368000,73291000,120944000,107005000,86847000,72061000,63799000,74739000,72223000,74493000,91541000,71636000,66627000,88519000,66285000,69967000
36,Other Current Assets,- -,- -,48397000,60513000,119984000,121901000,101784000,54521000,31047000,31242000,28326000,31248000,35900000,42703000,49847000,48012000,53299000,156773000,83104000,69485000,264830000,83957000
37,Total Current Assets,- -,- -,904927000,402347000,451229000,684542000,1095791000,1581991000,1411091000,2282956000,1561136000,1726452000,2202378000,2968814000,2782331000,2505778000,2990367000,3423784000,2641376000,2856337000,3813147000,2875917000
38,PP&E,- -,- -,420496000,897815000,1987032000,2663870000,3157622000,3939979000,5105473000,5062059000,4921259000,4865332000,4727899000,4934449000,5855842000,7477478000,8259631000,8498756000,9385920000,10076751000,9196644000,9136673000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,7400000,7400000,7400000,60480000,67635000,60074000,49049000,44659000,40205000,35751000,31297000,30767000,112367000,110972000,113588000,123705000,222506000,146414000,- -,- -
41,Intangible Assets,- -,- -,7400000,7400000,7400000,60480000,67635000,60074000,49049000,44659000,40205000,35751000,31297000,30767000,112367000,110972000,113588000,123705000,222506000,146414000,278195000,307578000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,4696000,4102000,4232000,95877000,4270000,4148000,14416000,136983000,128023000,160682000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,26386000,- -,- -,- -,- -,- -,- -,- -,240533000,736452000,562262000,- -,- -
44,Other Non-Current Assets,- -,- -,65778000,425761000,1018551000,536391000,339132000,717238000,172306000,161607000,147665000,176084000,310750000,438852000,297905000,291048000,461948000,234279000,230015000,229517000,- -,210658000
45,Total Non-Current Assets,- -,- -,493674000,1330976000,3012983000,3260741000,3564389000,4717291000,5331524000,5298813000,5113361000,5173044000,5074216000,5408216000,6280530000,8016481000,8963190000,9257955000,10574893000,11014944000,9474839000,9654909000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1398601000,1733323000,3464212000,3945283000,4660180000,6299282000,6742615000,7581769000,6674497000,6899496000,7276594000,8377030000,9062861000,10522259000,11953557000,12681739000,13216269000,13871281000,13287986000,12530826000
48,Accounts Payable,- -,- -,10208000,49754000,86520000,79768000,115612000,182718000,232136000,135501000,168135000,171608000,164858000,272861000,303284000,210372000,298505000,285437000,321796000,262437000,148478000,- -
49,Short-Term Debt,- -,- -,38000,41000,718000,24473000,13548000,9011000,2685000,2675000,2675000,407934000,1050000,1050000,- -,- -,- -,62690000,11960000,323876000,596408000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,68237000,102156000,175051000,179521000,165111000,207318000,137269000,98559000,162706000,211600000,247341000,168043000,66346000,73173000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,209906000,318755000,368621000,576011000,544649000,704401000,548818000,436409000,599566000,1049629000,955450000,824269000,- -,- -
52,Other Current Liabilities,- -,- -,10406000,21381000,82715000,165538000,381927000,393454000,279048000,268654000,348498000,424340000,420820000,477222000,461063000,463390000,518230000,532534000,592857000,572302000,1136002000,1287880000
53,Total Current Liabilities,- -,- -,20652000,71176000,169953000,269779000,511087000,585183000,723775000,725585000,887929000,1579893000,1131377000,1455534000,1313165000,1110171000,1416301000,1930290000,1882063000,1982884000,1880888000,1287880000
54,Long-Term Debt,- -,- -,382153000,635432000,1600328000,2090846000,2380537000,3533339000,4290424000,3566428000,3264854000,2809785000,5781770000,6586518000,7345262000,9212765000,10125352000,9565936000,9411140000,10079983000,596408000,12114920000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,97064000,152953000,4433000,- -,76881000,54294000,45499000,14343000,25225000,36357000,66561000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,23846000,49640000,21763000,25907000,79648000,131461000,129393000,64248000,232070000,214016000,188284000,168118000,141121000,87462000,107163000,108277000,266942000,133490000,-35759000
58,Total Non-Current Liabilities,- -,- -,382153000,659278000,1649968000,2112609000,2503508000,3765940000,4426318000,3695821000,3405983000,3096149000,6041285000,6789145000,7538605000,9390243000,10279375000,9673099000,9519417000,10346925000,729898000,12079161000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13455874000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,19217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159182000,123124000,- -
61,Total Liabilities,- -,- -,402805000,730454000,1819921000,2382388000,3014595000,4351123000,5150093000,4421406000,4293912000,4676042000,7172662000,8244679000,8851770000,10500414000,11695676000,11603389000,11401480000,12329809000,14606864000,13367041000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,790000,820000,990000,993000,1018000,1162000,1248000,1361000,1374000,1379000,1137000,1142000,1144000,1146000,1150000,1164000,1221000,1228000,1235000,1314000
64,Retained Earnings,- -,- -,-60055000,-108947000,-314533000,-395161000,-377747000,-143899000,67400000,-89559000,9042000,36368000,44775000,66130000,164487000,55332000,95097000,635067000,921785000,641818000,-1532420000,-2288078000
65,Other Comprehensive Income/Loss,- -,- -,-14771000,-871000,5928000,-15784000,-94000,-2905000,2614000,2446000,889000,840000,4177000,2913000,2505000,1092000,1484000,-1845000,-1950000,-1679000,3604000,6004000
66,Other Total Stockholders Equity,- -,- -,1065649000,1110813000,1951906000,1972847000,2022408000,2093801000,1521260000,3120090000,2226643000,2050435000,-309126000,-254692000,-196915000,-169549000,60218000,313460000,1113067000,1101678000,1175584000,2066342000
67,Total Stockholders Equity,- -,- -,991613000,1001815000,1644291000,1562895000,1645585000,1948159000,1592522000,3034338000,2237948000,2089022000,-259037000,-184507000,-28779000,-111979000,157949000,947846000,2034123000,1743045000,-351997000,-214418000
68,Total Liabilities And Stockholders Equity,- -,- -,1394418000,1732269000,3464212000,3945283000,4660180000,6299282000,6742615000,7455744000,6531860000,6765064000,6913625000,8060172000,8822991000,10388435000,11853625000,12551235000,13435603000,14072854000,14254867000,13152623000
69,Minority Interest,- -,- -,4183000,1054000,- -,- -,- -,- -,- -,126025000,142637000,134432000,362969000,316858000,239870000,133824000,99932000,130504000,-219334000,-201573000,-966881000,-621797000
70,Total Liabilities & Equity,- -,- -,1398601000,1733323000,3464212000,3945283000,4660180000,6299282000,6742615000,7581769000,6674497000,6899496000,7276594000,8377030000,9062861000,10522259000,11953557000,12681739000,13216269000,13871281000,13287986000,12530826000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1174922/000095016803001027/0000950168-03-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312504040959/0001193125-04-040959-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312505051268/0001193125-05-051268-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312506055625/0001193125-06-055625-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312507044367/0001193125-07-044367-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312508036412/0001193125-08-036412-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312509041408/0001193125-09-041408-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312510043336/0001193125-10-043336-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312511050547/0001193125-11-050547-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312512089377/0001193125-12-089377-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312513087674/0001193125-13-087674-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312514077632/0001193125-14-077632-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492215000021/0001174922-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492216000144/0001174922-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492217000027/0001174922-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492218000019/0001174922-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492219000021/0001174922-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492220000024/0001174922-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492221000029/0001174922-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492222000031/0001174922-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-31713000,-48892000,-205586000,-90836000,628728000,258148000,210206000,20654000,160127000,613371000,502036000,728652000,731554000,195290000,241975000,747181000,572430000,122985000,-2326946000,-755786000
74,Depreciation and Amortization,- -,- -,9246000,21941000,70980000,122065000,198883000,239241000,262848000,410547000,405558000,398039000,373199000,371051000,314119000,322629000,404730000,552368000,550596000,624878000,725502000,715962000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,170321000,68152000,-62822000,-656000,18875000,-10822000,-3655000,-19826000,-8086000,6498000,6356000,-310854000,-498654000,174190000,562484000,-2706000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,20328000,24336000,27168000,23881000,19648000,39537000,39196000,38475000,43722000,43971000,35040000,40372000,62254000,95238000
77,Change in Working Capital,- -,- -,11035000,-553104000,-49895000,133487000,169941000,412104000,-309492000,870055000,-884164000,-526648000,924442000,442279000,-44114000,-73559000,178459000,-80572000,-734181000,114140000,1058806000,-344222000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81646000,- -
79,Inventory,- -,- -,-918000,-183000,-2175000,-58934000,-21261000,-7565000,-49417000,3265000,22169000,11168000,3644000,-17749000,-6917000,-23613000,-36642000,-4372000,-5212000,-37907000,27660000,-21499000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117801000
81,Other Working Capital,- -,- -,884275000,331171000,281276000,414763000,584704000,996808000,687316000,1557371000,673207000,146559000,1071001000,1513280000,1469166000,1395607000,1574066000,1493494000,759313000,873453000,1932259000,1588037000
82,Other Non-Cash Items,- -,- -,1084000,558281000,69736000,-116241000,-927107000,-318473000,402115000,-730980000,1329748000,1018014000,-629952000,114949000,65648000,83480000,95304000,924483000,1036258000,-175495000,-1154525000,68923000
83,Cash Provided by Operating Activities,- -,- -,-10348000,-21774000,-114765000,48475000,240766000,659172000,523183000,593956000,1057312000,1515835000,1185718000,1676642000,1098317000,572813000,970546000,1876577000,961489000,901070000,-1072425000,-222591000
84,CAPEX,- -,- -,-66255000,-414989000,-1007993000,-877074000,-702816000,-1050586000,-1376771000,-540929000,-283828000,-184146000,-240985000,-506786000,-1345940000,-1925152000,-1240928000,-949045000,-1602386000,-1069293000,56215000,-290657000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,899409000,- -,- -,- -,- -,- -,- -,- -,- -,1901000,727000,- -,- -,- -,4604000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316533000,- -,-222856000,-200258000,-253284000,-196750000,-229328000,-34098000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,499765000,- -,- -,- -,- -,- -,101017000,216051000,146112000,200090000,247723000,144829000,200366000,359461000,- -,- -,- -
88,Other Investing Activites,- -,- -,-787919000,382487000,-539097000,-43811000,205216000,-272153000,37772000,-10151000,-12295000,-59438000,-319920000,-94050000,231756000,37254000,3872000,20374000,54213000,695000,-326578000,-395070000
89,Cash Used for Investing Activites,- -,- -,-854174000,-32502000,-1547090000,-421120000,401809000,-1322739000,-1338999000,-551080000,-296123000,-459100000,-344854000,-677580000,-1114352000,-1891558000,-1288250000,-957633000,-1222810000,-1068598000,-265759000,-342423000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-606011000,-1855153000,-2551561000,-201901000,-1022847000,-501400000,-199739000,-3342106000,-400707000,-2959843000,-3032267000,-2930088000,-2035354000,-2488401000
91,Common Stock Issued,- -,- -,491844000,- -,794997000,1404000,21790000,673305000,344250000,2071798000,- -,- -,- -,- -,- -,- -,- -,- -,915240000,- -,- -,841896000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-179277000,-440062000,- -,- -,-7629000,-911000,-15472000,-2062000,-7199000,-14017000,-17771000,-159544000,-66986000,-11533000,-13842000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1192138000,-1033447000,-955493000,-1034986000,-942928000,-499107000,-325217000,-320760000,-569781000,-566521000,-108777000,-1553000
94,Other Financing Activites,- -,- -,443054000,286184000,855567000,475269000,-309247000,657911000,1369395000,598870000,2251063000,185336000,1596772000,1260715000,909104000,5064670000,1431807000,2734662000,2522095000,3862607000,4618909000,1273898000
95,Cash Used/Provided by Financing Activities,- -,- -,934898000,286184000,1650564000,476673000,-287457000,1151939000,667572000,815515000,-1492636000,-1057641000,-382479000,-291143000,-235625000,1216258000,691866000,-563712000,-324257000,299012000,2463245000,-388002000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-2659000,7028000,-465000,-1884000,4994000,4247000,1903000,-1217000,412000,-1129000,-3880000,-1733000,7485000,3031000,-2301000
97,Net Change In Cash,- -,- -,70376000,231908000,-11291000,104028000,355118000,485713000,-141216000,857926000,-733331000,4088000,462632000,709822000,-252877000,-102075000,373033000,351352000,-587311000,138969000,1128092000,-955317000
98,Cash at the End of Period,- -,- -,109644000,341552000,330261000,434289000,789407000,1275120000,1133904000,1991830000,1258499000,1262587000,1725219000,2435041000,2182164000,2080089000,2453122000,2804474000,2219323000,2358292000,- -,2531067000
99,Cash at the Beginning of Period,- -,- -,39268000,109644000,341552000,330261000,434289000,789407000,1275120000,1133904000,1991830000,1258499000,1262587000,1725219000,2435041000,2182164000,2080089000,2453122000,2806634000,2219323000,- -,3486384000
100,Free Cash Flow,- -,- -,-76603000,-436763000,-1122758000,-828599000,-462050000,-391414000,-853588000,53027000,773484000,1331689000,944733000,1169856000,-247623000,-1352339000,-270382000,927532000,-640897000,-168223000,-1016210000,-513248000
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1174922/000095016803001027/0000950168-03-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312504040959/0001193125-04-040959-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312505051268/0001193125-05-051268-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312506055625/0001193125-06-055625-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312507044367/0001193125-07-044367-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312508036412/0001193125-08-036412-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312509041408/0001193125-09-041408-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312510043336/0001193125-10-043336-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312511050547/0001193125-11-050547-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312512089377/0001193125-12-089377-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312513087674/0001193125-13-087674-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000119312514077632/0001193125-14-077632-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492215000021/0001174922-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492216000144/0001174922-16-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492217000027/0001174922-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492218000019/0001174922-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492219000021/0001174922-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492220000024/0001174922-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492221000029/0001174922-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1174922/000117492222000031/0001174922-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
