,https://roic.ai/company/TROW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202988000,327498000,509778000,828984000,1182664000,1535400000,1787300000,619100000,743300000,813100000,897900000,879100000,1398000000,1506100000,1172300000,1204900000,1902700000,1425200000,1781800000,2151700000,1523100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104001000,96787000,121295000,158342000,175030000,223500000,265300000,177300000,246200000,307900000,304500000,353900000,398800000,442800000,446000000,455100000,556700000,549600000,646600000,863100000,1058300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98609000,64866000,914838000,72000000,72370000,73400000,98700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405598000,489151000,1545911000,1059326000,1430064000,1832300000,2151300000,796400000,989500000,1121000000,1202400000,1233000000,1796800000,1948900000,1618300000,1660000000,2459400000,1974800000,2428400000,3014800000,2581400000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241825000,215590000,201094000,203807000,214790000,264900000,358300000,440100000,512800000,560300000,567400000,561000000,572900000,586400000,607100000,615100000,652000000,661300000,785200000,813000000,937400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665692000,665692000,665692000,665692000,665692000,669400000,668800000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,3608300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665692000,665692000,665692000,665692000,665692000,669400000,668800000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,665700000,3608300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216080000,273245000,329234000,379075000,762400000,1002200000,721400000,905800000,1142300000,970800000,1580800000,1925500000,2292300000,2018900000,2938000000,3525700000,4133800000,5216700000,5946300000,4938300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-216080000,-1139365000,-329234000,-379075000,-763700000,-1003300000,195800000,136500000,152700000,364000000,162300000,72200000,151100000,196900000,346200000,231900000,253700000,234400000,219200000,451200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907517000,881282000,666000,869499000,880482000,933000000,1026000000,2023000000,2220800000,2521000000,2567900000,2969800000,3236300000,3695500000,3488600000,4565000000,5075300000,5714500000,6902000000,7644200000,9935200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1313115000,1370433000,1546577000,1928825000,2310546000,2765300000,3177300000,2819400000,3210300000,3642000000,3770300000,4202800000,5033100000,5644400000,5106900000,6225000000,7534700000,7689300000,9330400000,10659000000,12516600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37440000,43902000,47699000,54172000,62539000,77200000,99500000,86800000,79900000,79400000,82900000,89700000,103900000,143400000,170600000,180800000,215500000,228500000,214500000,187700000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12890000,9327000,15651000,33900000,41700000,25300000,33600000,33800000,30000000,21500000,38700000,23600000,21200000,39300000,68300000,54200000,31800000,85000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93960000,136798000,169801000,- -,- -,- -,- -,86000000,86900000,105700000,93200000,21500000,38700000,23600000,21200000,39300000,68300000,54200000,31800000,85000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131400000,180700000,217500000,- -,- -,- -,- -,172800000,166800000,185100000,176100000,265900000,142600000,167000000,191800000,220100000,283800000,282700000,246300000,272700000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103889000,55899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154100000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,1000,- -,- -,- -,- -,- -,157800000,161300000,160400000,173500000,90800000,72400000,82200000,153100000,996300000,1426500000,1282300000,1982000000,2525200000,2255300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103900000,55900000,- -,- -,- -,- -,- -,157800000,161300000,160400000,173500000,90800000,72400000,82200000,153100000,996300000,1426500000,1282300000,1982000000,2679300000,2255300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231525000,274444000,338400000,400200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146300000,154100000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235290000,236593000,217497000,231525000,274444000,338400000,400200000,330600000,328100000,345500000,349600000,356700000,215000000,249200000,344900000,1216400000,1710300000,1565000000,2228300000,2952000000,2255300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24618000,24530000,24987000,25922000,26336000,53000000,52900000,51400000,51700000,51700000,50700000,51400000,52400000,52200000,50100000,49000000,49000000,47600000,47000000,45600000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,973472000,1019925000,1143913000,1378948000,1683273000,2057100000,2333400000,2086800000,2240100000,2599400000,2765200000,3031800000,3682800000,4450100000,3970700000,4293600000,4932900000,5464100000,6443500000,7029800000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8641000,28755000,41666000,48544000,69300000,95000000,-13100000,101900000,139100000,102800000,131900000,188300000,136400000,86600000,11500000,-3600000,-42000000,-43000000,-23000000,-26000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79735000,80744000,131425000,250764000,277949000,247500000,295800000,363700000,488500000,506300000,502000000,631000000,894600000,756500000,654600000,654500000,846100000,654600000,654600000,654600000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1077825000,1133840000,1329080000,1697300000,2036102000,2426900000,2777100000,2488800000,2882200000,3296500000,3420700000,3846100000,4818100000,5395200000,4762000000,5008600000,5824400000,6124300000,7102100000,7707000000,9022700000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1313115000,1370433000,1546577000,1928825000,2310546000,2765300000,3177300000,2819400000,3210300000,3642000000,3770300000,4202800000,5033100000,5644400000,5106900000,6225000000,7534700000,7689300000,9330400000,10659000000,11278000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1238600000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1313115000,1370433000,1546577000,1928825000,2310546000,2765300000,3177300000,2819400000,3210300000,3642000000,3770300000,4202800000,5033100000,5644400000,5106900000,6225000000,7534700000,7689300000,9330400000,10659000000,12516600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1113169/000095013302000917/0000950133-02-000917-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013303000699/0000950133-03-000699-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013304000683/0000950133-04-000683-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013305000815/0000950133-05-000815-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095013306000779/w17533e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013307000416/w29775e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013308000389/w47962e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000095013309000237/0000950133-09-000237-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095012310009025/0000950123-10-009025-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000095012311010348/w81368e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113169/000119312512038736/0001193125-12-038736-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316913000010/0001113169-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316914000007/a201310k.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316915000007/a201410k.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316916000033/0001113169-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316917000014/0001113169-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316918000009/0001113169-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316919000011/0001113169-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316920000008/0001113169-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1113169/000111316921000006/0001113169-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1113169/000111316922000005/0001113169-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,29700000,20900000,30400000,35800000,48600000,61200000,75500000,98500000,144400000,174100000,239400000,269029000,195868000,194254000,227487000,337260000,430929000,529600000,670600000,490800000,433600000,672200000,773200000,883600000,1047700000,1229600000,1223000000,1215000000,1497800000,1837500000,2131300000,2372700000,3082900000
74,Depreciation and Amortization,- -,- -,- -,- -,5800000,6200000,7100000,7400000,8000000,10100000,14600000,18100000,29000000,32600000,32600000,53692000,80488000,50578000,45289000,40018000,42272000,46500000,53400000,62300000,65700000,63000000,72400000,81300000,91000000,111700000,126300000,133400000,143600000,159500000,190800000,189600000,204000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1400000,400000,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85500000,89100000,89500000,98700000,104100000,114600000,133400000,149000000,161600000,152000000,197100000,206600000,246200000,274000000
77,Change in Working Capital,- -,- -,- -,- -,-12600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274198000,- -,34253000,1019960000,-269085000,370738000,402236000,319000000,-1527700000,199100000,113200000,90400000,-59200000,687100000,127700000,-355400000,13400000,735700000,-483500000,490000000,560000000,-658700000
78,Accounts Receivable,- -,- -,- -,- -,-4200000,2200000,-7400000,-4000000,-12900000,-3600000,-9100000,-17400000,-13800000,-13900000,-22000000,-8593000,- -,- -,- -,- -,- -,- -,-42700000,89400000,-69300000,-62500000,2800000,-49700000,-44700000,-31500000,-3200000,-9300000,-100800000,12700000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-2100000,700000,2900000,3900000,11200000,1700000,6100000,27400000,19000000,26200000,26700000,3921000,- -,- -,- -,- -,- -,- -,23900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274198000,274198000,308451000,1328411000,1059326000,1430064000,1832300000,2151300000,623600000,822700000,935900000,1026300000,967100000,1654200000,1781900000,1426500000,1439900000,2175600000,1692100000,2182100000,2742100000,2083400000
