,https://roic.ai/company/WU,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,510200000,1421700000,2190400000,1295600000,1685200000,2157400000,3415400000,3865800000,4462400000,4090000000,3554200000,3299300000,3453200000,3431800000,3517100000,4114500000,1208300000
34,Net Receivables,- -,- -,- -,- -,944300000,- -,944400000,1103800000,130900000,64100000,1046700000,1062300000,1017300000,1006900000,1070400000,1327300000,1573900000,1355400000,1230100000,1135100000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,929100000,1284200000,- -,103700000,2503100000,2766000000,- -,94600000,110800000,108200000,140500000,184900000,174000000,158900000,198800000,256800000,1452900000
37,Total Current Assets,- -,- -,- -,- -,2383600000,2705900000,3134800000,2503100000,4319200000,4987500000,4462100000,5022700000,5590500000,5205100000,4765100000,4811500000,5201100000,4946100000,4946000000,5506400000,2661200000
38,PP&E,- -,- -,- -,- -,82400000,176100000,200300000,192300000,204300000,196500000,198100000,196100000,209900000,206400000,231800000,220500000,214200000,270400000,386600000,339500000,129400000
39,Goodwill,- -,- -,- -,- -,1618000000,1648000000,1639500000,1674200000,2143400000,2151700000,3198900000,3179700000,3172000000,3169200000,3163800000,3162000000,2727900000,2725000000,2566600000,2566600000,2034600000
40,Intangible Assets,- -,- -,- -,- -,180400000,287700000,334100000,350600000,489200000,438000000,847400000,878900000,833800000,748100000,705000000,664200000,586300000,598200000,494900000,505000000,417100000
41,Intangible Assets,- -,- -,- -,- -,1798400000,1935700000,1973600000,2024800000,2632600000,2589700000,4046300000,4058600000,4005800000,3917300000,3868800000,3826200000,3314200000,3323200000,3061500000,3071600000,2451700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,87400000,85700000,41300000,41000000,41000000,41600000,43300000,40100000,29100000,31300000,33000000,34500000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,342000000,503400000,475500000,858100000,109900000,69800000,322100000,147300000,274100000,520000000,549900000,521300000,472800000,425800000,331400000,544300000,3581200000
45,Total Non-Current Assets,- -,- -,- -,- -,2222800000,2615200000,2649400000,3075200000,3034200000,2941700000,4607800000,4443000000,4530800000,4685300000,4693800000,4608100000,4030300000,4050700000,3812500000,3989900000,6162300000
46,Other Assets,- -,2469700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2469700000,- -,- -,4606400000,5321100000,5784200000,5578300000,7353400000,7929200000,9069900000,9465700000,10121300000,9890400000,9458900000,9419600000,9231400000,8996800000,8758500000,9496300000,8823500000
48,Accounts Payable,- -,- -,- -,- -,238600000,554800000,350100000,408000000,501200000,520400000,535000000,556200000,638900000,600400000,606600000,1129600000,718500000,564900000,601900000,500900000,450200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,838200000,- -,- -,- -,- -,300000000,- -,- -,- -,- -,- -,125000000,245000000,80000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,381600000,519000000,356600000,302400000,218300000,216900000,166300000,211500000,407300000,1252000000,1054000000,1019700000,928900000,870700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,996500000,1335400000,1598900000,1566800000,2908100000,2991800000,3393600000,3332900000,3487300000,3480000000,3520200000,4156400000,5440900000,4867800000,4316400000,4827400000,870700000
53,Total Current Liabilities,- -,- -,- -,- -,1235100000,1890200000,2787200000,1974800000,3409300000,3512200000,3928600000,4189100000,4126200000,4080400000,4126800000,5286000000,6159400000,5557700000,5163300000,5408300000,1320900000
54,Long-Term Debt,- -,- -,- -,- -,163500000,3323500000,2499800000,3143500000,3048500000,3289900000,3583200000,3729200000,4213000000,3720400000,3225600000,2786100000,3033600000,3308700000,3226600000,3222100000,3008400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,37300000,- -,30500000,25100000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,248100000,274800000,263600000,270100000,268900000,289900000,389700000,352100000,319200000,305000000,272600000,85900000,173000000,161100000,152100000,188900000,203800000
57,Other Non-Current Liabilities,- -,- -,- -,- -,147900000,147400000,182900000,198000000,273200000,217200000,273600000,224200000,333100000,484200000,429000000,359400000,356800000,279100000,256000000,490400000,3934800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,559500000,3745700000,2946300000,3611600000,3590600000,3834300000,4246500000,4336000000,4890400000,4509600000,3927200000,3231400000,3563400000,3748900000,3634700000,3901400000,7147000000
59,Other Liabilities,- -,999000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242300000,234900000,- -
61,Total Liabilities,- -,999000000,- -,- -,1794600000,5635900000,5733500000,5586400000,6999900000,7346500000,8175100000,8525100000,9016600000,8590000000,8054000000,8517400000,9722800000,9306600000,8798000000,9309700000,8467900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,7700000,7500000,- -,6900000,6500000,6200000,5700000,5500000,5200000,5000000,4800000,4600000,4400000,4200000,4100000,3900000
64,Retained Earnings,- -,- -,- -,- -,- -,208000000,453100000,29200000,433200000,591600000,760000000,754700000,877300000,968700000,977300000,419300000,-965900000,-838800000,-675900000,-543100000,-537200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,2811800000,-73500000,-68800000,-30000000,-127300000,-132800000,-118500000,-152600000,-169000000,-118900000,-143900000,-162800000,-227900000,-231000000,-209000000,-159500000,-52100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,-457000000,-341100000,- -,40700000,117400000,247100000,332800000,390900000,445400000,566500000,640900000,697800000,755600000,841200000,885100000,941000000
67,Total Stockholders Equity,- -,1470700000,- -,- -,2811800000,-314800000,50700000,-8100000,353500000,582700000,894800000,940600000,1104700000,1300400000,1404900000,902200000,-491400000,-309800000,-39500000,186600000,355600000
68,Total Liabilities And Stockholders Equity,- -,2469700000,- -,- -,4606400000,5321100000,5784200000,5578300000,7353400000,7929200000,9069900000,9465700000,10121300000,9890400000,9458900000,9419600000,9231400000,8996800000,8758500000,9496300000,8823500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2469700000,- -,- -,4606400000,5321100000,5784200000,5578300000,7353400000,7929200000,9069900000,9465700000,10121300000,9890400000,9458900000,9419600000,9231400000,8996800000,8758500000,9496300000,8823500000
71,SEC Link,undefined,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1365135/000119312507040314/d10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312508038154/d10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312509032396/0001193125-09-032396-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000095012310018216/0000950123-10-018216-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000095012311018841/d77921e10vk.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312512078259/0001193125-12-078259-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513513000008/0001365135-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513514000014/wu-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000136513515000008/wu-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000136513516000062/0001365135-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513517000008/0001365135-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513518000013/0001365135-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837019000848/0001558370-19-000848-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837020001090/0001558370-20-001090-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837021001284/0001558370-21-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1365135/000095017022001962/0000950170-22-001962-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,407900000,494100000,- -,- -,927400000,914000000,857300000,919000000,848800000,909900000,1165400000,1025900000,798400000,852400000,837800000,253200000,-557100000,851900000,1058300000,744300000,805800000
74,Depreciation and Amortization,92900000,- -,- -,- -,79500000,103500000,123900000,144000000,154200000,175900000,192600000,246100000,262800000,271900000,270200000,263200000,262900000,264700000,257700000,225600000,208200000
75,Deferred Income Tax,- -,- -,- -,- -,24900000,12900000,4200000,15900000,-20800000,28600000,21200000,-35200000,-39300000,-26800000,-39900000,-174200000,69500000,-15100000,-24500000,13900000,-2600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,26300000,31900000,35900000,31200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-55300000,35000000,53300000,105800000,159900000,-157900000,-184200000,-128700000,13400000,-101100000,-60700000,601400000,372300000,-346400000,36800000,-252100000,-177600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,81100000,-29400000,14200000,522800000,-417600000,-126500000,94300000,-96600000,-24800000
81,Other Working Capital,- -,- -,- -,- -,-37400000,-88200000,-5400000,-20600000,- -,- -,-27700000,-58100000,-71100000,-32400000,-122000000,-112300000,-60500000,-26800000,-20700000,- -,- -
82,Other Non-Cash Items,25300000,113400000,- -,- -,26300000,43500000,64800000,42900000,44100000,2000000,-51300000,77200000,53300000,49500000,63700000,98300000,588200000,66200000,-413700000,145800000,211500000
83,Cash Provided by Operating Activities,526100000,607500000,- -,- -,1002800000,1108900000,1103500000,1253900000,1218100000,994400000,1174900000,1185300000,1088600000,1045900000,1071100000,1041900000,735800000,821300000,914600000,877500000,1045300000
84,CAPEX,- -,- -,- -,- -,-65000000,-202300000,-192100000,-70900000,-98900000,-113700000,-162500000,-268200000,-241300000,-179000000,-266500000,-229800000,-177100000,-339000000,-127700000,-156800000,-214600000
85,Acquisitions Net,- -,- -,- -,- -,-349100000,-66500000,- -,-42800000,-515900000,-4700000,-1218600000,10000000,- -,-10600000,- -,- -,-24900000,- -,711700000,49400000,-149100000
86,Purchases of Investments,- -,- -,- -,- -,-5400000,- -,-35800000,-298100000,- -,- -,- -,- -,-100000000,- -,-120200000,-104400000,-234800000,-27000000,-8100000,-4900000,-433000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,290700000,16900000,- -,- -,- -,100200000,100300000,63100000,232200000,37200000,56400000,900000,985000000
88,Other Investing Activites,- -,- -,- -,- -,-8900000,-115900000,25900000,-58900000,-39200000,-23500000,-88900000,-207300000,-161100000,-111200000,-172100000,-161000000,-108000000,-202300000,-79600000,-122300000,-173200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-428400000,-384700000,-202000000,-453700000,-324100000,-64600000,-1360300000,-258200000,-341300000,-89400000,-286400000,-271100000,-204600000,-328800000,632300000,-113400000,192000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-755300000,-582800000,- -,-696300000,-297000000,-300000000,-500000000,-500000000,-1005400000,-500000000,-414400000,-824900000,-165000000,-1164300000
91,Common Stock Issued,- -,- -,- -,- -,- -,80800000,216100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-19900000,-726800000,-1314500000,-400200000,-581400000,-803900000,-766500000,-399700000,-495400000,-511300000,-501600000,-502800000,-412400000,-552600000,-239700000,-409900000
93,Dividends Paid,- -,- -,- -,- -,-417200000,-2961600000,-30000000,-28400000,-41200000,-165300000,-194200000,-254200000,-277200000,-265200000,-316500000,-312200000,-325600000,-341700000,-340800000,-370300000,-381600000
94,Other Financing Activites,- -,- -,- -,- -,-116700000,3088000000,10600000,800500000,519800000,289100000,1093300000,796200000,526200000,14200000,75800000,610000000,757900000,811300000,648500000,1500000,686300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-533900000,187300000,-530100000,-1297700000,-504400000,-457600000,-601100000,-521500000,-450700000,-1246400000,-1252000000,-1209200000,-570500000,-357200000,-1069800000,-773500000,-1269500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,40500000,911500000,371400000,-497500000,389600000,472200000,-786500000,405600000,296600000,-289900000,-467300000,-438400000,-39300000,135300000,477100000,-9400000,-32200000
98,Cash at the End of Period,- -,- -,- -,- -,510200000,1421700000,1793100000,1295600000,1685200000,2157400000,1370900000,1776500000,2073100000,1783200000,1315900000,877500000,838200000,979700000,1456800000,1447400000,2110900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,469700000,510200000,1421700000,1793100000,1295600000,1685200000,2157400000,1370900000,1776500000,2073100000,1783200000,1315900000,877500000,844400000,979700000,1456800000,2143100000
100,Free Cash Flow,526100000,607500000,- -,- -,937800000,906600000,911400000,1183000000,1119200000,880700000,1012400000,917100000,847300000,866900000,804600000,812100000,558700000,482300000,786900000,720700000,830700000
101,SEC Link,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1365135/000119312507040314/d10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312508038154/d10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312509032396/0001193125-09-032396-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000095012310018216/0000950123-10-018216-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000095012311018841/d77921e10vk.htm,https://www.sec.gov/Archives/edgar/data/1365135/000119312512078259/0001193125-12-078259-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513513000008/0001365135-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513514000014/wu-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000136513515000008/wu-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1365135/000136513516000062/0001365135-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513517000008/0001365135-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000136513518000013/0001365135-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837019000848/0001558370-19-000848-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837020001090/0001558370-20-001090-index.html,https://www.sec.gov/Archives/edgar/data/1365135/000155837021001284/0001558370-21-001284-index.htm,https://www.sec.gov/Archives/edgar/data/1365135/000095017022001962/0000950170-22-001962-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
