,https://roic.ai/company/EGHT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.7120,0.0749,-0.6068,-0.9789,-4.0816,-0.6198,-1.0364,-0.3265,-1.6687,-0.7569,-0.1869,0.0005,-0.0387,0.0612,0.0926,0.8068,0.1295,0.0195,0.0119,-0.0245,-0.0187,-0.3524,-0.2517,-0.3863,-0.3110
25,EPS,-2.56,0.31,-1.28,-1.38,-2.99,-0.33,-0.40,-0.09,-0.43,-0.43,-0.16,0.00,-0.04,0.06,0.10,1.04,0.20,0.03,0.02,-0.06,-0.05,-1.14,-0.94,-1.72,-1.57
26,EPS Diluted,-2.56,0.25,-1.28,-1.38,-2.99,-0.33,-0.40,-0.09,-0.43,-0.43,-0.16,0.00,-0.04,0.06,0.10,0.99,0.19,0.03,0.02,-0.06,-0.05,-1.14,-0.94,-1.72,-1.57
27,Weighted Average Shares Outstanding,5312500,12083000,15018000,18071000,24846000,27271000,28386000,32546000,44373000,55889000,61365000,61897000,62317000,62861000,63087000,66413000,71390000,78310000,89071000,88477000,90340000,92017000,94533000,99999000,105700000
28,Weighted Average Shares Outstanding Diluted,5312500,15128000,15018000,18071000,24846000,27271000,28386000,32546000,44373000,55889000,61365000,62112000,62317000,63262000,65873000,70149000,74700000,81658000,91652000,88477000,90340000,92017000,94533000,99999000,105700000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023731/000089161898002165/0000891618-98-002165-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161899002423/0000891618-99-002423-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161800003634/0000891618-00-003634-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161801500911/0000891618-01-500911-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373102000008/0001023731-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373103000002/0001023731-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373104000017/0001023731-04-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023731/000102373106000017/0001023731-06-000017-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373107000014/0001023731-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373108000008/0001023731-08-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626109000185/0001136261-09-000185-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626110000121/0001136261-10-000121-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626111000334/0001136261-11-000334-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626112000328/body10k.htm,https://www.sec.gov/Archives/edgar/data/1023731/000113626113000259/0001136261-13-000259-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626114000239/0001136261-14-000239-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626115000166/0001136261-15-000166-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626116000496/0001136261-16-000496-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626117000117/0001136261-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626118000158/0001136261-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373119000037/0001023731-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/0001023731-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/0001023731-21-000091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8700000,26677000,15810000,48576000,24126000,12422000,3371000,13249000,22515000,6259000,6735000,11185000,16376000,18056000,16474000,22426000,50305000,59159000,53110000,33576000,41030000,31703000,276583000,137394000,112531000
32,Short-Term Investments,- -,60000,- -,- -,- -,- -,208000,- -,9035000,12726000,5197000,3382000,- -,- -,1927000,1942000,1964000,47181000,123984000,129274000,133959000,120559000,69899000,33458000,40337000
33,Cash and Short-Term Investments,8700000,26737000,15810000,48576000,24126000,12422000,3579000,13249000,31550000,18985000,11932000,14567000,16376000,18056000,18401000,24368000,52269000,106340000,177094000,162850000,174989000,152262000,346482000,170852000,152868000
34,Net Receivables,1000000,4527000,5886000,2394000,2907000,1239000,1290000,608000,1144000,776000,736000,1807000,414000,554000,863000,2279000,3880000,5503000,6642000,11070000,14264000,16296000,20181000,37811000,51150000
35,Inventory,1200000,12758000,3915000,1367000,1328000,733000,352000,98000,1600000,1738000,2629000,1539000,2297000,2174000,2105000,581000,511000,811000,704000,520000,908000,- -,- -,- -,- -
36,Other Current Assets,400000,876000,878000,1043000,2571000,612000,595000,1445000,2735000,2316000,1502000,1492000,841000,665000,707000,8658000,7010000,4279000,7156000,11460000,7193000,10040000,30728000,68499000,72515000
37,Total Current Assets,11300000,44898000,26489000,53380000,30932000,15006000,5816000,15400000,37029000,23815000,16799000,19405000,19928000,21449000,22076000,35886000,63670000,116933000,191596000,185900000,197354000,178598000,397391000,277162000,276533000
38,PP&E,1300000,1370000,2163000,2687000,5016000,2740000,841000,158000,1788000,3071000,2840000,2010000,1485000,1871000,2398000,3820000,6673000,7711000,10248000,12375000,16384000,35732000,52835000,173345000,159740000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1210000,25150000,25150000,38461000,36887000,47420000,46136000,40054000,39694000,128300000,131520000
40,Intangible Assets,- -,- -,- -,3916000,3197000,1907000,48000,- -,- -,- -,- -,- -,- -,- -,214000,11622000,10194000,15095000,12260000,21464000,17038000,11958000,11680000,24001000,17130000
41,Intangible Assets,- -,- -,- -,3916000,3197000,1907000,48000,- -,- -,- -,- -,- -,- -,- -,1424000,36772000,35344000,53556000,49147000,68884000,63174000,52012000,51374000,152301000,148650000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,72021000,- -,- -,- -,- -,- -,16083000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53977000,46352000,47797000,43169000,43189000,48859000,- -,- -,- -,- -
44,Other Non-Current Assets,100000,161000,57000,- -,- -,- -,- -,13000,263000,2234000,319000,136000,443000,392000,686000,278000,572000,1185000,1464000,3104000,8084000,10867000,44758000,81750000,93486000
45,Total Non-Current Assets,1400000,1531000,2220000,6603000,8213000,4647000,889000,171000,2051000,7305000,3159000,2146000,1928000,2263000,4508000,94847000,88941000,182270000,104028000,127552000,136501000,98611000,148967000,423479000,401876000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12700000,46429000,28709000,59983000,39145000,19653000,6705000,15571000,39080000,31120000,19958000,21551000,21856000,23712000,26584000,130733000,152611000,299203000,295624000,313452000,333855000,277209000,546358000,700641000,678409000
48,Accounts Payable,1300000,2625000,1917000,1887000,1387000,548000,652000,854000,4496000,4907000,4919000,4885000,4810000,3780000,4551000,5476000,5644000,6789000,7775000,10954000,15711000,23899000,32280000,40261000,31236000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5875000,12942000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1472000,1912000,2323000,2800000,5200000,5354000,6367000,13862000,10251000,12129000
51,Deferred Revenue,- -,2447000,4089000,731000,5903000,2421000,545000,547000,2602000,2493000,1488000,3139000,2254000,1310000,835000,891000,1236000,1857000,1768000,1925000,2144000,2559000,3336000,7105000,20737000
52,Other Current Liabilities,5300000,4829000,3880000,4477000,3985000,2637000,2675000,1384000,2238000,3557000,4534000,5234000,5450000,5044000,5298000,5848000,6855000,9475000,12287000,21855000,25489000,29805000,39089000,70184000,56463000
53,Total Current Liabilities,6600000,9901000,9886000,7095000,11275000,5606000,3872000,2785000,9336000,10957000,10941000,13258000,12514000,10134000,10684000,12215000,13735000,18121000,21830000,34734000,43344000,56263000,74705000,123425000,121378000
54,Long-Term Debt,- -,- -,- -,5498000,6238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216035000,291537000,390891000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1285000,231000,154000,60000,19000,6000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,813000,669000,200000,- -,70000,3640000,444000,312000,278000,39000,68000,1843000,1619000,1352000,3258000,1850000,2153000,6222000,94948000,5636000
58,Total Non-Current Liabilities,- -,- -,- -,5498000,6238000,813000,669000,200000,- -,70000,3640000,444000,312000,278000,39000,68000,1843000,2904000,1583000,3412000,1910000,2172000,222263000,386485000,396527000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98327000,95398000
61,Total Liabilities,6600000,9901000,9886000,12593000,17513000,6419000,4541000,2785000,9336000,11027000,14581000,13702000,12826000,10412000,10723000,12283000,15578000,21025000,23413000,38146000,45254000,58435000,296968000,509910000,517905000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,15000,15000,23000,27000,27000,28000,38000,54000,61000,62000,62000,63000,63000,62000,71000,72000,88000,88000,89000,91000,93000,96000,103000,109000
64,Retained Earnings,-13400000,-9675000,-28899000,-53747000,-128146000,-137276000,-148679000,-151718000,-170866000,-195005000,-200249000,-200219000,-202719000,-198840000,-192346000,-123118000,-109179000,-106665000,-104739000,-109859000,-114610000,-201464000,-250302000,-422670000,-591055000
65,Other Comprehensive Income/Loss,-5300000,-6026000,-6902000,-7572000,-9485000,-11516000,-12000,-3000,-20000,-35000,-3000,5000,- -,-5197000,-73000,-58000,-36000,430000,-2109000,-4184000,-9642000,-5645000,-7353000,-12176000,-4193000
66,Other Total Stockholders Equity,24800000,52214000,54609000,108686000,159236000,161999000,150827000,164469000,200576000,215072000,205567000,208001000,211686000,217274000,208218000,241555000,246176000,384325000,378971000,389260000,412762000,425790000,506949000,625474000,755643000
67,Total Stockholders Equity,6100000,36528000,18823000,47390000,21632000,13234000,2164000,12786000,29744000,20093000,5377000,7849000,9030000,13300000,15861000,118450000,137033000,278178000,272211000,275306000,288601000,218774000,249390000,190731000,160504000
68,Total Liabilities And Stockholders Equity,12700000,46429000,28709000,59983000,39145000,19653000,6705000,15571000,39080000,31120000,19958000,21551000,21856000,23712000,26584000,130733000,152611000,299203000,295624000,313452000,333855000,277209000,546358000,700641000,678409000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12700000,46429000,28709000,59983000,39145000,19653000,6705000,15571000,39080000,31120000,19958000,21551000,21856000,23712000,26584000,130733000,152611000,299203000,295624000,313452000,333855000,277209000,546358000,700641000,678409000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023731/000089161898002165/0000891618-98-002165-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161899002423/0000891618-99-002423-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161800003634/0000891618-00-003634-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161801500911/0000891618-01-500911-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373102000008/0001023731-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373103000002/0001023731-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373104000017/0001023731-04-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023731/000102373106000017/0001023731-06-000017-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373107000014/0001023731-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373108000008/0001023731-08-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626109000185/0001136261-09-000185-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626110000121/0001136261-10-000121-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626111000334/0001136261-11-000334-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626112000328/body10k.htm,https://www.sec.gov/Archives/edgar/data/1023731/000113626113000259/0001136261-13-000259-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626114000239/0001136261-14-000239-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626115000166/0001136261-15-000166-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626116000496/0001136261-16-000496-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626117000117/0001136261-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626118000158/0001136261-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373119000037/0001023731-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/0001023731-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/0001023731-21-000091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13600000,3727000,-19224000,-24848000,-74399000,-9105000,-11403000,-3039000,-19148000,-24139000,-9930000,30000,-2500000,3879000,6494000,69228000,13939000,2514000,1926000,-5120000,-4751000,-104497000,-88739000,-172368000,-165585000
74,Depreciation and Amortization,5400000,2166000,1383000,2279000,14355000,3862000,1780000,565000,215000,787000,1462000,1474000,1269000,998000,1329000,2323000,3951000,4357000,6113000,9007000,10437000,15717000,24671000,37227000,45117000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62422000,9259000,2124000,2239000,-1717000,-897000,66273000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3295000,204000,458000,1506000,2634000,7595000,9347000,16334000,21462000,29176000,44508000,70878000,107638000
77,Change in Working Capital,3400000,30297000,-18394000,29682000,-26628000,-10257000,-7456000,10671000,15078000,-14835000,-7000000,289000,1267000,3901000,77000,12279000,26264000,48877000,70954000,-18600000,2844000,-31675000,200351000,-168949000,1418000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032000,-253000,-358000,-1059000,-2171000,-1575000,-1529000,-4539000,-4799000,-2402000,-5393000,-12737000,-14869000
79,Inventory,6100000,-11580000,8843000,2548000,-85000,501000,298000,325000,-1522000,-136000,-1035000,994000,-1356000,545000,29000,1535000,27000,-276000,52000,136000,-430000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177000,-1323000,916000,-1214000,410000,-1035000,605000,2473000,4173000,- -,- -,- -,- -
81,Other Working Capital,4700000,34997000,16603000,46285000,19657000,9400000,1944000,12615000,27693000,12858000,5858000,6147000,7414000,11315000,11392000,23671000,49935000,98812000,169766000,151166000,154010000,122335000,322686000,153737000,155155000
82,Other Non-Cash Items,500000,-42688000,25817000,-11195000,62104000,7555000,8242000,-9779000,-12696000,16981000,5546000,1238000,-1077000,-6491000,231000,-13703000,-24259000,-50550000,-69339000,23663000,-617000,47047000,-195659000,139307000,-2654000
83,Cash Provided by Operating Activities,-4300000,-6498000,-10418000,-4082000,-24568000,-7945000,-8837000,-1582000,-16551000,-21206000,-9922000,3031000,2254000,2491000,8589000,9211000,31788000,14917000,21240000,23567000,28478000,22041000,-14868000,-93905000,-14066000
84,CAPEX,-700000,- -,- -,-1693000,-6127000,-172000,-137000,-106000,-1588000,-1900000,-1424000,-699000,-801000,-1052000,-2057000,-2300000,-5868000,-3608000,-6550000,-6989000,-14367000,-21664000,-34718000,-67407000,-35246000
85,Acquisitions Net,- -,-927000,-1760000,-149000,-558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-998000,-713000,- -,-15474000,- -,-23246000,-2884000,- -,-5625000,-59129000,-10400000
86,Purchases of Investments,- -,-58000,- -,- -,- -,- -,-208000,- -,-9665000,-16424000,-2300000,-5323000,- -,- -,-2315000,- -,- -,-141604000,-106021000,-126723000,-140026000,-115224000,-54127000,-42223000,-52172000
87,Sales/Maturities of Investments,100000,- -,60000,1880000,225000,543000,- -,208000,611000,850000,13800000,7170000,3385000,- -,- -,- -,- -,24219000,100310000,120663000,135083000,128223000,105342000,62465000,61497000
88,Other Investing Activites,5100000,- -,-85000,- -,5160000,116000,42000,-323000,300000,8050000,19000,37000,- -,104000,6000,28000,-190000,-755000,-724000,-2095000,-5516000,-11093000,-25622000,-31573000,-28816000
89,Cash Used for Investing Activites,4500000,-985000,-1785000,38000,-1300000,487000,-303000,-221000,-10342000,-9424000,10095000,1185000,2584000,-948000,-5364000,-2985000,-5868000,-136467000,-12261000,-36295000,-22194000,-7272000,10872000,-106294000,-36321000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-38000,-275000,-86000,-85000,-149000,-446000,-674000,-1079000,-949000,-315000,-78000
91,Common Stock Issued,3800000,25276000,838000,29763000,2763000,335000,89000,1882000,424000,279000,475000,272000,391000,399000,2552000,- -,- -,125750000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-514000,- -,- -,- -,- -,- -,- -,- -,- -,-212000,-7662000,-2610000,-462000,-489000,-19371000,-11653000,-3003000,-22440000,-7823000,-6550000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,162000,498000,7047000,-831000,-4581000,- -,9799000,35735000,14095000,-172000,-38000,-38000,- -,341000,2611000,2507000,5309000,4606000,4851000,5273000,7079000,258010000,78960000,13270000
95,Cash Used/Provided by Financing Activities,3900000,25438000,1336000,36810000,1418000,-4246000,89000,11681000,36159000,14374000,303000,234000,353000,137000,-4807000,-274000,1959000,130485000,-14914000,-7248000,1596000,-16440000,249238000,72095000,13192000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000,-114000,442000,-426000,444000,-362000,-168000,1956000
97,Net Change In Cash,3900000,17955000,-10867000,32766000,-24450000,-11704000,-9051000,9878000,9266000,-16256000,476000,4450000,5191000,1680000,-1582000,5952000,27879000,8854000,-6049000,-19534000,7454000,-1227000,244880000,-128272000,-35239000
98,Cash at the End of Period,- -,26677000,15810000,48576000,24126000,12422000,3371000,13249000,22515000,6259000,6735000,11185000,16376000,18056000,16474000,22426000,50305000,59159000,53110000,33576000,41030000,39803000,284683000,156411000,121172000
99,Cash at the Beginning of Period,4700000,8722000,26677000,15810000,48576000,24126000,12422000,3371000,13249000,22515000,6259000,6735000,11185000,16376000,18056000,16474000,22426000,50305000,59159000,53110000,33576000,41030000,39803000,284683000,156411000
100,Free Cash Flow,-5000000,-6498000,-10418000,-5775000,-30695000,-8117000,-8974000,-1688000,-18139000,-23106000,-11346000,2332000,1453000,1439000,6532000,6911000,25920000,11309000,14690000,16578000,14111000,377000,-49586000,-161312000,-49312000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1023731/000089161898002165/0000891618-98-002165-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161899002423/0000891618-99-002423-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161800003634/0000891618-00-003634-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000089161801500911/0000891618-01-500911-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373102000008/0001023731-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373103000002/0001023731-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373104000017/0001023731-04-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/1023731/000102373106000017/0001023731-06-000017-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373107000014/0001023731-07-000014-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373108000008/0001023731-08-000008-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626109000185/0001136261-09-000185-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626110000121/0001136261-10-000121-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626111000334/0001136261-11-000334-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626112000328/body10k.htm,https://www.sec.gov/Archives/edgar/data/1023731/000113626113000259/0001136261-13-000259-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626114000239/0001136261-14-000239-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626115000166/0001136261-15-000166-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626116000496/0001136261-16-000496-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626117000117/0001136261-17-000117-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000113626118000158/0001136261-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373119000037/0001023731-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/0001023731-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/0001023731-21-000091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
