,https://roic.ai/company/LOW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,387900000,437300000,473600000,473900000,518300000,557300000,642100000,723600000,826800000,1127500000,1330500000,1654500000,2065900000,2536000000,3317000000,4009000000,4744000000,5485000000,6609000000,8763000000,10294000000,11200000000,12216000000,12995000000,13638000000,13924000000,14444000000,14190000000,14327000000,15236000000,15599000000,15828000000,16312000000,18890000000,16629000000,19925000000,- -
11,COGS and Expenses,1948300000,2161700000,2331800000,2390300000,2522500000,2687700000,2963100000,3669400000,4283500000,5722300000,6639100000,8029300000,9512800000,11486000000,14842000000,17497000000,20487000000,23950000000,27840000000,32928000000,38747000000,41929000000,43772000000,44724000000,44395000000,45587000000,47302000000,47384000000,49268000000,51901000000,54103000000,59171000000,62497000000,67291000000,65834000000,79950000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,12000000,12000000,9000000,4000000,6000000,4000000,12000000,16000000,28000000,27000000,24000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,344000000,377000000,432000000,480000000,522000000,556000000,657000000,649000000,652000000,718000000,872000000,- -
14,Depreciation and Amortization,21800000,30500000,38500000,41200000,46100000,51400000,58300000,69800000,80500000,112900000,153600000,199800000,241100000,272200000,337822000,409511000,534102000,645000000,781000000,920000000,1051000000,1237000000,1464000000,1667000000,1733000000,1684000000,1579000000,1623000000,1562000000,1586000000,1587000000,1590000000,1540000000,1607000000,1410000000,1594000000,1882000000
15,EBITDA,134700000,138600000,129300000,146800000,154900000,151700000,63300000,195700000,278800000,456500000,505700000,653500000,799700000,1030200000,1400822000,1691511000,2158102000,3004000000,2668000000,4456000000,3826000000,4346000000,4276000000,5173000000,4862000000,5256000000,4862000000,5192000000,5715000000,6384000000,6562000000,7448000000,7678000000,5653000000,7751000000,10205000000,1882000000
16,EBITDA ratio,0.0650,0.0607,0.0529,0.0583,0.0584,0.0535,0.0207,0.0509,0.0614,0.0747,0.0715,0.0760,0.0789,0.0841,0.0881,0.0901,0.0976,0.1134,0.0865,0.1222,0.0885,0.0926,0.0886,0.1073,0.1030,0.1077,0.0968,0.1028,0.1070,0.1135,0.1111,0.1146,0.1119,0.0793,0.1074,0.1139,77.0617
17,Operating Income,124300000,121800000,110400000,126600000,128000000,145400000,93100000,177000000,254500000,388200000,436300000,570900000,624100000,833100000,1172347000,1402265000,1779623000,2541000000,3178000000,3712000000,4664000000,5152000000,4705000000,3786000000,3112000000,3228000000,2906000000,3137000000,4149000000,4322000000,4971000000,5846000000,6586000000,4018000000,6314000000,9647000000,12093000000
18,Operating Income ratio,0.0600,0.0533,0.0452,0.0503,0.0483,0.0513,0.0305,0.0460,0.0561,0.0635,0.0617,0.0664,0.0616,0.0680,0.0737,0.0747,0.0805,0.0959,0.1031,0.1018,0.1079,0.1098,0.0974,0.0785,0.0659,0.0661,0.0579,0.0621,0.0777,0.0769,0.0841,0.0899,0.0960,0.0563,0.0875,0.1077,495.1683
19,Total Other Income Expenses (Gains),-11400000,-13700000,-19600000,-21000000,-19200000,-45100000,-88100000,-51100000,-56200000,-44600000,-84200000,-117200000,-65500000,-75100000,-109347000,-121265000,-155623000,-182000000,-180000000,-176000000,-168000000,-154000000,-194000000,-280000000,-287000000,- -,- -,- -,-476000000,-46000000,-552000000,-645000000,-1097000000,-624000000,-691000000,-1908000000,- -
20,Income Before Tax,112900000,108100000,90800000,105600000,108800000,100300000,5000000,125900000,198300000,343600000,352100000,453700000,558600000,758000000,1063000000,1281000000,1624000000,2359000000,2998000000,3536000000,4496000000,4998000000,4511000000,3506000000,2825000000,3228000000,2906000000,3137000000,3673000000,4276000000,4419000000,5201000000,5489000000,3394000000,5623000000,7739000000,- -
21,Income Before Tax Ratio,0.0545,0.0473,0.0372,0.0420,0.0410,0.0354,0.0016,0.0327,0.0437,0.0562,0.0498,0.0528,0.0551,0.0619,0.0668,0.0682,0.0734,0.0890,0.0972,0.0970,0.1040,0.1065,0.0934,0.0727,0.0598,0.0661,0.0579,0.0621,0.0688,0.0761,0.0748,0.0800,0.0800,0.0476,0.0779,0.0864,- -
22,Income Tax expense (Gain),53200000,53000000,34800000,36400000,33900000,29200000,-1500000,41200000,66500000,120000000,126100000,161500000,201100000,276000000,390000000,472000000,601000000,888000000,10000000,1360000000,10000000,4000000,3000000,1311000000,1042000000,1218000000,1067000000,1178000000,1387000000,1578000000,1873000000,2108000000,2042000000,1080000000,1342000000,1904000000,- -
23,Net Income,59700000,55100000,56000000,69200000,74900000,71100000,6500000,84700000,131800000,223600000,226000000,292200000,357500000,482000000,673000000,810000000,1023000000,1471000000,1877000000,2176000000,2765000000,3105000000,2809000000,2195000000,1783000000,2010000000,1839000000,1959000000,2286000000,2698000000,2546000000,3093000000,3447000000,2314000000,4281000000,5835000000,- -
24,Net Income ratio,0.0288,0.0241,0.0229,0.0275,0.0283,0.0251,0.0021,0.0220,0.0290,0.0366,0.0319,0.0340,0.0353,0.0394,0.0423,0.0431,0.0463,0.0555,0.0609,0.0597,0.0639,0.0662,0.0582,0.0455,0.0378,0.0412,0.0366,0.0388,0.0428,0.0480,0.0431,0.0476,0.0502,0.0325,0.0593,0.0651,- -
25,EPS,0.05,0.04,0.05,0.06,0.07,0.06,0.01,0.07,0.11,0.18,0.18,0.22,0.26,0.34,0.44,0.53,0.67,0.94,1.20,1.40,1.78,2.02,1.90,1.51,1.21,1.42,1.43,1.69,2.14,2.71,2.73,3.48,4.09,2.84,5.49,7.77,12.07
26,EPS Diluted,0.05,0.04,0.05,0.06,0.07,0.06,0.01,0.07,0.11,0.17,0.17,0.21,0.26,0.34,0.44,0.53,0.65,0.93,1.17,1.35,1.73,1.99,1.86,1.49,1.21,1.42,1.43,1.69,2.14,2.71,2.73,3.47,4.09,2.84,5.49,7.75,12.04
27,Weighted Average Shares Outstanding,1137142857,1224444444,1120000000,1203478261,1152307692,1185000000,866666667,1168275862,1171555556,1239408000,1283624000,1341424000,1388349515,1408467153,1524960000,1531192000,1544196000,1556613757,1570000000,1554000000,1554000000,1535000000,1481000000,1457000000,1462000000,1401000000,1271000000,1150000000,1059000000,988000000,927000000,880000000,839000000,811000000,777000000,748000000,696000000
28,Weighted Average Shares Outstanding Diluted,1137142857,1224444444,1120000000,1203478261,1152307692,1185000000,866666667,1168275862,1171555556,1286906475,1329411765,1367017544,1388349515,1418823529,1535416000,1537900000,1589194000,1590270270,1612000000,1616000000,1606000000,1566000000,1510000000,1472000000,1464000000,1403000000,1273000000,1152000000,1061000000,990000000,929000000,881000000,840000000,812000000,778000000,750000000,699000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066795000003/0000060667-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066796000005/0000060667-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066797000013/0000060667-97-000013-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066798000007/0000060667-98-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066702000003/0000060667-02-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066704000188/form10k1302004.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066705000099/lowesform10k01282005.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066706000079/lowesform10k02032006.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066707000052/0000060667-07-000052-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066708000067/0000060667-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066709000036/0000060667-09-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066710000059/0000060667-10-000059-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066711000061/lowesform10k01282011.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066712000096/0000060667-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066713000045/0000060667-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066714000054/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066715000057/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066716000276/0000060667-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066717000076/0000060667-17-000076-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/0000060667-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/0000060667-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/0000060667-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/0000060667-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/0000060667-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,150300000,63900000,40400000,195100000,223000000,491000000,456000000,799000000,853000000,1446000000,530000000,423000000,364000000,281000000,245000000,632000000,652000000,1014000000,541000000,391000000,466000000,405000000,558000000,588000000,511000000,716000000,4690000000,1133000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,78000000,13000000,54000000,273000000,178000000,283000000,453000000,432000000,249000000,416000000,425000000,471000000,286000000,125000000,185000000,364000000,73000000,19000000,16000000,- -,160000000,506000000,271000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,150300000,63900000,40400000,195100000,243000000,569000000,469000000,853000000,1126000000,1624000000,813000000,876000000,796000000,530000000,661000000,1057000000,1123000000,1300000000,666000000,576000000,830000000,478000000,577000000,604000000,511000000,876000000,5196000000,1404000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,109200000,113500000,117600000,118400000,144000000,148000000,161000000,166000000,172000000,131000000,9000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1132300000,1267100000,1605900000,1714600000,2105000000,2812000000,3285000000,3611000000,3968000000,4584000000,5982000000,6635000000,7144000000,7611000000,8209000000,8249000000,8321000000,8355000000,8600000000,9127000000,8911000000,9458000000,10458000000,11393000000,12561000000,13179000000,16193000000,17605000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,165400000,159200000,87600000,81500000,94000000,181000000,260000000,290000000,302000000,348000000,170000000,259000000,374000000,545000000,381000000,426000000,523000000,417000000,518000000,593000000,110000000,625000000,965000000,775000000,1156000000,1263000000,937000000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557200000,1603700000,1851500000,2109600000,2586000000,3710000000,4175000000,4920000000,5568000000,6687000000,6974000000,7788000000,8314000000,8686000000,9251000000,9732000000,9967000000,10072000000,9784000000,10296000000,9851000000,10561000000,12000000000,12772000000,14228000000,15318000000,22326000000,19009000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1397700000,1858300000,2494400000,3005200000,3637000000,5177000000,7035000000,8653000000,10352000000,11945000000,13911000000,16354000000,18971000000,21361000000,22722000000,22499000000,22089000000,21970000000,21477000000,20834000000,20034000000,19577000000,19949000000,19721000000,18432000000,22560000000,22987000000,4108000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082000000,1307000000,303000000,303000000,311000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082000000,1307000000,303000000,303000000,311000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,31000000,35000000,22000000,- -,- -,- -,- -,- -,- -,- -,277000000,1008000000,504000000,271000000,279000000,354000000,222000000,366000000,408000000,256000000,372000000,200000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,200000000,251000000,305000000,- -,657000000,736000000,735000000,735000000,670000000,660000000,598000000,467000000,531000000,455000000,- -,- -,- -,- -,- -,- -,216000000,340000000,164000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,151100000,94400000,89100000,104500000,-67000000,-106000000,-120000000,-164000000,189000000,-247000000,-412000000,-238000000,-253000000,152000000,53000000,-101000000,168000000,482000000,679000000,1323000000,1482000000,906000000,1011000000,1083000000,1289000000,702000000,571000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1548800000,1952700000,2583500000,3109700000,3759000000,5302000000,7201000000,8816000000,10541000000,12355000000,14235000000,16851000000,19453000000,22183000000,23435000000,23273000000,23732000000,23487000000,22882000000,22436000000,21870000000,20705000000,22408000000,22519000000,20280000000,24153000000,24409000000,4272000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29903000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3106000000,3556400000,4435000000,5219300000,6345000000,9012000000,11376000000,13736000000,16109000000,19042000000,21209000000,24639000000,27767000000,30869000000,32686000000,33005000000,33699000000,33559000000,32666000000,32732000000,31721000000,31266000000,34408000000,35291000000,34508000000,39471000000,46735000000,44640000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,675400000,655400000,914200000,969800000,1133000000,1567000000,1732000000,1715000000,1943000000,2366000000,2687000000,2832000000,3524000000,3713000000,4109000000,4287000000,4351000000,4352000000,4657000000,5008000000,5124000000,5633000000,6651000000,6590000000,8279000000,7659000000,10884000000,11354000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,30700000,103500000,110600000,92000000,92000000,250000000,100000000,79000000,77000000,630000000,32000000,111000000,1104000000,1021000000,552000000,36000000,592000000,47000000,435000000,552000000,1104000000,1305000000,1431000000,1832000000,3039000000,1653000000,2776000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000000,216000000,243000000,255000000,251000000,318000000,253000000,287000000,257000000,544000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,95000000,127000000,161000000,247000000,166000000,683000000,193000000,801000000,824000000,892000000,979000000,1078000000,1253000000,1378000000,1299000000,1219000000,1608000000,1914000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,241700000,263800000,330800000,368900000,540000000,727000000,947000000,1202000000,1556000000,1866000000,2307000000,2841000000,2743000000,2687000000,2726000000,1833000000,2539000000,2146000000,2180000000,2541000000,2693000000,2677000000,2765000000,2697000000,3087000000,3265000000,4585000000,3624000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,945900000,949900000,1348500000,1449300000,1765000000,2386000000,2929000000,3017000000,3578000000,4368000000,5719000000,5832000000,6539000000,7751000000,8022000000,7355000000,7119000000,7891000000,7708000000,8876000000,9348000000,10492000000,11974000000,12096000000,14497000000,15182000000,18730000000,19668000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,681200000,866200000,767300000,1045600000,1283000000,1727000000,2698000000,3734000000,3736000000,3678000000,3060000000,3499000000,4325000000,5576000000,5039000000,4528000000,6537000000,7035000000,9030000000,10086000000,10806000000,11545000000,14394000000,15564000000,14391000000,16768000000,24558000000,31901000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730000000,- -,- -,- -,- -,- -,894000000,1019000000,1127000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,49200000,83600000,101600000,123800000,- -,- -,- -,- -,478000000,- -,- -,- -,- -,- -,- -,598000000,- -,531000000,455000000,291000000,97000000,241000000,222000000,168000000,133000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,- -,100000,- -,161000000,204000000,254000000,311000000,15000000,687000000,895000000,1012000000,1178000000,1444000000,1570000000,1455000000,1931000000,1569000000,1616000000,896000000,1502000000,1334000000,1384000000,1590000000,1843000000,4655000000,991000000,-3240000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,740200000,949800000,869000000,1169400000,1444000000,1931000000,2952000000,4045000000,4229000000,4365000000,3955000000,4511000000,5503000000,7020000000,6609000000,6581000000,8468000000,9135000000,11101000000,12003000000,12405000000,13120000000,16000000000,17322000000,16367000000,22317000000,26568000000,29788000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4444000000,4431000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686100000,1899700000,2217500000,2618700000,3209000000,4317000000,5881000000,7062000000,7807000000,8733000000,9674000000,10343000000,12042000000,14771000000,14631000000,13936000000,15587000000,17026000000,18809000000,20879000000,21753000000,23612000000,27974000000,29418000000,30864000000,37499000000,45298000000,49456000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,191000000,192000000,388000000,391000000,394000000,387000000,784000000,762000000,729000000,735000000,729000000,677000000,621000000,555000000,515000000,480000000,455000000,433000000,415000000,401000000,381000000,366000000,335000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,792900000,988400000,1245900000,1565100000,2006000000,2762000000,3518000000,4482000000,5887000000,7677000000,9634000000,12191000000,14860000000,15345000000,17049000000,18307000000,17371000000,15852000000,13224000000,11355000000,9591000000,7593000000,6241000000,5425000000,3452000000,1727000000,1117000000,-5115000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-344400000,-459600000,-609700000,-789800000,-60000000,-26000000,-4000000,2000000,1000000,1000000,-4099000000,1000000,1000000,8000000,-6000000,27000000,53000000,46000000,52000000,-17000000,-103000000,-394000000,-240000000,11000000,-209000000,-136000000,-136000000,-36000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,971400000,1127900000,1581300000,1825300000,1014000000,1768000000,1789000000,1802000000,2023000000,2237000000,5613000000,1363000000,102000000,16000000,277000000,6000000,11000000,14000000,26000000,- -,- -,- -,- -,22000000,- -,- -,90000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1419900000,1656700000,2217500000,2600600000,3136000000,4695000000,5495000000,6674000000,8302000000,10309000000,11535000000,14339000000,15725000000,16098000000,18055000000,19069000000,18112000000,16533000000,13857000000,11853000000,9968000000,7654000000,6434000000,5873000000,3644000000,1972000000,1437000000,-4816000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3106000000,3556400000,4435000000,5219300000,6345000000,9012000000,11376000000,13736000000,16109000000,19042000000,21209000000,24682000000,27767000000,30869000000,32686000000,33005000000,33699000000,33559000000,32666000000,32732000000,31721000000,31266000000,34408000000,35291000000,34508000000,39471000000,46735000000,44640000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3106000000,3556400000,4435000000,5219300000,6345000000,9012000000,11376000000,13736000000,16109000000,19042000000,21209000000,24639000000,27767000000,30869000000,32686000000,33005000000,33699000000,33559000000,32666000000,32732000000,31721000000,31266000000,34408000000,35291000000,34508000000,39471000000,46735000000,44640000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/60667/000006066795000003/0000060667-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066796000005/0000060667-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066797000013/0000060667-97-000013-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066798000007/0000060667-98-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066702000003/0000060667-02-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/60667/000006066704000188/form10k1302004.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066705000099/lowesform10k01282005.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066706000079/lowesform10k02032006.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066707000052/0000060667-07-000052-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066708000067/0000060667-08-000067-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066709000036/0000060667-09-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066710000059/0000060667-10-000059-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066711000061/lowesform10k01282011.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066712000096/0000060667-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066713000045/0000060667-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066714000054/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066715000057/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066716000276/0000060667-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066717000076/0000060667-17-000076-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/0000060667-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/0000060667-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/0000060667-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/0000060667-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/0000060667-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,74900000,71100000,6500000,84700000,131800000,223600000,226000000,292200000,357500000,482000000,673000000,810000000,1023000000,1471000000,1877000000,2176000000,2765000000,3105000000,2809000000,2195000000,1783000000,2010000000,1839000000,1959000000,2286000000,2698000000,2546000000,3093000000,3447000000,2314000000,4281000000,5835000000,- -
