,https://roic.ai/company/RNWK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,16500000,41500000,68200000,116000000,338163000,216041000,164064000,154897000,192297000,-170557000,80648000,343082000,632472000,397760000,279176000,218047000,200676000,180623000,154572000,118907000,91185000,73659000,72181000,98931000,62692000,63211000
11,COGS and Expenses,18000000,45800000,77100000,132800000,367564000,254229000,214333000,223240000,284504000,-72308000,204756000,556573000,865716000,619902000,423899000,364646000,304407000,259714000,230953000,189204000,156153000,96823000,89908000,202058000,79157000,76967000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,38000,34000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000,20000,168000
14,Depreciation and Amortization,700000,2100000,5100000,7800000,151340000,53273000,13088000,12370000,15338000,16371000,20980000,45225000,45968000,31454000,23401000,16895000,16959000,18748000,11959000,10410000,7057000,2936000,2135000,5834000,944000,749000
15,EBITDA,-3100000,-9100000,-11300000,14700000,44185000,-25548000,-19293000,-8937000,-7137000,445914000,248733000,120996000,-172082000,-181989000,-8012000,-27534000,74318000,-35339000,-58576000,-72271000,-28371000,-16147000,-20652000,-12463000,-3833000,-20585000
16,EBITDA ratio,-0.2214,-0.2783,-0.1744,0.1120,0.1829,-0.1352,-0.1056,-0.0442,-0.0268,1.3718,0.6293,0.2132,-0.2845,-0.3237,-0.0199,-0.0820,0.2871,-0.1714,-0.3750,-0.5768,-0.2355,-0.2051,-0.2971,-0.0724,-0.0563,-0.3538
17,Operating Income,-4000000,-13100000,-12300000,-1600000,-126026000,-65324000,-31654000,-20863000,-22723000,397367000,190505000,7299000,-287405000,-237238000,-34527000,-37610000,55563000,-70808000,-69153000,-69187000,-37174000,-20631000,-22271000,-32443000,-5024000,-20873000
18,Operating Income ratio,-0.2857,-0.4006,-0.1898,-0.0122,-0.5218,-0.3458,-0.1733,-0.1031,-0.0852,1.2224,0.4820,0.0129,-0.4752,-0.4219,-0.0859,-0.1120,0.2147,-0.3434,-0.4427,-0.5522,-0.3086,-0.2621,-0.3204,-0.1885,-0.0738,-0.3587
19,Total Other Income Expenses (Gains),200000,2000000,-4100000,-3000000,18871000,-13497000,-727000,-444000,248000,32176000,37248000,68472000,69355000,-2470000,204000,-6819000,1796000,16721000,-1382000,-13494000,1746000,439000,-516000,12253000,-35000,-140000
20,Income Before Tax,- -,- -,- -,- -,-107155000,-78821000,-32381000,-21307000,-22475000,429543000,227753000,75771000,-218050000,-239708000,-34323000,-44429000,57359000,-54087000,-70535000,-82681000,-35428000,-20192000,-22787000,-20190000,-5059000,-21013000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.4436,-0.4173,-0.1773,-0.1053,-0.0843,1.3214,0.5762,0.1335,-0.3605,-0.4263,-0.0854,-0.1324,0.2216,-0.2623,-0.4515,-0.6599,-0.2941,-0.2565,-0.3278,-0.1173,-0.0743,-0.3612
22,Income Tax expense (Gain),- -,- -,- -,- -,2966000,-4058000,5972000,144000,522000,117198000,82537000,27456000,25828000,3321000,-36451000,-17329000,12518000,4903000,1280000,-834000,1122000,-2778000,2202000,1068000,55000,479000
23,Net Income,-3800000,-11200000,-16400000,6900000,-110121000,-74763000,-38353000,-21451000,-22997000,312345000,145216000,48315000,-243878000,-216764000,5038000,-27100000,44841000,-58990000,-71815000,-81847000,-36550000,-16305000,-24989000,-20001000,-4852000,-21981000
24,Net Income ratio,-0.2714,-0.3425,-0.2531,0.0526,-0.4559,-0.3958,-0.2099,-0.1060,-0.0862,0.9609,0.3674,0.0851,-0.4032,-0.3855,0.0125,-0.0807,0.1732,-0.2861,-0.4597,-0.6532,-0.3034,-0.2071,-0.3595,-0.1162,-0.0713,-0.3778
25,EPS,-0.04,-2.88,-0.51,0.10,-2.88,-1.88,-0.96,-0.52,-0.56,7.36,3.60,1.28,-6.96,-6.56,0.20,-0.79,1.29,-1.61,-2.00,-2.26,-0.99,-0.44,-0.66,-0.53,-0.13,-0.05
26,EPS Diluted,-0.04,-2.88,-0.51,0.08,-2.88,-1.88,-0.96,-0.52,-0.56,6.80,3.24,1.16,-6.96,-6.56,0.20,-0.79,1.28,-1.61,-2.00,-2.26,-0.99,-0.44,-0.66,-0.53,-0.13,-0.05
27,Weighted Average Shares Outstanding,95000000,96666667,32323000,71008000,38467500,40133000,39841250,40077250,42226750,42496500,40243250,37916250,35108000,33653000,33894250,34185000,34873000,35553000,35947000,36165000,36781000,37163000,37582000,37994000,38272000,47055000
28,Weighted Average Shares Outstanding Diluted,95000000,96666667,32323000,83288000,38467500,40133000,41452000,40077250,42226750,46040250,44820250,41602500,35108000,33653000,34013250,34185000,35122000,35553000,35947000,36165000,36781000,37163000,37582000,37994000,38272000,47055000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046327/000089102002000225/0000891020-02-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000089102003000987/0000891020-03-000987-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012404000919/0000950124-04-000919-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012405001417/0000950124-05-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000089102006000064/0000891020-06-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013407004459/0000950134-07-004459-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013408003764/0000950134-08-003764-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013409004088/0000950134-09-004088-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012310023158/0000950123-10-023158-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000119312511068695/0001193125-11-068695-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000119312512090235/0001193125-12-090235-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632713000008/0001046327-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632714000014/0001046327-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632715000016/0001046327-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632716000072/0001046327-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632717000009/0001046327-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632718000010/0001046327-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632719000010/0001046327-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632720000024/0001046327-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632721000018/0001046327-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632722000016/0001046327-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14700000,62300000,51900000,344600000,364710000,344509000,309071000,373593000,363621000,651971000,525232000,476697000,232968000,277030000,236018000,106333000,163198000,151235000,103253000,47315000,33721000,51196000,35561000,16805000,23940000,27109000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,129356000,153688000,79932000,137766000,107870000,98303000,78739000,108216000,74920000,58453000,51814000,43331000,8779000,24000,- -,9965000,1755000
33,Cash and Short-Term Investments,14700000,62300000,51900000,344600000,364710000,344509000,309071000,373593000,363621000,781327000,678920000,556629000,370734000,384900000,334321000,185072000,271414000,226155000,161706000,99129000,77052000,59975000,35585000,16805000,33905000,28864000
34,Net Receivables,3400000,15800000,4900000,6900000,8647000,5854000,6560000,10618000,14501000,16721000,65751000,84674000,70201000,60937000,48675000,41165000,30754000,24613000,15257000,22511000,22162000,12689000,11751000,29507000,10229000,9556000
35,Inventory,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5300000,31600000,41100000,2900000,14766000,12469000,7278000,8879000,8196000,66137000,24524000,40253000,38625000,35816000,39614000,23326000,20696000,11031000,10334000,7600000,5670000,21597000,6242000,8268000,3676000,3215000
37,Total Current Assets,23500000,109900000,97900000,354400000,388123000,362832000,322909000,393090000,386318000,864185000,769195000,681556000,479560000,481653000,422610000,249563000,322864000,261799000,187297000,129240000,104884000,94261000,53578000,54580000,47810000,41635000
38,PP&E,2700000,5100000,6300000,26200000,42273000,35542000,30045000,29937000,28831000,33138000,47743000,56497000,63007000,57114000,43371000,37474000,29316000,23172000,16248000,8800000,5254000,3860000,2754000,14413000,9808000,5462000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309122000,353153000,175264000,- -,4960000,6198000,6309000,17476000,17355000,13080000,12857000,13060000,16955000,62428000,17375000,16976000
40,Intangible Assets,- -,- -,9000000,6900000,104861000,57816000,60925000,98542000,127600000,130667000,105109000,107677000,18727000,10650000,6952000,7169000,3275000,12993000,10109000,2136000,938000,325000,26000,19286000,- -,- -
41,Intangible Assets,- -,- -,9000000,6900000,104861000,57816000,60925000,98542000,127600000,130667000,414231000,460830000,193991000,10650000,11912000,13367000,9584000,30469000,27464000,15216000,13795000,13385000,16981000,81714000,17375000,16976000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19553000,53027000,55170000,53538000,19654000,12676000,1721000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,360000,- -,- -,- -,19147000,27150000,40913000,9236000,10001000,12805000,18419000,4911000,1409000,999000,957000,816000,1047000,851000,761000,909000,727000
44,Other Non-Current Assets,300000,1700000,14900000,23600000,43151000,111310000,48222000,59370000,59753000,65860000,45097000,35646000,43219000,27912000,21717000,3797000,13684000,6278000,5615000,5409000,5688000,8943000,6155000,8286000,5854000,4508000
45,Total Non-Current Assets,3000000,6800000,30200000,56700000,190285000,205028000,139192000,187849000,216184000,248812000,534221000,593886000,309453000,125230000,142832000,128227000,111033000,80982000,63002000,32103000,25553000,27235000,26741000,105174000,33946000,27673000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26500000,116700000,128100000,411100000,578408000,567860000,462101000,580939000,602502000,1112997000,1303416000,1275442000,789013000,606883000,565442000,377790000,433897000,342781000,250299000,161343000,130437000,121496000,80319000,159754000,81756000,69308000
48,Accounts Payable,2400000,2100000,3600000,6300000,7727000,9950000,7830000,6865000,10219000,11397000,52097000,56160000,36575000,32703000,30413000,17151000,19013000,19987000,18653000,17050000,18225000,3785000,3910000,4927000,2750000,2578000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7331000,3373000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1231000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,31462000,31771000,31186000,30307000,25021000,24137000,39564000,39835000,31374000,19036000,11835000,8675000,7498000,5301000,3497000,3430000,3097000,2125000,6620000,2122000,2614000
52,Other Current Liabilities,4200000,20200000,34100000,74300000,75074000,36141000,34908000,44360000,58193000,116963000,108836000,134766000,136160000,139378000,86846000,59790000,57530000,42792000,26914000,17320000,16925000,32222000,14062000,77303000,14477000,13286000
53,Total Current Liabilities,6600000,22300000,37700000,80600000,82801000,77553000,74509000,82411000,98719000,153381000,185070000,330490000,212570000,203455000,136295000,88776000,85218000,70277000,50868000,37867000,38580000,39104000,20097000,96181000,22722000,18478000
54,Long-Term Debt,- -,1000000,1000000,- -,- -,- -,- -,100000000,100000000,100000000,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,9732000,2300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6397000,460000,195000,169000,166000,235000,105000,240000,443000,268000,96000,45000,183000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27076000,22060000,1379000,- -,1049000,1443000,432000,1556000,702000,88000,87000,19000,1168000,1172000,1129000,1132000
57,Other Non-Current Liabilities,- -,15500000,5900000,-100000,14795000,25428000,37827000,32042000,22978000,17883000,21504000,28175000,21128000,21220000,14893000,16089000,5350000,1801000,1296000,2600000,2949000,2757000,1946000,20132000,2241000,1142000
58,Total Non-Current Liabilities,- -,16500000,6900000,-100000,14795000,25428000,37827000,132042000,122978000,117883000,148580000,50235000,22507000,27617000,16402000,17727000,5951000,3523000,2233000,2793000,3276000,3219000,3382000,25300000,13147000,4757000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13271000,10210000,2300000
61,Total Liabilities,6600000,38800000,44600000,80500000,97596000,102981000,112336000,214453000,221697000,271264000,333650000,380725000,235077000,231072000,152697000,106503000,91169000,73800000,53101000,40660000,41856000,42323000,23479000,121481000,35869000,23235000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -
63,Common Stock,- -,- -,- -,200000,159000,160000,158000,164000,171000,166000,162000,142000,134000,135000,136000,34000,35000,36000,36000,36000,37000,37000,37000,38000,38000,- -
64,Retained Earnings,-5900000,-17500000,-33900000,-34900000,-144986000,-219749000,-258102000,-279553000,-302550000,9795000,155011000,203326000,-40552000,-257316000,-252278000,-279378000,-234537000,-293527000,-365342000,-447189000,-483739000,-500044000,-524009000,-544010000,-548862000,- -
65,Other Comprehensive Income/Loss,- -,-2800000,-6100000,-10100000,-12376000,-20721000,-22718000,-33258000,-41508000,27000000,23000000,18000000,-49000000,-39000000,-33000000,-25000000,-27000000,-48000000,-55000000,-59000000,-62000000,-60000000,-61000000,-61000000,-60641000,-61520000
66,Other Total Stockholders Equity,25800000,98200000,123500000,375400000,638015000,705189000,630427000,679133000,724692000,804772000,791593000,653636000,635595000,671992000,697887000,575631000,604230000,610472000,617504000,626836000,634283000,639180000,641812000,643747000,655606000,- -
67,Total Stockholders Equity,19900000,77900000,83500000,330600000,480812000,464879000,349765000,366486000,380805000,841733000,969766000,875104000,546177000,375811000,412745000,271287000,342728000,268981000,197198000,120683000,88581000,79173000,56840000,38775000,46149000,46073000
68,Total Liabilities And Stockholders Equity,26500000,116700000,128100000,411100000,578408000,567860000,462101000,580939000,602502000,1112997000,1303416000,1255829000,781254000,606883000,565442000,377790000,433897000,342781000,250299000,161343000,130437000,121496000,80319000,160256000,82018000,69308000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19613000,7759000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-502000,-262000,- -
70,Total Liabilities & Equity,26500000,116700000,128100000,411100000,578408000,567860000,462101000,580939000,602502000,1112997000,1303416000,1275442000,789013000,606883000,565442000,377790000,433897000,342781000,250299000,161343000,130437000,121496000,80319000,159754000,81756000,69308000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046327/000089102002000225/0000891020-02-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000089102003000987/0000891020-03-000987-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012404000919/0000950124-04-000919-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012405001417/0000950124-05-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000089102006000064/0000891020-06-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013407004459/0000950134-07-004459-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013408003764/0000950134-08-003764-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095013409004088/0000950134-09-004088-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000095012310023158/0000950123-10-023158-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000119312511068695/0001193125-11-068695-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000119312512090235/0001193125-12-090235-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632713000008/0001046327-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632714000014/0001046327-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632715000016/0001046327-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632716000072/0001046327-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632717000009/0001046327-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632718000010/0001046327-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632719000010/0001046327-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632720000024/0001046327-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632721000018/0001046327-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1046327/000104632722000016/0001046327-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3800000,-11200000,-16400000,6900000,-110121000,-74763000,-38353000,-21451000,-22997000,312345000,145216000,48315000,-243878000,-216764000,5038000,-27100000,44841000,-58990000,-71815000,-81847000,-36550000,-16305000,-24989000,-20001000,-4852000,-21981000
74,Depreciation and Amortization,700000,2100000,5100000,7800000,151340000,53273000,13088000,12370000,15338000,16371000,20980000,45225000,45968000,31454000,23401000,16895000,16959000,18748000,11959000,10410000,7057000,2936000,2135000,5834000,944000,749000
75,Deferred Income Tax,- -,-800000,800000,- -,-14142000,-7921000,5585000,- -,- -,107208000,54986000,-9549000,11583000,4255000,622000,-23985000,20324000,676000,-237000,-1558000,130000,-3871000,1170000,-30000,-191000,201000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21460000,12203000,11747000,8123000,7468000,5204000,4698000,5424000,3675000,2508000,2881000,1420000,4224000
77,Change in Working Capital,2400000,70700000,-27400000,213600000,31522000,-20043000,-36879000,62279000,-23080000,423205000,-126679000,-233059000,-84076000,11208000,8117000,-125528000,76859000,-46124000,-55093000,-45056000,-25069000,-11147000,-21676000,-75082000,66689000,3406000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10720000,- -,6835000,11163000,8442000,8732000,-8236000,-129000,-5845000,17971000,3089000,2587000,- -
79,Inventory,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4879000,- -,-14601000,549000,321000,-769000,-465000,1571000,-599000,-15125000,243000,-1342000,- -
81,Other Working Capital,16900000,87600000,60200000,273800000,305322000,285279000,248400000,310679000,287599000,710804000,584125000,351066000,266990000,278198000,286315000,160787000,237646000,191522000,136429000,91373000,66304000,55157000,33481000,-41601000,25088000,- -
82,Other Non-Cash Items,100000,-52700000,47400000,-180100000,-2621000,64312000,55771000,-61987000,37762000,-398376000,76417000,217477000,241117000,139083000,-80503000,147263000,-200419000,28343000,49738000,44371000,24680000,3362000,21631000,61028000,-74648000,-1640000
83,Cash Provided by Operating Activities,-600000,8100000,9500000,48200000,55978000,14858000,-788000,-8789000,7023000,460753000,170920000,68409000,-29286000,-9304000,-31122000,-708000,-33313000,-49879000,-60244000,-68982000,-24328000,-21350000,-19221000,-25370000,-10638000,-15041000
84,CAPEX,-2800000,-4600000,-4400000,-24600000,-23993000,-12227000,-6264000,-9065000,-10018000,-13782000,-13808000,-29454000,-32369000,-16807000,-12904000,-9873000,-7170000,-7727000,-2460000,-1319000,-2438000,-734000,-765000,-1192000,-408000,-466000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-258000000,-46000000,-10000000,-3000000,-6000000,-3000000,- -,-22000000,-1000000,10000000,4000000,5000000,-4000000,12000000,- -,-836000
86,Purchases of Investments,-30500000,-203000000,-93200000,-202400000,-884115000,-755685000,-531367000,-314633000,-293560000,-154138000,-205675000,-135083000,-266618000,-145273000,-116831000,-96841000,-116963000,-131690000,-81216000,-72136000,-75766000,-13905000,- -,- -,- -,- -
87,Sales/Maturities of Investments,28600000,178100000,85500000,46900000,822750000,713538000,581324000,323979000,325084000,187888000,183259000,208798000,195193000,174183000,126398000,116405000,94748000,194139000,100437000,79234000,89216000,48457000,8755000,24000,- -,- -
88,Other Investing Activites,-100000,-1300000,-13400000,400000,-4568000,-260000,-2422000,-22660000,-15514000,2021000,159000,2206000,576000,718000,-8188000,-67000,116520000,6520000,-200000,-51000,-3460000,-1700000,-192000,249000,-2160000,2048000
89,Cash Used for Investing Activites,-4800000,-30800000,-25500000,-179700000,-89926000,-54634000,41271000,-22379000,5992000,6989000,-294065000,467000,-113218000,9821000,-17525000,6624000,87135000,39242000,15561000,15728000,11552000,37118000,3798000,11081000,-2568000,746000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41992000,-3922000,- -
91,Common Stock Issued,17000000,69300000,5700000,240300000,21427000,8003000,7741000,10166000,8489000,20361000,54929000,15894000,9570000,39477000,2678000,3177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20114000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11446000,-30728000,- -,- -,-54321000,-98876000,-178792000,-50199000,- -,- -,-136793000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136793000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,1000000,- -,400000,310000,- -,- -,96963000,- -,-648000,39183000,49278000,-55233000,15000,1261000,136867000,2807000,-1435000,-637000,341000,-345000,-117000,-62000,41369000,19901000,-2152000
95,Cash Used/Provided by Financing Activities,17100000,70300000,5700000,240700000,21737000,-3443000,-22987000,107129000,8489000,-34608000,-4764000,-113620000,-95862000,39492000,3939000,-133542000,2807000,-1435000,-637000,341000,-345000,-117000,-62000,-623000,15979000,17962000
96,Effect of Forex Changes on Cash,- -,-100000,-100000,-100000,-859000,-484000,101000,288000,-106000,-589000,1170000,-3791000,-5363000,4053000,3696000,-2059000,236000,109000,-2662000,-3025000,-473000,1824000,-920000,-100000,618000,-498000
97,Net Change In Cash,- -,- -,- -,109100000,-13070000,-43703000,17597000,76249000,21398000,432545000,-126739000,-48535000,-243729000,44062000,-41012000,-129685000,56865000,-11963000,-47982000,-55938000,-13594000,17475000,-16405000,-15012000,3391000,3169000
98,Cash at the End of Period,- -,- -,- -,161000000,147885000,104182000,121779000,198028000,219426000,651971000,525232000,476697000,232968000,277030000,236018000,106333000,163198000,151235000,103253000,47315000,33721000,51196000,37191000,22179000,25570000,28739000
99,Cash at the Beginning of Period,3100000,14700000,62300000,51900000,160955000,147885000,104182000,121779000,198028000,219426000,651971000,525232000,476697000,232968000,277030000,236018000,106333000,163198000,151235000,103253000,47315000,33721000,53596000,37191000,22179000,25570000
100,Free Cash Flow,-3400000,3500000,5100000,23600000,31985000,2631000,-7052000,-17854000,-2995000,446971000,157112000,38955000,-61655000,-26111000,-44026000,-10581000,-40483000,-57606000,-62704000,-70301000,-26766000,-22084000,-19986000,-26562000,-11046000,-15507000
