,https://roic.ai/company/CWT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41643000,45265000,51981000,56866000,60250000,63322000,63182000,65203000,78592000,85707000,91288000,100935000,111581000
15,EBITDA,12500000,13700000,15000000,14100000,13800000,14400000,13900000,12500000,15500000,35400000,36100000,43200000,37300000,41400000,32100000,46180000,40722000,48482000,49832000,60950000,64929000,57846000,66180000,81116000,103510000,109294000,119407000,155282000,156832000,174980000,160758000,171195000,213064000,205017000,213296000,251646000,260012000
16,EBITDA ratio,0.1195,0.1251,0.1330,0.1239,0.1174,0.1158,0.1093,0.0894,0.1022,0.2250,0.2187,0.2363,0.1910,0.2222,0.1555,0.1886,0.1650,0.1842,0.1798,0.1931,0.2024,0.1728,0.1803,0.1977,0.2303,0.2374,0.2380,0.2773,0.2685,0.2929,0.2732,0.2809,0.3195,0.2936,0.2985,0.3168,0.3288
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,35100000,35200000,42500000,48200000,40600000,42800000,44767000,34879000,42865000,43132000,58567000,59816000,55603000,62057000,81976000,58119000,61813000,67167000,73843000,74005000,81847000,71153000,76194000,94623000,110540000,99412000,136666000,126770000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2231,0.2132,0.2325,0.2468,0.2179,0.2074,0.1829,0.1413,0.1629,0.1556,0.1856,0.1865,0.1661,0.1691,0.1998,0.1293,0.1343,0.1338,0.1319,0.1267,0.1370,0.1209,0.1250,0.1419,0.1583,0.1391,0.1721,0.1603
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-11100000,-10600000,-11200000,-10900000,-11600000,-10700000,-13233000,-10186000,-11224000,-10817000,-15457000,-12587000,-14726000,-13011000,-18040000,3642000,2216000,259000,-3563000,-6282000,2863000,-847000,-703000,5921000,-29084000,-18625000,-27817000,-21699000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,24600000,31300000,37300000,29000000,32100000,31534000,24693000,31641000,32315000,43110000,47229000,40877000,49046000,63936000,- -,- -,- -,70280000,67723000,84710000,70306000,75491000,100544000,81456000,80787000,108849000,105071000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1526,0.1490,0.1712,0.1910,0.1557,0.1555,0.1288,0.1000,0.1202,0.1166,0.1366,0.1473,0.1221,0.1336,0.1558,- -,- -,- -,0.1255,0.1159,0.1418,0.1195,0.1239,0.1508,0.1167,0.1131,0.1370,0.1328
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,9900000,12200000,14000000,10600000,12200000,11571000,9728000,12568000,12898000,17084000,20006000,15297000,17887000,24131000,- -,- -,- -,21452000,20469000,27972000,25289000,26816000,33363000,15872000,17671000,12018000,4092000
23,Net Income,12500000,13700000,15000000,14100000,13800000,14400000,13900000,12500000,15500000,14400000,14700000,19100000,23300000,18400000,19900000,19963000,14965000,19073000,19417000,26026000,27223000,25580000,31159000,39805000,40554000,37656000,37712000,48828000,47254000,56738000,45017000,48675000,67181000,65584000,63116000,96831000,101125000
24,Net Income ratio,0.1195,0.1251,0.1330,0.1239,0.1174,0.1158,0.1093,0.0894,0.1022,0.0915,0.0890,0.1045,0.1193,0.0988,0.0964,0.0815,0.0606,0.0725,0.0701,0.0825,0.0849,0.0764,0.0849,0.0970,0.0902,0.0818,0.0752,0.0872,0.0809,0.0950,0.0765,0.0799,0.1007,0.0939,0.0883,0.1219,0.1279
25,EPS,0.56,0.60,0.66,0.61,0.60,0.63,0.60,0.55,0.68,0.61,0.58,0.75,0.92,0.72,0.77,0.66,0.49,0.63,0.60,0.73,0.73,0.67,0.75,0.95,0.97,0.91,0.90,1.17,1.02,1.19,0.94,1.02,1.40,1.36,1.31,1.97,1.96
26,EPS Diluted,0.56,0.60,0.66,0.61,0.60,0.63,0.60,0.55,0.68,0.61,0.58,0.75,0.92,0.72,0.77,0.66,0.48,0.63,0.60,0.73,0.73,0.67,0.75,0.95,0.97,0.91,0.90,1.17,1.02,1.19,0.94,1.01,1.40,1.36,1.31,1.97,1.96
27,Weighted Average Shares Outstanding,22522523,21983471,22121212,22786885,22833333,22720000,22644628,22568807,22666667,23278689,24786325,25200000,25238000,25238000,25872000,30252000,30364000,30364000,31764000,35304000,36758000,37810000,41330000,41420000,41490000,41612000,41762000,41892000,46384000,47791000,47865000,47953000,48009000,48060000,48168000,49274000,51633000
28,Weighted Average Shares Outstanding Diluted,22522523,21983471,22121212,22786885,22833333,22720000,22644628,22568807,22666667,23278689,24786325,25200000,25290323,25357143,25872000,30346000,30570000,30370000,31786000,35348000,36804000,37850000,41378000,41468000,41532000,41638000,41772000,41892000,46417000,47829000,47880000,47956000,48009000,48060000,48168000,49274000,51633000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095014999000416/0000950149-99-000416-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000500000471/0000950005-00-000471-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095000503000382/0000950005-03-000382-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000504000266/0000950005-04-000266-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000505000264/0000950005-05-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/1035201/000089161807000159/f28120e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013408003723/f37770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013409004228/0000950134-09-004228-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012310018557/0000950123-10-018557-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012311020033/f57499e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746912001921/0001047469-12-001921-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746913001968/0001047469-13-001968-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746914001487/a2218379z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746915001307/a2223126z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520116000009/0001035201-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520117000003/0001035201-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520118000003/0001035201-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520119000003/0001035201-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520120000002/0001035201-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520121000003/0001035201-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520122000002/0001035201-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,6300000,1400000,1700000,600000,1400000,3241000,953000,1063000,2856000,18820000,9533000,60312000,6734000,13869000,9866000,42277000,27203000,38790000,27506000,19587000,8837000,25492000,94776000,47176000,42653000,44555000,78380000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,6300000,1400000,1700000,600000,1400000,3241000,953000,1063000,2856000,18820000,9533000,60312000,6734000,13869000,9866000,42277000,27203000,38790000,27506000,19587000,8837000,25492000,94776000,47176000,42653000,44555000,78380000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,20000000,18600000,20000000,19400000,22700000,28577000,30091000,31930000,32081000,35619000,32206000,37567000,40128000,47969000,58540000,59908000,71588000,101900000,106413000,128496000,112402000,110285000,126634000,134940000,134314000,116389000,133970000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2500000,2300000,2100000,2100000,2200000,2718000,2147000,2760000,2957000,3161000,4182000,4515000,4744000,5070000,5530000,6058000,5913000,5874000,5571000,6041000,6339000,6292000,6463000,6586000,7745000,8831000,9511000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,3900000,4500000,4500000,4500000,4500000,6257000,7224000,7234000,5609000,12793000,6303000,7230000,8369000,12890000,18305000,17967000,9184000,- -,- -,- -,- -,- -,- -,- -,- -,96241000,78597000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,32700000,26800000,28300000,26600000,30800000,40793000,40415000,42987000,43503000,70393000,52224000,109624000,59975000,79798000,92241000,126210000,113888000,146564000,139490000,154124000,127578000,142069000,227873000,188702000,184712000,266016000,300458000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,407900000,422200000,443600000,460400000,478300000,515400000,582008000,624342000,696988000,759498000,800305000,848505000,941475000,1010196000,1112367000,1198077000,1294297000,1381119000,1443093000,1503612000,1579060000,1689251000,1847460000,2036971000,2207980000,2381516000,2622991000,2816907000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2615000,2615000,2615000,2615000,2615000,2615000,2615000,2615000,2615000,2615000,2615000,31842000,36814000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13963000,12219000,11371000,12516000,11817000,10994000,24743000,24855000,27567000,29955000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14226000,- -,- -,3906000,2615000,2615000,2615000,16578000,14834000,13986000,15131000,14432000,13609000,27358000,27470000,59409000,66769000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28900000,30000000,42000000,42600000,43600000,41400000,43804000,45457000,60607000,70034000,72155000,81990000,113920000,114328000,222036000,232648000,268944000,356965000,389689000,301919000,440181000,414134000,407784000,461922000,413664000,517610000,445832000,439137000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,436800000,452200000,485600000,503000000,521900000,556800000,625812000,669799000,757595000,829532000,872460000,944721000,1055395000,1124524000,1338309000,1433340000,1565856000,1740699000,1849360000,1820365000,2033227000,2118516000,2269676000,2512502000,2649002000,2926596000,3128232000,3322813000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,464200000,484900000,512400000,531300000,548500000,587600000,666605000,710214000,800582000,873035000,942853000,996945000,1165019000,1184499000,1418107000,1525581000,1692066000,1854587000,1995924000,1959855000,2187351000,2246094000,2411745000,2740375000,2837704000,3111308000,3394248000,3623271000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,14800000,14700000,15500000,15900000,23700000,26493000,24032000,23706000,23776000,19745000,36120000,33130000,36694000,41772000,46119000,39505000,48923000,47199000,55087000,59395000,66380000,77813000,93955000,95580000,108463000,131725000,144369000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,- -,7500000,14500000,24700000,16300000,17479000,27381000,37379000,7358000,1100000,1133000,1778000,2701000,42818000,24953000,26130000,53673000,136258000,54723000,85722000,40215000,123308000,291020000,170011000,198420000,376884000,41994000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4369000,3079000,3942000,3379000,3575000,4059000,3417000,3629000,3888000,4182000,4445000,4477000,5379000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2024000,2172000,3937000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,11000000,12600000,13100000,14900000,15500000,19764000,27576000,30456000,32430000,36367000,39563000,35317000,30258000,38606000,39286000,41713000,49279000,59610000,56774000,72589000,41860000,49109000,105984000,55575000,49814000,77925000,66276000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,25800000,34800000,43100000,55500000,55500000,63736000,78989000,91541000,63564000,57212000,76816000,70225000,69653000,123196000,110358000,107348000,151875000,243067000,166584000,217706000,148455000,250230000,490959000,321166000,358721000,588706000,256576000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,128900000,145500000,142200000,139200000,136300000,156600000,187098000,202600000,250365000,272226000,274821000,274142000,291814000,289220000,287498000,374269000,479181000,481632000,434467000,426142000,419233000,512287000,531745000,515793000,710027000,786754000,781100000,1055794000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187584000,183393000,182284000,180172000,182448000,182502000,186342000,191062000,195625000,198086000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,17500000,26800000,28800000,30800000,24200000,28609000,31698000,34145000,40930000,57547000,66535000,72044000,72179000,74736000,94169000,109328000,118622000,158846000,183245000,214842000,264897000,298924000,192946000,213033000,222590000,276032000,298945000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153600000,170700000,184893000,196802000,221890000,248244000,262232000,282023000,349142000,364201000,529766000,526151000,560683000,652629000,498248000,401735000,526660000,498129000,488927000,664713000,676979000,772275000,631441000,630890000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,144600000,163000000,169000000,168000000,320700000,351500000,400600000,431100000,506400000,561400000,594600000,622700000,713000000,725600000,892000000,994589000,1149192000,1252883000,1279145000,1194515000,1343019000,1455485000,1502044000,1555954000,1786381000,1972681000,1884198000,2183715000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,430800000,471700000,488900000,488600000,- -,- -,- -,862231000,- -,1122872000,- -,1245413000,1426017000,1451262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1452000,1757000,1802000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,316300000,334500000,354700000,363700000,376200000,406900000,464296000,510120000,597890000,625036000,651773000,699529000,783242000,795315000,1015158000,1104947000,1256540000,1404758000,1522212000,1361099000,1560725000,1603940000,1752274000,2046913000,2107547000,2331402000,2472904000,2440291000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3475000,3475000,3475000,3475000,3475000,3475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,42800000,43500000,44900000,44900000,44900000,100000,151000,152000,152000,169000,184000,184000,207000,207000,207000,208000,208000,418000,419000,477000,478000,479000,480000,480000,481000,485000,503000,537000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,101600000,103400000,109300000,119100000,123900000,132700000,149185000,147299000,149215000,150908000,156851000,162968000,166582000,173617000,188820000,204898000,217801000,229839000,252280000,269915000,295590000,308541000,324135000,356753000,392053000,417146000,472209000,525936000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151300000,-162200000,-174800000,-187200000,-202400000,-222000000,-269273000,-285316000,-134000,-301000,-701000,-1202000,-402940000,-436851000,-470712000,-510985000,-549469000,-579262000,-634657000,-691484000,-744643000,-796476000,-847954000,-910996000,-996723000,-1144115000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,165700000,178300000,190800000,205900000,269900000,322246000,337959000,49984000,93748000,131271000,131991000,614453000,648736000,684634000,726513000,766986000,798834000,855670000,1019848000,1075201000,1129611000,1182810000,1247225000,1334346000,1506390000,448632000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,147900000,150400000,157700000,167600000,172300000,180700000,202309000,200094000,202692000,247999000,291080000,297416000,381777000,389184000,402949000,420634000,435526000,449829000,473712000,598756000,626626000,642155000,659471000,693462000,730157000,779906000,921344000,1177594000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,464200000,484900000,512400000,531300000,548500000,587600000,666605000,710214000,800582000,873035000,942853000,996945000,1165019000,1184499000,1418107000,1525581000,1692066000,1854587000,1995924000,1959855000,2187351000,2246095000,2411745000,2740375000,2837704000,3111308000,3394248000,3617885000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,5386000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,464200000,484900000,512400000,531300000,548500000,587600000,666605000,710214000,800582000,873035000,942853000,996945000,1165019000,1184499000,1418107000,1525581000,1692066000,1854587000,1995924000,1959855000,2187351000,2246094000,2411745000,2740375000,2837704000,3111308000,3394248000,3623271000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095014999000416/0000950149-99-000416-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000500000471/0000950005-00-000471-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1035201/000095000503000382/0000950005-03-000382-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000504000266/0000950005-04-000266-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095000505000264/0000950005-05-000264-index.html,- -,https://www.sec.gov/Archives/edgar/data/1035201/000089161807000159/f28120e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013408003723/f37770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000095013409004228/0000950134-09-004228-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012310018557/0000950123-10-018557-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000095012311020033/f57499e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746912001921/0001047469-12-001921-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746913001968/0001047469-13-001968-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000104746914001487/a2218379z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000104746915001307/a2223126z10-k.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520116000009/0001035201-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520117000003/0001035201-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520118000003/0001035201-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520119000003/0001035201-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520120000002/0001035201-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035201/000103520121000003/0001035201-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1035201/000103520122000002/0001035201-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,14700000,19100000,23300000,18400000,19900000,19963000,14965000,19073000,19417000,26026000,27223000,25580000,31159000,39805000,40554000,37656000,37712000,48828000,47254000,56738000,45017000,48675000,67181000,65584000,63116000,96831000,101125000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41643000,45265000,51981000,56866000,60250000,63322000,63182000,65203000,78592000,85707000,91288000,100935000,111581000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1700000,-2200000,1900000,2100000,1100000,-3203000,2919000,786000,2834000,17637000,3908000,3218000,-262000,10659000,- -,- -,- -,34133000,9800000,34125000,24393000,26818000,21087000,- -,- -,- -,25200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1832000,2195000,2578000,2849000,3118000,3141000,6731000,4590000,6805000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,9600000,-14900000,-6800000,-14100000,4200000,1757000,-15631000,-9980000,28493000,33242000,-37773000,63991000,-49077000,-33720000,25281000,36979000,-56849000,-58516000,69409000,-36488000,42705000,-87284000,-154925000,130622000,-41545000,-148681000,-6657000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1392000,-7201000,4983000,1855000,-343000,-31871000,20422000,-4580000,-18343000,-12833000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-322000,-460000,-528000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1340000,220000,4612000,879000,3809000,-1370000,-819000,3839000,1564000,4701000,10719000,373000,-2938000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,6900000,-8000000,-14800000,-28900000,-24700000,-22943000,-38574000,-48554000,-20061000,13181000,-24592000,39399000,-9678000,-43398000,-18117000,18862000,-37987000,-96503000,-27094000,-63582000,-20877000,-108161000,-263086000,-132464000,-174009000,-322690000,9409000
