,https://roic.ai/company/ENS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.1447,0.0640,0.0564,0.0705,0.0533,0.0624,0.0589,0.0722,0.0724,0.0936,0.0923,0.1097,0.0786,0.1051,0.0907,0.0996,0.1043,0.0757,0.0616,0.0727
19,Total Other Income Expenses (Gains),-15038000,-19769000,-46851000,-26658000,-23542000,-30757000,-33151000,-19258000,-27042000,-32370000,-19552000,-19635000,-30763000,-14042000,-28062000,-23166000,-31056000,-30254000,-43258000,-46240000
20,Income Before Tax,-64153000,35207000,7793000,49742000,44803000,63102000,86195000,123187000,87255000,151444000,191259000,230233000,163747000,249339000,181937000,212695000,238326000,182211000,146937000,170135000
21,Income Before Tax Ratio,-0.1891,0.0410,0.0080,0.0459,0.0349,0.0419,0.0425,0.0624,0.0552,0.0771,0.0838,0.1011,0.0662,0.0995,0.0785,0.0899,0.0923,0.0649,0.0476,0.0571
22,Income Tax expense (Gain),- -,12355000,2957000,17359000,14077000,17892000,26499000,38600000,24951000,38018000,47292000,65275000,16980000,67814000,50113000,54472000,118493000,21584000,9821000,26761000
23,Net Income,-41982000,22852000,4836000,32383000,30726000,45210000,59696000,84587000,62304000,113426000,144003000,166508000,150328000,181188000,136150000,160214000,119594000,160239000,137116000,143374000
24,Net Income ratio,-0.1237,0.0266,0.0050,0.0299,0.0239,0.0301,0.0295,0.0429,0.0394,0.0577,0.0631,0.0731,0.0608,0.0723,0.0588,0.0677,0.0463,0.0571,0.0444,0.0481
25,EPS,-3.81,-0.11,-1.80,0.67,0.66,0.97,1.25,1.73,1.29,2.30,2.95,3.47,3.17,3.97,3.08,3.69,2.81,3.79,3.23,3.37
26,EPS Diluted,-3.81,-0.11,-1.80,0.65,0.66,0.95,1.22,1.71,1.28,2.27,2.93,3.42,3.02,3.77,2.99,3.64,2.77,3.73,3.20,3.32
27,Weighted Average Shares Outstanding,11014421,11014421,11014421,36416358,46226582,46539638,47645225,48824434,48122207,49376132,48748205,48022005,47473690,45606317,44276713,43389333,42612036,42335023,42411834,42548449
28,Weighted Average Shares Outstanding Diluted,11014421,11014421,11014421,37046697,46788363,47546240,48644450,49420303,48834095,50044246,49216035,48635449,49788155,48052729,45474130,44012543,43119856,43008952,42896775,43224403
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289308/000119312505127952/0001193125-05-127952-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312506129843/0001193125-06-129843-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312507134886/0001193125-07-134886-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312508132036/0001193125-08-132036-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312509122444/0001193125-09-122444-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000095013010002518/0000950130-10-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312511154707/0001193125-11-154707-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312512249202/0001193125-12-249202-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312513237411/0001193125-13-237411-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930814000019/0001289308-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930815000029/0001289308-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930816000060/0001289308-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930817000019/0001289308-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930818000017/0001289308-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930819000028/0001289308-19-000028-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1289308/000128930821000027/0001289308-21-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9075000,44296000,17207000,21341000,15217000,37785000,20620000,163161000,201042000,108869000,160490000,249348000,240103000,268921000,397307000,500329000,522118000,299212000,326979000,451808000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9075000,44296000,17207000,21341000,15217000,37785000,20620000,163161000,201042000,108869000,160490000,249348000,240103000,268921000,397307000,500329000,522118000,299212000,326979000,451808000
34,Net Receivables,- -,189014000,227752000,254267000,308625000,361288000,503013000,356200000,383641000,464072000,475016000,454164000,569019000,522215000,493675000,490964000,550412000,673737000,654301000,660957000
35,Inventory,- -,106998000,131712000,146047000,179537000,234326000,335729000,209329000,254371000,335003000,361774000,353941000,361846000,337011000,331081000,360694000,414234000,503869000,519460000,518247000
36,Other Current Assets,- -,42845000,47032000,45962000,44316000,40894000,51834000,49728000,56227000,90004000,74393000,95509000,129732000,105271000,74176000,66928000,52823000,59830000,62165000,60305000
37,Total Current Assets,- -,383153000,423703000,467617000,547695000,674293000,911196000,778418000,895281000,997948000,1071673000,1152962000,1300700000,1233418000,1296239000,1418915000,1539587000,1536648000,1562905000,1691317000
38,PP&E,- -,275659000,284850000,279868000,281744000,300995000,339997000,301365000,315141000,344385000,353215000,350126000,370166000,356854000,357409000,348549000,390260000,409439000,480014000,497056000
39,Goodwill,- -,- -,- -,- -,308767000,332874000,358429000,301658000,317265000,343666000,347061000,345499000,426056000,369730000,353547000,328657000,352805000,656399000,663936000,705593000
40,Intangible Assets,- -,371246000,382320000,386141000,80831000,80540000,80139000,79544000,90136000,98819000,107082000,103701000,172472000,158160000,159658000,153960000,147141000,462316000,455685000,430898000
41,Intangible Assets,- -,371246000,382320000,386141000,389598000,413414000,438568000,381202000,407401000,442485000,454143000,449200000,598528000,527890000,513205000,482617000,499946000,1118715000,1119621000,1136491000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,17634000,26025000,25998000,13843000,- -,3347000,12881000,10744000,15785000,15999000,14168000,33446000,28547000,33530000,31587000,44402000,40466000,55803000,65212000
44,Other Non-Current Assets,- -,28116000,34170000,35137000,31068000,20311000,17682000,19776000,23443000,27784000,24249000,21411000,19018000,16338000,14105000,11361000,12730000,12925000,83355000,72721000
45,Total Non-Current Assets,- -,692655000,727365000,727144000,716253000,734720000,799594000,715224000,756729000,830439000,847606000,834905000,1021158000,929629000,918249000,874114000,947338000,1581545000,1738793000,1771480000
46,Other Assets,978889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,978889000,1075808000,1151068000,1194761000,1263948000,1409013000,1710790000,1493642000,1652010000,1828387000,1919279000,1987867000,2321858000,2163047000,2214488000,2293029000,2486925000,3118193000,3301698000,3462797000
48,Accounts Payable,- -,94999000,113043000,117944000,157792000,200157000,260530000,127586000,198345000,251814000,249996000,249359000,259484000,218574000,228442000,222493000,258982000,292449000,281873000,323876000
49,Short-Term Debt,- -,16571000,11876000,14100000,16163000,22645000,54081000,32665000,26738000,4022000,18991000,23013000,34168000,19952000,22233000,18428000,18430000,64603000,67834000,56163000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,27528000,27945000,29711000,39905000,26378000,21647000,25088000,40651000,31649000,20685000,26122000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7107000,12057000,7789000,10839000,12188000,9840000,10661000,9387000,15162000,17342000,15992000
52,Other Current Liabilities,- -,136227000,164057000,153396000,162306000,175239000,207105000,188186000,194430000,200629000,179257000,187398000,276912000,182657000,190656000,215849000,204731000,240719000,233270000,280957000
53,Total Current Liabilities,- -,247797000,288976000,285440000,336261000,398041000,521716000,348437000,419513000,463572000,460301000,467559000,581403000,433371000,451171000,467431000,491530000,612933000,600319000,676988000
54,Long-Term Debt,- -,231844000,496200000,358613000,384142000,378667000,371685000,384553000,322168000,247949000,236589000,155273000,287887000,495936000,606221000,587609000,579535000,971756000,1156353000,1012581000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6094000,6285000,7012000,6564000,6007000,4929000,7094000,6360000,8356000,2072000
56,Deferred Tax Liabilities,- -,69664000,60952000,69495000,55357000,43690000,44161000,48963000,70023000,79589000,84479000,88036000,101149000,99398000,46008000,45923000,33607000,82112000,78363000,76412000
57,Other Non-Current Liabilities,- -,60756000,65638000,43563000,43000000,43717000,81685000,67301000,56082000,58284000,86895000,95431000,82505000,82008000,86646000,78768000,174048000,159015000,154245000,151168000
58,Total Non-Current Liabilities,- -,362264000,622790000,471671000,482499000,466074000,497531000,500817000,448273000,385822000,414057000,345025000,478553000,683906000,744882000,717229000,794284000,1219243000,1397317000,1242233000
59,Other Liabilities,564035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,3747000,3227000,2744000,2185000,999000,988000,1118000,2230000,2248000,930000,514000,599000,274000,266000,165000,144000,10288000,72912000,64973000
61,Total Liabilities,564035000,610061000,911766000,757111000,818760000,864115000,1019247000,849254000,867786000,849394000,874358000,812584000,1059956000,1117277000,1196053000,1184660000,1285814000,1832176000,1997636000,1919221000
62,Preferred Stock,- -,7000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,110000,110000,462000,466000,471000,491000,498000,504000,518000,522000,529000,532000,537000,541000,544000,546000,548000,551000,555000
64,Retained Earnings,- -,-8675000,-8839000,23544000,54270000,99480000,159176000,243763000,303410000,416836000,560839000,727347000,848414000,997376000,1097642000,1231444000,1320549000,1450325000,1556980000,1669751000
65,Other Comprehensive Income/Loss,- -,27172000,59258000,83415000,55189000,103034000,162913000,34055000,67204000,115180000,74093000,40655000,67845000,-108975000,-97349000,-152824000,-41717000,-142682000,-215006000,-115883000
66,Other Total Stockholders Equity,414854000,447133000,188766000,330229000,335263000,339114000,368963000,366072000,408779000,441797000,396741000,400870000,339224000,151292000,12297000,24292000,-83703000,-25904000,-42000000,-14668000
67,Total Stockholders Equity,414854000,465747000,239302000,437650000,445188000,542099000,691543000,644388000,779897000,974331000,1032195000,1169401000,1256015000,1040230000,1013131000,1103456000,1195675000,1282287000,1300525000,1539755000
68,Total Liabilities And Stockholders Equity,978889000,1075808000,1151068000,1194761000,1263948000,1406214000,1710790000,1493642000,1647683000,1823725000,1906553000,1981985000,2315971000,2157507000,2209184000,2288116000,2481489000,3114463000,3298161000,3458976000
69,Minority Interest,- -,- -,- -,- -,- -,2799000,- -,- -,4327000,4662000,12726000,5882000,5887000,5540000,5304000,4913000,5436000,3730000,3537000,3821000
70,Total Liabilities & Equity,978889000,1075808000,1151068000,1194761000,1263948000,1409013000,1710790000,1493642000,1652010000,1828387000,1919279000,1987867000,2321858000,2163047000,2214488000,2293029000,2486925000,3118193000,3301698000,3462797000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289308/000119312505127952/0001193125-05-127952-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312506129843/0001193125-06-129843-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312507134886/0001193125-07-134886-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312508132036/0001193125-08-132036-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312509122444/0001193125-09-122444-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000095013010002518/0000950130-10-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312511154707/0001193125-11-154707-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312512249202/0001193125-12-249202-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312513237411/0001193125-13-237411-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930814000019/0001289308-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930815000029/0001289308-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930816000060/0001289308-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930817000019/0001289308-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930818000017/0001289308-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930819000028/0001289308-19-000028-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1289308/000128930821000027/0001289308-21-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-41982000,22852000,4836000,32383000,30726000,45210000,59696000,84587000,62304000,113426000,144003000,166508000,150328000,181188000,136150000,160214000,119594000,160239000,137116000,143374000
74,Depreciation and Amortization,- -,38002000,39047000,41541000,43270000,47358000,49215000,49095000,44851000,44393000,50360000,50502000,53972000,57040000,55994000,53945000,54317000,63348000,87344000,94082000
75,Deferred Income Tax,- -,- -,-6640000,9907000,5518000,7970000,7972000,10258000,6975000,-3064000,-3227000,1673000,-49748000,31886000,-753000,1455000,-20313000,-6456000,-16486000,-8994000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5021000,6964000,9056000,11585000,14737000,16742000,25259000,19603000,19185000,19453000,22608000,20780000,19817000
77,Change in Working Capital,- -,135356000,-629000,47450000,29257000,64818000,113228000,40501000,45787000,58608000,76996000,74031000,33894000,80750000,45021000,106416000,96573000,-124342000,38871000,51743000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,85915000,-7303000,-61892000,7106000,5421000,-70134000,-13250000,31142000,-13535000,-32242000,5974000,26486000,8713000
79,Inventory,- -,9450000,-13927000,-8205000,-25757000,-39642000,-70278000,90930000,-23445000,-67250000,-19655000,-921000,8144000,-10153000,11667000,-42792000,-38075000,-46614000,-9379000,24176000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-109712000,59116000,42422000,-12377000,5370000,-14979000,-26500000,12178000,845000,21266000,9944000,-33490000,20797000
81,Other Working Capital,- -,135356000,134727000,182177000,211434000,276252000,389480000,429981000,475768000,534376000,611372000,685403000,719297000,800047000,845068000,951484000,1048057000,923715000,962586000,1014329000
82,Other Non-Cash Items,63050000,-140772000,2578000,-101928000,-65899000,-92932000,-226093000,29975000,-30279000,-145960000,-75521000,-63051000,-11567000,-181652000,51556000,-95185000,-58576000,82458000,-14227000,58353000
83,Cash Provided by Operating Activities,21068000,55438000,39192000,29353000,42872000,72424000,4018000,219437000,136602000,76459000,204196000,244400000,193621000,194471000,307571000,246030000,211048000,197855000,253398000,358375000
84,CAPEX,-12944000,-23630000,-28580000,-31828000,-39665000,-42355000,-45037000,-57143000,-45111000,-59940000,-48943000,-55286000,-61995000,-63625000,-55880000,-50072000,-69832000,-70372000,-101425000,-70020000
85,Acquisitions Net,- -,- -,- -,-1168000,-38135000,-6979000,-17434000,- -,-33242000,-32200000,-24553000,- -,-171528000,2000000,-35439000,-12392000,-2988000,-654614000,-176548000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-335951000,10707000,1599000,4005000,924000,282000,321000,-46810000,-44002000,-59461000,-48867000,-55092000,-60477000,-61616000,-45484000,-49441000,-69369000,-69269000,-98271000,-65044000
89,Cash Used for Investing Activites,-335951000,-12923000,-26981000,-28991000,-76876000,-49052000,-62150000,-46810000,-77244000,-91661000,-73420000,-55092000,-232005000,-59616000,-80923000,-61833000,-72357000,-723883000,-274819000,-65044000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-401841000,-32679000,-212349000,-133833000,-342276000,-127304000,-323194000,-540693000,-282098000,-683829000,-439266000,-545838000,-265523000
91,Common Stock Issued,- -,- -,- -,141253000,1492000,1802000,22814000,- -,- -,- -,- -,- -,- -,- -,- -,3000,958000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-19800000,- -,- -,-58383000,-22593000,-69867000,-205362000,-178244000,- -,-121191000,-56436000,-34561000,- -
93,Dividends Paid,- -,- -,-258367000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23681000,-31739000,-30880000,-30400000,-29674000,-29743000,-29705000,-29812000
94,Other Financing Activites,314795000,-8209000,218378000,-138040000,26413000,-3125000,16744000,398445000,8207000,129672000,113834000,268907000,242414000,500982000,644088000,249953000,666848000,872022000,672787000,106611000
95,Cash Used/Provided by Financing Activities,314795000,-8209000,-39989000,3213000,27905000,-1323000,39558000,-23196000,-24472000,-82677000,-78382000,-95962000,21562000,-59313000,-105729000,-62542000,-166888000,346577000,62683000,-188724000
96,Effect of Forex Changes on Cash,- -,915000,689000,559000,-25000,519000,1409000,-6890000,2995000,5706000,-773000,-4488000,7577000,-46724000,7467000,-18633000,49986000,-43455000,-13495000,20222000
97,Net Change In Cash,314795000,35221000,-27089000,4134000,-6124000,22568000,-17165000,142541000,37881000,-92173000,51621000,88858000,-9245000,28818000,128386000,103022000,21789000,-222906000,27767000,124829000
98,Cash at the End of Period,- -,44296000,17207000,21341000,15217000,37785000,20620000,163161000,201042000,108869000,160490000,249348000,240103000,268921000,397307000,500329000,522118000,299212000,326979000,451808000
99,Cash at the Beginning of Period,- -,9075000,44296000,17207000,21341000,15217000,37785000,20620000,163161000,201042000,108869000,160490000,249348000,240103000,268921000,397307000,500329000,522118000,299212000,326979000
100,Free Cash Flow,8124000,31808000,10612000,-2475000,3207000,30069000,-41019000,162294000,91491000,16519000,155253000,189114000,131626000,130846000,251691000,195958000,141216000,127483000,151973000,288355000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289308/000119312505127952/0001193125-05-127952-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312506129843/0001193125-06-129843-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312507134886/0001193125-07-134886-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312508132036/0001193125-08-132036-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312509122444/0001193125-09-122444-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000095013010002518/0000950130-10-002518-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312511154707/0001193125-11-154707-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312512249202/0001193125-12-249202-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000119312513237411/0001193125-13-237411-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930814000019/0001289308-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930815000029/0001289308-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930816000060/0001289308-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930817000019/0001289308-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930818000017/0001289308-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1289308/000128930819000028/0001289308-19-000028-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1289308/000128930821000027/0001289308-21-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
