,https://roic.ai/company/SBUX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1005,0.1096,0.1266,0.1060,0.1460,0.1539,0.1530,0.1504,0.1609,0.1392,0.1759,0.1697,0.1696,0.1749,0.1826,0.1674,0.1645,0.1025,0.1188,0.1876,0.2045,0.2009,0.0305,0.2415,0.2560,0.2491,0.2446,0.2936,0.2358,0.1322,0.2529
17,Operating Income,3000000,6400000,13000000,23200000,40100000,56900000,88300000,118100000,156700000,232552000,281094000,318725000,424713000,610117000,780615000,893952000,1053945000,503900000,562000000,1419400000,1728500000,1997400000,-325400000,3081100000,3601000000,4171900000,4134700000,3883300000,4077900000,1561700000,4872100000
18,Operating Income ratio,0.0520,0.0687,0.0795,0.0814,0.0862,0.0815,0.0906,0.0902,0.0929,0.1068,0.1061,0.0969,0.1042,0.1152,0.1226,0.1148,0.1120,0.0485,0.0575,0.1326,0.1477,0.1502,-0.0219,0.1873,0.1879,0.1957,0.1847,0.1571,0.1538,0.0664,0.1677
19,Total Other Income Expenses (Gains),-100000,200000,900000,-5500000,3000000,11100000,2700000,-2100000,7300000,-71552000,7828000,18275000,7287000,10883000,15385000,12048000,2419000,-47900000,-2000000,17600000,82500000,61700000,95400000,78900000,302000000,26700000,182800000,1896700000,388300000,-397300000,484800000
20,Income Before Tax,2900000,6600000,13900000,17700000,43100000,68000000,91000000,116000000,164000000,161000000,288922000,337000000,432000000,621000000,796000000,906000000,1056364000,456000000,560000000,1437000000,1811000000,2059100000,-230000000,3160000000,3903000000,4198600000,4317500000,5780000000,4466200000,1164400000,5356900000
21,Income Before Tax Ratio,0.0503,0.0709,0.0850,0.0621,0.0926,0.0974,0.0933,0.0886,0.0972,0.0739,0.1091,0.1025,0.1060,0.1173,0.1250,0.1163,0.1122,0.0439,0.0573,0.1342,0.1548,0.1548,-0.0155,0.1921,0.2037,0.1970,0.1929,0.2338,0.1685,0.0495,0.1843
22,Income Tax expense (Gain),500000,2500000,5400000,7500000,17000000,26000000,36000000,48000000,62000000,66000000,107712000,126000000,167000000,232000000,302000000,325000000,383726000,144000000,168000000,488700000,563100000,674400000,-238700000,1092000000,1143700000,1379700000,1432600000,1262000000,871600000,239700000,1156600000
23,Net Income,2400000,4100000,8500000,10200000,26100000,42000000,55000000,68000000,102000000,95000000,181210000,211000000,265000000,389000000,494000000,564000000,672638000,316000000,391000000,946000000,1246000000,1383800000,8000000,2068000000,2757400000,2817700000,2884700000,4518300000,3599200000,928300000,4199300000
24,Net Income ratio,0.0416,0.0440,0.0520,0.0358,0.0561,0.0602,0.0564,0.0519,0.0605,0.0436,0.0684,0.0642,0.0650,0.0735,0.0776,0.0724,0.0715,0.0304,0.0400,0.0884,0.1065,0.1040,0.0005,0.1257,0.1439,0.1322,0.1289,0.1828,0.1358,0.0395,0.1445
25,EPS,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.05,0.07,0.06,0.12,0.14,0.17,0.25,0.16,0.37,0.45,0.21,0.26,0.64,0.83,0.92,0.01,1.38,1.86,1.92,2.00,3.45,3.04,0.79,3.56
26,EPS Diluted,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.05,0.07,0.06,0.12,0.14,0.17,0.24,0.15,0.35,0.43,0.21,0.26,0.62,0.81,0.90,0.01,1.35,1.82,1.90,1.97,3.24,2.92,0.79,3.54
27,Weighted Average Shares Outstanding,809344000,838400000,874720000,926976000,1135312000,1231424000,1306208000,1408880000,1454736000,1484760000,1522264000,1542300000,1563012000,1588692000,3158280000,1532228000,1499526000,1463000000,1491800000,1485200000,1482800000,1498600000,1506400000,1499000000,1485100000,1460500000,1431600000,1309100000,1184600000,1173300000,1180000000
28,Weighted Average Shares Outstanding Diluted,809344000,838400000,874720000,926976000,1135312000,1293296000,1427696000,1470160000,1508248000,1543992000,1577396000,1590104000,1606592000,1645860000,3261668000,1585112000,1540182000,1483400000,1491800000,1528400000,1539400000,1546000000,1524600000,1526200000,1513400000,1486700000,1461500000,1394600000,1233200000,1181800000,1185500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000088755796000023/0000887557-96-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102000002203/0000891020-00-002203-index.html,https://www.sec.gov/Archives/edgar/data/829224/000089102001500442/0000891020-01-500442-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000089102006000406/v24294e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000095013407024667/0000950134-07-024667-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095013408021134/0000950134-08-021134-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095012309064772/0000950123-09-064772-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/0001193125-10-266333-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/0001193125-11-317175-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922412000007/0000829224-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922413000044/0000829224-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,126000000,70000000,102000000,66000000,71000000,113237000,100000000,201000000,145000000,174000000,313000000,281261000,270000000,600000000,1164000000,1148000000,1188600000,2576000000,1708000000,1530100000,2128800000,2462300000,8756300000,2686600000,4350900000,6455700000
32,Short-Term Investments,- -,- -,- -,- -,- -,103000000,84000000,22000000,51000000,61000000,107312000,228000000,149000000,508000000,133000000,141000000,157433000,53000000,66000000,286000000,903000000,848400000,658000000,135000000,81300000,134400000,228600000,181500000,70500000,281200000,162200000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,229000000,154000000,124000000,117000000,132000000,220549000,328000000,350000000,653000000,307000000,454000000,438694000,323000000,666000000,1450000000,2051000000,2037000000,3234000000,1843000000,1611400000,2263200000,2690900000,8937800000,2757100000,4632100000,6617900000
34,Net Receivables,- -,- -,- -,- -,- -,18000000,31000000,51000000,48000000,76000000,90425000,98000000,114000000,140000000,191000000,224000000,287925000,330000000,271000000,303000000,387000000,485900000,561000000,631000000,719000000,768800000,938400000,1648500000,1020300000,1395400000,1133100000
35,Inventory,- -,- -,- -,- -,- -,83000000,120000000,143000000,181000000,202000000,221253000,263000000,343000000,423000000,546000000,636000000,691658000,693000000,665000000,543000000,966000000,1241500000,1111000000,1091000000,1306400000,1378500000,1364000000,1400500000,1529400000,1551400000,1603900000
36,Other Current Assets,- -,- -,- -,- -,- -,10000000,13000000,19000000,41000000,48000000,61698000,84000000,103000000,135000000,165000000,216000000,278210000,402000000,434000000,460000000,391000000,435200000,565000000,604000000,334200000,347400000,290100000,507400000,347100000,227500000,401500000
37,Total Current Assets,- -,- -,- -,- -,- -,340000000,318000000,337000000,387000000,458000000,593925000,773000000,910000000,1351000000,1209000000,1530000000,1696487000,1748000000,2036000000,2756000000,3795000000,4199600000,5471000000,4169000000,3971000000,4757900000,5283400000,12494200000,5653900000,7806400000,9756400000
38,PP&E,- -,- -,- -,- -,- -,369000000,489000000,601000000,760000000,931000000,1135784000,1266000000,1448000000,1551000000,1842000000,2288000000,2890433000,2956000000,2536000000,2417000000,2355000000,2658900000,3201000000,3519000000,4088300000,4533800000,4919500000,5929100000,6431700000,14375500000,14605500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,14000000,21000000,- -,20000000,63000000,69000000,92000000,161000000,215625000,267000000,259000000,262000000,322000000,399100000,863000000,856000000,1575400000,1719600000,1539200000,3541600000,3490800000,3597200000,3677300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21845000,10000000,25000000,27000000,35000000,38000000,42043000,67000000,68000000,71000000,112000000,143700000,275000000,274000000,520400000,516300000,441400000,1042200000,781800000,552100000,349900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,14000000,21000000,21845000,30000000,88000000,96000000,127000000,199000000,257668000,334000000,327000000,333000000,434000000,542800000,1138000000,1130000000,2095800000,2235900000,1980600000,4583800000,4272600000,4149300000,4027200000
42,Investments,- -,- -,- -,- -,- -,4000000,34000000,39000000,68000000,56000000,- -,103000000,- -,- -,- -,- -,- -,- -,423500000,533300000,479300000,575900000,554800000,833300000,664500000,1496200000,1023900000,602400000,616000000,684800000,550200000
43,Tax Assets,- -,- -,- -,- -,- -,7000000,13000000,19000000,33000000,21000000,- -,22000000,13000000,22000000,- -,- -,- -,- -,- -,- -,- -,97300000,- -,- -,- -,- -,- -,134700000,- -,1789900000,1874800000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,7000000,3000000,-3000000,-9000000,5000000,99485000,20000000,320000000,367000000,336000000,412000000,499290000,635000000,254500000,346700000,296700000,144700000,1152200000,1101700000,1596700000,1288700000,1158200000,412200000,2245400000,568600000,578500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,387000000,539000000,656000000,866000000,1034000000,1257114000,1441000000,1869000000,2036000000,2305000000,2899000000,3647391000,3925000000,3541000000,3630000000,3565000000,4019600000,6046000000,6584000000,8445300000,9554600000,9082200000,11662200000,13565700000,21568100000,21636200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,727000000,857000000,993000000,1253000000,1492000000,1851039000,2214000000,2779000000,3387000000,3514000000,4429000000,5343878000,5673000000,5577000000,6386000000,7360000000,8219200000,11517000000,10753000000,12416300000,14312500000,14365600000,24156400000,19219600000,29374500000,31392600000
48,Accounts Payable,- -,- -,- -,- -,- -,38000000,48000000,50000000,56000000,74000000,127905000,136000000,169000000,199000000,221000000,341000000,390836000,325000000,267000000,283000000,540000000,398100000,492000000,534000000,684200000,730600000,782500000,1179300000,1189700000,997900000,1211600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62684000,- -,- -,- -,277000000,700000000,711023000,713000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,349900000,- -,1688700000,2250200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109200000,- -,- -,- -,- -,- -,- -,- -,1291700000,- -,566000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9951000,- -,- -,- -,70808000,88777000,296900000,234000000,286000000,304000000,449300000,510200000,653700000,794500000,983800000,1171200000,1288500000,1642900000,1269000000,1456500000,1596100000
52,Other Current Liabilities,- -,- -,- -,- -,- -,63000000,97000000,129000000,195000000,238000000,244724000,327000000,405000000,547000000,658192000,806223000,756807000,918000000,1028000000,1192000000,1086700000,1301500000,4231300000,1710500000,1980100000,2645000000,2149700000,2512100000,3710000000,3203700000,3093500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,101000000,145000000,179000000,251000000,312000000,445264000,463000000,574000000,746000000,1227000000,1936000000,2155566000,2190000000,1581000000,1779000000,2076000000,2209800000,5377000000,3039000000,3648100000,4546800000,4220700000,5684200000,6168700000,7346800000,8151400000
54,Long-Term Debt,- -,- -,- -,- -,- -,167000000,165000000,- -,7000000,6000000,5786000,5000000,4000000,4000000,3000000,2000000,550121000,550000000,549000000,549000000,550000000,549600000,1299000000,2048000000,2347500000,3185300000,3932600000,9090200000,11167000000,14659600000,21354900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6775700000,6744400000,6598500000,6463000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,230400000,- -,277300000,903300000,828900000,885400000,795400000,- -,1765800000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,7000000,13000000,19000000,34000000,25000000,- -,23000000,129000000,166000000,193000000,262000000,336822000,442000000,401000000,383000000,119600000,345300000,83700000,-509300000,-226200000,-189000000,-33200000,1430500000,-394100000,8569000000,737800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,174000000,178000000,19000000,41000000,31000000,24919000,28000000,133000000,170000000,196000000,264000000,886943000,992000000,950000000,932000000,900000000,894900000,1660000000,2442000000,2950200000,3881700000,4694800000,17296400000,19283100000,29827100000,28555700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8910500000,8989300000
61,Total Liabilities,- -,- -,- -,- -,- -,275000000,323000000,198000000,292000000,343000000,470183000,491000000,707000000,916000000,1423000000,2200000000,3042509000,3182000000,2531000000,2711000000,2976000000,3104700000,7037000000,5481000000,6598300000,8428500000,8915500000,22980600000,25451800000,37173900000,36707100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,361000000,391000000,589000000,651000000,751000000,791622000,891000000,959000000,957000000,1000000,1000000,738000,1000000,1000000,1000000,1000000,700000,1000000,1000000,1500000,1500000,1400000,1300000,1200000,1200000,1200000
64,Retained Earnings,- -,- -,- -,- -,- -,90000000,142000000,212000000,314000000,409000000,589713000,801000000,1058000000,1445000000,1939000000,2151000000,2189366000,2402000000,2793000000,3471000000,4297000000,5046200000,4130000000,5207000000,5974800000,5949800000,5563200000,1457400000,-5771200000,-7815600000,-6315700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-88000000,-144000000,-14000000,-8000000,-22000000,-605247000,-18000000,28000000,58000000,21000000,37000000,55000000,48000000,65000000,57000000,46000000,23000000,67000000,25000000,-199000000,-108000000,-156000000,-330000000,-503000000,-365000000,147200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,89000000,145000000,7000000,4000000,10000000,599839000,49000000,37427000,26755000,129634000,39506000,39013000,39900000,186700000,145700000,40900000,39100000,282200000,39000000,40700000,40700000,41500000,40800000,40800000,374300000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,452000000,534000000,794000000,961000000,1148000000,1375927000,1723000000,2082427000,2486755000,2090634000,2228506000,2284117000,2490900000,3045700000,3674700000,4384900000,5109000000,4480200000,5272000000,5818000000,5884000000,5450100000,1169500000,-6232200000,-7805100000,-5321200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,727000000,857000000,992000000,1253000000,1491000000,1846110000,2214000000,2789427000,3402755000,3513634000,4428506000,5326626000,5672900000,5576700000,6385700000,7360900000,8213700000,11517200000,10753000000,12416300000,14312500000,14365600000,24150100000,19219600000,29368800000,31385900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,4929000,- -,-10427000,-15755000,366000,494000,17252000,100000,300000,300000,-900000,5500000,-200000,- -,- -,- -,- -,6300000,- -,5700000,6700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,727000000,857000000,993000000,1253000000,1492000000,1851039000,2214000000,2779000000,3387000000,3514000000,4429000000,5343878000,5673000000,5577000000,6386000000,7360000000,8219200000,11517000000,10753000000,12416300000,14312500000,14365600000,24156400000,19219600000,29374500000,31392600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/829224/000088755796000023/0000887557-96-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102000002203/0000891020-00-002203-index.html,https://www.sec.gov/Archives/edgar/data/829224/000089102001500442/0000891020-01-500442-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000089102006000406/v24294e10vk.htm,https://www.sec.gov/Archives/edgar/data/829224/000095013407024667/0000950134-07-024667-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095013408021134/0000950134-08-021134-index.html,https://www.sec.gov/Archives/edgar/data/829224/000095012309064772/0000950123-09-064772-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/0001193125-10-266333-index.html,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/0001193125-11-317175-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922412000007/0000829224-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922413000044/0000829224-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2400000,4100000,8500000,10200000,26100000,42000000,55000000,68000000,102000000,95000000,181210000,211000000,265000000,389000000,494000000,564000000,672638000,316000000,391000000,946000000,1246000000,1383800000,8000000,2068000000,2757400000,2817700000,2884700000,4518300000,3599200000,928300000,4199300000
74,Depreciation and Amortization,2900000,3600000,6800000,12500000,24800000,39400000,58200000,80900000,107500000,142171000,177087000,221141000,259271000,304820000,367207000,414638000,491891000,604500000,563300000,540800000,550000000,580600000,655600000,748400000,933800000,1030100000,1067100000,1305900000,1449300000,1503200000,1524100000
75,Deferred Income Tax,- -,- -,-900000,200000,200000,4400000,5300000,2100000,800000,-18252000,-6068000,-6088000,-22813000,-3073000,-31253000,-84324000,-37326000,-117100000,-69600000,-42000000,106200000,61100000,-1045900000,10200000,21200000,265700000,95100000,714900000,-1495400000,-25800000,-146200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83200000,113600000,145200000,153600000,142300000,183200000,209800000,218100000,176000000,250300000,308000000,248600000,319100000
77,Change in Working Capital,-2700000,- -,- -,- -,- -,239000000,-66000000,-15000000,-22000000,10000000,2661000,161339000,26000000,269000000,-623000000,-388000000,-53079000,17079000,897000000,522000000,742000000,270800000,-1895800000,1036000000,-807100000,-111800000,851600000,5747300000,-7324800000,974400000,-501200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88700000,-90300000,-68300000,-79700000,-82800000,-55600000,-96800000,131000000,-197700000,-2700000,-43000000
79,Inventory,-4800000,-3600000,-12500000,-30100000,-67600000,40300000,-36200000,-23500000,-36400000,-19495000,-19704000,-41379000,-64768000,-77662000,-121618000,-85527000,-48576000,-600000,28500000,123200000,-422300000,-273300000,152500000,14300000,-207900000,-67500000,14000000,-41200000,-173000000,-10900000,-49800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53000000,-3600000,227500000,-105200000,88700000,60400000,137700000,46900000,46400000,391600000,31900000,-210800000,189900000
81,Other Working Capital,- -,- -,- -,- -,- -,239000000,173000000,158000000,136000000,146000000,148661000,310000000,336000000,605000000,-18000000,-406000000,-459079000,-442000000,455000000,977000000,1719000000,1989800000,94000000,1130000000,322900000,211100000,1062700000,6810000000,-514800000,459600000,352600000
82,Other Non-Cash Items,- -,1200000,-5400000,-24400000,-39700000,-188100000,48500000,6900000,22300000,89655000,105936000,-109707000,38989000,-165899000,716654000,625319000,257097000,438221000,-475900000,-375500000,-1177000000,-699600000,5044100000,-3438000000,634000000,355300000,-900200000,-598900000,8510700000,-2030900000,594000000
83,Cash Provided by Operating Activities,2600000,8900000,9000000,-1500000,11400000,136700000,101000000,142900000,210600000,318574000,460826000,477685000,566447000,793848000,923608000,1131633000,1331221000,1258700000,1389000000,1704900000,1612400000,1750300000,2908300000,607800000,3749100000,4575100000,4174300000,11937800000,5047000000,1597800000,5989100000
84,CAPEX,-10600000,-15900000,-39500000,-85300000,-129400000,-161800000,-169700000,-201900000,-277400000,-316450000,-384215000,-375474000,-357282000,-386176000,-643989000,-771230000,-1080348000,-984500000,-445600000,-440700000,-531900000,-856200000,-1151200000,-1160900000,-1303700000,-1440300000,-1519400000,-1976400000,-1806600000,-1483600000,-1470000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13522000,- -,- -,-69928000,-7515000,-21583000,-91734000,-53293000,-74200000,- -,-12000000,-55800000,-129100000,-502400000,103900000,-275400000,69600000,85400000,-703100000,684300000,- -,1175000000
86,Purchases of Investments,- -,-17000000,-138900000,-106100000,-148800000,-184600000,-171600000,-51400000,-122800000,-118501000,-184187000,-339968000,-323331000,-566645000,-643488000,-639192000,-293974000,-123800000,-134000000,-549000000,-979200000,-1748600000,-785900000,-1652500000,-567400000,-1585700000,-674400000,-191900000,-190400000,-443900000,-432000000
87,Sales/Maturities of Investments,3100000,2900000,80900000,173800000,102500000,140800000,9300000,117200000,88700000,107988000,140431000,223109000,269576000,354562000,1095667000,700315000,225664000,95900000,116000000,212200000,430000000,1796400000,1040200000,1910900000,619400000,708600000,1204100000,504300000,358100000,260400000,488700000
88,Other Investing Activites,500000,- -,-100000,- -,100000,-5600000,145000000,-12700000,-24800000,-32747000,-5082000,6993000,-18293000,-26419000,-7915000,-39199000,- -,- -,42500000,- -,117400000,-36500000,-11900000,-19100000,6800000,24900000,54300000,5600000,-56200000,-44400000,-81200000
