,https://roic.ai/company/ASTE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,9300000,11100000,36100000,32500000,39200000,36300000,30000000,30500000,35000000,38200000,45800000,47000000,46700000,59600000,73400000,91116926,79139316,83314762,94032404,79860541,87047237,107943683,123049736,141542074,125484000,131623000,161267000,156843000,151438000,163619000,168856000,178114000,187592000,209127000,211148000,189000000,227100000
11,COGS and Expenses,49400000,58500000,168700000,168600000,188700000,143200000,131900000,142000000,162800000,200000000,232900000,213300000,240700000,323500000,397200000,473550242,444054922,479974011,449781604,481342668,569807245,650263651,782296939,881384305,711151000,723911000,898202000,886177000,877317000,923898000,933170000,1060276000,1129202000,1244960000,1141353000,973300000,1072600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2239786,1585039,1632780,750618,332997,644280,1469485,2733224,887600,734000,956000,883000,1145000,1047000,1422000,542000,806000,1302000,952000,1192000,800000,- -
13,Interest Expense (Gain),1800000,1600000,- -,4200000,6800000,6300000,4600000,3200000,1800000,700000,2100000,1700000,- -,2700000,- -,8652339,9367054,10474350,7289055,3888758,4209046,1671852,852994,851096,537000,352000,193000,339000,423000,720000,1611000,1395000,840000,1045000,1367000,700000,1100000
14,Depreciation and Amortization,900000,1100000,2400000,3000000,3800000,4100000,3200000,3400000,3100000,3900000,5700000,5800000,6900000,8100000,11700000,15379703,17045572,15211581,13126232,11119470,10850022,11891091,15080953,17342888,18676000,18728000,19259000,23048000,22265000,24376000,24078000,24813000,25802000,27913000,26200000,26900000,30200000
15,EBITDA,4200000,4800000,6500000,13800000,6300000,-5600000,11900000,13000000,14600000,30300000,14000000,14500000,29900000,50300000,63200000,66754568,29885796,18468739,-13035134,42237697,57901655,73788527,104129104,116088780,30416000,67641000,78651000,82690000,80758000,78954000,78493000,113474000,84064000,-56725000,52885000,73300000,47700000
16,EBITDA ratio,0.0797,0.0778,0.0367,0.0781,0.0334,-0.0415,0.0885,0.0872,0.0845,0.1417,0.0577,0.0655,0.1127,0.1382,0.1406,0.1282,0.0656,0.0384,-0.0306,0.0837,0.0940,0.1038,0.1198,0.1192,0.0412,0.0877,0.0823,0.0883,0.0866,0.0809,0.0798,0.0989,0.0710,-0.0484,0.0452,0.0716,0.0435
17,Operating Income,3300000,3200000,- -,8000000,200000,8200000,2600000,7100000,10000000,13800000,9700000,8100000,- -,40400000,- -,47137609,11784242,615782,23168567,23211083,46260478,60343162,86728415,92315886,9907000,47424000,- -,50096000,55681000,51697000,49987000,87155000,55537000,-86421000,25056000,43000000,22100000
18,Operating Income ratio,0.0626,0.0519,- -,0.0453,0.0011,0.0607,0.0193,0.0476,0.0579,0.0645,0.0400,0.0366,- -,0.1110,- -,0.0905,0.0259,0.0013,0.0543,0.0460,0.0751,0.0849,0.0998,0.0948,0.0134,0.0615,- -,0.0535,0.0597,0.0530,0.0508,0.0760,0.0469,-0.0738,0.0214,0.0420,0.0201
19,Total Other Income Expenses (Gains),-1500000,-1100000,-4300000,-1400000,-4500000,-21400000,-2000000,-700000,-300000,11900000,-3500000,-1100000,-1700000,-900000,-900000,-4415083,-8187194,-7740763,-56585575,-3596289,-3312583,-35210,1677967,5745579,1334000,1279000,1774000,2589000,2561000,1909000,1986000,-60000,1680000,443000,130000,2700000,-5600000
20,Income Before Tax,1800000,2100000,4100000,6600000,-4300000,-13200000,600000,6400000,9700000,25700000,6200000,7000000,23000000,39500000,51500000,42722526,3597048,-7124981,-33417008,19614794,42947895,60307952,88406382,98061465,11241000,48703000,59301000,52685000,58242000,53606000,51973000,87095000,57217000,-85978000,25186000,45700000,16500000
21,Income Before Tax Ratio,0.0342,0.0340,0.0232,0.0374,-0.0228,-0.0978,0.0045,0.0429,0.0561,0.1202,0.0256,0.0316,0.0867,0.1085,0.1145,0.0821,0.0079,-0.0148,-0.0783,0.0389,0.0697,0.0849,0.1017,0.1007,0.0152,0.0631,0.0620,0.0563,0.0624,0.0549,0.0529,0.0759,0.0483,-0.0734,0.0215,0.0446,0.0150
22,Income Tax expense (Gain),600000,900000,500000,500000,-300000,300000,100000,400000,400000,2300000,1600000,2700000,9200000,15100000,19800000,16441440,1480748,-2511266,-4486416,7020802,14748366,20637741,31398049,34766566,8135000,16131000,19281000,19096000,19028000,19400000,20007000,32107000,19627000,-25234000,3012000,-1200000,-1400000
23,Net Income,900000,1200000,3600000,6100000,-4000000,-16300000,4000000,6000000,9300000,23400000,4600000,4300000,13800000,24400000,31700000,26281086,1992422,-4705926,-28964005,20208667,28094221,39587843,56797108,63128230,3068000,32430000,39918000,40207000,39042000,34458000,32797000,55159000,37795000,-60449000,22306000,46900000,17800000
24,Net Income ratio,0.0171,0.0194,0.0203,0.0345,-0.0212,-0.1207,0.0297,0.0402,0.0538,0.1094,0.0190,0.0194,0.0520,0.0671,0.0705,0.0505,0.0044,-0.0098,-0.0679,0.0401,0.0456,0.0557,0.0654,0.0648,0.0042,0.0420,0.0418,0.0429,0.0418,0.0353,0.0334,0.0481,0.0319,-0.0516,0.0191,0.0458,0.0162
25,EPS,0.13,0.13,0.24,0.40,-0.28,-1.14,0.29,0.41,0.54,1.19,0.23,0.21,0.72,1.30,1.66,1.37,0.10,-0.24,-1.47,0.96,1.38,1.85,2.59,2.83,0.14,1.44,1.77,1.77,1.72,1.51,1.43,2.40,1.64,-2.64,0.95,2.08,0.79
26,EPS Diluted,0.13,0.13,0.24,0.40,-0.28,-1.14,0.29,0.41,0.53,1.19,0.23,0.21,0.71,1.26,1.59,1.33,0.10,-0.24,-1.47,0.95,1.34,1.81,2.53,2.80,0.14,1.42,1.74,1.74,1.69,1.49,1.42,2.38,1.63,-2.64,0.95,2.05,0.78
27,Weighted Average Shares Outstanding,11488000,14396000,15000000,15250000,14285714,14298246,13793103,14634146,17222222,19687960,20143860,20094884,19111880,18799063,19064516,19221754,19441818,19658032,19671697,19740699,20333894,21428738,21967985,22287554,22446940,22517246,22588721,22680000,22749000,22819000,22934000,22992000,23025000,22902000,22515000,22586000,22586000
28,Weighted Average Shares Outstanding Diluted,11488000,14396000,15000000,15250000,14285714,14298246,13793103,14634146,17547170,19687960,20143860,20333333,19452192,19441184,19930376,19721288,19753226,19658032,19671697,20079349,20976966,21917123,22444866,22585775,22715780,22829799,22984221,23051000,23081000,23105000,23120000,23142000,23184000,22902000,22674000,22878000,22878000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298795000003/0000792987-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/792987/000079298796000011/0000792987-96-000011-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298702000035/0000792987-02-000035-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298703000049/0000792987-03-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298704000027/0000792987-04-000027-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298705000047/0000792987-05-000047-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298706000031/0000792987-06-000031-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298707000049/0000792987-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298708000008/0000792987-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298710000006/0000792987-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298711000008/0000792987-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298712000007/0000792987-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298713000008/0000792987-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298714000012/0000792987-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298715000010/0000792987-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298716000063/0000792987-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298717000008/0000792987-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298718000008/0000792987-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298719000019/0000792987-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000114036120006100/0001140361-20-006100-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298721000016/0000792987-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298722000013/0000792987-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,1900000,200000,1000000,800000,1300000,5800000,2200000,3500000,10500000,3100000,3400000,2900000,5400000,3700000,7053328,6670178,30341171,9734537,8348693,22597696,44878128,34636472,9673542,40429000,94597000,57505000,80929000,35564000,13023000,25062000,82371000,62280000,25821000,48857000,158600000,134400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17176000,1916000,1539000,1024000,1624000,1946000,1547000,4300000,8600000
33,Cash and Short-Term Investments,1200000,1900000,200000,1000000,800000,1300000,5800000,2200000,3500000,10500000,3100000,3400000,2900000,5400000,3700000,7053328,6670178,30341171,9734537,8348693,22597696,44878128,34636472,9673542,40429000,94597000,57505000,80929000,52740000,14939000,26601000,83395000,63904000,27767000,50404000,162900000,143000000
34,Net Receivables,4800000,23100000,22800000,24900000,29200000,13700000,12300000,12700000,19100000,30100000,27700000,34600000,38800000,52400000,81300000,83159966,68498654,76448497,46018129,45288513,53395228,66673261,87486796,75160753,68105000,80863000,102060000,89048000,94789000,107301000,101997000,110673000,119952000,133978000,124847000,120600000,144100000
35,Inventory,17000000,53500000,49100000,63100000,64500000,46400000,40900000,40000000,40000000,56300000,55900000,56800000,69400000,76700000,104800000,126307828,128995577,120237521,110233695,126970127,135503361,157835438,210818628,285817262,248548000,252981000,299065000,308622000,342313000,387835000,384776000,360404000,391379000,355944000,294536000,249700000,303000000
36,Other Current Assets,1000000,3700000,1800000,2100000,1700000,28900000,9000000,12900000,13900000,5200000,9900000,9500000,7500000,10400000,13600000,15472663,21096183,22848033,18166063,17877106,14531905,13631133,15789744,24447531,27283000,19380000,26924000,21267000,32569000,43116000,28423000,22361000,27734000,43302000,36517000,32600000,51600000
37,Total Current Assets,24000000,82200000,73900000,91100000,96200000,90300000,68000000,67800000,76500000,102100000,96600000,104300000,118600000,144900000,203400000,231993785,225260592,249875222,184152424,198484439,226028190,283017960,348731640,395099088,384365000,447821000,485554000,499866000,522411000,553191000,541797000,576833000,602969000,560991000,506304000,565800000,641700000
38,PP&E,7800000,20400000,22000000,29000000,29500000,20400000,20300000,17900000,23700000,42300000,51700000,54300000,61600000,81100000,109400000,126927532,123394035,125799279,105181753,96526158,96114469,113914165,141527620,169129628,172057000,168242000,188018000,182839000,184520000,187610000,170206000,180538000,190396000,192448000,190363000,172800000,171700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36114983,- -,- -,- -,- -,19383826,26415979,29658550,13907000,13907000,14989000,15011000,15057000,31995000,30835000,40804000,45732000,32748000,33176000,38700000,- -
40,Intangible Assets,300000,300000,400000,300000,1600000,1400000,1800000,1700000,2000000,8400000,4100000,5300000,8200000,12500000,36300000,37207924,- -,36093277,20887084,19125570,19361035,- -,- -,- -,- -,- -,- -,- -,- -,17272000,13577000,26643000,30952000,25370000,23536000,31200000,- -
41,Intangible Assets,300000,300000,400000,300000,1600000,1400000,1800000,1700000,2000000,8400000,4100000,5300000,8200000,12500000,36300000,37207924,36114983,36093277,20887084,19125570,19361035,19383826,26415979,29658550,13907000,13907000,14989000,15011000,15057000,49267000,44412000,67447000,76684000,58118000,56712000,69900000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9911504,11965000,11672000,9739000,10232000,12085000,11393000,11540000,13965000,14553000,14890000,16104000,13700000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6195000,2676000,2576000,27490000,24696000,15000000,- -
44,Other Non-Current Assets,700000,700000,1700000,800000,900000,300000,900000,500000,800000,3200000,2000000,4000000,3800000,10700000,6300000,6176578,15921376,4735349,10735204,10681800,5078980,5546584,25894278,9013686,8607000,7997000,18583000,16617000,15218000,4004000,3203000,2142000,2401000,1520000,6319000,11000000,97900000
45,Total Non-Current Assets,8800000,21400000,24100000,30100000,32000000,22100000,23000000,20100000,26500000,53900000,57800000,63600000,73600000,104300000,152000000,170312034,175430394,166627905,136804041,126333528,120554484,138844575,193837877,217713368,206536000,201818000,231329000,224699000,226880000,252274000,235556000,266768000,286610000,294466000,294194000,282400000,269600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32800000,103600000,98000000,121200000,128200000,112400000,91000000,87900000,103000000,156000000,154400000,167900000,192200000,249200000,355400000,402305819,400690986,416503127,320956465,324817967,346582674,421862535,542569517,612812456,590901000,649639000,716883000,724565000,749291000,805465000,777353000,843601000,889579000,855457000,800498000,848200000,911300000
48,Accounts Payable,- -,- -,- -,- -,17100000,13000000,9300000,9100000,10200000,14300000,15900000,14600000,21400000,27400000,36400000,35585181,26245927,33679808,28955842,35450855,39774568,42561181,54840478,51052764,36388000,44493000,55170000,46210000,45845000,60987000,48385000,57297000,60417000,70614000,57162000,52700000,83500000
49,Short-Term Debt,12900000,14300000,12500000,4900000,5500000,8800000,4900000,3100000,- -,8600000,800000,2100000,500000,600000,600000,1986424,2368496,3219725,36685419,11827194,- -,- -,- -,3426978,- -,- -,- -,- -,- -,3841000,4528000,7170000,2469000,413000,1339000,1600000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23072000,17156000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44224000,37498000,45086000,40082000,39102000,49381000,48069000,42874000,34200000,60200000
52,Other Current Liabilities,10700000,35300000,25200000,33400000,13400000,18700000,22600000,21900000,25500000,26200000,21900000,17700000,25300000,35000000,38800000,38686174,34779388,39751846,37510060,44717834,48272975,62308308,89052575,89356401,69919000,85933000,98852000,53935000,50188000,51215000,49017000,65292000,66879000,70135000,71392000,81800000,81600000
53,Total Current Liabilities,23600000,49600000,37700000,38300000,36000000,40500000,36800000,34100000,35700000,49100000,38600000,34400000,47200000,63000000,75800000,76257779,63393811,76651379,103151321,91995883,88047543,104869489,143893053,143836143,106307000,130426000,154022000,144369000,133531000,161129000,142012000,168861000,179146000,189231000,172767000,170300000,225300000
54,Long-Term Debt,3800000,21100000,23500000,40400000,53600000,50300000,29400000,22700000,- -,16200000,17200000,30500000,35200000,47200000,102700000,118510887,127284692,130644744,38696191,25857163,- -,- -,- -,- -,- -,- -,- -,- -,- -,7061000,5154000,4116000,1575000,59709000,690000,400000,200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,500000,700000,300000,- -,- -,- -,- -,- -,- -,2400000,2800000,3200000,3900000,5500000,7933378,9038640,9220675,2895336,7432458,4650605,6331856,8361165,13064912,14975000,12653000,15983000,14868000,17455000,16836000,2348000,1669000,1509000,1020000,896000,500000,- -
57,Other Non-Current Liabilities,300000,4700000,4700000,4800000,5200000,4400000,3500000,3500000,3200000,300000,300000,800000,1000000,2400000,4100000,4532647,3277584,6093902,8206730,7701490,10550639,13796303,12842785,15877581,17359000,13754000,17695000,17330000,17794000,21087000,17981000,20114000,20584000,20207000,23658000,34000000,31000000
58,Total Non-Current Liabilities,4400000,26300000,28900000,45500000,58800000,54700000,32900000,26200000,3200000,16500000,19900000,34100000,39400000,53500000,112300000,130976912,139600916,145959321,49798257,40991111,15201244,20128159,21203950,28942493,32334000,26407000,33678000,32198000,35249000,44984000,25483000,25899000,23668000,80936000,25244000,34900000,31200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,28000000,75900000,66600000,83800000,94800000,95200000,69700000,60300000,38900000,65600000,58500000,68500000,86600000,116500000,188100000,207234691,202994727,222610700,152949578,132986994,103248787,124997648,165097003,172778636,138641000,156833000,187700000,176567000,168780000,206113000,167495000,194760000,202814000,270167000,198011000,205200000,256500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3863949,3920635,3935488,3947609,3997501,4235470,4339275,4459825,4501666,4510000,4529000,4542000,4560000,4572000,4586000,4598000,4609000,4614000,4503000,4510000,4500000,- -
64,Retained Earnings,4000000,5200000,8800000,14800000,10800000,-5500000,-1400000,4600000,13900000,37400000,41900000,46300000,60100000,84500000,116200000,142528695,144521117,139846165,110925970,129979233,158073454,197661297,254392680,317520910,320589000,353019000,392937000,410338000,445254000,470537000,490933000,536771000,565330000,495245000,508343000,545200000,- -
65,Other Comprehensive Income/Loss,-4200000,-5200000,-7000000,-9200000,-12700000,-12900000,-15500000,-17700000,-20100000,-3700000,-23000000,-27100000,-31700000,-37100000,-44500000,-55543607,-69812519,-2896680,-345307,1323408,710169,405163,3480796,-2798636,4551000,8046000,841000,502000,-4894000,-12915000,-23564000,-31562000,-24243000,-33883000,-31803000,-33500000,-32000000
66,Other Total Stockholders Equity,5000000,27700000,29600000,31800000,35300000,35600000,38200000,40700000,70300000,56700000,77000000,80200000,77200000,85300000,91800000,104222091,119067026,52547239,52988951,55955647,79722952,93759957,114255803,120002077,122253000,126614000,130257000,130954000,131944000,132958000,136105000,138012000,139971000,118715000,120899000,126300000,- -
67,Total Stockholders Equity,4800000,27700000,31400000,37400000,33400000,17200000,21300000,27600000,64100000,90400000,95900000,99400000,105600000,132700000,167300000,195071128,197696259,193432212,167517223,191255789,242742045,296165692,376589104,439226017,451903000,492208000,528577000,546354000,576876000,595166000,608072000,647830000,685672000,584580000,601949000,642500000,654800000
68,Total Liabilities And Stockholders Equity,32800000,103600000,98000000,121200000,128200000,112400000,91000000,87900000,103000000,156000000,154400000,167900000,192200000,249200000,355400000,402305819,400690986,416042912,320466801,324242783,345990832,421163340,541686107,612004653,590544000,649041000,716277000,722921000,745656000,801279000,775567000,842590000,888486000,854747000,799960000,847700000,911300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460215,489664,575184,591842,699195,883410,807803,357000,598000,606000,1644000,3635000,4186000,1786000,1011000,1093000,710000,538000,500000,- -
70,Total Liabilities & Equity,32800000,103600000,98000000,121200000,128200000,112400000,91000000,87900000,103000000,156000000,154400000,167900000,192200000,249200000,355400000,402305819,400690986,416503127,320956465,324817967,346582674,421862535,542569517,612812456,590901000,649639000,716883000,724565000,749291000,805465000,777353000,843601000,889579000,855457000,800498000,848200000,911300000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298795000003/0000792987-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/792987/000079298796000011/0000792987-96-000011-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298702000035/0000792987-02-000035-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298703000049/0000792987-03-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298704000027/0000792987-04-000027-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298705000047/0000792987-05-000047-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298706000031/0000792987-06-000031-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298707000049/0000792987-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298708000008/0000792987-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/792987/000079298710000006/0000792987-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298711000008/0000792987-11-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298712000007/0000792987-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298713000008/0000792987-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298714000012/0000792987-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298715000010/0000792987-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298716000063/0000792987-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298717000008/0000792987-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298718000008/0000792987-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298719000019/0000792987-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000114036120006100/0001140361-20-006100-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298721000016/0000792987-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/792987/000079298722000013/0000792987-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,900000,1200000,- -,6100000,-4000000,-16300000,4000000,6000000,9300000,23400000,4600000,4300000,13800000,24400000,31700000,26281086,1992422,-4705926,-28964005,20208667,28094221,39587843,56797108,63128230,3068000,32430000,39918000,40207000,39042000,34458000,32797000,55159000,37795000,-60449000,22306000,46900000,17800000
74,Depreciation and Amortization,900000,1100000,- -,3000000,3800000,4100000,3200000,3400000,3100000,3900000,5700000,5800000,6900000,8100000,11700000,15379703,17045572,15211581,13126232,11119470,10850022,11891091,15080953,17342888,18676000,18728000,19259000,23048000,22265000,24376000,24078000,24813000,25802000,27913000,26200000,26900000,30200000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,494685,-1169090,-610269,-5508648,4943606,-1496468,1014445,99766,2551974,382000,-497000,-2292000,6043000,-2212000,-3130000,-2904000,-3521000,-291000,-25385000,1715000,8600000,-1300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2383930,1407000,2395000,2800000,1285000,1461000,1200000,1250000,2936000,3142000,2182000,2637000,5100000,6000000
77,Change in Working Capital,- -,3600000,- -,16600000,7400000,-10400000,-18600000,2500000,7100000,12200000,5000000,11900000,1500000,10500000,45700000,28136006,6130775,11357062,-92222740,25487453,31492091,40167824,26690116,46424358,26795055,39337000,14137000,23965000,33383000,3182000,7723000,8187000,15851000,-52063000,-38223000,61963000,-55400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7555000,-8849000,-6924000,3163000,-4895000,-7749000,- -,- -,- -,- -
