,https://roic.ai/company/FCEL,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,17890000,103501000,93750000,106636000,113330000,81286000,60634000,30406000,7004000,25019000,12016000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5800000,6700000,2000000,5400000,7600000,6800000,10300000,6200000,74754000,274760000,205996000,134750000,152395000,136032000,107533000,153631000,68449000,64827000,45486000,63431000,57514000,67696000,83710000,58852000,84187000,49294000,39291000,9434000,149867000,432213000
34,Net Receivables,4700000,4200000,7400000,3200000,2800000,2800000,3800000,2300000,3459000,7110000,10438000,4948000,7599000,10062000,10191000,12629000,16096000,22920000,18066000,21950000,35984000,49594000,64904000,61375000,25600000,68521000,23039000,10976000,17604000,23654000
35,Inventory,1200000,- -,100000,200000,100000,- -,- -,1200000,305000,6334000,13981000,15954000,14619000,12141000,14121000,29581000,24523000,25433000,33404000,40101000,47701000,56185000,55895000,65754000,73806000,74496000,53575000,56694000,50971000,67074000
36,Other Current Assets,100000,100000,2700000,4200000,2400000,600000,1800000,700000,887000,1021000,4324000,5140000,4253000,3659000,1864000,5164000,8952000,6499000,5253000,7466000,4727000,15854000,12522000,17917000,18876000,11199000,14398000,7215000,15539000,20445000
37,Total Current Assets,11800000,11000000,12200000,13000000,12900000,10200000,15900000,10400000,79405000,289225000,234739000,160792000,178866000,161894000,133709000,201005000,118020000,119679000,102209000,132948000,145926000,189329000,217031000,203898000,202469000,203510000,130303000,84319000,233981000,543386000
38,PP&E,8800000,7900000,7500000,7300000,7200000,8300000,8300000,7200000,9794000,27188,38710,39778,42254,46705,48136,39612,38259,32394,26679,23925,23258,24225,26609,29002,36640,43565,48204,41134,46429000,270802000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4075000,4075000,4075000,4075000,4075000,4075000,4075000,4075000,4075000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9592000,9592000,9592000,9592000,9592000,9592000,21264000,19967000,18670000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13667000,13667000,13667000,13667000,13667000,13667000,25339000,24042000,22745000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,25000000,12000000,29000000,10064000,9837000,10466000,6115000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,900000,1800000,2800000,3500000,3400000,2900000,2600000,2200000,1829000,44501812,55025290,62531222,57601746,47579295,47894864,40143388,38417741,32912606,38456321,40192075,39420742,34615775,49911391,59636998,125964360,166565435,196402796,223746866,219086000,38315000
45,Total Non-Current Assets,9700000,9700000,10300000,10800000,10600000,11200000,10900000,9400000,11623000,44795000,55064000,62571000,57644000,103626000,72943000,52183000,67456000,43009000,48320000,50682000,45559000,48307000,63605000,73333000,139668000,180276000,210118000,249127000,289557000,331862000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21500000,20700000,22500000,23800000,23500000,21400000,26800000,19800000,91028000,334020000,289803000,223363000,236510000,265520000,206652000,253188000,185476000,162688000,150529000,183630000,191485000,237636000,280636000,277231000,342137000,383786000,340421000,333446000,523538000,875248000
48,Accounts Payable,1700000,1100000,3000000,2400000,1200000,900000,600000,500000,1626000,4679000,4712000,6667000,9526000,6221000,12508000,12397000,17011000,10068000,10842000,14143000,12254000,24535000,22969000,15745000,18475000,42616000,22594000,16943000,9576000,19267000
49,Short-Term Debt,- -,- -,- -,- -,2400000,1700000,800000,300000,1625000,175000,285000,323000,539000,503000,653000,924000,795000,997000,976000,5056000,5161000,6931000,1439000,7358000,5275000,28281000,17596000,21916000,22305000,11117000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1955000,2027000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,38000,4398000,6713000,9366000,8262000,20486000,29585000,17013000,25499000,64114000,45939000,51857000,37626000,31787000,6811000,7964000,11347000,11471000,10399000,6287000
52,Other Current Liabilities,1700000,1600000,1600000,2400000,1200000,1200000,4200000,2400000,4337000,8161000,11370000,5406000,5292000,7056000,6418000,8511000,11023000,13808000,16721000,30852000,21543000,22940000,13027000,19998000,21702000,19217000,8584000,12402000,16619000,16099000
53,Total Current Liabilities,3400000,2700000,4600000,4800000,4800000,3800000,5600000,3200000,7588000,13052000,16405000,16794000,22070000,23146000,27841000,42318000,58414000,41886000,54038000,114165000,84897000,106263000,75061000,74888000,52263000,98078000,60121000,62732000,58899000,52770000
54,Long-Term Debt,6700000,6200000,5900000,6500000,4400000,2700000,1900000,1600000,- -,1252000,1696000,1484000,1476000,904000,678000,613000,4075000,4410000,4056000,4105000,3975000,52675000,13367000,12998000,81998000,63759000,71619000,90140000,160468000,86726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10124000,8042000,7000000,15533000,18763000,20705000,22646000,20974000,18915000,16793000,28705000,31501000,30427000
56,Deferred Tax Liabilities,100000,100000,200000,200000,300000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,200000,300000,100000,100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,66673000,64351000,62622000,59950000,59857000,72735000,72952000,13270000,13197000,12088000,12649000,14221000,14965000,16275000,78122000,3030000
58,Total Non-Current Liabilities,7000000,6600000,6200000,6800000,4600000,2800000,2100000,1600000,- -,1252000,1696000,1484000,1476000,904000,67351000,64964000,66697000,74484000,71955000,83840000,92460000,84708000,47269000,47732000,115621000,96895000,103377000,135120000,270091000,120183000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10756000,9125000
61,Total Liabilities,10400000,9300000,10800000,11600000,9400000,6600000,7700000,4800000,7588000,14304000,18101000,18278000,23546000,24050000,95192000,107282000,125111000,116370000,125993000,198005000,177357000,190971000,122330000,122620000,167884000,194973000,163498000,197852000,328990000,172953000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,59857000,59857000,59857000,59857000,87557000,34872000,- -,59857000,59857000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2000,4000,4000,4000,5000,5000,5000,7000,7000,8000,11000,13000,18000,20000,29000,3000,4000,7000,10000,19000,29000,37000
64,Retained Earnings,800000,1100000,1300000,1800000,2300000,2700000,2300000,700000,-3786000,-19224000,-68064000,-135478000,-221921000,-290339000,-369255000,-437929000,-531286000,-599960000,-655623000,-701336000,-736831000,-771189000,-809314000,-838673000,-889630000,-943533000,-990867000,-1075089000,-1164196000,-1265251000
65,Other Comprehensive Income/Loss,-3100000,-4600000,-6300000,-8000000,-9900000,-11300000,-15200000,-14500000,-11593000,-11468000,-14301000,-19817000,10259000,11561000,158000,126000,90000,-2000,11000,15000,66000,101000,-159000,-509000,-544000,-415000,-403000,-647000,-739000,-819000
66,Other Total Stockholders Equity,13400000,14900000,16700000,18400000,21700000,23400000,32000000,28800000,98817000,350404000,354063000,360376000,424621000,520242000,469887000,571818000,578247000,631296000,663951000,687857000,751256000,758656000,909431000,934488000,1004566000,1045197000,1073454000,1151454000,1299597000,1908471000
67,Total Stockholders Equity,11100000,11400000,11700000,12200000,14100000,14800000,19100000,15000000,83440000,319716000,271702000,205085000,212964000,241470000,100795000,134022000,47058000,31342000,8350000,-13451000,14509000,47445000,159844000,155166000,174253000,188813000,117066000,75737000,194548000,702295000
68,Total Liabilities And Stockholders Equity,21500000,20700000,22500000,23800000,23500000,21400000,26800000,19800000,91028000,334020000,289803000,223363000,236510000,265520000,195987000,241304000,172169000,147712000,134343000,184554000,191866000,238416000,282174000,277786000,342137000,383786000,280564000,273589000,523538000,875248000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10665000,11884000,13307000,14976000,16186000,-924000,-381000,-780000,-1538000,-555000,- -,- -,59857000,59857000,- -,- -
70,Total Liabilities & Equity,21500000,20700000,22500000,23800000,23500000,21400000,26800000,19800000,91028000,334020000,289803000,223363000,236510000,265520000,206652000,253188000,185476000,162688000,150529000,183630000,191485000,237636000,280636000,277231000,342137000,383786000,340421000,333446000,523538000,875248000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886128/0000886128-98-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886128/000104264502000008/fuelcell10k-0102.htm,https://www.sec.gov/Archives/edgar/data/886128/000104264503000007/fuelcell10k-12003.htm,https://www.sec.gov/Archives/edgar/data/886128/000100329704000036/fce10k1.htm,https://www.sec.gov/Archives/edgar/data/886128/000114420405001276/v011122_10-k.htm,https://www.sec.gov/Archives/edgar/data/886128/000114420406001659/v033315_10k.htm,https://www.sec.gov/Archives/edgar/data/886128/000114420407001898/v062540_10k.htm,https://www.sec.gov/Archives/edgar/data/886128/000114420408002208/v099577_10k.htm,https://www.sec.gov/Archives/edgar/data/886128/000114420409002027/0001144204-09-002027-index.html,https://www.sec.gov/Archives/edgar/data/886128/000095012310002452/0000950123-10-002452-index.html,https://www.sec.gov/Archives/edgar/data/886128/000095012311003053/c11017e10vk.htm,https://www.sec.gov/Archives/edgar/data/886128/000095012312000847/0000950123-12-000847-index.html,https://www.sec.gov/Archives/edgar/data/886128/000088612813000002/0000886128-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/886128/000088612814000003/fcel-103113x10k.htm,https://www.sec.gov/Archives/edgar/data/886128/000088612815000003/fcel-103114x10k.htm,https://www.sec.gov/Archives/edgar/data/886128/000088612816000032/0000886128-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/886128/000088612817000007/0000886128-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/886128/000156459018000401/0001564590-18-000401-index.html,https://www.sec.gov/Archives/edgar/data/886128/000156459019000521/0001564590-19-000521-index.html,https://www.sec.gov/Archives/edgar/data/886128/000156459020001558/0001564590-20-001558-index.html,https://www.sec.gov/Archives/edgar/data/886128/000156459021001679/0001564590-21-001679-index.htm,https://www.sec.gov/Archives/edgar/data/886128/000155837021017052/0001558370-21-017052-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,300000,200000,400000,500000,400000,-400000,-1000000,-4459000,-15438000,-48840000,-67414000,-86443000,-68186000,-76105000,-68674000,-93357000,-68674000,-55663000,-45713000,-35495000,-34358000,-38125000,-29359000,-50957000,-53903000,-47334000,-77568000,-89107000,-101055000
74,Depreciation and Amortization,1200000,1900000,2000000,2100000,2200000,2200000,1900000,1800000,1880000,2034000,3783000,6374000,8411000,7310000,9391000,9185000,8801000,9427000,7438000,6431000,5192000,4097000,4384000,4099000,4949000,8518000,8648000,12353000,19377000,19872000
75,Deferred Income Tax,- -,- -,-100000,- -,- -,-100000,-700000,600000,- -,- -,291000,29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3035000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4815000,2965000,2577000,2054000,2226000,2908000,3157000,3425000,4585000,3238000,2804000,1868000,4293000
77,Change in Working Capital,-1600000,-100000,-700000,600000,-100000,-1700000,3900000,-3100000,64617000,204356000,-57839000,-74336000,12798000,-18048000,-32880000,52819000,-99081000,18187000,-29622000,-29388000,42246000,22037000,58904000,-12960000,21196000,-44774000,-35250000,-48595000,153495000,-31941000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6792000,4480000,-4046000,-14066000,-12000000,-15378000,3173000,30235000,-51276000,48731000,4842000,-6271000,-5167000
79,Inventory,-1000000,1200000,- -,-100000,100000,- -,- -,-1200000,899000,-6029000,-7647000,-1973000,1333000,2480000,-1980000,-11517000,5058000,-910000,-7971000,-6697000,-7600000,-5901000,1059000,-10100000,-8052000,-7972000,31714000,-6427000,-2111000,-18755000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7050000,774000,3405000,-1790000,11776000,-1566000,-7224000,-3019000,25020000,-19846000,-173000,-7059000,1988000
81,Other Working Capital,8400000,8300000,7600000,8200000,8100000,6400000,10300000,7200000,71817000,276173000,218334000,143998000,156796000,138748000,105868000,158687000,59606000,77793000,48171000,18783000,61029000,83066000,141970000,129010000,150206000,105432000,70182000,21587000,175082000,-5186000
82,Other Non-Cash Items,100000,1100000,-500000,3800000,-1200000,1500000,-2200000,1800000,-61718000,-207367000,47011000,76512000,1182000,22950000,51185000,-49299000,122230000,-28958000,39890000,57608000,-72656000,-10660000,-85539000,-9211000,-25208000,13729000,90055000,80434000,-122414000,38393000
83,Cash Provided by Operating Activities,-200000,3200000,900000,6900000,1400000,2300000,2500000,100000,320000,-16415000,-55594000,-58835000,-64052000,-55974000,-48409000,-55969000,-61407000,-65203000,-34992000,-8485000,-58659000,-16658000,-57468000,-44274000,-46595000,-71845000,16322000,-30572000,-36781000,-70438000
84,CAPEX,-1400000,-700000,-1300000,-1500000,-1900000,-2800000,-1700000,-1200000,-4155000,-19094000,-15373000,-6630000,-7921000,-14072000,-11287000,-4409000,-7368000,-2588000,-2481000,-3350000,-4453000,-6551000,-7079000,-6930000,-7726000,-12351000,-10028000,-2151000,-382000,-6353000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000,- -,- -,- -,633000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-400000,-3900000,- -,- -,- -,- -,- -,-33663000,-167288000,-150680000,-96433000,-432424000,-139676000,-277674000,- -,-600000,-60277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2300000,2000000,2000000,- -,- -,- -,- -,82500000,155659000,101546000,382608000,202761000,312120000,- -,41000000,32500000,- -,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1100000,-1400000,-1200000,-100000,-100000,- -,300000,6000,- -,- -,-1500000,68917000,- -,- -,-2000000,11187000,-2588000,-2481000,18031000,-4453000,-6551000,-7079000,-6930000,-41452000,-32077000,-51260000,-69300000,-32520000,-73230000
89,Cash Used for Investing Activites,-1400000,-1800000,-3100000,-4300000,- -,-900000,-1700000,-900000,-4149000,-52757000,-100161000,-3151000,66109000,-63888000,51798000,28037000,3819000,37812000,-30258000,18031000,7547000,-6194000,-7079000,-6930000,-41452000,-31444000,-51260000,-69300000,-32520000,-73230000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237000,-377000,-306000,-173000,-374000,-5971000,-1535000,-30452000,-8571000,-16616000,-48395000,-30117000,-98642000
91,Common Stock Issued,5900000,- -,100000,100000,400000,200000,900000,500000,15195000,252764000,826000,797000,3240000,101615000,9397000,98408000,3161000,50605000,31953000,32930000,64003000,5040000,105844000,27060000,70929000,39396000,10455000,43573000,173199000,526800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21541000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378000,-4354000,-8931000,-3642000,-3642000,-3631000,-3695000,-15226000,-7624000,-4442000,-4343000,-4202000,-4170000,-4156000,-4178000,-1840000,-6475000,-3200000
94,Other Financing Activites,300000,-600000,-600000,700000,300000,-2400000,1700000,-3800000,57225000,-1476000,554000,-306000,-160000,-456000,-310000,-84000,3115000,436000,- -,4000000,954000,43410000,-14709000,5131000,84351000,45623000,38056000,66317000,85060000,8491000
95,Cash Used/Provided by Financing Activities,6200000,-600000,-500000,800000,700000,-2200000,2600000,-3300000,72420000,251288000,1380000,491000,2702000,96805000,156000,94682000,2634000,47173000,27881000,21398000,57160000,43634000,80821000,26454000,120658000,72292000,27717000,59655000,221667000,411908000
