,https://roic.ai/company/BIIB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-14200000,-23700000,-18600000,2200000,100000,4200000,2400000,32800000,27900000,6149000,18361000,56093000,168264000,234783000,360115000,525929000,426410000,325241000,-804134000,522426000,668050000,872683000,1331388000,1663002000,1789510000,1726807000,2070889000,2252735000,3026995000,4642376000,5404500000,5882800000,6329600000,7073500000,7914500000,5672600000,2349900000
16,EBITDA ratio,-0.9404,-3.7031,-2.1628,0.1068,0.0035,0.0838,0.0391,0.2652,0.2045,0.0393,0.1210,0.2024,0.3877,0.4211,0.4533,0.5677,0.4087,0.2832,-1.1840,0.3274,0.3898,0.4661,0.4198,0.4059,0.4088,0.3661,0.4102,0.4084,0.4367,0.4784,0.5021,0.5138,0.5157,0.5258,0.5505,0.4219,0.2140
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1907000,7445000,40829000,148968000,190639000,316251000,328356000,360198000,296637000,-869669000,43416000,236040000,440020000,779772000,1213611000,1295427000,1248889000,1724691000,1855849000,2515509000,3972414000,4891000000,5150400000,5344200000,5888600000,7042600000,4550100000,2840700000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0122,0.0491,0.1473,0.3432,0.3419,0.3981,0.3544,0.3452,0.2583,-1.2805,0.0272,0.1377,0.2350,0.2459,0.2962,0.2959,0.2648,0.3416,0.3364,0.3629,0.4094,0.4544,0.4499,0.4354,0.4377,0.4898,0.3384,0.2587
19,Total Other Income Expenses (Gains),14200000,1300000,1800000,11000000,12400000,7200000,8800000,11300000,12900000,- -,- -,- -,- -,19554000,12765000,158749000,29299000,-20042000,-10955000,20677000,20155000,52143000,130823000,-64668000,37252000,-18983000,-13477000,-744000,-34930000,-25781000,-123700000,-217400000,-215400000,11000000,83300000,497400000,-1095500000
20,Income Before Tax,-18700000,-27800000,-22400000,-900000,3400000,8000000,7500000,39900000,34600000,-1907000,7445000,40829000,148968000,210193000,329016000,487105000,389497000,276595000,-880624000,64093000,256195000,492163000,910595000,1148943000,1332679000,1229906000,1711214000,1855105000,2480579000,3946633000,4767300000,4933000000,5128800000,5899600000,7125900000,5047500000,1745200000
21,Income Before Tax Ratio,-1.2384,-4.3438,-2.6047,-0.0437,0.1193,0.1597,0.1221,0.3226,0.2537,-0.0122,0.0491,0.1473,0.3432,0.3770,0.4142,0.5258,0.3733,0.2409,-1.2966,0.0402,0.1495,0.2629,0.2871,0.2804,0.3044,0.2608,0.3389,0.3363,0.3578,0.4067,0.4429,0.4309,0.4179,0.4385,0.4956,0.3754,0.1589
22,Income Tax expense (Gain),400000,400000,200000,300000,200000,300000,300000,1600000,2200000,2990000,1785000,299000,59801000,71496000,108566000,153528000,116814000,77447000,-5527000,39007000,95484000,278431000,272423000,365776000,355617000,331333000,444528000,470554000,601014000,989942000,1161600000,1237300000,2458700000,1425600000,1158000000,992300000,52500000
23,Net Income,-19100000,-28200000,-22600000,-1200000,3200000,7700000,7200000,38300000,32400000,-4897000,5660000,40530000,89167000,138697000,220450000,333577000,272683000,199148000,-875097000,25086000,160711000,217511000,638172000,783167000,970132000,1005273000,1234428000,1380033000,1862341000,2934784000,3547000000,3702800000,2539100000,4430700000,5888500000,4000600000,1556100000
24,Net Income ratio,-1.2649,-4.4063,-2.6279,-0.0583,0.1123,0.1537,0.1173,0.3096,0.2375,-0.0313,0.0373,0.1463,0.2054,0.2487,0.2775,0.3601,0.2614,0.1734,-1.2885,0.0157,0.0938,0.1162,0.2012,0.1911,0.2216,0.2131,0.2445,0.2502,0.2687,0.3025,0.3295,0.3234,0.2069,0.3293,0.4096,0.2976,0.1417
25,EPS,-0.04,-0.06,-0.04,-0.00,0.00,0.00,0.01,0.05,0.04,-0.03,0.03,0.09,0.20,0.31,0.49,0.75,1.84,1.33,-4.92,0.07,0.48,0.64,2.02,2.67,3.37,3.98,5.09,5.80,7.86,12.42,15.38,16.96,11.94,21.63,31.47,24.86,9.67
26,EPS Diluted,-0.04,-0.06,-0.04,-0.00,0.00,0.00,0.01,0.04,0.04,-0.03,0.03,0.09,0.20,0.30,0.47,0.72,1.78,1.31,-4.92,0.07,0.47,0.63,1.99,2.65,3.35,3.94,5.04,5.76,7.81,12.37,15.34,16.93,11.92,21.58,31.42,24.80,9.65
27,Weighted Average Shares Outstanding,440769231,470000000,521538462,360000000,120000000,540000000,675000000,820714286,747692308,196644000,218670000,439326000,442872000,442608000,449763000,446229000,148355000,149337000,177982000,334996000,335586000,338585000,315836000,292332000,287356000,252307000,242395000,237938000,236919000,236359000,230700000,218400000,212600000,204900000,187100000,160900000,160900000
28,Weighted Average Shares Outstanding Diluted,440769231,470000000,521538462,360000000,120000000,540000000,675000000,851111111,810000000,196644000,705000000,922857143,459000000,462810000,473364000,463806000,152916000,151930000,177982000,343475000,346163000,345281000,320171000,294984000,289476000,254867000,245033000,239740000,238308000,237176000,231200000,218800000,213000000,205300000,187400000,161300000,161300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875045/000091205702012961/0000912057-02-012961-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000104746903011017/0001047469-03-011017-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013504001180/0000950135-04-001180-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013505001792/0000950135-05-001792-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013506001384/0000950135-06-001384-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013507000981/0000950135-07-000981-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013508001029/0000950135-08-001029-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013509000730/0000950135-09-000730-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012310010528/0000950123-10-010528-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012311009300/0000950123-11-009300-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000119312512039072/0001193125-12-039072-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504513000006/0000875045-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504514000004/0000875045-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504515000005/0000875045-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504516000042/0000875045-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504517000009/0000875045-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/0000875045-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/0000875045-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/0000875045-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504521000010/0000875045-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/0000875045-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,53500000,70500000,54400000,54300000,33200000,12600000,56600000,85900000,74500000,54682000,45770000,62032000,70358000,25445000,56920000,48737000,54042000,45113000,314850000,209447000,568168000,661377000,659662000,622385000,581889000,759598000,514542000,570721000,602562000,1204924000,1308000000,2326500000,1573800000,1224600000,2913700000,1331200000,2261400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,213120000,262178000,259349000,369730000,491469000,597619000,633675000,744065000,821996000,521109000,- -,- -,241314000,319408000,749032000,681835000,448146000,1176115000,1134989000,620167000,640460000,2120500000,2568600000,2115200000,2313400000,1562200000,1278900000,1541100000
33,Cash and Short-Term Investments,53500000,70500000,54400000,54300000,33200000,12600000,56600000,85900000,74500000,267802000,307948000,321381000,440088000,516914000,654539000,682412000,798107000,867109000,835959000,209447000,568168000,902691000,979070000,1371417000,1263724000,1207744000,1690657000,1705710000,1222729000,1845384000,3428500000,4895100000,3689000000,3538000000,4475900000,2610100000,3802500000
34,Net Receivables,2200000,1700000,2700000,1600000,5800000,13200000,18400000,33400000,31700000,18502000,19612000,42952000,86802000,101281000,137363000,143178000,177582000,171067000,315866000,416088000,406801000,486061000,559332000,653590000,744997000,839988000,813327000,955243000,1077068000,1575805000,1541500000,1742200000,2319600000,2485400000,2470700000,2327300000,1961700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95378000,496349000,251016000,182815000,169102000,233987000,263602000,293950000,289066000,326843000,447373000,659003000,804022000,893400000,1001600000,902700000,929900000,804200000,1068600000,1351500000
36,Other Current Assets,1300000,1400000,700000,1700000,80600000,95000000,134200000,149100000,203200000,8480000,12749000,71421000,69176000,75949000,118324000,102681000,122038000,82470000,190490000,1054493000,460297000,154713000,596018000,169391000,177924000,203622000,144600000,136011000,226134000,447462000,836900000,1093300000,962000000,687600000,631000000,881100000,740800000
37,Total Current Assets,57000000,73600000,57800000,57600000,119600000,120800000,209200000,268400000,309400000,294784000,340309000,435754000,596066000,694144000,910226000,928271000,1097727000,1216024000,1838664000,1931044000,1618081000,1712567000,2368407000,2458000000,2480595000,2540420000,2975427000,3244337000,3184934000,4672673000,6700300000,8732200000,7873300000,7640900000,8381800000,6887100000,7856500000
38,PP&E,21000000,18700000,14000000,14500000,15300000,23600000,28700000,32300000,38500000,73162000,115048000,165323000,174492000,182551000,239777000,400429000,555998000,738059000,1252783000,1525225000,1174396000,1280385000,1497383000,1594754000,1637083000,1641634000,1571387000,1742226000,1750710000,1765700000,2187600000,2501800000,3182400000,3601200000,3674300000,3844800000,3791800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151066000,1151105000,1130430000,1154757000,1137372000,1138621000,1138621000,1146314000,1146314000,1201296000,1232916000,1760249000,2663800000,3669300000,4632500000,5706400000,5757800000,5762100000,5761100000
40,Intangible Assets,2400000,3100000,3400000,3800000,4500000,6300000,7300000,6500000,7200000,8116000,7988000,10458000,14935000,15869000,13871000,13510000,16562000,15994000,3638812000,3292827000,2975601000,2747241000,2492354000,2161058000,1871078000,1772826000,1608191000,1631500000,4474700000,4028500000,4085100000,3808300000,3879600000,3120000000,3527400000,3084300000,2221300000
41,Intangible Assets,2400000,3100000,3400000,3800000,4500000,6300000,7300000,6500000,7200000,8116000,7988000,10458000,14935000,15869000,13871000,13510000,16562000,15994000,4789878000,4443932000,4106031000,3901998000,3629726000,3299679000,3009699000,2919140000,2754505000,2832796000,5707616000,5788749000,6748900000,7477600000,8512100000,8826400000,9285200000,8846400000,7982400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3757000,1622620000,155933000,264061000,1657858000,1133299000,1126558000,1424477000,991299000,1748285000,2310712000,1220122000,2089447000,3868000000,4165200000,4084800000,3066500000,2660900000,3671100000,2831500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2153900000,3232100000,1369500000,1415100000
44,Other Non-Current Assets,5400000,5500000,5500000,5000000,5800000,7800000,7900000,4000000,1900000,1800000,5856000,23037000,28332000,32151000,114099000,89646000,50759000,33154000,- -,1109624000,1204378000,- -,- -,- -,- -,- -,- -,- -,-47000,-10000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,28800000,27300000,22900000,23300000,25600000,37700000,43900000,42800000,47600000,83078000,128892000,198818000,217759000,230571000,367747000,503585000,623319000,790964000,7665281000,7234714000,6748866000,6840241000,6260408000,6020991000,6071259000,5552073000,6074177000,6885734000,8678401000,9643886000,12804500000,14144600000,15779300000,17648000000,18852500000,17731800000,16020800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,85800000,100900000,80700000,80900000,145200000,158500000,253100000,311200000,357000000,377862000,469201000,634572000,813825000,924715000,1277973000,1431856000,1721046000,2006988000,9503945000,9165758000,8366947000,8552808000,8628815000,8478991000,8551854000,8092493000,9049604000,10130071000,11863335000,14316559000,19504800000,22876800000,23652600000,25288900000,27234300000,24618900000,23877300000
48,Accounts Payable,- -,- -,- -,- -,1800000,2800000,3200000,3900000,2900000,9991000,12512000,15722000,15820000,24896000,30125000,37869000,50944000,64876000,63364000,121471000,99780000,100457000,90672000,107417000,118534000,162529000,186448000,203999000,219913000,229178000,267400000,279800000,395500000,370500000,530800000,454900000,589200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1667000,4017000,29705000,4888000,4888000,4888000,4888000,4888000,- -,748430000,- -,- -,1511135000,27667000,19762000,137153000,3292000,453400000,3500000,3136000,4800000,4700000,3200000,- -,1495800000,- -,999100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73824000,94176000,129350000,200193000,145529000,11274000,223260000,75891000,84517000,45939000,20066000,179685000,168058000,208700000,231900000,68200000,63500000,71400000,142000000,174700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7155000,13695000,16928000,- -,- -,- -,- -,41300000,- -,148000000,172700000,120900000,55700000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7400000,7200000,7600000,8000000,4200000,9900000,10900000,22300000,28900000,37937000,39216000,68209000,78358000,105305000,155257000,178264000,239110000,256569000,334306000,377152000,466328000,482398000,587368000,788138000,576646000,709140000,723149000,851966000,1362185000,1866458000,2249800000,3135400000,2969500000,2924700000,2837200000,3287300000,2709900000
53,Total Current Liabilities,7400000,7200000,7600000,8000000,6000000,12700000,14100000,26200000,31800000,47928000,53395000,87948000,123883000,135089000,190270000,221021000,294942000,326333000,404825000,1260748000,583036000,582855000,2189175000,923222000,714942000,1050122000,912889000,1657365000,1758298000,2219672000,2577700000,3419900000,3368200000,3295200000,4863800000,3742200000,4298200000
54,Long-Term Debt,3600000,4400000,5200000,4800000,- -,- -,- -,- -,- -,- -,32826000,62254000,61846000,56960000,108173000,104433000,77272000,37410000,887270000,101879000,43444000,96694000,51843000,1085431000,1080207000,1066379000,1060808000,687400000,592400000,582100000,6521500000,6512700000,5935000000,5936500000,4459000000,7828200000,6604400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33678000,1108318000,921771000,762282000,643645000,521525000,356017000,240618000,200950000,248644000,217272000,232554000,50656000,124900000,93100000,122600000,1636200000,2810800000,1032800000,694500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91803000,14053000,- -,- -,- -,14146000,50204000,54959000,72309000,79836000,331977000,308238000,254205000,325599000,400276000,604286000,659245000,650091000,905800000,722500000,1628700000,1389400000,1761600000,1329600000,1320500000
58,Total Non-Current Liabilities,3600000,4400000,5200000,4800000,- -,- -,- -,- -,- -,- -,32826000,62254000,153649000,71013000,108173000,104433000,77272000,85234000,2045792000,1078609000,878035000,820175000,905345000,1749686000,1575030000,1592928000,1709728000,1508958000,1484199000,1282847000,7552200000,7328300000,7686300000,8962100000,9031400000,10190600000,8619400000
59,Other Liabilities,3500000,4400000,5200000,9700000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412700000,402000000,330400000
61,Total Liabilities,10900000,11600000,12800000,12900000,6000000,12800000,14100000,26200000,31800000,47928000,86221000,150202000,277532000,206102000,298443000,325454000,372214000,411567000,2450617000,2339357000,1461071000,1403030000,3094520000,2672908000,2289972000,2643050000,2622617000,3166323000,3242497000,3502519000,10129900000,10748200000,11054500000,12257300000,13895200000,13932800000,12917600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000,355000,725000,741000,741000,1507000,1517000,1517000,1517000,166000,173000,173000,173000,147000,149000,144000,124000,128000,127000,128000,129000,100000,100000,100000,100000,100000,100000,100000
64,Retained Earnings,-53800000,-82000000,-104600000,-105800000,-105300000,-103400000,-99200000,-60900000,-28500000,-33359000,-27699000,12831000,25327000,213507000,352016000,543913000,705893000,838756000,-611921000,-801094000,-1021644000,-860827000,-352169000,270180000,1068890000,1872481000,3106761000,4486794000,6349135000,9283919000,12208400000,15071600000,15810400000,16257000000,16455400000,13976300000,13911700000
65,Other Comprehensive Income/Loss,-12900000,-18500000,-8700000,-11000000,-12900000,-15200000,-18600000,-21000000,-25600000,- -,- -,- -,- -,- -,- -,- -,- -,15999000,1054000,-6767000,-13910000,21855000,79246000,-11106000,50496000,-21610000,-26535000,-55305000,-27745000,-59488000,-224000000,-319900000,-318400000,-240400000,-135200000,-299000000,-106700000
66,Other Total Stockholders Equity,141600000,189800000,181200000,184800000,257400000,264300000,356800000,366900000,379300000,362962000,410324000,470814000,510225000,504365000,626007000,560972000,641422000,739149000,7664029000,7634089000,7941257000,7988577000,5807071000,5546860000,5102000000,3545511000,3345145000,2529907000,2298724000,1584450000,-2611700000,-2611700000,-2879300000,-2977100000,-2977100000,-2977100000,-2908900000
67,Total Stockholders Equity,74900000,89300000,67900000,68000000,139200000,145700000,239000000,285000000,325200000,329934000,382980000,484370000,536293000,718613000,979530000,1106402000,1348832000,1595421000,7053328000,6826401000,6905876000,7149778000,5534295000,5806083000,6221530000,5396506000,6425499000,6961523000,8620242000,10809010000,9372800000,12140100000,12612800000,13039600000,13343200000,10700300000,10896200000
68,Total Liabilities And Stockholders Equity,85800000,100900000,80700000,80900000,145200000,158500000,253100000,311200000,357000000,377862000,469201000,634572000,813825000,924715000,1277973000,1431856000,1721046000,2006988000,9503945000,9165758000,8366947000,8552808000,8628815000,8478991000,8511502000,8039556000,9048116000,10127846000,11862739000,14311529000,19502700000,22888300000,23667300000,25296900000,27238400000,24633100000,23813800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40352000,52937000,1488000,2225000,596000,5030000,2100000,-11500000,-14700000,-8000000,-4100000,-14200000,63500000
70,Total Liabilities & Equity,85800000,100900000,80700000,80900000,145200000,158500000,253100000,311200000,357000000,377862000,469201000,634572000,813825000,924715000,1277973000,1431856000,1721046000,2006988000,9503945000,9165758000,8366947000,8552808000,8628815000,8478991000,8551854000,8092493000,9049604000,10130071000,11863335000,14316559000,19504800000,22876800000,23652600000,25288900000,27234300000,24618900000,23877300000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875045/000091205702012961/0000912057-02-012961-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000104746903011017/0001047469-03-011017-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013504001180/0000950135-04-001180-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013505001792/0000950135-05-001792-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013506001384/0000950135-06-001384-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013507000981/0000950135-07-000981-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013508001029/0000950135-08-001029-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095013509000730/0000950135-09-000730-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012310010528/0000950123-10-010528-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000095012311009300/0000950123-11-009300-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000119312512039072/0001193125-12-039072-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504513000006/0000875045-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504514000004/0000875045-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504515000005/0000875045-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504516000042/0000875045-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504517000009/0000875045-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/0000875045-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/0000875045-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/0000875045-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504521000010/0000875045-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/0000875045-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3200000,7700000,7200000,38300000,32400000,-4897000,5660000,40530000,89167000,138697000,220450000,333577000,272683000,199148000,-875097000,25086000,160711000,217511000,638172000,783167000,970132000,1005273000,1234428000,1380033000,1862341000,2934784000,3547000000,3702800000,2539100000,4430700000,5888500000,4000600000,1556100000
74,Depreciation and Amortization,- -,- -,- -,- -,-3300000,-3800000,-5100000,-7100000,-6700000,8056000,10916000,15264000,19296000,24590000,31099000,38824000,36913000,45100000,61308000,439435000,402208000,375870000,380293000,462059000,427961000,354101000,358933000,365648000,531740000,688150000,600400000,682700000,1081000000,1016600000,680600000,457200000,487700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5541000,22462000,7486000,-23981000,25203000,-18100000,42203000,-3894000,8997000,-90174000,-106337000,-81555000,-139549000,-137351000,-81410000,153576000,-116900000,-245077000,-308222000,-145600000,-175000000,91700000,108300000,67100000,149000000,-426800000
