,https://roic.ai/company/UFI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,2100000,166000,2600000,- -,- -,- -,- -,- -,2171000,- -
33,Cash and Short-Term Investments,1000000,11600000,21200000,2400000,36000000,16800000,245000000,69600000,152100000,146200000,24500000,9500000,8400000,44400000,18800000,6600000,19105000,76800000,65200000,105600000,35300000,40000000,20200000,42700000,42700000,28400000,13000000,8921000,18500000,10013000,16646000,35425000,44890000,22228000,77438000,78253000
34,Net Receivables,57100000,40300000,39600000,71700000,69100000,78100000,167300000,195300000,200500000,209400000,199400000,224200000,222300000,185800000,214300000,171700000,153331000,130800000,125900000,106900000,93200000,94000000,103300000,77800000,91200000,103700000,102300000,101509000,95300000,86534000,88149000,91536000,97588000,103570000,65316000,103499000
35,Inventory,14300000,17100000,16000000,30400000,22100000,22800000,73200000,102800000,100300000,139400000,132900000,142300000,137200000,129900000,147600000,124400000,111843000,118400000,117000000,110800000,116000000,124100000,122900000,89700000,111000000,134900000,112800000,110667000,113400000,111615000,103532000,111405000,126311000,133781000,109704000,141221000
36,Other Current Assets,800000,1000000,1600000,4300000,1900000,2400000,19400000,123100000,3700000,8000000,5100000,3700000,1300000,2000000,2600000,7000000,6782000,8200000,23000000,43700000,36500000,37000000,19500000,14400000,7800000,7100000,9900000,5733000,4000000,4802000,3565000,5271000,5505000,6043000,2035000,6094000
37,Total Current Assets,73200000,70000000,78400000,108800000,129100000,120100000,504900000,490800000,456600000,503000000,361900000,379700000,369200000,362100000,383300000,309700000,291061000,334200000,331100000,367000000,281000000,295100000,265900000,224600000,252700000,274100000,238000000,226830000,231200000,212964000,211892000,243637000,274294000,265622000,254493000,329067000
38,PP&E,43400000,36700000,38000000,69300000,71700000,71500000,270000000,435500000,512300000,516200000,549400000,598400000,648600000,689700000,658400000,562300000,488469000,444800000,355500000,301600000,239700000,210000000,177300000,160600000,151500000,151000000,127100000,115164000,123800000,136222000,185101000,203388000,205516000,206787000,213186000,210468000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,- -,- -,- -,- -,18600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14710000,200000,- -,- -,- -,42300000,20400000,17600000,14100000,11600000,9800000,7772000,7400000,5388000,3741000,2158000,2990000,2170000,1412000,3978000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14710000,13700000,- -,- -,525000,42300000,39000000,17600000,14100000,11600000,9800000,7772000,7400000,5388000,3741000,2158000,2990000,2170000,1412000,3978000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,212400000,207100000,208900000,173500000,- -,- -,- -,- -,- -,- -,- -,60051000,73543000,91258000,95763000,93935000,99229000,113901000,117412000,119513000,112639000,114320000,2171000,2159000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,32400000,37700000,- -,50800000,63000000,78400000,86000000,80300000,- -,87800000,71900000,55900000,45900000,23500000,900000,400000,100000,4300000,800000,2196000,2200000,90000,4991000,11457000,7663000,2581000,2549000,1208000
44,Other Non-Current Assets,29800000,26400000,27500000,9400000,6900000,5000000,30000000,44100000,2000000,-16200000,39800000,-10200000,45600000,28500000,18100000,11500000,209457000,107600000,114000000,120900000,165475000,90000000,108400000,13649000,12557000,5142000,10737000,9569000,5271000,7807000,2305000,-8650000,-1295000,671000,351000,8488000
45,Total Non-Current Assets,73200000,63100000,65500000,78700000,78600000,76500000,300000000,479600000,546700000,537900000,589200000,639000000,969600000,1003700000,971400000,827600000,712636000,653900000,541400000,478400000,451600000,365800000,325600000,252300000,251800000,263300000,244200000,228636000,237900000,263408000,313550000,327866000,327513000,326529000,219669000,226301000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,146400000,133100000,143900000,187500000,207700000,196600000,804900000,970400000,1003300000,1040900000,951100000,1018700000,1338800000,1365800000,1354700000,1137300000,1003697000,988100000,872500000,845400000,732600000,660900000,591500000,476900000,504500000,537400000,482200000,455466000,469100000,476372000,525442000,571503000,601807000,592151000,474162000,555368000
48,Accounts Payable,- -,- -,- -,- -,35100000,41800000,97900000,118900000,83800000,100200000,110100000,119600000,93900000,68700000,98200000,100100000,72208000,81000000,75500000,62700000,68600000,64300000,44600000,26100000,40700000,42800000,48500000,45544000,39000000,45023000,41593000,41499000,48970000,41796000,25610000,54259000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8282000,7285000,8497000,35339000,6330000,11198000,9805000,6845000,15327000,342000,7237000,65000,7215000,12385000,13786000,17060000,16996000,15519000,15346000,17901000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,676000,505000,421000,2174000,1649000,3955000,1466000,2286000,2122000,2152000,1568000,1325000,2223000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87814000,12237000,14578000,11739000,13055000,2357000,1223000,1623000,5712000,7807000,- -,1794000,2383000,2387000,2194000,3288000,- -,2352000,2691000
52,Other Current Liabilities,23200000,30400000,34500000,59400000,11700000,10300000,34200000,57800000,68500000,69500000,55600000,44000000,65400000,76600000,269500000,145900000,49029000,-25799000,34166000,33283000,14731000,12747000,23838000,14632000,20550000,12246000,7956000,19336000,32291000,14933000,17542000,15301000,15749000,17418000,11686000,30572000
53,Total Current Liabilities,23200000,30400000,34500000,59400000,46800000,52100000,132100000,176700000,152300000,169700000,165700000,163600000,159300000,145300000,367700000,246000000,129519000,150300000,130400000,145900000,101400000,101300000,80600000,48800000,78200000,61100000,71500000,64945000,80300000,74724000,75308000,76054000,85003000,74733000,54994000,105423000
54,Long-Term Debt,29500000,1000000,- -,- -,4300000,- -,250800000,230000000,230000000,230000000,170000000,255800000,464000000,478900000,261800000,259200000,280267000,259400000,263800000,259800000,202100000,236100000,204400000,182700000,166300000,168300000,114300000,97688000,92300000,91725000,107805000,111382000,113553000,105942000,84607000,77368000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4900000,5000000,4900000,6700000,4200000,4200000,17800000,34500000,- -,- -,32200000,- -,- -,- -,- -,- -,84712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,794000,1300000,2205000,90000,4991000,11457000,7663000,6847000,2549000,6686000
57,Other Non-Current Liabilities,- -,- -,100000,100000,- -,-100000,- -,- -,32400000,37700000,- -,50800000,79300000,95500000,102800000,91600000,- -,98700000,76400000,56100000,46200000,23600000,900000,500000,100000,8300000,6106000,5053000,9295000,12339000,12307000,11804000,5807000,11784000,15857000,7472000
58,Total Non-Current Liabilities,34400000,6000000,5000000,6800000,8500000,4100000,268600000,264500000,262400000,267700000,202200000,306600000,543300000,574400000,364600000,350800000,364979000,358100000,340200000,315900000,248300000,259700000,205300000,183200000,166400000,176600000,121200000,104041000,103800000,104154000,125103000,134643000,127023000,124573000,103013000,91526000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511000,- -,- -,- -,6845000,- -,- -,- -,65000,840000,3385000,- -,7060000,6996000,11118000,20415000,17363000
61,Total Liabilities,57600000,36400000,39500000,66200000,55300000,56200000,400700000,441200000,414700000,437400000,367900000,470200000,702600000,719700000,732300000,596800000,494498000,508400000,470600000,461800000,349700000,361000000,285900000,232000000,244600000,237700000,192700000,168986000,184100000,178878000,200411000,210697000,212026000,199306000,158007000,196949000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,7000000,6700000,- -,6100000,6200000,6000000,5500000,5400000,5385000,5300000,5200000,5200000,5200000,6100000,6100000,6200000,6000000,2000000,2000000,1921000,1800000,1801000,1785000,1823000,1835000,1846000,1845000,1849000
64,Retained Earnings,63500000,75600000,100400000,119100000,146400000,138300000,273600000,348800000,384600000,475100000,512300000,545100000,618100000,658400000,649400000,589400000,545435000,515600000,437500000,396400000,382100000,265800000,254500000,205500000,216200000,241300000,252800000,252112000,245700000,278331000,307065000,339940000,371753000,374668000,315724000,344797000
65,Other Comprehensive Income/Loss,-34000000,-41200000,-52100000,-66100000,-84300000,-96500000,-206000000,-272400000,-6200000,8800000,-477800000,-5400000,-21000000,-36400000,-65000000,-108400000,-691301000,-41164000,-40956000,-18296000,-5278000,4377000,19975000,3015000,10128000,23776000,28000,-5500000,-4619000,-26899000,-29751000,-32880000,-40533000,-43229000,-63806000,-53432000
66,Other Total Stockholders Equity,59300000,62300000,56100000,68300000,90300000,98600000,336600000,452800000,203100000,112900000,548700000,2700000,32900000,18100000,32500000,54100000,638521000,12000,157000,271000,931000,23654000,25094000,30254000,27568000,32579000,34695000,36375000,42134000,44261000,45932000,51923000,56726000,59560000,62392000,65205000
67,Total Stockholders Equity,88800000,96700000,104400000,121300000,152400000,140400000,404200000,529200000,588500000,603500000,583200000,548500000,636200000,646100000,622400000,540500000,498040000,479748000,401901000,383575000,382953000,299931000,305669000,244969000,259896000,299655000,289523000,284908000,285015000,297494000,325031000,360806000,389781000,392845000,316155000,358419000
68,Total Liabilities And Stockholders Equity,146400000,133100000,143900000,187500000,207700000,196600000,804900000,970400000,1003200000,1040900000,951100000,1018700000,1338800000,1365800000,1354700000,1137300000,992538000,988148000,872501000,845375000,732653000,660931000,591569000,476969000,504496000,537355000,482223000,453894000,469115000,476372000,525442000,571503000,601807000,592151000,474162000,555368000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,11159000,-48000,-1000,25000,-53000,-31000,-69000,-69000,4000,45000,-23000,1572000,-15000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,146400000,133100000,143900000,187500000,207700000,196600000,804900000,970400000,1003300000,1040900000,951100000,1018700000,1338800000,1365800000,1354700000,1137300000,1003697000,988100000,872500000,845400000,732600000,660900000,591500000,476900000,504500000,537400000,482200000,455466000,469100000,476372000,525442000,571503000,601807000,592151000,474162000,555368000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100726/000090660194000011/0000906601-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660195000012/0000906601-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660196000015/0000906601-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660197000006/0000906601-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/100726/000090660198000003/0000906601-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095016899002495/0000950168-99-002495-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095013100005477/0000950131-00-005477-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014401507120/0000950144-01-507120-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014402009873/0000950144-02-009873-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014403010968/0000950144-03-010968-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014404009181/0000950144-04-009181-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014405009800/g97237e10vk.htm,https://www.sec.gov/Archives/edgar/data/100726/000095014406008601/unifiinc.htm,https://www.sec.gov/Archives/edgar/data/100726/000095014407008447/0000950144-07-008447-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095014408007030/0000950144-08-007030-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095012309042629/0000950123-09-042629-index.html,https://www.sec.gov/Archives/edgar/data/100726/000095012310085111/0000950123-10-085111-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774911006738/0001437749-11-006738-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774912009028/0001437749-12-009028-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774913011848/0001437749-13-011848-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774914016793/0001437749-14-016793-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774915016818/0001437749-15-016818-index.html,https://www.sec.gov/Archives/edgar/data/100726/000143774916038127/ufi20160625_10k.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459017018240/0001564590-17-018240-index.html,https://www.sec.gov/Archives/edgar/data/100726/000156459018022208/0001564590-18-022208-index.html,https://www.sec.gov/Archives/edgar/data/100726/000156459019033600/ufi-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459020041350/0001564590-20-041350-index.htm,https://www.sec.gov/Archives/edgar/data/100726/000156459021045705/0001564590-21-045705-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,26400000,38300000,62600000,128100000,76500000,116200000,72500000,115700000,124300000,56300000,38000000,-44700000,-43925000,-27200000,-69800000,-41200000,-14400000,-116300000,-16200000,-49000000,10700000,25100000,11500000,16635000,28800000,42151000,34415000,32875000,31702000,2456000,-57237000,29073000
74,Depreciation and Amortization,- -,- -,- -,- -,18700000,17900000,37400000,56000000,70100000,75800000,81800000,87900000,69700000,89900000,90528000,90149000,78722000,73039000,64730000,52892000,49945000,44858000,41574000,32473000,27416000,25977000,27135000,24584000,17896000,18043000,17528000,20368000,22585000,23003000,23653000,25528000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,800000,6200000,6900000,7500000,-4800000,17200000,12200000,4600000,10692000,-1554000,4405000,-4698000,-27908000,-19785000,-7776000,-24095000,-15066000,360000,-652000,327000,-6933000,6010000,726000,-3796000,5983000,6886000,-5797000,423000,-4011000,-4630000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1425000,2124000,875000,- -,2287000,2690000,3148000,2501000,2983000,5823000,3258000,3999000,3462000
