,https://roic.ai/company/AMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744825/000095014903000733/f87890e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013404004283/f97562e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095014905000116/f07365e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013406006314/f18881e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013407007237/0000950134-07-007237-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095013408005643/f39302e10vk.htm,https://www.sec.gov/Archives/edgar/data/744825/000095013409006565/0000950134-09-006565-index.html,https://www.sec.gov/Archives/edgar/data/744825/000095012310030745/0000950123-10-030745-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420411018922/v216530_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420412018468/0001144204-12-018468-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420413018676/0001144204-13-018676-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420414019552/v371940_10k.htm,https://www.sec.gov/Archives/edgar/data/744825/000114420415020527/0001144204-15-020527-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420416091106/0001144204-16-091106-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420417016805/0001144204-17-016805-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420418017461/0001144204-18-017461-index.html,https://www.sec.gov/Archives/edgar/data/744825/000114420419016999/0001144204-19-016999-index.html,https://www.sec.gov/Archives/edgar/data/744825/000074482520000024/ams-20191231.htm,https://www.sec.gov/Archives/edgar/data/744825/000074482521000030/0000744825-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/744825/000143774922007687/0001437749-22-007687-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,1600000,3500000,26400000,10200000,3100000,1100000,1400000,1000000,1200000,500000,400000,17000,11114000,12903000,12421000,11580000,9924000,10312000,8121000,1298000,3952000,6340000,10286000,833000,1438000,2580000,1564000,1909000,1059000,2209000,2871000,2152000,1442000,1429000,3961000,8145000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,957000,4537000,1574000,2605000,- -,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2300000,1600000,3500000,26400000,10200000,3100000,1100000,1400000,1000000,1200000,500000,400000,17000,11114000,12903000,12421000,11580000,9924000,10312000,9078000,5835000,5526000,8945000,10286000,833000,1438000,2580000,10564000,1909000,1059000,2209000,2871000,2152000,1442000,1429000,3961000,8145000
34,Net Receivables,1500000,1300000,8300000,9500000,12100000,13500000,12000000,7500000,6100000,6800000,6500000,6500000,7130000,1332000,1226000,2207000,2369000,2571000,2467000,2950000,4019000,4350000,5136000,4450000,3877000,3801000,4762000,4107000,4665000,3323000,3145000,4375000,5235000,6878000,7063000,4575000,4824000
35,Inventory,- -,- -,1000000,1000000,800000,700000,700000,500000,300000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,400000,1100000,1100000,1200000,1200000,800000,1000000,700000,800000,1500000,900000,1359000,2511000,566000,623000,839000,926000,523000,644000,855000,1249000,768000,726000,9764000,9836000,10273000,1285000,1132000,9865000,653000,1142000,1506000,1626000,2250000,2314000,2118000
37,Total Current Assets,4200000,3300000,13900000,38000000,24300000,18500000,14600000,10400000,8100000,8900000,8600000,7800000,8506000,14957000,14695000,15251000,14788000,13421000,13302000,12672000,10709000,11125000,14849000,15462000,14474000,15075000,17615000,15956000,7706000,14247000,6007000,8388000,8893000,9946000,10742000,10850000,15087000
38,PP&E,8800000,7000000,14600000,13500000,37100000,42400000,49700000,41500000,37700000,32100000,19700000,23400000,20102000,11759000,22056000,24749000,27354000,31178000,32828000,34272000,34990000,34166000,44226000,43863000,43289000,47360000,53267000,53677000,51381000,50036000,47123000,51331000,48491000,46694000,41480000,31323000,28908000
