,https://roic.ai/company/AEL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,1004670,3095870,14618000,9453000,28951000,38945000,69541000,70894000,116925000,42839000,85306000,86164000,65266000,132914000,85989000,389332000,196064000,337314000,130247000,316271000,565742000,315565000,815961000,602747000
21,Income Before Tax Ratio,0.0265,0.0388,0.1275,0.0524,0.1035,0.0861,0.1399,0.1249,0.1277,0.0600,0.2496,0.0724,0.0508,0.1166,0.0661,0.1552,0.0912,0.1700,0.0777,0.1058,0.1927,0.1568,0.2197,0.1489
22,Income Tax expense (Gain),760483,1369835,2385000,333000,7299000,13505000,24257000,25402000,41440000,13863000,64531000,17634000,22333000,46666000,28191000,136049000,70041000,117484000,47004000,141626000,107726000,69475000,144501000,128755000
23,Net Income,244187,2443346,4784000,872000,14207000,25440000,45284000,42992000,75485000,28976000,20775000,68530000,42933000,86248000,57798000,253283000,126023000,219830000,83243000,174645000,458016000,246090000,671460000,473992000
24,Net Income ratio,0.0064,0.0306,0.0417,0.0048,0.0508,0.0563,0.0911,0.0757,0.0824,0.0406,0.0608,0.0576,0.0334,0.0757,0.0444,0.1009,0.0586,0.1108,0.0496,0.0584,0.1560,0.1223,0.1808,0.1171
25,EPS,0.02,0.17,0.33,0.05,0.87,1.45,1.19,1.09,1.34,0.51,0.88,1.22,0.73,1.45,0.94,3.86,1.69,2.78,0.98,1.96,5.07,2.70,6.93,5.15
26,EPS Diluted,0.02,0.14,0.26,0.05,0.80,1.21,1.08,1.09,1.34,0.50,0.85,1.18,0.68,1.37,0.89,3.38,1.58,2.72,0.97,1.93,5.01,2.68,6.90,5.13
27,Weighted Average Shares Outstanding,14651220,14096227,14496970,17440000,16329885,16407619,38053782,39333000,56243000,56760000,53750000,56138000,58507000,59482000,61259000,65544000,74431000,78937000,84793000,88982000,90348000,91139000,92055000,92055000
28,Weighted Average Shares Outstanding Diluted,14651220,17452471,18400000,17440000,17758750,19142222,41929630,42564000,59894681,59848000,56622000,58915000,64580000,63619000,65676000,75041000,79894000,80961000,85605000,90311000,91423000,91782000,92392000,92392000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1039828/000104596900000227/0001045969-00-000227-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205701505211/0000912057-01-505211-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205702012977/0000912057-02-012977-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746903010852/0001047469-03-010852-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746904006446/0001047469-04-006446-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746905006360/0001047469-05-006360-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000110465906016548/a06-3296_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000110465907018300/a07-2161_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746908002770/a2183488z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746909002726/0001047469-09-002726-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746910001956/0001047469-10-001956-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982811000007/ael10k123110.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982812000011/0001039828-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982813000035/0001039828-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982814000026/a2013-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982815000042/a2014-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982816000136/0001039828-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982817000020/0001039828-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982818000006/0001039828-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982819000009/0001039828-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982820000013/0001039828-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982821000018/0001039828-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982822000022/0001039828-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6000000,176000000,184000000,21163000,32598000,62664000,112395000,29949000,18888000,214862000,528002000,597766000,404952000,1268545000,897529000,701514000,397749000,791266000,1434045000,344396000,2293392000,9095522000,4508982000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24225558000,26618225000,32453007000,36429667000,41060494000,45372989000,45923727000,51580490000,47538893000,51305943000
33,Cash and Short-Term Investments,- -,6000000,176000000,184000000,21163000,32598000,62664000,112395000,29949000,18888000,214862000,528002000,597766000,404952000,25494103000,27515754000,33154521000,36827416000,41851760000,46807034000,46268123000,53873882000,56634415000,55814925000
34,Net Receivables,706164,19493965,47617000,30061000,22320000,30965000,16596000,1829000,4526000,24990000,- -,103684000,6134000,8441000,- -,- -,9252000,29599000,11474000,- -,26537000,- -,862000,166586000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,680417302,1636425156,2301139000,4174614000,5997108000,8924040000,- -,- -,- -,- -,- -,- -,- -,24603947000,-53422000,-7778000,3846158000,3473170000,4083373000,5356724000,3945963000,5769909000,-47539755000,- -
37,Total Current Assets,681123466,1661919121,2524756000,4388675000,6040591000,8987603000,- -,- -,- -,- -,- -,- -,- -,25017340000,25440681000,27507976000,37009931000,40330185000,45946607000,52163758000,50240623000,59643791000,9095522000,- -
38,PP&E,1242228,1346325,1032000,1622000,1675000,1574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,646142,2238004,2338000,2148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,646142,2238004,2338000,2148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,4919660000,5466723000,6842119000,4273529000,4222541000,5096184000,10332747000,12432300000,16718824000,21171160000,24301646000,26694480000,32529439000,36506289000,41137319000,45450030000,45923727000,51580490000,47538893000,51305943000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-4919660000,-5466723000,- -,- -,- -,- -,- -,- -,- -,-15313781000,-14608849000,-14580957000,-25549636000,-27795311000,-31030454000,-35583052000,-34538786000,-41527729000,- -,- -
45,Total Non-Current Assets,1888370,3584329,3370000,3770000,1675000,1574000,- -,- -,- -,- -,- -,- -,- -,5857379000,9692797000,12113523000,6979803000,8710978000,10106865000,9866978000,11384941000,10052761000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,11114066000,14042794000,14990123000,16394372000,17087813000,21312004000,26426763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,62294152000,78349109000
47,Total Assets,683011836,1665503450,2528126000,4392445000,6042266000,8989177000,11114066000,14042794000,14990123000,16394372000,17087813000,21312004000,26426763000,30874719000,35133478000,39621499000,43989734000,49041163000,56053472000,62030736000,61625564000,69696552000,71389674000,78349109000
48,Accounts Payable,- -,- -,80028000,69597000,44708000,63152000,67767000,27677000,45504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,49000000,86968750,110000000,- -,241731000,108790000,264875000,396697000,385973000,257225000,258462000,316468000,330835000,297608000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,8187000,- -,6620000,- -,- -,- -,14133000,- -,- -,- -,4756000,10153000,- -,- -,- -,34285000,- -,429000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564003000,- -
52,Other Current Liabilities,- -,1523031250,2234972000,4233403000,5635561000,8405058000,9992358000,12586626000,13428523000,14988775000,15810538000,19655532000,24559165000,28602392000,32857000000,37441000000,41181936000,46450178000,53026269000,58443921000,58488890000,64474052000,495668000,- -
53,Total Current Liabilities,49000000,1610000000,2425000000,4303000000,5922000000,8577000000,10325000000,13011000000,13860000000,15246000000,16069000000,19972000000,24890000000,28900000000,32857000000,37441000000,41181936000,46450178000,53026269000,58443921000,58488890000,64474052000,1059671000,- -
54,Long-Term Debt,10000000,20600000,44000000,46667000,43333000,148258000,433576000,511701000,534872000,536669000,268209000,268347000,599270000,268593000,555738000,796008000,667922000,646450000,735608000,736658000,737573000,652381000,573780000,574671000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49303000,- -,3895000,- -,- -,- -,- -,177897000,564003000,541972000
57,Other Non-Current Liabilities,- -,400000,- -,333000,-333000,-258000,23424000,299000,128000,331000,258791000,316653000,-270000,297407000,-49041000,-8000,-3895000,-11771000,- -,- -,- -,-177897000,- -,- -
58,Total Non-Current Liabilities,10000000,21000000,44000000,47000000,43000000,148000000,457000000,512000000,535000000,537000000,527000000,585000000,599000000,566000000,556000000,796000000,667922000,634679000,735608000,736658000,737573000,652381000,1137783000,1116643000
59,Other Liabilities,577881315,42179159,88474000,- -,- -,296461000,924562000,1024436000,1070057000,- -,- -,1170381000,- -,1132040000,1112241000,- -,- -,1281129000,- -,- -,- -,- -,64893070000,73142625000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,616881315,1631179159,2469474000,4349878000,5864302000,8725461000,10792562000,13523436000,14395057000,15782737000,16595608000,20557381000,25488716000,29466040000,33413241000,38236812000,41849858000,47096628000,53761877000,59180579000,59226463000,65126433000,64814958000,72025982000
62,Preferred Stock,- -,- -,- -,- -,625000,625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,28000,28000
63,Common Stock,4581962,4712310,14530000,14517000,14438000,35294000,38360000,55527000,53501000,46775000,50739000,56203000,56968000,57837000,61751000,70535000,76062000,81354000,88001000,89331000,90369000,91107000,95721000,92514000
64,Retained Earnings,-4279593,-1836247,2796000,3504000,17548000,42103000,86620000,112030000,190690000,216487000,233751000,312330000,349620000,428952000,477547000,718187000,829195000,1031151000,1093284000,1244781000,1549978000,1768764000,2368555000,2767422000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-11944000,-22742000,-19269000,-27306000,-38769000,-38929000,-147376000,-30456000,81820000,457229000,686807000,46196000,721401000,201663000,339966000,724599000,-52432000,1497921000,2429285000,1848789000
66,Other Total Stockholders Equity,65828152,31448228,41326000,24546000,56811000,208436000,215793000,379107000,389644000,387302000,355091000,416546000,449639000,464661000,494132000,549769000,513218000,630367000,770344000,791446000,811186000,1212311000,1681127000,1614374000
67,Total Stockholders Equity,66130521,34324291,58652000,42567000,77478000,263716000,321504000,519358000,595066000,611635000,492205000,754623000,938047000,1408679000,1720237000,1384687000,2139876000,1944535000,2291595000,2850157000,2399101000,4570119000,6574716000,6323127000
68,Total Liabilities And Stockholders Equity,683011836,1665503450,2528126000,4392445000,5941780000,8989177000,11114066000,14042794000,14990123000,16394372000,17087813000,21312004000,26426763000,30874719000,35133478000,39621499000,43989734000,49041163000,56053472000,62030736000,61625564000,69696552000,71389674000,78349109000
69,Minority Interest,- -,- -,- -,- -,100486000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,683011836,1665503450,2528126000,4392445000,6042266000,8989177000,11114066000,14042794000,14990123000,16394372000,17087813000,21312004000,26426763000,30874719000,35133478000,39621499000,43989734000,49041163000,56053472000,62030736000,61625564000,69696552000,71389674000,78349109000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1039828/000104596900000227/0001045969-00-000227-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205701505211/0000912057-01-505211-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205702012977/0000912057-02-012977-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746903010852/0001047469-03-010852-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746904006446/0001047469-04-006446-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746905006360/0001047469-05-006360-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000110465906016548/a06-3296_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000110465907018300/a07-2161_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746908002770/a2183488z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746909002726/0001047469-09-002726-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746910001956/0001047469-10-001956-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982811000007/ael10k123110.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982812000011/0001039828-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982813000035/0001039828-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982814000026/a2013-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982815000042/a2014-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982816000136/0001039828-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982817000020/0001039828-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982818000006/0001039828-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982819000009/0001039828-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982820000013/0001039828-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982821000018/0001039828-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982822000022/0001039828-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,244187,2443346,4784000,872000,14207000,25440000,45284000,42992000,75485000,28976000,20775000,68530000,42933000,86248000,57798000,253283000,126023000,219830000,83243000,174645000,458016000,246090000,671460000,473992000
74,Depreciation and Amortization,3672039,10923792,8574000,23040000,-93679000,-98967000,-69724000,-118352000,-147136000,-184843000,129196000,93913000,- -,- -,18404000,18375000,9490000,4610000,3879000,3948000,3474000,4068000,5199000,5527000
75,Deferred Income Tax,-4550597,-15558491,-2840000,-5794000,-11091000,-2307000,-13600000,-31990000,21296000,-1890000,48500000,-56150000,-118048000,-80869000,-52336000,3013000,-46504000,41916000,-10408000,-46730000,-12563000,56947000,141071000,128423000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3291000,4630000,11993000,9339000,6552000,10476000,3544000,7373000,6692000,6464000,11097000,11295000,10215000,24601000
77,Change in Working Capital,6171676,-629204345,47836879,-14081000,32916000,292012000,-10735603000,-2686000000,-849000000,-1386000000,-823000000,-3903000000,-4918000000,21007340000,-3533659000,-2516705000,5761019000,-1947988000,-959669000,799499000,-1968104000,3418006000,12866112000,2670087000
78,Accounts Receivable,- -,- -,- -,- -,-5587000,264000,-4066000,-25096000,-14954000,-7205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,13322000,56835000,80610000,91594000,-42840000,-18452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,681123466,51919121,99756000,85675000,118591000,410603000,-10325000000,-13011000000,-13860000000,-15246000000,-16069000000,-19972000000,-24890000000,-3882660000,-7416319000,-9933024000,-4172005000,-6119993000,-7079662000,-6280163000,-8248267000,-4830261000,8035851000,-179062000
82,Other Non-Cash Items,-21731564,569859426,-103067879,-21787000,28865000,-108286000,10881961000,2775753000,956412000,1627058000,844478000,4308628000,5401597000,-20744267000,4287555000,3094226000,-5145786000,2179063000,2290585000,984567000,1551265000,-385004000,-12389071000,930534000
83,Cash Provided by Operating Activities,-16194259,-61536272,-44713000,-17750000,-28782000,107892000,108318000,-17597000,57057000,83301000,223240000,516551000,420475000,277791000,784314000,862668000,707786000,504804000,1414322000,1922393000,43185000,3351402000,1304986000,4233164000
84,CAPEX,-625567,-877023,-424000,-1370000,-914000,-829000,-2901000,-5010000,-378000,-697000,-341000,-2971000,-5318000,-5265000,-738000,-948000,-1352000,-1313000,-1197000,-4809000,-4283000,-4022000,-13240000,-18109000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-614378466,-1087233200,-1169296000,-3418389000,-5183426000,-3907582000,-4259099000,-3654468000,-776168000,-1850270000,-4027419000,-7006401000,-10221460000,-7761895000,-8732853000,-8410510000,-5756625000,-7858088000,-7497803000,-6023643000,-7802516000,-6943438000,-3265372000,-11466917000
87,Sales/Maturities of Investments,222745031,310211512,637612000,1742710000,3550905000,3188960000,2751891000,3292610000,444991000,892684000,3514512000,5134881000,7281886000,4436266000,6447397000,4498875000,2683945000,2269380000,3045025000,3620510000,5675735000,4397255000,9156160000,7120532000
88,Other Investing Activites,2094619,- -,- -,- -,- -,- -,- -,-1992757000,-286156000,- -,-375949000,-139239000,-171496000,-274939000,156704000,33287000,126283000,12816000,-45070000,-183994000,-277267000,-504681000,-742944000,-1859813000
89,Cash Used for Investing Activites,-390164383,-777898711,-532108000,-1677049000,-1633435000,-719451000,-1510109000,-2359625000,-617711000,-958283000,-889197000,-2013730000,-3116388000,-3605833000,-2129490000,-3879296000,-2947749000,-5577205000,-4499045000,-2591936000,-2408331000,-3054886000,5134604000,-6224307000
90,Debt Repayment,- -,- -,- -,-113333000,-13334000,-11500000,-31833000,-6958000,-4095000,- -,-65479000,-4110000,-156641000,-46251000,-1141000,-234154000,-219094000,-48152000,- -,-513252000,- -,-88160000,-81450000,- -
91,Common Stock Issued,1282480,1511840,1956000,39000,994000,180579000,7313000,180321000,2424000,353000,219000,1061000,6124000,4686000,5741000,31764000,13681000,112481000,139654000,14028000,9681000,1691000,338061000,4854000
92,Common Stock Repurchased,- -,- -,-619000,-177000,-917000,-9314000,- -,- -,-12960000,-14154000,-27065000,-34000,-1224000,-484000,- -,- -,- -,-16000,- -,- -,- -,- -,-165094000,-99415000
93,Dividends Paid,- -,-106746,-152000,-164000,-163000,-352000,-767000,-1621000,-2673000,-3179000,-3511000,-4457000,-5643000,-6916000,-9203000,-12643000,-15015000,-17874000,-21110000,-23148000,-25265000,-27304000,-62374000,-75125000
94,Other Financing Activites,413248112,828019625,745478000,1816840000,1512670000,463581000,1457144000,2251333000,495512000,880901000,957767000,1817859000,2923061000,3184193000,2213372000,2860645000,2264376000,4722197000,3359696000,1834694000,1291081000,1766253000,333397000,-2425711000
95,Cash Used/Provided by Financing Activities,414530592,829424719,746663000,1703205000,1499250000,622994000,1431857000,2423075000,478208000,863921000,861931000,1810319000,2765677000,3135228000,2208769000,2645612000,2043948000,4768636000,3478240000,1312322000,1275497000,1652480000,362540000,-2595397000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8171950,-10010264,169842000,8406000,-162967000,11435000,30066000,45853000,-82446000,-11061000,195974000,313140000,69764000,-192814000,863593000,-371016000,-196015000,-303765000,393517000,642779000,-1089649000,1948996000,6802130000,-4586540000
98,Cash at the End of Period,15891779,5881515,175724000,184130000,21163000,32598000,62664000,112395000,29949000,18888000,214862000,528002000,597766000,404952000,1268545000,897529000,701514000,397749000,791266000,1434045000,344396000,2293392000,9095522000,4508982000
99,Cash at the Beginning of Period,7719829,15891779,5882000,175724000,184130000,21163000,32598000,66542000,112395000,29949000,18888000,214862000,528002000,597766000,404952000,1268545000,897529000,701514000,397749000,791266000,1434045000,344396000,2293392000,9095522000
100,Free Cash Flow,-16819826,-62413295,-45137000,-19120000,-29696000,107063000,105417000,-22607000,56679000,82604000,222899000,513580000,415157000,272526000,783576000,861720000,706434000,503491000,1413125000,1917584000,38902000,3347380000,1291746000,4215055000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1039828/000104596900000227/0001045969-00-000227-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205701505211/0000912057-01-505211-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000091205702012977/0000912057-02-012977-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746903010852/0001047469-03-010852-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746904006446/0001047469-04-006446-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746905006360/0001047469-05-006360-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000110465906016548/a06-3296_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000110465907018300/a07-2161_110k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746908002770/a2183488z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000104746909002726/0001047469-09-002726-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000104746910001956/0001047469-10-001956-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982811000007/ael10k123110.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982812000011/0001039828-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982813000035/0001039828-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982814000026/a2013-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982815000042/a2014-12x31_ael10k.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982816000136/0001039828-16-000136-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982817000020/0001039828-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982818000006/0001039828-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982819000009/0001039828-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982820000013/0001039828-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1039828/000103982821000018/0001039828-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1039828/000103982822000022/0001039828-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
