,https://roic.ai/company/AL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,20692000,92742000,193263000,323359000,461967000,667060000,517795000,643767000,749495000,916404000,1013270000
57,Other Non-Current Liabilities,101236000,258137000,412223000,569847000,698172000,853330000,856335000,856140000,990578000,1097061000,1072704000,1173831000
58,Total Non-Current Liabilities,1021255000,2907645000,4930834000,6677947000,7811770000,9119203000,10336654000,11177540000,13292776000,15569114000,18650361000,19209581000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1051347000,2988310000,5021003000,6809170000,8002722000,9335186000,10593429000,11486722000,13674908000,16085611000,19142834000,19960154000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,106000
63,Common Stock,654000,1002000,1009000,1009000,1010000,1010000,1010000,1036000,1110000,1134000,1139000,1140000
64,Retained Earnings,-52040000,1192000,133111000,312859000,555573000,791526000,1143311000,1866342000,2331552000,2846106000,3277599000,3609885000
65,Other Comprehensive Income/Loss,- -,- -,-347035000,-621180000,-878617000,-1213323000,-1555605000,-1819790000,-2278214000,-1397000,325000,-1808000
66,Other Total Stockholders Equity,- -,2174089000,2545536000,2830746000,3094096000,3440699000,3793471000,4079854000,4752452000,2777601000,2793178000,3399245000
67,Total Stockholders Equity,1224935000,2176283000,2332621000,2523434000,2772062000,3019912000,3382187000,4127442000,4806900000,5623544000,6072341000,7008568000
68,Total Liabilities And Stockholders Equity,2276282000,5164593000,7353624000,9332604000,10774784000,12355098000,13975616000,15614164000,18481808000,21709155000,25215175000,26968722000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2276282000,5164593000,7353624000,9332604000,10774784000,12355098000,13975616000,15614164000,18481808000,21709155000,25215175000,26968722000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1487712/000104746913001939/0001047469-13-001939-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000104746914001481/a2218512z10-k.htm,https://www.sec.gov/Archives/edgar/data/1487712/000104746915001288/a2223178z10-k.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837016003544/0001558370-16-003544-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837017000879/0001558370-17-000879-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837018000933/0001558370-18-000933-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837019000845/0001558370-19-000845-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837020000836/0001558370-20-000836-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837021001372/0001558370-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1487712/000162828022003016/0001628280-22-003016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,53232000,131919000,190411000,255998000,253391000,374925000,756152000,510835000,587121000,516264000,436632000
74,Depreciation and Amortization,- -,112307000,216219000,280037000,336657000,397760000,452682000,508352000,581985000,702810000,780691000,882562000
75,Deferred Income Tax,- -,29567000,72050000,102636000,137107000,138608000,205313000,-146622000,129303000,92049000,166467000,97446000
76,Stock Based Compensation,- -,39342000,31688000,21614000,16048000,17022000,16941000,19804000,17478000,20745000,17628000,26516000
77,Change in Working Capital,- -,19888000,407341000,509335000,22497000,-224743000,296976000,237095000,181457000,-362076000,-99885000,-117378000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,19347000,25797000,39507000,45738000,16635000,45983000,50832000,51175000,139337000,-22810000,63112000
81,Other Working Capital,- -,297297000,704638000,1213973000,1236470000,1011727000,1308703000,1545798000,1727255000,1365179000,1265294000,-4099000
82,Other Non-Cash Items,- -,12830000,-368188000,-449820000,711000,257757000,-326759000,-315068000,-166957000,351823000,-290979000,51058000
83,Cash Provided by Operating Activities,- -,267166000,491029000,654213000,769018000,839795000,1020078000,1059713000,1254101000,1392472000,1090186000,1376836000
84,CAPEX,- -,-2977156000,-2392414000,-2283642000,-2409506000,-2905548000,-2993556000,-2923440000,-3776192000,-4839322000,-2678223000,-3232667000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,47490000,97748000,603849000,752747000,988040000,779489000,391372000,995345000,151132000,137887000
89,Cash Used for Investing Activites,- -,-2977156000,-2344924000,-2185894000,-1805657000,-2152801000,-2005516000,-2143951000,-3384820000,-3843977000,-2527091000,-3094780000
90,Debt Repayment,- -,-84796000,-432129000,-531831000,-577212000,-328248000,-1093910000,-1303499000,-1270505000,-978369000,-1748029000,-3194482000
91,Common Stock Issued,- -,867230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5780000
93,Dividends Paid,- -,- -,- -,-7608000,-12243000,-16405000,-20555000,-30933000,-41563000,-69984000,-83558000,-101474000
94,Other Financing Activites,- -,1880540000,2234308000,2111204000,1638740000,1531515000,2218030000,2436072000,3457503000,3514921000,4688198000,4370205000
95,Cash Used/Provided by Financing Activities,- -,2662974000,1802179000,1571765000,1049285000,1186862000,1103565000,1101640000,2145435000,2466568000,2856611000,1068469000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-47016000,-51716000,40084000,12646000,-126144000,118127000,17402000,14716000,15063000,1419706000,-649475000
98,Cash at the End of Period,- -,281805000,230089000,270173000,282819000,156675000,274802000,292204000,322998000,338061000,1757767000,1108292000
99,Cash at the Beginning of Period,- -,328821000,281805000,230089000,270173000,282819000,156675000,274802000,308282000,322998000,338061000,1757767000
100,Free Cash Flow,- -,-2709990000,-1901385000,-1629429000,-1640488000,-2065753000,-1973478000,-1863727000,-2522091000,-3446850000,-1588037000,-1855831000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1487712/000104746913001939/0001047469-13-001939-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000104746914001481/a2218512z10-k.htm,https://www.sec.gov/Archives/edgar/data/1487712/000104746915001288/a2223178z10-k.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837016003544/0001558370-16-003544-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837017000879/0001558370-17-000879-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837018000933/0001558370-18-000933-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837019000845/0001558370-19-000845-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837020000836/0001558370-20-000836-index.html,https://www.sec.gov/Archives/edgar/data/1487712/000155837021001372/0001558370-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1487712/000162828022003016/0001628280-22-003016-index.htm
102,false,,,,,,,,,,,,
