,https://roic.ai/company/AZN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,6043362525,6083230418,5090015622,5548488255,5811172084,5887261265,7315820119,6774449514,7174039339,13622829041,13642609631,17576792642,9315000000,10269000000,15961000000,12092000000,12700000000,15046000000,15859000000,15486000000,16098000000,17030000000,14432000000,16771000000,18148000000,16930000000,15304000000,15855000000,15644000000,17761000000,17624000000,25645000000
11,COGS and Expenses,6043362525,6083230418,5090015622,5548488255,5811172084,5887261265,7315820119,6774449514,7174039339,13622829041,13642609631,17576792642,13835000000,14738000000,21111000000,17448000000,18259000000,21465000000,22457000000,21261000000,22487000000,23056000000,19825000000,22032000000,23990000000,21576000000,19430000000,20173000000,20580000000,22682000000,22923000000,38082000000
12,Interest Income ,40507696,54264436,42467353,50292882,28141269,40175536,71925198,76043113,36517553,164918468,268849325,284132223,31015543,91000000,532000000,665000000,888000000,959000000,854000000,462000000,516000000,552000000,528000000,32000000,33000000,36000000,59000000,29000000,138000000,165000000,83000000,43000000
13,Interest Expense (Gain),389645461,392949366,283621252,202650731,117255288,95803202,109600301,100839780,106232882,166917950,131437448,134807259,- -,- -,454000000,500000000,561000000,1070000000,1317000000,1198000000,1022000000,980000000,933000000,492000000,963000000,1039000000,1367000000,713000000,1366000000,1402000000,1272000000,1276000000
14,Depreciation and Amortization,300914317,291905243,242670590,254422815,276722480,299771308,371613522,357072010,408332642,997508736,929023778,1165564303,960000000,1290000000,1268000000,1327000000,1345000000,1856000000,2620000000,2087000000,2741000000,2550000000,2518000000,4583000000,3282000000,2852000000,2357000000,3036000000,3753000000,3762000000,3149000000,6530000000
15,EBITDA,1350256549,1642902586,662794049,1374179043,1414880478,1328883120,2130355858,2235006282,2247489418,3121463699,4900525750,7115749328,4973000000,5469000000,6856000000,8476000000,10429000000,10877000000,12589000000,14069000000,14712000000,15864000000,11139000000,8327000000,5489000000,6959000000,7369000000,6109000000,7217000000,6820000000,8389000000,7538000000
16,EBITDA ratio,0.1837,0.2235,0.1098,0.2092,0.2020,0.1756,0.2320,0.2603,0.2457,0.1693,0.2705,0.3019,0.2787,0.2901,0.3200,0.3539,0.3939,0.3680,0.3984,0.4289,0.4422,0.4723,0.3982,0.3239,0.2103,0.2816,0.3204,0.2719,0.3267,0.2797,0.3152,0.2015
17,Operating Income,1157362756,1276149845,429223606,1041358499,1030283132,1280981519,1786142412,1790319381,1820898000,2673684807,3665312463,5655683013,4006000000,4111000000,315000000,6502000000,8216000000,8094000000,9144000000,11543000000,11494000000,12795000000,8148000000,3712000000,2137000000,4114000000,4902000000,3677000000,3387000000,2924000000,5162000000,1056000000
18,Operating Income ratio,0.1575,0.1736,0.0711,0.1586,0.1471,0.1693,0.1945,0.2085,0.1991,0.1450,0.2023,0.2399,0.2245,0.2181,0.0147,0.2715,0.3103,0.2738,0.2894,0.3519,0.3455,0.3809,0.2913,0.1444,0.0819,0.1665,0.2131,0.1637,0.1533,0.1199,0.1939,0.0282
19,Total Other Income Expenses (Gains),-474518730,-282549306,-274521105,-105023371,- -,-324494715,-116450320,-3306222,-86314217,-715648052,185207313,176286416,357000000,68000000,4551000000,165000000,327000000,-111000000,-463000000,-736000000,-517000000,-428000000,-430000000,-445000000,-891000000,-1045000000,-1350000000,-1450000000,-1394000000,-1376000000,-1246000000,-1321000000
20,Income Before Tax,682844026,993600539,154702501,936335128,1030283132,956486804,1669692092,1787013159,1734583783,1958036754,3850519775,5831969429,4363000000,4179000000,4866000000,6667000000,8543000000,7983000000,8681000000,10807000000,10977000000,12367000000,7718000000,3267000000,1246000000,3069000000,3552000000,2227000000,1993000000,1548000000,3916000000,-265000000
21,Income Before Tax Ratio,0.0929,0.1351,0.0256,0.1426,0.1471,0.1264,0.1818,0.2081,0.1897,0.1062,0.2125,0.2474,0.2445,0.2217,0.2271,0.2784,0.3227,0.2701,0.2747,0.3294,0.3299,0.3682,0.2759,0.1271,0.0477,0.1242,0.1544,0.0991,0.0902,0.0635,0.1471,-0.0071
22,Income Tax expense (Gain),231472551,312488305,15166912,279569256,328314807,414117065,548001507,570323349,547763300,814599780,1299438404,1659166267,1177000000,1143000000,1321000000,1943000000,2480000000,2356000000,2551000000,3263000000,2896000000,2351000000,1391000000,696000000,11000000,243000000,146000000,-641000000,-57000000,321000000,772000000,-380000000
23,Net Income,428224220,645559672,121335295,637536240,692587902,519191545,1101140528,1206771143,1185160594,1142437233,2540626120,4156211499,2836000000,3036000000,3813000000,4706000000,6043000000,5595000000,6101000000,7521000000,8053000000,9983000000,6297000000,2556000000,1233000000,2825000000,3499000000,3001000000,2155000000,1335000000,3196000000,112000000
24,Net Income ratio,0.0583,0.0878,0.0201,0.0971,0.0989,0.0686,0.1199,0.1405,0.1296,0.0620,0.1402,0.1763,0.1590,0.1611,0.1780,0.1965,0.2283,0.1893,0.1931,0.2293,0.2421,0.2972,0.2251,0.0994,0.0473,0.1143,0.1521,0.1336,0.0976,0.0547,0.1201,0.0030
25,EPS,0.30,0.45,0.08,0.37,0.37,0.28,0.58,0.64,0.62,0.32,0.72,1.21,0.82,89.00,109.00,1.46,1.93,1.87,2.10,2.60,2.80,3.67,2.50,1.02,0.49,1.11,1.39,1.19,0.85,0.52,1.22,0.04
26,EPS Diluted,0.30,0.45,0.08,0.37,0.37,0.28,0.58,0.63,0.62,0.32,0.72,1.21,0.82,89.00,109.00,1.46,1.93,1.86,2.10,2.60,2.79,3.65,2.46,1.02,0.49,1.11,1.38,1.19,0.85,0.52,1.22,0.04
27,Weighted Average Shares Outstanding,1433180784,1433180784,1433180784,1700000000,1892000000,1892000000,1894000000,1896000000,1900000000,3552000000,3536000000,3516000000,3466000000,3418000000,3346000000,3234000000,3128000000,2990000000,2906000000,2896000000,2876000000,2722000000,2522000000,2504000000,2524000000,2528000000,2530000000,2532000000,2534000000,2602000000,2624000000,2624000000
28,Weighted Average Shares Outstanding Diluted,1433180784,1433180784,1433180784,1700000000,1892000000,1892000000,1894000000,1902000000,1908000000,3552000000,3536000000,3516000000,3470000000,3418000000,3346000000,3236000000,3140000000,2996000000,2906000000,2900000000,2892000000,2734000000,2528000000,2508000000,2528000000,2530000000,2532000000,2534000000,2534000000,2602000000,2626000000,2626000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/901832/000095010304000383/0000950103-04-000383-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010305000478/0000950103-05-000478-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010306000565/0000950103-06-000565-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010307000768/0000950103-07-000768-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010308000636/0000950103-08-000636-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010309000555/0000950103-09-000555-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010310000863/0000950103-10-000863-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010311001574/0000950103-11-001574-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010312001564/0000950103-12-001564-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010313001915/0000950103-13-001915-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010314001994/0000950103-14-001994-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010315001933/0000950103-15-001933-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010316011733/0000950103-16-011733-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010317002275/0000950103-17-002275-index.htm,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726000000,733000000,1055000000,545000000,7103000000,5867000000,4286000000,9918000000,11068000000,7571000000,7701000000,9098000000,6246000000,6130000000,4927000000,3231000000,4745000000,5369000000,7832000000,6329000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3962000000,3218000000,4091000000,6058000000,581000000,91000000,388000000,1508000000,1482000000,4248000000,823000000,796000000,795000000,613000000,884000000,1230000000,809000000,811000000,118000000,69000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4688000000,3951000000,5146000000,6603000000,7684000000,5958000000,4674000000,11426000000,12550000000,11819000000,8524000000,9894000000,7041000000,6743000000,5811000000,4461000000,5554000000,6180000000,7950000000,6398000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2593000000,3022000000,3020000000,2206000000,2250000000,2119000000,1636000000,1750000000,1682000000,1852000000,2061000000,1909000000,1960000000,2143000000,2334000000,3035000000,2890000000,3193000000,4024000000,8983000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4845000000,5960000000,6274000000,4961000000,7002000000,9005000000,9842000000,10584000000,10899000000,9835000000,8463000000,8532000000,7696000000,7121000000,5117000000,5654000000,7147000000,6190000000,7570000000,10863000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12126000000,12933000000,14440000000,13770000000,16936000000,17082000000,16152000000,23760000000,25131000000,23506000000,19048000000,20335000000,16697000000,16007000000,13262000000,13150000000,15591000000,15563000000,19544000000,26244000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6597000000,7536000000,8083000000,6985000000,7453000000,8298000000,7043000000,7307000000,6957000000,6425000000,6089000000,5818000000,6010000000,6413000000,6848000000,7615000000,7421000000,8335000000,8917000000,10171000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097000000,9884000000,9874000000,9889000000,9871000000,9862000000,9898000000,9981000000,11550000000,11868000000,11658000000,11825000000,11707000000,11668000000,11845000000,19997000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2807000000,2884000000,2826000000,2712000000,3107000000,11467000000,12323000000,12226000000,12158000000,10980000000,16448000000,16047000000,20981000000,22646000000,27586000000,26188000000,21959000000,20833000000,20947000000,42387000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2807000000,2884000000,2826000000,2712000000,4204000000,21351000000,22197000000,22115000000,22029000000,20842000000,26346000000,26028000000,32531000000,34514000000,39244000000,38013000000,33666000000,32501000000,32792000000,62384000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3915977611,-2998000000,-3829000000,-5802000000,-462000000,91000000,-232000000,-1324000000,-1271000000,-4047000000,-624000000,-515000000,-234000000,-70000000,-58000000,-194000000,113000000,648000000,1029000000,1168000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000000,1220000000,1044000000,1236000000,1292000000,1475000000,1514000000,1111000000,1205000000,1219000000,1294000000,1102000000,2189000000,2379000000,2718000000,3438000000,4330000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3961977611,3218000000,4096000000,6058000000,581000000,91000000,388000000,1770000000,1806000000,4590000000,1564000000,3028000000,2372000000,1966000000,2128000000,2581000000,1481000000,1612000000,1009000000,1066000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9450000000,10640000000,11176000000,11070000000,12996000000,30875000000,30632000000,31160000000,30996000000,29324000000,34486000000,35564000000,41898000000,44117000000,49264000000,50204000000,45060000000,45814000000,47185000000,79119000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21576000000,23573000000,25616000000,24840000000,29932000000,47957000000,46784000000,54920000000,56127000000,52830000000,53534000000,55899000000,58595000000,60124000000,62526000000,63354000000,60651000000,61377000000,66729000000,105363000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3171000000,3086000000,3125000000,3161000000,3482000000,3497000000,3903000000,8687000000,2580000000,2155000000,2680000000,2499000000,3492000000,3469000000,2990000000,3611000000,1720000000,1774000000,2350000000,2824000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000000,152000000,142000000,90000000,136000000,4280000000,993000000,1926000000,125000000,1990000000,901000000,1788000000,2446000000,916000000,2307000000,2247000000,1754000000,2010000000,2386000000,1893000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1283000000,2977000000,3552000000,4549000000,5728000000,6898000000,3390000000,2862000000,3283000000,2555000000,1690000000,1620000000,1593000000,1368000000,1684000000,1517000000,1379000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4528000000,4457000000,4515000000,3588000000,5829000000,7410000000,8424000000,7027000000,14082000000,11607000000,10322000000,11764000000,11392000000,10484000000,9959000000,10525000000,12818000000,14333000000,15571000000,17877000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8215000000,7695000000,7782000000,6839000000,9447000000,15187000000,13320000000,17640000000,16787000000,15752000000,13903000000,16051000000,17330000000,14869000000,15256000000,16383000000,16292000000,18117000000,20307000000,22594000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328000000,303000000,1030000000,1111000000,1087000000,10876000000,10855000000,244000000,9097000000,7338000000,9409000000,8516000000,8337000000,14109000000,14495000000,15560000000,17359000000,15730000000,17505000000,28888000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,50000000,38000000,26000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1210000000,1590000000,1581000000,1112000000,1559000000,4119000000,3126000000,3247000000,3145000000,2735000000,2576000000,2827000000,1796000000,2733000000,3956000000,3995000000,3286000000,2490000000,2918000000,6206000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000000,728000000,704000000,2087000000,2423000000,2860000000,3423000000,12968000000,3688000000,3533000000,3694000000,5252000000,11486000000,9904000000,12150000000,10774000000,9592000000,10394000000,10323000000,8362000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2135000000,2621000000,3315000000,4310000000,5069000000,17855000000,17404000000,16459000000,15930000000,13606000000,15679000000,16595000000,21619000000,26746000000,30601000000,30329000000,30315000000,28664000000,30784000000,43482000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,102000000,108000000,95000000,93000000,5000000,- -,675000000,681000000,987000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10350000000,10316000000,11097000000,11149000000,14516000000,33042000000,30724000000,34099000000,32717000000,29358000000,29582000000,32646000000,38949000000,41615000000,45857000000,46712000000,46607000000,46781000000,51091000000,66076000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429000000,423000000,411000000,395000000,383000000,364000000,362000000,363000000,352000000,323000000,312000000,315000000,316000000,316000000,316000000,317000000,317000000,328000000,328000000,387000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8451000000,10449000000,11606000000,10679000000,11348000000,10624000000,11572000000,16198000000,18272000000,17894000000,17961000000,16960000000,13029000000,11834000000,8140000000,8221000000,5683000000,2812000000,5299000000,1710000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4446000000,-5504000000,-6545000000,-6020000000,-7455000000,-8537000000,-7571000000,-7861000000,-8626000000,-8885000000,-8982000000,-9089000000,-7734000000,-7435000000,-6603000000,-7024000000,-7218000000,-7517000000,-8193000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6738000000,7810000000,8946000000,8543000000,11028000000,12327000000,11549000000,11960000000,13215000000,13914000000,14446000000,15038000000,14016000000,13775000000,13001000000,13446000000,13686000000,17504000000,18188000000,37171000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11172000000,13178000000,14418000000,13597000000,15304000000,14778000000,15912000000,20660000000,23213000000,23246000000,23737000000,23224000000,19627000000,18490000000,14854000000,14960000000,12468000000,13127000000,15622000000,39268000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21522000000,23494000000,25515000000,24746000000,29820000000,47820000000,46636000000,54759000000,55930000000,52604000000,53319000000,55870000000,58576000000,60105000000,60711000000,61672000000,59075000000,59908000000,66713000000,105344000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,79000000,101000000,94000000,112000000,137000000,148000000,161000000,197000000,226000000,215000000,29000000,19000000,19000000,1815000000,1682000000,1576000000,1469000000,16000000,19000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21576000000,23573000000,25616000000,24840000000,29932000000,47957000000,46784000000,54920000000,56127000000,52830000000,53534000000,55899000000,58595000000,60124000000,62526000000,63354000000,60651000000,61377000000,66729000000,105363000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/901832/000095010304000383/0000950103-04-000383-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010305000478/0000950103-05-000478-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010306000565/0000950103-06-000565-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010307000768/0000950103-07-000768-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010308000636/0000950103-08-000636-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010309000555/0000950103-09-000555-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010310000863/0000950103-10-000863-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010311001574/0000950103-11-001574-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010312001564/0000950103-12-001564-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010313001915/0000950103-13-001915-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010314001994/0000950103-14-001994-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010315001933/0000950103-15-001933-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010316011733/0000950103-16-011733-index.htm,https://www.sec.gov/Archives/edgar/data/901832/000095010317002275/0000950103-17-002275-index.htm,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,428224220,645559672,121335295,637536240,692587902,519191545,1101140528,1206771143,1185160594,1142437233,2540626120,4156211499,2836000000,3036000000,3813000000,4706000000,6043000000,5595000000,6101000000,7521000000,8053000000,9983000000,6297000000,2556000000,1233000000,2825000000,3499000000,3001000000,2155000000,1335000000,3196000000,112000000
74,Depreciation and Amortization,300914317,291905243,242670590,254422815,276722480,299771308,371613522,357072010,408332642,997508736,929023778,1165564303,960000000,1290000000,1268000000,1327000000,1345000000,1856000000,2620000000,2087000000,2741000000,2550000000,2518000000,4583000000,3282000000,2852000000,2357000000,3036000000,3753000000,3762000000,3149000000,6530000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,46294510,-136596684,15166912,102064967,-50028923,-63353730,-200363051,-89268002,- -,-147926103,-280798184,-1372960086,305000000,-1101000000,-9000000,332000000,108000000,-443000000,-210000000,1129000000,82000000,-897000000,-706000000,166000000,2508000000,-49000000,926000000,-50000000,-639000000,-346000000,361000000,2021000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,50152386,-20583062,-51567500,75439323,-79733596,-61808517,-58225160,-145473782,-11619222,-415795263,-670629705,-597299856,101000000,-131000000,129000000,596000000,158000000,442000000,185000000,6000000,88000000,-256000000,-150000000,135000000,108000000,-315000000,-343000000,-548000000,-13000000,-316000000,-621000000,1577000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,30863007,-295647618,-172902795,-288444471,-293919922,-169973422,-484638833,-727368908,-713752179,-1083467064,-852849803,-1242300742,732000000,191000000,-199000000,378000000,197000000,502000000,231000000,1002000000,-196000000,-3815000000,-1161000000,95000000,35000000,-2304000000,-2637000000,-2409000000,-2651000000,-1782000000,-1907000000,-2700000000
83,Cash Provided by Operating Activities,806296053,505220613,206270001,705579552,625361537,585635701,787752166,747206242,879741057,908552802,2336001912,2706514973,4833000000,3416000000,4873000000,6743000000,7693000000,7510000000,8742000000,11739000000,10680000000,7821000000,6948000000,7400000000,7058000000,3324000000,4145000000,3578000000,2618000000,2969000000,4799000000,5963000000
84,CAPEX,-540102619,-385464616,-406473238,-462990356,-492472210,-431114408,-638764257,-755471798,-844883393,-2751646823,-1460747999,-2262687997,-1340000000,-1282000000,-1028000000,-810000000,-1339000000,-1679000000,-4039000000,-2957000000,-2181000000,-1297000000,-4619000000,-2058000000,-2752000000,-2788000000,-2314000000,-1620000000,-1371000000,-2460000000,-2606000000,-2200000000
85,Acquisitions Net,- -,- -,- -,85793740,139142942,-193151616,250025688,-324009786,-595900075,1977028601,740829251,-62218735,- -,- -,- -,- -,-1148000000,-14891000000,- -,- -,-348000000,1772000000,-1187000000,-1158000000,-4531000000,-3070000000,-2898000000,-1960000000,-536000000,-783000000,-830000000,-9433000000
86,Purchases of Investments,-79086455,-3742375,-3033382,-25146441,-18760846,-13906916,-13700038,-11571778,-18258777,-5996829,-2987215,-8295831,-1000000,-120000000,-117000000,-503000000,-17000000,-35000000,-40000000,-31000000,-273000000,-2754000000,-46000000,-91000000,-130000000,-57000000,-396000000,-441000000,-102000000,-13000000,-119000000,-184000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188000000,1315000000,33000000,3000000,5000000,- -,3662000000,168000000,93000000,376000000,3000000,70000000,429000000,212000000,2126000000,105000000
