,https://roic.ai/company/CIA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,5300000,3200000,26300000,117200000,91000000,14300000,31853589,22808769,24970854,29827191,11983350,41753778,101588133,95340022,182772583,134001460,133054913,106652000,80196000,188574000,391882000,421020000,181176000,333099000,102372000,89701000,138999000,97290000,91005000,125442000,264591000,245905000,92948000
88,Other Investing Activites,- -,- -,1400000,9400000,-100000,-1600000,-400000,-100000,474257,-303567,21291,2702877,-354400,10949,-11201513,113298,-20207652,-81741739,-22554969,-31855000,430000,-2895000,-2177000,-3398000,1120000,-3855000,-5037000,-5121000,-6100000,-6085000,-6985000,-6992000,-1155000,-1293000,2035000
89,Cash Used for Investing Activites,- -,- -,1900000,-9000000,-6100000,-1300000,-400000,-27500000,-9874705,-12696446,-13259030,-9117758,-6318536,-16486958,-11794392,1821825,-17825786,-34053578,-22588617,-33560000,-58840000,-14340000,-68805000,-62052000,-85074000,-50040000,-84867000,-103950000,-58034000,-152077000,-85005000,-85134000,-69345000,-61812000,-41077000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-400000,- -,-603068,-94343,-604097,-333333,- -,- -,- -,- -,- -,-31911787,-1827000,-1837000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,5400000,381485,391712,- -,- -,- -,- -,- -,- -,- -,12500000,3751404,- -,17083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2255000
92,Common Stock Repurchased,- -,- -,600000,100000,- -,400000,- -,- -,- -,- -,-104388,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9090000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1400000,- -,-100000,-200000,-300000,- -,60461,- -,- -,- -,- -,- -,- -,- -,- -,28789345,2833700,2520000,2279000,10577000,1545000,2611000,4325000,3814000,1747000,2131000,3000000,2489000,2547000,-58000,-2165000,904000,620000
95,Cash Used/Provided by Financing Activities,- -,- -,-800000,- -,-100000,200000,-300000,5000000,441946,-211356,-198731,-604097,-333333,- -,- -,- -,- -,41289345,-25326683,693000,17525000,10577000,1545000,2611000,4325000,3814000,1747000,2131000,3000000,2489000,2547000,-58000,-2165000,904000,-6215000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,100000,100000,100000,100000,-100000,2988966,-963470,469573,3413772,980356,-7085049,2729817,12417950,-4195548,16704533,-13409682,6210000,-3398000,42669000,-15167000,1098000,-16468000,23044000,-1706000,-3885000,32119000,-47317000,10554000,-572000,713000,-12074000,-6837000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,7248853,6285383,6754956,9868728,11149084,4064035,6793852,19211802,15016254,31720787,18311105,24521000,21123000,63792000,48625000,49723000,33255000,56299000,54593000,50708000,82827000,35510000,46064000,45492000,46205000,34131000,27294000
99,Cash at the Beginning of Period,- -,- -,4200000,7800000,2800000,3600000,9000000,18800000,4259887,7248853,6285383,6454956,10168728,11149084,4064035,6793852,19211802,15016254,31720787,18311000,24521000,21123000,63792000,48625000,49723000,33255000,56299000,54593000,50708000,82827000,35510000,46064000,45492000,46205000,34131000
100,Free Cash Flow,- -,- -,2600000,3900000,6900000,6500000,8300000,6900000,11473992,11252700,13730048,12107930,6915179,8328485,13031671,10109271,12398806,5983717,34073743,37800000,33560000,45322000,49358000,58173000,62481000,68651000,81021000,97453000,86563000,100057000,91686000,83896000,71712000,48613000,39448000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013497002535/0000950134-97-002535-index.html,https://www.sec.gov/Archives/edgar/data/24090/000103570498000230/0001035704-98-000230-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013402002672/0000950134-02-002672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24090/000095013405006603/0000950134-05-006603-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013406005321/0000950134-06-005321-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095013407007086/0000950134-07-007086-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000103570408000122/0001035704-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000136231009003835/0001362310-09-003835-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012310024113/0000950123-10-024113-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000095012311024767/0000950123-11-024767-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000114036112014956/0001140361-12-014956-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530513000562/0001445305-13-000562-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000144530514000987/0001445305-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409015000018/0000024090-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409016000049/0000024090-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409017000008/0000024090-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409018000011/0000024090-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409019000010/0000024090-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409020000016/0000024090-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409021000012/0000024090-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/24090/000002409022000005/0000024090-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
