,https://roic.ai/company/HUBB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,30900000,31100000,30900000,30800000,30800000,31200000,31000000,43400000,44900000,72400000,69400000,60300000,-54000000
14,Depreciation and Amortization,- -,- -,- -,- -,16600000,17700000,22200000,26800000,30100000,34000000,36200000,39300000,43200000,48100000,52800000,54900000,53000000,49800000,52600000,48900000,50400000,55400000,60200000,63100000,70600000,72500000,68200000,66800000,70600000,79200000,85200000,92300000,99800000,148400000,151000000,157600000,149000000
15,EBITDA,82300000,90100000,99200000,106400000,133400000,142300000,151600000,141000000,111600000,179900000,203200000,238600000,223400000,278600000,249800000,239200000,108800000,151400000,208100000,246200000,266100000,276900000,344400000,408400000,361900000,422400000,486600000,537000000,571900000,594000000,530000000,561300000,581000000,681900000,734400000,666600000,554000000
16,EBITDA ratio,0.1579,0.1612,0.1707,0.1732,0.1995,0.1978,0.2005,0.1794,0.1341,0.1775,0.1778,0.1839,0.1620,0.1956,0.1721,0.1680,0.0083,0.0954,0.1175,0.1235,0.1264,0.1147,0.1359,0.1510,0.1536,0.1662,0.1695,0.1764,0.1796,0.1768,0.1563,0.1601,0.1584,0.1522,0.1600,0.1592,0.1321
17,Operating Income,76900000,81900000,89700000,97300000,105000000,111200000,118500000,117900000,70200000,140600000,164900000,197600000,223600000,226100000,185600000,148200000,56500000,138500000,171900000,212600000,226800000,233900000,299400000,346000000,294700000,367800000,423800000,471800000,507600000,517400000,474600000,477800000,503700000,556900000,596600000,533000000,532300000
18,Operating Income ratio,0.1476,0.1466,0.1544,0.1584,0.1570,0.1546,0.1567,0.1500,0.0843,0.1387,0.1443,0.1523,0.1622,0.1587,0.1278,0.1041,0.0043,0.0872,0.0971,0.1067,0.1077,0.0969,0.1182,0.1279,0.1251,0.1447,0.1476,0.1550,0.1594,0.1540,0.1400,0.1363,0.1373,0.1243,0.1299,0.1273,0.1269
19,Total Other Income Expenses (Gains),5400000,8200000,9500000,9100000,11800000,13400000,10900000,12800000,11300000,5300000,2100000,1700000,-43400000,4400000,11400000,36100000,-700000,-11500000,-16400000,-15300000,-11100000,-12400000,-15200000,-28100000,-33100000,-47400000,-34000000,-30000000,-33800000,-31900000,-56000000,-47400000,-60600000,-89900000,-76100000,-79500000,-73300000
20,Income Before Tax,82300000,90100000,99200000,106400000,116800000,124600000,129400000,130700000,81500000,145900000,167000000,199300000,180200000,230500000,197000000,184300000,55800000,127000000,155500000,197300000,215700000,221500000,284200000,317900000,261600000,320400000,389800000,441800000,473800000,485500000,418600000,430400000,443100000,467000000,520500000,453500000,459000000
21,Income Before Tax Ratio,0.1579,0.1612,0.1707,0.1732,0.1746,0.1732,0.1711,0.1663,0.0979,0.1439,0.1461,0.1536,0.1307,0.1618,0.1357,0.1294,0.0043,0.0800,0.0878,0.0990,0.1025,0.0917,0.1122,0.1175,0.1111,0.1261,0.1357,0.1451,0.1488,0.1445,0.1235,0.1228,0.1208,0.1042,0.1134,0.1083,0.1094
22,Income Tax expense (Gain),34600000,35600000,36700000,35100000,37400000,38600000,38800000,36600000,15200000,39400000,45100000,57800000,49900000,61100000,51200000,46100000,7500000,18400000,40400000,42600000,50600000,63400000,75900000,95200000,80300000,101600000,119600000,139700000,144000000,158300000,136500000,132600000,193200000,100900000,113100000,97500000,88000000
23,Net Income,47700000,54500000,62500000,71300000,79400000,86000000,90600000,77600000,66300000,106500000,121900000,141500000,130300000,169400000,145800000,138200000,48300000,83200000,115100000,154700000,165100000,158100000,208300000,222700000,180100000,217200000,267900000,299700000,326500000,325300000,277300000,293000000,243100000,360200000,400900000,351200000,371000000
24,Net Income ratio,0.0915,0.0975,0.1076,0.1161,0.1187,0.1195,0.1198,0.0987,0.0796,0.1051,0.1066,0.1091,0.0945,0.1189,0.1004,0.0970,0.0037,0.0524,0.0650,0.0776,0.0784,0.0655,0.0822,0.0823,0.0765,0.0855,0.0933,0.0984,0.1025,0.0968,0.0818,0.0836,0.0663,0.0804,0.0873,0.0839,0.0885
25,EPS,0.31,0.34,0.39,0.44,0.52,0.59,0.62,0.59,0.48,1.52,1.82,2.10,1.94,2.56,2.24,2.26,0.83,1.40,1.93,2.55,2.71,2.62,3.54,3.97,3.16,3.61,4.47,5.05,5.51,5.51,4.79,5.26,4.42,6.57,7.35,6.46,6.83
26,EPS Diluted,0.29,0.33,0.38,0.44,0.52,0.59,0.62,0.59,0.48,1.52,1.82,2.10,1.89,2.50,2.21,2.25,0.82,1.38,1.91,2.51,2.67,2.59,3.50,3.94,3.15,3.59,4.42,5.00,5.47,5.48,4.77,5.24,4.39,6.54,7.31,6.43,6.78
27,Weighted Average Shares Outstanding,59638000,56400000,56576000,62570000,62054000,65168000,65448000,62370000,62518000,69890625,66794521,67380952,67164948,66171875,65089286,61150442,58192771,59428571,59637306,60666667,61000000,60400000,58800000,56000000,57000000,59900000,59700000,59100000,59100000,58800000,57700000,55500000,54800000,54600000,54400000,54200000,54300000
28,Weighted Average Shares Outstanding Diluted,59638000,56400000,56576000,62570000,62054000,65168000,65448000,62370000,62518000,69890625,66794521,67380952,68941799,67760000,65972851,61422222,58902439,59700000,60100000,61600000,61800000,61100000,59500000,56500000,57200000,60300000,60400000,59800000,59600000,59200000,58000000,55700000,55100000,54900000,54700000,54500000,54700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/0000950123-95-000657-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012399002453/0000950123-99-002453-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012302002711/0000950123-02-002711-index.html,https://www.sec.gov/Archives/edgar/data/48898/000095012303003143/0000950123-03-003143-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012304002915/0000950123-04-002915-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012305002855/0000950123-05-002855-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012306002794/0000950123-06-002794-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012307002818/0000950123-07-002818-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012308002047/0000950123-08-002047-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012309003185/0000950123-09-003185-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012310014554/0000950123-10-014554-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012311014739/0000950123-11-014739-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817912000024/0001308179-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817913000027/0001308179-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817914000038/0001308179-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828015000853/0001628280-15-000853-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828016011342/0001628280-16-011342-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828017001423/0001628280-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828018001740/0001628280-18-001740-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828019001446/0001628280-19-001446-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828020001557/0001628280-20-001557-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828021001868/0001628280-21-001868-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828022002255/0001628280-22-002255-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,38900000,87000000,134400000,75200000,30100000,24000000,74800000,33400000,40000000,220800000,125900000,110600000,45300000,77500000,178200000,258500000,520700000,569600000,645000000,740700000,653900000,343500000,437600000,375000000,189000000,182000000,259600000,286000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43100000,15000000,- -,215600000,121300000,35900000,- -,- -,- -,8800000,12800000,8800000,10100000,7800000,12200000,11200000,14500000,9200000,14200000,9300000,9000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,38900000,87000000,134400000,75200000,30100000,24000000,74800000,76500000,55000000,220800000,341500000,231900000,81200000,77500000,178200000,258500000,529500000,582400000,653800000,750800000,661700000,355700000,448800000,389500000,198200000,196200000,268900000,295000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,143900000,140800000,172400000,191000000,200200000,218700000,209800000,163400000,221200000,227100000,288500000,310400000,354300000,332400000,357000000,310100000,341800000,394300000,405200000,440900000,469800000,466600000,530000000,540300000,725400000,683000000,634700000,675000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,224100000,236400000,244600000,275900000,300900000,278500000,298600000,242600000,258000000,207900000,216100000,237100000,338200000,322900000,335200000,263500000,298400000,318300000,341700000,385700000,441800000,540000000,532400000,634700000,651000000,633000000,607300000,662000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,35900000,39800000,54100000,33600000,31600000,36800000,25800000,62100000,53500000,46300000,40700000,40700000,55200000,48700000,85800000,56400000,58500000,55500000,55000000,56100000,25500000,40100000,39600000,69100000,62000000,76700000,247000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,444900000,500100000,591200000,596200000,564800000,552800000,620000000,508300000,596300000,709300000,892400000,820100000,814400000,788000000,919100000,917900000,1226100000,1353500000,1456200000,1632400000,1629400000,1387800000,1551300000,1604100000,1643700000,1574200000,1587600000,1879000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,204200000,217900000,251900000,310100000,308900000,305300000,264200000,320600000,295800000,261800000,267800000,318500000,327100000,349100000,368800000,358300000,359600000,364700000,377100000,401200000,419700000,439800000,458300000,502100000,505200000,519200000,459000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267900000,- -,- -,- -,- -,436700000,466600000,584600000,743700000,724000000,727300000,755500000,800400000,874700000,928500000,991000000,1089000000,1784400000,1811800000,1923300000,1871000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137900000,162200000,190500000,232600000,241300000,262000000,- -,416900000,414200000,422500000,500300000,181600000,242500000,227600000,406000000,367200000,269500000,288100000,286600000,322800000,372200000,431500000,460400000,819500000,781500000,810600000,681000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137900000,162200000,190500000,232600000,241300000,262000000,267900000,416900000,414200000,422500000,500300000,618300000,709100000,812200000,1149700000,1091200000,996800000,1043600000,1087000000,1197500000,1300700000,1422500000,1549400000,2603900000,2593300000,2733900000,2552000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,- -,39000000,35100000,28100000,30200000,42000000,36700000,35800000,44100000,49500000,56400000,57700000,56300000,55700000,71100000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,394700000,215000000,214100000,246200000,282900000,296200000,267200000,165000000,76500000,80100000,65700000,-200000,300000,200000,- -,- -,- -,94600000,45800000,54900000,50600000,51000000,55000000,51100000,66100000,174600000,173300000,391000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,596700000,557100000,594200000,688600000,825600000,846400000,834500000,697100000,814000000,790100000,750000000,846900000,937100000,1075400000,1196400000,1546600000,1479700000,1493000000,1490800000,1554800000,1693400000,1820900000,1973700000,2116500000,3228400000,3328800000,3497500000,3402000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041600000,1057200000,1185400000,1284800000,1390400000,1399200000,1454500000,1205400000,1410300000,1499400000,1642400000,1667000000,1751500000,1863400000,2115500000,2464500000,2705800000,2846500000,2947000000,3187200000,3322800000,3208700000,3525000000,3720600000,4872100000,4903000000,5085100000,5281000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500000,34300000,52500000,60900000,69800000,75900000,69900000,55500000,86200000,103600000,132100000,159500000,163900000,154000000,168300000,130800000,160800000,215700000,213100000,225900000,244000000,289500000,291600000,326500000,393700000,347700000,378000000,532000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,139400000,- -,18600000,300000,113300000,127100000,259500000,67700000,- -,- -,99900000,29600000,20900000,36700000,- -,- -,1800000,2900000,- -,300000,1400000,48200000,3200000,68100000,56100000,95000000,185200000,9000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23300000,14100000,11800000,5800000,2100000,8400000,27500000,3400000,6000000,4600000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23300000,- -,- -,- -,18100000,16400000,15800000,18200000,15000000,11800000,10200000,27700000,31000000,30900000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,155200000,160600000,184300000,195100000,161900000,140400000,160000000,160700000,168500000,184800000,177300000,171400000,197500000,205500000,256700000,287700000,282400000,255400000,217900000,225000000,235600000,250400000,283000000,301300000,361800000,371200000,354100000,524000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,332100000,194900000,255400000,256300000,345000000,343400000,489400000,283900000,254700000,288400000,409300000,360500000,382300000,419500000,425000000,418500000,445000000,492100000,447400000,467000000,499200000,603100000,589600000,706100000,839300000,844900000,948200000,1065000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,102100000,99500000,99500000,99600000,99600000,99700000,99800000,298700000,298800000,199100000,199200000,199300000,199400000,497400000,497200000,595900000,596300000,596700000,597200000,597600000,595900000,990500000,987100000,1737100000,1506000000,1511800000,1435000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,16100000,12700000,2900000,1100000,9900000,6000000,- -,- -,- -,- -,- -,22000000,51900000,- -,- -,- -,16000000,16900000,66700000,74500000,36100000,41200000,23700000,120000000,126800000,135300000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84900000,76800000,74700000,95800000,104100000,90500000,89900000,85200000,112700000,82500000,89700000,109200000,132400000,110000000,185000000,246800000,201400000,268600000,218100000,141500000,215800000,224600000,300500000,355800000,376800000,464800000,404400000,540000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100500000,195000000,186900000,198200000,204800000,200000000,195600000,185000000,411400000,381300000,288800000,308400000,353700000,361300000,682400000,744000000,797300000,880900000,831700000,805400000,887900000,856600000,1332200000,1366600000,2233900000,2097600000,2051500000,1975000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101300000,107000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,432600000,389900000,442300000,454500000,549800000,543400000,685000000,468900000,666100000,669700000,698100000,668900000,736000000,780800000,1107400000,1162500000,1242300000,1373000000,1279100000,1272400000,1387100000,1459700000,1921800000,2072700000,3073200000,2942500000,2999700000,3040000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000,238300000,312500000,366900000,455700000,519100000,577400000,548300000,553700000,590100000,664500000,749100000,827400000,962700000,1108000000,1208000000,1338600000,1515800000,1715700000,1932600000,1944100000,1886100000,1879300000,1892400000,2064400000,2279400000,2393700000,2560000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-204100000,-214200000,-226300000,-266100000,-298500000,-297000000,-324000000,-341300000,-30700000,-10700000,-1500000,-18800000,-32400000,26000000,-116800000,-68800000,-81300000,-150400000,-119100000,-71000000,-164300000,-224200000,-302500000,-269800000,-285700000,-332900000,-329200000,-330000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,636100000,643200000,656900000,729500000,683400000,633100000,515500000,528900000,220600000,249700000,280700000,267200000,219900000,93300000,16300000,158400000,201300000,101800000,64000000,44200000,146700000,78100000,15400000,11000000,1300000,- -,4900000,2240000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000000,667300000,743100000,830300000,840600000,855800000,769500000,736500000,744200000,829700000,944300000,998100000,1015500000,1082600000,1008100000,1298200000,1459200000,1467800000,1661200000,1906400000,1927100000,1740600000,1592800000,1634200000,1780600000,1947100000,2070000000,2240000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041600000,1057200000,1185400000,1284800000,1390400000,1399200000,1454500000,1205400000,1410300000,1499400000,1642400000,1667000000,1751500000,1863400000,2115500000,2460700000,2701500000,2840800000,2940300000,3178800000,3314200000,3200300000,3514600000,3706900000,4853800000,4889600000,5069700000,5280000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,4300000,5700000,6700000,8400000,8600000,8400000,10400000,13700000,18300000,13400000,15400000,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041600000,1057200000,1185400000,1284800000,1390400000,1399200000,1454500000,1205400000,1410300000,1499400000,1642400000,1667000000,1751500000,1863400000,2115500000,2464500000,2705800000,2846500000,2947000000,3187200000,3322800000,3208700000,3525000000,3720600000,4872100000,4903000000,5085100000,5281000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/48898/0000950123-95-000657-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012399002453/0000950123-99-002453-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/48898/000095012302002711/0000950123-02-002711-index.html,https://www.sec.gov/Archives/edgar/data/48898/000095012303003143/0000950123-03-003143-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012304002915/0000950123-04-002915-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012305002855/0000950123-05-002855-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012306002794/0000950123-06-002794-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012307002818/0000950123-07-002818-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012308002047/0000950123-08-002047-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012309003185/0000950123-09-003185-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012310014554/0000950123-10-014554-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000095012311014739/0000950123-11-014739-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817912000024/0001308179-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817913000027/0001308179-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000130817914000038/0001308179-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828015000853/0001628280-15-000853-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828016011342/0001628280-16-011342-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828017001423/0001628280-17-001423-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828018001740/0001628280-18-001740-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828019001446/0001628280-19-001446-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828020001557/0001628280-20-001557-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828021001868/0001628280-21-001868-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828022002255/0001628280-22-002255-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,79400000,86000000,90600000,77600000,66300000,106500000,121900000,141500000,130300000,169400000,145800000,138200000,48300000,83200000,115100000,154700000,165100000,158100000,208300000,222700000,180100000,217200000,267900000,299700000,326500000,325300000,277300000,293000000,243100000,360200000,400900000,351200000,371000000
74,Depreciation and Amortization,- -,- -,- -,- -,16600000,17700000,22200000,26800000,30100000,34000000,36200000,39300000,43200000,48100000,52800000,54900000,53000000,49800000,52600000,48900000,50400000,55400000,60200000,63100000,70600000,72500000,68200000,66800000,70600000,79200000,85200000,92300000,99800000,148400000,151000000,157600000,149000000
75,Deferred Income Tax,- -,- -,- -,- -,400000,-1300000,400000,-3200000,-21200000,6300000,2600000,-1400000,-11500000,5200000,8500000,2200000,-16600000,300000,12400000,17100000,6400000,11400000,-3700000,700000,32300000,25000000,18800000,11900000,4900000,21100000,-6800000,8500000,-14300000,49000000,6100000,3300000,9000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,10300000,11400000,15100000,15800000,14300000,16400000,17000000,22300000,22300000,24200000,16400000,23900000,17000000
77,Change in Working Capital,- -,- -,- -,- -,-3100000,- -,- -,- -,- -,112800000,192400000,30600000,4100000,-120100000,-10400000,-78800000,93800000,117200000,79300000,62200000,-23500000,-27500000,-63600000,125600000,5300000,281700000,80300000,147400000,156600000,-35200000,-345500000,177000000,-63700000,-93600000,-75100000,-89900000,174600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,85500000,-26100000,-51600000,-1800000,-30900000,-17800000,1900000,-42300000,3900000,-75400000,46200000,55500000,-124000000
