,https://roic.ai/company/JOUT,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,68800000,66300000,94300000,105800000,75300000,69500000,68800000,38500000,28400000,39900000,- -,42900000,51500000,14100000,14700000,13700000,14651000,14500000,21100000,14400000,14292000,11196000,11238000,11199000,11186000,11184000,11221000
40,Intangible Assets,13400000,13000000,18600000,46200000,59400000,65100000,35000000,35000000,-10100000,-11800000,-12100000,-15700000,-9700000,-11700000,-13500000,-11400000,1200000,4000000,41513000,4600000,6600000,6400000,6200000,5700000,5403000,4300000,15100000,12500000,11688000,14462000,13476000,12341000,11374000,9052000,8633000
41,Intangible Assets,13400000,13000000,18600000,46200000,59400000,65100000,35000000,35000000,58700000,54500000,82200000,90100000,65600000,57800000,55300000,27100000,29600000,43900000,41513000,47500000,58100000,20500000,20900000,19400000,20054000,18800000,36200000,26900000,25980000,25658000,24714000,23540000,22560000,20236000,19854000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19675000,- -,- -,1100000,600000,600000,19531000,700000,1100000,1100000,1182000,19063000,1845000,1715000,1638000,10679000,13129000
44,Other Non-Current Assets,500000,600000,1800000,2500000,2700000,2900000,2400000,2700000,1300000,1800000,10700000,16200000,12400000,18600000,20500000,22500000,22000000,20800000,4702000,20200000,20000000,4700000,12900000,12900000,8168000,24400000,19100000,16900000,28034000,14592000,37313000,29053000,30219000,22870000,29498000
45,Total Non-Current Assets,29800000,29700000,36400000,71900000,87300000,97800000,56500000,64300000,93000000,86500000,124300000,141800000,113300000,113800000,111700000,79200000,82600000,99100000,97283000,99300000,114500000,65400000,67900000,66700000,82911000,80600000,99800000,91000000,100483000,108311000,112810000,110242000,113916000,157488000,183023000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,105000000,114900000,131200000,196200000,233100000,255200000,239100000,219700000,278400000,280800000,277000000,296000000,299000000,258000000,244900000,271300000,277700000,293700000,283318000,284200000,319700000,255100000,210300000,226800000,259356000,263600000,288400000,288600000,299204000,310279000,353659000,395936000,436444000,546026000,674287000
48,Accounts Payable,- -,- -,8700000,- -,14800000,13700000,11900000,13500000,14600000,11100000,10700000,11700000,16000000,12900000,12200000,13600000,15600000,16600000,17872000,17500000,23100000,24700000,18500000,24100000,28339000,24600000,26500000,27900000,28455000,24521000,31686000,34160000,30392000,37327000,56744000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,16100000,11200000,35600000,18100000,34800000,43400000,53400000,- -,- -,9587000,16222000,13000000,17000000,32800000,3000,15474000,8871000,3494000,526000,539000,360000,368000,381000,- -,- -,- -,6587000,5938000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1258000,2192000,1318000,750000,1062000,1635000,582000,1300000,833000,3837000,1691000,5434000,7739000,7512000,6681000,9436000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6392000,8737000,- -,9462000000,11029000000,2963000000,2168000,1844000,- -,8645000,7869000,8360000,10649000,- -,22632000,11748000,4440000,- -,- -
52,Other Current Liabilities,33800000,30000000,20300000,46700000,57100000,64200000,66500000,24400000,38100000,41700000,37300000,38500000,35000000,40100000,37400000,48000000,28021000,33741000,38324000,-9421800000,-10985800000,-2932303000,24658000,32185000,33167000,25229000,28492000,23580000,30082000,42752000,29759000,46876000,53034000,61693000,74888000
53,Total Current Liabilities,33800000,30000000,29000000,46700000,71900000,77900000,78400000,54000000,63900000,88400000,66100000,85000000,94400000,106400000,49600000,61600000,59600000,75300000,69196000,74700000,99100000,55400000,60800000,67000000,65000000,59000000,63400000,60200000,69554000,67654000,84077000,92784000,87866000,105607000,137570000
54,Long-Term Debt,45200000,17800000,14700000,37500000,41200000,43400000,44500000,31200000,68900000,61500000,88800000,82100000,72700000,45900000,84600000,80200000,67900000,50800000,37800000,20800000,10000000,60000000,16100000,14900000,11478000,8300000,7800000,7400000,7062000,7008000,- -,- -,- -,- -,44056000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2100000,2000000,2400000,2400000,1700000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000,694000,1114000,1133000,1182000,1216000,1845000,1715000,1638000,1418000,1599000
57,Other Non-Current Liabilities,1800000,2600000,5200000,6400000,5500000,6600000,5400000,6300000,4300000,4400000,4400000,4500000,4700000,4800000,4900000,5300000,6000000,7000000,9888000,7800000,10400000,17400000,17600000,18500000,19005000,22006000,18386000,21467000,23438000,26905000,24733000,22240000,22406000,60901000,32557000
58,Total Non-Current Liabilities,49100000,22400000,22300000,46300000,48400000,51800000,49900000,37500000,73200000,65900000,93200000,86600000,77400000,50700000,89500000,85500000,73900000,57800000,47688000,28600000,20400000,77400000,33700000,33400000,30831000,31000000,27300000,30000000,31682000,35129000,26578000,23955000,24044000,62319000,78212000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41518000,49994000
61,Total Liabilities,82900000,52400000,51300000,93000000,120300000,129700000,128300000,91500000,137100000,154300000,159300000,171600000,171800000,157100000,139100000,147100000,133500000,133100000,116884000,103300000,119500000,132800000,94500000,100400000,95831000,90000000,90700000,90200000,101236000,102783000,110655000,116739000,111910000,167926000,215782000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,451000,500000,500000,500000,500000,500000,489000,500000,500000,500000,502000,502000,503000,503000,504000,504000,509000
64,Retained Earnings,9500000,20600000,34200000,49700000,60900000,68500000,67300000,79500000,89500000,77900000,79900000,85100000,91800000,74800000,80200000,88100000,93500000,102200000,109300000,118000000,126300000,53200000,43500000,50000000,82683000,92800000,112100000,117600000,125173000,135405000,166905000,202828000,248377000,296431000,370501000
65,Other Comprehensive Income/Loss,-18600000,-21800000,-27400000,-36000000,-39500000,-47100000,-47100000,-38600000,15200000,8000000,-12800000,-9400000,-18400000,-37400000,-38400000,-23800000,161000,5364000,1404000,6953000,16619000,10779000,13560000,16073000,18832000,16117000,19366000,12778000,3637000,2354000,4993000,3487000,1558000,4717000,7386000
66,Other Total Stockholders Equity,31200000,63700000,73100000,89500000,91400000,104100000,90600000,87300000,36200000,40100000,50200000,48300000,53400000,63000000,63600000,59400000,50133000,52680000,55279000,55428000,56746000,57805000,58265000,59796000,61521000,64187000,65702000,67580000,68656000,69235000,70603000,72379000,74095000,76448000,80109000
67,Total Stockholders Equity,22100000,62500000,79900000,103200000,112800000,125500000,110800000,128200000,141300000,126400000,117700000,124400000,127200000,100800000,105800000,124100000,144194000,160644000,166434000,180881000,200165000,122284000,115825000,126369000,163525000,173604000,197668000,198458000,197968000,207496000,243004000,279197000,324534000,378100000,458505000
68,Total Liabilities And Stockholders Equity,105000000,114900000,131200000,196200000,233100000,255200000,239100000,219700000,278400000,280700000,277000000,296000000,299000000,257900000,244900000,271200000,277694000,293744000,283318000,284181000,319665000,255084000,210325000,226769000,259356000,263604000,288368000,288658000,299204000,310279000,353659000,395936000,436444000,546026000,674287000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,100000,- -,100000,6000,-44000,- -,19000,35000,16000,-25000,31000,- -,-4000,32000,-58000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,105000000,114900000,131200000,196200000,233100000,255200000,239100000,219700000,278400000,280800000,277000000,296000000,299000000,258000000,244900000,271300000,277700000,293700000,283318000,284200000,319700000,255100000,210300000,226800000,259356000,263600000,288400000,288600000,299204000,310279000,353659000,395936000,436444000,546026000,674287000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706994000123/0000897069-94-000123-index.html,https://www.sec.gov/Archives/edgar/data/788329/000095012495004168/0000950124-95-004168-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706996000437/0000897069-96-000437-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706997000511/0000897069-97-000511-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706998000629/0000897069-98-000629-index.html,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706900000629/0000897069-00-000629-index.html,https://www.sec.gov/Archives/edgar/data/788329/000089706901500687/0000897069-01-500687-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/788329/000089706904002137/cmw1083.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216705000492/johnsonoutsept302005form10k.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216706000487/josept292006form10k.htm,https://www.sec.gov/Archives/edgar/data/788329/000104216707000367/0001042167-07-000367-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216709000004/0001042167-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216709000208/0001042167-09-000208-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216710000260/0001042167-10-000260-index.html,- -,https://www.sec.gov/Archives/edgar/data/788329/000104216712000163/0001042167-12-000163-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216713000205/0001042167-13-000205-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216714000166/0001042167-14-000166-index.html,https://www.sec.gov/Archives/edgar/data/788329/000104216715000175/0001042167-15-000175-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036116089543/0001140361-16-089543-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036117045474/0001140361-17-045474-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036118044715/0001140361-18-044715-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036119022062/0001140361-19-022062-index.html,https://www.sec.gov/Archives/edgar/data/788329/000114036120028143/0001140361-20-028143-index.htm,https://www.sec.gov/Archives/edgar/data/788329/000114036121041217/0001140361-21-041217-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,13600000,15500000,11100000,7700000,-1200000,12200000,10100000,-11400000,2100000,5200000,7000000,-17000000,5400000,7900000,5400000,8700000,7101000,8700000,9200000,-71000000,-9700000,6500000,32644000,10100000,19300000,9100000,10616000,13501000,35157000,40669000,51413000,55233000,83381000
74,Depreciation and Amortization,- -,- -,5400000,7900000,8500000,9500000,7200000,7000000,8300000,10600000,11900000,14000000,15100000,12523000,13516000,9096000,8198000,8708000,9504000,9164000,9402000,10056000,11885000,9977000,10572000,11530000,9755000,10743000,11702000,11833000,13080000,13105000,13964000,14926000,13401000
75,Deferred Income Tax,- -,- -,-300000,-900000,-1200000,-2300000,-2300000,-700000,200000,-6800000,-4100000,-3400000,200000,-374000,-2922000,4026000,-358000,97000,-555000,3755000,-88000,20647000,-2156000,415000,-21999000,6989000,1613000,2667000,-1485000,-2219000,-2784000,10772000,213000,486000,-2277000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,686000,651000,711000,428000,956000,1436000,1666000,1488000,1744000,1606000,1832000,1986000,2297000,2346000,2686000,4160000
77,Change in Working Capital,- -,- -,-3800000,11800000,-3700000,5600000,24700000,-2800000,20100000,-15600000,-19300000,-17400000,22100000,-53500000,45800000,46900000,5000000,-16200000,-2461000,-6639000,-4100000,28200000,-52700000,11500000,18345000,12555000,1200000,12200000,-8233000,5147000,22458000,36138000,41752000,48269000,-41197000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3591000,-3063000,7079000,8795000,-4857000,-581000,4591000,-3144000,-1484000,-2534000,3390000,-5364000,5409000,-6104000,-24625000,-3948000
79,Inventory,- -,- -,-1200000,-10300000,-2900000,-2300000,-2600000,-1000000,-21800000,-17600000,13100000,6600000,4100000,-8358000,124000,4821000,-8983000,-3568000,7831000,-10617000,-22550000,-577000,23312000,-12563000,588000,-1507000,-8115000,7815000,-17999000,8524000,-11413000,-10495000,-7356000,-2867000,-69637000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,65800000,77600000,73900000,79500000,104200000,101400000,121500000,105900000,86600000,69200000,91300000,37800000,83600000,130500000,135500000,119300000,116839000,110200000,106100000,134300000,81600000,93100000,111445000,124000000,125200000,137400000,129167000,134314000,156772000,192910000,234662000,282931000,-369000
