,https://roic.ai/company/BBBY,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,240000000,266666667,273750000,272727273,263333333,275000000,275329408,278000000,279930000,283925000,298667000,292927000,296854000,300743000,293899000,280199000,264824000,256410000,257755000,254297000,240016000,224623000,210710000,186659000,163257000,148590000,139238000,134292000,124352000,121446000
28,Weighted Average Shares Outstanding Diluted,240000000,266666667,273750000,272727273,263333333,275000000,284724036,286176471,288234000,292876000,298667000,301147000,304690000,306642000,298973000,284956000,268409000,258619000,260375000,258079000,243890000,227723000,213363000,188880000,165016000,149708000,139739000,134292000,124352000,121446000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012300005455/0000950123-00-005455-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012303006624/0000950123-03-006624-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465904014261/0001104659-04-014261-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465905022926/0001104659-05-022926-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465906034196/0001104659-06-034196-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465907034862/0001104659-07-034862-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465908028282/0001104659-08-028282-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465909026769/0001104659-09-026769-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465910022152/0001104659-10-022152-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465911022393/0001104659-11-022393-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465912027814/0001104659-12-027814-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465913035115/0001104659-13-035115-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184314001962/0001171843-14-001962-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184315002257/0001171843-15-002257-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184316009400/0001171843-16-009400-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184317002300/0001171843-17-002300-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184318003340/0001171843-18-003340-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615819000012/0000886158-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615820000008/0000886158-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615821000015/0000886158-21-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,10100000,2700000,6500000,10300000,38800000,53300000,90400000,144000000,239300000,429500000,515700000,294500000,222100000,247700000,213400000,224100000,668209000,1096100000,1183600000,1003200000,565000000,366500000,875574000,515573000,488329000,346140000,508971000,1000340000,1352984000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100900000,572100000,629300000,404100000,774900000,326004000,2000000,431500000,605600000,756400000,449900000,489300000,109992000,86197000,89592000,378039000,485799000,385642000,- -
33,Cash and Short-Term Investments,600000,10100000,2700000,6500000,10300000,38800000,53300000,90400000,144000000,239300000,429500000,616600000,866600000,851400000,651800000,988300000,550104000,670209000,1527600000,1789200000,1759600000,1014900000,855800000,985566000,601770000,577921000,724179000,994770000,1385982000,1352984000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318100000
35,Inventory,40600000,43100000,75000000,108400000,148400000,187200000,270400000,360300000,470400000,606700000,754000000,915700000,1012300000,1152000000,1301700000,1505800000,1617000000,1642339000,1759700000,1968900000,2071900000,2466200000,2579000000,2731881000,2848119000,2905660000,2730874000,2618922000,2093869000,1671909000
36,Other Current Assets,1400000,700000,4300000,3100000,1600000,1600000,2300000,22600000,33000000,39700000,43200000,62100000,90400000,93600000,118400000,204500000,-87404000,250251000,276000000,315700000,311400000,386400000,354200000,366156000,376073000,108320000,516025000,296280000,346434000,277052000
37,Total Current Assets,42600000,53900000,82000000,118000000,160300000,227600000,326000000,473300000,647400000,885700000,1226700000,1594400000,1969300000,2097000000,2071900000,2698600000,2079700000,2562799000,3563300000,4073800000,4142900000,3867500000,3789000000,4083603000,3825962000,3591901000,3971078000,3909972000,3826285000,3620045000
38,PP&E,11900000,19600000,34900000,52200000,66600000,88300000,111400000,150400000,208900000,302700000,361700000,423900000,516200000,609600000,738700000,929500000,1121900000,1148435000,1119300000,1116300000,1198300000,1466700000,1579800000,1676700000,1725043000,1837129000,1909289000,1853091000,3437570000,2505519000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,147300000,147600000,- -,- -,- -,- -,198700000,198700000,198700000,483500000,486300000,486279000,487169000,697085000,716283000,391052000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30900000,30900000,- -,- -,- -,- -,- -,305300000,305400000,143800000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,147300000,147600000,- -,- -,- -,- -,229600000,229600000,198700000,483500000,486300000,486279000,487169000,1002385000,1021683000,534852000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51900000,- -,- -,- -,- -,- -,- -,- -,132860000,121446000,95785000,77325000,87393000,97160000,71289000,89592000,19517000,20010000,20380000,19545000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1000000,3200000,4600000,6500000,8900000,14000000,20900000,9400000,9500000,7300000,7200000,154900000,232200000,345800000,571500000,331200000,642500000,557609000,107040000,105054000,88815000,384975000,413507000,415251000,380614000,301648000,119239000,252616000,506280000,311821000
45,Total Non-Current Assets,12900000,22800000,39500000,58700000,75500000,102300000,132300000,159800000,218400000,310000000,420800000,594400000,895700000,1103000000,1310200000,1260700000,1764400000,1706044000,1588800000,1572400000,1581600000,2412500000,2567000000,2675390000,2664115000,3230754000,3069728000,2660569000,3964230000,2836885000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55500000,76700000,121500000,176700000,235800000,329900000,458300000,633100000,865800000,1195700000,1647500000,2188800000,2865000000,3200000000,3382100000,3959300000,3844100000,4268843000,5152100000,5646200000,5724500000,6280000000,6356000000,6758993000,6490077000,6822655000,7040806000,6570541000,7790515000,6456930000
48,Accounts Payable,7700000,9800000,17000000,27500000,39000000,47800000,64700000,99400000,145100000,192400000,270900000,363000000,398700000,450500000,534900000,615200000,570600000,514734000,611200000,709600000,752100000,913400000,1104700000,1156368000,1100958000,1179088000,1197504000,1094078000,944194000,986045000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172804000,193061000,- -,- -,- -,- -,- -,- -,- -,- -,463005000,360061000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83857000,112982000,48246000,77270000,65121000,76606000,58892000,59821000,- -,20498000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306160000,- -,- -,- -,- -,340407000,312486000
52,Other Current Liabilities,3000000,9600000,10500000,18600000,33600000,58100000,85600000,106300000,141700000,160800000,240400000,317200000,370800000,423100000,454600000,529900000,443500000,438234000,365596000,419739000,587000000,721800000,730400000,480153000,766267000,853413000,968181000,983554000,718920000,636329000
53,Total Current Liabilities,10700000,19400000,27500000,46100000,72600000,105900000,150300000,205700000,286800000,353200000,511300000,680200000,769500000,873600000,989500000,1145100000,1014100000,952968000,1149600000,1322400000,1339100000,1635200000,1835100000,1942681000,1867225000,2032501000,2165685000,2077632000,2466526000,2294921000
54,Long-Term Debt,11800000,- -,13300000,16800000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000000,1491137000,1491603000,1492078000,1487934000,1488400000,2700130000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103399000,99730000,123622000,80144000,87791000,- -,72807000,67971000,62823000,49235000,- -,- -
57,Other Non-Current Liabilities,2100000,2700000,3400000,4900000,6800000,9700000,12600000,16400000,20000000,25500000,41900000,56700000,104700000,122600000,130200000,165100000,268200000,315421000,246201000,292370000,339278000,484856000,491809000,573122000,499368000,511303000,431592000,395409000,2070654000,184943000
58,Total Non-Current Liabilities,13900000,2700000,16700000,21700000,11800000,9700000,12600000,16400000,20000000,25500000,41900000,56700000,104700000,122600000,130200000,165100000,268200000,315421000,349600000,392100000,462900000,565000000,579600000,2073122000,2063312000,2070877000,1986493000,1932578000,3559054000,2885073000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281788000,1869828000
61,Total Liabilities,24600000,22100000,44200000,67800000,84400000,115600000,162900000,222100000,306800000,378700000,553200000,736900000,874200000,996200000,1119700000,1310200000,1282300000,1268389000,1499200000,1714500000,1802000000,2200200000,2414700000,4015803000,3930537000,4103378000,4152178000,4010210000,6025580000,5179994000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,700000,- -,1400000,2800000,2900000,2900000,2900000,3000000,3000000,3100000,3100000,3100000,3147000,3200000,3300000,3300000,3300000,3400000,3367000,3377000,3395000,3418000,3426000,3436000,3432000
64,Retained Earnings,30700000,13200000,35000000,65100000,104500000,159500000,232700000,330000000,461200000,633200000,852800000,1154900000,1554400000,2059400000,2632200000,3153900000,3729800000,4154921000,4755000000,5546300000,6535800000,7573600000,8595900000,9553376000,10394865000,11003890000,11343503000,11112887000,10374826000,10225253000
65,Other Comprehensive Income/Loss,-5800000,-8500000,-12100000,-19200000,-28700000,-42100000,-57500000,-80200000,-111800000,-158500000,-221000000,-295900000,-380000000,-477000000,-587800000,4385000,-1038000,-4540000,728000,5100000,-1879000,-4320000,-13847000,-42313000,-54998000,-47250000,-48296000,-58610000,-64909000,-55600000
66,Other Total Stockholders Equity,6000000,49900000,54400000,63000000,75600000,96300000,120200000,159900000,206800000,339400000,459700000,590021000,813420000,618362000,214950000,-512234000,-1170034000,-1153074000,-1106024000,-1623041000,-2614693000,-3492850000,-4644166000,-6771240000,-7783704000,-8240758000,-8409997000,-8497372000,-8548418000,-8896149000
67,Total Stockholders Equity,30900000,54600000,77300000,108900000,151400000,214400000,295400000,411100000,559000000,817000000,1094400000,1451921000,1990820000,2203762000,2262450000,2649151000,2561828000,3000454000,3652904000,3931659000,3922528000,4079730000,3941287000,2743190000,2559540000,2719277000,2888628000,2560331000,1764935000,1276936000
68,Total Liabilities And Stockholders Equity,55500000,76700000,121500000,176700000,235800000,330000000,458300000,633200000,865800000,1195700000,1647600000,2188821000,2865020000,3199962000,3382150000,3959351000,3844128000,4268843000,5152104000,5646159000,5724528000,6279930000,6355987000,6758993000,6490077000,6822655000,7040806000,6570541000,7790515000,6456930000
69,Minority Interest,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,- -,-100000,-21000,-20000,38000,-50000,-51000,-28000,- -,-4000,41000,-28000,70000,13000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55500000,76700000,121500000,176700000,235800000,329900000,458300000,633100000,865800000,1195700000,1647500000,2188800000,2865000000,3200000000,3382100000,3959300000,3844100000,4268843000,5152100000,5646200000,5724500000,6280000000,6356000000,6758993000,6490077000,6822655000,7040806000,6570541000,7790515000,6456930000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012300005455/0000950123-00-005455-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886158/000095012303006624/0000950123-03-006624-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465904014261/0001104659-04-014261-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465905022926/0001104659-05-022926-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465906034196/0001104659-06-034196-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465907034862/0001104659-07-034862-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465908028282/0001104659-08-028282-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465909026769/0001104659-09-026769-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465910022152/0001104659-10-022152-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465911022393/0001104659-11-022393-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465912027814/0001104659-12-027814-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000110465913035115/0001104659-13-035115-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184314001962/0001171843-14-001962-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184315002257/0001171843-15-002257-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184316009400/0001171843-16-009400-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184317002300/0001171843-17-002300-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000117184318003340/0001171843-18-003340-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615819000012/0000886158-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615820000008/0000886158-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/886158/000088615821000015/0000886158-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12000000,16000000,21900000,30000000,39500000,55000000,73100000,97000000,131000000,172000000,220000000,302000000,399000000,505000000,573000000,594000000,563000000,425123000,600000000,791000000,990000000,1038000000,1022000000,957474000,841489000,685108000,424858000,-137224000,-613816000,-150773000
74,Depreciation and Amortization,1800000,2600000,4200000,7200000,9900000,13400000,18200000,23200000,31625000,46650000,62547000,75810000,85830000,99148000,114283000,136487000,159308000,175601000,184232000,183820000,183873000,194728000,218809000,239193000,273947000,290914000,313107000,338825000,342511000,340912000
75,Deferred Income Tax,- -,-1700000,-1400000,- -,- -,- -,-6300000,-5200000,-8197000,-3939000,1733000,-13291000,-3061000,4056000,-25874000,-87225000,2315000,-22325000,-22811000,-15988000,30238000,17600000,11841000,-22295000,56997000,24878000,175351000,-104089000,-145543000,148741000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44235000,44276000,45223000,47163000,56244000,66539000,66965000,71911000,70510000,58514000,45676000,31594000
77,Change in Working Capital,-14600000,2600000,20000000,17400000,15800000,34000000,54000000,91900000,93000000,171900000,182900000,198800000,285600000,23600000,-141000000,471100000,-487900000,544231000,803869000,337700000,52400000,-571500000,-278400000,187022000,-182185000,-399337000,245993000,26947000,-472581000,-34635000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-15400000,-2500000,-31900000,-33400000,-40000000,-38800000,-83200000,-90000000,-110096000,-136271000,-147268000,-145789000,-27058000,-139694000,-149692000,-204080000,-96673000,-25358000,-117364000,-209204000,-102983000,-198407000,-112742000,-161506000,-121748000,-38493000,176672000,106928000,506334000,64947000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96279000,102307000,31582000,105251000,178132000,44563000,-48148000,49458000,13210000,-90657000,-124206000,168556000
81,Other Working Capital,31900000,34500000,54500000,71900000,87700000,121700000,175700000,267600000,360600000,532500000,715400000,914200000,1199800000,1223400000,1082400000,1553500000,1065600000,1609831000,2413700000,2751400000,2803800000,2232300000,1953900000,2140922000,1958737000,1559400000,1805393000,1832340000,1359759000,1325124000
82,Other Non-Cash Items,6500000,5900000,-46500000,-31400000,-28100000,-41700000,-91100000,-125900000,-111492000,-188675000,-129224000,-144002000,-218927000,-15415000,140026000,-500730000,377813000,-538660000,-704118000,-353401000,-76450000,466999000,352692000,-242085000,-45029000,368314000,-370130000,735305000,1434694000,-67731000
83,Cash Provided by Operating Activities,5700000,25400000,-1800000,23200000,37100000,60700000,47900000,81000000,135936000,197936000,337956000,419317000,548442000,616389000,660435000,613632000,614536000,583970000,905407000,987407000,1225284000,1192990000,1383186000,1185848000,1012184000,1041788000,859689000,918278000,590941000,268108000
84,CAPEX,-5900000,-10400000,-19700000,-24500000,-24500000,-35100000,-41300000,-62300000,-90098000,-140395000,-121632000,-135254000,-112999000,-190721000,-220394000,-317501000,-358210000,-215859000,-153680000,-183474000,-243374000,-354682000,-317180000,-330637000,-328395000,-373574000,-375793000,-325366000,-277401000,-183077000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24097000,-175487000,- -,- -,- -,-85893000,- -,- -,- -,- -,-643098000,-3436000,- -,- -,-204595000,-6119000,- -,- -,534457000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51909000,-368008000,-361013000,-2899571000,-1967191000,-1567240000,-1495155000,-4786000,-403582000,-1511555000,-1605851000,-730976000,-1156634000,-298094000,-103017000,- -,-292500000,-734424000,-443500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,357020000,2727249000,2120015000,1487068000,2040956000,107550000,68570000,1354070000,1485225000,1062964000,1117500000,677500000,155780000,86240000,- -,538925000,545000000,386500000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153680000,-183474000,-243374000,-354682000,-317180000,-330637000,-328395000,-373574000,-375793000,-314183000,-10124000,-183077000
89,Cash Used for Investing Activites,-5900000,-10400000,-19700000,-24500000,-24500000,-35100000,-41300000,-62300000,-90098000,-140395000,-173541000,-357359000,-292479000,-363043000,-67570000,-397673000,101698000,-113095000,-488692000,-340959000,-364000000,-665792000,-359750000,48769000,-275632000,-491929000,-674412000,-509682000,91376000,737880000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25511000,- -,- -,- -,- -,- -,-4224000,- -,-457827000
91,Common Stock Issued,- -,35800000,800000,1600000,3100000,7900000,7900000,18300000,7797000,37756000,25753000,24216000,74597000,31080000,34953000,43393000,22672000,17650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350151000,-598244000,-301002000,-734193000,-48052000,-94857000,-687605000,-1217956000,-1001280000,-1283995000,-2250597000,-1100585000,-547022000,-252433000,-148073000,-99710000,-380079000
