,https://roic.ai/company/OCN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,2483685000,3069165000,3308079000,3309313000,2249420000,1711150000,1222242000,1240118000,1327493000,1854133000,2009743000,2394696000,2238012000,1769350000,2921409000,4737157000,5671882000,7873770000,8267278000,7404809000,7655663000,8403164000,9394216000,10406199000,10651127000,12147123000
48,Accounts Payable,- -,38000,6000,-31000,- -,- -,- -,- -,238154000,- -,- -,- -,- -,- -,- -,33098000,- -,33501000,- -,- -,83248000,106784000,53001000,63596000,94691000,2134000
49,Short-Term Debt,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,324520000,339976000,116870000,55810000,246073000,540369000,424133000,496919000,437143000,399621000,321796000,573339000,407899000,31959000,994787000,945626000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4481000,3463000,4441000,488000,- -,- -
52,Other Current Liabilities,2054100000,2179162000,2342394000,2184531000,1460200000,1026200000,695500000,716300000,477346000,725900000,652480000,978324000,1260730000,696490000,1379427000,2144133000,209646000,235063000,294335000,204797000,177516000,131317000,169711000,103868000,131745000,237509000
53,Total Current Liabilities,2054500000,2179200000,2342400000,2184500000,1460200000,1026200000,695500000,716300000,715500000,725900000,977000000,1318300000,1377600000,752300000,1625500000,2717600000,633779000,765483000,731478000,604418000,587041000,814903000,635052000,199911000,1221223000,1185269000
54,Long-Term Debt,225572000,345279000,404285000,505439000,206263000,244609000,159721000,206633000,281861000,780777000,150329000,150279000,336453000,252532000,145259000,135877000,1611732000,4264513000,5585284000,5166044000,5762416000,6452645000,6995703000,8594322000,8265916000,9525653000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000,- -,- -,- -,- -,4481000,3463000,4441000,488000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,28000,125021000,125015000,109961000,79537000,61191000,56279000,-33000,39000,23000,324471000,340021000,-83853000,-101132000,246041000,539663000,1661577000,987091000,909351000,779709000,646442000,585279000,1204315000,1199467000,748616000,959507000
58,Total Non-Current Liabilities,225600000,470300000,529300000,615400000,285800000,305800000,216000000,206600000,281900000,780800000,474800000,490300000,252600000,151400000,391300000,676200000,3273309000,5251604000,6494635000,5945753000,6413339000,7041387000,8204459000,9794277000,9014532000,10485160000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1352446000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44488000,27393000,16842000
61,Total Liabilities,2280089000,2648430000,2871111000,2799871000,1666464000,1270885000,909746000,921574000,995855000,1504873000,1448184000,1804592000,1629826000,903487000,2016592000,3393846000,3907088000,6017087000,7226113000,6550171000,7000380000,7856290000,8839511000,9994188000,10235755000,11670429000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153372000,60361000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,267000,606000,608000,686000,672000,673000,673000,675000,627000,631000,632000,625000,627000,1000000,1007000,1299000,1356000,1352000,1252000,1248000,1240000,1315000,1339000,1349000,87000,92000
64,Retained Earnings,180417000,259349000,257170000,277002000,279194000,154412000,85637000,90409000,148133000,163198000,369708000,406822000,424739000,405198000,445456000,523787000,704565000,986694000,530361000,325929000,126167000,-2083000,3567000,-138542000,-131682000,-113604000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,1000000,2000000,- -,-9000000,-8000000,-6000000,-10000000,-8000000,-2000000,-1000000,-1000000,-4000000,-8000000,-9000000,-2366000
66,Other Total Stockholders Equity,22912000,159737000,178598000,231754000,223560000,224021000,224408000,226174000,181348000,184578000,186639000,177699000,180414000,459413000,467108000,826225000,911501000,818276000,514781000,526385000,526551000,546808000,553799000,557204000,555967000,- -
67,Total Stockholders Equity,203596000,419692000,436376000,509442000,503426000,379106000,310718000,317258000,330108000,347407000,557979000,586146000,607780000,865611000,904571000,1343311000,1764794000,1856683000,1038394000,851562000,652958000,545040000,554705000,412011000,415372000,476694000
68,Total Liabilities And Stockholders Equity,2483685000,3068122000,3307487000,3309313000,2169890000,1649991000,1220464000,1238832000,1325963000,1852280000,2006163000,2390738000,2237606000,1769098000,2921163000,4737157000,5671882000,7873770000,8264507000,7401733000,7653338000,8401330000,9394216000,10406199000,10651127000,12147123000
69,Minority Interest,- -,1043000,592000,- -,79530000,61159000,1778000,1286000,1530000,1853000,3580000,3958000,406000,252000,246000,- -,- -,- -,2771000,3076000,2325000,1834000,- -,- -,- -,- -
70,Total Liabilities & Equity,2483685000,3069165000,3308079000,3309313000,2249420000,1711150000,1222242000,1240118000,1327493000,1854133000,2009743000,2394696000,2238012000,1769350000,2921409000,4737157000,5671882000,7873770000,8267278000,7404809000,7655663000,8403164000,9394216000,10406199000,10651127000,12147123000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/873860/000101905607000267/ocwen_10k6.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905608000419/ocn_10k07.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905609000308/0001019056-09-000308-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905610000280/0001019056-10-000280-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905611000277/ocn_10k.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905612000280/0001019056-12-000280-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905613000315/0001019056-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/873860/000144530514000799/a2013123110k.htm,https://www.sec.gov/Archives/edgar/data/873860/000087386015000004/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/873860/000162828016011876/0001628280-16-011876-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828017001600/0001628280-17-001600-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828018002495/0001628280-18-002495-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828019002124/0001628280-19-002124-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828020002312/0001628280-20-002312-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828021002577/0001628280-21-002577-index.htm,https://www.sec.gov/Archives/edgar/data/873860/000162828022003998/0001628280-22-003998-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,50142000,78932000,-1200000,19832000,2192000,-124782000,-68775000,4772000,57724000,15065000,206510000,38597000,17917000,297000,37984000,78331000,180923000,294149000,-469800000,-247017000,-199762000,-127966000,-70772000,-142125000,-40178000,18078000
74,Depreciation and Amortization,19300000,74400000,82700000,39400000,28853000,34239000,71509000,109490000,108062000,12812000,119842000,106709000,64732000,38594000,38967000,47156000,78617000,307026000,272285000,118353000,58316000,78674000,27202000,31911000,19121000,10265000
75,Deferred Income Tax,16403000,-39288000,-21827000,-53273000,40929000,87580000,- -,- -,- -,- -,-155949000,-2043000,- -,- -,-7764000,29898000,62393000,-22112000,37842000,68933000,4520000,731000,-3289000,3120000,-1374000,215000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10729000,7291000,5181000,5624000,2366000,2697000,2401000,4719000
77,Change in Working Capital,-34810000,2674126000,61113000,-53918000,-224029000,-206386000,-21577000,29197000,214745000,520691000,-125931000,204564000,-203910000,81738000,387176000,-3773263000,6134652000,10486000,-36697000,-900451000,-608097000,-737186000,68662000,432215000,-1285511000,49832000
78,Accounts Receivable,-20300000,-169000000,-185500000,37900000,-17359000,-151640000,18955000,-11108000,-124272000,-40694000,-297358000,-502976000,- -,- -,- -,- -,- -,224543000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-200000,24100000,-4300000,-16500000,39012000,-16226000,-5319000,965000,5676000,30929000,75570000,-189903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-2054500000,619626000,680739000,626821000,402792000,196406000,174829000,204026000,418771000,939462000,813531000,1018095000,814185000,895923000,1283099000,-2490164000,3644488000,3654974000,3618277000,2717826000,2109729000,1372543000,1441205000,1873420000,587909000,- -
82,Other Non-Cash Items,50333000,-2673905000,277893000,-132557000,157669000,263199000,270193000,-110330000,-403818000,-876742000,347309000,-859871000,244352000,86017000,271181000,4600023000,-4640731000,277614000,538165000,1534470000,1214503000,1192088000,248409000,-175878000,1566515000,-555264000
83,Cash Provided by Operating Activities,101368000,114265000,398679000,-180516000,5614000,53850000,251350000,33129000,-23287000,-328174000,391781000,-512044000,123091000,206646000,727544000,982145000,1815854000,867163000,352524000,581579000,474661000,411965000,272578000,151940000,260974000,-472155000
84,CAPEX,-5243000,-13744000,-23680000,-29285000,-53205000,-91814000,-141693000,-107632000,-71226000,-125229000,-146142000,-117449000,-9466000,-13941000,-556128000,-3822000,-199256000,-1016578000,-33918000,-49842000,-50874000,-10711000,-14449000,-147622000,-277307000,-834474000
85,Acquisitions Net,- -,-11635000,-426096000,92033000,- -,- -,- -,- -,-2482000,9643000,- -,- -,35498000,1522000,-1167122000,-2662040000,-444859000,-2083376000,-62053000,- -,- -,- -,64692000,- -,- -,-27927000
86,Purchases of Investments,-1495364000,-636716000,-1173138000,-646091000,-988264000,-38825000,-10729000,- -,- -,- -,-117859000,-122431000,- -,- -,- -,- -,- -,-609555000,-816881000,-1008065000,-1098758000,-1277615000,-920476000,-1026154000,-1203645000,-1772374000
87,Sales/Maturities of Investments,420118000,646920000,942264000,864305000,1178253000,109245000,195473000,77483000,66426000,10067000,245000,45894000,- -,- -,6036000,929000,- -,5886000,86234000,151107000,243596000,444388000,400521000,558720000,944699000,1628320000
88,Other Investing Activites,522238000,-478558000,366603000,201473000,555199000,369960000,-96002000,-77070000,-14043000,-113223000,-139489000,-42473000,10651000,-983000,-538799000,9815000,726946000,300982000,-154117000,1174815000,97061000,3064000,119414000,-118050000,-264819000,-826199000
89,Cash Used for Investing Activites,-558251000,-493733000,-314047000,482435000,741762000,428088000,75940000,-18777000,39625000,-104796000,-261504000,-122957000,40440000,-3161000,-1703706000,-2655118000,262870000,-2414978000,-958247000,280370000,-791619000,-839216000,-344865000,-587438000,-527875000,-1001450000
90,Debt Repayment,-14050000,-399000,-1975000,-402162000,-920108000,-56377000,-89489000,-57221000,-344261000,-307696000,-503421000,-456886000,-376837000,-724432000,-429756000,-291150000,-2493547000,-8955233000,-6083806000,-8908956000,-9996160000,-8132645000,-4048199000,-3681376000,-1475219000,-2441115000
91,Common Stock Issued,12993000,148240000,7987000,23000,56000,980000,312000,1334000,2427000,927000,7618000,1529000,- -,335129000,- -,354445000,- -,- -,- -,- -,- -,13913000,- -,- -,- -,9878000
92,Common Stock Repurchased,- -,-3200000,-7772000,-45691000,-27807000,- -,- -,-2262000,-49449000,- -,-11014000,-14520000,- -,-11000000,- -,- -,- -,-217903000,-382487000,-4142000,-5890000,- -,- -,- -,-4605000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5115000,-1163000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,455527000,334852000,210474000,82590000,- -,-319622000,-306521000,67638000,432866000,466459000,343510000,982540000,300088000,86712000,1442795000,1626116000,490719000,10684448000,7024140000,8178948000,10318285000,8549089000,4214936000,4212204000,1611650000,3811023000
95,Cash Used/Provided by Financing Activities,454470000,479493000,208714000,-365240000,-947859000,-375019000,-395698000,9489000,41583000,159690000,-163307000,512663000,-76749000,-313591000,1013039000,1689411000,-2002828000,1506197000,556684000,-734150000,316235000,430357000,166737000,530828000,131826000,1379786000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2413000,100025000,293346000,-63321000,-200483000,106919000,-68408000,23841000,57921000,-273280000,-33030000,-122338000,86782000,-110106000,36877000,16438000,75896000,-41618000,-49039000,127799000,-723000,3106000,94450000,95330000,-135075000,-93819000
98,Cash at the End of Period,52219000,152244000,445179000,381858000,153736000,260655000,192247000,216088000,287851000,269611000,236581000,114243000,201025000,90919000,127796000,144234000,220130000,178512000,129473000,257272000,256549000,259655000,397010000,492340000,357265000,263446000
99,Cash at the Beginning of Period,54632000,52219000,151833000,445179000,354219000,153736000,260655000,192247000,229930000,542891000,269611000,236581000,114243000,201025000,90919000,127796000,144234000,220130000,178512000,129473000,257272000,256549000,302560000,397010000,492340000,357265000
100,Free Cash Flow,96125000,100521000,374999000,-209801000,-47591000,-37964000,109657000,-74503000,-94513000,-453403000,245639000,-629493000,113625000,192705000,171416000,978323000,1616598000,-149415000,318606000,531737000,423787000,401254000,258129000,4318000,-16333000,-1306629000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/873860/000101905607000267/ocwen_10k6.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905608000419/ocn_10k07.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905609000308/0001019056-09-000308-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905610000280/0001019056-10-000280-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905611000277/ocn_10k.htm,https://www.sec.gov/Archives/edgar/data/873860/000101905612000280/0001019056-12-000280-index.html,https://www.sec.gov/Archives/edgar/data/873860/000101905613000315/0001019056-13-000315-index.html,https://www.sec.gov/Archives/edgar/data/873860/000144530514000799/a2013123110k.htm,https://www.sec.gov/Archives/edgar/data/873860/000087386015000004/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/873860/000162828016011876/0001628280-16-011876-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828017001600/0001628280-17-001600-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828018002495/0001628280-18-002495-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828019002124/0001628280-19-002124-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828020002312/0001628280-20-002312-index.html,https://www.sec.gov/Archives/edgar/data/873860/000162828021002577/0001628280-21-002577-index.htm,https://www.sec.gov/Archives/edgar/data/873860/000162828022003998/0001628280-22-003998-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
