,https://roic.ai/company/QDEL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50193000,51509000,51196000,53245000,59379000,46605000,41782000,40122000,158566000,174168000,167327000,192866000,176429000,165841000,162856000,604022000,612974000,688640000,728762000,990064000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82593000,117425000,112691000,113848000,127048000,133838000,142808000,166345000,214593000,278894000,242099000,271485000,451550000,406505000,388250000,935251000,806371000,910867000,1871164000,2430374000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3081000,5233000,4292000,5134000,3832000,5618000,4317000,5212000,4715000,5001000,7864000,6950000,12421000,8675000,16047000,27279000,25171000,26701000,86316000,101492000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12661000,10039000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127788000,77163000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1586000,1629000,- -,- -,- -,- -,- -,- -,- -,2156000,2029000,6330000,3658000,- -,- -,- -,1500000,3733000,1922000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5317000,9568000,5805000,11485000,10774000,11356000,11117000,24312000,11062000,27925000,13141000,15030000,17634000,18497000,17565000,101069000,134564000,97690000,234251000,210067000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8398000,16387000,11726000,16619000,14606000,16974000,15434000,29524000,15777000,32926000,23161000,24009000,36385000,30830000,33612000,128348000,159735000,125891000,336961000,323520000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10195000,- -,- -,- -,- -,- -,- -,10556000,73498000,42000000,5000000,- -,142097000,143297000,144340000,377262000,53188000,- -,100706000,128556000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000,788000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2313000,7040000,3349000,6318000,14890000,1970000,58000,430000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1244000,11258000,10780000,9986000,9166000,9161000,7190000,-973000,10484000,11542000,10809000,17379000,13167000,11732000,9610000,202107000,167864000,225156000,100794000,48936000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11439000,11258000,10780000,9986000,9166000,9161000,8138000,10371000,86295000,60582000,19158000,23697000,170154000,156999000,154008000,579799000,221052000,225156000,201500000,177492000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9677000,9088000,8439000,7764000,7000000,6999000,6761000,6556000,6276000,5947000,5567000,5126000,4617000,4077000,- -,- -,99639000,108505000,138595000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19837000,27645000,22506000,26605000,23772000,26135000,23572000,39895000,102072000,93508000,42319000,47706000,206539000,187829000,187620000,708147000,380787000,351047000,538461000,501012000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,31000,32000,34000,33000,33000,32000,29000,29000,33000,33000,34000,34000,33000,33000,35000,39000,42000,42000,42000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77937000,-58286000,-64573000,-73832000,-52114000,-37770000,-18922000,13961000,2690000,10323000,15316000,22706000,15632000,9553000,-4255000,-12420000,61763000,134684000,944971000,1649197000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27016000,-30719000,-33772000,-33076000,-35528000,-34884000,-37584000,-37684000,-42578000,-45889000,-50929000,-55313000,-60556000,-59597000,-70451000,-82675000,-96446000,-112199000,-124768000,355000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167679000,178754000,188498000,194117000,190885000,180324000,175710000,150144000,152380000,220919000,235360000,256352000,289901000,268687000,275303000,322164000,460228000,537293000,512458000,279768000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62756000,89780000,90185000,87243000,103276000,107703000,119236000,126450000,112521000,185386000,199780000,223779000,245011000,218676000,200630000,227104000,425584000,559820000,1332703000,1929362000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82593000,117425000,112691000,113848000,127048000,133838000,142808000,166345000,214593000,278894000,242099000,271485000,451550000,406505000,388250000,935251000,806371000,910867000,1871164000,2430374000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82593000,117425000,112691000,113848000,127048000,133838000,142808000,166345000,214593000,278894000,242099000,271485000,451550000,406505000,388250000,935251000,806371000,910867000,1871164000,2430374000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353569/000119312513071645/0001193125-13-071645-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000119312514073364/0001193125-14-073364-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356915000010/0000353569-15-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/353569/000035356917000012/0000353569-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356918000021/0000353569-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356919000013/0000353569-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356920000018/0000353569-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356921000028/0000353569-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/353569/000035356922000026/0000353569-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,800000,700000,-2000000,-4100000,600000,3500000,1100000,7700000,-5846000,854000,1291000,19651000,-6287000,-9259000,21718000,13631000,18848000,32883000,-11271000,7633000,4993000,7390000,-7074000,-6079000,-13808000,-8165000,74183000,72921000,810287000,704226000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1400000,1300000,1500000,1900000,2100000,2500000,3100000,3300000,6530000,8149000,6147000,6601000,6207000,5466000,9109000,9852000,4476000,6366000,12326000,17809000,23261000,24694000,28365000,23386000,22796000,30762000,46266000,51791000,49089000,54384000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-6400000,- -,- -,1355000,-10863000,441000,2887000,-6078000,5523000,8071000,2629000,- -,1217000,1469000,-1928000,-2744000,-4027000,-2603000,365000,-20458000,-1742000,-20211000,24673000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000,- -,- -,- -,- -,- -,- -,- -,2677000,4522000,5158000,7500000,6598000,8771000,6724000,7419000,7986000,9061000,11709000,13252000,21019000,25406000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,24002000,25527000,240000,-5785000,9079000,17196000,15333000,11107000,-56449000,31550000,-20189000,2999000,184126000,-28902000,-18052000,11099000,-169219000,62674000,709105000,-2780000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2468000,- -,- -,- -,- -,- -,- -,- -,-2157000,15603000,3079000,- -,-17924000,2911000,-4547000,16060000,-6265000,-42052000,8236000,-36059000,-402094000,118852000
79,Inventory,- -,- -,- -,- -,- -,- -,-200000,- -,400000,400000,1400000,-300000,-2100000,100000,889000,-1048000,-989000,1400000,-1029000,-860000,-1125000,-1412000,-665000,-3336000,2420000,3053000,-1075000,-11975000,2862000,-1637000,859000,362000,-3974000,9143000,-54903000,-85039000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461000,- -,- -,- -,- -,- -,- -,- -,- -,924000,-2595000,-1043000,1545000,-651000,4380000,-3082000,4323000,12956000,-331000,2434000,52226000,10446000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24002000,49529000,49769000,43984000,53063000,70259000,85592000,96699000,40250000,71800000,51611000,54610000,238736000,209834000,191782000,202881000,33662000,96336000,805441000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,300000,-1000000,200000,2300000,-1700000,-800000,5200000,-2800000,1051000,-3129000,-26637000,-22094000,9347000,7913000,-13097000,-18860000,-20464000,15336000,39943000,-18727000,3501000,-16244000,-173711000,44512000,15496000,-15413000,193864000,-64411000,-939526000,-40000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-3300000,1000000,-300000,100000,1000000,5200000,6700000,1800000,1806000,5874000,6158000,18822000,9948000,1222000,20731000,27342000,28941000,72843000,-10293000,46982000,19633000,25682000,35686000,36309000,11815000,27709000,136345000,134485000,629763000,805869000
84,CAPEX,- -,- -,- -,- -,- -,- -,-800000,-1800000,-8900000,-1900000,-2500000,-1900000,-5100000,-4200000,-3368000,-5700000,-4263000,-2494000,-5438000,-3157000,-10969000,-3749000,-4478000,-7100000,-10477000,-20787000,-27722000,-22501000,-11241000,-17032000,-11909000,-17510000,-31689000,-27229000,-64927000,-292724000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67448000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3761000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-500000,-200000,-2700000,-300000,-300000,-400000,-2400000,-600000,-137000,742000,-153000,128000,137000,-4511000,308000,-21000,-311000,-376000,-131061000,-16282000,-16379000,-13114000,-92000,-64000,-5061000,-414249000,146644000,- -,1605000,36881000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,700000,-2000000,-11600000,-2200000,-2800000,-2300000,-7500000,-4800000,-5443000,-4958000,-4416000,-2366000,-5301000,-7668000,-10661000,-3770000,-4429000,-11225000,-134539000,-20787000,-28600000,-33935000,-11241000,-17032000,-16970000,-431759000,114955000,-27229000,-63322000,-319530000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-784000,- -,- -,- -,- -,- -,- -,- -,-2101000,-238000,-3205000,-30280000,-38827000,-5380000,-441000,-509000,-4999000,-98000,-201943000,-53559000,-43957000,-260000
