,https://roic.ai/company/JNJ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3237600000,3664400000,4201000000,4695000000,5030000000,5777000000,6572000000,7358000000,7570000000,- -,9953000000,10569000000,10901000000,- -,11892000000,15316000000,15583000000,16560000000,19378000000,- -,21088000000,24558000000,30061000000,28307000000,- -,27695000000,25848000000,31791000000,34182000000,31022000000,- -,29423000000,32382000000,36596000000,37275000000,- -,34243000000
11,COGS and Expenses,5581300000,6019300000,6803000000,7596000000,8096000000,9240000000,10283000000,11476000000,11744000000,- -,15331000000,17587000000,18053000000,- -,19388000000,22662000000,25119000000,27007000000,31554000000,- -,34510000000,39615000000,47812000000,46818000000,- -,46142000000,44640000000,53449000000,55841000000,53768000000,- -,50878000000,57736000000,63582000000,64731000000,- -,62670000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000000,- -,90000000,107000000,64000000,74000000,67000000,- -,128000000,385000000,611000000,357000000,- -,111000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,- -,451000000,455000000,532000000,482000000,533000000,- -,552000000,934000000,1005000000,318000000,- -,201000000
14,Depreciation and Amortization,250500000,275200000,356000000,391000000,414000000,474000000,493000000,560000000,617000000,- -,857000000,1009000000,1067000000,- -,1246000000,1515000000,1605000000,1662000000,1869000000,- -,2124000000,2177000000,2777000000,2832000000,- -,2774000000,2939000000,3666000000,4104000000,3895000000,- -,3746000000,5642000000,6929000000,7009000000,- -,7231000000
15,EBITDA,1149700000,666000000,1549000000,1787000000,1928000000,2097000000,2531000000,2172000000,2949000000,- -,4174000000,5042000000,5643000000,- -,5515000000,8137000000,9503000000,10953000000,12177000000,- -,14962000000,16764000000,16060000000,20196000000,- -,18980000000,20341000000,18312000000,20057000000,24991000000,- -,23494000000,24249000000,25933000000,24655000000,- -,23929000000
16,EBITDA ratio,0.1790,0.0951,0.1933,0.1986,0.1976,0.1867,0.2033,0.1579,0.2086,- -,0.2215,0.2332,0.2494,- -,0.2331,0.2792,0.2879,0.3018,0.2909,- -,0.3160,0.3144,0.2629,0.3168,- -,0.3066,0.3303,0.2724,0.2813,0.3362,- -,0.3353,0.3172,0.3179,0.3005,- -,0.2898
17,Operating Income,840000000,983600000,1209000000,1404000000,1661000000,1992000000,2164000000,2277000000,2394000000,- -,3511000000,4033000000,4576000000,- -,4269000000,6477000000,7885000000,9291000000,10308000000,- -,12838000000,13709000000,13283000000,16929000000,- -,15755000000,16947000000,13775000000,15471000000,20563000000,- -,19196000000,18714000000,17999000000,17328000000,- -,19914000000
18,Operating Income ratio,0.1308,0.1405,0.1509,0.1560,0.1702,0.1774,0.1739,0.1656,0.1693,- -,0.1863,0.1865,0.2022,- -,0.1805,0.2223,0.2389,0.2560,0.2462,- -,0.2711,0.2571,0.2174,0.2656,- -,0.2545,0.2752,0.2049,0.2169,0.2766,- -,0.2739,0.2448,0.2206,0.2112,- -,0.2411
19,Total Other Income Expenses (Gains),59200000,-592800000,-16000000,-8000000,-147000000,-369000000,-126000000,-70000000,-62000000,- -,-194000000,- -,- -,- -,- -,145000000,13000000,- -,- -,- -,- -,878000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1041000000,- -,- -,- -,-3417000000
20,Income Before Tax,899200000,390800000,1193000000,1396000000,1514000000,1623000000,2038000000,2207000000,2332000000,- -,3317000000,4033000000,4576000000,- -,4269000000,6622000000,7898000000,9291000000,10308000000,- -,12838000000,14587000000,13283000000,16929000000,- -,15755000000,16947000000,13775000000,15471000000,20563000000,- -,19196000000,17673000000,17999000000,17328000000,- -,16497000000
21,Income Before Tax Ratio,0.1400,0.0558,0.1489,0.1551,0.1552,0.1445,0.1637,0.1605,0.1649,- -,0.1760,0.1865,0.2022,- -,0.1805,0.2273,0.2393,0.2560,0.2462,- -,0.2711,0.2736,0.2174,0.2656,- -,0.2545,0.2752,0.2049,0.2169,0.2766,- -,0.2739,0.2312,0.2206,0.2112,- -,0.1998
22,Income Tax expense (Gain),285500000,61300000,360000000,422000000,432000000,480000000,577000000,582000000,545000000,- -,914000000,1146000000,1273000000,- -,1210000000,1822000000,2230000000,2694000000,3111000000,- -,4329000000,3534000000,2707000000,3980000000,- -,3489000000,3613000000,3261000000,1640000000,4240000000,- -,3787000000,16373000000,2702000000,2209000000,- -,1783000000
23,Net Income,613700000,329500000,833000000,974000000,1082000000,1143000000,1461000000,1030000000,1787000000,- -,2403000000,2887000000,3303000000,- -,3059000000,4800000000,5668000000,6597000000,7197000000,- -,8509000000,11053000000,10576000000,12949000000,- -,12266000000,13334000000,10853000000,13831000000,16323000000,- -,15409000000,1300000000,15297000000,15119000000,- -,14714000000
24,Net Income ratio,0.0956,0.0471,0.1040,0.1082,0.1109,0.1018,0.1174,0.0749,0.1264,- -,0.1275,0.1335,0.1460,- -,0.1293,0.1647,0.1717,0.1817,0.1719,- -,0.1797,0.2073,0.1731,0.2031,- -,0.1982,0.2165,0.1614,0.1940,0.2196,- -,0.2199,0.0170,0.1875,0.1842,- -,0.1782
25,EPS,0.21,0.12,0.30,0.35,0.41,0.43,0.55,0.17,0.69,- -,0.93,1.08,1.24,- -,1.14,1.73,1.87,2.20,2.42,- -,2.87,3.76,3.67,4.67,- -,4.45,4.86,3.91,4.90,5.86,- -,5.57,0.48,5.75,5.74,- -,5.59
26,EPS Diluted,0.21,0.12,0.30,0.35,0.40,0.42,0.54,0.16,0.68,- -,0.93,1.08,1.21,- -,1.11,1.70,1.84,2.16,2.40,- -,2.84,3.73,3.63,4.57,- -,4.40,4.78,3.86,4.81,5.70,- -,5.48,0.47,5.61,5.63,- -,5.51
27,Weighted Average Shares Outstanding,2922380952,2745833333,2731147541,2743661972,2671604938,2658139535,2656363636,2627184466,2608759124,- -,2583870968,2660829493,2674493927,- -,2695154185,2782608696,3031016043,2998636364,2973966942,- -,2964808362,2939627660,2881743869,2811900000,- -,2760000000,2738097000,2778489000,2820628000,2783223000,- -,2755162000,2682525000,2662324000,2632507000,- -,2632512000
28,Weighted Average Shares Outstanding Diluted,2922380952,2745833333,2731147541,2782857143,2705000000,2689411765,2705555556,2627184466,2627941176,- -,2584000000,2726315789,2741078838,- -,2743497758,2823529412,3080434783,3054166667,2998750000,- -,2996126761,2963270777,2913498623,2835600000,- -,2789100000,2788800000,2812600000,2877000000,2863900000,- -,2812900000,2745300000,2728700000,2684300000,- -,2670700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012399002942/0000950123-99-002942-index.html,- -,https://www.sec.gov/Archives/edgar/data/200406/000095012302002712/0000950123-02-002712-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012305003140/0000950123-05-003140-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012307002542/0000950123-07-002542-index.html,https://www.sec.gov/Archives/edgar/data/200406/000095012308002130/0000950123-08-002130-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012309003187/0000950123-09-003187-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/0000950123-10-019392-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012311018128/0000950123-11-018128-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040613000038/0000200406-13-000038-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040614000033/0000200406-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201000000,2011000000,2753000000,- -,1927000000,3411000000,3758000000,2894000000,5377000000,- -,9203000000,4083000000,7770000000,10768000000,- -,4407000000,4428000000,4438000000,4675000000,3688000000,- -,5687000000,17824000000,6016000000,5501000000,- -,13985000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,146000000,- -,651000000,2333000000,4214000000,4581000000,4146000000,- -,3681000000,1000000,1545000000,2041000000,- -,15018000000,23230000000,16651000000,24531000000,29401000000,- -,32689000000,472000000,13671000000,13786000000,- -,11200000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201000000,2136000000,2899000000,- -,2578000000,5744000000,7972000000,7475000000,9523000000,- -,12884000000,4084000000,9315000000,12809000000,- -,19425000000,27658000000,21089000000,29206000000,33089000000,- -,38376000000,18296000000,19687000000,19287000000,- -,25185000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2903000000,3251000000,3329000000,- -,3661000000,4464000000,4630000000,5399000000,6574000000,- -,6831000000,8712000000,9444000000,9719000000,- -,9646000000,9774000000,11309000000,11713000000,10985000000,- -,10734000000,13490000000,14098000000,14481000000,- -,13576000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2276000000,2498000000,2516000000,- -,2853000000,2842000000,2992000000,3303000000,3588000000,- -,3744000000,4889000000,5110000000,5052000000,- -,5180000000,5378000000,7495000000,7878000000,8184000000,- -,8053000000,8765000000,8599000000,9020000000,- -,9344000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000000,1485000000,1819000000,- -,2040000000,2400000000,2879000000,3089000000,3310000000,- -,3861000000,5290000000,6076000000,6797000000,- -,5290000000,4497000000,6223000000,7610000000,7053000000,- -,3047000000,2537000000,3649000000,2486000000,- -,3132000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7938000000,9370000000,10563000000,- -,11132000000,15450000000,18473000000,19266000000,22995000000,- -,27320000000,22975000000,29945000000,34377000000,- -,39541000000,47307000000,46116000000,56407000000,59311000000,- -,60210000000,43088000000,46033000000,45274000000,- -,51237000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5196000000,5651000000,5810000000,- -,6240000000,6971000000,7719000000,8710000000,9846000000,- -,10436000000,13044000000,14185000000,14365000000,- -,14759000000,14553000000,16097000000,16710000000,16126000000,- -,15905000000,17005000000,17035000000,18615000000,- -,18766000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4653000000,5390000000,- -,5863000000,13340000000,14123000000,13719000000,- -,14862000000,15294000000,22424000000,22798000000,21832000000,- -,21629000000,31906000000,30453000000,33639000000,- -,36393000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2950000000,3107000000,3261000000,- -,7209000000,7256000000,9077000000,4593000000,6149000000,- -,5979000000,15348000000,14640000000,13976000000,- -,16323000000,16716000000,28752000000,27947000000,27222000000,- -,25764000000,53228000000,47611000000,47643000000,- -,53402000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2950000000,3107000000,3261000000,- -,7209000000,7256000000,9077000000,9246000000,11539000000,- -,11842000000,28688000000,28763000000,27695000000,- -,31185000000,32010000000,51176000000,50745000000,49054000000,- -,47393000000,85134000000,78064000000,81282000000,- -,89795000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000000,385000000,- -,416000000,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,175000000,- -,578000000,- -,288000000,643000000,780000000,- -,403000000,3210000000,1493000000,1432000000,- -,1424000000,1447000000,3136000000,3989000000,3154000000,- -,2562000000,7105000000,7506000000,5958000000,- -,8534000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1789000000,1361000000,1259000000,- -,636000000,1644000000,2931000000,2691000000,3103000000,- -,3316000000,2639000000,6568000000,7039000000,- -,7773000000,7591000000,4822000000,4832000000,3474000000,- -,7341000000,4971000000,4316000000,6599000000,- -,6562000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9935000000,10640000000,10890000000,- -,15079000000,15871000000,20015000000,21290000000,25268000000,- -,25997000000,47581000000,51009000000,50535000000,- -,55141000000,55601000000,75231000000,76276000000,71808000000,- -,73201000000,114215000000,106921000000,112454000000,- -,123657000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17873000000,20010000000,21453000000,- -,26211000000,31321000000,38488000000,40556000000,48263000000,- -,53317000000,70556000000,80954000000,84912000000,- -,94682000000,102908000000,121347000000,132683000000,131119000000,- -,133411000000,157303000000,152954000000,157728000000,- -,174894000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1602000000,1743000000,1753000000,- -,1861000000,2083000000,2838000000,3621000000,4966000000,- -,5227000000,5691000000,6909000000,7503000000,- -,5541000000,5623000000,5831000000,6266000000,7633000000,- -,6668000000,7310000000,7537000000,8544000000,- -,9505000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000000,- -,- -,- -,- -,1479000000,565000000,2117000000,1139000000,- -,280000000,4579000000,2463000000,3732000000,- -,6318000000,7617000000,4676000000,4852000000,3638000000,- -,7004000000,3906000000,2796000000,1202000000,- -,2631000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000000,- -,442000000,578000000,1064000000,770000000,500000000,- -,750000000,1854000000,818000000,2266000000,- -,1392000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2609000000,3430000000,- -,2793000000,2224000000,3139000000,3607000000,3567000000,- -,5490000000,7105000000,7640000000,7819000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2465000000,3441000000,3530000000,- -,6301000000,3578000000,4641000000,5711000000,7343000000,- -,8420000000,8891000000,7856000000,6187000000,- -,7079000000,7608000000,10616000000,10950000000,10247000000,- -,8585000000,12216000000,13257000000,18399000000,- -,30357000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4388000000,5184000000,5283000000,- -,8162000000,7140000000,8044000000,11449000000,13448000000,- -,13927000000,19161000000,19837000000,20852000000,- -,21731000000,23072000000,24262000000,25675000000,25085000000,- -,27747000000,30537000000,31230000000,35964000000,- -,42493000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2107000000,1410000000,1126000000,- -,1269000000,2037000000,2217000000,2022000000,2955000000,- -,2565000000,2014000000,7074000000,8120000000,- -,8223000000,9156000000,11489000000,13328000000,15122000000,- -,12857000000,30675000000,27684000000,26494000000,- -,32635000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,- -,- -,- -,- -,255000000,493000000,- -,- -,- -,- -,1319000000,- -,- -,- -,- -,- -,3136000000,3989000000,3154000000,- -,2562000000,8368000000,7506000000,5958000000,- -,7214000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2177000000,2580000000,2685000000,- -,3190000000,3081000000,3501000000,4388000000,4991000000,- -,5012000000,8744000000,10724000000,13429000000,- -,14140000000,14101000000,17634000000,15638000000,18006000000,- -,19095000000,27563000000,26782000000,29841000000,- -,29274000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4440000000,3990000000,3811000000,- -,4459000000,5373000000,6211000000,6410000000,7946000000,- -,7577000000,12077000000,17798000000,21549000000,- -,22363000000,23257000000,32259000000,32955000000,36282000000,- -,34514000000,66606000000,61972000000,62293000000,- -,69123000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8828000000,9174000000,9094000000,- -,12621000000,12513000000,14255000000,17859000000,21394000000,- -,21504000000,31238000000,37635000000,42401000000,- -,44094000000,46329000000,56521000000,58630000000,61367000000,- -,62261000000,97143000000,93202000000,98257000000,- -,111616000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1535000000,1535000000,- -,1535000000,1535000000,3120000000,3120000000,3120000000,- -,3120000000,3120000000,3120000000,3120000000,- -,3120000000,3120000000,3120000000,3120000000,3120000000,- -,3120000000,3120000000,3120000000,3120000000,- -,3120000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10511000000,11012000000,12661000000,- -,13928000000,18812000000,23066000000,26571000000,30503000000,- -,35223000000,49290000000,55280000000,63379000000,- -,70306000000,77773000000,85992000000,89493000000,97245000000,- -,103879000000,101793000000,106216000000,110659000000,- -,113890000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2979000000,-244000000,-756000000,- -,-656000000,-4277000000,-4739000000,-867000000,-608000000,- -,-526000000,-2118000000,-693000000,-4955000000,- -,-3058000000,-3531000000,-5810000000,-2860000000,-10722000000,- -,-13165000000,-13199000000,-15222000000,-15891000000,- -,-15242000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513000000,- -,- -,- -,- -,2738000000,2786000000,-6127000000,-6146000000,- -,-6004000000,-10974000000,-14388000000,-19033000000,- -,-19780000000,-20783000000,-18476000000,-15700000000,-19891000000,- -,-22684000000,-31554000000,-34362000000,-38417000000,- -,-38490000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9045000000,10836000000,12359000000,- -,13590000000,18808000000,24233000000,22697000000,26869000000,- -,31813000000,39318000000,43319000000,42511000000,- -,50588000000,56579000000,64826000000,74053000000,69752000000,- -,71150000000,60160000000,59752000000,59471000000,- -,63278000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17873000000,20010000000,21453000000,- -,26211000000,31321000000,38488000000,40556000000,48263000000,- -,53317000000,70556000000,80954000000,84912000000,- -,94682000000,102908000000,121347000000,132683000000,131119000000,- -,133411000000,157303000000,152954000000,157728000000,- -,174894000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17873000000,20010000000,21453000000,- -,26211000000,31321000000,38488000000,40556000000,48263000000,- -,53317000000,70556000000,80954000000,84912000000,- -,94682000000,102908000000,121347000000,132683000000,131119000000,- -,133411000000,157303000000,152954000000,157728000000,- -,174894000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012399002942/0000950123-99-002942-index.html,- -,https://www.sec.gov/Archives/edgar/data/200406/000095012302002712/0000950123-02-002712-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012305003140/0000950123-05-003140-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012307002542/0000950123-07-002542-index.html,https://www.sec.gov/Archives/edgar/data/200406/000095012308002130/0000950123-08-002130-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012309003187/0000950123-09-003187-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/0000950123-10-019392-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000095012311018128/0000950123-11-018128-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040613000038/0000200406-13-000038-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040614000033/0000200406-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1082000000,1143000000,1461000000,1030000000,1787000000,- -,2403000000,2887000000,3303000000,- -,3059000000,4800000000,5668000000,6597000000,7197000000,- -,8509000000,11053000000,10576000000,12949000000,- -,12266000000,13334000000,10853000000,13831000000,16323000000,- -,15409000000,1300000000,15297000000,15119000000,- -,14714000000
74,Depreciation and Amortization,- -,- -,- -,- -,414000000,474000000,493000000,560000000,617000000,- -,857000000,1009000000,1067000000,- -,1246000000,1515000000,1605000000,1662000000,1869000000,- -,2124000000,2177000000,2777000000,2832000000,- -,2774000000,2939000000,3666000000,4104000000,3895000000,- -,3746000000,5642000000,6929000000,7009000000,- -,7231000000
75,Deferred Income Tax,- -,- -,- -,- -,-8000000,-46000000,-22000000,-8000000,- -,- -,-63000000,-3000000,-121000000,- -,-239000000,-167000000,-106000000,-74000000,-720000000,- -,-498000000,-1168000000,-1762000000,22000000,- -,-436000000,356000000,-39000000,-607000000,441000000,- -,-270000000,2406000000,-1016000000,-2476000000,- -,-1141000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627000000,- -,628000000,614000000,662000000,728000000,792000000,- -,874000000,962000000,978000000,977000000,- -,1005000000
77,Change in Working Capital,- -,- -,- -,- -,-238000000,- -,- -,- -,- -,- -,1136000000,636000000,1094000000,- -,-2310000000,2564000000,2119000000,-2612000000,1730000000,- -,3846000000,-14945000000,6294000000,3417000000,- -,4285000000,6425000000,-9651000000,8878000000,3494000000,- -,-1763000000,-26194000000,2252000000,-5493000000,- -,-566000000
