,https://roic.ai/company/SMP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,18300000,56200000,54000000,60500000,103200000,90200000,73300000,136100000,130500000,109900000,148700000,172400000,159100000,133700000,163900000,150018000,200066000,169440000,114757000,114236000,98549000,97979000,90534000,273000,17908000,307000,190000,75000,16000,83000,62000,120000,79000,153000,129000,22547000,31227000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4500000,6200000,6400000,8400000,5800000,3700000,3300000,3600000,4900000,5700000,4200000,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,100000,-100000,100000,100000,- -,11400000,12800000,14100000,18600000,18400000,18700000,19700000,20405000,23083000,56009000,76889000,82565000,82866000,72889000,79161000,68213000,68050000,67780000,49698000,46760000,45759000,48486000,45107000,43708000,47937000,63192000,98909000,81155000,77738000
58,Total Non-Current Liabilities,18400000,60700000,60200000,67000000,111500000,96100000,77100000,139400000,145500000,127600000,168500000,195200000,180600000,152400000,183600000,170423000,223149000,225449000,191646000,196801000,181415000,170868000,169695000,68486000,85958000,68087000,49888000,46835000,45775000,48569000,45169000,43828000,48016000,63345000,99038000,103702000,108965000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28376000,22450000,31206000
61,Total Liabilities,53800000,113600000,131100000,202700000,260300000,271100000,237500000,213800000,245100000,267300000,301800000,401900000,393700000,316600000,352500000,355091000,323742000,336877000,468484000,449257000,467337000,449393000,489728000,411482000,290581000,282918000,278769000,269007000,266091000,299398000,289085000,327669000,333913000,375931000,408502000,406304000,585334000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26600000,26649000,26649000,26649000,40972000,40972000,40972000,40972000,40972000,40972000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000,47872000
64,Retained Earnings,94000000,108400000,120500000,125500000,134500000,138000000,140500000,145200000,158500000,177900000,189800000,200200000,161500000,181700000,184800000,190253000,183532000,148686000,141553000,120218000,109649000,112481000,106147000,76600000,80083000,97535000,153555000,186693000,228036000,259160000,291481000,336464000,357153000,380113000,417437000,463612000,532319000
65,Other Comprehensive Income/Loss,-14600000,-17400000,-20500000,-25800000,-30300000,-34200000,-36800000,-42900000,-52900000,-63200000,-75000000,-88900000,-102800000,-96100000,-107400000,-122785000,-138215000,-152279000,-169011000,-179290000,4000000,4000000,6000000,8000000,5000000,1000000,3000000,4000000,2000000,-3000000,-6000000,-11000000,-4000000,-10000000,-9000000,-5676000,-8169000
66,Other Total Stockholders Equity,41500000,44600000,46100000,51500000,41500000,47200000,51600000,58800000,72600000,80400000,95600000,112000000,125100000,119900000,99500000,100188000,113721000,130825000,212527000,225412000,31086000,33246000,35245000,37973000,60923000,63476000,67526000,69022000,71524000,70121000,58626000,67692000,52629000,49216000,47919000,44428000,- -
67,Total Stockholders Equity,120900000,135600000,146100000,151200000,145700000,151000000,155300000,161100000,178200000,195100000,210400000,223300000,183800000,205500000,203500000,194305000,185687000,153881000,226041000,207312000,185707000,190699000,188364000,163545000,193878000,209883000,271953000,307587000,349432000,374153000,391979000,441028000,453654000,467201000,504228000,550236000,601580000
68,Total Liabilities And Stockholders Equity,174700000,249200000,277200000,353900000,406000000,422100000,392800000,374900000,423300000,462400000,512200000,625200000,577500000,522100000,556000000,549396000,509429000,490758000,694525000,656569000,653044000,640092000,678092000,575027000,484459000,492801000,550722000,576594000,615523000,673551000,681064000,768697000,787567000,843132000,912730000,956540000,1186914000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-400000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000,- -,-44000,-48000,-31000,- -,11000,11047000
70,Total Liabilities & Equity,174700000,249200000,277200000,353900000,406000000,422100000,392800000,374900000,423300000,462400000,512200000,624800000,577100000,521600000,556000000,549396000,509429000,490758000,694525000,656569000,653044000,640092000,678092000,575027000,484459000,492801000,550722000,576594000,615523000,673528000,681064000,768653000,787519000,843101000,912730000,956551000,1197961000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/0000093389-96-000014-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/000090901201000224/0000909012-01-000224-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93389/000090901209000562/0000909012-09-000562-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114420410012767/0001144204-10-012767-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114420411013662/v213589_10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036112014478/0001140361-12-014478-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036113011471/0001140361-13-011471-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036114009869/form10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036115009241/form10k.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036116055160/0001140361-16-055160-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036117008300/0001140361-17-008300-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036118009555/0001140361-18-009555-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036119003526/0001140361-19-003526-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036120003721/0001140361-20-003721-index.html,https://www.sec.gov/Archives/edgar/data/93389/000114036121005993/0001140361-21-005993-index.htm,https://www.sec.gov/Archives/edgar/data/93389/000114036122006370/0001140361-22-006370-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13100000,7700000,6700000,8900000,17500000,23700000,16100000,14700000,-34500000,22300000,7600000,9729000,-2485000,-30556000,-1518000,-14380000,-3545000,9411000,2275000,-22894000,3483000,21960000,62401000,41353000,51450000,43029000,46018000,60430000,37976000,43003000,57917000,57393000,90886000
74,Depreciation and Amortization,- -,- -,- -,- -,7300000,8000000,8900000,9700000,10500000,11000000,13700000,16300000,19000000,17300000,17200000,18922000,18909000,16128000,17092000,19013000,17356000,15486000,15181000,14700000,14354000,13574000,14145000,16466000,17595000,17295000,17637000,20457000,23916000,24104000,25809000,26323000,27243000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-1400000,-1700000,-100000,-2400000,3000000,-4600000,-897000,-3628000,2550000,-1632000,-6425000,-4760000,328000,-3200000,-3894000,-2335000,8541000,11971000,5462000,-527000,-5309000,-1494000,-691000,19059000,-10046000,4736000,-8334000,-1801000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,914000,1494000,2025000,2358000,3668000,4843000,5379000,6127000,7638000,7998000,6917000,8101000,9479000
77,Change in Working Capital,- -,- -,- -,- -,-47200000,-18300000,-14800000,59800000,13300000,-15000000,43000000,-20400000,-34400000,900000,27500000,-17709000,40265000,-11424000,-25599000,3427000,-24992000,13545000,-239000,-78475000,54992000,10284000,2231000,24275000,29380000,-10557000,20620000,-4817000,-20813000,23444000,6331000,55965000,-48556000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40870000,19336000,9595000,15393000,-27278000,1755000,-1996000,-8826000,-5100000,-13699000,17929000,-71933000,28464000
79,Inventory,- -,- -,- -,- -,-20900000,-31600000,35800000,25400000,-11100000,-26000000,-17700000,-13300000,42500000,27700000,-5900000,-44666000,56966000,7996000,3511000,-3863000,10058000,-701000,-24150000,18240000,29830000,-47952000,2500000,-1556000,-6094000,-6712000,-12503000,-20155000,-13901000,-30199000,-17901000,17984000,-107609000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12952000,-1542000,-3105000,3287000,12497000,-4329000,1882000,7345000,-7186000,16894000,-1950000,7428000,33046000
81,Other Working Capital,- -,- -,- -,- -,164200000,145900000,131100000,190900000,204200000,189200000,232200000,211800000,177400000,178300000,205800000,188091000,228356000,216932000,191333000,194760000,169768000,183313000,183074000,104599000,159591000,169875000,172106000,196381000,225761000,215204000,235824000,231007000,210194000,233638000,239969000,295934000,-15044000
82,Other Non-Cash Items,- -,- -,- -,- -,400000,29500000,49600000,-46800000,-15700000,2800000,-70300000,-31700000,124000000,65200000,-21700000,-10998000,-12872000,83485000,43120000,1831000,13703000,-5081000,-21813000,135496000,30888000,-27775000,-17466000,3646000,-43950000,-2314000,-22989000,16299000,-3159000,-18245000,-24782000,-41552000,8313000
