,https://roic.ai/company/GTY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,7700000,9600000,11500000,13000000,-15500000,-20200000,-23000000,-22100000,-21800000,-21800000,-23200000,-23500000,10064000,9418000,10425000,9281000,9016000,8411000,7490000,8255000,7883000,9794000,11085000,11027000,9738000,10336000,13415000,10087000,10521000,15478000,18601000,18567000,22828000,28064000,34087000,35518000
15,EBITDA,44500000,62100000,38700000,77000000,38500000,-16600000,-23000000,-11000000,8100000,300000,-2500000,-30800000,28782000,27537000,39278000,43290000,45311000,45426000,46969000,53832000,53435000,51448000,59929000,63167000,66488000,27917000,35793000,91765000,43745000,67381000,73573000,83522000,92879000,102419000,129560000,123050000
16,EBITDA ratio,0.0338,0.0666,0.0290,0.0740,0.0325,-0.0131,-0.0206,-0.0122,0.0101,0.0004,-0.0030,-0.0347,0.3204,0.4489,0.6151,0.6143,0.6506,0.6650,0.7081,0.7542,0.7380,0.6557,0.7384,0.7472,0.7527,0.2473,0.3503,0.8956,0.4380,0.6085,0.6383,0.6951,0.6824,0.7282,0.8793,0.7918
17,Operating Income,17000000,31200000,43100000,62000000,53800000,3600000,-36900000,-22300000,25100000,19100000,24500000,-39200000,15787000,48431000,51733000,34009000,36295000,37565000,37994000,43999000,43693000,33940000,45784000,45930000,54868000,16719000,23177000,39232000,28965000,34290000,50199000,53258000,68025000,66762000,75577000,86457000
18,Operating Income ratio,0.0129,0.0335,0.0323,0.0596,0.0455,0.0028,-0.0330,-0.0247,0.0313,0.0244,0.0299,-0.0441,0.1757,0.7895,0.8101,0.4826,0.5211,0.5500,0.5728,0.6164,0.6035,0.4326,0.5641,0.5433,0.6212,0.1481,0.2269,0.3829,0.2900,0.3097,0.4355,0.4433,0.4998,0.4747,0.5129,0.5563
19,Total Other Income Expenses (Gains),4300000,4700000,-15900000,-14400000,-15500000,-18300000,17900000,16600000,-10700000,-7800000,-3000000,25100000,-2077000,-35593000,-25628000,-1926000,-132000,-128000,1485000,-45000,-1668000,-5837000,-6622000,-550000,-4761000,-5109000,-9369000,-11565000,-8436000,6080000,-8118000,-8210000,-19615000,-17039000,-6189000,147741000
20,Income Before Tax,21300000,35900000,27200000,47600000,38300000,-14700000,-19000000,-5700000,14400000,11300000,21500000,-14100000,13710000,12838000,26105000,32083000,36163000,37437000,- -,43954000,42025000,28103000,39162000,- -,50107000,11610000,13808000,27667000,20529000,40370000,42081000,45048000,48410000,49723000,69388000,234198000
21,Income Before Tax Ratio,0.0162,0.0385,0.0204,0.0457,0.0324,-0.0116,-0.0170,-0.0063,0.0179,0.0145,0.0262,-0.0159,0.1526,0.2093,0.4088,0.4552,0.5192,0.5481,- -,0.6158,0.5804,0.3582,0.4825,- -,0.5673,0.1029,0.1351,0.2700,0.2056,0.3646,0.3651,0.3749,0.3557,0.3535,0.4709,1.5070
22,Income Tax expense (Gain),9800000,18800000,12200000,19200000,15300000,-5200000,-6700000,-2000000,5100000,4400000,8100000,-4900000,5766000,5337000,11091000,-36648000,- -,- -,- -,-1494000,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,11500000,17100000,15000000,28400000,23000000,-9500000,-12300000,-3700000,10200000,6300000,12600000,-9200000,7944000,10056000,15014000,68731000,36163000,36887000,39352000,45448000,42725000,33894000,41810000,47049000,51700000,12456000,12447000,70011000,23418000,37410000,38411000,47186000,47706000,49723000,69388000,62860000
24,Net Income ratio,0.0087,0.0183,0.0112,0.0273,0.0194,-0.0075,-0.0110,-0.0041,0.0127,0.0081,0.0154,-0.0104,0.0884,0.1639,0.2351,0.9753,0.5192,0.5400,0.5933,0.6367,0.5901,0.4320,0.5151,0.5565,0.5853,0.1104,0.1218,0.6833,0.2345,0.3378,0.3332,0.3927,0.3505,0.3535,0.4709,0.4045
25,EPS,0.50,1.00,0.91,1.84,1.59,-0.74,-0.98,-0.29,0.81,0.50,1.00,-0.72,0.60,0.36,0.73,3.18,1.44,1.49,1.59,1.84,1.73,1.37,1.69,1.90,1.85,0.37,0.37,2.08,0.69,1.11,1.12,1.26,1.17,1.19,1.62,1.37
26,EPS Diluted,0.50,1.00,0.91,1.84,1.59,-0.74,-0.98,-0.29,0.81,0.50,1.00,-0.72,0.60,0.36,0.73,3.18,1.44,1.49,1.59,1.84,1.73,1.37,1.69,1.90,1.85,0.37,0.37,2.08,0.69,1.11,1.12,1.26,1.17,1.19,1.62,1.37
27,Weighted Average Shares Outstanding,13490000,17184579,16425760,15435000,14461078,12837838,12551020,12758621,12592593,12600000,12600000,12777778,13152000,13566000,13563000,16237000,21436000,23063000,24679000,24711000,24735000,24765000,24766000,24766000,27950000,33171000,33395000,33397000,33409000,33420000,33806000,36897000,40171000,41072000,42040000,44955000
28,Weighted Average Shares Outstanding Diluted,13490000,17184579,16425760,15435000,14461078,12837838,12551020,12758621,12592593,12600000,12600000,12777778,13348000,13571000,13565000,16244000,21446000,23082000,24721000,24729000,24759000,24787000,24774000,24767000,27953000,33172000,33395000,33397000,33409000,33420000,33806000,36897000,40191000,41110000,42070000,45025000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1052752/000095013703001769/0000950137-03-001769-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013704001787/0000950137-04-001787-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013705003144/0000950137-05-003144-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1052752/000117120009000025/0001171200-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000117120010000264/0001171200-10-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000095012311026009/0000950123-11-026009-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312512117565/0001193125-12-117565-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312513112263/0001193125-13-112263-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312514102352/0001193125-14-102352-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312515091555/0001193125-15-091555-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312516500301/0001193125-16-500301-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312517067946/0001193125-17-067946-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459018004142/0001564590-18-004142-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459019004983/0001564590-19-004983-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459020007390/0001564590-20-007390-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459021008446/0001564590-21-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459022006773/0001564590-22-006773-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62300000,21900000,42900000,47000000,31200000,32200000,31300000,38700000,42300000,41600000,19800000,18900000,10034000,657000,- -,37523000,33726000,19905000,15700000,1247000,1195000,2071000,2178000,3050000,6122000,7698000,16876000,12035000,3111000,3942000,12523000,19992000,46892000,21781000,55075000,24738000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62300000,21900000,42900000,47000000,31200000,32200000,31300000,38700000,42300000,41600000,19800000,18900000,10034000,657000,- -,37523000,33726000,19905000,15700000,1247000,1195000,2071000,2178000,3050000,6122000,7698000,16876000,12035000,3111000,3942000,12523000,19992000,46892000,21781000,55075000,24738000
34,Net Receivables,23500000,32900000,28400000,34300000,32100000,31200000,30200000,25000000,21200000,18300000,15300000,18300000,9450000,- -,- -,8388000,28512000,20653000,25117000,29287000,32297000,24915000,1533000,6284000,5762000,37172000,41865000,33899000,38621000,51430000,36855000,36078000,36527000,33918000,15091000,18237000
35,Inventory,14500000,44100000,51300000,41500000,31000000,29100000,21700000,9800000,10000000,11100000,21200000,17300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,872000,- -
36,Other Current Assets,3200000,6800000,10800000,9500000,12400000,34700000,24100000,17200000,18700000,10000000,10400000,20500000,- -,- -,- -,- -,992000,- -,- -,- -,- -,- -,- -,9696000,6965000,10770000,31940000,55605000,33687000,48346000,44275000,55876000,59727000,62523000,73344000,88107000
37,Total Current Assets,103500000,105700000,133400000,132300000,106700000,127200000,107300000,90700000,92200000,81000000,66700000,75000000,- -,- -,- -,- -,63230000,- -,- -,- -,- -,- -,3711000,19030000,18849000,55640000,90681000,101539000,75419000,103718000,93653000,111946000,143146000,118222000,144382000,131082000
38,PP&E,93000000,128400000,132000000,137500000,177400000,199900000,197100000,192300000,190000000,188500000,184600000,186000000,228023000,239748000,- -,222110000,214068000,217734000,240127000,260695000,267469000,351789000,344245000,367205000,360370000,478737000,420208000,443839000,490926000,674524000,660945000,837611000,- -,22178000,25082000,21471000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5193000,5565000,3961000,3129000,3440000,1473000,- -,19156000,20540000,92632000,91904000,97147000,95764000,94098000,92097000,89587000,85892000,82366000,77238000,71647000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,34600000,26000000,24700000,25300000,25900000,10900000,13100000,10700000,10200000,9500000,10200000,23500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27481000,27385000,8080000,37788000,39877000,25392000,26789000,30611000,33610000,930137000,989011000,1102810000,1242748000
45,Total Non-Current Assets,127600000,154400000,156700000,162800000,203300000,210800000,210200000,203000000,200200000,198000000,194800000,209500000,- -,- -,- -,- -,219261000,- -,- -,- -,- -,- -,- -,413842000,408295000,579449000,549900000,580863000,612082000,795411000,783653000,960808000,1016029000,1093555000,1205130000,1335866000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268543000,261084000,- -,288188000,- -,272003000,290728000,299981000,309283000,396911000,384102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,231100000,260100000,290100000,295100000,310000000,338000000,317500000,293700000,292400000,279000000,261500000,284500000,268543000,261084000,- -,288188000,282491000,272003000,290728000,299981000,309283000,396911000,387813000,432872000,427144000,635089000,640581000,682402000,687501000,899129000,877306000,1072754000,1159175000,1211777000,1349512000,1466948000
48,Accounts Payable,- -,- -,- -,- -,29800000,32800000,16400000,36500000,32300000,39300000,26900000,28600000,61934000,53284000,- -,13015000,9839000,9944000,10104000,9515000,10029000,10642000,22337000,21301000,18013000,34710000,45160000,57416000,51417000,73023000,63586000,63490000,62059000,60958000,47081000,45941000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150290000,58000000,25000000,144000000,123801000,154502000,117227000,20000000,25000000,60000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68400000,84400000,100200000,81600000,47600000,68600000,53800000,51200000,53700000,52400000,49400000,65200000,- -,34616000,- -,36385000,38303000,33256000,- -,- -,- -,41558000,29263000,11805000,29306000,- -,-146088000,-49577000,-12850000,-128103000,-114059000,-141656000,-102732000,-4443000,17332000,19467000
53,Total Current Liabilities,68400000,84400000,100200000,81600000,77400000,101400000,70200000,87700000,86000000,91700000,76300000,93800000,- -,87900000,- -,49400000,48142000,43200000,- -,- -,- -,52200000,51600000,33106000,47319000,34710000,49362000,65839000,63567000,88920000,73328000,76336000,76554000,76515000,89413000,125408000
54,Long-Term Debt,100200000,97900000,96800000,92900000,96300000,114600000,133600000,96800000,84600000,60100000,42400000,31200000,40500000,4500000,- -,- -,923000,844000,24000000,34224000,45194000,132500000,130250000,175570000,64890000,170510000,172320000,158000000,125344000,319303000,298544000,379158000,441636000,469065000,552414000,548835000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4600000,1700000,3200000,3200000,5200000,9300000,15800000,15100000,16400000,14100000,17000000,14100000,29719000,30210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4300000,5900000,7900000,9300000,10000000,11800000,12100000,12300000,13200000,14600000,15200000,44900000,- -,490000,- -,1000000,- -,-44000,- -,- -,- -,- -,50000,16527000,- -,57700000,46150000,43472000,91566000,84345000,74516000,63565000,59821000,76758000,48084000,47597000
58,Total Non-Current Liabilities,109100000,105500000,107900000,105400000,111500000,135700000,161500000,124200000,114200000,88800000,74600000,90200000,70219000,35200000,- -,1000000,923000,800000,24000000,34224000,45194000,132500000,130300000,192097000,64890000,228210000,218470000,201472000,216910000,403648000,373060000,442723000,501457000,545823000,600498000,596432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200169000,- -,- -,2015000,- -,- -,89225000,106322000,128902000,265033000,260616000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26035000,28586000,24985000
61,Total Liabilities,177500000,189900000,208100000,187000000,188900000,237100000,231700000,211900000,200200000,180500000,150900000,184000000,129950000,123053000,- -,50415000,49065000,43978000,65225000,72098000,83708000,184733000,181916000,225203000,112209000,262920000,267832000,267311000,280477000,492568000,446388000,519059000,578011000,622338000,689911000,721840000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000,136000,- -,224000,214000,247000,247000,247000,248000,248000,248000,248000,299000,334000,334000,334000,334000,334000,344000,397000,409000,414000,436000,467000
64,Retained Earnings,2400000,3500000,9700000,15600000,8900000,9000000,-20700000,-24400000,-24400000,-24400000,3500000,-7200000,-848000,-1346000,- -,-20537000,-25096000,-29428000,-32039000,-30130000,-32499000,-44505000,-49124000,-49045000,-52304000,-88852000,-89011000,-47640000,-56624000,-58111000,-55085000,-51574000,-57423000,-67102000,-63443000,-73568000
65,Other Comprehensive Income/Loss,-22300000,-29300000,-38600000,-48900000,-61700000,-79100000,-94000000,-111200000,-129800000,-40000000,-41300000,-186600000,-63600000,-68045000,- -,-89242000,-93986000,-100488000,-106463000,-30000000,-821000,-2299000,-4296000,-2993000,-1153000,- -,-89000000,-48000000,-57000000,-58000000,-55000000,-52000000,-57000000,-67000000,- -,- -
66,Other Total Stockholders Equity,73500000,96000000,110900000,141400000,173900000,171000000,200500000,217400000,246400000,162900000,148400000,294300000,202897000,207286000,- -,347328000,280650000,357694000,363758000,287766000,258647000,258734000,259069000,259459000,368093000,460687000,550426000,510397000,520314000,522338000,540659000,656872000,695178000,723127000,722608000,818209000
67,Total Stockholders Equity,53600000,70200000,82000000,108100000,121100000,100900000,85800000,81800000,92200000,98500000,110600000,100500000,138593000,138031000,- -,237773000,233426000,228025000,225503000,227883000,225575000,212178000,205897000,207669000,314935000,372169000,372749000,415091000,407024000,406561000,430918000,553695000,581164000,589439000,659601000,745108000
68,Total Liabilities And Stockholders Equity,231100000,260100000,290100000,295100000,310000000,338000000,317500000,293700000,292400000,279000000,261500000,284500000,268543000,261084000,- -,288188000,282491000,272003000,290728000,299981000,309283000,396911000,387813000,432872000,427144000,635089000,640581000,682402000,687501000,899129000,877306000,1072754000,1159175000,1211777000,1349512000,1466948000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,231100000,260100000,290100000,295100000,310000000,338000000,317500000,293700000,292400000,279000000,261500000,284500000,268543000,261084000,- -,288188000,282491000,272003000,290728000,299981000,309283000,396911000,387813000,432872000,427144000,635089000,640581000,682402000,687501000,899129000,877306000,1072754000,1159175000,1211777000,1349512000,1466948000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1052752/000095013703001769/0000950137-03-001769-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013704001787/0000950137-04-001787-index.html,https://www.sec.gov/Archives/edgar/data/1052752/000095013705003144/0000950137-05-003144-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1052752/000117120009000025/0001171200-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000117120010000264/0001171200-10-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000095012311026009/0000950123-11-026009-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312512117565/0001193125-12-117565-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312513112263/0001193125-13-112263-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312514102352/0001193125-14-102352-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312515091555/0001193125-15-091555-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312516500301/0001193125-16-500301-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000119312517067946/0001193125-17-067946-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459018004142/0001564590-18-004142-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459019004983/0001564590-19-004983-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459020007390/0001564590-20-007390-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459021008446/0001564590-21-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1052752/000156459022006773/0001564590-22-006773-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,23000000,-9500000,-12300000,-3700000,10200000,6300000,12600000,-9200000,7944000,10056000,15014000,68731000,36163000,36887000,39352000,45448000,42725000,33894000,41810000,47049000,51700000,12456000,12447000,70011000,23418000,37410000,38411000,47186000,47706000,49723000,69388000,62860000
74,Depreciation and Amortization,- -,- -,- -,- -,-15500000,-20200000,-23000000,-22100000,-21800000,-21800000,-23200000,-23500000,10064000,9418000,10425000,9281000,9016000,8411000,7490000,8255000,7883000,9794000,11085000,11027000,9738000,10336000,13415000,10087000,10521000,15478000,18601000,18567000,22828000,28064000,34087000,35518000
75,Deferred Income Tax,- -,- -,- -,- -,1900000,2400000,3700000,3400000,-400000,-1600000,3000000,-11000000,-1061000,491000,5874000,-36479000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000,390000,480000,643000,757000,971000,917000,1090000,1426000,1350000,1777000,2468000,3130000,3997000
77,Change in Working Capital,- -,- -,- -,- -,6400000,-21400000,-3500000,11300000,-34100000,3200000,-16900000,1100000,-9200000,18800000,-87900000,38500000,64488000,-58288000,43200000,- -,- -,-52200000,4311000,33813000,-14394000,49400000,20389000,-5619000,-23848000,2946000,5527000,15285000,30982000,-24885000,13262000,44954000
78,Accounts Receivable,- -,- -,- -,- -,3000000,7800000,2200000,5200000,3200000,2900000,3000000,-3000000,-700000,5900000,1915000,2769000,-374000,6331000,3056000,939000,457000,-465000,-5000,-724000,448000,-14890000,-15848000,20847000,-730000,-1546000,-2382000,-1295000,-814000,-740000,-1048000,60000
79,Inventory,- -,- -,- -,- -,14000000,4400000,8200000,11900000,200000,-1100000,-10100000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-7800000,7100000,-31100000,18800000,-3400000,6400000,-13800000,15100000,-10500000,-3700000,-14237000,1310000,-1547000,-8563000,-3979000,-4665000,-1732000,-329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-554000
81,Other Working Capital,- -,- -,- -,- -,50700000,29300000,25800000,37100000,3000000,6200000,-10700000,-9600000,-18800000,- -,-87900000,-49400000,15088000,-43200000,- -,- -,- -,-52200000,-47889000,-14076000,-28470000,20930000,41319000,35700000,11852000,14798000,20325000,35610000,66592000,41707000,54969000,99923000
82,Other Non-Cash Items,- -,- -,- -,- -,30600000,73100000,25300000,68900000,84200000,55200000,41200000,74800000,4169000,-22706000,72323000,-43799000,-73330000,51425000,-48126000,-8146000,-4757000,53028000,-9948000,-39747000,9399000,-11605000,-31123000,-31772000,18229000,-7236000,-27091000,-25646000,-39947000,21404000,-37040000,-60511000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,46400000,24400000,-9800000,57800000,38100000,41300000,16700000,32200000,11916000,16059000,15736000,36234000,36337000,38435000,41916000,45557000,45851000,44516000,47584000,52532000,56923000,61230000,15885000,43678000,29237000,49688000,36874000,56742000,63346000,76774000,82827000,86818000
84,CAPEX,- -,- -,- -,- -,-54400000,-42500000,-22700000,-16300000,-19500000,-22800000,-23100000,-25600000,-15236000,-31584000,-25141000,-536000,-2821000,-14266000,-30568000,-29573000,-28614000,-172852000,-6579000,-56940000,-4725000,-168245000,-4148000,-67174000,-17238000,-219526000,-298000,-434000,-3794000,-14000,-282000,-271000
