,https://roic.ai/company/DPDW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1553,-0.7096,- -,0.1379,-0.1731,-0.2678,-0.2197,-3.3739,0.0491,-0.1209,-0.5481,-0.4100,0.0779,-0.0845,-0.0201,-0.2027,-0.0741,0.0065,-0.0060,-0.2932,-0.1467,-0.7513,0.2041
25,EPS,72.30,-281.81,- -,-196.97,-1.26,-24.00,-28.60,-0.80,0.20,-0.60,-1.80,-1.80,0.20,-0.24,-0.05,-0.38,-0.12,0.01,-0.01,-0.35,-0.21,-0.48,0.19
26,EPS Diluted,72.30,-281.81,- -,-196.97,-1.26,-24.00,-28.60,-0.80,0.20,-0.60,-1.80,-1.80,0.20,-0.24,-0.05,-0.38,-0.12,0.01,-0.01,-0.35,-0.21,-0.48,0.19
27,Weighted Average Shares Outstanding,77,77,- -,77,36779,36779,43071,3835082,3695859,7145330,8971500,9657350,10305650,10185000,11858000,15179000,15104000,15520000,14233000,13553000,13386000,12495000,12390000
28,Weighted Average Shares Outstanding Diluted,77,77,- -,77,36779,36779,43071,3835082,5217472,7145330,8971500,9657350,10305650,10185000,11860000,15179000,15104000,15520000,14233000,13553000,13386000,12495000,12390000
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968708004369/0001019687-08-004369-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968709000862/0001019687-09-000862-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968712001120/0001019687-12-001120-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968713001032/0001019687-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968714001066/0001019687-14-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968715001187/0001019687-15-001187-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968716005611/0001019687-16-005611-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316817000727/0001683168-17-000727-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316818000784/0001683168-18-000784-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316819001057/0001683168-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316820001029/0001683168-20-001029-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316821001100/0001683168-21-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316822002017/0001683168-22-002017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,256647,67103,12462,2206220,2495464,912000,3730000,4979000,1523000,5260000,5312000,4274000,8203000,3939000,2015000,3523000,3745000,3676000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1005000,1017000,1035000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,256647,67103,12462,2206220,2495464,912000,3730000,4979000,1523000,5260000,5312000,4274000,9208000,4956000,3050000,3523000,3745000,3676000
34,Net Receivables,- -,- -,- -,- -,240000,696817,499474,1264228,10291799,10772097,7662000,5518000,5854000,9687000,10826000,13296000,9203000,7022000,5067000,6319000,5268000,4650000,5929000
35,Inventory,- -,- -,- -,- -,110000,104909,145609,145487,1447865,1362110,896000,223000,232000,232000,254000,3127000,3117000,- -,- -,- -,- -,187000,254000
36,Other Current Assets,- -,- -,- -,- -,- -,72500,40817,927973,687058,1694360,492000,267000,346000,321000,274000,280000,229000,864000,302000,621000,156000,340000,1105000
37,Total Current Assets,- -,- -,- -,- -,350000,1130873,753003,2350150,14632942,16324031,9962000,9738000,11411000,11763000,16614000,22015000,16823000,17094000,10325000,9990000,8947000,8922000,10964000
38,PP&E,- -,- -,- -,- -,230000,245455,215969,845200,5172804,13799196,20011000,11676000,12036000,13103000,15395000,11732000,10762000,7938000,12352000,9691000,12298000,2604000,3588000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,6934213,10594144,15024300,9429000,4916000,4916000,4916000,4916000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4369647,18090680,12166000,2908000,2502000,126000,119000,82000,75000,69000,63000,- -,- -,44000,38000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6934213,14963791,33114980,21595000,7824000,7418000,5042000,5035000,82000,75000,69000,63000,56000,50000,44000,38000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146000,1163000,984000,468000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1282152,457836,1136000,1240000,416000,607000,790000,891000,878000,3328000,1230000,383000,256000,- -,136000
45,Total Non-Current Assets,- -,- -,- -,- -,230000,245455,215969,7779413,21418747,47372012,42742000,23886000,21033000,19736000,21688000,12705000,11715000,11335000,13645000,10130000,12604000,2648000,3762000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,580000,1376328,968972,10129563,36051689,63696043,52704000,33624000,32444000,31499000,38302000,34720000,28538000,28429000,23970000,20120000,21551000,11570000,14726000
48,Accounts Payable,- -,- -,- -,- -,110000,119026,110272,816490,3569826,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988000,- -
49,Short-Term Debt,- -,- -,- -,- -,10000,728896,396037,410731,995177,382912,1497000,1609000,2893000,680000,1716000,5615000,2747000,- -,- -,9000,1181000,2124000,1306000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,188030,- -,- -,315000,260000,44000,- -,- -,- -,- -,612000,973000,623000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,350000,538286,632814,190000,3205667,6633437,7299000,6165000,4333000,5042000,2989000,4139000,2208000,5127000,1511000,1982000,2204000,730000,2560000
53,Total Current Liabilities,- -,- -,- -,- -,470000,1386208,1139123,1417221,7958700,7016349,8796000,8089000,7486000,5766000,4705000,9754000,4955000,5127000,2123000,2964000,4008000,4842000,3866000
54,Long-Term Debt,- -,- -,- -,- -,170000,135904,99173,757617,10698818,1718475,5379000,2443000,173000,2936000,3218000,- -,- -,- -,- -,47000,- -,- -,588000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125945,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,11254442,4805655,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3180000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,170000,135904,99173,12012059,15504473,2844420,5379000,2443000,173000,2936000,3218000,- -,- -,- -,- -,47000,3180000,- -,588000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2199000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4361000,3212000,- -
61,Total Liabilities,- -,- -,- -,- -,640000,1522112,1238296,13429280,23463173,9860769,14175000,10532000,7659000,8702000,7923000,9754000,4955000,5127000,2123000,3011000,7188000,7041000,4454000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,22,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,380000,496983,516168,828702,85977,177351,180000,207000,205000,10000,15000,15000,16000,15000,15000,16000,16000,16000,16000
64,Retained Earnings,- -,- -,- -,- -,-440000,-1139424,-2370109,-3299817,-2347308,-6670201,-22812000,-40866000,-38729000,-41183000,-41778000,-47581000,-49422000,-49258000,-49374000,-54116000,-56890000,- -,-60621000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-230000,-37616,-69971,- -,-422314,-1685577,-3595000,-3821000,-4871000,-6241000,-7718000,-8710000,-10336000,-11195000,-11146000,-11466000,-12069000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,270419,534273,1654588,-828624,15272161,62013701,64756000,67572000,68180000,70211000,79860000,81242000,83325000,83740000,82352000,82675000,83306000,7882000,70877000
67,Total Stockholders Equity,- -,- -,- -,- -,-19581,-145784,-269324,-3299717,12588516,53835274,38529000,23092000,24785000,22797000,30379000,24966000,23583000,23302000,21847000,17109000,14363000,7898000,10272000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,620419,1376328,968972,10129563,36051689,63696043,52704000,33624000,32444000,31499000,38302000,34720000,28538000,28429000,23970000,20120000,21551000,14939000,14726000
69,Minority Interest,- -,- -,- -,- -,-40419,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3369000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,580000,1376328,968972,10129563,36051689,63696043,52704000,33624000,32444000,31499000,38302000,34720000,28538000,28429000,23970000,20120000,21551000,11570000,14726000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968708004369/0001019687-08-004369-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968709000862/0001019687-09-000862-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968712001120/0001019687-12-001120-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968713001032/0001019687-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968714001066/0001019687-14-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968715001187/0001019687-15-001187-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968716005611/0001019687-16-005611-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316817000727/0001683168-17-000727-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316818000784/0001683168-18-000784-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316819001057/0001683168-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316820001029/0001683168-20-001029-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316821001100/0001683168-21-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316822002017/0001683168-22-002017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5567,-21699,- -,80000,-180000,-1068884,-1230685,-3299817,952509,-4322893,-16142000,-17415000,2137000,-2454000,-595000,-5803000,-1841000,164000,-116000,-4742000,-2774000,-6057000,2326000
74,Depreciation and Amortization,805,410,- -,246,247,116652,70742,75342,2261902,2363106,8154000,4058000,1890000,1773000,1583000,1599000,1704000,1532000,1348000,1872000,1381000,1082000,951000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-855708,-909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,584009,836000,727000,424000,554000,610000,693000,516000,344000,134000,56000,250000,117000,48000
77,Change in Working Capital,2431,- -,- -,- -,-120000,-135335,-130785,1286560,5741313,2633440,-8141682,483000,2276000,2072000,5912000,352000,-393000,99000,-3765000,-1176000,-2087000,-859000,3018000
78,Accounts Receivable,-96,438,- -,- -,- -,- -,- -,- -,- -,-3087260,2918000,1669000,-113000,-2460000,2039000,-1668000,-1421000,1355000,1897000,-503000,-86000,-433000,-1721000
79,Inventory,94,538,- -,-1832,1010,5176,-46162,23185,-255975,-1931907,466000,79000,-9000,- -,-22000,39000,10000,- -,- -,- -,- -,-187000,-67000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000
81,Other Working Capital,- -,- -,- -,- -,-120000,-255335,-386120,932929,6674242,9307682,1166000,1649000,3925000,5997000,11909000,12261000,11868000,11967000,8202000,7026000,4939000,4080000,7098000
82,Other Non-Cash Items,-5000,11932,- -,-86455,261480,316068,1007541,1881673,-11961860,-604366,18734682,8104000,-8423000,-3186000,-8948000,3014000,2489000,3475000,1637000,2445000,3467000,5511000,-7410000
83,Cash Provided by Operating Activities,3803,-9357,- -,-6209,-38273,-771499,-283187,-56242,-3006136,-202412,2532000,-4043000,-1696000,-1241000,-1438000,-145000,2475000,5614000,-762000,-1545000,237000,-206000,-1067000
84,CAPEX,- -,- -,- -,- -,- -,-121663,-54600,- -,-830965,-4803795,-6731000,-2912000,-2100000,-1679000,-776000,-1755000,-720000,-1339000,-2940000,-882000,-91000,-171000,229000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,18943,-26398498,58000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-1425000,- -,- -,- -,- -,- -,-1005000,-12000,-18000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,120598,- -,-546407,239145,262000,10283000,6813000,-63000,220000,1441000,100000,3988000,923000,554000,1640000,13000,-342000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-121663,65998,101497,-1358429,-30963148,-6611000,5946000,4799000,-1527000,-556000,-314000,-620000,1644000,-2029000,-346000,1549000,-158000,-113000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12960953,-504000,-961000,-986000,-1810000,-2873000,-4019000,-4618000,-3047000,- -,-11000,-56000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,128499,694117,604500,- -,3960000,37059670,- -,1901000,- -,- -,7628000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,-818000,-48000,- -,-125000,- -,-567000,-1473000,-22000,-222000,-525000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1785,8552,- -,5407,-89832,492991,-183275,-32893,3098323,7356087,3000000,-25000,-50000,1170000,976000,755000,1725000,4185000,- -,- -,- -,1111000,1111000
95,Cash Used/Provided by Financing Activities,-1785,8552,- -,5407,38667,1187108,421225,-32893,6558323,31454804,2496000,915000,-1854000,-688000,5731000,-3389000,-2893000,571000,-1473000,-33000,-278000,586000,1111000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-37554,12679,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2018,-805,- -,-802,394,256392,216715,12362,2193758,289244,-1583000,2818000,1249000,-3456000,3737000,-3848000,-1038000,7829000,-4264000,-1924000,1508000,222000,-69000
98,Cash at the End of Period,2085,1280,- -,478,872,256647,67102,12462,2206220,2495464,912000,3730000,4979000,1523000,5260000,1412000,374000,8203000,3939000,2015000,3523000,3745000,3676000
99,Cash at the Beginning of Period,67,2085,- -,1280,478,255,-149613,100,12462,2206220,2495000,912000,3730000,4979000,1523000,5260000,1412000,374000,8203000,3939000,2015000,3523000,3745000
100,Free Cash Flow,3803,-9357,- -,-6209,-38273,-893162,-337787,-56242,-3837101,-5006207,-4199000,-6955000,-3796000,-2920000,-2214000,-1900000,1755000,4275000,-3702000,-2427000,146000,-377000,-838000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968708004369/0001019687-08-004369-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968709000862/0001019687-09-000862-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1110607/000101968712001120/0001019687-12-001120-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968713001032/0001019687-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000101968714001066/0001019687-14-001066-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968715001187/0001019687-15-001187-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000101968716005611/0001019687-16-005611-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316817000727/0001683168-17-000727-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316818000784/0001683168-18-000784-index.html,https://www.sec.gov/Archives/edgar/data/1110607/000168316819001057/0001683168-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316820001029/0001683168-20-001029-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316821001100/0001683168-21-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1110607/000168316822002017/0001683168-22-002017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
