,https://roic.ai/company/LPSN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-20000,-9800000,-43334000,-27261000,-6771000,-816000,2092000,2542000,2202000,5821000,-23837000,7763000,9259000,12038000,6355000,-3499000,-7348000,-26444000,-25873000,-18191000,-25032000,-96071000,-107594000,-124974000
24,Net Income ratio,-0.0528,-16.3333,-6.9014,-3.4923,-0.8223,-0.0679,0.1203,0.1141,0.0657,0.1115,-0.3193,0.0887,0.0843,0.0905,0.0404,-0.0197,-0.0350,-0.1106,-0.1161,-0.0831,-0.1002,-0.3295,-0.2935,-0.2661
25,EPS,-0.00,-1.38,-2.50,-0.80,-0.20,-0.02,0.06,0.07,0.06,0.13,-0.50,0.16,0.18,0.23,0.11,-0.06,-0.13,-0.43,-0.46,-0.32,-0.42,-1.53,-1.63,-1.79
26,EPS Diluted,-0.00,-1.38,-2.50,-0.80,-0.20,-0.02,0.05,0.06,0.05,0.12,-0.50,0.16,0.18,0.22,0.11,-0.06,-0.13,-0.43,-0.46,-0.32,-0.42,-1.53,-1.63,-1.79
27,Weighted Average Shares Outstanding,7092000,29358869,24535078,33987895,34028702,34854802,37263378,37557722,39680182,43696378,47428251,47962688,50721880,52876999,55292597,54725236,54478754,56452408,56063777,56358017,59203400,62593026,65888450,69798839
28,Weighted Average Shares Outstanding Diluted,7092000,29358869,24535078,33987895,34028702,34854802,39680304,39885328,43345232,46814080,47428251,49008440,52907541,55008742,57131041,54725236,54478754,56452408,56063777,56358017,59203400,62593026,65888450,69798839
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102993/000091205702012879/0000912057-02-012879-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000104746903011125/0001047469-03-011125-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420404003714/0001144204-04-003714-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420405007832/0001144204-05-007832-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420406009994/0001144204-06-009994-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420407013332/0001144204-07-013332-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420408015376/0001144204-08-015376-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420409013792/0001144204-09-013792-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420410012703/0001144204-10-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420411014934/0001144204-11-014934-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420412014539/0001144204-12-014539-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420413012330/0001144204-13-012330-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000144530514001030/0001445305-14-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000162828015001726/0001628280-15-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299316000020/0001102993-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299317000005/0001102993-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299318000030/0001102993-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299319000016/0001102993-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299320000017/0001102993-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299321000031/0001102993-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299322000015/0001102993-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,107000,14900000,20449000,10136000,8004000,10898000,12425000,17117000,21729000,26222000,25500000,45572000,61336000,93278000,103339000,91906000,49372000,48803000,50889000,56115000,66449000,176523000,654152000,521846000
32,Short-Term Investments,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,107000,14900000,21449000,10136000,8004000,10898000,12425000,17117000,21729000,26222000,25500000,45572000,61336000,93278000,103339000,91906000,49372000,48803000,50889000,56115000,66449000,176523000,654152000,521846000
34,Net Receivables,- -,500000,1271000,620000,607000,1239000,1641000,1727000,4269000,6026000,7574000,10265000,16491000,20999000,23830000,29489000,31382000,30388000,31823000,37926000,46023000,87620000,80423000,93804000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,600000,747000,389000,299000,318000,475000,591000,1317000,1844000,3625000,5121000,7870000,7732000,8985000,11787000,12949000,15191000,9439000,8803000,22613000,13964000,14236000,20626000
37,Total Current Assets,- -,16000000,23467000,11145000,8910000,12455000,14541000,19435000,27315000,34092000,36699000,60958000,85697000,122009000,136154000,133182000,93703000,94382000,92151000,102844000,135085000,278107000,748811000,636276000
38,PP&E,- -,2500000,12883000,915000,595000,341000,384000,575000,1124000,3733000,7473000,9551000,12762000,13879000,17495000,17618000,19583000,24129000,28397000,34705000,43735000,91916000,106669000,126703000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,9673000,51684000,24388000,23920000,24015000,24090000,32645000,32724000,80848000,80322000,80245000,80531000,95031000,94987000,95192000,291215000
40,Intangible Assets,- -,- -,8291000,5338000,1014000,361000,1721000,790000,2640000,6953000,4319000,2821000,2124000,1095000,15681000,13088000,32620000,24619000,16510000,12366000,13832000,11812000,10927000,85554000
41,Intangible Assets,- -,- -,8291000,5338000,1014000,361000,1721000,790000,12313000,58637000,28707000,26741000,26139000,25185000,48326000,45812000,113468000,104941000,96755000,92897000,108863000,106799000,106119000,376769000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000,499000,356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1580000,4202000,7330000,4777000,3876000,2829000,4183000,6243000,10762000,785000,773000,753000,713000,2179000,2032000,5034000
44,Other Non-Current Assets,- -,1100000,2359000,229000,318000,380000,504000,626000,983000,1824000,1739000,1928000,2170000,1793000,2418000,2235000,2301000,1957000,1562000,1600000,1707000,33709000,42801000,41874000
45,Total Non-Current Assets,- -,3600000,23533000,6482000,1927000,1082000,2609000,1991000,16000000,68396000,45249000,43323000,45446000,44042000,72422000,71908000,146114000,131812000,127487000,129955000,155018000,234603000,257621000,550380000
46,Other Assets,142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,142000,19600000,47000000,17627000,10837000,13537000,17150000,21426000,43315000,102488000,81948000,104281000,131143000,166051000,208576000,205090000,239817000,226194000,219638000,232799000,290103000,512710000,1006432000,1186656000
48,Accounts Payable,- -,1800000,1126000,592000,136000,116000,262000,346000,813000,3067000,3555000,5375000,6416000,8258000,11125000,10139000,8985000,7102000,7288000,5481000,8174000,12302000,14115000,16942000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6602000,5718000,3380000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2954000,- -
51,Deferred Revenue,- -,- -,- -,560000,800000,1276000,1330000,1618000,3256000,4000000,4332000,4692000,5570000,5378000,6525000,8747000,11992000,13862000,27145000,35563000,55015000,88751000,88848000,98808000
52,Other Current Liabilities,- -,800000,2061000,2115000,1837000,2577000,1666000,1803000,4013000,9384000,9088000,10895000,12111000,12019000,17911000,25419000,37772000,34296000,40250000,48011000,50662000,62778000,99870000,104297000
53,Total Current Liabilities,- -,2600000,3187000,3267000,2773000,3969000,3258000,3767000,8082000,16451000,16975000,20962000,24097000,25655000,35561000,44305000,58749000,55260000,74683000,89055000,113851000,170433000,208551000,223427000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179012000,545612000,576971000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,513000,1152000,1263000,468000,- -,- -,- -,- -,222000,438000,409000,54000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2359000,3332000,915000,1096000,1355000,1622000,2049000
57,Other Non-Current Liabilities,- -,- -,1038000,89000,176000,232000,338000,446000,684000,1325000,1390000,1676000,1890000,1546000,1509000,1264000,731000,3270000,3147000,2766000,4205000,12937000,6304000,34718000
58,Total Non-Current Liabilities,- -,- -,1038000,89000,176000,232000,338000,446000,684000,1325000,1390000,2182000,2403000,2698000,2772000,1732000,731000,5629000,6479000,3681000,5523000,193742000,553947000,613792000
59,Other Liabilities,172000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19467000,12898000,6113000
61,Total Liabilities,172000,2600000,4225000,3356000,2949000,4201000,3596000,4213000,8766000,17776000,18365000,23144000,26500000,28353000,38333000,46037000,59480000,60889000,81162000,92736000,119374000,364175000,762498000,837219000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,34000,34000,34000,36000,37000,38000,41000,48000,47000,49000,52000,54000,56000,54000,57000,57000,58000,60000,64000,67000,70000,- -
64,Retained Earnings,- -,-9800000,-71167000,-98428000,-105199000,-106015000,-103923000,-101381000,-99179000,-93358000,-117195000,-109432000,-100173000,-88135000,-81780000,-85279000,-92627000,-119071000,-144944000,-163135000,-187491000,-283562000,-391885000,- -
65,Other Comprehensive Income/Loss,- -,-100000,-2154000,-517000,-8000,-1155000,-1372000,-1543000,-6000,-19000,-138000,-172000,-299000,-334000,-353000,-343000,-1138000,-2536000,-6160000,-2535000,-4431000,-4524000,80000,-5564000
66,Other Total Stockholders Equity,- -,26900000,116062000,113182000,113061000,116470000,118812000,120099000,133693000,178041000,180869000,190692000,205063000,226113000,252320000,244621000,274045000,286855000,289522000,305673000,362587000,436554000,635669000,- -
67,Total Stockholders Equity,-30000,17000000,42775000,14271000,7888000,9336000,13554000,17213000,34549000,84712000,63583000,81137000,104643000,137698000,170243000,159053000,180337000,165305000,138476000,140063000,170729000,148535000,243934000,349437000
68,Total Liabilities And Stockholders Equity,142000,19600000,47000000,17627000,10837000,13537000,17150000,21426000,43315000,102488000,81948000,104281000,131143000,166051000,208576000,205090000,239817000,226194000,219638000,232799000,290103000,512710000,1006432000,1186656000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,142000,19600000,47000000,17627000,10837000,13537000,17150000,21426000,43315000,102488000,81948000,104281000,131143000,166051000,208576000,205090000,239817000,226194000,219638000,232799000,290103000,512710000,1006432000,1186656000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102993/000091205702012879/0000912057-02-012879-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000104746903011125/0001047469-03-011125-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420404003714/0001144204-04-003714-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420405007832/0001144204-05-007832-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420406009994/0001144204-06-009994-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420407013332/0001144204-07-013332-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420408015376/0001144204-08-015376-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420409013792/0001144204-09-013792-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420410012703/0001144204-10-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420411014934/0001144204-11-014934-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420412014539/0001144204-12-014539-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420413012330/0001144204-13-012330-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000144530514001030/0001445305-14-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000162828015001726/0001628280-15-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299316000020/0001102993-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299317000005/0001102993-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299318000030/0001102993-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299319000016/0001102993-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299320000017/0001102993-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299321000031/0001102993-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299322000015/0001102993-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-9800000,-43334000,-27261000,-6771000,-816000,2092000,2542000,2202000,5821000,-23837000,7763000,9259000,12038000,6355000,-3499000,-7348000,-26444000,-25873000,-18191000,-25032000,-96071000,-107594000,-124974000
74,Depreciation and Amortization,- -,100000,2870000,5148000,723000,1335000,1009000,1102000,1938000,2574000,4727000,5320000,7277000,7592000,7909000,10733000,14161000,20154000,18684000,17040000,17001000,19298000,26378000,33032000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,8000,- -,-2581000,-4980000,-1091000,2865000,832000,229000,-2871000,-4877000,-1736000,14456000,1852000,-2397000,-309000,-1207000,579000,-6239000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4726000,5142000,6771000,10715000,12508000,12306000,11814000,9736000,8944000,14841000,44105000,65946000,69656000
77,Change in Working Capital,- -,1000000,6880000,-12402000,-1741000,2349000,2797000,4385000,3565000,-1592000,2083000,20272000,21604000,34754000,4239000,-11716000,-53923000,4168000,-21654000,-3679000,7445000,86440000,432586000,-9150000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2760000,-6391000,-4798000,-664000,-4630000,-1354000,-1368000,-3265000,-7998000,-9662000,-43757000,6371000,-17309000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1836000,45000,1451000,2920000,-2660000,-1528000,-1916000,185000,-2743000,2199000,3808000,-733000,801000
81,Other Working Capital,- -,13400000,20280000,7878000,6137000,8486000,11283000,15668000,19233000,17641000,19724000,39996000,61600000,96354000,100593000,88877000,34954000,39122000,17468000,13789000,21234000,107674000,540260000,5898000
82,Other Non-Cash Items,- -,2700000,7012000,21602000,7051000,-1754000,-3839000,-3426000,-2519000,7170000,26103000,-19924000,-28565000,-36310000,1662000,13809000,52213000,-2317000,41815000,8573000,-9167000,-111723000,-384290000,40922000
83,Cash Provided by Operating Activities,- -,-6000000,-26572000,-12913000,-738000,1114000,2067000,4603000,2605000,8993000,7985000,21022000,15549000,25074000,28009000,16958000,15673000,21831000,24560000,10290000,4779000,-59158000,33605000,3247000
84,CAPEX,- -,-2600000,-14841000,-516000,-59000,-67000,-260000,-362000,-885000,-1709000,-6833000,-5917000,-8002000,-7268000,-22019000,-8095000,-14040000,-12980000,-12344000,-17390000,-21938000,-47582000,-41641000,-48313000
85,Acquisitions Net,- -,- -,- -,- -,-1371000,-75000,-402000,- -,-133000,-8431000,-316000,-98000,-884000,-75000,-9442000,-79000,-40871000,-150000,-555000,-441000,-7286000,-924000,-1835000,-91936000
86,Purchases of Investments,- -,- -,-40802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,39802000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,871000,2084000,13000,- -,- -,- -,- -,- -,- -,-475000,- -,- -,-10798000,-51000,-3451000,-5409000,1447000,2511000,1451000,- -,- -,-2610000
89,Cash Used for Investing Activites,- -,-2600000,-14970000,2568000,-1417000,-142000,-662000,-362000,-1018000,-10140000,-7149000,-6015000,-8886000,-7343000,-31461000,-8174000,-54911000,-18539000,-11452000,-15320000,-27773000,-48506000,-43476000,-140249000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23184000,-1154000,-3558000
91,Common Stock Issued,- -,23500000,46907000,39000,24000,1914000,122000,451000,989000,2551000,913000,4191000,11484000,10280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,-3649000,- -,- -,-26715000,-12980000,-4202000,-9967000,-1742000,-1345000,-903000,- -,-709000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,140000,- -,- -,- -,- -,- -,2042000,3102000,-2352000,936000,1397000,4001000,13510000,6506000,9978000,2315000,2899000,8951000,35271000,241938000,484997000,16110000
95,Cash Used/Provided by Financing Activities,- -,23500000,47047000,39000,24000,1914000,122000,451000,3031000,5653000,-1439000,5099000,9232000,14281000,13510000,-20209000,-3002000,-1887000,-7068000,7209000,33926000,217851000,483843000,11843000
96,Effect of Forex Changes on Cash,- -,- -,- -,-7000,-1000,8000,- -,- -,-6000,-13000,-119000,-34000,-131000,-70000,3000,-8000,-294000,-1974000,-3954000,3047000,-598000,-113000,3657000,-5461000
97,Net Change In Cash,- -,14800000,5505000,-10313000,-2132000,2894000,1527000,4692000,4612000,4493000,-722000,20072000,15764000,31942000,10061000,-11433000,-42534000,-569000,2086000,5226000,10334000,110074000,477629000,-130620000
98,Cash at the End of Period,- -,14900000,20449000,10136000,8004000,10898000,12425000,17117000,21729000,26222000,25500000,45572000,61336000,93278000,103339000,91906000,49372000,48803000,50889000,56115000,66449000,176523000,654152000,523532000
99,Cash at the Beginning of Period,- -,100000,14944000,20449000,10136000,8004000,10898000,12425000,17117000,21729000,26222000,25500000,45572000,61336000,93278000,103339000,91906000,49372000,48803000,50889000,56115000,66449000,176523000,654152000
100,Free Cash Flow,- -,-8600000,-41413000,-13429000,-797000,1047000,1807000,4241000,1720000,7284000,1152000,15105000,7547000,17806000,5990000,8863000,1633000,8851000,12216000,-7100000,-17159000,-106740000,-8036000,-45066000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1102993/000091205702012879/0000912057-02-012879-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000104746903011125/0001047469-03-011125-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420404003714/0001144204-04-003714-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420405007832/0001144204-05-007832-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420406009994/0001144204-06-009994-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420407013332/0001144204-07-013332-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420408015376/0001144204-08-015376-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420409013792/0001144204-09-013792-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420410012703/0001144204-10-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420411014934/0001144204-11-014934-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420412014539/0001144204-12-014539-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000114420413012330/0001144204-13-012330-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000144530514001030/0001445305-14-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000162828015001726/0001628280-15-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299316000020/0001102993-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299317000005/0001102993-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299318000030/0001102993-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299319000016/0001102993-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299320000017/0001102993-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299321000031/0001102993-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1102993/000110299322000015/0001102993-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
