,https://roic.ai/company/OMCL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-20689000,-1007000,-5028000,7549000,10926000,-2054000,11169000,24277000,20722000,1192000,9957000,16089000,27075000,35029000,48504000,46244000,-1948000,-879000,35616000,73933000,29349000,66007000
21,Income Before Tax Ratio,-0.3071,-0.0116,-0.0573,0.0739,0.0882,-0.0169,0.0722,0.1139,0.0823,0.0056,0.0448,0.0655,0.0862,0.0920,0.1100,0.0954,-0.0028,-0.0012,0.0452,0.0824,0.0329,0.0583
22,Income Tax expense (Gain),100000,160000,10000,242000,324000,20000,804000,-19018000,7998000,748000,5065000,5700000,10897000,11050000,17986000,15484000,-2551000,-21484000,-2113000,12595000,-2845000,-11842000
23,Net Income,-20789000,-1167000,-5038000,7307000,10602000,-2074000,10365000,43295000,12724000,444000,4892000,10389000,16178000,23979000,30518000,30760000,603000,20605000,37729000,61338000,32194000,77849000
24,Net Income ratio,-0.3086,-0.0134,-0.0575,0.0715,0.0855,-0.0171,0.0670,0.2032,0.0505,0.0021,0.0220,0.0423,0.0515,0.0630,0.0692,0.0635,0.0009,0.0288,0.0479,0.0684,0.0361,0.0688
25,EPS,-12.20,-0.11,-0.23,0.32,0.43,-0.08,0.38,1.35,0.40,0.01,0.15,0.31,0.49,0.69,0.86,0.86,0.02,0.55,0.96,1.48,0.76,1.78
26,EPS Diluted,-12.20,-0.11,-0.23,0.29,0.38,-0.08,0.36,1.28,0.38,0.01,0.15,0.30,0.47,0.67,0.83,0.84,0.02,0.53,0.93,1.43,0.74,1.61
27,Weighted Average Shares Outstanding,1704000,10312000,21725000,22746000,24849000,25906000,27345000,32080000,32076000,31691000,32651000,33123000,33307000,34736000,35650000,35857000,36156000,37483000,39242000,41462000,42583000,43648000
28,Weighted Average Shares Outstanding Diluted,1704000,10312000,23248000,25321000,27720000,25906000,28902000,33820000,33108000,32063000,33513000,34103000,34213000,35774000,36622000,36718000,36864000,38712000,40559000,42943000,43743000,48341000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/926326/000091205702011713/a2073988z10-k405.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746903010887/a2105923z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746904006851/a2130043z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465905011530/a05-4981_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465906017232/a06-2008_310k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465907021788/a07-5552_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746908002851/a2183755z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746909001702/0001047469-09-001702-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746910001208/0001047469-10-001208-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746911002063/a2202091z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746912002283/0001047469-12-002283-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632613000008/0000926326-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632614000005/omcl201310-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632615000012/omcl201410-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632616000044/0000926326-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632617000015/0000926326-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632618000010/0000926326-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632619000007/0000926326-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632620000010/0000926326-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632621000007/0000926326-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632622000007/0000926326-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9681000,16912000,21400000,24499000,19482000,29536000,60856000,169812000,120439000,169230000,175635000,191762000,62313000,104531000,125888000,82217000,54488000,32424000,67192000,127210000,485928000,349051000
32,Short-Term Investments,2286000,6927000,85000,9025000,11117000,- -,- -,- -,- -,- -,8074000,8107000,- -,- -,- -,- -,- -,- -,- -,- -,10246000,- -
33,Cash and Short-Term Investments,11967000,23839000,21485000,33524000,30599000,29536000,60856000,169812000,120439000,169230000,183709000,199869000,62313000,104531000,125888000,82217000,54488000,32424000,67192000,127210000,496174000,349051000
34,Net Receivables,11036000,18167000,10644000,17266000,24845000,32007000,36050000,37522000,57976000,40826000,42732000,36902000,55116000,58597000,82763000,107957000,150303000,189227000,196238000,218362000,190117000,240894000
35,Inventory,10414000,12702000,12741000,8783000,14592000,13763000,15724000,13732000,12957000,10502000,9785000,18107000,26903000,31457000,31554000,46594000,69297000,96137000,100868000,108011000,96298000,119924000
36,Other Current Assets,2728000,5253000,3575000,3966000,7730000,10286000,17216000,31118000,33615000,30186000,32277000,26954000,36424000,39193000,43179000,27360000,41320000,49333000,32836000,29655000,46825000,70833000
37,Total Current Assets,36145000,59961000,48445000,63539000,77766000,85592000,129846000,252184000,224987000,250744000,268503000,281832000,180756000,233778000,283384000,264128000,315408000,367121000,397134000,483238000,829414000,780702000
38,PP&E,4913000,5384000,5026000,4833000,5660000,4727000,5226000,10184000,16180000,13209000,14351000,17306000,34107000,35254000,36178000,32309000,42011000,42595000,51500000,110376000,114187000,119690000
39,Goodwill,- -,- -,- -,- -,- -,- -,4924000,23076000,24982000,24982000,28543000,28543000,111407000,111343000,122720000,147906000,327724000,337751000,335887000,336539000,499309000,738900000
40,Intangible Assets,- -,- -,- -,6322000,5806000,5631000,1071000,9467000,6706000,4233000,4672000,4231000,99387000,97612000,103988000,115676000,223516000,206706000,200505000,209937000,262238000,277616000
41,Intangible Assets,- -,- -,- -,6322000,5806000,5631000,5995000,32543000,31688000,29215000,33215000,32774000,210794000,208955000,226708000,263582000,551240000,544457000,536392000,546476000,761547000,1016516000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10896000,10104000,9224000,8785000,13228000,11485000,10848000,14484000,20585000,15435000,17082000,19750000,22156000,18391000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,12881000,15889000,9666000,9566000,11677000,993000,1102000,1144000,2361000,4041000,9454000,15197000,14142000,15019000,15883000
44,Other Non-Current Assets,2847000,6769000,12071000,9773000,10259000,4478000,13563000,20631000,8902000,9322000,8365000,9716000,1941000,1927000,1952000,1883000,1818000,1242000,63937000,66828000,82181000,191314000
45,Total Non-Current Assets,7760000,12153000,17097000,20928000,21725000,14836000,24784000,76239000,83555000,71516000,74721000,80258000,261063000,258723000,276830000,314619000,619695000,613183000,684108000,757572000,995090000,1361794000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43905000,72114000,65542000,84467000,99491000,100428000,154630000,328423000,308542000,322260000,343224000,362090000,441819000,492501000,560214000,578747000,935103000,980304000,1081242000,1240810000,1824504000,2142496000
48,Accounts Payable,4416000,4837000,5975000,2921000,4489000,4059000,8792000,10116000,9377000,10313000,13242000,11000000,18255000,16471000,19432000,22646000,27069000,48290000,38038000,46380000,40309000,71513000
49,Short-Term Debt,- -,- -,1197000,305000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8410000,15208000,- -,- -,15208000,488152000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,3233000,32799000,11598000,12650000,13922000,14507000,7707000,11263000,12131000,14457000,28507000,33401000,44050000,47554000,58559000,61983000,94546000,93883000,90828000,94900000,125198000,112196000
52,Other Current Liabilities,41949000,14514000,29703000,28265000,23642000,15215000,37057000,36442000,35847000,33781000,16415000,14470000,20772000,28379000,34339000,40001000,50887000,55155000,75714000,95716000,95708000,204297000
53,Total Current Liabilities,49598000,52150000,48473000,44141000,42053000,33781000,53556000,57821000,57355000,58551000,58164000,58871000,83077000,92404000,112330000,124630000,180912000,212536000,204580000,236996000,276423000,876158000
54,Long-Term Debt,8376000,363000,305000,- -,3224000,11159000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245731000,194917000,135417000,50000000,467201000,39911000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,16782000,20810000,19171000,18966000,19892000,17763000,20308000,17975000,17051000,17244000,10582000,7083000,5673000,20194000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26491000,28162000,30454000,21822000,51592000,28579000,41484000,39090000,39633000,51705000
57,Other Non-Current Liabilities,10955000,- -,458000,5568000,517000,250000,11078000,15963000,848000,595000,675000,1339000,4809000,5175000,7024000,11932000,8210000,9829000,9562000,62387000,68071000,7839000
58,Total Non-Current Liabilities,19331000,363000,763000,5568000,3741000,11409000,11078000,15963000,17630000,21405000,19846000,20305000,51192000,51100000,57786000,51729000,322584000,250569000,197045000,158560000,580578000,119649000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60727000,61094000,39911000
61,Total Liabilities,68929000,52513000,49236000,49709000,45794000,45190000,64634000,73784000,74985000,79956000,78010000,79176000,134269000,143504000,170116000,176359000,503496000,463105000,401625000,395556000,857001000,995807000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11728000,22000,22000,24000,26000,26000,28000,35000,35000,36000,37000,38000,39000,41000,43000,45000,46000,48000,50000,51000,53000,- -
64,Retained Earnings,-92795000,-93962000,-99000000,-91693000,-81091000,-83165000,-72800000,-30091000,-17367000,-16923000,-12031000,-1642000,14536000,38515000,69033000,99793000,100396000,122583000,197454000,258792000,290722000,- -
65,Other Comprehensive Income/Loss,-7608000,-10084000,-12066000,-14893000,-14870000,-17844000,-20158000,-22362000,-20777000,-27005000,-30341000,-36222000,-33102000,-40428000,-1000000,-3000000,-10000000,-6000000,-11000000,-9000000,-6000000,-8407000
66,Other Total Stockholders Equity,63651000,123625000,127350000,141320000,149632000,156221000,182926000,307057000,271666000,286196000,307549000,320740000,326077000,350869000,322022000,305550000,341165000,400568000,493113000,595411000,682728000,- -
67,Total Stockholders Equity,-25024000,19601000,16306000,34758000,53697000,55238000,89996000,254639000,233557000,242304000,265214000,282914000,307550000,348997000,390098000,402388000,431607000,517199000,679617000,845254000,967503000,1146689000
68,Total Liabilities And Stockholders Equity,43905000,72114000,65542000,84467000,99491000,100428000,154630000,328423000,308542000,322260000,343224000,362090000,441819000,492501000,560214000,578747000,935103000,980304000,1081242000,1240810000,1824504000,2142496000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,43905000,72114000,65542000,84467000,99491000,100428000,154630000,328423000,308542000,322260000,343224000,362090000,441819000,492501000,560214000,578747000,935103000,980304000,1081242000,1240810000,1824504000,2142496000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/926326/000091205702011713/a2073988z10-k405.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746903010887/a2105923z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746904006851/a2130043z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465905011530/a05-4981_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465906017232/a06-2008_310k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465907021788/a07-5552_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746908002851/a2183755z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746909001702/0001047469-09-001702-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746910001208/0001047469-10-001208-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746911002063/a2202091z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746912002283/0001047469-12-002283-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632613000008/0000926326-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632614000005/omcl201310-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632615000012/omcl201410-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632616000044/0000926326-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632617000015/0000926326-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632618000010/0000926326-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632619000007/0000926326-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632620000010/0000926326-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632621000007/0000926326-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632622000007/0000926326-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-20789000,-1167000,-5038000,7307000,10602000,-2074000,10365000,43295000,12724000,444000,4892000,10389000,16178000,23979000,30518000,30760000,603000,20605000,37729000,61338000,32194000,77849000
74,Depreciation and Amortization,3655000,3723000,3022000,3504000,4085000,4199000,3717000,4602000,8954000,9428000,8619000,7983000,13325000,18365000,20272000,25639000,58362000,51511000,51350000,64121000,71595000,84931000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-24711000,-6049000,- -,2403000,4186000,2718000,787000,1402000,-1092000,-10882000,-26844000,-5705000,-1339000,-6546000,-3272000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,11165000,9725000,9015000,9499000,9214000,11151000,12785000,14921000,19500000,21857000,28885000,34049000,44697000,53160000
77,Change in Working Capital,-2884000,21264000,-7839000,19426000,16315000,16098000,24479000,118073000,-26731000,24561000,18146000,12622000,-125282000,43695000,29680000,-31556000,-5002000,20089000,37969000,53688000,306749000,-3340000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-21866000,17190000,-1317000,5863000,-9311000,-3609000,-22799000,-18295000,8047000,-39068000,-6192000,- -,36842000,- -
79,Inventory,-1090000,-2288000,-2635000,3423000,-6171000,-1761000,-4336000,2004000,174000,-693000,77000,-9434000,2536000,-5410000,1418000,-10401000,-3362000,-26840000,-6763000,-8123000,12359000,-25695000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-853000,936000,2859000,-2242000,1751000,-1784000,1611000,-2841000,-4963000,19709000,-9154000,7893000,-6300000,29084000
81,Other Working Capital,-13453000,7811000,-28000,19398000,35713000,51811000,76290000,194363000,167632000,192193000,210339000,222961000,97679000,141374000,171054000,139498000,134496000,154585000,192554000,246242000,552991000,36491000
82,Other Non-Cash Items,910000,-34530000,11038000,-22556000,-35304000,-20481000,-19054000,-104032000,19472000,-1028000,-22476000,-13436000,123331000,-42714000,-29494000,-4910000,-14644000,-62384000,-46262000,-66849000,-262819000,22481000
83,Cash Provided by Operating Activities,-19108000,-10710000,1183000,7681000,-4302000,-2258000,19507000,37227000,19535000,43130000,20599000,31243000,39484000,55263000,65163000,33762000,47937000,24834000,103966000,145008000,185870000,231809000
84,CAPEX,-511000,-2947000,-2073000,-2659000,-3781000,-2098000,-3786000,-6968000,-12330000,-3756000,-7088000,-13112000,-20602000,-20452000,-22602000,-20089000,-29165000,-30541000,-54374000,-61664000,-54866000,-58335000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-27000000,- -,- -,-6000000,- -,-156000000,- -,-21000000,-26000000,-312000000,-4000000,- -,- -,-225000000,-354163000
86,Purchases of Investments,-4055000,-6800000,-2053000,-19890000,-20148000,-1564000,-12000,- -,- -,- -,-8059000,-8097000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,5923000,2155000,8895000,10942000,18031000,12728000,- -,- -,- -,- -,- -,8143000,8122000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2709000,-2689000,-2481000,-319000,- -,-251000,336000,-111000,-2108000,-235000,-5632000,-8117000,-10403000,-12054000,-15878000,-15646000,-30677000,-45770000,-32024000,-29368000
89,Cash Used for Investing Activites,1357000,-7592000,2060000,-14296000,-8379000,8747000,-3798000,-34219000,-11794000,-3756000,-23057000,-13066000,-168711000,-20452000,-43325000,-45596000,-341323000,-34987000,-54374000,-61664000,-279866000,-412498000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34500000,-102500000,-77000000,-90000000,-200000000,- -
91,Common Stock Issued,29989000,43536000,1245000,6399000,7969000,3565000,15611000,105948000,7950000,4042000,7002000,6787000,- -,- -,- -,- -,- -,13900000,39567000,37806000,- -,- -
92,Common Stock Repurchased,-5053000,-10113000,- -,- -,- -,- -,- -,- -,-65064000,- -,- -,-12573000,-12363000,-20962000,-24091000,-50021000,- -,- -,- -,- -,-53035000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-50000,-7890000,- -,3315000,-305000,- -,- -,- -,- -,5375000,1861000,3946000,12131000,28336000,23885000,18188000,300215000,78723000,23836000,28715000,709304000,47363000
95,Cash Used/Provided by Financing Activities,24886000,25533000,1245000,9714000,7664000,3565000,15611000,105948000,-57114000,9417000,8863000,-1840000,-232000,7374000,-206000,-31833000,265715000,-9877000,-13597000,-23479000,456269000,47363000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210000,10000,33000,-275000,-4000,-58000,-2034000,-1227000,153000,437000,-974000
97,Net Change In Cash,7135000,7231000,4488000,3099000,-5017000,10054000,31320000,108956000,-49373000,48791000,6405000,16127000,-129449000,42218000,21357000,-43671000,-27729000,-22064000,34768000,60018000,362710000,-134300000
98,Cash at the End of Period,9681000,16912000,21400000,24499000,19482000,29536000,60856000,169812000,120439000,169230000,175635000,191762000,62313000,104531000,125888000,82217000,54488000,32424000,67192000,127210000,489920000,355620000
99,Cash at the Beginning of Period,2546000,9681000,16912000,21400000,24499000,19482000,29536000,60856000,169812000,120439000,169230000,175635000,191762000,62313000,104531000,125888000,82217000,54488000,32424000,67192000,127210000,489920000
100,Free Cash Flow,-19619000,-13657000,-890000,5022000,-8083000,-4356000,15721000,30259000,7205000,39374000,13511000,18131000,18882000,34811000,42561000,13673000,18772000,-5707000,49592000,83344000,131004000,173474000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/926326/000091205702011713/a2073988z10-k405.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746903010887/a2105923z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746904006851/a2130043z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465905011530/a05-4981_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465906017232/a06-2008_310k.htm,https://www.sec.gov/Archives/edgar/data/926326/000110465907021788/a07-5552_110k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746908002851/a2183755z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746909001702/0001047469-09-001702-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746910001208/0001047469-10-001208-index.html,https://www.sec.gov/Archives/edgar/data/926326/000104746911002063/a2202091z10-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000104746912002283/0001047469-12-002283-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632613000008/0000926326-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632614000005/omcl201310-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632615000012/omcl201410-k.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632616000044/0000926326-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632617000015/0000926326-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632618000010/0000926326-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632619000007/0000926326-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632620000010/0000926326-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/926326/000092632621000007/0000926326-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/926326/000092632622000007/0000926326-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
