,https://roic.ai/company/CNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012903001299/0000950129-03-001299-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012905008803/0000950129-05-008803-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095013408003670/h54051e10vk.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031009000004/0001130310-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000006/0001130310-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031011000006/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031012000011/0001130310-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031013000006/0001130310-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031014000005/cnp_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031015000008/cnp_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031016000031/0001130310-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031017000006/0001130310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031018000003/0001130310-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031019000016/0001130310-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031020000016/0001130310-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031021000009/0001130310-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031022000023/0001130310-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,11800000,8000000,51700000,29700000,89100000,175972000,135674000,311710000,131480000,164645000,74000000,127000000,129000000,167000000,740000000,199000000,220000000,646000000,208000000,298000000,264000000,341000000,260000000,4231000000,241000000,147000000,230000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000000,367000000,386000000,540000000,767000000,930000000,805000000,953000000,960000000,540000000,822000000,871000000,1439000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,11800000,8000000,51700000,29700000,89100000,175972000,135674000,311710000,131480000,164645000,74000000,127000000,129000000,167000000,1079000000,566000000,606000000,1186000000,975000000,1228000000,1069000000,1294000000,1220000000,4771000000,1063000000,1018000000,1669000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,74800000,108900000,124500000,1179200000,912200000,1277200000,3216110000,2149136000,917474000,1031997000,1317967000,1706000000,1468000000,1468000000,1550000000,1275000000,1313000000,1099000000,1114000000,1249000000,1384000000,1044000000,1105000000,1427000000,1568000000,1941000000,1263000000,1204000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,214700000,197700000,192200000,244900000,383800000,340500000,483213000,579673000,351816000,412926000,252134000,382000000,399000000,490000000,569000000,327000000,375000000,353000000,322000000,285000000,379000000,347000000,312000000,397000000,394000000,546000000,500000000,608000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17900000,19000000,19200000,42200000,343500000,4546500000,6132006000,3384252000,382128000,696302000,1101778000,729000000,1001000000,701000000,749000000,223000000,328000000,279000000,252000000,149000000,277000000,229000000,212000000,351000000,292000000,297000000,139000000,3874000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,317800000,337400000,343900000,1518000000,1669200000,6253300000,10007301000,6248735000,1963128000,2272705000,2836524000,2891000000,2995000000,2788000000,3035000000,2904000000,2582000000,2337000000,2874000000,2658000000,3268000000,2689000000,2923000000,3395000000,7025000000,3847000000,2920000000,7355000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,9328500000,8864800000,8756400000,11269000000,11531100000,13267400000,15260155000,15857170000,11409369000,11811536000,8186393000,8492000000,9204000000,9740000000,10296000000,10788000000,11732000000,12402000000,13597000000,9593000000,10502000000,11537000000,12307000000,13057000000,14044000000,20945000000,22362000000,23484000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1696000000,1696000000,1696000000,1468000000,840000000,840000000,840000000,862000000,867000000,867000000,5164000000,4697000000,4294000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,65000000,321000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1029400000,- -,- -,2026400000,2098900000,3034400000,3080707000,2903859000,1806390000,1820446000,1798578000,1765000000,1709000000,1696000000,1696000000,1696000000,1696000000,1696000000,1468000000,840000000,840000000,840000000,862000000,941000000,932000000,5485000000,4697000000,4294000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,345000000,463000000,468000000,472000000,405000000,4518000000,4521000000,2594000000,2868000000,2835000000,2845000000,2771000000,1146000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1618400000,2617400000,3187600000,3601200000,3839300000,3665800000,3728583000,5670780000,4455392000,5471977000,5340462000,3968000000,3725000000,3560000000,4304000000,3922000000,3633000000,4796000000,4527000000,4261000000,4069000000,3674000000,2869000000,2508000000,2163000000,2391000000,2346000000,2546000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11976300000,11482200000,11944000000,16896600000,17469300000,19967600000,22069445000,24431809000,17671151000,19103959000,15325433000,14225000000,14638000000,15084000000,16641000000,16869000000,17529000000,19366000000,19997000000,19212000000,19932000000,18645000000,18906000000,19341000000,19984000000,31592000000,30551000000,30324000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12294100000,11819600000,12287900000,18414600000,19138500000,26220900000,32076746000,30680544000,19634279000,21376664000,18161957000,17116000000,17633000000,17872000000,19676000000,19773000000,20111000000,21703000000,22871000000,21870000000,23200000000,21334000000,21829000000,22736000000,27009000000,35439000000,33471000000,37679000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,332900000,136000000,157700000,879600000,808000000,1036800000,3077926000,1439840000,623457000,694558000,868023000,1161000000,1010000000,726000000,897000000,648000000,667000000,560000000,561000000,689000000,716000000,483000000,657000000,963000000,1240000000,1138000000,853000000,1196000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157325000,225423000,1835988000,339000000,1385000000,1547000000,153000000,958000000,481000000,546000000,1438000000,540000000,848000000,913000000,1060000000,645000000,482000000,868000000,1919000000,545000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,156000000,207000000,160000000,184000000,161000000,158000000,172000000,181000000,204000000,241000000,265000000,378000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,119000000,111000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,871200000,879600000,2086400000,3113300000,3262900000,9347100000,12661328000,8216942000,1309206000,1598355000,2483189000,1514000000,1826000000,1518000000,1798000000,1432000000,1472000000,1487000000,1576000000,1790000000,1911000000,1071000000,1363000000,1461000000,1580000000,1757000000,1934000000,2435000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204100000,1015600000,2244100000,3992900000,4070900000,10383900000,15739254000,9656782000,3089988000,2518336000,5187200000,3014000000,4221000000,3791000000,2848000000,3038000000,2620000000,2593000000,3575000000,3019000000,3475000000,2467000000,3080000000,3069000000,3302000000,3888000000,4825000000,4287000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4222900000,3338400000,3025700000,5580200000,7143000000,4961300000,4996095000,5741944000,9194320000,10783064000,7193016000,8568000000,7802000000,8364000000,833000000,9119000000,9001000000,8641000000,8357000000,7817000000,8009000000,7901000000,7532000000,8195000000,8682000000,14244000000,11521000000,15558000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2494300000,2459400000,2638700000,3141900000,2692900000,2721800000,2814628000,2593294000,2679243000,3222308000,2468833000,2520000000,2362000000,2266000000,2633000000,2792000000,2943000000,3832000000,4153000000,4542000000,4757000000,5047000000,5263000000,3174000000,3239000000,3928000000,3603000000,3904000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3248437000,3092628000,2208151000,1718000000,1692000000,1641000000,11325000000,2185000000,2349000000,2415000000,2485000000,2163000000,2411000000,2458000000,2494000000,3610000000,3728000000,5020000000,5174000000,4515000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6717200000,5797800000,5664400000,8722100000,9835900000,7683100000,7810723000,8335238000,15122000000,17098000000,11870000000,12806000000,11856000000,12271000000,14791000000,14096000000,14293000000,14888000000,14995000000,14522000000,15177000000,15406000000,15289000000,14979000000,15649000000,23192000000,20298000000,23977000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13964700000,12075800000,11745000000,18247300000,20581700000,18213800000,18666155000,21453461000,30244341000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8451600000,7293600000,8324700000,13518100000,14816700000,20914600000,26594686000,22775005000,18212329000,19437197000,17056455000,15820000000,16077000000,16062000000,17639000000,17134000000,16913000000,17481000000,18570000000,17541000000,18652000000,17873000000,18369000000,18048000000,18951000000,27080000000,25123000000,28264000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000000,1740000000,2363000000,790000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2437600000,- -,2446800000,3112100000,3136800000,3182800000,3257190000,3897301000,3050000,3063000,3080000,3000000,3000000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,5000000,5000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1221200000,2326700000,1997500000,2013100000,1445100000,2500200000,2520350000,3176533000,-1062083000,-700033000,-1727571000,-1600000000,-1355000000,-1172000000,-970000000,-912000000,-789000000,231000000,302000000,258000000,461000000,-657000000,-668000000,543000000,349000000,632000000,-845000000,154000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3689000000,-3916500000,-4259100000,-4770200000,-5499400000,-6866300000,-7132000000,-8357000000,-565060000,-410889000,-61342000,-38000000,-69000000,-44000000,-131000000,-124000000,-117000000,-133000000,-135000000,-90000000,-86000000,-66000000,-71000000,-68000000,-108000000,-98000000,-90000000,-64000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3872700000,6115800000,3778000000,4541500000,5239300000,6489600000,6836520000,9188705000,3046043000,2868416000,2891335000,2931000000,2977000000,3023000000,3135000000,3671000000,4100000000,4120000000,4130000000,4157000000,4169000000,4180000000,4195000000,4209000000,6072000000,6080000000,6914000000,8529000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3842500000,4526000000,3963200000,4896500000,4321800000,5306300000,5482060000,7905539000,1421950000,1760557000,1105502000,1296000000,1556000000,1810000000,2037000000,2639000000,3198000000,4222000000,4301000000,4329000000,4548000000,3461000000,3460000000,4688000000,8058000000,8359000000,8348000000,9415000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12294100000,11819600000,12287900000,18414600000,19138500000,26220900000,32076746000,30680544000,19634279000,21197754000,18161957000,17116000000,17633000000,17872000000,19676000000,19773000000,20111000000,21703000000,22871000000,21870000000,23200000000,21334000000,21829000000,22736000000,27009000000,35439000000,33471000000,37679000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,12294100000,11819600000,12287900000,18414600000,19138500000,26220900000,32076746000,30680544000,19634279000,21376664000,18161957000,17116000000,17633000000,17872000000,19676000000,19773000000,20111000000,21703000000,22871000000,21870000000,23200000000,21334000000,21829000000,22736000000,27009000000,35439000000,33471000000,37679000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012903001299/0000950129-03-001299-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095012905008803/0000950129-05-008803-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1130310/000095013408003670/h54051e10vk.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031009000004/0001130310-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000006/0001130310-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031011000006/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031012000011/0001130310-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031013000006/0001130310-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031014000005/cnp_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031015000008/cnp_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031016000031/0001130310-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031017000006/0001130310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031018000003/0001130310-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031019000016/0001130310-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031020000016/0001130310-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130310/000113031021000009/0001130310-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031022000023/0001130310-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,399300000,1105500000,404900000,421100000,-141100000,1849000000,447500000,980559000,-3920234000,483667000,-904704000,252000000,432000000,399000000,447000000,372000000,442000000,1357000000,417000000,311000000,611000000,-692000000,432000000,1792000000,368000000,791000000,-773000000,1486000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000000,864000000,886000000,1050000000,954000000,1013000000,970000000,1126000000,1036000000,1243000000,1311000000,1191000000,1316000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,62700000,78400000,54100000,35500000,-423900000,601600000,-41892000,-110279000,317056000,517442000,264914000,232000000,-234000000,8000000,487000000,269000000,199000000,443000000,328000000,356000000,280000000,-413000000,213000000,-770000000,48000000,69000000,-429000000,213000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53100000,208100000,-1222000000,-574700000,73200000,-1728900000,-1601353000,2323906000,2281187000,881229000,-2105045000,2227676000,-1103000000,223000000,1190000000,-321000000,96000000,-218000000,-445000000,340000000,154000000,429000000,-379000000,483000000,3397000000,-3764000000,-1864000000,-2274000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,- -,- -,10000000,-256000000,39000000,345000000,-117000000,-216000000,-154000000,226000000,90000000,-98000000
