,https://roic.ai/company/PRK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,-1000000,-2000000,-7100000,- -,- -,- -,- -,-31500000,-22400000,-8400000,-415000,-277587000,-205314000,-176249000,-206541000,-428689000,-410644000,-397460000,-525073000,-596255000,-17648000,-16551000,-365129000,-153091000,-189220000,-79544000,-55554000,-383506000,-319323000,-277572000,-170529000,-32500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439000,53909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,-102843000,- -,-2355000,-6058000,- -,-7378000,-5784000,-40535000,-7507000,-16048000
93,Dividends Paid,- -,- -,-4600000,-5300000,-5700000,-6700000,-8100000,-8600000,-10000000,-15000000,-18000000,-22300000,-28077000,-37585000,-42292000,-45742000,-48231000,-51498000,-51470000,-52533000,-65781000,-58035000,-62076000,-62907000,-60154000,-57949000,-57876000,-57776000,-57653000,-57493000,-63013000,-69113000,-70353000,-74306000
94,Other Financing Activites,- -,- -,-26100000,72800000,46500000,37900000,56900000,84400000,125200000,106900000,170400000,173200000,50897000,567689000,36302000,718739000,307948000,268798000,341366000,734239000,1112611000,521652000,280359000,-294783000,661492000,148962000,497957000,361904000,174867000,445023000,208980000,208869000,803163000,226369000
95,Cash Used/Provided by Financing Activities,- -,- -,-31700000,65500000,33700000,31200000,48800000,75800000,115200000,60400000,130000000,142500000,22405000,252517000,-211304000,496748000,53176000,-211389000,-120748000,284246000,522193000,-78729000,200635000,-374241000,133366000,-62078000,248506000,218526000,61660000,-3354000,-179140000,-178351000,554774000,103515000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-31700000,65500000,33700000,31200000,48800000,75800000,115200000,60400000,130000000,3900000,-15655000,-289000,69645000,-69006000,-7953000,12144000,12283000,7141000,-22136000,-12171000,-25311000,23706000,43819000,-54275000,90669000,-88240000,-3013000,22666000,-1898000,-7258000,210518000,-151294000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104200000,109870000,169143000,238788000,169782000,161829000,173973000,186256000,193397000,171261000,159091000,133780000,157486000,201305000,147030000,237699000,149459000,146446000,169112000,167214000,159956000,370474000,219180000
99,Cash at the Beginning of Period,- -,- -,93300000,70200000,56100000,72700000,50000000,64100000,92800000,81800000,93600000,100300000,125525000,169432000,169143000,238788000,169782000,161829000,173973000,186256000,193397000,171262000,159091000,133780000,157486000,201305000,147030000,237699000,149459000,146446000,169112000,167214000,159956000,370474000
100,Free Cash Flow,- -,- -,17800000,19100000,25500000,9100000,27600000,30000000,25800000,42100000,39400000,56400000,55346000,92530000,75918000,95329000,80665000,72809000,80939000,66857000,81266000,63893000,118532000,120113000,98237000,105710000,115284000,77341000,80421000,80973000,121417000,96129000,83014000,143239000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805676/000095015207001594/l24860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000095015208001570/l30297ae10vk.htm,https://www.sec.gov/Archives/edgar/data/805676/000136231009002764/0001362310-09-002764-index.html,https://www.sec.gov/Archives/edgar/data/805676/000095012310016312/0000950123-10-016312-index.html,https://www.sec.gov/Archives/edgar/data/805676/000114420411011555/v211720_10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000114420412012083/0001144204-12-012083-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567613000024/0000805676-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567614000010/prk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567615000035/prk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567616000144/0000805676-16-000144-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567617000028/0000805676-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567618000048/0000805676-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567619000040/0000805676-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567620000040/0000805676-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/805676/000080567621000030/0000805676-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/805676/000080567622000034/0000805676-22-000034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
