,https://roic.ai/company/SJM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,63900000,68700000,78500000,93600000,102400000,119600000,127700000,130700000,134688000,154767000,137487000,140449000,142799000,147538000,176775000,158125000,165172000,279760000,305475000,407839000,438457000,442814000,486786000,717503000,949569000,936958000,978570000,1067700000,1086400000,1140100000,1686600000,1593700000,1577700000,1717900000,1710000000,1727400000
11,COGS and Expenses,233800000,254200000,276600000,324100000,373400000,403500000,429000000,431600000,460743000,565780000,474582000,489398000,508412000,543482000,591251000,596605000,627329000,1135423000,1229708000,1794300000,1900331000,1888776000,2229396000,3224007000,3768168000,3964184000,4659129000,4937800000,4666000000,4864100000,6530000000,6150700000,6098700000,6640200000,6509000000,6591400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6993000,2793000,2512000,1504000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1200000,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62478000,65187000,69594000,81296000,93400000,79400000,79900000,171100000,163100000,174100000,207900000,189200000,177100000
14,Depreciation and Amortization,5800000,6700000,8000000,9700000,-10500000,-11800000,-12800000,-13100000,15378000,20157000,17473000,21839000,22539000,23394000,26198000,26921000,28557000,37751000,39858000,56048000,71083000,58874000,62619000,119764000,181882000,239639000,208426000,240500000,249400000,268400000,430100000,419000000,413100000,446300000,446500000,452500000
15,EBITDA,35900000,42700000,46600000,54300000,40600000,40700000,43300000,43900000,68101000,81537000,62128000,75005000,80340000,85025000,67729000,75889000,78755000,193141000,218677000,259275000,286653000,299878000,317407000,578307000,977822000,1026397000,990880000,1151200000,1178500000,871300000,1579100000,1460500000,1448200000,1355800000,1662400000,1801500000
16,EBITDA ratio,0.1366,0.1481,0.1483,0.1480,0.0961,0.0895,0.0896,0.0894,0.1331,0.1298,0.1175,0.1382,0.1421,0.1411,0.1071,0.1165,0.1146,0.1472,0.1543,0.1269,0.1330,0.1396,0.1257,0.1539,0.2123,0.2127,0.1793,0.1952,0.2100,0.1531,0.2022,0.1976,0.1968,0.1730,0.2131,0.2251
17,Operating Income,29000000,34100000,37600000,42800000,49000000,51500000,54500000,59700000,50782000,62499000,53994000,53204000,57064000,58975000,41235000,54637000,54788000,164529000,178675000,220769000,228739000,257060000,284174000,451031000,789930000,784272000,778283000,910400000,919000000,772000000,1145300000,1031500000,1036100000,928600000,1223100000,1386800000
18,Operating Income ratio,0.1104,0.1183,0.1197,0.1167,0.1160,0.1132,0.1127,0.1215,0.0993,0.0995,0.1021,0.0981,0.1009,0.0979,0.0652,0.0839,0.0797,0.1254,0.1261,0.1080,0.1062,0.1197,0.1126,0.1200,0.1715,0.1625,0.1408,0.1544,0.1638,0.1356,0.1466,0.1395,0.1408,0.1185,0.1568,0.1733
19,Total Other Income Expenses (Gains),1100000,700000,1000000,1800000,1000000,1000000,1600000,1800000,1941000,-1119000,-9199000,-38000,3695000,2656000,296000,-4677000,-4590000,-9139000,144000,-16155000,-13169000,-16056000,-29386000,-54966000,-59177000,-67108000,-77125000,-93100000,-69300000,-249000000,-167400000,-153100000,-175100000,-227000000,-196400000,-214900000
20,Income Before Tax,30100000,34800000,38600000,44600000,50000000,52500000,56100000,61500000,52723000,61380000,44795000,53166000,60759000,61631000,41531000,49960000,50198000,155390000,178819000,204614000,215570000,241004000,254788000,396065000,730753000,717164000,701158000,817300000,849700000,523000000,977900000,878400000,861000000,701600000,1026700000,1171900000
21,Income Before Tax Ratio,0.1145,0.1207,0.1229,0.1216,0.1184,0.1154,0.1160,0.1252,0.1031,0.0977,0.0847,0.0980,0.1074,0.1023,0.0657,0.0767,0.0731,0.1185,0.1262,0.1001,0.1000,0.1122,0.1009,0.1054,0.1587,0.1486,0.1269,0.1386,0.1514,0.0919,0.1252,0.1188,0.1170,0.0895,0.1316,0.1464
22,Income Tax expense (Gain),14200000,17100000,15700000,17000000,19800000,20800000,22000000,24100000,22225000,25077000,15342000,22231000,24411000,23868000,15174000,18301000,19347000,59048000,67469000,74154000,72216000,83785000,84409000,130112000,236615000,237682000,241414000,273100000,284500000,178100000,289200000,286100000,-477600000,187200000,247200000,295600000
23,Net Income,15900000,17700000,22900000,27600000,30200000,31700000,34100000,32900000,30498000,36303000,29313000,30935000,33390000,37763000,26357000,30667000,30851000,96342000,111350000,129073000,143354000,157219000,170379000,265953000,494138000,479482000,459744000,544200000,565200000,344900000,688700000,592300000,1338600000,514400000,779500000,876300000
24,Net Income ratio,0.0605,0.0614,0.0729,0.0752,0.0715,0.0697,0.0705,0.0670,0.0596,0.0578,0.0555,0.0570,0.0590,0.0627,0.0417,0.0471,0.0449,0.0734,0.0786,0.0632,0.0665,0.0732,0.0675,0.0708,0.1073,0.0994,0.0832,0.0923,0.1007,0.0606,0.0882,0.0801,0.1819,0.0656,0.0999,0.1095
25,EPS,0.58,0.64,0.83,1.01,1.10,1.15,1.24,1.20,1.11,1.32,1.07,1.12,1.22,1.38,0.97,1.28,1.26,2.04,2.24,2.26,2.48,2.79,3.03,3.14,4.15,4.06,4.06,5.00,5.42,3.33,5.77,5.11,11.79,4.52,6.84,7.79
26,EPS Diluted,0.58,0.64,0.83,1.01,1.10,1.15,1.24,1.20,1.11,1.32,1.07,1.12,1.21,1.37,0.97,1.26,1.24,2.02,2.21,2.24,2.45,2.76,3.00,3.12,4.15,4.05,4.06,5.00,5.42,3.33,5.76,5.10,11.78,4.52,6.84,7.79
27,Weighted Average Shares Outstanding,27448200,27448200,27448200,27448200,27448200,27448200,27448200,27448200,27448200,13593672,13584515,13606551,13601764,13565678,13473080,23950674,24484921,47226471,49709821,57111947,57804032,56350896,56230693,84823849,118951434,117009362,113263951,108827897,104332241,103691978,119436199,116013751,113600000,113700000,114000000,112400000
28,Weighted Average Shares Outstanding Diluted,27448200,27448200,27448200,27448200,27448200,27448200,27448200,27448200,27448200,13593672,13584515,13606551,13601764,13565678,13473080,24353206,24879839,47694059,50384615,57621875,58511837,56963406,56793000,85285211,119081445,117119697,113313567,108851153,104346587,103697261,119477312,116120780,113600000,113700000,114000000,112400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015294000718/0000950152-94-000718-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015295001575/0000950152-95-001575-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015201503334/0000950152-01-503334-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015204005304/0000950152-04-005304-index.htm,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015206005568/l20956ae10vk.htm,https://www.sec.gov/Archives/edgar/data/91419/000095015207005388/0000950152-07-005388-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015208005018/0000950152-08-005018-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012309017972/0000950123-09-017972-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012310060708/0000950123-10-060708-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012311062373/0000950123-11-062373-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312512282260/d318554d10k.htm,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/0001193125-13-266625-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/0001193125-14-245437-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/0001193125-15-235197-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141916000007/0000091419-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/0000091419-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141918000005/0000091419-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/0000091419-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141920000065/0000091419-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/91419/000009141921000048/0000091419-21-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,14059000,11244000,17647000,24091000,36484000,8683000,33103000,51125000,91914000,181225000,106602000,58085000,71956000,200119000,184175000,456693000,283570000,319845000,229708000,256400000,153500000,125600000,109800000,166800000,192600000,101300000,391100000,334300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15074000,17739000,14882000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,14059000,11244000,17647000,24091000,36484000,8683000,33103000,51125000,91914000,181225000,121676000,75824000,86838000,200119000,184175000,456693000,283570000,319845000,229708000,256400000,153500000,125600000,109800000,166800000,192600000,101300000,391100000,334300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,47828000,53600000,43239000,48140000,48732000,51858000,62518000,55986000,57371000,101364000,102707000,145734000,148014000,124048000,162426000,266037000,238867000,344410000,347518000,313700000,309400000,430100000,450100000,438700000,385600000,503800000,551400000,533700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,103236000,110674000,95495000,94106000,103465000,114200000,121515000,107999000,116539000,169127000,188980000,284487000,297621000,286052000,379608000,603926000,654939000,863579000,961576000,945500000,931000000,1163600000,899400000,905700000,854400000,910300000,895300000,959900000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6562000,16318000,58081000,12135000,12825000,11401000,11996000,13956000,13989000,14944000,11895000,49806000,39022000,29147000,49998000,72235000,46254000,109165000,104663000,79600000,145200000,333000000,114100000,130600000,122400000,109800000,134900000,113800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,171685000,191836000,214462000,178472000,201506000,186142000,229132000,229066000,279813000,466660000,425258000,555851000,571495000,639366000,776207000,1398891000,1223630000,1636999000,1643465000,1595200000,1539100000,2052300000,1573400000,1641800000,1555000000,1625200000,1972700000,1941700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,137506000,140125000,143084000,139635000,143714000,166543000,174648000,171570000,162789000,274986000,329708000,521101000,527735000,454028000,496296000,838433000,858313000,867882000,1096089000,1142500000,1265600000,1678300000,1627700000,1617500000,1729100000,1912400000,2117800000,2143500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,21833000,40621000,31336000,34041000,32722000,45371000,36795000,- -,33510000,- -,- -,- -,940967000,990771000,1132476000,2791391000,2807730000,2812746000,3054618000,3052900000,3098200000,6009800000,6091100000,6077100000,5942200000,6310900000,6304500000,6023600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,38328000,40019000,12762000,11352000,9688000,15256000,13490000,45636000,14825000,846351000,854258000,1420966000,472915000,478194000,614000000,3098976000,3026515000,2940010000,3187007000,3089400000,3024300000,6950300000,6494400000,6149900000,5916500000,6718800000,6429000000,6041200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,60161000,80640000,44098000,45393000,42410000,60627000,50285000,45636000,48335000,846351000,854258000,1420966000,1413882000,1468965000,1746476000,5890367000,5834245000,5752756000,6241625000,6142300000,6122500000,12960100000,12585500000,12227000000,11858700000,13029700000,12733500000,12064800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,9289000,8416000,23308000,21273000,20343000,20571000,21319000,24197000,33955000,27410000,74901000,137976000,136632000,131464000,110902000,51657000,58665000,66948000,134047000,151800000,144900000,191900000,197500000,153400000,158400000,144000000,107800000,134200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,206956000,229181000,210490000,206301000,206467000,247741000,246252000,241403000,245079000,1148747000,1258867000,2080043000,2078249000,2054457000,2353674000,6793270000,6751223000,6687586000,7471761000,7436600000,7533000000,14830300000,14410700000,13997900000,13746200000,15086100000,14997700000,14342500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,378641000,421017000,424952000,384773000,407973000,433883000,475384000,470469000,524892000,1615407000,1684125000,2635894000,2649744000,2693823000,3129881000,8192161000,7974853000,8324585000,9115226000,9031800000,9072100000,16882600000,15984100000,15639700000,15301200000,16711300000,16970400000,16284200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,37322000,40527000,37211000,36582000,41410000,40262000,32520000,29967000,32390000,68704000,66300000,105290000,88963000,93500000,119844000,198954000,179509000,234916000,274725000,285800000,289200000,402800000,459400000,477200000,512100000,591000000,782000000,1034100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4327000,- -,- -,- -,- -,8966000,- -,- -,- -,- -,- -,50378000,28620000,33000000,- -,626726000,10000000,- -,50000000,50000000,348400000,226000000,284000000,953000000,144000000,1224500000,248000000,1276000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,41546000,39316000,30299000,35434000,43490000,38403000,35669000,37136000,48041000,98570000,108583000,152624000,117857000,109968000,119553000,235556000,289388000,247760000,292247000,261000000,253400000,393800000,469600000,402400000,377700000,526000000,557100000,557400000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,83195000,79843000,67510000,72016000,84900000,87631000,68189000,67103000,80431000,167274000,174883000,308292000,235440000,236468000,239397000,1061236000,478897000,482676000,616972000,596800000,891000000,1022600000,1213000000,1832600000,1033800000,2341500000,1587100000,2867500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,48558000,67100000,60800000,- -,- -,- -,75000000,135000000,135000000,135000000,135000000,431560000,428602000,392643000,789684000,910000000,900000000,1304039000,2020543000,1967800000,1879800000,5944900000,5146000000,4445500000,4688000000,4686300000,5373300000,3629600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2469000,5023000,8488000,7604000,6804000,7007000,3221000,4981000,4105000,134018000,136255000,110505000,155579000,158418000,175950000,1145808000,1101506000,1042823000,992692000,987200000,1020700000,2473300000,2230300000,2167000000,1377200000,1398600000,1351600000,1349300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,10017000,11059000,11813000,13262000,14092000,14916000,15501000,16274000,25212000,54944000,27294000,94737000,102064000,110637000,124997000,135186000,168130000,202684000,321633000,331200000,251000000,354900000,386300000,344400000,311100000,314400000,467500000,313000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,61044000,83182000,81101000,20866000,20896000,21923000,93722000,156255000,164317000,323962000,298549000,636802000,686245000,661698000,1090631000,2190994000,2169636000,2549546000,3334868000,3286200000,3151500000,8773100000,7762600000,6956900000,6376300000,6399300000,7192400000,5291900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162200000,153900000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,144239000,163025000,148611000,92882000,105796000,109554000,161911000,223358000,244748000,491236000,473432000,945094000,921685000,898166000,1330028000,3252230000,2648533000,3032222000,3951840000,3883000000,4042500000,9795700000,8975600000,8789500000,7410100000,8740800000,8779500000,8159400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,7277000,7291000,7293000,7302000,7286000,7290000,7081000,6090000,6217000,12442000,12543000,14635000,14237000,- -,- -,- -,- -,- -,27571000,26600000,25400000,29900000,29100000,28400000,28900000,28900000,29000000,27100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,233420000,254854000,269036000,284605000,298316000,318660000,310843000,249552000,267793000,323064000,387065000,447831000,489067000,553631000,567419000,424504000,746063000,866933000,961207000,1075500000,1091000000,1159200000,1267700000,1240500000,2239200000,2367600000,2746800000,2847500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-81278000,-95960000,-109728000,-125935000,-140521000,-157685000,-175153000,-190283000,-191342000,-221704000,-225593000,-256028000,27000000,18000000,43000000,-57000000,-21000000,4000000,-84000000,-77000000,-52000000,-110000000,-148000000,-143000000,-117000000,-182000000,-379000000,-277400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,74983000,91807000,109740000,125919000,137096000,156064000,170702000,181752000,197476000,1010369000,1036678000,1484362000,1197755000,1224026000,1189434000,4572427000,4601257000,4421430000,4258608000,4123700000,3965200000,6007800000,5859700000,5724300000,5740000000,5756000000,5794100000,5527600000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,234402000,257992000,276341000,291891000,302177000,324329000,313473000,247111000,280144000,1124171000,1210693000,1690800000,1728059000,1795657000,1799853000,4939931000,5326320000,5292363000,5163386000,5148800000,5029600000,7086900000,7008500000,6850200000,7891100000,7970500000,8190900000,8124800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,378641000,421017000,424952000,384773000,407973000,433883000,475384000,470469000,524892000,1615407000,1684125000,2635894000,2649744000,2693823000,3129881000,8192161000,7974853000,8324585000,9115226000,9031800000,9072100000,16882600000,15984100000,15639700000,15301200000,16711300000,16970400000,16284200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,378641000,421017000,424952000,384773000,407973000,433883000,475384000,470469000,524892000,1615407000,1684125000,2635894000,2649744000,2693823000,3129881000,8192161000,7974853000,8324585000,9115226000,9031800000,9072100000,16882600000,15984100000,15639700000,15301200000,16711300000,16970400000,16284200000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/91419/000095015294000718/0000950152-94-000718-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015295001575/0000950152-95-001575-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015201503334/0000950152-01-503334-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015204005304/0000950152-04-005304-index.htm,- -,https://www.sec.gov/Archives/edgar/data/91419/000095015206005568/l20956ae10vk.htm,https://www.sec.gov/Archives/edgar/data/91419/000095015207005388/0000950152-07-005388-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095015208005018/0000950152-08-005018-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012309017972/0000950123-09-017972-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012310060708/0000950123-10-060708-index.html,https://www.sec.gov/Archives/edgar/data/91419/000095012311062373/0000950123-11-062373-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312512282260/d318554d10k.htm,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/0001193125-13-266625-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/0001193125-14-245437-index.html,https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/0001193125-15-235197-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141916000007/0000091419-16-000007-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/0000091419-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141918000005/0000091419-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/0000091419-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/91419/000009141920000065/0000091419-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/91419/000009141921000048/0000091419-21-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,30200000,31700000,34100000,32900000,30498000,36303000,29313000,30935000,33390000,37763000,26357000,30667000,30851000,96342000,111350000,129073000,143354000,157219000,170379000,265953000,494138000,479482000,459744000,544200000,565200000,344900000,688700000,592300000,1338600000,514400000,779500000,876300000
74,Depreciation and Amortization,- -,- -,- -,- -,-10500000,-11800000,-12800000,-13100000,15378000,20157000,17473000,21839000,22539000,23394000,26198000,26921000,28557000,37751000,39858000,56048000,71083000,58874000,62619000,119764000,181882000,239639000,208426000,240500000,249400000,268400000,430100000,419000000,413100000,446300000,446500000,452500000
75,Deferred Income Tax,- -,- -,- -,- -,700000,-700000,400000,100000,-1302000,-272000,764000,4026000,-2285000,120000,-3872000,2040000,1545000,-3680000,6113000,36247000,33124000,22530000,18215000,25525000,-39320000,-59801000,-17218000,-15600000,-8000000,7700000,-95200000,-79400000,-803400000,-93500000,7600000,-13900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22105000,25949000,24044000,21711000,21300000,22900000,23500000,34600000,22000000,15400000,20700000,26800000,28700000
77,Change in Working Capital,- -,- -,- -,- -,-13700000,- -,- -,- -,88490000,23503000,34959000,-40496000,10150000,-18095000,62432000,1020000,37419000,100004000,-49011000,-2816000,88496000,66843000,133912000,-199155000,407078000,409590000,-127830000,-28093000,-350300000,381600000,-669300000,-551200000,712000000,-1237500000,1101900000,176900000
78,Accounts Receivable,- -,- -,- -,- -,-6100000,-6500000,600000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78631000,31521000,-102625000,9286000,33200000,6100000,21800000,-21900000,8900000,54700000,-53000000,-49100000,22000000
79,Inventory,- -,- -,- -,- -,-11100000,-4800000,-11400000,5300000,500000,-3535000,-9738000,1792000,-10522000,-9332000,-6924000,11858000,-2063000,-12062000,-16692000,-5257000,-6036000,-8146000,-35022000,34669000,-46160000,-204159000,-48189000,15200000,15400000,25300000,240100000,-10400000,54000000,-5300000,12600000,-110400000
80,Accounts Payable,- -,- -,- -,- -,2700000,4600000,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84633000,72774000,11200000,3300000,-25400000,46100000,2100000,19000000,43700000,181600000,260900000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,88490000,111993000,146952000,106456000,116606000,98511000,160943000,161963000,199382000,299386000,250375000,247559000,336055000,402898000,536810000,337655000,744733000,1154323000,1026493000,998400000,648100000,1029700000,360400000,-190800000,521200000,-716300000,385600000,-17600000
